,https://roic.ai/company/VNDA,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,376709,423828,575372,571586,530805,1424744,1831000,1964000,2128000,1927000,2784000,13554000,11868000,2984000,2956000,2892000,1386000,2841000
15,EBITDA,-9092628,-23862918,-65133068,-79466789,-52314316,-34434102,11100000,-8282000,-25536000,-18328000,22970000,-26311000,-6038000,-12447000,28302000,31920000,33041000,45205000
16,EBITDA ratio,-267.5876,-Infinity,-Infinity,-Infinity,-Infinity,-7.5717,0.3108,-0.2649,-0.7803,-0.5410,0.4580,-0.2394,-0.0414,-0.0754,0.1466,0.1405,0.1331,0.1682
17,Operating Income,-9528397,-24286653,-65708440,-80038375,-52845121,-35947943,8838000,-10707000,-28225000,-20400000,20062000,-40185000,-18571000,-16903000,21738000,22810000,27239000,42165000
18,Operating Income ratio,-280.4119,-Infinity,-Infinity,-Infinity,-Infinity,-7.9046,0.2475,-0.3424,-0.8624,-0.6021,0.4000,-0.3656,-0.1272,-0.1024,0.1126,0.1004,0.1098,0.1569
19,Total Other Income Expenses (Gains),59060,410001,2197821,5978564,1780880,89097,431000,461000,561000,145000,124000,320000,665000,1472000,3608000,6218000,4416000,199000
20,Income Before Tax,-9469337,-23876652,-63510619,-74059811,-51064241,-35858846,9269000,-10246000,-27664000,-20255000,20186000,-39865000,-17906000,-15431000,25346000,29028000,31655000,42364000
21,Income Before Tax Ratio,-278.6738,-Infinity,-Infinity,-Infinity,-Infinity,-7.8850,0.2596,-0.3277,-0.8453,-0.5979,0.4025,-0.3627,-0.1226,-0.0935,0.1312,0.1278,0.1276,0.1577
22,Income Tax expense (Gain),4949,7649,549,9879,- -,- -,2077000,-444000,- -,- -,- -,- -,104000,136000,138000,-86525000,8318000,9212000
23,Net Income,-9474286,-23884301,-63511168,-74069690,-51064241,-35858846,7192000,-9802000,-27664000,-20255000,20186000,-39865000,-18010000,-15567000,25208000,115553000,23337000,33152000
24,Net Income ratio,-278.8195,-Infinity,-Infinity,-Infinity,-Infinity,-7.8850,0.2014,-0.3135,-0.8453,-0.5979,0.4025,-0.3627,-0.1233,-0.0943,0.1305,0.5086,0.0940,0.1234
25,EPS,-0.02,-6.40,-3.97,-2.81,-1.92,-1.33,0.26,-0.35,-0.98,-0.67,0.58,-0.94,-0.41,-0.35,0.50,2.17,0.43,0.61
26,EPS Diluted,-0.02,-6.40,-3.97,-2.81,-1.92,-1.33,0.25,-0.35,-0.98,-0.67,0.55,-0.94,-0.41,-0.35,0.48,2.11,0.42,0.60
27,Weighted Average Shares Outstanding,469970000,8965017,16001815,26360177,26650126,27015271,27916388,28106831,28228409,30351353,34774163,42250254,43449441,44735146,50859947,53137562,54427683,54427683
28,Weighted Average Shares Outstanding Diluted,469970000,8965017,16001815,26360177,26650126,27015271,28534617,28106831,28228409,30351353,36686723,42250254,43449441,44735146,53045257,54847060,55190802,55190802
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1347178/000095013307001153/0000950133-07-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095013308001050/0000950133-08-001050-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095013309000733/0000950133-09-000733-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095012310024770/0000950123-10-024770-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095012311024187/0000950123-11-024187-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312512105284/0001193125-12-105284-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312513075214/0001193125-13-075214-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312514066051/0001193125-14-066051-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312515091300/0001193125-15-091300-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312516461076/0001193125-16-461076-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312517047317/0001193125-17-047317-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312518046425/0001193125-18-046425-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717819000003/0001347178-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717820000003/0001347178-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717821000005/0001347178-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000162828022003629/0001628280-22-003629-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16259770,21012815,30928895,41929533,39079304,205295488,42559000,87923000,88772000,64764000,60901000,50843000,40426000,33627000,61005000,45072000,61031000,52071000
32,Short-Term Investments,- -,10141189,941981,43243960,7378798,- -,155478000,60961000,31631000,65586000,68921000,92337000,100914000,109786000,196355000,267057000,306709000,380742000
33,Cash and Short-Term Investments,16259770,31154004,31870876,85173493,46458102,205295488,198037000,148884000,120403000,130350000,129822000,143180000,141340000,143413000,257360000,312129000,367740000,432813000
34,Net Receivables,- -,- -,107866,5396,- -,3163898,511000,1618000,1444000,2159000,3654000,16331000,20268000,17601000,28780000,26367000,30036000,32467000
35,Inventory,- -,- -,- -,- -,- -,2398517,- -,- -,57000,- -,4918000,1294000,779000,840000,994000,1140000,1280000,1025000
36,Other Current Assets,190604,2217960,1841600,1776485,1287400,2092581,2025000,2999000,4064000,3105000,3336000,5742000,11788000,8003000,11998000,14500000,10089000,11996000
37,Total Current Assets,16450374,33371964,33820342,86955374,47745502,212950484,200573000,153501000,125968000,135614000,141730000,166547000,174175000,169857000,299132000,354136000,409145000,478301000
38,PP&E,1251867,1110576,1859704,1345845,1758111,1316302,937000,964000,2348000,2198000,2437000,4570000,5015000,5306000,4417000,15044000,4136000,12385000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,11017065,9522000,8027000,6532000,5037000,26724000,38752000,27819000,26069000,24542000,23037000,21559000,20081000
41,Intangible Assets,- -,- -,- -,- -,- -,11017065,9522000,8027000,6532000,5037000,26724000,38752000,27819000,26069000,24542000,23037000,21559000,20081000
42,Investments,- -,- -,- -,- -,- -,- -,- -,19012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1639000,- -,- -,- -,- -,- -,- -,- -,- -,87680000,- -,74878000
44,Other Non-Current Assets,50000,1270230,580230,8559561,430230,430230,430000,1114000,600000,500000,813000,3181000,3365000,4193000,4039000,3851000,98616000,8147000
45,Total Non-Current Assets,1301867,2380806,2439934,9905406,2188341,12763597,12528000,29117000,9480000,7735000,29974000,46503000,36199000,35568000,32998000,129612000,124311000,115491000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17752241,35752770,36260276,96860780,49933843,225714081,213101000,182618000,135448000,143349000,171704000,213050000,210374000,205425000,332130000,483748000,533456000,593792000
48,Accounts Payable,718606,2254897,2783249,2988069,512382,2423877,648000,996000,287000,661000,835000,15767000,16196000,20335000,- -,- -,31509000,925000
49,Short-Term Debt,211170,142461,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2147000,2117000,2311000
50,Tax Payable,- -,- -,- -,- -,- -,- -,2266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,129950,- -,- -,- -,26788991,26789000,27242000,26789000,26789000,174000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,692977,2536222,6322808,9789738,2898417,2321301,3590000,3381000,5187000,5401000,6777000,35550000,34124000,50028000,53015000,57358000,32310000,71183000
53,Total Current Liabilities,1622753,5063530,9106057,12777807,3410799,31534169,31027000,31619000,32263000,32851000,7786000,51317000,50320000,70363000,53015000,59505000,65936000,74419000
54,Long-Term Debt,142487,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11497000,10055000
55,Deferred Revenue,- -,- -,- -,- -,- -,171149054,143853000,117064000,90275000,63486000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,43414,24433,397347,354042,502770,- -,490000,461000,3005000,2888000,3101000,28706000,28724000,3675000,3693000,13298000,2757000,4390000
58,Total Non-Current Liabilities,185901,24433,397347,354042,502770,171149054,144343000,117525000,93280000,66374000,3101000,28706000,28724000,3675000,3693000,13298000,14254000,14445000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,50284,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14602000,13614000,12366000
61,Total Liabilities,1808654,5087963,9503404,13131849,3913569,202683223,175370000,149144000,125543000,99225000,10887000,80023000,79044000,74038000,56708000,72803000,80190000,88864000
62,Preferred Stock,28308564,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3,15894,22129,26653,26653,27569,28000,28000,28000,33000,41000,43000,44000,45000,52000,54000,55000,56000
64,Retained Earnings,-12445107,-36329408,-99840576,-173910266,-224974507,-260833353,-253641000,-263443000,-291107000,-311362000,-287984000,-327849000,-345859000,-361426000,-336218000,-220665000,- -,-164176000
65,Other Comprehensive Income/Loss,-2576,-18784052,-3269,12176,-1916850,- -,2000,21000,10000,21000,16000,39000,58000,-34000,1000,249000,239000,-175000
66,Other Total Stockholders Equity,82703,85762373,126578588,257600368,272884978,283836642,291342000,296868000,300974000,355432000,448744000,460794000,477087000,492802000,611587000,631307000,452972000,669223000
67,Total Stockholders Equity,15943587,30664807,26756872,83728931,46020274,23030858,37731000,33474000,9905000,44124000,160817000,133027000,131330000,131387000,275422000,410945000,453266000,504928000
68,Total Liabilities And Stockholders Equity,17752241,35752770,36260276,96860780,49933843,225714081,213101000,182618000,135448000,143349000,171704000,213050000,210374000,205425000,332130000,483748000,533456000,593792000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17752241,35752770,36260276,96860780,49933843,225714081,213101000,182618000,135448000,143349000,171704000,213050000,210374000,205425000,332130000,483748000,533456000,593792000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1347178/000095013307001153/0000950133-07-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095013308001050/0000950133-08-001050-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095013309000733/0000950133-09-000733-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095012310024770/0000950123-10-024770-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095012311024187/0000950123-11-024187-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312512105284/0001193125-12-105284-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312513075214/0001193125-13-075214-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312514066051/0001193125-14-066051-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312515091300/0001193125-15-091300-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312516461076/0001193125-16-461076-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312517047317/0001193125-17-047317-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312518046425/0001193125-18-046425-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717819000003/0001347178-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717820000003/0001347178-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717821000005/0001347178-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000162828022003629/0001628280-22-003629-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-9474286,-23884301,-63511168,-74069690,-51064241,-35858846,7192000,-9802000,-27664000,-20255000,20186000,-39865000,-18010000,-15567000,25208000,115553000,23337000,33152000
74,Depreciation and Amortization,376709,423828,575372,571586,530805,1424744,1831000,1964000,2128000,1927000,2784000,13554000,11868000,2984000,2956000,2892000,1386000,2841000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1821000,1821000,- -,- -,- -,- -,-104000,- -,- -,-87767000,6189000,6745000
76,Stock Based Compensation,- -,- -,- -,- -,13387789,11230227,4982000,5501000,4094000,4604000,5878000,7961000,8543000,10465000,11666000,13458000,13360000,15374000
77,Change in Working Capital,416565,13480813,-3594149,49463282,-29842864,137081612,-11870315,-47664000,-28177000,9058000,31181000,-18714000,8625000,-24361000,146623000,48514000,48578000,2737000
78,Accounts Receivable,- -,- -,- -,- -,- -,-3163898,2653000,-1107000,450000,-863000,-1623000,-12677000,-4298000,2525000,-11207000,2342000,-3767000,-2469000
79,Inventory,- -,- -,- -,- -,- -,-2398517,2399000,- -,-57000,- -,-2210000,387000,200000,-1060000,70000,-722000,-2876000,-2233000
80,Accounts Payable,- -,- -,- -,- -,-2475697,1911495,-1776000,348000,-709000,374000,174000,9432000,575000,5953000,- -,- -,- -,3040000
81,Other Working Capital,14827621,28308434,24714285,74177567,44334703,181416315,169546000,121882000,93705000,102763000,133944000,115230000,123855000,99494000,246117000,294631000,343209000,5646000
82,Other Non-Cash Items,66078,-7734514,14910427,-27606436,21033182,55458541,-11211685,19770000,4702000,-34926000,-141583000,49513000,-19025000,24496000,-156467000,-46703000,-41075000,3365000
83,Cash Provided by Operating Activities,-8614934,-17714174,-51619518,-51641258,-45955329,169336278,-10898000,-28410000,-44917000,-39592000,-81554000,12449000,-8103000,-1983000,29986000,45947000,51775000,64214000
84,CAPEX,-414531,-291978,-1354156,-279433,-943659,-12000000,- -,-275000,-2017000,-176000,-8769000,-2527000,-1407000,-1664000,-25368000,-1019000,-1795000,-552000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-11846176,-102232608,-138953879,-14786080,-11365815,-202438000,-160213000,-60866000,-65598000,-93343000,-193111000,-165405000,-148135000,-282395000,-394517000,-346622000,-420461000
87,Sales/Maturities of Investments,- -,1750000,111807888,90272859,58818094,18626547,46750000,234837000,108637000,31499000,89830000,169040000,156787000,139568000,198103000,327227000,306918000,344317000
88,Other Investing Activites,- -,-430230,- -,200179,- -,-12000000,66000,-600000,- -,- -,-7755000,- -,-46000,124000,-25000000,- -,- -,- -
89,Cash Used for Investing Activites,-414531,-10818384,8221124,-48760274,43088355,-4739268,-155622000,73749000,45754000,-34275000,-12037000,-26598000,-10071000,-10107000,-109660000,-68309000,-41499000,-76696000
90,Debt Repayment,-199333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,33518377,53457066,111403490,- -,- -,- -,- -,- -,48505000,87313000,- -,- -,- -,100870000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18345023,-224186,-142614,- -,- -,1619174,3784000,25000,12000,1354000,2415000,4091000,7751000,5251000,6256000,6264000,5634000,3550000
95,Cash Used/Provided by Financing Activities,18145690,33294191,53314452,111403490,- -,1619174,3784000,25000,12000,49859000,89728000,4091000,7751000,5251000,107126000,6264000,5634000,3550000
96,Effect of Forex Changes on Cash,-22177,-8588,22,-1320,16745,- -,- -,- -,- -,- -,- -,- -,6000,40000,-38000,-1000,53000,-91000
97,Net Change In Cash,9094048,4753045,9916080,11000638,-2850229,166216184,-162736000,45364000,849000,-24008000,-3863000,-10058000,-10417000,-6799000,27414000,-16099000,- -,-9023000
98,Cash at the End of Period,16259770,21012815,30928895,41929533,39079304,205295488,42559000,87923000,88772000,64764000,60901000,50843000,40426000,33627000,61749000,45650000,- -,52590000
99,Cash at the Beginning of Period,7165722,16259770,21012815,30928895,41929533,39079304,205295000,42559000,87923000,88772000,64764000,60901000,50843000,40426000,34335000,61749000,- -,61613000
100,Free Cash Flow,-9029465,-18006152,-52973674,-51920691,-46898988,157336278,-10898000,-28685000,-46934000,-39768000,-90323000,9922000,-9510000,-3647000,4618000,44928000,49980000,63662000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1347178/000095013307001153/0000950133-07-001153-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095013308001050/0000950133-08-001050-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095013309000733/0000950133-09-000733-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095012310024770/0000950123-10-024770-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000095012311024187/0000950123-11-024187-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312512105284/0001193125-12-105284-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312513075214/0001193125-13-075214-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312514066051/0001193125-14-066051-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312515091300/0001193125-15-091300-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312516461076/0001193125-16-461076-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312517047317/0001193125-17-047317-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000119312518046425/0001193125-18-046425-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717819000003/0001347178-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717820000003/0001347178-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000134717821000005/0001347178-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1347178/000162828022003629/0001628280-22-003629-index.htm
102,false,,,,,,,,,,,,,,,,,,
