,https://roic.ai/company/TKC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,3048518297,4001731160,3726397848,3306299062,3278376193,3385047317,3846674972,5510130732,5170755860,6143742158,7582669506,8337672154,8739607379,8957910016,9590994890,10420544723,17412453000,18249312000,19913363000,24428166000,26382831000,30915021000,41171037000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3805032671,5184386891,4718814023,4315064074,5160909208,5820374132,5948336806,8587135324,9908614439,12398627318,13949271980,15244256297,17155789286,18783128438,21173805275,23771867576,26207310000,31600158000,33982469000,42765275000,45714975000,51498393000,70682643000
48,Accounts Payable,204836208,278761616,403068025,34345769,63413630,823134784,186021050,337195803,212346690,1482102904,1554590434,1481655446,1752549624,873704883,970240504,1162170504,1555767000,1718788000,2527152000,2372512000,2728485000,3563918000,4615606000
49,Short-Term Debt,499419538,584614714,516171391,511396585,144156948,751152393,762180661,742231517,727353166,1014706635,1041655598,678747596,1532981264,1948411413,1797242118,2458663812,728744000,2846060000,4278154000,7035909000,7628333000,5232737000,8848413000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,194533296,139571051,149538912,116695481,480283977,513000921,534238848,332397000,373984000,518755000,599563000,644842000,802435000,1241457000
51,Deferred Revenue,- -,- -,- -,54563293,113729241,149086554,- -,259933604,380027054,384788197,371927068,255539090,223197948,163344857,195802705,164962809,121078000,93800000,193831000,264704000,346952000,431991000,570425000
52,Other Current Liabilities,273826672,393818675,405091112,688043027,2057456630,673396999,851728649,967102984,1298477733,353407149,468739332,405678773,381613887,1227779399,1325280336,1221735884,3898828000,2700210000,2224706000,2066923000,1951755000,2336616000,3056902000
53,Total Current Liabilities,978082418,1257195005,1324330528,1288348674,2378756449,2396770730,1799930359,2306463907,2618204644,3235004886,3436912432,2821620906,3890342723,4213240553,4288565662,5007533009,6304417000,7358858000,9223843000,11740048000,12655525000,11565262000,17091346000
54,Long-Term Debt,1719988130,2182088655,1626613864,1234412591,696877350,359953322,111871864,160050580,164269872,199812136,1228960068,2190346622,1993689990,1109432049,1520522519,1251954792,3487786000,6935102000,8257995000,13119636000,12677394000,16353685000,27929720000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83889000,74241000,85646000,134095000,142193000,186944000,176283000
56,Deferred Tax Liabilities,4770802,4658705,- -,- -,- -,15689599,250184303,276746226,154891312,200535959,177242963,144908622,127033677,79138922,65290216,60509939,113437000,458160000,651122000,862360000,1165630000,1337831000,928554000
57,Other Non-Current Liabilities,2215253,12521520,51554018,16060587,18773605,312841822,32849879,37129343,31857385,397592648,282020025,385409776,337781669,552272105,640995307,686457090,1798879000,705400000,718775000,855582000,991289000,1269733000,1994468000
58,Total Non-Current Liabilities,1726974185,2199268879,1678167882,1250473179,715650956,688484743,394906047,473926149,351018570,797940743,1688223055,2720665020,2458505336,1740843076,2226808042,1998921821,5483991000,8172903000,9713538000,14971673000,14976506000,19148193000,31029025000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,25531463,12951225,4382465,12152,- -,- -,- -,- -,- -,- -,36615794,44786570,41553617,41838000,48114000,122720000,1413956000,1533055000,2098886000,2905865000
61,Total Liabilities,2705056603,3456463883,3002498410,2538821852,3094407405,3085255473,2194836406,2780390057,2969223213,4032945629,5125135488,5542285926,6348848058,5954083629,6515373704,7006454829,11788408000,15531761000,18937381000,26711721000,27632031000,30713455000,48120371000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,281514669,611515363,848890441,848890441,848890441,848890441,858871101,2307211260,1914325956,2514485583,2482790302,2582030246,3085062642,2931635793,3473971971,3806628606,2200000000,2200000000,2200000000,2200000000,2200000000,2200000000,2200000000
64,Retained Earnings,813457062,1117596675,868328622,931551420,1218689630,1740812846,2677833597,3376961064,3772630929,6818801971,6285873956,7156647818,11414255121,12914006854,17909203194,21631827245,11258411000,12780967000,11312276000,11359317000,13202526000,16392070000,18234018000
65,Other Comprehensive Income/Loss,-270901470,-565967885,-955540213,-5195170,-2990592,59711755,132267683,-6886928,1090319572,-5646790535,-5637841347,-5425134142,-6103944234,-2917133530,-6593426414,-8343001161,861111000,1061110000,1497903000,2468666000,2752820000,2305316000,2220769000
66,Other Total Stockholders Equity,270170169,564762840,953441060,237539,237539,237539,240332,611983,507771,4589873164,5638490863,5425809619,2525702670,41578886,49270747,53988759,35295000,-30312000,-21018000,-106239000,-108857000,-112619000,-92762000
67,Total Stockholders Equity,1094240431,1727906993,1715119910,1775484231,2064827018,2649652581,3669212713,5677897379,6777784228,8276370183,8769313774,9739353542,10921076199,12970088003,14839019497,17149443449,14354817000,16011765000,14989161000,15921744000,18046489000,20784767000,22562025000
68,Total Liabilities And Stockholders Equity,3799297033,5184370877,4717618320,4314306083,5159234423,5734908054,5864049119,8458287436,9747007442,12309315812,13894449262,15281639468,17269924257,18924171632,21354393201,24155898278,26143225000,31543526000,33926542000,42633465000,45678520000,51498222000,70682396000
69,Minority Interest,5735638,16014,1195703,757990,1674785,85466078,84287687,128847888,161606997,89311506,54822719,-37383172,-114134972,-141043194,-180587925,-384030702,64085000,56632000,55927000,131810000,36455000,171000,247000
70,Total Liabilities & Equity,3805032671,5184386891,4718814023,4315064074,5160909208,5820374132,5948336806,8587135324,9908614439,12398627318,13949271980,15244256297,17155789286,18783128438,21173805275,23771867576,26207310000,31600158000,33982469000,42765275000,45714975000,51498393000,70682643000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071321/000110465906025058/0001104659-06-025058-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312507087496/0001193125-07-087496-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312508087789/0001193125-08-087789-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312509094063/0001193125-09-094063-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312510094754/0001193125-10-094754-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312511100830/0001193125-11-100830-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312512173019/0001193125-12-173019-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1071321/000119312515085364/0001193125-15-085364-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312516510444/0001193125-16-510444-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312517089488/0001193125-17-089488-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312518092288/0001193125-18-092288-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312519076871/0001193125-19-076871-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312520094879/0001193125-20-094879-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,492532235,304139612,-249268053,63222798,287138210,683020006,1229915417,1234529859,1579662537,2697144180,1637246547,1821261926,1417347320,2076319435,2607676480,2012245686,2067654000,1492088000,1979129000,2021065000,3246487000,4237086000,5031098000
74,Depreciation and Amortization,188193783,399855908,525515490,549321457,562452838,566027937,631477836,1040666491,933734128,1044898215,883996881,1178745766,1743239025,1413015613,1755411028,1739444949,1667750000,2203351000,2596980000,4287974000,5046565000,5974779000,7252075000
75,Deferred Income Tax,-9711084,41345169,-32820447,- -,-719374183,257647315,456746991,- -,- -,-5060617,-4438856,-121171966,-30177428,522273169,659666640,778395717,667112000,423160000,571758000,495481000,785630000,387193000,-490184000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-263030648,-378800324,114046850,-197335040,105511452,644345152,-500164730,178552502,-90439454,265693894,-270521801,-552184261,-425321663,-907935885,-756919358,-1005189917,-1321038000,-3231320000,-2349717000,-1730451000,-186937000,302437000,-1944725000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-519023471,-873536461,-816169098,-1100904453,-821208000,1197053000,613404000,273110000,-881333000,-618545000,-869718000
79,Inventory,-5698272,-11118971,2498165,8606126,-3221459,-5099086,5959695,-3542171,-11849557,-410320,-12963376,4798381,-11520405,-38126223,16983397,-2803433,-4526000,-62090000,27871000,-76883000,2035000,-25316000,-56820000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82684832,-8620013,-26348788,197501238,348472000,-2733901000,-507043000,-501980000,92427000,614418000,422441000
81,Other Working Capital,- -,- -,2675652,- -,- -,- -,- -,3532301,-4736079,118677836,30561660,-133031734,-90871673,83499993,48540370,-38312802,28548000,44437000,-284145000,-627174000,-452188000,-434349000,-866624000
82,Other Non-Cash Items,109761803,97367059,27798761,397289683,1153886796,-1345111206,-274615811,161832947,99725585,-1429514293,-308308949,-361575066,-959440446,-974641993,-2155396669,-1659457553,-1180172000,-280142000,303116000,755785000,134810000,2191300000,10098978000
83,Cash Provided by Operating Activities,517746089,463907424,385272601,812498899,1389615113,805929204,1543359704,2615581799,2522682796,2573161380,1937973822,1965076399,1745646809,2129030339,2110438121,1865438883,1901306000,607137000,3101266000,5829854000,9026555000,13092795000,19947242000
84,CAPEX,-1061122392,-1100527213,-296226087,-112570904,-136651776,-412657670,-866785856,-852770666,-903042043,-1224486326,-2645462562,-1626319714,-1619580393,-1732491823,-1798201799,-2394384944,-4596970000,-3637184000,-4110042000,-5430377000,-5859244000,-7781697000,-9876725000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-230455463,- -,-476351086,14066355,- -,1089819,- -,-1583900,-29016108,-267920000,- -,- -,99028000,2181644000,-74771000,-571271000
86,Purchases of Investments,- -,- -,- -,- -,-2659639,-74190972,-16401987,-89012563,-139228,-73072352,-125639388,-26088377,-1619016629,-49523417,-20902806,-34898,- -,- -,-11992000,-42454000,-369591000,-995486000,-1035421000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,61303573,41891251,52981374,120701775,47913009,109769779,21100631,1611315331,1027624,51704136,20420000,- -,- -,2577000,84655000,976576000,693322000
88,Other Investing Activites,-252546895,-209306750,82825122,-76854614,-126070605,-236822599,-184480494,238464831,334780417,287946469,-596146181,238814016,182469263,343643064,364861709,460621409,-1448022000,-194621000,-355461000,-1429255000,-1885901000,-2281173000,-2361820000
89,Cash Used for Investing Activites,-1313669287,-1309833963,-213400965,-189425518,-265382019,-723671241,-1006364764,-891882610,-515419479,-1068326426,-2222482660,-1097092352,-2659463811,545694664,-997175292,-1333338089,-3830880000,-2976708000,-3304648000,-4535569000,-3027326000,-6780636000,-9137681000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-749947103,-1412970565,-1202929109,-974616836,-1493500125,-2164061408,-4786659752,-6900244000,-4932768000,-22828266000,-45363590000,-32739015000,-28112745000,-14287352000
91,Common Stock Issued,4247682,329789845,237583258,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65607000,- -,-94620000,-9998000,-9994000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-104186303,-245970392,-482488277,-535412098,-855944967,-1114024220,-919118012,-7521260,-15202829,-1040363,-8775558,-4025515000,-51416000,-2990706000,-1900000000,-1010000000,-811622000,-2585787000
94,Other Financing Activites,998267913,669117289,-569928651,-421622774,-872536269,263659193,-248804420,-75692758,237068367,1062531229,2518862370,1649419802,1041672758,1201948028,1906921867,4887313448,6306243000,9888822000,24252229000,46823827000,30281056000,24666548000,12930899000
95,Cash Used/Provided by Financing Activities,1002515595,998907134,-332345393,-421622774,-872536269,159472889,-494774811,-558181035,-298343730,-543360841,-8132416,-472627319,59534663,-306754926,-258179904,91878138,-4619516000,4839031000,-1566743000,-534383000,-3477957000,-4267813000,-3942240000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-51254315,323893753,-712139242,45439162,-74699418,-633041541,174082695,-1105075808,-422906517,436005000,664096000,430106000,1947004000,298204000,-422506000,-107995000
97,Net Change In Cash,206592397,152980596,-160473757,201450607,251696824,241730853,42220129,1114263840,2032813340,249334871,-247202091,320657310,-1487323881,2542052772,-249992883,201072416,-6113085000,3133556000,-1340019000,2706906000,2819476000,1621840000,6759326000
98,Cash at the End of Period,331926363,484906959,324433202,525883809,777580633,1019311486,1073515966,2253840386,3618952887,5002864348,4624794372,5130309959,4727787548,7034717202,8086107542,9061480197,2918796000,6052352000,4712333000,7419239000,10238715000,11860555000,18619881000
99,Cash at the Beginning of Period,125333966,331926363,484906959,324433202,525883809,777580633,1031295838,1139576545,1586139546,4753529477,4871996464,4809652649,6215111429,4492664430,8336100426,8860407782,9031881000,2918796000,6052352000,4712333000,7419239000,10238715000,11860555000
100,Free Cash Flow,-543376304,-636619789,89046514,699927995,1252963337,393271534,676573848,1762811133,1619640753,1348675054,-707488739,338756686,126066416,396538517,312236321,-528946061,-2695664000,-3030047000,-1008776000,399477000,3167311000,5311098000,10070517000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071321/000110465906025058/0001104659-06-025058-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312507087496/0001193125-07-087496-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312508087789/0001193125-08-087789-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312509094063/0001193125-09-094063-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312510094754/0001193125-10-094754-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312511100830/0001193125-11-100830-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312512173019/0001193125-12-173019-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1071321/000119312515085364/0001193125-15-085364-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312516510444/0001193125-16-510444-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312517089488/0001193125-17-089488-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312518092288/0001193125-18-092288-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312519076871/0001193125-19-076871-index.htm,https://www.sec.gov/Archives/edgar/data/1071321/000119312520094879/0001193125-20-094879-index.htm,- -,- -
102,Forex Rate,1.8437,1.4919,0.6897,0.6024,0.713,0.7415,0.7405,0.7057,0.8563,0.6492,0.6683,0.6464,0.5302,0.561,0.4659,0.4282,0.3426,0.2834,0.2638,0.189,0.1681,0.1344,0.075
