,https://roic.ai/company/ATO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2700000,1400000,6100000,3700000,3100000,8101000,189346000,51385000,56766000,63236000,238238000,169952000,107346000,184619000,132203000,150995000,316471000,265451000,61682000,100080000,53503000,89548000,101849000,37949000,66856000,101076000,2185328000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,53300000,48200000,52300000,143700000,107400000,135200000,200606000,424251000,329991000,457997000,677112000,1264430000,1117545000,1068895000,1285104000,828940000,875192000,1010953000,827962000,683266000,775840000,630985000,681686000,539646000,478853000,458031000,471258000,2838715000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,327400000,363300000,413600000,849100000,917900000,965800000,982346000,1335398000,1300320000,1515989000,1722521000,3374367000,3629156000,3836836000,4136859000,4439103000,4793075000,5147918000,5475604000,6030655000,6725906000,7430580000,8280511000,9259182000,10371147000,11787669000,13582493000,15286416000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,740000000,- -,- -,742029000,742702000,743407000,730132000,730419000,730706000,731257000,731257000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76870000,190380000,273499000,238272000,737787000,738521000,737692000,739086000,740064000,740148000,740207000,740847000,741484000,742029000,742702000,743407000,730132000,730419000,730706000,731257000,731257000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64398000,72682000,79613000,74200000,72701000,88409000,99385000,101883000,103952000,108071000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,34300000,36000000,95500000,116100000,129500000,165806000,199661000,159530000,271023000,231978000,276943000,234325000,253494000,225650000,335659000,355376000,383793000,386864000,412314000,271316000,214478000,232584000,132227000,194633000,289330000,470072000,644203000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,363400000,397600000,449600000,944600000,1034000000,1095300000,1148152000,1611929000,1650230000,2060511000,2192771000,4389097000,4602002000,4828022000,5101595000,5514826000,5888599000,6271918000,6667713000,7257135000,7818864000,8461960000,9329203000,10209950000,11395584000,12909588000,14887774000,16769947000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,416700000,445800000,501900000,1088300000,1141400000,1230500000,1348758000,2036180000,1980221000,2518508000,2869883000,5653527000,5719547000,5896917000,6386699000,6343766000,6763791000,7282871000,7495675000,7940401000,8594704000,9092945000,10010889000,10749596000,11874437000,13367619000,15359032000,19608662000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,24900000,31600000,62600000,44700000,64200000,73031000,84471000,135609000,179852000,185295000,461314000,345108000,355255000,395388000,- -,- -,- -,215229000,70116000,77860000,78534000,114533000,143422000,135159000,176581000,141075000,224873000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,22100000,40500000,71800000,182500000,124200000,186200000,267613000,221942000,167771000,127940000,5908000,148073000,385602000,154430000,351327000,72681000,486231000,208830000,571060000,367984000,196695000,457927000,1079811000,447745000,1150780000,464915000,35881000,2438140000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64319000,66960000,77601000,93674000,104457000,116291000,123457000,135597000,148292000,160986000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100926000,76313000,82085000,100232000,81890000,54627000,52648000,54617000,56485000,49722000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,22000000,24200000,68100000,55200000,36400000,41852000,204616000,159727000,127923000,223265000,503368000,388451000,409993000,460372000,664740000,679848000,658768000,388739000,464073000,554010000,518130000,512047000,367649000,576544000,513327000,548960000,797620000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,64200000,87400000,127600000,313200000,224100000,286800000,382496000,511029000,463107000,435715000,414468000,1112755000,1119161000,919678000,1207087000,737421000,1166079000,867598000,1275954000,978486000,910650000,1154823000,1788281000,1013443000,1915131000,1209440000,782401000,3510355000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,138300000,131300000,122300000,303000000,398500000,377500000,363198000,692399000,670463000,863918000,861311000,2183104000,2180362000,2126315000,2119792000,2169400000,1809551000,2206117000,1956305000,2455671000,2455986000,2455388000,2188779000,3067045000,2493665000,3529452000,4523313000,5124950000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12937000,11723000,9883000,9316000,9850000,9309000,11010000,12566000,10060000,9879000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,30200000,33100000,39100000,87800000,80200000,112600000,131619000,138934000,134540000,223350000,213930000,292207000,306172000,370569000,441302000,570940000,829128000,960093000,1015083000,1164053000,1286616000,1411315000,1603056000,1878699000,1893737000,2005116000,2154333000,1705809000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,34500000,36600000,40600000,57200000,67300000,75900000,79183000,109667000,138997000,137732000,246759000,462689000,465466000,514116000,565906000,689244000,780685000,993642000,876153000,750059000,845337000,867306000,957864000,882434000,790943000,860822000,1097722000,1350780000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000000,201000000,202000000,448000000,546000000,566000000,574000000,941000000,944000000,1225000000,1322000000,2938000000,2952000000,3011000000,3127000000,3429584000,3419364000,4159852000,3860478000,4381506000,4597822000,4743325000,4759549000,5837487000,5189355000,6407956000,7785428000,8191418000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1092100000,- -,- -,1882287000,- -,2450276000,- -,5876350000,5904288000,6022485000,6254120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245418000,251172000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,267100000,287500000,329600000,761000000,770200000,852800000,956292000,1452316000,1406986000,1660991000,1736424000,4051105000,4071449000,3931163000,4334207000,4167005000,4585443000,5027450000,5136432000,5359992000,5508472000,5898148000,6547830000,6850930000,7104486000,7617396000,8567829000,11701773000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,200000,200000,160000,204000,208000,257000,314000,403000,- -,- -,- -,- -,- -,- -,451000,453000,502000,507000,520000,531000,556000,597000,629000,662000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,51700000,61000000,75900000,99400000,83200000,83154000,95132000,106142000,122539000,142030000,178837000,224299000,281127000,343601000,405353000,486905000,570495000,660932000,775267000,917972000,1073029000,1262534000,1467024000,1878116000,2152015000,2471014000,2812673000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-216300000,-232100000,-252900000,-483500000,-528600000,-583500000,-597457000,-774469000,-827507000,-1459000,-14529000,-3341000,-43850000,-16198000,-35947000,-20184000,-23372000,-48460000,-47607000,38878000,-12393000,-109330000,-188022000,-105254000,-83647000,-114583000,-57589000,69803000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,318800000,338600000,364100000,734800000,800200000,877800000,906609000,1262997000,1294392000,736180000,1005644000,1426523000,1467799000,1700627000,1744891000,1791408000,1714443000,1732926000,1745467000,1765811000,2180151000,2230591000,2388027000,2536365000,2974926000,3712194000,4377149000,5023751000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,149600000,158300000,172300000,327300000,371200000,377700000,392466000,583864000,573235000,857517000,1133459000,1602422000,1648098000,1965754000,2052492000,2176761000,2178348000,2255421000,2359243000,2580409000,3086232000,3194797000,3463059000,3898666000,4769951000,5750223000,6791203000,7906889000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,416700000,445800000,501900000,1088300000,1141400000,1230500000,1348758000,2036180000,1980221000,2518508000,2869883000,5653527000,5719547000,5896917000,6386699000,6343766000,6763791000,7282871000,7495675000,7940401000,8594704000,9092945000,10010889000,10749596000,11874437000,13367619000,15359032000,19608662000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,416700000,445800000,501900000,1088300000,1141400000,1230500000,1348758000,2036180000,1980221000,2518508000,2869883000,5653527000,5719547000,5896917000,6386699000,6343766000,6763791000,7282871000,7495675000,7940401000,8594704000,9092945000,10010889000,10749596000,11874437000,13367619000,15359032000,19608662000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/731802/000073180294000018/0000731802-94-000018-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/731802/000093066197002911/0000930661-97-002911-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731802/000095013404017924/0000950134-04-017924-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013405021927/0000950134-05-021927-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013406022105/0000950134-06-022105-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013407024659/0000950134-07-024659-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095013408020908/0000950134-08-020908-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095012309063189/0000950123-09-063189-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095012310105040/0000950123-10-105040-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000095012311100074/0000950123-11-100074-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000119312512466518/0001193125-12-466518-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180213000017/0000731802-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180214000034/0000731802-14-000034-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180215000030/0000731802-15-000030-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180216000066/0000731802-16-000066-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180217000041/0000731802-17-000041-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180218000039/0000731802-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180219000037/0000731802-19-000037-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180220000040/0000731802-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/731802/000073180221000040/0000731802-21-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,18900000,23900000,23800000,55300000,17700000,35918000,56090000,59656000,71688000,86227000,135785000,147737000,168492000,180331000,190978000,205839000,207601000,216717000,243194000,289817000,315075000,350104000,396421000,603064000,511406000,601443000,665563000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217302000,217133000,233383000,246577000,237607000,254956000,276005000,293096000,319633000,361083000,391456000,429828000,477977000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,2800000,5900000,5800000,-4000000,31900000,18251000,18501000,14509000,53867000,36997000,12669000,86178000,62121000,97940000,129759000,196731000,117353000,104319000,141336000,189952000,192886000,193556000,227183000,-511000,132004000,134360000,155355000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14494000,12655000,11586000,19222000,17814000,25531000,27491000,14760000,14064000,12863000,11121000,9583000,11255000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,-28300000,-36100000,-94200000,52800000,-34900000,-30290000,95112000,-46338000,155398000,240362000,-110969000,-153291000,150833000,-71200000,13502000,-382406000,434242000,-591347000,152772000,160410000,-389028000,-582757000,632798000,-962481000,684869000,440266000,-2379413000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244713000,-40401000,-96000,32578000,-73669000,-41408000,48240000,-4847000,-58696000,-29208000,18724000,7167000,-113665000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,1000000,-4300000,-3200000,-3700000,7000000,2037000,374000,2272000,-64875000,-31030000,-112796000,-10695000,-53626000,-61489000,194287000,54014000,27737000,28417000,31979000,-31996000,33234000,20577000,-35126000,18921000,35594000,18188000,-66166000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
