,https://roic.ai/company/CSGP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4914000,- -,735000,- -,526000,326000,516000,537000,1773000,4044000,13281000,30017000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4832000,6943000,10481000,9411000,10016000,9014000,2830000,2615000,- -,31621000
14,Depreciation and Amortization,800000,1100000,4900000,18808836,19249867,11787000,13166000,13010000,11714000,11810000,16147000,16801000,14676000,13649000,12852000,32752000,40058000,70372000,78532000,70165000,63643000,77743000,81165000,116944000,139558000
15,EBITDA,-2500000,-2100000,-7400000,-32891127,-1898724,7003000,13548000,21070000,22511000,32736000,42044000,61503000,47764000,37159000,35421000,60718000,94538000,151766000,90524000,216843000,237715000,364588000,474729000,387924000,575147000
16,EBITDA ratio,-0.3165,-0.1511,-0.2450,-0.5622,-0.0262,0.0882,0.1425,0.1880,0.1676,0.2060,0.2181,0.2895,0.2278,0.1642,0.1407,0.1735,0.2144,0.2635,0.1272,0.2589,0.2463,0.3059,0.3392,0.2338,0.2958
17,Operating Income,-3300000,-3500000,-15400000,-49222731,-22726368,-5543000,2000,6746000,7342000,14081000,17852000,39788000,31835000,22775000,21771000,27440000,54154000,80878000,11455000,144905000,173816000,273564000,363547000,289202000,432337000
18,Operating Income ratio,-0.4177,-0.2518,-0.5099,-0.8414,-0.3134,-0.0698,0.0000,0.0602,0.0547,0.0886,0.0926,0.1873,0.1518,0.1007,0.0865,0.0784,0.1228,0.1404,0.0161,0.1730,0.1801,0.2295,0.2597,0.1743,0.2224
19,Total Other Income Expenses (Gains),100000,500000,- -,-2477232,1577777,759000,380000,1314000,3455000,6845000,8045000,4914000,1253000,735000,798000,-4306000,-6617000,-9965000,-8874000,-8243000,-8758000,10451000,27402000,-18222000,-28369000
20,Income Before Tax,- -,- -,- -,-51699963,-21148591,-4784000,382000,8060000,10797000,20926000,25897000,44702000,33088000,23510000,22569000,23134000,47537000,70913000,2581000,136662000,165058000,284015000,390949000,270980000,403968000
21,Income Before Tax Ratio,- -,- -,- -,-0.8837,-0.2917,-0.0603,0.0040,0.0719,0.0804,0.1317,0.1343,0.2104,0.1578,0.1039,0.0897,0.0661,0.1078,0.1231,0.0036,0.1632,0.1710,0.2383,0.2793,0.1633,0.2078
22,Income Tax expense (Gain),- -,- -,- -,-2045014,-987262,- -,282000,-16925000,4340000,8516000,9946000,20079000,14395000,10221000,7913000,13219000,17803000,26044000,6046000,51591000,42363000,45681000,75986000,43852000,111404000
23,Net Income,-3300000,-3200000,-12300000,-49654949,-20161329,-4784000,100000,24985000,6457000,12410000,15951000,24623000,18693000,13289000,14656000,9915000,29734000,44869000,-3465000,85071000,122695000,238334000,314963000,227128000,292564000
24,Net Income ratio,-0.4177,-0.2302,-0.4073,-0.8488,-0.2780,-0.0603,0.0011,0.2229,0.0481,0.0781,0.0827,0.1159,0.0892,0.0587,0.0582,0.0283,0.0674,0.0779,-0.0049,0.1016,0.1271,0.2000,0.2250,0.1369,0.1505
25,EPS,-0.06,-0.04,-0.10,-0.33,-0.13,-0.03,0.00,0.14,0.04,0.07,0.08,0.13,0.10,0.07,0.06,0.04,0.11,0.15,-0.01,0.26,0.37,0.66,0.87,0.60,0.75
26,EPS Diluted,-0.06,-0.04,-0.10,-0.33,-0.13,-0.03,0.00,0.13,0.03,0.07,0.08,0.13,0.09,0.06,0.06,0.04,0.10,0.15,-0.01,0.26,0.37,0.65,0.86,0.59,0.74
27,Weighted Average Shares Outstanding,57894737,72130370,117265890,151369760,156359310,157590000,162020000,181650000,184530000,187510000,190440000,193720000,197800000,203300000,231310000,265330000,276700000,302150000,319500000,321670000,332000000,360580000,363100000,380730000,392419000
28,Weighted Average Shares Outstanding Diluted,57894737,72130370,117265890,151369760,156359310,157590000,166740000,188270000,190070000,191650000,194040000,195500000,199250000,207070000,235270000,269490000,282120000,306410000,319500000,324360000,335590000,364480000,366300000,383260000,394295000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1057352/000095013303001053/0000950133-03-001053-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013304000870/0000950133-04-000870-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013305000993/0000950133-05-000993-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013306001049/0000950133-06-001049-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000095013307000829/0000950133-07-000829-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735208000004/0001057352-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735209000013/0001057352-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000004/0001057352-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735211000012/0001057352-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735212000024/0001057352-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735213000013/0001057352-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735214000006/0001057352-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735215000012/csgp-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735216000103/0001057352-16-000103-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000008/0001057352-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735218000011/0001057352-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735219000017/0001057352-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735220000036/0001057352-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735221000032/0001057352-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735222000027/0001057352-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,19700000,94100000,47101242,30746087,25546000,35643000,36807000,28065000,38159000,57785000,159982000,205786000,206405000,545280000,156027000,255953000,527012000,421818000,567223000,1211463000,1100416000,1070731000,3693813000,3827126000
32,Short-Term Investments,- -,- -,- -,- -,11256115,1598000,61806000,80262000,106120000,119989000,129641000,35268000,20188000,3722000,3515000,37000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,19700000,94100000,47101242,42002202,27144000,97449000,117069000,134185000,158148000,187426000,195250000,225974000,210127000,548795000,156064000,255953000,527012000,421818000,567223000,1211463000,1100416000,1070731000,3693813000,3827126000
34,Net Receivables,1000000,1200000,2800000,6148399,5982896,6786000,4308000,3921000,5673000,9202000,10875000,12294000,12855000,18034000,17439000,21749000,20761000,39721000,40706000,48666000,60900000,89192000,92240000,103949000,124817000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,300000,2500000,861613,956709,17953000,1981000,6093000,6680000,11401000,7377000,4939000,8578000,11012000,16949000,21750000,31752000,33078000,10209000,11602000,15572000,23690000,36194000,90750000,36182000
37,Total Current Assets,2100000,21200000,99400000,54111254,48941807,51883000,103738000,127083000,146538000,178751000,205678000,212483000,247407000,239173000,583183000,199563000,308466000,599811000,472733000,627491000,1287935000,1213298000,1199165000,3888512000,3988125000
38,PP&E,1300000,2200000,5900000,14692744,11875713,11048000,10254000,13489000,15144000,18407000,24045000,16876000,19162000,69921000,37571000,46308000,57719000,73753000,88311000,87568000,84496000,83303000,222613000,210423000,333337000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,46497000,61854000,54328000,80321000,79602000,91784000,718078000,718587000,1138805000,1252945000,1254866000,1283457000,1611535000,1882020000,2235999000,2321015000
40,Intangible Assets,- -,- -,31200000,76658067,62471547,55704000,68941000,69594000,66410000,23172000,25711000,16421000,23390000,18774000,20530000,170632000,144472000,241622000,238318000,195965000,182892000,288911000,421196000,451387000,474436000
41,Intangible Assets,- -,- -,31200000,76658067,62471547,55704000,68941000,69594000,66410000,69669000,87565000,70749000,103711000,98376000,112314000,888710000,863059000,1380427000,1491263000,1450831000,1466349000,1900446000,2303216000,2687386000,2795451000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29340000,29724000,29189000,24584000,21662000,21990000,17151000,15507000,9952000,10070000,10070000,10070000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,21487000,18690000,6973000,2233000,3392000,1978000,- -,10224000,- -,- -,- -,9107000,7273000,5431000,7469000,5408000,4983000,5034000
44,Other Non-Current Assets,3200000,4100000,400000,408561,356914,272000,967000,1038000,1277000,1637000,2322000,1544000,2597000,2989000,3159000,8896000,5748000,12540000,2650000,1948000,19160000,98371000,113514000,124116000,134924000
45,Total Non-Current Assets,4500000,6300000,37500000,91759372,74704174,67024000,80162000,105608000,101521000,96686000,116165000,121901000,157172000,200475000,187852000,965576000,948516000,1483871000,1606838000,1557572000,1585506000,2099659000,2654821000,3026908000,3268746000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6600000,27500000,136900000,145870626,123645981,118907000,183900000,232691000,248059000,275437000,321843000,334384000,404579000,439648000,771035000,1165139000,1256982000,2083682000,2079571000,2185063000,2873441000,3312957000,3853986000,6915420000,7256871000
48,Accounts Payable,400000,800000,1800000,1417199,1216823,1596000,1235000,1876000,1484000,1878000,3299000,1636000,3667000,3123000,6010000,6234000,4939000,8608000,9673000,11478000,9262000,6327000,7640000,15732000,22244000
49,Short-Term Debt,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17500000,24063000,20000000,16746000,31866000,- -,- -,29670000,32648000,26268000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1907000,- -,- -,978000,- -,2362000,- -,- -,3814000,8166000,14288000,10705000,16316000,31236000
51,Deferred Revenue,- -,- -,- -,- -,4532285,4766000,5886000,6292000,7638000,8817000,10374000,10622000,14840000,16895000,25338000,35071000,36885000,40526000,46348000,42893000,52941000,58135000,67274000,74851000,95471000
52,Other Current Liabilities,1600000,3500000,8400000,17092395,9877652,8528000,8410000,11040000,12915000,13450000,24564000,16878000,25240000,34908000,30434000,42833000,45666000,50156000,62514000,68709000,84463000,89697000,102472000,207619000,194706000
53,Total Current Liabilities,3700000,4300000,10200000,18509594,15626760,14890000,15531000,19208000,22037000,24145000,38237000,29136000,43747000,54926000,61782000,101638000,111553000,119290000,135281000,154946000,146666000,154159000,207056000,330850000,338689000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153125000,129062000,365000000,338366000,306473000,- -,- -,- -,1110938000,1095358000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47925000,46114000,49114000,50794000,50867000,50304000,50101000,45613000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,7000000,987262,- -,- -,- -,2539000,1226000,1182000,1801000,132000,- -,1450000,- -,34071000,34582000,30349000,4585000,18386000,12070000,69857000,87096000,72991000,98656000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1695000,1826000,1770000,2151000,3848000,4809000,4703000,6692000,741000,13354000,21386000,154241000,25282000,12496000
58,Total Non-Current Liabilities,- -,- -,7000000,987262,- -,- -,- -,2539000,1226000,1182000,1801000,1827000,1826000,3220000,50076000,237158000,217567000,450846000,400510000,375904000,75525000,136856000,241337000,1209211000,1206510000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163390000,156871000,133682000
61,Total Liabilities,3700000,4300000,17200000,19496856,15626760,14890000,15531000,21747000,23263000,25327000,40038000,30963000,45573000,58146000,111858000,338796000,329120000,570136000,535791000,530850000,222191000,291015000,448393000,1540061000,1545199000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,155451,157178,158000,179000,183000,187000,191000,195000,197000,206000,208000,254000,283000,288000,323000,325000,326000,361000,364000,366000,394000,3946000
64,Retained Earnings,- -,-14600000,-26900000,-76543373,-96704702,-101489000,-101389000,-76404000,-69947000,-57537000,-41586000,-16963000,1730000,15019000,29675000,39590000,69324000,114193000,110728000,195799000,320656000,613454000,940474000,1167602000,1460166000
65,Other Comprehensive Income/Loss,-800000,-1200000,-2400000,-6474886,-11390271,-15510000,2396000,3959000,-1364000,4520000,5626000,-13796000,-7565000,-8706000,-8568000,-6518000,-5530000,-6384000,-7594000,-13039000,-9020000,-11688000,-8585000,-889000,-5758000
66,Other Total Stockholders Equity,3700000,39000000,148900000,209236578,215957016,220858000,267183000,283206000,295920000,302936000,317570000,333983000,364635000,374981000,637816000,792988000,863780000,1405414000,1440321000,1471127000,2339253000,2419812000,2473338000,4208252000,4253318000
67,Total Stockholders Equity,2900000,23200000,119700000,126373770,108019221,104017000,168369000,210944000,224796000,250110000,281805000,303421000,359006000,381502000,659177000,826343000,927862000,1513546000,1543780000,1654213000,2651250000,3021942000,3405593000,5375359000,5711672000
68,Total Liabilities And Stockholders Equity,6600000,27500000,136900000,145870626,123645981,118907000,183900000,232691000,248059000,275437000,321843000,334384000,404579000,439648000,771035000,1165139000,1256982000,2083682000,2079571000,2185063000,2873441000,3312957000,3853986000,6915420000,7256871000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6600000,27500000,136900000,145870626,123645981,118907000,183900000,232691000,248059000,275437000,321843000,334384000,404579000,439648000,771035000,1165139000,1256982000,2083682000,2079571000,2185063000,2873441000,3312957000,3853986000,6915420000,7256871000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1057352/000095013303001053/0000950133-03-001053-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013304000870/0000950133-04-000870-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013305000993/0000950133-05-000993-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013306001049/0000950133-06-001049-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000095013307000829/0000950133-07-000829-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735208000004/0001057352-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735209000013/0001057352-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000004/0001057352-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735211000012/0001057352-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735212000024/0001057352-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735213000013/0001057352-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735214000006/0001057352-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735215000012/csgp-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735216000103/0001057352-16-000103-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000008/0001057352-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735218000011/0001057352-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735219000017/0001057352-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735220000036/0001057352-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735221000032/0001057352-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735222000027/0001057352-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3300000,-3200000,-12300000,-49654949,-20161329,-4784000,100000,24985000,6457000,12410000,15951000,24623000,18693000,13289000,14656000,9915000,29734000,44869000,-3465000,85071000,122695000,238334000,314963000,227128000,292564000
74,Depreciation and Amortization,800000,1100000,4900000,18808836,19249867,11787000,13166000,13010000,11714000,11810000,16147000,16801000,14676000,13649000,12852000,32752000,40058000,70372000,78532000,70165000,63643000,77743000,81165000,116944000,139558000
75,Deferred Income Tax,- -,- -,- -,-2045014,- -,- -,- -,- -,- -,- -,9946000,2148000,-2428000,1675000,-17104000,13643000,-12740000,-1366000,-5792000,15635000,-2903000,3666000,8220000,-11530000,24165000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4940000,6460000,8306000,8103000,12282000,41549000,28267000,34537000,36349000,39030000,41214000,52255000,53450000,63709000
77,Change in Working Capital,-100000,72300000,-53598340,-2286613,3677953,51214000,19668000,16626000,30105000,12835000,15906000,20313000,-19413000,337154000,-423476000,98988000,283608000,-143069000,135093000,668724000,-82130000,-67030000,2565553000,35658000,-154742000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6196000,-1610000,-1776000,-4573000,1295000,-6607000,-12353000,-3999000,-16044000,-17524000,-27819000,-5014000,-36118000,-29630000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2655000,6690000,4030000,1827000,-3882000,6078000,9938000,-1520000,11525000,-14132000,17751000,100846000,-30051000
81,Other Working Capital,16900000,89200000,35601660,33315047,36993000,88207000,107875000,124501000,154606000,167441000,183347000,203660000,184247000,521401000,97925000,196913000,480521000,337452000,472545000,1141269000,1059139000,992109000,3557662000,3593320000,-54642000
82,Other Non-Cash Items,400000,-70500000,53498340,8331475,-7314203,-52643000,-19384000,-29898000,-25357000,-4304000,-6151000,-27917000,21581000,-334804000,430654000,-81454000,-273911000,144836000,-107660000,-680000000,94368000,41531000,-2564376000,64456000,104477000
83,Cash Provided by Operating Activities,-2200000,-300000,-7500000,-26846265,-4547712,5574000,13550000,24723000,22919000,32751000,51799000,40908000,39569000,39269000,25685000,86126000,108298000,143909000,131245000,195944000,234703000,335458000,457780000,486106000,469731000
84,CAPEX,-1100000,-1300000,-14200000,-11493570,-2098354,-4016000,-3880000,-9032000,-8393000,-12959000,-14271000,-3656000,-10544000,-57358000,-15013000,-14834000,-19042000,-27444000,-35061000,-18766000,-24499000,-29632000,-46197000,-48347000,-65220000
85,Acquisitions Net,- -,- -,- -,-3071000,- -,-305000,-17419000,-2270000,-4301000,-1887000,-16737000,-3024000,-3207000,- -,-15085000,-640929000,- -,-584218000,-182341000,-10443000,-47768000,-418369000,-437556000,-426075000,-192971000
86,Purchases of Investments,- -,- -,- -,- -,-8080068,- -,-60231000,-90588000,-250272000,-109040000,-116676000,-4839000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9658000,- -,71944000,224234000,95393000,107286000,63949000,17159000,16854000,4911000,15365000,76000,5675000,1900000,5950000,- -,- -,- -,10259000,- -
88,Other Investing Activites,-600000,-1000000,-2300000,-3133033,-169904,-16807000,16009000,- -,- -,- -,- -,- -,- -,- -,83553000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123152000
89,Cash Used for Investing Activites,-1700000,-2300000,-16500000,-17697603,-10348326,-11470000,-65521000,-29946000,-38732000,-28493000,-40398000,52430000,3408000,-40504000,58366000,-640398000,-18966000,-605987000,-215502000,-23259000,-72267000,-448001000,-483753000,-464163000,-381343000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4375000,-17500000,-318125000,-20000000,-20000000,-345000000,- -,- -,-745000000,- -
91,Common Stock Issued,- -,22800000,98300000,2101983,1716930,696000,61759000,6297000,7412000,5582000,8161000,6158000,- -,- -,247924000,- -,- -,529360000,- -,- -,833911000,- -,- -,1689971000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-672000,-2904000,-2307000,-4204000,-8469000,-50555000,-16436000,-16424000,-14902000,-24327000,-27577000,-38867000,-33314000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1700000,-1600000,- -,-4531000,- -,- -,- -,- -,- -,- -,- -,5317000,2844000,4946000,9163000,173520000,36374000,572833000,15932000,10559000,6421000,27071000,23423000,1756193000,17635000
95,Cash Used/Provided by Financing Activities,1700000,21200000,98300000,-2429017,1716930,696000,61759000,6297000,7412000,5582000,8161000,11475000,2172000,2042000,254780000,164941000,10405000,733513000,-20504000,-25865000,480430000,2744000,-4154000,2662297000,-15679000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,309000,90000,-341000,254000,64000,-2616000,655000,-188000,44000,78000,189000,-376000,-433000,-1415000,1374000,-1248000,442000,941000,-1495000
97,Net Change In Cash,- -,- -,74400000,-46972885,-13179108,-5200000,10097000,1164000,-8742000,10094000,19626000,102197000,45804000,619000,338875000,-389253000,99926000,271059000,-105194000,145405000,644240000,-111047000,-29685000,2685181000,71214000
98,Cash at the End of Period,- -,- -,94100000,47101242,30746087,25546000,35643000,36807000,28065000,38159000,57785000,159982000,205786000,206405000,545280000,156027000,255953000,527012000,421818000,567223000,1211463000,1100416000,1070731000,3755912000,3827126000
99,Cash at the Beginning of Period,3300000,1100000,19700000,94074127,43925195,30746000,25546000,35643000,36807000,28065000,38159000,57785000,159982000,205786000,206405000,545280000,156027000,255953000,527012000,421818000,567223000,1211463000,1100416000,1070731000,3755912000
100,Free Cash Flow,-3300000,-1600000,-21700000,-38339835,-6646066,1558000,9670000,15691000,14526000,19792000,37528000,37252000,29025000,-18089000,10672000,71292000,89256000,116465000,96184000,177178000,210204000,305826000,411583000,437759000,404511000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1057352/000095013303001053/0000950133-03-001053-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013304000870/0000950133-04-000870-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013305000993/0000950133-05-000993-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000095013306001049/0000950133-06-001049-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000095013307000829/0000950133-07-000829-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735208000004/0001057352-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735209000013/0001057352-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000004/0001057352-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735211000012/0001057352-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735212000024/0001057352-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735213000013/0001057352-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735214000006/0001057352-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735215000012/csgp-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735216000103/0001057352-16-000103-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735217000008/0001057352-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735218000011/0001057352-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735219000017/0001057352-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735220000036/0001057352-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1057352/000105735221000032/0001057352-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1057352/000105735222000027/0001057352-22-000027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
