,https://roic.ai/company/SEEL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-68.4860,-0.7732,-2.7333,-10101747.0000,-252.6600,-186.1819,-128.4882,-48.1534,-6.5445,-4.8898,-7.3890,-0.8685,-1.2845,-4.3037,-4.4329,-2.9579,-6.9164,-2.4364,-4.4121,-2.3264,-Infinity,-Infinity,-79.3253,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,1800000,125745,-174785,-324028,-3236631,-257857,-222281,518325,-206354,-935001,-28660514,-8107369,62554,-150000,1497000,82000,2327000,5974000,-1074000,-70000,-21133000,-342000,-4379000
20,Income Before Tax,- -,- -,- -,- -,- -,-27884164,-17465797,-17562695,-15923554,-8610650,-9593137,-6108855,-32480356,-29508346,-18117198,-25044000,-15870000,-22477000,-19023000,-7433000,-11749000,-9218000,-50880000,-19101000,-66048000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-188.3709,-157.7147,-48.8709,-6.6371,-4.6122,-7.5515,-1.0254,-10.9225,-5.9340,-4.4176,-2.9758,-6.3202,-2.4276,-3.9312,-1.2898,-Infinity,-Infinity,-135.6800,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-242645,-232231,-539047,-481116,-567397,-805909,-937657,-437794,- -,- -,516000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3857466,-4779002,-2500000,-8830071,-16174861,-27641519,-17233864,-17023648,-15442438,-8043253,-8787228,-5171198,-32042562,-29508346,-18117198,-31771000,-16938000,-21786000,-19023000,-7433000,321000,-9242000,-50880000,-19101000,-66048000
24,Net Income ratio,-68.6687,-0.8371,-1.6667,-8830071.0000,-237.5547,-186.7317,-155.6203,-47.3709,-6.4366,-4.3083,-6.9171,-0.8680,-10.7753,-5.9340,-4.4176,-3.7751,-6.7455,-2.3530,-3.9312,-1.2898,Infinity,-Infinity,-135.6800,-Infinity,-Infinity
25,EPS,-2835.01,-2880.01,-810.00,-1800.01,-2835.01,-4635.02,-2700.01,-1755.01,-1440.01,-540.00,-495.00,-270.00,-1620.01,-747.01,-270.00,-348.00,-147.00,-165.00,-114.00,-34.20,0.60,-12.13,-2.52,-0.43,-0.73
26,EPS Diluted,-2835.01,-2880.01,-810.00,-1800.01,-2835.01,-4635.02,-2700.01,-1755.01,-1440.01,-540.00,-495.00,-270.00,-1620.01,-747.01,-270.00,-348.00,-147.00,-165.00,-114.00,-34.20,0.60,-12.13,-2.52,-0.43,-0.73
27,Weighted Average Shares Outstanding,1350,1667,3049,4859,5663,5986,7477,9689,11672,14698,18225,18596,19688,39491,66744,91526,114709,132035,165760,217219,396396,761754,20308818,44766640,90890061
28,Weighted Average Shares Outstanding Diluted,1350,1667,3049,4859,5663,5986,7477,9689,11672,14698,18225,18596,19688,39491,66744,91526,114709,132035,165760,217219,396396,761754,20308818,44766640,90890061
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017491/000095013601000425/0000950136-01-000425-index.html,- -,https://www.sec.gov/Archives/edgar/data/1017491/000095013603000741/0000950136-03-000741-index.html,https://www.sec.gov/Archives/edgar/data/1017491/000095013604000647/0000950136-04-000647-index.html,https://www.sec.gov/Archives/edgar/data/1017491/000114420405007792/0001144204-05-007792-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420406010273/0001144204-06-010273-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420407014629/0001144204-07-014629-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420408014737/0001144204-08-014737-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420409014092/0001144204-09-014092-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420410017441/0001144204-10-017441-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420411014080/0001144204-11-014080-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420412014548/0001144204-12-014548-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000119312513111046/0001193125-13-111046-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749114000052/0001017491-14-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749115000032/0001017491-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749116000112/0001017491-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749117000030/0001017491-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749118000026/0001017491-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626119000121/0001136261-19-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626120000092/0001136261-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626121000034/0001136261-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626122000156/0001136261-22-000156-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,133189,1681336,5100000,27702585,12913803,1035149,9479214,7747285,2953781,11069133,2735940,2862960,479888,9145683,7434549,15130000,21405000,11400000,3887000,2087000,6331000,3579000,10261000,15662000,78734000
32,Short-Term Investments,- -,- -,- -,8087328,2265529,539795,1501204,1384000,500000,1000000,750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,133189,1681336,5100000,35789913,15179332,1574944,10980418,9131285,3453781,12069133,3485940,2862960,479888,9145683,7434549,15130000,21405000,11400000,3887000,2087000,6331000,3579000,10261000,15662000,78734000
34,Net Receivables,- -,1289483,- -,- -,- -,198348,48341,- -,582440,183700,- -,- -,1146692,538778,326926,678000,59000,678000,519000,530000,- -,- -,- -,- -,- -
35,Inventory,- -,699651,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136149,- -,336000,275000,469000,764000,- -,- -,- -,- -,- -
36,Other Current Assets,69254,193261,2200000,802472,4443864,498042,1482426,1399514,381970,192701,195740,114129,140521,792847,293486,5087000,464000,936000,1416000,253000,261000,106000,835000,1832000,4727000
37,Total Current Assets,202443,3863731,7300000,36592385,19623196,2271334,12511185,10530799,4418191,12445534,3681680,2977089,1767101,10477308,8191110,20895000,22264000,13289000,6291000,3634000,6592000,3685000,11096000,17494000,83461000
38,PP&E,200353,1867517,300000,3397297,7691517,11507564,10583733,9714450,8905716,7488100,6956986,5519652,5616811,5420939,4384357,601000,955000,1358000,1290000,1006000,79000,38000,- -,- -,39000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9084476,- -,1129950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4145006,2701512,2630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,193380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13229482,2701512,3759950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1930117,- -,- -,- -,- -,361229,38761,27412,8036,- -,34040,60771,319943,263879,280193,2383000,91000,162000,274000,60000,35000,37000,- -,- -,- -
45,Total Non-Current Assets,2130470,2060897,300000,3397297,7691517,11868793,10622494,9741862,8913752,7488100,6991026,5580423,19166236,8386330,8424500,2984000,1046000,1520000,1564000,1066000,114000,75000,- -,- -,39000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2332913,5924628,7600000,39989682,27314713,14140127,23133679,20272661,13331943,19933634,10672706,8557512,20933337,18863638,16615610,23879000,23310000,14809000,7855000,4700000,6706000,3760000,11096000,17494000,83500000
48,Accounts Payable,608313,1275982,600000,1245507,2194730,4874441,773522,1147840,690263,587750,621668,- -,- -,- -,1137595,2284000,926000,860000,1580000,960000,58000,235000,796000,1887000,1693000
49,Short-Term Debt,2568583,4698725,100000,- -,287541,609676,898861,644050,3289027,4872615,- -,- -,12129010,401000,4000000,- -,2600000,153000,9475000,6650000,- -,- -,- -,2431000,1068000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,128708,- -,2785801,1693917,953528,- -,118115,209705,180597,536000,1800000,226000,137000,- -,12000,- -,- -,- -,- -
52,Other Current Liabilities,82276,1619360,- -,- -,- -,- -,1273303,277660,1135671,216779,754703,1399866,1927793,1705923,4702491,7946000,6434000,5667000,4566000,3684000,1513000,937000,9982000,3111000,5526000
53,Total Current Liabilities,3259172,7594067,700000,1245507,2482271,5484117,3074394,2069550,7900762,7371061,2329899,1399866,14174918,2316628,10020683,10766000,11760000,6906000,15758000,11294000,1583000,1172000,10778000,7429000,8287000
54,Long-Term Debt,- -,- -,- -,- -,- -,4330307,6000000,6000000,3000000,- -,2538705,4690000,2990000,4000000,- -,3413000,- -,4626000,- -,- -,- -,- -,- -,7293000,17890000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82450,72250,1228817,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,724577,1102211,1335877,801826,1122997,1058098,999345,935517,980567,907999,547930,3079000,578000,358000,2041000,922000,752000,16000,325000,200000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,724577,5432518,7335877,6801826,4122997,1058098,3538050,5625517,4053017,4980249,1776747,6492000,578000,5984000,2041000,922000,752000,16000,325000,7493000,17890000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1102211,877877,233826,- -,- -,- -,- -,139495,133474,24683,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000
61,Total Liabilities,3259172,7594067,700000,1245507,3206848,10916635,10410271,8871376,12023759,8429159,5867949,7025383,18227935,7296877,11797430,17258000,12338000,12890000,17799000,12216000,2335000,1188000,11103000,14922000,26177000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,667830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6180,8402,- -,25147,25542,28294,40124,51688,55700,80287,83065,84352,104822,18519,21348,30000,38000,44000,50000,8000,15000,28000,27000,54000,105000
64,Retained Earnings,-8181434,-12960436,-15500000,-24171589,-40346450,-67987969,-85221535,-102245183,-117687621,-125730874,-134518102,-139689300,-171731862,-201240208,-219357406,-251128000,-268066000,-289852000,-308875000,-316308000,-315987000,-325229000,-56061000,-75162000,-141210000
65,Other Comprehensive Income/Loss,-35942,- -,-100000,-390298,-890887,-1503839,-2610257,-3507759,-4414300,-3628336,-4197787,-4611105,-4834087,-5451780,-3551601,1000000,-156000,-325000,-585000,-818000,-442000,-483000,- -,- -,- -
66,Other Total Stockholders Equity,7284937,10561597,22500000,63280915,65319660,72687006,100515076,117102539,122686575,140783398,143437581,145748182,179166529,218240230,227705839,256719000,279156000,292052000,299466000,309602000,320785000,328256000,56027000,77680000,198428000
67,Total Stockholders Equity,-926259,-2390437,6900000,38744175,24107865,3223492,12723408,11401285,1308184,11504475,4804757,1532129,2705402,11566761,4818180,6621000,10972000,1919000,-9944000,-7516000,4371000,2572000,-7000,2572000,57323000
68,Total Liabilities And Stockholders Equity,2332913,5203630,7600000,39989682,27314713,14140127,23133679,20272661,13331943,19933634,10672706,8557512,20933337,18863638,16615610,23879000,23310000,14809000,7855000,4700000,6706000,3760000,11096000,17494000,83500000
69,Minority Interest,- -,720998,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2332913,5924628,7600000,39989682,27314713,14140127,23133679,20272661,13331943,19933634,10672706,8557512,20933337,18863638,16615610,23879000,23310000,14809000,7855000,4700000,6706000,3760000,11096000,17494000,83500000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017491/000095013601000425/0000950136-01-000425-index.html,- -,https://www.sec.gov/Archives/edgar/data/1017491/000095013603000741/0000950136-03-000741-index.html,https://www.sec.gov/Archives/edgar/data/1017491/000095013604000647/0000950136-04-000647-index.html,https://www.sec.gov/Archives/edgar/data/1017491/000114420405007792/0001144204-05-007792-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420406010273/0001144204-06-010273-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420407014629/0001144204-07-014629-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420408014737/0001144204-08-014737-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420409014092/0001144204-09-014092-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420410017441/0001144204-10-017441-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420411014080/0001144204-11-014080-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420412014548/0001144204-12-014548-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000119312513111046/0001193125-13-111046-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749114000052/0001017491-14-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749115000032/0001017491-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749116000112/0001017491-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749117000030/0001017491-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749118000026/0001017491-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626119000121/0001136261-19-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626120000092/0001136261-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626121000034/0001136261-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626122000156/0001136261-22-000156-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3857466,-4779002,-2500000,-8830071,-16174861,-27641519,-17233864,-17023648,-15442438,-8043253,-8787228,-5171198,-32042562,-29508346,-18117198,-31771000,-16938000,-21786000,-19023000,-7433000,321000,-9242000,-50880000,-19101000,-66048000
74,Depreciation and Amortization,31684,341217,100000,257149,527011,1066436,1250667,996043,1268563,1170137,1030407,486420,387708,989242,602325,203000,77000,170000,300000,289000,117000,41000,- -,150000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1324072,902671,2339810,- -,2917000,1992000,1731000,1210000,1747000,1138000,1301000,459000,2044000,8347000
77,Change in Working Capital,599184,-673607,10330336,28746878,-18205953,-20353708,12649574,-975542,-11943820,8557044,-3722692,225442,-13985040,20568497,-9990253,11958573,375000,-4121000,-15850000,1807000,12669000,-2496000,-2195000,9747000,-1407000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132960,420120,68869,657000,253000,-620000,159000,-11000,- -,- -,- -,- -,- -
79,Inventory,- -,-699651,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-342,- -,-341000,61000,-194000,-295000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020322,690000,-920000,-66000,609000,-509000,-705000,177000,-1424000,1091000,-194000
81,Other Working Capital,-3056729,-3730336,6600000,35346878,17140925,-3212783,9436791,8461249,-3482571,5074473,1351781,1577223,-12407817,8160680,-1829573,10129000,10504000,6383000,-9467000,-7660000,5009000,2513000,318000,10065000,- -
82,Other Non-Cash Items,177425,-62184,-12430336,-26496134,19718595,23696878,-12211718,1775365,16281974,-8350942,4891880,422813,41222574,-1278236,17780228,1036427,-571000,5991000,10721000,-9478000,-24711000,2267000,33311000,-13753000,10113000
83,Cash Provided by Operating Activities,-3049173,-5173576,-4500000,-6322178,-14135208,-23231913,-15545341,-15227782,-9835721,-6667014,-6587633,-2712451,-3514649,-6889033,-9724898,-14395000,-15065000,-18015000,-22642000,-13068000,-10466000,-8129000,-19305000,-20913000,-48995000
84,CAPEX,-147135,-498758,-200000,-3309957,-3820458,-3587473,-441297,-145809,-160694,-76553,-100875,-28988,-5526,-436960,-262750,-436000,-573000,-580000,-337000,-18000,- -,- -,- -,- -,- -
85,Acquisitions Net,-1570000,-1870000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107170,1804000,255000,50000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-150000,- -,-23368745,-5878345,-3610747,-1504850,-1897584,-1500000,-6000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,15162880,8126732,8763279,743548,1010079,2384000,5500000,3250000,750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-147135,3241242,300000,- -,- -,-246689,- -,48341,- -,178769,- -,46012,344474,-435568,-262750,-300000,5027000,675000,5000,283000,12209000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1717135,1221242,100000,-11515822,-1572071,1318370,-1202599,-984973,723306,-397784,149125,796012,344474,-435568,-155580,1068000,4709000,145000,-332000,265000,12209000,- -,- -,- -,- -
90,Debt Repayment,-25000,-658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4060000,-50601,-3202376,-416908,-4000000,-27000,-2777000,-501000,-3118000,-7129000,- -,- -,- -,-13551000
91,Common Stock Issued,2101220,3175625,8400000,40588459,1019802,5750371,18563364,14393358,5054395,16438973,220893,- -,- -,11637712,6157565,20410000,16612000,5913000,10869000,14121000,10733000,4792000,25007000,26122000,118160000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-92027,- -,-2110,- -,- -,- -,- -,- -,- -,-42000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2628700,2938572,-600000,-166930,-101341,4284741,6625293,-898861,-644049,-1258823,-2113468,6103459,686678,7555060,2428687,4369000,46000,4771000,5093000,- -,-1103000,585000,4517000,192000,7458000
95,Cash Used/Provided by Financing Activities,4704920,5456197,7800000,40421529,918461,10035112,25188657,13494497,4318319,15180150,-1894685,2043459,636077,15990396,8169344,20779000,16631000,7865000,15461000,11003000,2501000,5377000,29524000,26314000,112067000
96,Effect of Forex Changes on Cash,- -,44284,- -,207,36,-223,3348,-13671,592,- -,- -,- -,- -,- -,- -,243000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-61388,1548147,3400000,22583736,-14788782,-11878654,8444065,-2731929,-4793504,8115352,-8333193,127020,-2534098,8665795,-1711134,7695000,6275000,-10005000,-7513000,-1800000,4244000,-2752000,10219000,5401000,63072000
98,Cash at the End of Period,133189,1681336,5100000,27702585,12913803,1035149,9479214,7747285,2953781,11069133,2735940,2862960,479888,9145683,7434549,15130000,21405000,11400000,3887000,2087000,6331000,3579000,10261000,15662000,78734000
99,Cash at the Beginning of Period,194577,133189,1700000,5118849,27702585,12913803,1035149,10479214,7747285,2953781,11069133,2735940,3013986,479888,9145683,7435000,15130000,21405000,11400000,3887000,2087000,6331000,42000,10261000,15662000
100,Free Cash Flow,-3196308,-5672334,-4700000,-9632135,-17955666,-26819386,-15986638,-15373591,-9996415,-6743567,-6688508,-2741439,-3520175,-7325993,-9987648,-14831000,-15638000,-18595000,-22979000,-13086000,-10466000,-8129000,-19305000,-20913000,-48995000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017491/000095013601000425/0000950136-01-000425-index.html,- -,https://www.sec.gov/Archives/edgar/data/1017491/000095013603000741/0000950136-03-000741-index.html,https://www.sec.gov/Archives/edgar/data/1017491/000095013604000647/0000950136-04-000647-index.html,https://www.sec.gov/Archives/edgar/data/1017491/000114420405007792/0001144204-05-007792-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420406010273/0001144204-06-010273-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420407014629/0001144204-07-014629-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420408014737/0001144204-08-014737-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420409014092/0001144204-09-014092-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420410017441/0001144204-10-017441-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420411014080/0001144204-11-014080-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000114420412014548/0001144204-12-014548-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000119312513111046/0001193125-13-111046-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749114000052/0001017491-14-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749115000032/0001017491-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749116000112/0001017491-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749117000030/0001017491-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000101749118000026/0001017491-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626119000121/0001136261-19-000121-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626120000092/0001136261-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626121000034/0001136261-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1017491/000113626122000156/0001136261-22-000156-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
