,https://roic.ai/company/TPC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,41500000,43900000,46500000,48600000,56800000,53800000,55700000,47600000,47700000,45900000,40100000,116500000,32500000,30400000,30000000,27168000,28061000,32770000,39762000,43049000,53798000,98516000,107913000,133998000,176504000,165536000,226965000,260369000,263082000,263752000,250840000,255270000,274928000,262577000,226916000,-223809000,239587000
11,COGS and Expenses,810200000,787800000,723600000,834000000,877000000,1018400000,979600000,1090000000,1091500000,1003200000,1123500000,1329700000,1306200000,1013700000,995600000,1078305000,1523895000,1059161000,1343613000,1791982000,1717571000,2971960000,4487377000,5461054000,4940423000,3026898000,3547941000,3956708000,3971850000,4250619000,4815059000,4771156000,4577731000,4262786000,4435976000,4608801000,4415026000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13811000,- -,- -,- -,- -,2842000,8745000,4793000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),600000,1200000,- -,2400000,4000000,6200000,9000000,7700000,5700000,7500000,8600000,9900000,- -,8700000,- -,3966000,2006000,1485000,1003000,704000,2003000,3771000,1947000,4163000,7501000,10564000,35750000,44174000,45632000,44716000,44027000,54335000,58665000,61293000,65098000,64217000,69026000
14,Depreciation and Amortization,6100000,5900000,4800000,5600000,6200000,7000000,7200000,6300000,3500000,2900000,2800000,2600000,1900000,1600000,3400000,2191000,2602000,3202000,3389000,5128000,6703000,9927000,10943000,27596000,38507000,31334000,47631000,61457000,59410000,55972000,43729000,67302000,51930000,47267000,65044000,107034000,118229000
15,EBITDA,-7500000,18900000,25100000,12500000,32800000,6900000,20700000,-12400000,17400000,10900000,-18800000,-57300000,8300000,23100000,-79800000,30495000,31876000,28562000,35314000,50758000,15627000,83387000,167285000,11909000,251148000,201366000,220428000,-162211000,244657000,288126000,161595000,270752000,258408000,226828000,-323157000,301646000,304812000
16,EBITDA ratio,-0.0093,0.0236,0.0339,0.0147,0.0365,0.0068,0.0209,-0.0116,0.0158,0.0108,-0.0171,-0.0451,0.0063,0.0223,-0.0783,0.0276,0.0205,0.0263,0.0257,0.0276,0.0090,0.0274,0.0361,0.0021,0.0487,0.0629,0.0593,-0.0395,0.0586,0.0641,0.0328,0.0544,0.0543,0.0509,-0.0726,0.0567,0.0657
17,Operating Income,-100000,13700000,17800000,14900000,20600000,-7100000,12300000,-19100000,8600000,8800000,-22400000,-59400000,18300000,22200000,23900000,27355000,29501000,25880000,30490000,50333000,7953000,70879000,140981000,-25246000,211543000,172312000,168376000,-221811000,203822000,241690000,105413000,201920000,179477000,191876000,-365007000,262344000,226804000
18,Operating Income ratio,-0.0001,0.0171,0.0240,0.0176,0.0230,-0.0070,0.0124,-0.0178,0.0078,0.0087,-0.0203,-0.0468,0.0138,0.0214,0.0234,0.0247,0.0190,0.0239,0.0222,0.0273,0.0046,0.0233,0.0305,-0.0045,0.0411,0.0539,0.0453,-0.0539,0.0488,0.0538,0.0214,0.0406,0.0377,0.0431,-0.0820,0.0493,0.0489
19,Total Other Income Expenses (Gains),8300000,500000,2500000,-10400000,2000000,800000,-7800000,-7300000,-400000,-8300000,-7800000,-10400000,-11900000,-9400000,-7100000,-3017000,-2233000,-2005000,432000,-5407000,-1032000,-1190000,13414000,5396000,-6403000,-12844000,-31329000,-46031000,-64207000,-54252000,-31574000,-52805000,-25502000,-59263000,-60827000,-88065000,-67022000
20,Income Before Tax,8200000,14200000,20300000,4500000,22600000,-6300000,4500000,-26400000,8200000,500000,-30200000,-69800000,6400000,12800000,16800000,24338000,27268000,23875000,30922000,44926000,6921000,69689000,154395000,-19850000,205140000,159468000,137047000,-267842000,139615000,187438000,73839000,149115000,153975000,132613000,-425834000,174279000,159782000
21,Income Before Tax Ratio,0.0101,0.0177,0.0274,0.0053,0.0252,-0.0062,0.0045,-0.0247,0.0075,0.0005,-0.0274,-0.0549,0.0048,0.0124,0.0165,0.0220,0.0176,0.0220,0.0225,0.0244,0.0040,0.0229,0.0334,-0.0035,0.0398,0.0498,0.0369,-0.0651,0.0334,0.0417,0.0150,0.0300,0.0324,0.0298,-0.0957,0.0328,0.0344
22,Income Tax expense (Gain),3700000,6700000,9000000,100000,9400000,-3700000,1300000,-9400000,5000000,200000,-2600000,800000,1000000,1100000,400000,-43000,850000,801000,-13096000,8919000,2872000,28153000,57281000,55290000,68079000,55968000,50899000,-2442000,52319000,79502000,28547000,53293000,-569000,34832000,-65609000,-21942000,25632000
23,Net Income,-17900000,5100000,11300000,4400000,13200000,-2600000,3200000,-17000000,3200000,300000,-27600000,-70600000,5400000,11700000,-83600000,24381000,26418000,23074000,44018000,36007000,4049000,41536000,97114000,-75140000,137061000,103500000,86148000,-265400000,87296000,107936000,45292000,95822000,148382000,83436000,-387690000,152337000,91925000
24,Net Income ratio,-0.0221,0.0064,0.0152,0.0052,0.0147,-0.0026,0.0032,-0.0159,0.0029,0.0003,-0.0251,-0.0556,0.0041,0.0113,-0.0820,0.0221,0.0170,0.0213,0.0320,0.0195,0.0023,0.0137,0.0210,-0.0133,0.0266,0.0324,0.0232,-0.0646,0.0209,0.0240,0.0092,0.0193,0.0312,0.0187,-0.0871,0.0286,0.0198
25,EPS,-5.64,1.56,3.12,0.71,3.11,-1.20,0.27,-4.69,0.24,-0.42,-6.38,-15.13,0.01,1.08,-16.04,1.13,1.07,0.92,2.18,1.47,0.21,1.56,3.62,-2.19,2.82,2.15,1.82,-5.59,1.82,2.22,0.92,1.95,2.99,1.67,-7.72,2.14,1.80
26,EPS Diluted,-5.64,1.56,3.12,0.71,3.11,-1.20,0.27,-4.69,0.24,-0.42,-6.38,-15.13,0.01,1.08,-16.04,1.13,1.04,0.91,2.10,1.39,0.20,1.54,3.54,-2.19,2.79,2.13,1.80,-5.59,1.80,2.20,0.91,1.92,2.92,1.66,-7.72,2.12,1.79
27,Weighted Average Shares Outstanding,3173759,3269231,3621795,3154000,4244373,3916000,3921000,4072495,4331000,4494000,4326019,4666226,5157046,5413000,5211970,21576106,24689720,22770652,22763000,23724000,25518000,26308000,26819000,34272000,48525000,48111000,47226000,47470000,47851000,48562000,48981000,49150000,49647000,49952000,50220000,50656000,51017000
28,Weighted Average Shares Outstanding Diluted,3173759,3269231,3621795,3154000,4244373,3916000,3921000,4072495,4331000,4494000,4392097,4666226,5157046,5413000,5303303,21576106,25401923,23020879,23583000,25061000,26150000,26758000,27419000,34272000,49084000,48649000,47890000,47470000,48589000,49114000,49666000,49864000,50759000,50301000,50220000,51077000,51369000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754395000003/0000077543-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754396000003/0000077543-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754301000002/0000077543-01-000002-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754309000018/0000077543-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754310000008/0000077543-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/77543/000114036111014534/form10k.htm,https://www.sec.gov/Archives/edgar/data/77543/000114036112012479/0001140361-12-012479-index.html,https://www.sec.gov/Archives/edgar/data/77543/000114036113009018/0001140361-13-009018-index.html,https://www.sec.gov/Archives/edgar/data/77543/000110465914012782/a13-25845_110k.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754315000013/c543-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754316000076/0000077543-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754317000009/0000077543-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754318000016/0000077543-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754319000009/0000077543-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754320000008/0000077543-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754321000020/0000077543-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754322000013/0000077543-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,37400000,27300000,36100000,30600000,59200000,52000000,47800000,79600000,35900000,7800000,29100000,9700000,31300000,46500000,58200000,59515000,28015000,47031000,67823000,136305000,139848000,225504000,459188000,386172000,348309000,471378000,204240000,168056000,119923000,135583000,75452000,146103000,192868000,116075000,193685000,374289000,202197000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8355000,100000,145678000,- -,358398000,- -,- -,- -,- -,- -,53014000,58142000,70974000,78912000,- -
33,Cash and Short-Term Investments,37400000,27300000,36100000,30600000,59200000,52000000,47800000,79600000,35900000,7800000,29100000,9700000,31300000,46500000,58200000,59515000,28015000,47031000,67823000,136305000,139848000,225504000,467543000,386272000,493987000,471378000,562638000,168056000,119923000,135583000,75452000,146103000,245882000,174217000,264659000,453201000,202197000
34,Net Receivables,146100000,165000000,150300000,134200000,141500000,152200000,140800000,132100000,137900000,151600000,181000000,223700000,175800000,133500000,93800000,189365000,232129000,218172000,328025000,372909000,536372000,843967000,1046111000,1378040000,1088386000,880614000,1275031000,1689615000,1864494000,2205906000,2378790000,2575126000,2734414000,2882111000,3040438000,1415063000,3379968000
35,Inventory,17400000,2400000,1500000,7000000,2700000,9700000,- -,- -,11700000,11500000,14900000,37900000,25100000,10100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,18900000,17000000,28300000,35800000,31200000,33600000,39000000,40300000,72100000,95700000,105300000,83500000,74000000,69400000,110100000,131072000,141430000,116728000,129895000,98502000,129670000,8782000,12428000,145988000,32181000,209050000,112365000,124176000,101503000,131067000,181003000,116527000,94096000,119315000,205889000,2212193000,280327000
37,Total Current Assets,219800000,211700000,216200000,207600000,234600000,247500000,227600000,252000000,257600000,266600000,330300000,354800000,306200000,259500000,262100000,379952000,401574000,381931000,525743000,607716000,805890000,1078253000,1526082000,1910300000,1614554000,1561042000,1950034000,1981847000,2085920000,2472556000,2635245000,2837756000,3074392000,3175643000,3510986000,4080457000,3862492000
38,PP&E,26100000,24300000,22300000,26000000,27600000,29800000,28100000,24500000,16100000,13500000,12600000,11100000,10500000,9900000,9800000,9890000,12405000,14042000,16598000,17486000,72813000,83811000,95437000,328480000,348821000,362437000,491377000,485095000,498125000,527602000,523525000,477626000,467499000,490669000,509685000,489217000,429645000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26268000,26268000,588112000,602471000,621920000,892602000,570646000,577756000,585006000,585006000,585006000,585006000,585006000,205143000,205143000,205143000
40,Intangible Assets,2200000,2100000,2100000,2000000,2000000,1900000,1800000,1800000,1700000,1700000,1600000,1600000,1500000,- -,1100000,- -,- -,- -,14007000,12678000,26706000,5408000,4141000,125026000,134327000,132551000,197999000,126821000,113740000,100254000,96540000,93000000,89500000,85900000,155300000,123115000,85068000
41,Intangible Assets,2200000,2100000,2100000,2000000,2000000,1900000,1800000,1800000,1700000,1700000,1600000,1600000,1500000,- -,1100000,- -,- -,- -,14007000,12678000,26706000,31676000,30409000,713138000,736798000,754471000,1090601000,697467000,691496000,685260000,681546000,678006000,674506000,670906000,360443000,328258000,290211000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104779000,101201000,88129000,62311000,46283000,46283000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4161000,12652000,47000,- -,- -,- -,- -,- -,- -,29840000,22877000,36854000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,74500000,87200000,121500000,138800000,191800000,230500000,241100000,200400000,201000000,200700000,194800000,96800000,96700000,109200000,2500000,3610000,3006000,6416000,4934000,3733000,9800000,2252000,2187000,16381000,19280000,13141000,18804000,55878000,52737000,51043000,202125000,45232000,47726000,50523000,104663000,- -,142550000
45,Total Non-Current Assets,102800000,113600000,145900000,166800000,221400000,262200000,271000000,226700000,218800000,215900000,209000000,109500000,108700000,119100000,13400000,13500000,15411000,20458000,39700000,46549000,109366000,117739000,128033000,1162778000,1206100000,1218178000,1663093000,1314563000,1311518000,1300759000,1407196000,1200864000,1189731000,1212098000,974791000,817475000,862406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,322600000,325300000,362100000,374400000,456000000,509700000,498600000,478700000,476400000,482500000,539300000,464300000,414900000,378600000,275500000,393452000,416985000,402389000,565443000,654265000,915256000,1195992000,1654115000,3073078000,2820654000,2779220000,3613127000,3296410000,3397438000,3773315000,4042441000,4038620000,4264123000,4387741000,4485777000,4897932000,4724898000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,99800000,134800000,136200000,140500000,197100000,183400000,145100000,127800000,83600000,183359000,218314000,162456000,318448000,344684000,467079000,641604000,1122835000,1352041000,990551000,653542000,785725000,696473000,758225000,798174000,937464000,994016000,961791000,833684000,934880000,794611000,781001000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5700000,16400000,11900000,3000000,32200000,10398000,10249000,416000,490000,759000,16281000,14607000,7374000,18674000,31334000,21334000,59959000,67710000,114658000,81292000,88917000,85890000,30748000,16767000,124054000,100188000,24406000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29468000,65868000,48431000,57111000,83173000,155392000,- -,- -,- -,- -,- -,301761000,267586000,319296000,288311000,331112000,456869000,573190000,844389000,82966000,761689000
52,Other Current Liabilities,176000000,165000000,173000000,163500000,194400000,213700000,97000000,86200000,84500000,91200000,91000000,98200000,77200000,71100000,97900000,105718000,50174000,37283000,32977000,27133000,86022000,72698000,102352000,314536000,289551000,293238000,547550000,168326000,158017000,159814000,159016000,107925000,132438000,174325000,206533000,1286598000,210017000
53,Total Current Liabilities,176000000,165000000,173000000,163500000,194400000,213700000,196800000,221000000,220700000,236700000,293800000,298000000,234200000,201900000,213700000,299475000,308205000,266023000,400346000,429687000,652555000,884301000,1232561000,1685251000,1311436000,968114000,1393234000,1234270000,1298486000,1358576000,1473708000,1518943000,1581846000,1597966000,2109856000,2264363000,1777113000
54,Long-Term Debt,37600000,44400000,39800000,55800000,82800000,100900000,96300000,85800000,82400000,77000000,84200000,96900000,84900000,75900000,41100000,17218000,7540000,12123000,8522000,8608000,39969000,34135000,13358000,61580000,84771000,374350000,612548000,669380000,619226000,784067000,734531000,673629000,705528000,744737000,710422000,100188000,969248000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,19300000,22700000,25500000,30100000,28300000,50300000,57400000,15200000,38800000,33500000,52700000,31300000,24100000,15700000,19700000,16137000,21832000,37594000,36015000,41936000,39557000,3952000,- -,98862000,78977000,79082000,97921000,109900000,114333000,150371000,273310000,131007000,108504000,105521000,35686000,- -,70989000
57,Other Non-Current Liabilities,7500000,7000000,5600000,6200000,7600000,- -,100000,23500000,-100000,-100000,- -,-100000,29600000,33300000,-100000,- -,- -,- -,- -,- -,- -,29745000,39862000,89159000,57044000,44680000,109597000,29096000,117858000,114796000,140665000,162018000,163465000,151639000,199288000,230066000,233828000
58,Total Non-Current Liabilities,64400000,74100000,70900000,92100000,118700000,151200000,153800000,124500000,121100000,110400000,136900000,128100000,138600000,124900000,60700000,33355000,29372000,49717000,44537000,50544000,79526000,67832000,53220000,249601000,220792000,498112000,820066000,918276000,851417000,1049234000,1148506000,966654000,977497000,1001897000,945396000,330254000,1274065000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568563000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,240400000,239100000,243900000,255600000,313100000,364900000,350600000,345500000,341800000,347100000,430700000,426100000,372800000,326800000,274400000,332830000,337577000,315740000,444883000,480231000,732081000,952133000,1285781000,1934852000,1532228000,1466226000,2213300000,2152546000,2149903000,2407810000,2622214000,2485597000,2559343000,2599863000,3055252000,3502672000,3051178000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,56000,56000,19000,461000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,22645000,22725000,22725000,22946000,25233000,26038000,26554000,26987000,48319000,48539000,47090000,47329000,47556000,48421000,48671000,49073000,49211000,49781000,50026000,50279000,50827000,51096000
64,Retained Earnings,90400000,92800000,99900000,99600000,107700000,100600000,101700000,82600000,83600000,81800000,52100000,-20700000,-15300000,-3600000,-87300000,-62909000,-36491000,-13417000,30007000,64826000,67885000,101086000,198200000,123060000,260121000,316531000,402679000,137279000,224575000,332511000,377803000,473625000,622007000,701681000,313991000,422385000,514310000
65,Other Comprehensive Income/Loss,-54700000,-52300000,-37800000,-38200000,-40600000,-40900000,-45200000,-44200000,-29000000,-29100000,-27300000,-23000000,-19400000,-16400000,-17400000,-18071000,-18768000,-17340000,-21780000,-26139000,-26990000,-23692000,-17517000,-34545000,-33217000,-36040000,-43615000,-43574000,-33379000,-41618000,-42165000,-45413000,-42718000,-45449000,-42100000,-46741000,-43635000
66,Other Total Stockholders Equity,46500000,45700000,56100000,57400000,75800000,77000000,82100000,83400000,76600000,79400000,80800000,79400000,75700000,70700000,97900000,118957000,111942000,94581000,89331000,110058000,116223000,139450000,160664000,1001392000,1012983000,985413000,993434000,1002603000,1007918000,1025941000,1035516000,1075600000,1084205000,1102919000,1117972000,1127385000,1133150000
67,Total Stockholders Equity,82200000,86200000,118200000,118800000,142900000,136700000,138600000,121800000,131200000,132100000,105600000,35700000,41000000,50700000,1100000,60622000,79408000,86649000,120560000,174034000,183175000,243859000,368334000,1138226000,1288426000,1312994000,1399827000,1143864000,1247535000,1365505000,1420227000,1553023000,1713275000,1809177000,1440142000,1553856000,1654921000
68,Total Liabilities And Stockholders Equity,322600000,325300000,362100000,374400000,456000000,501600000,489200000,467300000,473000000,479200000,536300000,461800000,413800000,377500000,275500000,393452000,416985000,402389000,565443000,654265000,915256000,1195992000,1654115000,3073078000,2820654000,2779220000,3613127000,3296410000,3397438000,3773315000,4042441000,4038620000,4272618000,4409040000,4495394000,5056528000,4706099000
69,Minority Interest,- -,- -,- -,- -,- -,8100000,9400000,11400000,3400000,3300000,3000000,2500000,1100000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8495000,-21299000,-9617000,-158596000,18799000
70,Total Liabilities & Equity,322600000,325300000,362100000,374400000,456000000,509700000,498600000,478700000,476400000,482500000,539300000,464300000,414900000,378600000,275500000,393452000,416985000,402389000,565443000,654265000,915256000,1195992000,1654115000,3073078000,2820654000,2779220000,3613127000,3296410000,3397438000,3773315000,4042441000,4038620000,4264123000,4387741000,4485777000,4897932000,4724898000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754395000003/0000077543-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754396000003/0000077543-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754301000002/0000077543-01-000002-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77543/000007754309000018/0000077543-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754310000008/0000077543-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/77543/000114036111014534/form10k.htm,https://www.sec.gov/Archives/edgar/data/77543/000114036112012479/0001140361-12-012479-index.html,https://www.sec.gov/Archives/edgar/data/77543/000114036113009018/0001140361-13-009018-index.html,https://www.sec.gov/Archives/edgar/data/77543/000110465914012782/a13-25845_110k.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754315000013/c543-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754316000076/0000077543-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754317000009/0000077543-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754318000016/0000077543-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754319000009/0000077543-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754320000008/0000077543-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/77543/000007754321000020/0000077543-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/77543/000007754322000013/0000077543-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-17900000,5100000,- -,4400000,13200000,-2600000,3200000,-17000000,3200000,300000,-27600000,-70600000,5400000,11700000,-83600000,24381000,26418000,23074000,44018000,36007000,4049000,41536000,97114000,-75140000,137061000,103500000,86148000,-265400000,87296000,107936000,45292000,95822000,148382000,83436000,-387690000,152337000,91925000
74,Depreciation and Amortization,6100000,5900000,- -,5600000,6200000,7000000,7200000,6300000,3500000,2900000,2800000,2600000,1900000,1600000,3400000,2191000,2602000,3202000,3389000,5128000,6703000,9927000,10943000,27596000,38507000,31334000,47631000,61457000,59410000,55972000,43729000,67302000,51930000,47267000,65044000,107034000,118229000
75,Deferred Income Tax,- -,- -,- -,- -,- -,8300000,6200000,-13200000,11200000,-5300000,19200000,-21400000,2400000,- -,- -,- -,- -,- -,- -,159000,-3304000,15273000,-10668000,-7984000,-10541000,-3826000,10854000,-25606000,9009000,21460000,22214000,-10169000,-23096000,-449000,-71609000,48253000,-13887000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12145000,12462000,12752000,8818000,9470000,6623000,18615000,9477000,13423000,21174000,22782000,19143000,11833000,11642000
77,Change in Working Capital,- -,-3500000,- -,900000,-3900000,-6400000,-3000000,200000,5900000,-7000000,6600000,20300000,15200000,-14400000,-9200000,32077000,12892000,22539000,9489000,52632000,-24694000,40617000,99569000,-68472000,78069000,289810000,-36128000,190777000,39857000,326546000,47557000,157276000,173733000,85131000,-176547000,414964000,-422227000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125064000,363076000,-22054000,6657000,50655000,-62991000,-186384000,4734000,-269900000,-57609000,60653000,-160503000,-190670000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
