,https://roic.ai/company/CTO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3800000,3600000,34600000,42400000,4500000,5000000,6000000,5200000,5400000,4600000,4600000,4500000,6800000,2500000,3200000,3364792,4594330,-1614685,-1745949,-1213420,22000000,22000000,-3243058,-2082192,5744659,3914218,6089133,8932619,8318879,10507721,13966676,18493294,22916569,25546893,25615278,29204000,31628000
11,COGS and Expenses,19000000,21400000,34600000,42400000,44200000,38600000,43300000,37000000,34000000,18500000,16500000,17500000,17700000,7200000,11500000,11409870,12517044,8553294,7128973,13091685,12614633,14026648,12369666,7924370,15914764,14265030,16458342,15906244,18942189,22507677,27734774,44333314,53369546,45230894,32719945,44415000,54058000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1986608,2044825,1463820,1114074,1003707,937979,573735,663231,712496,231448,156914,459391,1485,405,61736,2691385,2588235,2052689,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,536018,1826564,2439561,6919767,8753338,8014000,9928000,12022000,10384000,8343000
14,Depreciation and Amortization,1600000,1800000,- -,- -,2700000,2800000,2500000,2000000,1800000,1100000,1100000,1100000,900000,200000,300000,278655,739007,806842,1120153,1344315,1755127,2265848,2466981,2655088,2771633,2727399,2512366,2324182,2974587,3490485,5212897,8195417,12663959,16135502,15797278,19063000,20581000
15,EBITDA,7400000,4800000,3800000,3200000,5500000,-13500000,6900000,7500000,2800000,11300000,8200000,11700000,7100000,1500000,19400000,12094814,-428050,15762412,22548286,25164271,24697466,23780415,23760039,10390907,4016218,1873102,-5480467,3782480,10376078,16144727,25748934,45036857,52462117,77394258,148264314,24457000,55785000
16,EBITDA ratio,0.3136,0.2000,0.1003,0.0702,0.1168,-0.4232,0.1487,0.1829,0.0807,0.4575,0.4940,0.5442,0.3142,0.2344,1.1345,0.6090,-0.0463,0.5856,0.6803,0.5994,0.5671,0.5617,0.5965,0.5625,0.2373,0.1397,-0.3848,0.2183,0.4016,0.4545,0.5988,0.6337,0.5739,0.8928,3.2991,0.4338,0.7938
17,Operating Income,4600000,2600000,3300000,3200000,2900000,-6700000,3100000,4000000,700000,6200000,100000,4000000,4900000,-800000,5600000,8450633,-3268489,18362745,26016167,28893241,30939397,28309555,27463300,10548622,- -,- -,- -,1663231,6279377,12592506,20269309,37319587,40269309,63493372,34198691,12280000,23345000
18,Operating Income ratio,0.1949,0.1083,0.0871,0.0702,0.0616,-0.2100,0.0668,0.0976,0.0202,0.2510,0.0060,0.1860,0.2168,-0.1250,0.3275,0.4255,-0.3534,0.6822,0.7849,0.6882,0.7104,0.6687,0.6895,0.5710,- -,- -,- -,0.0960,0.2430,0.3545,0.4714,0.5251,0.4405,0.7324,0.7610,0.2178,0.3322
19,Total Other Income Expenses (Gains),1200000,400000,500000,- -,-100000,-9600000,100000,- -,- -,4100000,7000000,6600000,1300000,900000,4100000,3365526,2101432,-3407175,-4588034,-5073285,-7997058,-6819371,-6170242,-2812803,231448,- -,-6159497,-780259,-1826159,-2377825,-6710888,-9283319,-8485151,-10371065,-12121219,-17270000,3516000
20,Income Before Tax,5800000,3000000,3800000,3200000,2800000,-16300000,3200000,4000000,700000,10300000,7100000,10600000,6200000,- -,9700000,11816159,-1167057,14955570,21428133,23819956,22942339,21490184,21293058,7735819,1244585,-854297,-8375083,882972,4453218,10214681,13558421,28036268,31784158,53122307,22077472,-4990000,26861000
21,Income Before Tax Ratio,0.2458,0.1250,0.1003,0.0702,0.0594,-0.5110,0.0690,0.0976,0.0202,0.4170,0.4277,0.4930,0.2743,- -,0.5673,0.5950,-0.1262,0.5556,0.6465,0.5673,0.5268,0.5076,0.5346,0.4188,0.0735,-0.0637,-0.5880,0.0510,0.1724,0.2876,0.3153,0.3945,0.3477,0.6128,0.4913,-0.0885,0.3822
22,Income Tax expense (Gain),2200000,800000,1200000,1100000,1000000,-3600000,1200000,1500000,200000,3800000,2700000,4000000,2200000,- -,3300000,2956348,-531161,5669729,8233738,9168217,8124589,7486245,7760220,2900919,444015,-251343,-3286642,323078,1891680,3830863,5269104,11836854,-9935266,14162966,5472178,-83499000,-3079000
23,Net Income,3600000,2200000,2600000,2100000,1800000,-12700000,3200000,4000000,800000,6400000,4400000,6600000,4000000,1300000,15800000,8859811,-635896,9285841,13194395,14651739,14817750,14028322,13532838,4834900,800570,-602954,-4706191,599202,3683247,6383818,8347166,16251248,41719424,37167790,114972858,78509000,29940000
24,Net Income ratio,0.1525,0.0917,0.0686,0.0461,0.0382,-0.3981,0.0690,0.0976,0.0231,0.2591,0.2651,0.3070,0.1770,0.2031,0.9240,0.4461,-0.0688,0.3450,0.3981,0.3490,0.3402,0.3314,0.3397,0.2617,0.0473,-0.0450,-0.3304,0.0346,0.1426,0.1797,0.1941,0.2286,0.4564,0.4288,2.5583,1.3925,0.4261
25,EPS,0.14,0.18,0.21,0.17,0.14,-1.01,0.26,0.64,0.25,1.01,0.71,1.05,0.64,0.20,2.48,1.51,-0.11,1.65,2.35,2.60,2.62,2.47,2.37,0.84,0.14,-0.11,-0.82,0.10,0.64,1.11,1.44,2.86,7.53,6.76,23.03,16.69,4.69
26,EPS Diluted,0.14,0.17,0.20,0.16,0.14,-1.01,0.26,0.64,0.25,1.01,0.71,1.05,0.64,0.20,2.48,1.51,-0.11,1.65,2.35,2.58,2.58,2.46,2.36,0.84,0.14,-0.11,-0.82,0.10,0.64,1.10,1.43,2.85,7.48,6.72,23.00,16.69,4.69
27,Weighted Average Shares Outstanding,24827586,11891892,12380952,12352941,3448276,13861386,12549020,6250000,6190476,6261272,6261272,6261272,6250000,6500000,5483871,5867425,5780873,5627782,5614636,5635284,5655630,5679483,5710058,5727183,5724067,5723795,5724104,5992020,5755073,5751187,5796643,5682255,5540428,5495792,4991656,4704877,5892270
28,Weighted Average Shares Outstanding Diluted,25714286,12571429,13000000,13125000,3703704,13861386,12549020,6250000,6190476,6261272,6261272,6261272,6250000,6500000,5483871,5867425,5780873,5627782,5614636,5678969,5743314,5702570,5734253,5727183,5724067,5723795,5724104,5992020,5755073,5803471,5837179,5702192,5577463,5529321,4998043,4704877,5892270
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/0000950144-95-001105-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379596000010/0000023795-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379598000005/0000023795-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379599000007/0000023795-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379501000004/0000023795-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379502000006/0000023795-02-000006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379506000026/0000023795-06-000026-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/000119312513098925/0001193125-13-098925-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000119312514091567/0001193125-14-091567-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000119312515069704/0001193125-15-069704-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000156459016013810/0001564590-16-013810-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837017001013/0001558370-17-001013-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837018001296/0001558370-18-001296-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837019001302/0001558370-19-001302-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837020002154/0001558370-20-002154-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837021002457/0001558370-21-002457-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837022001966/0001558370-22-001966-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4700000,4300000,- -,- -,5100000,2200000,1400000,1500000,3100000,500000,200000,1800000,9400000,300000,16500000,12909722,2797868,1019976,1026210,273911,1127143,738264,863826,388787,266669,337617,6174,1301739,4932512,1881195,4060677,7779562,6559409,2310489,6474637,4289000,8615000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000,8178186,5487052,5013224,3891697,3642785,14341097,11780205,10193094,5260868,4966864,4939625,- -,- -,729814,821436,5703767,23960467,11925699,- -,- -,30574000,41037000
33,Cash and Short-Term Investments,4700000,4300000,- -,- -,5100000,2200000,1400000,1500000,3100000,500000,200000,1800000,9400000,300000,33200000,21087908,8284920,6033200,4917907,3916696,15468240,12518469,11056920,5649655,5233533,5277242,6174,1301739,5662326,2702631,9764444,31740029,18485108,2310489,6474637,34863000,49652000
34,Net Receivables,2900000,3000000,- -,- -,6200000,4500000,4000000,6100000,5400000,11100000,13100000,2200000,1800000,9100000,7400000,11602477,9245576,9640676,9150217,4425252,- -,700000,5164421,4153693,- -,29351,399905,239720,- -,267280,858471,5311538,4612659,2700090,2220685,9044000,9240000
35,Inventory,600000,700000,- -,- -,700000,700000,700000,700000,900000,700000,800000,700000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1800000,1900000,- -,- -,2100000,2200000,- -,22000000,21700000,21600000,19400000,33900000,29200000,33300000,14400000,13028071,12915306,24293518,34954639,42301163,7840167,1185962,10387550,462765,- -,27047317,30605435,3433500,366645,4440098,14060523,-11939871,-2243269,98222649,132377145,32062000,32980000
37,Total Current Assets,10000000,9900000,- -,- -,14100000,9600000,6100000,30300000,31100000,33900000,33500000,38600000,41300000,42700000,55000000,45718456,30445802,39967394,49022763,50643111,23308407,14404431,26608891,10266113,5233533,32353910,31011514,4974959,6028971,7410009,24683438,25111696,20854498,103233228,141072467,75969000,91872000
38,PP&E,22000000,26200000,- -,- -,35700000,37300000,37500000,35900000,35300000,27700000,26300000,21100000,16900000,7400000,8400000,17635458,31770899,34358668,48883215,68577863,101010159,113638139,132606130,151822005,133985433,133044857,119963611,46829130,44107704,42853642,57933450,61784059,52815532,26512834,7853875,246000,168000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4588649,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4591944,5103649,4717699,5009819,4588649,4167478,3572096,4527426,6359438,7339417,20087151,34725822,38758059,43555445,49022178,50176000,100510000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4591944,5103649,4717699,5009819,4588649,4167478,3572096,4527426,6359438,7339417,20087151,34725822,38758059,43555445,49022178,50176000,100510000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4966864,27047317,- -,- -,18845053,30208074,38331956,23960467,11925699,6788034,90361841,86997000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,7700000,8700000,70900000,76800000,27900000,27300000,24100000,-100000,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14347966,20627945,7899810,6048126,27800653,-18854612,15718582,128365385,150842514,188111613,264980518,263041382,341776590,376240331,414975842,452543000,540589000
45,Total Non-Current Assets,29700000,34900000,70900000,76800000,63600000,64600000,61600000,35800000,35300000,27600000,26200000,21100000,16900000,7400000,8400000,17635458,31770899,34358668,48883215,68577863,119950069,139369733,145223639,162879950,171341599,145405040,139254289,179721941,220154709,268512746,381333075,383511730,445275880,453096644,562213736,589962000,641267000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39700000,44800000,70900000,76800000,77700000,74200000,67700000,66100000,66400000,61500000,59700000,59700000,58200000,50100000,63400000,63353914,62216701,74326062,97905978,119220974,143258476,153774164,171832530,173146063,176575132,177758950,170265803,184696900,226183680,275922755,406016513,408623426,466130378,556329872,703286203,665931000,733139000
48,Accounts Payable,- -,- -,- -,- -,3700000,4700000,4500000,3600000,2300000,700000,1200000,700000,900000,300000,300000,220515,181712,304480,105922,405609,248698,167378,452090,706095,864186,1046581,385685,440541,872331,859225,1934417,1518105,1880516,1036547,1385739,1047000,676000
49,Short-Term Debt,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,9235072,10129951,8716976,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69759722,70880581,72075295,73348731,74706078,164845000,47469000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1044061,- -,40042,28973,66909,12312,483318,945000,813000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131135,- -,- -,563467,- -,- -,- -,- -,- -,- -,3344351,2718543,14724610,1991666,2030459,- -,- -,- -,- -
52,Other Current Liabilities,3500000,3800000,- -,- -,1400000,2000000,1000000,600000,300000,2100000,2600000,3700000,- -,- -,- -,- -,4321739,11928859,20881191,30487640,40744298,42984481,47902444,42948116,44466978,7977866,7802165,560596,-1512327,-1093712,26622543,36845326,73960300,126669836,165614317,-134375000,12960000
53,Total Current Liabilities,3600000,4100000,- -,- -,5100000,6700000,5500000,4200000,2600000,2800000,3800000,4400000,900000,800000,300000,220515,4503451,21468411,32248199,39610225,40992996,43715326,48354534,43654211,45331164,9024447,8187850,1001137,2704355,2484056,113041292,111235678,149946570,201055114,241706134,31517000,61105000
54,Long-Term Debt,3100000,6100000,21700000,24800000,32500000,43200000,34900000,32900000,35000000,25000000,20900000,17900000,13500000,10200000,10300000,9845827,9457698,- -,- -,- -,7297593,7061531,6807388,8550315,13210389,15249248,15266714,29126849,63227032,103940011,60400000,61064620,53741069,53530501,52666876,273306000,231002000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970802,3344351,2718543,14724610,1991666,2030459,7201604,5830720,3319000,4505000
56,Deferred Tax Liabilities,1500000,2000000,- -,- -,1700000,- -,- -,- -,- -,100000,100000,400000,- -,- -,- -,2171438,2872779,- -,- -,- -,- -,- -,- -,- -,- -,35093214,32060283,32357505,32552068,34038442,39526406,51364572,42293864,54769907,90282173,3521000,483000
57,Other Non-Current Liabilities,100000,- -,14100000,16100000,1600000,1600000,2600000,1000000,1900000,2500000,2200000,1200000,5900000,4400000,4800000,4561561,- -,9200000,10100000,- -,- -,- -,- -,3127230,- -,791941,1586513,7023939,4186517,4337004,37935879,34691048,33940208,28011273,27386878,3369000,5564000
58,Total Non-Current Liabilities,4700000,8100000,35800000,40900000,35800000,44800000,37500000,33900000,36900000,27600000,23200000,19500000,19400000,14600000,15100000,16578826,12330477,9200000,10100000,- -,7297593,7061531,6807388,11677545,13210389,51134403,48913510,69479095,103309968,145034000,152586895,149111906,132005600,143513285,176166647,283515000,241554000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3702194,3340389,2973898,2602638,2226527,- -,- -,364888,245000,198000
61,Total Liabilities,8300000,12200000,35800000,40900000,40900000,51500000,43000000,38100000,39500000,30400000,27000000,23900000,20300000,15400000,15400000,16799341,16833928,21468411,32248199,39610225,48290589,50776857,55161922,55331756,58541553,60158850,57101360,70480232,106014323,147518056,265628187,260347584,281952170,344568399,417872781,315032000,302659000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,5584684,5615579,5615579,5623442,5641722,5667796,5693007,5725806,5727515,5723268,5723980,5724147,5726136,5767192,5862063,5901510,5914560,5963850,5995257,6017218,7250000,60000
64,Retained Earnings,24400000,25600000,27000000,27900000,28400000,14500000,16400000,19900000,18800000,23000000,24600000,27700000,27700000,24500000,38100000,40969889,39008724,47171449,59129692,72316660,85435246,95650170,107012038,109556103,108639227,107807321,102872167,103242643,106581305,112561115,120444002,136892311,177614274,213297897,326073199,339917000,343459000
65,Other Comprehensive Income/Loss,-10400000,-11500000,- -,- -,-18100000,-20400000,-19700000,-20800000,-21700000,-13000000,-12900000,-11700000,-9300000,-900000,-1000000,-1227098,-1915241,-765127,-609694,-523817,-304020,-976618,-1197810,-2687266,-1460162,-1095303,-1129425,-1237480,-235462,73241,-688971,255889,372616,486543,73924,-1910000,1517000
66,Other Total Stockholders Equity,17400000,18500000,8100000,8000000,26500000,28600000,28000000,28900000,29800000,21100000,21000000,19800000,19500000,11100000,4500000,1227098,2673711,835750,1514339,2176184,4168865,2630748,- -,- -,5131246,5164102,5697554,6485369,8056322,9908280,9124847,5213082,227468,-8018224,-46750919,5642000,85414000
67,Total Stockholders Equity,31400000,32600000,35100000,35900000,36800000,22700000,24700000,28000000,26900000,31100000,32700000,35800000,37900000,34700000,48000000,46554573,45382773,52857651,65657779,79610749,94967887,102997307,116670608,117814307,118033579,117600100,113164443,114216668,120169357,128404699,134781388,148275842,184178208,211761473,285413422,350899000,430480000
68,Total Liabilities And Stockholders Equity,39700000,44800000,70900000,76800000,77700000,74200000,67700000,66100000,66400000,61500000,59700000,59700000,58200000,50100000,63400000,63353914,62216701,74326062,97905978,119220974,143258476,153774164,171832530,173146063,176575132,177758950,170265803,184696900,226183680,275922755,400409575,408623426,466130378,556329872,703286203,665931000,733139000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5606938,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39700000,44800000,70900000,76800000,77700000,74200000,67700000,66100000,66400000,61500000,59700000,59700000,58200000,50100000,63400000,63353914,62216701,74326062,97905978,119220974,143258476,153774164,171832530,173146063,176575132,177758950,170265803,184696900,226183680,275922755,406016513,408623426,466130378,556329872,703286203,665931000,733139000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/0000950144-95-001105-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379596000010/0000023795-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379598000005/0000023795-98-000005-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379599000007/0000023795-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379501000004/0000023795-01-000004-index.html,https://www.sec.gov/Archives/edgar/data/23795/000002379502000006/0000023795-02-000006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/000002379506000026/0000023795-06-000026-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23795/000119312513098925/0001193125-13-098925-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000119312514091567/0001193125-14-091567-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000119312515069704/0001193125-15-069704-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000156459016013810/0001564590-16-013810-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837017001013/0001558370-17-001013-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837018001296/0001558370-18-001296-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837019001302/0001558370-19-001302-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837020002154/0001558370-20-002154-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837021002457/0001558370-21-002457-index.htm,https://www.sec.gov/Archives/edgar/data/23795/000155837022001966/0001558370-22-001966-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3600000,2200000,- -,2100000,1800000,-12700000,3200000,4000000,800000,6400000,4400000,6600000,4000000,1300000,15800000,8859811,-635896,9285841,13194395,14651739,14817750,14028322,13532838,4834900,800570,-602954,-4706191,599202,3683247,6383818,8347166,16251248,41719424,37167790,114972858,78509000,29940000
74,Depreciation and Amortization,1600000,1800000,- -,- -,2700000,2800000,2500000,2000000,1800000,1100000,1100000,1100000,900000,200000,300000,278655,739007,806842,1120153,1344315,1755127,2265848,2466981,2655088,2771633,2727399,2512366,2324182,2974587,3490485,5212897,8195417,12663959,16135502,15797278,19063000,20581000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,- -,300000,-700000,-100000,- -,3411291,701341,5970949,8500771,8589976,3222793,6513130,3390812,434037,958932,817846,-3032931,297222,194563,1677814,4627019,11658864,-8953981,12589970,35099647,-90532000,-3038000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253424,-632894,253812,1047335,901447,1271924,2186408,3178883,1437223,1684250,2688292,2786000,3168000
77,Change in Working Capital,- -,-5800000,- -,- -,9000000,-6100000,-2300000,25500000,2400000,2600000,-1400000,4500000,6200000,1500000,12800000,-9202059,-19555590,-7443368,-1724419,-5741678,-28717475,-11626306,7565252,-11642455,-6709533,63427094,-505799,-18849842,-649206,1601337,-93283807,2233872,-42968090,31270186,-2811781,145085667,-6468000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-100000,100000,-200000,100000,-100000,100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158091,182395,-660896,54855,431790,-13106,1075192,-416312,362411,-630667,349192,-340000,-370000
81,Other Working Capital,5800000,- -,- -,- -,9000000,2900000,600000,26100000,28500000,31100000,29700000,34200000,40400000,41900000,54700000,45497941,25942351,18498983,16774564,11032886,-17684589,-29310895,-21745643,-33388098,-40097631,23329463,22823664,3973822,3324616,4925953,-88357854,-86123982,-129092072,-97821886,-100633667,44452000,1186000
82,Other Non-Cash Items,-5200000,1800000,- -,-2100000,-8700000,15900000,5100000,-27700000,-3200000,-8700000,700000,-10500000,1700000,-3900000,-17200000,4887021,21864482,6263520,2061795,13790953,39725858,-2559879,-9901488,7823271,1696954,-66130290,3282986,18085564,3783166,-3100354,98100499,-27229839,53647261,-50192238,-149336202,-137981667,-16606000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4800000,-100000,8500000,3800000,1800000,2700000,4800000,2000000,12100000,-1000000,11700000,8234719,3113344,14883784,23152695,32635305,30804053,8621115,17054395,4104841,-228020,-393799,-2195757,3503663,10887804,11325024,25190182,14288445,57545796,48655460,16410092,16930000,27577000
