,https://roic.ai/company/AOS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.15,0.16,0.08,0.10,-0.03,0.17,0.03,-0.10,0.15,0.31,0.22,0.23,0.91,0.31,0.30,0.21,0.10,0.31,0.29,0.20,0.26,0.41,0.47,0.45,0.45,0.60,1.64,0.85,0.92,1.14,1.58,1.85,1.70,2.58,2.22,2.12,3.00
27,Weighted Average Shares Outstanding,184284000,184284000,184284000,184284000,184284000,184284000,184284000,184284000,277137117,281545515,282260250,268146306,215908191,139513116,140405262,140377260,141888816,162012612,174187734,175674600,178227810,182436528,183364362,180268632,129986742,183332464,183306000,184853376,182478396,178799066,175896866,173441584,171663130,168159148,162371408,161769759,161769759
28,Weighted Average Shares Outstanding Diluted,184284000,184284000,184284000,184284000,184284000,184284000,184284000,184284000,277137117,281545515,282260250,268146306,215908191,139513116,140405262,142146852,143488692,165894396,178266000,179477022,181689636,186023238,185838480,181740000,143730000,184652000,186300000,186216000,185576000,181974000,179010000,176825000,174605000,172194000,166711000,162604000,162604000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91142/000119312505032911/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312506038388/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312507033962/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312508034592/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312509037280/0001193125-09-037280-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312510042097/0001193125-10-042097-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312511045134/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312512081738/0001193125-12-081738-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312513080129/0001193125-13-080129-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312514060153/d644513d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312515050825/d838160d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312516467088/0001193125-16-467088-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312517047795/0001193125-17-047795-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312518048314/0001193125-18-048314-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312519042339/0001193125-19-042339-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/0001193125-20-046736-index.html,https://www.sec.gov/Archives/edgar/data/91142/000009114221000025/0000091142-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114222000028/0000091142-22-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15100000,5100000,3200000,4900000,4800000,3200000,3600000,6000000,11902000,8485000,5694000,6405000,145896000,37666000,14761000,15287000,20759000,32847000,18700000,25100000,24000000,25800000,37200000,29400000,76300000,118900000,463400000,266900000,380700000,319400000,323600000,330400000,346600000,259700000,374000000,573100000,443300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162400000,196000000,105300000,222500000,321600000,424200000,473400000,385300000,177400000,116500000,188100000
33,Cash and Short-Term Investments,15100000,5100000,3200000,4900000,4800000,3200000,3600000,6000000,11902000,8485000,5694000,6405000,145896000,37666000,14761000,15287000,20759000,32847000,18700000,25100000,24000000,25800000,37200000,29400000,76300000,118900000,625800000,462900000,486000000,541900000,645200000,754600000,820000000,645000000,551400000,689600000,631400000
34,Net Receivables,99900000,177600000,97200000,138500000,107700000,93600000,81700000,121900000,146100000,148991000,179373000,121571000,126232000,133764000,183442000,169117000,209871000,215481000,236700000,281600000,278800000,378700000,415100000,363500000,373600000,313300000,368400000,425400000,458700000,475400000,501400000,518700000,598400000,647300000,589500000,585000000,634400000
35,Inventory,60200000,85200000,89100000,90600000,89300000,85500000,71800000,78400000,89804000,110863000,103540000,80445000,79049000,99984000,163443000,169630000,194706000,200351000,247000000,233500000,225400000,297300000,261800000,282000000,215100000,146800000,168400000,163400000,193400000,208300000,222900000,251100000,291200000,304700000,303000000,300100000,447700000
36,Other Current Assets,20400000,39400000,31600000,55100000,69200000,75400000,52100000,27900000,56072000,61181000,63878000,30789000,14551000,15975000,26981000,52065000,52238000,39572000,45300000,44800000,47800000,58200000,53500000,106400000,75000000,317000000,46100000,55500000,67500000,93400000,85800000,37600000,57200000,41500000,56500000,43300000,39100000
37,Total Current Assets,195600000,307300000,221100000,289100000,271000000,257700000,209200000,234200000,303878000,329520000,352485000,239210000,365728000,287389000,388627000,406099000,477574000,488251000,547700000,585000000,576000000,760000000,767600000,781300000,740000000,896000000,1208700000,1107200000,1205600000,1319000000,1455300000,1562000000,1766800000,1638500000,1500400000,1618000000,1752600000
38,PP&E,208500000,254900000,282400000,283500000,298900000,328600000,350200000,364100000,375014000,401780000,447355000,182600000,207756000,248770000,283493000,282835000,355298000,362730000,358700000,358800000,356900000,427200000,421100000,418900000,412300000,258400000,315300000,345700000,391300000,427700000,442700000,461900000,528900000,540000000,592300000,582900000,639200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51783000,146901000,- -,- -,- -,- -,- -,- -,- -,499700000,512900000,505100000,567800000,323800000,433800000,435400000,433500000,428800000,420900000,491500000,516700000,513000000,546000000,546800000,627000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251085000,244821000,301924000,309151000,310900000,313200000,323500000,87800000,86600000,78300000,119500000,106600000,352700000,338700000,324800000,308500000,291000000,308300000,308700000,293100000,338400000,323900000,364000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51783000,146901000,251085000,244821000,301924000,309151000,310900000,313200000,323500000,587500000,599500000,583400000,687300000,430400000,786500000,774100000,758300000,737300000,711900000,799800000,825400000,806100000,884400000,870700000,992600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,- -,- -,49800000,22200000,89700000,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,82200000,131000000,178500000,235100000,225800000,202000000,194900000,170700000,144207000,116557000,153078000,463178000,91249000,84372000,140781000,125421000,159127000,64725000,62600000,55800000,32900000,65200000,66200000,50500000,39500000,437500000,38500000,36200000,36300000,31300000,36600000,67300000,76200000,86900000,80900000,89100000,90000000
45,Total Non-Current Assets,290700000,385900000,460900000,518600000,524700000,530600000,545100000,534800000,519221000,518337000,600433000,645778000,350788000,480043000,675359000,653077000,816349000,736606000,732200000,727800000,716700000,1079900000,1086800000,1102600000,1161300000,1216000000,1140300000,1158000000,1185900000,1196300000,1191200000,1329000000,1430500000,1433000000,1557600000,1542700000,1721800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,486300000,693200000,682000000,807700000,795700000,788300000,754300000,769000000,823099000,847857000,952918000,884988000,716516000,767432000,1063986000,1059176000,1293923000,1224857000,1279900000,1312800000,1292700000,1839900000,1854400000,1883900000,1901300000,2112000000,2349000000,2265200000,2391500000,2515300000,2646500000,2891000000,3197300000,3071500000,3058000000,3160700000,3474400000
48,Accounts Payable,- -,- -,- -,- -,74600000,77100000,59800000,62100000,99320000,101153000,112645000,82952000,61299000,57429000,81221000,91780000,131073000,131423000,144500000,158800000,205100000,286600000,305600000,274700000,312900000,263000000,302500000,328900000,387100000,393800000,424900000,528600000,535000000,543800000,509600000,595200000,745900000
49,Short-Term Debt,14000000,81300000,19100000,3900000,4100000,7300000,6000000,12800000,14417000,7255000,4933000,11932000,5590000,4629000,9629000,11129000,16552000,11671000,105400000,8600000,6900000,6900000,15600000,17500000,21100000,18600000,18600000,18600000,14200000,13700000,12900000,7200000,7500000,- -,6800000,6800000,6800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,7400000,5700000,4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,130100000,135100000,117500000,168400000,118000000,121200000,106600000,96700000,109452000,107515000,96069000,43504000,60993000,70099000,77590000,67522000,108325000,118585000,88700000,77800000,95600000,143800000,151400000,212800000,157300000,255200000,198800000,151500000,189600000,197700000,215400000,229800000,246000000,241500000,250100000,284300000,366100000
53,Total Current Liabilities,144100000,216400000,136600000,172300000,196700000,205600000,172400000,171600000,223189000,215923000,213647000,138388000,127882000,132157000,168440000,170431000,255950000,261679000,338600000,245200000,307600000,437300000,472600000,505000000,491300000,536800000,519900000,499000000,590900000,605200000,653200000,765600000,788500000,785300000,766500000,886300000,1118800000
54,Long-Term Debt,79000000,83900000,121100000,138000000,154600000,156000000,176100000,236600000,190574000,166126000,190938000,238446000,100972000,131203000,351251000,316372000,390385000,239084000,170100000,272500000,162400000,432100000,379600000,317300000,232100000,242400000,443000000,225100000,177700000,210100000,236100000,316400000,402900000,221400000,277200000,140800000,212200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2500000,18000000,20300000,12100000,12500000,17200000,28100000,41281000,54445000,63239000,31271000,28442000,42343000,48675000,62122000,62154000,7512000,27900000,13800000,- -,20600000,34500000,- -,- -,- -,3100000,- -,21000000,21400000,21300000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,27600000,108300000,114600000,185500000,161200000,130300000,101700000,88000000,98425000,98618000,106754000,52244000,59515000,60636000,64536000,61856000,133556000,205530000,167100000,190700000,209800000,265300000,209900000,420500000,388100000,451400000,297200000,347000000,273200000,297300000,293600000,293700000,357100000,347800000,347500000,285300000,311200000
58,Total Non-Current Liabilities,106600000,194700000,253700000,343800000,327900000,298800000,295000000,352700000,330280000,319189000,360931000,321961000,188929000,234182000,464462000,440350000,586095000,452126000,365100000,477000000,372200000,718000000,624000000,737800000,620200000,693800000,743300000,572100000,471900000,528800000,551000000,610100000,760000000,569200000,624700000,426100000,523400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38700000,34400000,22300000
61,Total Liabilities,250700000,411100000,390300000,516100000,524600000,504400000,467400000,524300000,553469000,535112000,574578000,460349000,316811000,366339000,632902000,610781000,842045000,713805000,703700000,722200000,679800000,1155300000,1096600000,1242800000,1111500000,1230600000,1263200000,1071100000,1062800000,1134000000,1204200000,1375700000,1548500000,1354500000,1391200000,1312400000,1642200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,46039000,45842000,45254000,45084000,45053000,67500000,67441000,67441000,67295000,66931000,66700000,66600000,66500000,65700000,65600000,65700000,53400000,77600000,76700000,74300000,148500000,148200000,148100000,296000000,295700000,295500000,295400000,295400000,294000000
64,Retained Earnings,161200000,179900000,187900000,196600000,177100000,197600000,192900000,147100000,177543000,224467000,273751000,325361000,466514000,499954000,531204000,549237000,551420000,588487000,623900000,648400000,675900000,732300000,799000000,858700000,365400000,452100000,729900000,855100000,982200000,1135500000,1350700000,1593000000,1792600000,2102800000,2323400000,2509600000,2826000000
65,Other Comprehensive Income/Loss,-221200000,-244800000,-265400000,-284800000,-311200000,-332300000,-364400000,-420000000,-448772000,-479937000,-528487000,-224416000,-242391000,-258263000,-235248000,-259183000,-282205000,-121877000,-97200000,-115700000,-140200000,-129500000,-99300000,-281800000,-230900000,-229400000,-300900000,-320500000,-259100000,-272000000,-313400000,-363200000,-299500000,-350800000,-348300000,-321200000,-331000000
66,Other Total Stockholders Equity,295600000,347000000,369200000,379800000,405200000,418600000,458400000,517600000,494820000,522373000,587822000,278610000,130529000,91902000,67687000,90900000,115368000,-22489000,- -,-8700000,10700000,16100000,-7500000,-1500000,582800000,581100000,580100000,585200000,457100000,369600000,256900000,-10500000,-140000000,-330500000,-603700000,-635500000,- -
67,Total Stockholders Equity,235600000,282100000,291700000,291600000,271100000,283900000,286900000,244700000,269630000,312745000,378340000,424639000,399705000,401093000,431084000,448395000,451878000,511052000,576200000,590600000,612900000,684600000,757800000,641100000,770700000,881400000,1085800000,1194100000,1328700000,1381300000,1442300000,1515300000,1648800000,1717000000,1666800000,1848300000,1832200000
68,Total Liabilities And Stockholders Equity,486300000,693200000,682000000,807700000,795700000,788300000,754300000,769000000,823099000,847857000,952918000,884988000,716516000,767432000,1063986000,1059176000,1293923000,1224857000,1279900000,1312800000,1292700000,1839900000,1854400000,1883900000,1882200000,2112000000,2349000000,2265200000,2391500000,2515300000,2646500000,2891000000,3197300000,3071500000,3058000000,3160700000,3474400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,486300000,693200000,682000000,807700000,795700000,788300000,754300000,769000000,823099000,847857000,952918000,884988000,716516000,767432000,1063986000,1059176000,1293923000,1224857000,1279900000,1312800000,1292700000,1839900000,1854400000,1883900000,1901300000,2112000000,2349000000,2265200000,2391500000,2515300000,2646500000,2891000000,3197300000,3071500000,3058000000,3160700000,3474400000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91142/000119312505032911/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312506038388/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312507033962/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312508034592/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312509037280/0001193125-09-037280-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312510042097/0001193125-10-042097-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312511045134/d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312512081738/0001193125-12-081738-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312513080129/0001193125-13-080129-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312514060153/d644513d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312515050825/d838160d10k.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312516467088/0001193125-16-467088-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312517047795/0001193125-17-047795-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312518048314/0001193125-18-048314-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312519042339/0001193125-19-042339-index.html,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/0001193125-20-046736-index.html,https://www.sec.gov/Archives/edgar/data/91142/000009114221000025/0000091142-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114222000028/0000091142-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-5000000,30500000,5000000,-17300000,42678000,57347000,61413000,65417000,153830000,44491000,42422000,29753000,14502000,51345000,52200000,35400000,46500000,76500000,88200000,81900000,81300000,111700000,305700000,158700000,169700000,207800000,282900000,326500000,296500000,444200000,370000000,344900000,487100000
74,Depreciation and Amortization,- -,- -,- -,- -,-31600000,-33500000,-36200000,-39500000,42607000,49160000,55701000,22577000,26286000,31173000,37315000,45059000,47076000,50693000,52100000,53900000,52800000,60900000,67500000,66300000,67500000,40800000,47000000,54600000,59700000,59800000,63000000,65100000,70100000,71900000,78300000,80000000,77900000
75,Deferred Income Tax,- -,- -,- -,- -,-8800000,4700000,400000,-22900000,11800000,14296000,14987000,-3345000,-2262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81800000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,9400000,9900000,10100000,13300000,12700000,11900000
77,Change in Working Capital,- -,- -,- -,- -,13300000,-22200000,-15300000,25800000,18089000,32908000,25241000,-38016000,137024000,-82614000,64955000,15481000,-14044000,4948000,-17472000,130700000,-71400000,54300000,-27700000,-18700000,-27600000,110500000,329600000,-80600000,6500000,99100000,88300000,-5700000,181900000,-125100000,-119300000,-2200000,-97900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57000000,- -,-16800000,-25900000,-15100000,-75800000,-54600000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5491000,7539000,-8897000,-20158000,-6187000,- -,-619000,- -,12900000,12100000,-28600000,32100000,- -,- -,- -,- -,5000000,- -,-14900000,-14700000,-23400000,-37500000,-7700000,6300000,2900000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26400000,- -,6900000,31000000,101500000,-5100000,8800000,-35400000,85600000,- -
81,Other Working Capital,- -,- -,- -,- -,74300000,52100000,36800000,62600000,80689000,113597000,138838000,100822000,237846000,155232000,220187000,235668000,221624000,226572000,209100000,339800000,268400000,322700000,295000000,276300000,248700000,359200000,688800000,608200000,614700000,713800000,802100000,796400000,978300000,853200000,733900000,731700000,633800000
