,https://roic.ai/company/ATNI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,27800000,31900000,34800000,39600000,43200000,45100000,21900000,16700000,19800000,21556000,12207000,15548000,12950000,13081000,39611000,56490000,86824000,99454000,91466000,335044000,413157000,312222000,119587000,130076000,138246000,201323000,224252000,225193000,228389000,227322000,298789000
11,COGS and Expenses,- -,47700000,53400000,66400000,89300000,130600000,155200000,99500000,63100000,60000000,47670000,49911000,52918000,44403000,43706000,65289000,102372000,119582000,137819000,164849000,567101000,703917000,649292000,227114000,247812000,272415000,384994000,419490000,412702000,418981000,423051000,584166000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1153000,551000,427000,406000,- -,- -,588000,1239000,1613000,1811000,2263000,421000,132000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3706000,9956000,17370000,14124000,11933000,420000,3180000,5362000,8838000,7973000,5010000,5347000,9482000
14,Depreciation and Amortization,- -,13100000,15000000,16100000,17300000,18600000,19300000,5300000,4300000,5700000,8113000,9398000,10759000,12473000,14709000,17531000,25332000,26686000,31752000,38889000,76735000,104100000,105487000,48737000,51234000,56890000,75980000,86934000,85719000,89125000,88311000,110506000
15,EBITDA,- -,21100000,39300000,26300000,40900000,51100000,50300000,20900000,36100000,27300000,34841000,33146000,33189000,40726000,46313000,51930000,74370000,93555000,96101000,109294000,144751000,163833000,207000000,381922000,127954000,101147000,114603000,125919000,132377000,87434000,80337000,96002000
16,EBITDA ratio,- -,0.2618,0.4235,0.2573,0.3032,0.2768,0.2442,0.1777,0.3816,0.3250,0.4550,0.3962,0.4687,0.5164,0.5516,0.5077,0.4787,0.5010,0.4635,0.4522,0.2338,0.2158,0.2792,1.3042,0.3804,0.2846,0.2508,0.2617,0.2934,0.1993,0.1764,0.1593
17,Operating Income,- -,32900000,39400000,35800000,45600000,54000000,50800000,18100000,31500000,24000000,28904000,33751000,17892000,34462000,40253000,36992000,52986000,67159000,69522000,69691000,38284000,55251000,99461000,64085000,85576000,78595000,49797000,55468000,61023000,13377000,9180000,-15026000
18,Operating Income ratio,- -,0.4082,0.4246,0.3503,0.3380,0.2925,0.2466,0.1539,0.3330,0.2857,0.3775,0.4034,0.2527,0.4370,0.4794,0.3617,0.3411,0.3596,0.3353,0.2883,0.0618,0.0728,0.1342,0.2188,0.2544,0.2212,0.1090,0.1153,0.1352,0.0305,0.0202,-0.0249
19,Total Other Income Expenses (Gains),- -,-17500000,-15100000,-24100000,-22000000,-21500000,-19800000,-2500000,300000,-2400000,-2176000,-10003000,4538000,-6209000,-4735000,-1318000,-1422000,2411000,-935000,-1948000,18904000,-12785000,-7837000,-17612000,592000,-22394000,-4423000,-7915000,-7281000,-7305000,-9087000,-7661000
20,Income Before Tax,- -,15400000,24300000,11700000,23600000,32500000,31000000,15600000,31800000,21600000,26728000,23748000,22430000,28253000,35518000,35674000,51564000,69570000,68587000,67743000,57188000,42466000,91624000,46473000,86168000,56201000,45374000,47553000,53742000,6072000,93000,-22687000
21,Income Before Tax Ratio,- -,0.1911,0.2619,0.1145,0.1749,0.1761,0.1505,0.1327,0.3362,0.2571,0.3490,0.2839,0.3168,0.3582,0.4230,0.3488,0.3319,0.3725,0.3308,0.2803,0.0924,0.0559,0.1236,0.1587,0.2562,0.1581,0.0993,0.0988,0.1191,0.0138,0.0002,-0.0376
22,Income Tax expense (Gain),- -,8100000,9300000,5500000,10500000,15300000,13000000,7700000,15900000,11900000,14403000,14557000,12943000,16009000,19487000,20801000,25538000,28929000,29551000,31160000,19606000,20569000,38457000,9536000,28148000,24137000,21160000,-1341000,18870000,4105000,801000,-1878000
23,Net Income,- -,-100000,15000000,4700000,13100000,17200000,18000000,7900000,15900000,9700000,12325000,9191000,9487000,12244000,12117000,13598000,23500000,37940000,34798000,35539000,38454000,21794000,48932000,311716000,48152000,16940000,12101000,31488000,19815000,-10806000,-14122000,-22108000
24,Net Income ratio,- -,-0.0012,0.1616,0.0460,0.0971,0.0932,0.0874,0.0672,0.1681,0.1155,0.1610,0.1099,0.1340,0.1553,0.1443,0.1329,0.1513,0.2032,0.1678,0.1470,0.0621,0.0287,0.0660,1.0645,0.1432,0.0477,0.0265,0.0654,0.0439,-0.0246,-0.0310,-0.0367
25,EPS,- -,-0.00,0.20,0.06,0.17,0.22,0.59,0.27,1.30,0.82,1.00,0.74,0.76,0.98,0.96,0.44,1.73,2.50,2.29,2.33,2.51,1.42,3.15,19.85,3.03,1.06,0.78,1.95,1.24,-0.68,-0.89,-1.52
26,EPS Diluted,- -,-0.00,0.20,0.06,0.17,0.22,0.59,0.27,1.29,0.82,1.00,0.73,0.75,0.97,0.96,0.44,1.72,2.48,2.28,2.32,2.48,1.41,3.13,19.71,3.01,1.05,0.78,1.95,1.24,-0.68,-0.89,-1.52
27,Weighted Average Shares Outstanding,- -,30682500,30682500,30682500,30682500,30682500,30682500,12272500,12252500,11762500,12280000,12467500,12500000,12545000,12562500,31162500,13568000,15168000,15187000,15234000,15323000,15396000,15531000,15704000,15898000,16022000,16131000,16138000,15988000,15983000,15923000,15867000
28,Weighted Average Shares Outstanding Diluted,- -,30682500,30682500,30682500,30682500,30682500,30682500,12272500,12307500,11787500,12282500,12532500,12677500,12582500,12562500,31220000,13672000,15304000,15255000,15337000,15484000,15495000,15619000,15817000,16014000,16142000,16227000,16210000,16042000,15983000,15923000,15867000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879585/000119312504054101/0001193125-04-054101-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000119312505066783/0001193125-05-066783-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000110465906021376/0001104659-06-021376-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746907002018/0001047469-07-002018-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746908002948/0001047469-08-002948-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746909002760/0001047469-09-002760-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746910002307/0001047469-10-002307-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746911002211/0001047469-11-002211-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746912002731/0001047469-12-002731-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746913002987/0001047469-13-002987-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746914002518/0001047469-14-002518-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746915002270/0001047469-15-002270-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837016003680/0001558370-16-003680-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837017001255/0001558370-17-001255-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837018001408/0001558370-18-001408-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837019001338/0001558370-19-001338-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837020001867/0001558370-20-001867-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837021002145/0001558370-21-002145-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837022003733/0001558370-22-003733-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23700000,6800000,7700000,17500000,18800000,11500000,15800000,35100000,31500000,24495000,17536000,30651000,32320000,39900000,26493000,60543000,71173000,79665000,90247000,37330000,48735000,136647000,356607000,326216000,392045000,269721000,207956000,191836000,161287000,103925000,79601000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6385000,- -,- -,8081000,- -,- -,5280000,2956000,- -,- -,- -,- -,- -,- -,- -,9237000,7076000,393000,416000,- -,- -
33,Cash and Short-Term Investments,- -,23700000,6800000,7700000,17500000,18800000,11500000,15800000,35100000,31500000,24495000,23921000,30651000,32320000,47981000,26493000,60543000,76453000,82621000,90247000,37330000,48735000,136647000,356607000,326216000,392045000,278958000,215032000,192229000,161703000,103925000,79601000
34,Net Receivables,- -,34000000,30000000,21400000,33600000,63400000,63700000,38100000,24400000,20500000,21099000,16561000,9832000,9223000,7495000,15613000,20510000,27357000,26779000,26831000,59870000,82704000,73091000,37680000,52873000,39020000,45419000,43529000,38305000,35904000,45379000,4145000
35,Inventory,- -,7400000,9000000,7700000,6700000,8700000,9700000,3500000,5000000,4900000,4944000,4498000,4421000,3624000,5228000,4744000,7578000,4747000,5669000,5917000,26614000,20802000,27080000,7269000,10546000,8220000,14365000,15398000,6305000,5253000,5504000,- -
36,Other Current Assets,- -,2300000,2900000,7100000,5700000,5700000,4100000,1100000,1900000,4200000,2507000,2784000,4542000,2018000,1825000,1822000,2508000,9818000,16252000,13520000,30475000,31659000,19333000,70447000,61739000,29207000,28627000,68969000,38926000,25863000,85257000,148871000
37,Total Current Assets,- -,67400000,48700000,43900000,63500000,96600000,89000000,58500000,66400000,61100000,53045000,47764000,49446000,47185000,62529000,48672000,91139000,118375000,131321000,136515000,154289000,183900000,256151000,472003000,451374000,468492000,367369000,342928000,275765000,228723000,240065000,232617000
38,PP&E,- -,190700000,225900000,249400000,242500000,226700000,252000000,39000000,46400000,56500000,72459000,81952000,86859000,90990000,100092000,125709000,138573000,155753000,198230000,217015000,463891000,483203000,450547000,254632000,369582000,373503000,647712000,643146000,626852000,674344000,599697000,1062052000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29031000,35583000,39344000,40237000,40361000,44397000,45077000,45077000,45077000,45077000,45077000,62873000,63970000,63970000,60691000,60691000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2077000,1893000,74000,11246000,24150000,17087000,36114000,36678000,143365000,141795000,135827000,41911000,46003000,44966000,63320000,107686000,103009000,101127000,119996000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2077000,1893000,74000,40277000,59733000,56431000,76351000,77039000,187762000,186872000,180904000,86988000,91080000,90043000,126193000,171656000,166979000,161818000,180687000,198164000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8570000,9085000,5252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20000000,30600000,33400000,26000000,40600000,41800000,10500000,13500000,13800000,12466000,12290000,9124000,11905000,13679000,19173000,13169000,14067000,5349000,6900000,17002000,19756000,23273000,46096000,12994000,12966000,56944000,47875000,37708000,65841000,63262000,115771000
45,Total Non-Current Assets,- -,210700000,256500000,282800000,268500000,267300000,293800000,49500000,59900000,70300000,84925000,94242000,98060000,104788000,113845000,185159000,211475000,226251000,288500000,310039000,673907000,689831000,654724000,387716000,473656000,476512000,830849000,862677000,831539000,902003000,843646000,1375987000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,278100000,305200000,326700000,332000000,363900000,382800000,108000000,126300000,131400000,137970000,142006000,147506000,151973000,176374000,233831000,302614000,344626000,419821000,446554000,828196000,873731000,910875000,859719000,925030000,945004000,1198218000,1205605000,1107304000,1130726000,1083711000,1608604000
48,Accounts Payable,- -,9800000,9700000,15100000,12500000,19600000,25000000,10400000,11900000,7900000,12255000,7876000,7731000,8125000,10670000,16930000,19252000,25618000,28707000,29717000,54731000,57262000,50259000,41709000,61737000,44137000,92708000,116133000,80873000,74093000,96205000,- -
49,Short-Term Debt,- -,11700000,10500000,19400000,19200000,24800000,30100000,3300000,3400000,3400000,1687000,2402000,1899000,1081000,687000,165000,- -,- -,750000,3694000,12194000,25068000,15680000,- -,6083000,6284000,12440000,10919000,4688000,15156000,16121000,25486000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30153000,36081000,5667000,9181000,13531000,6751000,31795000,8517000,7501000,5681000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18998000,8327000,7898000,9459000,25529000,25147000,20574000,19182000,24681000,- -
52,Other Current Liabilities,- -,13500000,8300000,13800000,12200000,17700000,13400000,7000000,11500000,13800000,11541000,10029000,11547000,11457000,20295000,17032000,15789000,19261000,18455000,23476000,71377000,63448000,74268000,71037000,28351000,24475000,19428000,9506000,34515000,11238000,10921000,195458000
53,Total Current Liabilities,- -,35000000,28500000,48300000,43900000,62100000,68500000,20700000,26800000,25100000,25483000,20307000,21177000,20663000,31652000,34127000,35041000,44879000,47912000,56887000,138302000,145778000,159205000,121073000,104069000,84355000,150105000,161705000,140650000,119669000,147928000,220944000
54,Long-Term Debt,- -,133500000,149800000,142600000,133100000,120300000,109700000,14500000,11400000,8000000,2513000,5582000,3690000,2511000,11726000,55585000,50000000,50000000,73311000,69551000,272049000,257146000,250900000,- -,32794000,26575000,144383000,144873000,86294000,82676000,69073000,448978000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,12700000,17100000,20500000,21000000,28200000,33100000,2500000,500000,3000000,5303000,5953000,8459000,7040000,5142000,6469000,12871000,13082000,28736000,32171000,58505000,88906000,84006000,26007000,30366000,45406000,46622000,31732000,10276000,8680000,10675000,21460000
57,Other Non-Current Liabilities,- -,2400000,2200000,5400000,8700000,9400000,6700000,- -,- -,- -,- -,- -,- -,420000,- -,- -,- -,458000,8203000,5512000,30304000,29371000,22524000,12784000,19619000,26944000,47939000,37072000,46760000,113618000,101699000,142033000
58,Total Non-Current Liabilities,- -,148600000,169100000,168500000,162800000,157900000,149500000,17000000,11900000,11000000,7816000,11535000,12149000,9971000,16868000,62054000,62871000,63540000,110250000,107234000,360858000,375423000,357430000,38791000,82779000,98925000,238944000,213677000,143330000,204974000,181447000,612471000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67570000,63453000,107920000
61,Total Liabilities,- -,183600000,197600000,216800000,206700000,220000000,218000000,37700000,38700000,36100000,33299000,31842000,33326000,30634000,48520000,96181000,97912000,108419000,158162000,164121000,499160000,521201000,516635000,159864000,186848000,183280000,389049000,375382000,283980000,324643000,329375000,833415000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,52000,52000,52000,52000,129000,157000,157000,157000,158000,159000,160000,160000,164000,166000,168000,169000,170000,172000,172000,172000,- -
64,Retained Earnings,- -,6900000,18000000,19300000,32900000,49000000,67800000,- -,15200000,22000000,29372000,34571000,39809000,56019000,54171000,62044000,79599000,108414000,132866000,156827000,182390000,190327000,224316000,519651000,549963000,547321000,538109000,552948000,563593000,541890000,516901000,- -
65,Other Comprehensive Income/Loss,- -,-53600000,-65300000,-70500000,-93600000,-101700000,-117000000,- -,-4700000,-10300000,-18087000,-25651000,-36219000,-48498000,-858000,-1626000,-1785000,-2235000,-6902000,-5272000,-7059000,-9899000,-8297000,-2202000,-2921000,-3704000,1728000,3746000,-1609000,-3282000,278000,4773000
66,Other Total Stockholders Equity,- -,141200000,154900000,161100000,186000000,196600000,214000000,70300000,77100000,83600000,93334000,101192000,90464000,93958000,54767000,55163000,100799000,102635000,102751000,104033000,108278000,113678000,117967000,125717000,130014000,136514000,137049000,131863000,133231000,137342000,128298000,- -
67,Total Stockholders Equity,- -,94500000,107600000,109900000,125300000,143900000,164800000,70300000,87600000,95300000,104671000,110164000,94106000,101531000,108132000,115710000,178770000,208971000,228872000,255746000,283768000,294266000,334146000,643330000,677222000,680299000,677055000,688727000,695387000,676122000,645649000,601250000
68,Total Liabilities And Stockholders Equity,- -,278100000,305200000,326700000,332000000,363900000,382800000,108000000,126300000,131400000,137970000,142006000,127432000,132165000,156652000,211891000,276682000,317390000,387034000,419867000,782928000,815467000,850781000,803194000,864070000,863579000,1066104000,1064109000,979367000,1000765000,975024000,1434665000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20074000,19808000,19722000,21940000,25932000,27236000,32787000,26687000,45268000,58264000,60094000,56525000,60960000,81425000,132114000,141496000,127937000,129961000,108687000,173939000
70,Total Liabilities & Equity,- -,278100000,305200000,326700000,332000000,363900000,382800000,108000000,126300000,131400000,137970000,142006000,147506000,151973000,176374000,233831000,302614000,344626000,419821000,446554000,828196000,873731000,910875000,859719000,925030000,945004000,1198218000,1205605000,1107304000,1130726000,1083711000,1608604000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879585/000119312504054101/0001193125-04-054101-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000119312505066783/0001193125-05-066783-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000110465906021376/0001104659-06-021376-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746907002018/0001047469-07-002018-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746908002948/0001047469-08-002948-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746909002760/0001047469-09-002760-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746910002307/0001047469-10-002307-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746911002211/0001047469-11-002211-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746912002731/0001047469-12-002731-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746913002987/0001047469-13-002987-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746914002518/0001047469-14-002518-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000104746915002270/0001047469-15-002270-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837016003680/0001558370-16-003680-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837017001255/0001558370-17-001255-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837018001408/0001558370-18-001408-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837019001338/0001558370-19-001338-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837020001867/0001558370-20-001867-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837021002145/0001558370-21-002145-index.htm,https://www.sec.gov/Archives/edgar/data/879585/000155837022003733/0001558370-22-003733-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-100000,15000000,4700000,13100000,17200000,18000000,7900000,15900000,9700000,12325000,9191000,9487000,12244000,12117000,13598000,23500000,37940000,34798000,35539000,38454000,21794000,48932000,311716000,48152000,16940000,12101000,31488000,19815000,-10806000,-14122000,-22108000
74,Depreciation and Amortization,- -,13100000,15000000,16100000,17300000,18600000,19300000,5300000,4300000,5700000,8113000,9398000,10759000,12473000,14709000,17531000,25332000,26686000,31752000,38889000,76735000,104100000,105487000,48737000,51234000,56890000,75980000,86934000,85719000,89125000,88311000,110506000
75,Deferred Income Tax,- -,- -,4100000,3400000,5800000,3700000,5500000,3000000,-2900000,2500000,2400000,650000,2506000,3135000,-1039000,1084000,3046000,584000,8414000,1620000,-348000,27580000,7356000,-4849000,-113000,17869000,-5636000,-13505000,-23242000,-2192000,-7317000,-6612000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1364000,2043000,3249000,3543000,4454000,4323000,4975000,6410000,6977000,6420000,6384000,5912000,6581000
77,Change in Working Capital,- -,-17100000,-12200000,-24600000,24000000,14900000,-14000000,17300000,1800000,-3600000,-8438000,-105000,812000,-1747000,4355000,-16332000,41553000,17398000,9913000,-3781000,-63641000,22135000,58824000,244376000,-3625000,36832000,-166873000,-36041000,-46108000,-26061000,-16917000,-38593000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1454000,-15555000,-23202000,-15473000,2233000,-15264000,11744000,2601000,-4074000,-1682000,-3511000,-17774000,-32955000
79,Inventory,- -,700000,-2200000,2600000,1900000,700000,-500000,-900000,-1300000,-2300000,1447000,1132000,-1568000,766000,-1351000,1072000,-3599000,1106000,2826000,-791000,-26281000,11089000,-6562000,-17117000,-4817000,-1094000,-8410000,1002000,5924000,-1613000,-18624000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1441000,10472000,7629000,-2385000,6522000,4649000,-7044000,-2536000,12597000,- -
81,Other Working Capital,- -,32400000,20200000,-4400000,19600000,34500000,20500000,37800000,39600000,36000000,27562000,27457000,28269000,26522000,30877000,14545000,56098000,73496000,83409000,79628000,15987000,38122000,96946000,350930000,347305000,384137000,217264000,181223000,135115000,109054000,92137000,-5638000
82,Other Non-Cash Items,- -,1400000,1300000,32100000,-32500000,-23300000,16400000,-8300000,21600000,8600000,13413000,9315000,5596000,412000,11467000,14813000,-42183000,-13468000,-16595000,18995000,49558000,-46255000,-36671000,-716436000,-21991000,5732000,189674000,69872000,73261000,31453000,30417000,30774000
83,Cash Provided by Operating Activities,- -,-2700000,23200000,31700000,27700000,31100000,45200000,25200000,40700000,22900000,27813000,28449000,29160000,26517000,41609000,30694000,51248000,69140000,68282000,92626000,102801000,132603000,187471000,-112002000,77980000,139238000,111656000,145725000,115865000,87903000,86284000,80548000
84,CAPEX,- -,-36900000,-51300000,-30000000,-18400000,-22500000,-47200000,-7600000,-10000000,-15700000,-18298000,-21406000,-15475000,-16156000,-25317000,-26011000,-35465000,-48894000,-47353000,-59744000,-135745000,-101401000,-77421000,-69316000,-58300000,-64753000,-135142000,-179203000,-185921000,-72725000,-75323000,-106142000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1025000,- -,- -,- -,- -,-57393000,-18532000,-6765000,-29515000,-24000,-225498000,4087000,- -,- -,-56245000,-11968000,-153440000,20018000,48270000,6572000,- -,-321555000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,-6351000,-121000,- -,-8081000,-1991000,- -,-5280000,- -,- -,- -,- -,- -,- -,- -,- -,-9422000,-18107000,-3138000,-33390000,-2884000,-6399000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6385000,- -,- -,8081000,1991000,- -,2324000,2956000,- -,- -,- -,- -,- -,- -,- -,3797000,6564000,8141000,12089000,- -
88,Other Investing Activites,- -,-13700000,- -,- -,10100000,- -,- -,15400000,-5900000,-2800000,-2757000,-7376000,- -,96000,-750000,341000,2053000,13599000,4831000,-64967000,-130906000,-99734000,-62258000,643118000,-18222000,-20003000,-145826000,-172501000,-139015000,-69585000,-79403000,-98625000
89,Cash Used for Investing Activites,- -,-50600000,-51300000,-30000000,-8300000,-22500000,-47200000,7800000,-16700000,-18500000,-22080000,-35133000,-9211000,-16060000,-34148000,-76973000,-49953000,-47340000,-69713000,-62060000,-356461000,-95647000,-62258000,643118000,-74467000,-31971000,-308688000,-166793000,-87319000,-88262000,-70198000,-426579000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-53889000,-146361000,-335327000,-272137000,- -,-6017000,-33564000,-9355000,-9795000,-4700000,-13751000,-44086000
91,Common Stock Issued,- -,81900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,170000,- -,160000,47005000,209000,304000,375000,3463000,784000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
