,https://roic.ai/company/ANDR,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),460000,440000,200000,200000,200000,200000,100000,- -,-300000,- -,100000,- -,- -,-1200000,200000,- -,- -,- -,- -,1806615,- -,- -,- -,63187,29410,4902,-141210,-30514,19251,154637,170473,214136,154513,13092,12941,2563,1805,1,1
23,Net Income,450000,460000,200000,300000,300000,300000,200000,-100000,-500000,-700000,700000,-2300000,-1300000,-300000,3400000,-6400000,-7200000,-9574352,-13630109,-20665328,-4271667,-1679149,-627508,18666,-390124,-326738,-166698,-77519,-515869,-1492520,-1117661,-2892593,3044170,-1253626,-1153731,-945108,-548566,-824,-374
24,Net Income ratio,0.1018,0.0968,0.0625,0.0769,0.0833,0.0732,0.0541,-0.0294,-0.2083,-0.2059,0.1077,-0.6970,-0.2407,-0.0326,0.1288,-0.3005,-0.4211,-0.6150,-1.3738,-2.8533,-0.8344,-0.3105,-0.1484,0.0033,-0.0773,-0.0694,-0.0355,-0.0158,-0.1239,-0.4489,-0.3438,-1.0380,0.2300,-0.3499,-0.1661,-0.6453,-0.2894,-0.6078,-0.2247
25,EPS,0.09,0.09,0.04,0.06,0.06,0.06,0.03,-0.02,-0.10,-0.14,0.27,-0.42,-0.20,-0.04,0.42,-0.61,-0.56,-0.72,-1.43,-1.12,-0.20,-0.06,-0.01,0.00,-0.01,-0.01,-0.00,-0.00,-0.01,-0.02,-0.02,-0.05,0.05,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00
26,EPS Diluted,0.09,0.09,0.04,0.06,0.06,0.06,0.03,-0.02,-0.10,-0.14,0.20,-0.42,-0.20,-0.04,0.39,-0.61,-0.56,-0.72,-1.43,-1.12,-0.20,-0.06,-0.01,0.00,-0.01,-0.01,-0.00,-0.00,-0.01,-0.02,-0.02,-0.05,0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00
27,Weighted Average Shares Outstanding,5080000,5080000,5000000,5000000,5000000,5000000,5080000,5000000,5000000,5000000,6250000,5476190,6341463,7129534,8148153,10614237,13229559,13748945,15190834,18851317,23727767,47676196,57949328,58470811,59559623,60106249,62121186,63622262,63721035,63721035,63721035,63721035,64000309,64785439,64914935,66289137,68104957,68104957,68104957
28,Weighted Average Shares Outstanding Diluted,5080000,5080000,5000000,5000000,5000000,5000000,5080000,5000000,5000000,5000000,6250000,5476190,6341463,7129534,8862263,10614237,13229559,13748945,15190834,18851317,23727767,47676196,57949328,68325677,59559623,60106249,62121186,63622262,63721035,63721035,63721035,63721035,71929978,64785439,64914935,66289137,68104957,68104957,68104957
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/0000905148-96-000241-index.html,https://www.sec.gov/Archives/edgar/data/6494/000090514897000476/0000905148-97-000476-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/000090514801000830/0000905148-01-000830-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/000119312504053760/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312505077806/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312506070212/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312507067434/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000115752308002627/a5644174.htm,https://www.sec.gov/Archives/edgar/data/6494/000115752309002440/0001157523-09-002440-index.html,https://www.sec.gov/Archives/edgar/data/6494/000115752310001600/0001157523-10-001600-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544311000339/d28006_10k.htm,https://www.sec.gov/Archives/edgar/data/6494/000114544312000257/0001145443-12-000257-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544313000876/0001145443-13-000876-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544314000358/d31045-10k.htm,https://www.sec.gov/Archives/edgar/data/6494/000114544315000491/d285376.htm,https://www.sec.gov/Archives/edgar/data/6494/000120677416005177/0001206774-16-005177-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677417000958/0001206774-17-000958-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677418000959/0001206774-18-000959-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677419001153/0001206774-19-001153-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677420000985/0001206774-20-000985-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677421000940/0001206774-21-000940-index.htm,https://www.sec.gov/Archives/edgar/data/6494/000120677422000942/0001206774-22-000942-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40000,120000,1700000,2200000,2000000,1800000,1600000,1200000,400000,100000,500000,3300000,3400000,900000,2100000,5400000,9200000,9151835,3724130,3307437,1725041,826910,418597,303678,811403,1006951,1805091,2220994,2193377,1746363,1000422,3574530,5592554,2955129,1164057,486521,335790,362730,148349
32,Short-Term Investments,2520000,1970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2560000,2090000,1700000,2200000,2000000,1800000,1600000,1200000,400000,100000,500000,3300000,3400000,900000,2100000,5400000,9200000,9151835,3724130,3307437,1725041,826910,418597,303678,811403,1006951,1805091,2220994,2193377,1746363,1000422,3574530,5592554,2955129,1164057,486521,335790,362730,148349
34,Net Receivables,390000,580000,400000,400000,500000,700000,500000,700000,400000,600000,1300000,600000,1000000,2700000,4600000,4900000,2800000,3503713,2094146,900024,966408,689130,605963,839599,994446,804433,514327,505132,562763,229025,368991,295225,2308910,173691,260946,418681,378179,182871,236338
35,Inventory,410000,800000,1100000,800000,700000,600000,800000,900000,700000,700000,500000,300000,1100000,4800000,5800000,8000000,7100000,6285038,3389729,3222757,1301791,915905,679002,1088778,714864,868213,842428,773674,702177,633069,820586,555568,58028,86512,136449,213056,210161,114393,259007
36,Other Current Assets,10000,10000,100000,- -,100000,100000,100000,100000,800000,300000,300000,200000,400000,1500000,1900000,500000,200000,221259,547892,309705,181018,322367,218621,367421,64005,124695,329850,226399,131037,89327,75858,60578,209832,115514,44474,77593,42446,110235,99163
37,Total Current Assets,3370000,3480000,3300000,3400000,3300000,3200000,3000000,2900000,2300000,1700000,2600000,4400000,5900000,9900000,14400000,18800000,19300000,19161845,9755897,7739923,4174258,2754312,1922183,2599476,2584718,2804292,3491696,3726199,3589354,2697784,2265857,4485901,8169324,3330846,1605926,1195851,966576,770229,742857
38,PP&E,560000,590000,500000,500000,500000,400000,400000,400000,600000,700000,700000,700000,700000,900000,1000000,1900000,1900000,1393760,811392,543572,219182,114538,34238,39243,57751,60904,215974,249027,307440,266137,183726,116899,86960,63611,60333,55088,26160,17725,39511
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,26400000,24500000,22647753,20785459,8208638,4805630,4345346,3886493,3437432,2977673,2543781,2106507,1648863,1195886,752973,326109,374157,345359,309894,284408,262819,231123,212619,194200
41,Intangible Assets,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,26400000,24500000,22647753,20785459,8208638,4805630,4345346,3886493,3437432,2977673,2543781,2106507,1648863,1195886,752973,326109,374157,345359,309894,284408,262819,231123,212619,194200
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1806615,- -,- -,- -,- -,- -,- -,- -,- -,150700,131820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-10000,- -,- -,- -,- -,100000,- -,100000,100000,100000,-100000,- -,- -,2400000,3600000,4200000,4069508,860296,282582,268090,187783,12864,12864,12864,12864,12864,12864,12864,12864,13218,13233,108959,5250,5250,5250,65612,- -,161876
45,Total Non-Current Assets,560000,580000,500000,500000,500000,400000,600000,500000,700000,800000,800000,600000,700000,900000,3400000,31900000,30600000,28111021,24263762,9034792,5292902,4647667,3933595,3489539,3048288,2617549,2335345,2061454,1648010,1031974,523053,504289,541278,378755,349991,323157,322895,230344,395587
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3930000,4060000,3800000,3900000,3800000,3600000,3600000,3400000,3000000,2500000,3400000,5000000,6600000,10800000,17800000,50700000,49900000,47272866,34019659,16774715,9467160,7401979,5855778,6089015,5633006,5421841,5827041,5787653,5237364,3729758,2788910,4990190,8710602,3709601,1955917,1519008,1289471,1000573,1138444
48,Accounts Payable,270000,430000,- -,- -,- -,- -,- -,- -,100000,200000,400000,100000,300000,800000,1000000,2200000,2100000,2107660,1147160,1111256,731092,235084,460144,619159,474346,272439,392128,303198,267353,197954,341436,600828,2149532,718722,34659,86706,87524,419591,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,500000,2100000,676046,158802,21056,16527,- -,12191,5068,- -,- -,21214,26268,- -,- -,- -,- -,1900775,- -,- -,- -,47364,54609,4386
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,45000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1666680,1666680,713284,- -,- -,- -,40000,123168,109632,- -,- -,12141,9312,6600,- -,- -,25341,- -,- -,- -
52,Other Current Liabilities,70000,50000,200000,400000,300000,200000,200000,200000,100000,- -,100000,200000,200000,300000,1600000,1800000,1100000,1343088,2819020,2809103,1952830,580220,457212,413166,272851,295164,237109,247793,241515,237207,235602,620463,1996306,208760,388364,287806,274838,-25462,723531
53,Total Current Liabilities,340000,480000,200000,400000,300000,200000,200000,200000,200000,300000,600000,300000,500000,1100000,2600000,4500000,5300000,4126794,4124982,5608095,4367129,1528588,929547,1037393,747197,607603,773619,686891,508868,435161,589179,1230603,6053213,927482,423023,399853,409726,448738,727917
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,2000000,2200000,- -,2600000,700000,195867,37619,16572,- -,- -,- -,- -,- -,- -,99786,13405,- -,- -,- -,909875,- -,1410153,1189964,1551284,1827509,9979,2451257
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,115590,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,- -,100000,- -,100000,100000,100000,60000,100000,- -,100000,- -,- -,- -,10568308,10656240,7644558,344324,5338,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15221,- -,119886
58,Total Non-Current Liabilities,- -,- -,- -,- -,100000,- -,100000,- -,100000,200000,100000,60000,2100000,2200000,100000,2600000,700000,195867,10605927,10672812,7644558,344324,5338,- -,- -,- -,99786,13405,- -,- -,- -,4409875,115590,1410153,1189964,1551284,1842730,9979,2571143
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2557965,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5338,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62585,204424,- -
61,Total Liabilities,340000,480000,200000,400000,400000,200000,300000,200000,300000,500000,700000,300000,2600000,3300000,2700000,7100000,6000000,4322661,14730909,16280907,12011687,1872912,934885,1037393,747197,607603,873405,700296,508868,435161,589179,5640478,6168803,2337635,1612987,1951137,2252456,2996724,3299060
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13287,13287,12430,11930,10501,9073,9073,9073,9073,9073,9073,9073,9073,9073,9072,9072,9072,- -
63,Common Stock,250000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,6948786,8212984,10563959,272459,578836,582836,590219,598612,609784,635380,637210,637210,637210,637210,637210,644160,649149,649149,681050,681050,681050,681050
64,Retained Earnings,3270000,3270000,3300000,3200000,3100000,100000,3000000,2900000,2400000,1700000,1400000,-900000,-2200000,-2500000,900000,-5600000,-12900000,-22872915,-44567628,-64121299,-68392966,-71294592,-71922100,-71903434,-72293558,-72620296,-72786994,-72864513,-73380382,-74872902,-75990563,-78883156,-75838986,-77092612,-78246343,-79191451,-79740017,- -,-80937648
65,Other Comprehensive Income/Loss,-280000,-330000,-300000,-300000,-300000,-300000,-300000,-300000,-400000,-500000,-600000,-700000,-800000,-1100000,-1300000,-1400000,-2200000,-3063712,-3571689,-23099,-2673,-10000,-16666,-419876,-435238,-467596,-508783,-575538,-340135,-432461,-521010,-592789,-449046,-472395,-497234,-519971,-548899,- -,- -
66,Other Total Stockholders Equity,340000,390000,600000,600000,600000,3600000,600000,600000,700000,800000,1900000,6300000,7000000,11100000,15500000,50600000,52400000,61938046,59215083,54074247,65578653,76241536,76263536,76772283,77004063,77281845,77604960,77881125,77802730,77953677,78065021,78179374,78176598,78278751,78428285,78589171,78635809,-2476942,78095982
67,Total Stockholders Equity,3580000,3580000,3600000,3500000,3400000,3400000,3300000,3200000,2700000,2000000,2700000,4700000,4000000,7500000,15100000,43600000,43900000,42950205,19288750,493808,-2544527,5529067,4920893,5051622,4885809,4814238,4953636,5087357,4728496,3294597,2199731,-650288,2541799,1371966,342930,-432129,-962985,-1786820,-2160616
68,Total Liabilities And Stockholders Equity,3920000,4060000,3800000,3900000,3800000,3600000,3600000,3400000,3000000,2500000,3400000,5000000,6600000,10800000,17800000,50700000,49900000,47272866,34019659,16774715,9467160,7401979,5855778,6089015,5633006,5421841,5827041,5787653,5237364,3729758,2788910,4990190,8710602,3709601,1955917,1519008,1289471,1209904,1138444
69,Minority Interest,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209331,- -
70,Total Liabilities & Equity,3930000,4060000,3800000,3900000,3800000,3600000,3600000,3400000,3000000,2500000,3400000,5000000,6600000,10800000,17800000,50700000,49900000,47272866,34019659,16774715,9467160,7401979,5855778,6089015,5633006,5421841,5827041,5787653,5237364,3729758,2788910,4990190,8710602,3709601,1955917,1519008,1289471,1000573,1138444
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/0000905148-96-000241-index.html,https://www.sec.gov/Archives/edgar/data/6494/000090514897000476/0000905148-97-000476-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/000090514801000830/0000905148-01-000830-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6494/000119312504053760/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312505077806/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312506070212/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000119312507067434/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/6494/000115752308002627/a5644174.htm,https://www.sec.gov/Archives/edgar/data/6494/000115752309002440/0001157523-09-002440-index.html,https://www.sec.gov/Archives/edgar/data/6494/000115752310001600/0001157523-10-001600-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544311000339/d28006_10k.htm,https://www.sec.gov/Archives/edgar/data/6494/000114544312000257/0001145443-12-000257-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544313000876/0001145443-13-000876-index.html,https://www.sec.gov/Archives/edgar/data/6494/000114544314000358/d31045-10k.htm,https://www.sec.gov/Archives/edgar/data/6494/000114544315000491/d285376.htm,https://www.sec.gov/Archives/edgar/data/6494/000120677416005177/0001206774-16-005177-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677417000958/0001206774-17-000958-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677418000959/0001206774-18-000959-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677419001153/0001206774-19-001153-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677420000985/0001206774-20-000985-index.html,https://www.sec.gov/Archives/edgar/data/6494/000120677421000940/0001206774-21-000940-index.htm,https://www.sec.gov/Archives/edgar/data/6494/000120677422000942/0001206774-22-000942-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,200000,300000,300000,300000,200000,-100000,-500000,-700000,700000,-2300000,-1300000,-300000,3400000,-6400000,-7200000,-9574352,-13630109,-20665328,-4271667,-1679149,-627508,18666,-390124,-326738,-166698,-77519,-515869,-1492520,-1117661,-2892593,3044170,-1253626,-1153731,-945108,-548566,-824,-374
74,Depreciation and Amortization,- -,- -,100000,- -,50000,- -,100000,100000,100000,100000,100000,100000,100000,400000,300000,2600000,3400000,3644392,3800147,1238461,1101900,585210,515060,488422,487896,509872,517725,544217,546183,573489,562081,115824,85660,72516,75445,98050,125335,101196,86
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,200000,- -,- -,- -,- -,1806615,- -,- -,- -,- -,- -,- -,-143130,-30570,19079,154621,- -,- -,- -,- -,- -,2563,1805,619,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253495,236790,204555,157008,58621,22795,42574,113167,65569,124695,45920,17710,- -,- -
77,Change in Working Capital,- -,- -,- -,-100000,- -,- -,-200000,-100000,-600000,-700000,600000,2100000,1300000,3400000,3000000,2500000,-300000,1035051,-9404136,-3499087,-2324699,1418595,-233088,569447,275438,359168,521388,321231,41178,-817863,-585945,1578620,-1139187,287253,-1220461,-386905,-239148,-235359,-306551
78,Accounts Receivable,- -,- -,- -,- -,-90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190013,290106,4015,-64769,333338,-182048,-102370,-1749979,1809622,-166910,-160298,38697,194689,-54
79,Inventory,- -,- -,- -,- -,70000,- -,- -,- -,100000,- -,200000,200000,-900000,-3700000,-1500000,-2200000,900000,838709,321970,166972,704146,323660,112971,-327939,398953,-288229,74598,43511,94151,69108,31840,423292,470022,70873,-11988,-63118,-14083,104948,10
80,Accounts Payable,- -,- -,- -,- -,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201907,119689,-88930,-35845,-69399,143482,259392,1548704,-1430810,- -,13359,-83243,-19078,245
