,https://roic.ai/company/PCTI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1057083/000101287000001588/0001012870-00-001588-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000101287001001343/0001012870-01-001343-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000089161802001574/0000891618-02-001574-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013703001881/0000950137-03-001881-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013704001811/0000950137-04-001811-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013705003945/0000950137-05-003945-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013706003122/0000950137-06-003122-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013707003952/0000950137-07-003952-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013708004074/0000950137-08-004074-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013709001909/0000950137-09-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095012310025262/0000950123-10-025262-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095012311025940/0000950123-11-025940-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312512117234/0001193125-12-117234-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312513138832/0001193125-13-138832-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312514098013/0001193125-14-098013-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312515090879/0001193125-15-090879-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312516505058/0001193125-16-505058-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459017004388/0001564590-17-004388-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459018006036/0001564590-18-006036-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459019008176/0001564590-19-008176-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459020010752/0001564590-20-010752-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459021012819/0001564590-21-012819-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459022010278/0001564590-22-010278-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13000000,44700000,25397000,38393000,52986000,106007000,83887000,58966000,59148000,26632000,44766000,35543000,23998000,19418000,17559000,21790000,20432000,7055000,14855000,5559000,4329000,7094000,5761000,8192000
32,Short-Term Investments,- -,53600000,92983000,87235000,58405000,19177000,208000,- -,11623000,38943000,17835000,27896000,37146000,42210000,33596000,36105000,39577000,24728000,18456000,32499000,30870000,32556000,30582000,22562000
33,Cash and Short-Term Investments,13000000,98300000,118380000,125628000,111391000,125184000,84095000,58966000,70771000,65575000,62601000,63439000,61144000,61628000,51155000,57895000,60009000,31783000,33311000,38058000,35199000,39650000,36343000,30754000
34,Net Receivables,12900000,6600000,24112000,2849000,5379000,3630000,10819000,13725000,14034000,16082000,14047000,9756000,13873000,14342000,18586000,18603000,23874000,21001000,19101000,18427000,15864000,17380000,16601000,- -
35,Inventory,2100000,5700000,13837000,2870000,1115000,1267000,8554000,9547000,7258000,9867000,10351000,8107000,10729000,13911000,17573000,14535000,16358000,17596000,14442000,12756000,12848000,11935000,9984000,13691000
36,Other Current Assets,2200000,5600000,7691000,5455000,5491000,2207000,2969000,3317000,2059000,3391000,3723000,3565000,4913000,3173000,3644000,4795000,4038000,1586000,1548000,1605000,1416000,1842000,1685000,20652000
37,Total Current Assets,30200000,116200000,164020000,136802000,123376000,132288000,106437000,85555000,94122000,94915000,90722000,84867000,90659000,93054000,90958000,95828000,104279000,71966000,68402000,70846000,65327000,70807000,64613000,65097000
38,PP&E,1000000,3100000,4722000,2769000,1532000,1197000,9746000,11190000,12357000,12136000,12825000,12093000,11088000,13590000,14777000,14971000,14842000,13839000,12609000,12369000,12138000,11985000,12505000,11949000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,17569000,16770000,384000,- -,- -,161000,161000,161000,161000,3332000,3332000,3332000,3332000,3332000,3332000,6334000
40,Intangible Assets,10800000,8600000,21662000,384000,1620000,9701000,25742000,47477000,7451000,4366000,5240000,9241000,8865000,9332000,7004000,4604000,2637000,11378000,3275000,2113000,1029000,144000,- -,1579000
41,Intangible Assets,10800000,8600000,21662000,384000,1620000,9701000,25742000,47477000,25020000,21136000,5624000,9241000,8865000,9493000,7165000,4765000,2798000,14710000,6607000,5445000,4361000,3476000,3332000,7913000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,12135000,9802000,7177000,- -,- -,- -,- -,- -,- -,- -,- -,4640000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4863000,10151000,9947000,9004000,8831000,14034000,11827000,9710000,13155000,4512000,7734000,- -,- -,- -,- -
44,Other Non-Current Assets,4000000,2700000,2552000,228000,2898000,55000,180000,283000,1221000,2829000,1184000,935000,1147000,1319000,1636000,41000,40000,40000,36000,72000,45000,2969000,2441000,2438000
45,Total Non-Current Assets,15800000,14400000,28936000,3381000,6050000,10953000,35668000,58950000,38598000,40964000,44784000,44351000,39906000,40410000,37612000,31604000,27390000,41744000,23764000,25620000,16544000,18430000,22918000,22300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46000000,130600000,192956000,140183000,129426000,143241000,142105000,144505000,132720000,135879000,135506000,129218000,130565000,133464000,128570000,127432000,131669000,113710000,92166000,96466000,81871000,89237000,87531000,87397000
48,Accounts Payable,5200000,7100000,9142000,4944000,1498000,333000,1085000,2251000,885000,956000,2479000,2192000,4253000,5651000,10643000,4440000,5495000,6735000,6073000,5471000,6083000,3190000,4430000,5360000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,869000,107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000,- -,91000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1738000,1944000,1025000,49000,- -,- -,- -,78000,59000,199000,1262000,65000,104000,223000,149000,241000,242000,- -
52,Other Current Liabilities,10900000,19200000,23967000,27337000,15260000,19266000,15843000,11665000,6964000,8354000,6197000,3786000,7546000,7014000,5857000,7604000,8949000,6125000,7073000,7061000,5561000,9141000,6983000,11117000
53,Total Current Liabilities,16100000,26300000,33109000,32281000,16758000,19599000,18666000,15860000,9743000,9466000,8676000,5978000,11799000,12743000,16559000,12243000,15706000,12925000,13250000,12755000,11884000,12572000,11746000,16477000
54,Long-Term Debt,14700000,- -,- -,141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,86000,55000,31000,8000,42000,- -,119000,76000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,115000,736000,516000,4618000,2284000,1846000,1512000,2172000,2111000,3875000,3792000,3051000,393000,357000,383000,350000,381000,3196000,4068000,3999000
58,Total Non-Current Liabilities,14800000,- -,- -,141000,115000,736000,516000,4618000,2284000,1846000,1512000,2172000,2111000,3875000,3866000,3137000,448000,388000,391000,392000,381000,3315000,4387000,3999000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,135000,107000,157000,180000,223000,3544000,4382000,- -
61,Total Liabilities,30900000,26300000,33109000,32422000,16873000,20335000,19182000,20478000,12027000,11312000,10188000,8150000,13910000,16618000,20425000,15380000,16154000,13313000,13641000,13147000,12265000,15887000,16133000,20476000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,19000,20000,20000,20000,21000,22000,22000,22000,18000,18000,18000,18000,19000,19000,19000,18000,17000,18000,18000,19000,18000,- -
64,Retained Earnings,4400000,9800000,15987000,-42232000,-36079000,-30201000,-32939000,-36652000,-46671000,-40640000,-12639000,-17122000,-20578000,-20941000,-32410000,-31748000,-30101000,-35320000,-55590000,-51258000,-64055000,-60305000,-56888000,-56735000
65,Other Comprehensive Income/Loss,-600000,-1200000,-2901000,-3433000,-4563000,-1905000,-1618000,-3026000,2000000,-5097000,-6579000,-8494000,-10376000,-12606000,-14590000,-15397000,-17712000,-20231000,-22479000,-22389000,-23386000,-24397000,18000,-360000
66,Other Total Stockholders Equity,11300000,95700000,146742000,153406000,153175000,154992000,157459000,163683000,165342000,170282000,144518000,146666000,147591000,149844000,155126000,159178000,163309000,155930000,156577000,156948000,157029000,158033000,128250000,124016000
67,Total Stockholders Equity,15100000,104300000,159847000,107761000,112553000,122906000,122923000,124027000,120693000,124567000,125318000,121068000,116655000,116315000,108145000,112052000,115515000,100397000,78525000,83319000,69606000,73350000,71398000,66921000
68,Total Liabilities And Stockholders Equity,46000000,130600000,192956000,140183000,129426000,143241000,142105000,144505000,132720000,135879000,135506000,129218000,130565000,132933000,128570000,127432000,131669000,113710000,92166000,96466000,81871000,89237000,87531000,87397000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46000000,130600000,192956000,140183000,129426000,143241000,142105000,144505000,132720000,135879000,135506000,129218000,130565000,133464000,128570000,127432000,131669000,113710000,92166000,96466000,81871000,89237000,87531000,87397000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1057083/000101287000001588/0001012870-00-001588-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000101287001001343/0001012870-01-001343-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000089161802001574/0000891618-02-001574-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013703001881/0000950137-03-001881-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013704001811/0000950137-04-001811-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013705003945/0000950137-05-003945-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013706003122/0000950137-06-003122-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013707003952/0000950137-07-003952-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013708004074/0000950137-08-004074-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013709001909/0000950137-09-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095012310025262/0000950123-10-025262-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095012311025940/0000950123-11-025940-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312512117234/0001193125-12-117234-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312513138832/0001193125-13-138832-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312514098013/0001193125-14-098013-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312515090879/0001193125-15-090879-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312516505058/0001193125-16-505058-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459017004388/0001564590-17-004388-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459018006036/0001564590-18-006036-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459019008176/0001564590-19-008176-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459020010752/0001564590-20-010752-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459021012819/0001564590-21-012819-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459022010278/0001564590-22-010278-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,500000,5400000,6138000,-58219000,6153000,5878000,-2738000,-3713000,-10019000,6031000,38297000,-4483000,-3456000,1047000,-9259000,3251000,4612000,-1568000,-17681000,3822000,-12889000,3750000,3417000,153000
74,Depreciation and Amortization,300000,5200000,7749000,7812000,2745000,2799000,5518000,9880000,5528000,3719000,4027000,4449000,5212000,5283000,5606000,5070000,4806000,7105000,5468000,3729000,3890000,3755000,3163000,- -
75,Deferred Income Tax,- -,-1400000,- -,- -,400000,- -,- -,- -,- -,-7768000,-4844000,328000,-352000,237000,-5425000,2165000,1666000,-1284000,8152000,-2647000,7817000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3362000,4610000,3400000,3031000,3440000,3276000,1865000,3986000,3005000,3261000,4133000,2479000,- -
77,Change in Working Capital,-5700000,75800000,41011000,-26390000,2097000,6071000,-24918000,-18076000,14684000,1070000,-3403000,-3157000,-29000,1451000,-5912000,9186000,4988000,-29532000,-3889000,2939000,-4648000,4792000,-5368000,-4247000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4611000,-3940000,-152000,-2870000,1000,-5301000,8260000,1695000,853000,2362000,-1532000,960000,- -
79,Inventory,-1400000,-4800000,-8924000,10426000,1938000,-1303000,-799000,1472000,1608000,-3370000,-1268000,2786000,-2396000,-3122000,-2361000,3092000,-1870000,-1385000,2863000,1970000,-336000,873000,2076000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-424000,1719000,1356000,3850000,-6149000,1050000,1114000,-484000,-1037000,1095000,-2841000,1086000,- -
81,Other Working Capital,14100000,89900000,130911000,104521000,106618000,112689000,87771000,69695000,84379000,85449000,82046000,78889000,78860000,80311000,74399000,83585000,88573000,59041000,55152000,58091000,53443000,58235000,52867000,48620000
82,Other Non-Cash Items,7600000,-63500000,-60113000,81140000,-20040000,2669000,14714000,11585000,2226000,-1561000,-11223000,7391000,-2633000,-4547000,17005000,-11709000,-11372000,32488000,14370000,-1079000,6512000,-5512000,9729000,4094000
83,Cash Provided by Operating Activities,2700000,21500000,-5215000,4343000,-8645000,17417000,-7424000,-324000,12419000,1491000,22854000,7890000,3352000,6871000,5046000,11403000,7976000,9074000,10406000,9769000,3943000,10918000,13420000,- -
84,CAPEX,-17300000,-2700000,-3044000,-702000,-582000,-961000,-6090000,-4270000,-4033000,-2803000,-2674000,-2334000,-1457000,-5069000,-3381000,-2959000,-2542000,-2102000,-1912000,-2666000,-2754000,-2263000,-4093000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-25000000,1000000,- -,-4000000,-7000000,-2000000,-1000000,-16000000,- -,- -,-21000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-53700000,-109611000,-75808000,-49924000,-343099000,- -,- -,-11623000,-58920000,-24530000,-31764000,-65989000,-58046000,-61927000,-72010000,-58629000,-30146000,-74264000,-49009000,-44591000,-48245000,-49701000,- -
87,Sales/Maturities of Investments,- -,- -,70553000,82094000,78205000,387457000,19151000,- -,- -,31600000,28009000,25582000,59072000,55607000,77718000,69501000,55157000,44995000,80536000,34966000,46220000,46559000,47035000,- -
88,Other Investing Activites,- -,- -,-5134000,42000,-1535000,-10609000,-28599000,4099000,778000,1029000,905000,-1078000,-1348000,-5319000,-5112000,-2956000,-2542000,-1538000,-1897000,-2665000,-2739000,-2263000,-4093000,- -
89,Cash Used for Investing Activites,-17300000,-56400000,-47236000,5626000,26164000,32788000,-15538000,-25171000,-13878000,-29094000,-2290000,-15060000,-10465000,-8958000,-5321000,-5465000,-6014000,-7689000,4375000,-16708000,-1110000,-3949000,-6759000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98000,-125000,-99000,-3578000,- -
91,Common Stock Issued,5000000,82900000,34157000,3027000,2692000,8941000,5064000,1769000,3383000,1308000,2239000,427000,468000,586000,578000,1266000,1092000,1018000,649000,1975000,686000,1183000,869000,- -
92,Common Stock Repurchased,- -,- -,-1014000,- -,-5282000,-6224000,-4310000,-759000,-2133000,-5504000,-34157000,-2509000,-4931000,-2559000,- -,-435000,-1652000,-12079000,-4095000,- -,- -,- -,-3808000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10296000,- -,- -,-545000,-2202000,-2579000,-2957000,-3651000,-3456000,-3705000,-4015000,-4068000,-4108000,- -
94,Other Financing Activites,15900000,-16300000,- -,- -,-371000,69000,70000,-328000,1186000,-792000,1298000,- -,- -,- -,- -,- -,203000,- -,- -,-1298000,-578000,-1152000,2363000,- -
95,Cash Used/Provided by Financing Activities,20900000,66600000,33143000,3027000,-2961000,2786000,824000,682000,2436000,-4988000,-40916000,-2082000,-4463000,-2518000,-1624000,-1748000,-3314000,-14712000,-6902000,-3126000,-4032000,-4136000,-8262000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,35000,30000,18000,-108000,-136000,75000,-125000,29000,31000,25000,40000,57000,-6000,-50000,-79000,130000,-31000,-68000,268000,- -
97,Net Change In Cash,6300000,31700000,-19308000,12996000,14593000,53021000,-22120000,-24921000,841000,-32516000,18134000,-9223000,-11545000,-4580000,-1859000,4231000,-1358000,-13377000,7800000,-9296000,-1230000,2765000,-1333000,- -
98,Cash at the End of Period,13000000,44700000,25397000,38393000,52986000,106007000,83887000,58966000,59148000,26632000,44766000,35543000,23998000,19418000,17559000,21790000,20432000,7055000,14855000,5559000,4329000,7094000,5761000,- -
99,Cash at the Beginning of Period,6700000,13000000,44705000,25397000,38393000,52986000,106007000,83887000,58307000,59148000,26632000,44766000,35543000,23998000,19418000,17559000,21790000,20432000,7055000,14855000,5559000,4329000,7094000,5761000
100,Free Cash Flow,-14600000,18800000,-8259000,3641000,-9227000,16456000,-13514000,-4594000,8386000,-1312000,20180000,5556000,1895000,1802000,1665000,8444000,5434000,6972000,8494000,7103000,1189000,8655000,9327000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1057083/000101287000001588/0001012870-00-001588-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000101287001001343/0001012870-01-001343-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000089161802001574/0000891618-02-001574-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013703001881/0000950137-03-001881-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013704001811/0000950137-04-001811-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013705003945/0000950137-05-003945-index.html,https://www.sec.gov/Archives/edgar/data/1057083/000095013706003122/0000950137-06-003122-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013707003952/0000950137-07-003952-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013708004074/0000950137-08-004074-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095013709001909/0000950137-09-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095012310025262/0000950123-10-025262-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000095012311025940/0000950123-11-025940-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312512117234/0001193125-12-117234-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312513138832/0001193125-13-138832-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312514098013/0001193125-14-098013-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312515090879/0001193125-15-090879-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000119312516505058/0001193125-16-505058-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459017004388/0001564590-17-004388-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459018006036/0001564590-18-006036-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459019008176/0001564590-19-008176-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459020010752/0001564590-20-010752-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459021012819/0001564590-21-012819-index.htm,https://www.sec.gov/Archives/edgar/data/1057083/000156459022010278/0001564590-22-010278-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
