,https://roic.ai/company/LUV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,33000000,- -,- -,- -,- -,17099000,-154584000,123071000,-47683000,-214401000,-52963000,-137406000,747901000,517098000,-208132000,-560000000,-258000000,-58000000,-109000000,482000000,595000000,292000000,-1162000000,-235000000,-797000000,-299000000,-1863000000,1036000000,256000000,-787000000,-101000000,10645000000,-100000000
78,Accounts Receivable,- -,- -,- -,- -,-900000,-5900000,-3600000,-4300000,-14300000,-5200000,-4100000,6300000,-3100000,-12300000,15400000,-63032000,66787000,-103110000,43000000,-75000000,-9000000,-5000000,-38000000,- -,- -,-26000000,-26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,31400000,20700000,39000000,65700000,67600000,52700000,61900000,132100000,8800000,53200000,64300000,129438000,202506000,-148850000,129000000,231000000,855000000,-223000000,1609000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,17099000,-137485000,-14414000,-62097000,-276498000,-329461000,-466867000,281034000,798132000,590000000,30000000,-228000000,-286000000,-395000000,87000000,682000000,974000000,-188000000,-423000000,-1220000000,-1519000000,-3382000000,-2346000000,-2090000000,-2877000000,-2978000000,7667000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,118700000,153300000,166000000,240900000,289200000,27304000,223482000,34097000,63220000,333558000,188695000,397876000,-300193000,-763791000,535132000,789000000,1213000000,173000000,1426000000,-2854000000,-410000000,49000000,1531000000,783000000,1603000000,626000000,2014000000,-663000000,179000000,1713000000,624000000,-9237000000,194000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,168000000,111900000,103200000,264500000,392700000,412666000,456442000,615228000,610588000,886135000,1001710000,1298286000,1484608000,520209000,1336000000,1157000000,2229000000,1406000000,2845000000,-1521000000,985000000,1561000000,1385000000,2064000000,2477000000,2902000000,3238000000,4293000000,3929000000,4893000000,3987000000,-1127000000,2322000000
84,CAPEX,- -,- -,- -,- -,-261900000,-317700000,-341100000,-409200000,-524200000,-788649000,-728643000,-677431000,-688927000,-947096000,-1167834000,-1134644000,-997843000,-603060000,-1238000000,-1775000000,-1210000000,-1399000000,-1331000000,-923000000,-585000000,-493000000,-968000000,-1348000000,-1447000000,-1828000000,-2143000000,-2147000000,-2249000000,-1976000000,-1027000000,-515000000,-511000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000000,-6000000,-20000000,- -,- -,- -,- -,-35000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4509000000,-5086000000,-5886000000,-6106000000,-5624000000,-5362000000,-2481000000,-3135000000,-3080000000,-1986000000,-2388000000,-2380000000,-2409000000,-2122000000,-5080000000,-5824000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,4392000000,4888000000,5831000000,5120000000,4852000000,5314000000,2996000000,3198000000,3185000000,2223000000,2263000000,2221000000,2342000000,2446000000,4336000000,5071000000
88,Other Investing Activites,- -,- -,- -,- -,600000,2400000,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000000,- -,41000000,- -,- -,2000000,- -,- -,- -,- -,-1752000000,-2048000000,-2038000000,-2123000000,-1917000000,-627000000,728000000,-505000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-261300000,-315300000,-341000000,-408900000,-524200000,-788649000,-728643000,-677431000,-688927000,-947096000,-1167834000,-1134644000,-997843000,-603060000,-1238000000,-1850000000,-1210000000,-1495000000,-1529000000,-978000000,-1569000000,-1265000000,-1051000000,-833000000,-1384000000,-1727000000,-1913000000,-2272000000,-2408000000,-2038000000,-303000000,-16000000,-1264000000
90,Debt Repayment,- -,- -,- -,- -,-47400000,-29800000,-13600000,-9400000,-120100000,-63071000,-10379000,-12695000,-12665000,-118859000,-12107000,-10238000,-110600000,-539568000,-130000000,-207000000,-149000000,-607000000,-122000000,-55000000,-583000000,-199000000,-621000000,-578000000,-313000000,-561000000,-213000000,-591000000,-592000000,-342000000,-615000000,-5522000000,-905000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,90500000,6700000,8743000,10693000,15592000,40335000,44272000,64288000,70424000,43541000,56757000,93000000,88000000,132000000,260000000,139000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2294000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-10000000,-25600000,- -,-100000,- -,- -,- -,- -,- -,-100000000,-90507000,-108674000,- -,- -,- -,-246000000,-55000000,-800000000,-1001000000,-54000000,- -,- -,-225000000,-400000000,-540000000,-955000000,-1180000000,-1750000000,-1600000000,-2000000000,-2000000000,-451000000,- -
93,Dividends Paid,- -,- -,- -,- -,-4200000,-4100000,-4200000,-4900000,-5400000,-5722000,-5749000,-6216000,-6593000,-9284000,-10842000,-10978000,-13440000,-13872000,-14000000,-14000000,-14000000,-14000000,-14000000,-13000000,-13000000,-13000000,-14000000,-22000000,-71000000,-139000000,-180000000,-222000000,-274000000,-332000000,-372000000,-188000000,- -
94,Other Financing Activites,- -,- -,- -,- -,91300000,204000000,429000000,218400000,107900000,315000000,420461000,330000000,98764000,- -,255600000,- -,1350600000,115025000,3000000,512000000,299000000,360000000,505000000,1776000000,926000000,63000000,94000000,53000000,73000000,407000000,549000000,639000000,760000000,178000000,-3000000,13525000000,1264000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,29700000,144500000,411200000,294500000,-10900000,254950000,415026000,326681000,119841000,-183871000,206432000,-59466000,1270101000,-381658000,-48000000,133000000,213000000,-801000000,-493000000,1654000000,330000000,-149000000,-766000000,-947000000,-851000000,-1248000000,-1024000000,-1924000000,-1706000000,-2496000000,-2990000000,9658000000,359000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,29700000,144500000,411200000,294500000,-10900000,-121033000,142825000,264478000,41502000,-244832000,40308000,104176000,1756866000,-464509000,50000000,-560000000,1232000000,-890000000,823000000,-845000000,-254000000,147000000,-432000000,284000000,242000000,-73000000,301000000,97000000,-185000000,359000000,694000000,8515000000,1417000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,174538000,317363000,581841000,623343000,378511000,418819000,522995000,2279861000,1815352000,1865000000,1305000000,2280000000,1390000000,2213000000,1368000000,1114000000,1261000000,829000000,1113000000,1355000000,1282000000,1583000000,1680000000,1495000000,1854000000,2548000000,11063000000,12480000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,210000000,146400000,87500000,260900000,437900000,295571000,174538000,317363000,581841000,623343000,378511000,418819000,522995000,2279861000,1815000000,1865000000,1048000000,2280000000,1390000000,2213000000,1368000000,1114000000,1261000000,829000000,1113000000,1355000000,1282000000,1583000000,1680000000,1495000000,1854000000,2548000000,11063000000
100,Free Cash Flow,- -,- -,- -,- -,-93900000,-205800000,-237900000,-144700000,-131500000,-375983000,-272201000,-62203000,-78339000,-60961000,-166124000,163642000,486765000,-82851000,98000000,-618000000,1019000000,7000000,1514000000,-2444000000,400000000,1068000000,417000000,716000000,1030000000,1074000000,1095000000,2146000000,1680000000,2917000000,2960000000,-1642000000,1811000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92380/000095013499002046/0000950134-99-002046-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92380/000095013405002093/0000950134-05-002093-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013406001553/0000950134-06-001553-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013407001724/0000950134-07-001724-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000095013408001572/0000950134-08-001572-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312509015591/0001193125-09-015591-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312510017191/0001193125-10-017191-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312511026045/0001193125-11-026045-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312512049647/0001193125-12-049647-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000119312513041608/0001193125-13-041608-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238014000010/0000092380-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238015000027/0000092380-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238016000175/0000092380-16-000175-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238017000029/0000092380-17-000029-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238018000031/0000092380-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238019000022/0000092380-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238020000024/0000092380-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238021000033/0000092380-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/92380/000009238022000007/0000092380-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
