,https://roic.ai/company/WHLM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,115200000,118300000,166800000,143000000,- -,3000000,2017000,1310000,330000,605000,174000,131000,293000,17546000,17416000,18534000,13853000,13725000,16653000,15991000,24478000,16843000,17134000,15737000,14139000,3552000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,48000,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,400000,- -,342000,342000,347000,347000,347000,539000,539000,539000,1294000,1294000,1294000,1294000,1294000,65000,65000,65000,65000,65000,65000,65000,65000
64,Retained Earnings,2700000,6400000,32300000,48200000,- -,-35335000,-52581000,-59097000,-61107000,-61850000,-62563000,-62508000,-63475000,-66813000,-65829000,-64260000,-63243000,-59851000,-58650000,-57143000,-57048000,-56885000,-56029000,-60815000,-65756000,-61238000
65,Other Comprehensive Income/Loss,-800000,-4800000,-10300000,-20100000,- -,-366000,-439000,-533000,49000,-183000,- -,- -,- -,-84000,-118000,-226000,-353000,-493000,-762000,-12000,-50000,4000,-93000,2000,81000,-23000
66,Other Total Stockholders Equity,20700000,47100000,70300000,83600000,- -,71936000,70785000,71009000,75428000,75611000,75340000,75357000,75357000,85156000,85190000,85359000,84327000,84216000,85897000,84869000,82443000,82999000,82162000,82119000,82116000,82274000
67,Total Stockholders Equity,22600000,48700000,92300000,112100000,- -,36577000,18107000,11726000,14765000,13973000,13316000,13388000,12421000,19553000,20537000,22167000,22025000,25166000,26550000,27779000,25410000,26183000,26105000,21371000,16506000,21013000
68,Total Liabilities And Stockholders Equity,137800000,167000000,259100000,255100000,- -,39577000,20124000,13036000,15095000,14578000,13490000,13519000,12714000,37099000,37953000,40701000,35878000,38891000,43203000,43770000,49888000,43026000,43239000,37108000,30645000,24565000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12859000
70,Total Liabilities & Equity,137800000,167000000,259100000,255100000,- -,39577000,20124000,13036000,15095000,14578000,13490000,13519000,12714000,37099000,37953000,40701000,35878000,38891000,43203000,43770000,49888000,43026000,43239000,37108000,30645000,37424000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1013706/000095013496007010/0000950134-96-007010-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000095013497009570/0000950134-97-009570-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000095013498009918/0000950134-98-009918-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000089056699001629/0000890566-99-001629-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1013706/000089155402002045/0000891554-02-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000116923203002516/0001169232-03-002516-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000116923204001995/0001169232-04-001995-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189505000412/0000921895-05-000412-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013706/000092189507000715/0000921895-07-000715-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000092189508000980/0000921895-08-000980-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189509001027/0000921895-09-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189510000444/0000921895-10-000444-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189511000658/0000921895-11-000658-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184312001082/0001171843-12-001082-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184313001211/0001171843-13-001211-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184314001499/0001171843-14-001499-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184315001702/0001171843-15-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184316008877/0001171843-16-008877-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184317001727/0001171843-17-001727-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184318002182/0001171843-18-002182-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184319001849/0001171843-19-001849-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184320002129/0001171843-20-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184321001816/0001171843-21-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184322001914/0001171843-22-001914-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,17900000,3700000,25900000,15800000,-42421000,-36041000,-7246000,-6516000,-1903000,-543000,-591000,55000,-967000,-3338000,984000,1569000,1062000,3392000,1201000,1507000,95000,163000,856000,-4786000,-4941000,4518000
74,Depreciation and Amortization,2100000,3800000,6500000,9300000,1631000,1801000,157000,153000,27000,7000,- -,- -,- -,1708000,1919000,1642000,1564000,1572000,603000,474000,594000,906000,990000,1192000,1249000,855000
75,Deferred Income Tax,- -,- -,900000,-700000,2806000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2172000,718000,626000,519000,- -,- -,94000,724000,599000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,68000,159000,189000,209000,349000,556000,363000,216000,16000,- -
77,Change in Working Capital,5600000,- -,14000000,31100000,14900000,-63968000,-1078000,-4097000,10071000,-874000,-1041000,72000,-967000,-15605000,1893000,872000,2507000,3096000,1887000,-496000,-720000,-1688000,979000,-1382000,-212000,3592000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1046000,-2263000,-3002000,1556000,-1423000,-1155000,-519000,-3916000,3148000,1668000,2449000,2122000,-1961000
79,Inventory,- -,-1500000,- -,- -,- -,209000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-921000,305000,1341000,-906000,1009000,-796000,1086000,-1047000,-948000,863000
81,Other Working Capital,13500000,13500000,27500000,58600000,73500000,9532000,8454000,4357000,14428000,13554000,12513000,12585000,11618000,-3987000,-2094000,-1222000,1285000,4381000,6268000,5772000,5052000,3364000,4343000,2961000,2749000,6341000
82,Other Non-Cash Items,400000,23600000,-9500000,-33400000,73920000,94604000,11995000,8492000,-13410000,172000,2059000,235000,990000,19188000,-3647000,-2294000,-6605000,-3115000,-150000,-1836000,2053000,-264000,568000,6203000,1197000,-4028000
83,Cash Provided by Operating Activities,26000000,31100000,37800000,22100000,50836000,-3604000,3828000,-1968000,-5215000,-1238000,427000,362000,-944000,1953000,1149000,1850000,-1404000,2932000,4448000,484000,2890000,-327000,3756000,1537000,-1967000,5536000
84,CAPEX,-6700000,-17600000,-11300000,-9500000,-50000,-616000,-20000,-6000,-3000,- -,-388000,-2000,- -,-43000,-105000,-354000,-102000,-421000,-771000,-1028000,-1594000,-657000,-443000,-394000,-154000,-19000
85,Acquisitions Net,- -,- -,- -,- -,-4264000,- -,- -,- -,- -,- -,- -,- -,- -,-14763000,- -,- -,- -,- -,- -,-282000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-16500000,- -,- -,-12858000,-13786000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,17265000,- -,- -,- -,27186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,8600000,9200000,43000000,1300000,-45907000,-22190000,-2387000,-1400000,9462000,-1191000,- -,- -,- -,- -,- -,- -,- -,- -,222000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,1900000,-8400000,31700000,-8200000,-50221000,-22041000,-2407000,-1406000,-3399000,12209000,-388000,-2000,- -,-14806000,-105000,-354000,-102000,-421000,-549000,-1310000,-1594000,-657000,-443000,-394000,-154000,-19000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2003000,-1441000,-600000,-1250000,-950000,-800000,- -,- -,-502000,-524000,-734000,-1351000,-76000
91,Common Stock Issued,100000,6600000,8500000,2700000,891000,14000,4000,- -,5000000,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1901000,-1314000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1227000,-410000,-6000,-475000,-2775000,- -,-1200000,-259000,-19000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-20700000,-22000000,-1100000,-3500000,- -,-884000,- -,- -,- -,- -,- -,- -,- -,2250000,- -,500000,2000000,480000,- -,- -,2649000,- -,1000000,- -,1975000,-711000
95,Cash Used/Provided by Financing Activities,-20600000,-15400000,7400000,-800000,-1010000,-2184000,4000,- -,5000000,-200000,-207000,- -,- -,3247000,-1441000,-100000,-477000,-880000,-806000,-475000,-126000,-502000,-724000,-993000,605000,-787000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,-38000,54000,-97000,95000,79000,-35000
97,Net Change In Cash,- -,- -,- -,13000000,-395000,-27829000,1425000,-3374000,-3614000,10771000,-168000,360000,-944000,-9606000,-397000,1396000,-1983000,1631000,3093000,-1313000,1132000,-1432000,2492000,245000,-1437000,4695000
98,Cash at the End of Period,- -,- -,- -,134000000,-156000,8649000,8704000,5330000,1716000,12487000,12319000,12679000,11735000,2129000,1732000,3128000,1145000,2776000,5869000,4556000,5688000,4256000,6748000,6993000,5556000,10251000
99,Cash at the Beginning of Period,26800000,34100000,41400000,121000000,239000,36478000,7279000,8704000,5330000,1716000,12487000,12319000,12679000,11735000,2129000,1732000,3128000,1145000,2776000,5869000,4556000,5688000,4256000,6748000,6993000,5556000
100,Free Cash Flow,19300000,13500000,26500000,12600000,50786000,-4220000,3808000,-1974000,-5218000,-1238000,39000,360000,-944000,1910000,1044000,1496000,-1506000,2511000,3677000,-544000,1296000,-984000,3313000,1143000,-2121000,5517000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1013706/000095013496007010/0000950134-96-007010-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000095013497009570/0000950134-97-009570-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000095013498009918/0000950134-98-009918-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000089056699001629/0000890566-99-001629-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013706/000089155402002045/0000891554-02-002045-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000116923203002516/0001169232-03-002516-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000116923204001995/0001169232-04-001995-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189505000412/0000921895-05-000412-index.html,- -,https://www.sec.gov/Archives/edgar/data/1013706/000092189507000715/0000921895-07-000715-index.html,https://www.sec.gov/Archives/edgar/data/1013706/000092189508000980/0000921895-08-000980-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189509001027/0000921895-09-001027-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189510000444/0000921895-10-000444-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000092189511000658/0000921895-11-000658-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184312001082/0001171843-12-001082-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184313001211/0001171843-13-001211-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184314001499/0001171843-14-001499-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184315001702/0001171843-15-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184316008877/0001171843-16-008877-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184317001727/0001171843-17-001727-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184318002182/0001171843-18-002182-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184319001849/0001171843-19-001849-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184320002129/0001171843-20-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184321001816/0001171843-21-001816-index.htm,https://www.sec.gov/Archives/edgar/data/1013706/000117184322001914/0001171843-22-001914-index.htm
