,https://roic.ai/company/CDMO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.3734,-1.5786,-1.8804,-1.2454,-0.4886,-0.3835,-0.0996,-0.1753,0.1170
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-284000,- -,- -
23,Net Income,-6900000,300000,-33200000,-11800000,-19500000,-14514000,-9535000,-11718000,-11559000,-14345000,-15452000,-17061000,-20796000,-23176000,-16524000,-14494000,-34151000,-42119000,-29780000,-35362000,-50358000,-55652000,-28159000,-21813000,-4215000,-10466000,11212000
24,Net Income ratio,-69.0000,0.0968,-110.6667,-23.6000,-195.0000,-14514.0000,-9.7395,-3.1115,-2.9480,-4.3286,-3.1160,-5.3433,-5.6084,-3.8037,-0.9104,-0.5187,-2.5312,-2.7650,-1.3734,-1.5786,-1.8804,-1.2454,-0.4886,-0.4068,-0.0786,-0.1753,0.1170
25,EPS,-15.40,0.70,-54.25,-17.15,-10.50,-6.30,-3.50,-3.85,-3.50,-3.85,-3.85,-3.50,-3.85,-3.50,-2.45,-2.10,-3.92,-3.50,-1.75,-1.54,-2.10,-1.96,-0.88,-0.56,-0.16,-0.27,0.06
26,EPS Diluted,-15.40,0.70,-54.25,-17.15,-10.50,-6.30,-3.50,-3.85,-3.50,-3.85,-3.85,-3.50,-3.85,-3.50,-2.45,-2.10,-3.92,-3.50,-1.75,-1.54,-2.10,-1.96,-0.88,-0.56,-0.16,-0.27,0.06
27,Weighted Average Shares Outstanding,448052,428571,612281,884220,1889901,2319856,2720352,2986859,3327663,3837122,4137481,4808417,5494203,6318517,6463749,7009324,8698047,11938953,17195744,23082783,26079735,30895057,37109493,47063020,55981060,56326000,58222000
28,Weighted Average Shares Outstanding Diluted,448052,428571,612281,884220,1889901,2319856,2720352,2986859,3327663,3837122,4137481,4808417,5494203,6318517,6463749,7009324,8698047,11938953,17195744,23082783,26079735,30895057,37109493,47063020,55981060,56326000,59426000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/704562/000089256996001321/0000892569-96-001321-index.html,https://www.sec.gov/Archives/edgar/data/704562/000089256997001925/0000892569-97-001925-index.html,https://www.sec.gov/Archives/edgar/data/704562/000089256998002075/0000892569-98-002075-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968799000430/0001019687-99-000430-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968700001033/0001019687-00-001033-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968701500530/0001019687-01-500530-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704562/000101968705001934/peregrine_10k.htm,https://www.sec.gov/Archives/edgar/data/704562/000101968706001670/peregrine_10k-043006.htm,https://www.sec.gov/Archives/edgar/data/704562/000101968707002097/0001019687-07-002097-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968708003034/0001019687-08-003034-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968709002488/0001019687-09-002488-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968710002633/0001019687-10-002633-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968711002252/0001019687-11-002252-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968712002424/0001019687-12-002424-index.html,- -,https://www.sec.gov/Archives/edgar/data/704562/000135448814003653/0001354488-14-003653-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968715002732/0001019687-15-002732-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968716006937/peregrine_10k-043016.htm,https://www.sec.gov/Archives/edgar/data/704562/000168316817001772/0001683168-17-001772-index.html,https://www.sec.gov/Archives/edgar/data/704562/000168316818001961/0001683168-18-001961-index.html,https://www.sec.gov/Archives/edgar/data/704562/000168316819002038/0001683168-19-002038-index.html,https://www.sec.gov/Archives/edgar/data/704562/000168316820002138/0001683168-20-002138-index.htm,https://www.sec.gov/Archives/edgar/data/704562/000168316821002764/0001683168-21-002764-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4200000,12200000,1700000,2400000,4131000,6327000,6072000,3137000,14884000,9816000,17182000,16044000,15130000,10018000,19681000,23075000,18033000,35204000,77490000,68001000,61412000,46799000,42265000,32351000,36262000,169915000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,242000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4200000,12200000,1700000,2400000,4131000,6327000,6072000,3379000,14884000,9816000,17182000,16044000,15130000,10018000,19681000,23075000,18033000,35204000,77490000,68001000,61412000,46799000,42265000,32351000,36262000,169915000
34,Net Receivables,200000,100000,400000,100000,300000,90000,46000,328000,245000,1520000,486000,579000,750000,605000,3714000,1848000,1482000,2353000,1662000,1332000,3813000,2859000,7742000,3754000,11701000,11906000,24954000
35,Inventory,- -,100000,200000,- -,100000,- -,- -,- -,376000,1240000,627000,885000,1916000,2900000,4707000,3123000,5284000,3611000,4339000,5530000,7354000,16186000,33099000,16129000,6557000,10883000,11871000
36,Other Current Assets,100000,3900000,- -,400000,400000,696000,264000,390000,257000,240000,1197000,1466000,1188000,1208000,1695000,2126000,974000,795000,709000,1419000,1355000,1351000,1460000,5679000,709000,712000,1064000
37,Total Current Assets,300000,8300000,12800000,2200000,3200000,4917000,6637000,6790000,4257000,17884000,12126000,20112000,19898000,19843000,20134000,26778000,30815000,24792000,41914000,85771000,80523000,81808000,89100000,67827000,51318000,59763000,207804000
38,PP&E,400000,2300000,5300000,9300000,1900000,870000,1117000,915000,836000,873000,1638000,1906000,1840000,2058000,1681000,1469000,2209000,2900000,2678000,2447000,15124000,24302000,23674000,26479000,25625000,47205000,56146000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,200000,200000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,200000,200000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,400000,300000,2300000,166000,146000,161000,306000,380000,481000,658000,1259000,1156000,1312000,1088000,1742000,570000,466000,2327000,1817000,2933000,5338000,1454000,1452000,652000,1560000
45,Total Non-Current Assets,600000,2500000,5900000,9800000,4200000,1036000,1263000,1076000,1142000,1253000,2119000,2564000,3099000,3214000,2993000,2557000,3951000,3470000,3144000,4774000,16941000,27235000,29012000,27933000,27077000,47857000,57706000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,900000,10800000,18700000,12000000,7400000,5953000,7900000,7866000,5399000,19137000,14245000,22676000,22997000,23057000,23127000,29335000,34766000,28262000,45058000,90545000,97464000,109043000,118112000,95760000,78395000,107620000,265510000
48,Accounts Payable,100000,200000,700000,700000,900000,522000,675000,1070000,560000,1331000,1325000,1233000,1683000,2060000,3518000,2259000,4046000,3492000,2821000,2434000,10385000,8429000,5779000,1909000,4352000,5926000,9257000
49,Short-Term Debt,- -,- -,100000,2500000,100000,110000,86000,2000,- -,- -,234000,444000,396000,22000,1482000,1893000,1321000,- -,- -,- -,- -,- -,- -,- -,- -,5607000,1355000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,3500000,- -,531000,1524000,517000,563000,1060000,2196000,7647000,2484000,7376000,8516000,12230000,11001000,17993000,34242000,45517000,27935000,14651000,29120000,50769000
52,Other Current Liabilities,1100000,600000,1400000,1500000,5000000,7953000,930000,1711000,1217000,1398000,2075000,2244000,2716000,3162000,6217000,7767000,4936000,5631000,5510000,8772000,8953000,14903000,11635000,8019000,4159000,3827000,9555000
53,Total Current Liabilities,1200000,800000,2200000,4700000,6000000,8585000,5191000,2783000,2308000,4253000,4151000,4484000,5855000,7440000,18864000,14403000,17679000,17639000,20561000,22207000,37331000,57574000,62931000,37863000,23162000,44480000,70936000
54,Long-Term Debt,300000,1000000,2000000,1900000,3500000,89000,2000,- -,760000,- -,434000,498000,119000,- -,3208000,1315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116838000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,632000,361000,292000,292000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,- -,21000,- -,200000,125000,50000,68000,34000,22000,154000,210000,1037000,779000,445000,347000,1098000,1395000,1599000,2159000,2165000,21244000,- -
58,Total Non-Current Liabilities,300000,1000000,1900000,1900000,3500000,89000,23000,- -,960000,125000,484000,566000,153000,22000,3362000,1525000,1669000,1140000,737000,639000,1098000,1395000,1599000,2159000,2165000,21244000,116838000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,30000,22000,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000,22472000,21244000
61,Total Liabilities,1500000,1800000,4100000,6600000,9500000,8674000,5214000,2783000,3268000,4378000,4635000,5050000,6008000,7462000,22226000,15928000,19348000,18779000,21298000,22846000,38429000,58969000,64530000,40022000,25327000,65724000,187774000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,2000,2000,2000,2000,2000,2000,- -
63,Common Stock,- -,- -,- -,- -,- -,91000,97000,110000,120000,141000,153000,179000,196000,226000,227000,53000,70000,101000,143000,179000,193000,237000,44000,55000,56000,56000,61000
64,Retained Earnings,-18100000,-17800000,-51000000,-72600000,-92700000,-107194000,-116729000,-128447000,-140006000,-154351000,-169803000,-186864000,-207660000,-230836000,-247360000,-261854000,-296005000,-338124000,-367904000,-403266000,-453624000,-509276000,-537435000,-559129000,-560605000,-571071000,-559859000
65,Other Comprehensive Income/Loss,-600000,-700000,-1000000,-1600000,-1100000,-869000,-1613000,-1853000,-257000,-2373000,-751000,-235000,-3212000,-3670000,-4076000,-4366000,-4928000,-5737000,- -,-7416000,-8189000,-9610000,-11700000,-12372000,-14569000,-17641000,- -
66,Other Total Stockholders Equity,18100000,27500000,66600000,79600000,91700000,105251000,120931000,135273000,142274000,171342000,180011000,204546000,227665000,249875000,252110000,279574000,316281000,353243000,391521000,478201000,520653000,568721000,602671000,627182000,628184000,630550000,637534000
67,Total Stockholders Equity,-600000,9000000,14600000,5400000,-2100000,-2721000,2686000,5083000,2131000,14759000,9610000,17626000,16989000,15595000,901000,13407000,15418000,9483000,23760000,67699000,59035000,50074000,53582000,55738000,53068000,41896000,77736000
68,Total Liabilities And Stockholders Equity,900000,10800000,18700000,12000000,7400000,5953000,7900000,7866000,5399000,19137000,14245000,22676000,22997000,23057000,23127000,29335000,34766000,28262000,45058000,90545000,97464000,109043000,118112000,95760000,78395000,107620000,265510000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,900000,10800000,18700000,12000000,7400000,5953000,7900000,7866000,5399000,19137000,14245000,22676000,22997000,23057000,23127000,29335000,34766000,28262000,45058000,90545000,97464000,109043000,118112000,95760000,78395000,107620000,265510000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/704562/000089256996001321/0000892569-96-001321-index.html,https://www.sec.gov/Archives/edgar/data/704562/000089256997001925/0000892569-97-001925-index.html,https://www.sec.gov/Archives/edgar/data/704562/000089256998002075/0000892569-98-002075-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968799000430/0001019687-99-000430-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968700001033/0001019687-00-001033-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968701500530/0001019687-01-500530-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704562/000101968705001934/peregrine_10k.htm,https://www.sec.gov/Archives/edgar/data/704562/000101968706001670/peregrine_10k-043006.htm,https://www.sec.gov/Archives/edgar/data/704562/000101968707002097/0001019687-07-002097-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968708003034/0001019687-08-003034-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968709002488/0001019687-09-002488-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968710002633/0001019687-10-002633-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968711002252/0001019687-11-002252-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968712002424/0001019687-12-002424-index.html,- -,https://www.sec.gov/Archives/edgar/data/704562/000135448814003653/0001354488-14-003653-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968715002732/0001019687-15-002732-index.html,https://www.sec.gov/Archives/edgar/data/704562/000101968716006937/peregrine_10k-043016.htm,https://www.sec.gov/Archives/edgar/data/704562/000168316817001772/0001683168-17-001772-index.html,https://www.sec.gov/Archives/edgar/data/704562/000168316818001961/0001683168-18-001961-index.html,https://www.sec.gov/Archives/edgar/data/704562/000168316819002038/0001683168-19-002038-index.html,https://www.sec.gov/Archives/edgar/data/704562/000168316820002138/0001683168-20-002138-index.htm,https://www.sec.gov/Archives/edgar/data/704562/000168316821002764/0001683168-21-002764-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6900000,300000,-33200000,-11800000,-19500000,-14514000,-9535000,-11718000,-11559000,-14345000,-15452000,-17061000,-20796000,-23176000,-16524000,-14494000,-34151000,-42119000,-29780000,-35362000,-50358000,-55652000,-28159000,-21813000,-4215000,-10466000,11212000
74,Depreciation and Amortization,200000,200000,300000,700000,1000000,516000,412000,424000,1381000,2185000,325000,415000,866000,486000,503000,1116000,652000,908000,1087000,986000,1041000,1535000,2463000,2562000,2746000,3091000,3453000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,866000,1421000,2837000,2769000,3435000,6207000,6702000,4898000,3363000,1538000,1595000,2499000,3854000
77,Change in Working Capital,200000,8400000,3100000,-13100000,-300000,-868000,5114000,2561000,-2058000,11682000,-5656000,7653000,-1585000,-1640000,-11133000,11105000,761000,-5983000,14200000,42211000,-20372000,-18958000,1935000,3795000,-1808000,-12873000,121585000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000,92000,-964000,- -,- -,- -,- -,- -,- -,-3620000,-1232000,-10236000
79,Inventory,-200000,100000,-100000,- -,- -,- -,- -,- -,-370000,-864000,613000,-258000,-1031000,-984000,-1807000,1584000,-2161000,1673000,-728000,-1191000,-1824000,-8832000,-16913000,16970000,1701000,-4326000,-988000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,608000,-601000,-691000,-391000,3278000,-3521000,-3308000,-4018000,2125000,802000,-608000
81,Other Working Capital,-900000,7500000,10600000,-2500000,-2800000,-3668000,1446000,4007000,1949000,13631000,7975000,15628000,14043000,12403000,1270000,12375000,13136000,7153000,21353000,63564000,43192000,24234000,26169000,29964000,28156000,15283000,136868000
82,Other Non-Cash Items,5000000,-8500000,25400000,14300000,10900000,5567000,-2225000,-4620000,1931000,-10773000,7615000,-7964000,3036000,3403000,16258000,-13013000,3439000,8547000,-9868000,-42296000,26968000,28586000,-19388000,-12848000,-9913000,23576000,-108922000
83,Cash Provided by Operating Activities,-1500000,400000,-4400000,-9900000,-7900000,-9299000,-6234000,-13353000,-10305000,-11251000,-13168000,-16957000,-18479000,-20927000,-10030000,-13865000,-26462000,-35878000,-20926000,-28254000,-36019000,-39591000,-39786000,-26766000,-11595000,5827000,31182000
84,CAPEX,- -,-5900000,-3300000,-2900000,-500000,-201000,-242000,-280000,-184000,-411000,-1090000,-618000,-220000,-691000,-126000,-304000,-912000,-1554000,-853000,-755000,-9047000,-9324000,-1501000,-3019000,-1502000,-3812000,-9864000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-500000,- -,3600000,47000,22000,96000,11000,-250000,-101000,1058000,140000,111000,-14000,-60000,-435000,383000,102000,-1767000,598000,533000,-1491000,3000000,6046000,- -,- -
89,Cash Used for Investing Activites,- -,-5900000,100000,-2900000,3100000,-154000,-220000,-184000,-173000,-661000,-1191000,440000,-80000,-580000,-140000,-364000,-1347000,-1171000,-751000,-2522000,-8449000,-8791000,-2992000,-19000,4544000,-3812000,-9864000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000,-1687000,-2062000,-1408000,-16053000,-32000,-13000,- -,-139000,-180000,-74000,-78000,-93000
91,Common Stock Issued,1500000,8600000,11300000,600000,9600000,11306000,12061000,13368000,4740000,23659000,8623000,23627000,17865000,20932000,550000,25474000,33221000,33415000,39522000,53920000,19235000,45195000,30450000,25687000,- -,- -,32141000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40490000
93,Dividends Paid,- -,- -,- -,- -,- -,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-232000,-3352000,-4139000,-4279000,-4325000,-4325000,-4325000,-4455000
94,Other Financing Activites,- -,1100000,1000000,1700000,-4200000,-105000,-3411000,-86000,3303000,- -,668000,256000,-444000,-339000,4531000,105000,44000,- -,15379000,19406000,19109000,737000,2133000,1069000,1536000,5499000,125232000
95,Cash Used/Provided by Financing Activities,1500000,9700000,12300000,2300000,5400000,11199000,8650000,13282000,7543000,23659000,9291000,23883000,17421000,20593000,5058000,23892000,31203000,32007000,38848000,73062000,34979000,41793000,28165000,22251000,-2863000,1096000,112335000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1500000,9700000,12300000,2300000,5400000,1746000,2196000,-255000,-2935000,11747000,-5068000,7366000,-1138000,-914000,-5112000,9663000,3394000,-5042000,17171000,42286000,-9489000,-6589000,-14613000,-4534000,-9914000,3111000,133653000
98,Cash at the End of Period,- -,4100000,- -,- -,- -,4131000,6327000,6072000,3137000,14884000,9816000,17182000,16044000,15130000,10018000,19681000,23075000,18033000,35204000,77490000,68001000,61412000,46799000,42265000,33501000,36612000,170265000
99,Cash at the Beginning of Period,- -,- -,4200000,12200000,1700000,2385000,4131000,6327000,6072000,3137000,14884000,9816000,17182000,16044000,15130000,10018000,19681000,23075000,18033000,35204000,77490000,68001000,61412000,46799000,43415000,33501000,36612000
100,Free Cash Flow,-1500000,-5500000,-7700000,-12800000,-8400000,-9500000,-6476000,-13633000,-10489000,-11662000,-14258000,-17575000,-18699000,-21618000,-10156000,-14169000,-27374000,-37432000,-21779000,-29009000,-45066000,-48915000,-41287000,-29785000,-13097000,2015000,21318000
