,https://roic.ai/company/CMCT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908311/000095013402002878/0000950134-02-002878-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013403005007/0000950134-03-005007-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013404003504/0000950134-04-003504-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013405005258/0000950134-05-005258-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013406005340/0000950134-06-005340-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013407005806/0000950134-07-005806-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013408004886/0000950134-08-004886-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000136231009003885/0001362310-09-003885-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095012310025207/0000950123-10-025207-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095012311025792/0000950123-11-025792-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000119312512115969/0001193125-12-115969-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000119312513112250/0001193125-13-112250-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000119312514091628/0001193125-14-091628-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000104746915002273/0001047469-15-002273-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000155837016004156/0001558370-16-004156-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828017002639/0001628280-17-002639-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828018003095/0001628280-18-003095-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828019003079/0001628280-19-003079-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828020003671/0001628280-20-003671-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000090831121000024/0000908311-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000090831122000036/0000908311-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,207183,25984000,36000,225000,228000,487000,557000,49000,1078000,9065000,3967000,3739000,11485000,10606000,7838000,2642000,6502000,1230000,7981000,17615000,124636000,144449000,129310000,54931000,23801000,33636000,22311000
32,Short-Term Investments,4900000,- -,- -,- -,- -,75100000,80299000,72383000,57924000,5614000,4068000,3096000,3532000,995000,1236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4900000,- -,207183,25984000,36000,75325000,80527000,72870000,58481000,5663000,5146000,12161000,7499000,4734000,12721000,10606000,7838000,2642000,6502000,1230000,7981000,17615000,124636000,144449000,129310000,54931000,23801000,33636000,22311000
34,Net Receivables,- -,- -,436455,615000,654000,786000,603000,393000,394000,605000,734000,- -,- -,- -,- -,- -,209169000,234228000,234427000,620000,718000,108384000,114064000,202587000,179431000,174118000,106456000,120828000,113034000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-58332000,-6227000,-4848000,-3096000,-3532000,-995000,-1236000,3863000,1365000,11780000,2233000,238371000,235871000,217660000,136259000,32160000,27008000,44687000,12146000,10013000,11340000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,543000,41000,1032000,9065000,3967000,3739000,11485000,14469000,218372000,248650000,243162000,240221000,244570000,343659000,374959000,379196000,335749000,273736000,142403000,164477000,146685000
38,PP&E,- -,- -,- -,- -,- -,- -,70683000,65674000,52718000,46805000,43339000,38082000,23550000,4414000,- -,- -,5479000,3477000,1259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20433000,17353000,17623000,6381000,9531000,7260000,6313000,5251000
41,Intangible Assets,- -,- -,24101,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20433000,17353000,17623000,6381000,9531000,7260000,6313000,5251000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5614000,79237000,1027000,833000,643000,536000,- -,- -,- -,- -,820000,820000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000,349000,203000,185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213055000,4392000,- -,6826000,6666000,8020000,1730590000,1705861000,1626065000,994258000,1059134000,517929000,514827000,508930000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213055000,9871000,3477000,8085000,7486000,8840000,1751023000,1723214000,1643688000,1000639000,1068665000,525189000,521140000,514181000
46,Other Assets,43200000,51800000,59797275,121749000,115877000,196690000,197237000,151399000,155732000,149657000,131260000,244775000,255225000,236665000,219935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,43200000,51800000,59797275,121749000,115877000,196690000,197237000,151399000,156275000,149698000,132292000,253840000,259192000,240404000,231420000,227524000,228243000,252127000,251247000,247707000,253410000,2094682000,2098173000,2022884000,1336388000,1342401000,667592000,685617000,660866000
48,Accounts Payable,- -,- -,14175,674000,-200000,- -,1389000,2223000,845000,839000,- -,8406000,3776000,3261000,1963000,2884000,2364000,6140000,2095000,4078000,3036000,35512000,40049000,39155000,26394000,41598000,24309000,20327000,26751000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3066000,- -,- -,- -,- -,11900000,14400000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,686000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,8626000,6400000,7900000,6111000,6177000,5555000,6461000,6800000,4394000,15724000,10439000,6171000,6786000,1731000,2458000,5555000,-4678000,-8536000,58977000,62212000,10196000,8814000,39717000,9431000,6706000,4541000
53,Total Current Liabilities,- -,- -,- -,9300000,6200000,7900000,7500000,8400000,6400000,7300000,6800000,12800000,19500000,13700000,11200000,9670000,4781000,8598000,7650000,11300000,8900000,94489000,102261000,49351000,35208000,81315000,33740000,27033000,31292000
54,Long-Term Debt,- -,2300000,7920000,26648000,19247000,97113000,97757000,53235000,57070000,48491000,34148000,75349000,78175000,64841000,59185000,57938000,68902000,92969000,95861000,85268000,94997000,608714000,662948000,967886000,630852000,588671000,307421000,324313000,201145000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1408000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-48000,-847000,-1713000,43000,-35000,30000,9000,-748000,4351000,4525000,4559000,4715000,5046000,2102000,- -,- -,17842000,17978000,31663000,35617000,37632000,15699000,19407000,11395000,10320000,17098000
58,Total Non-Current Liabilities,- -,2300000,7920000,26600000,18400000,95400000,97800000,53200000,57100000,48500000,33400000,79700000,82700000,69400000,63900000,64392000,71004000,92969000,95861000,103110000,112975000,640377000,698565000,1005518000,646551000,608078000,318816000,334633000,218243000
59,Other Liabilities,300000,6700000,19534243,53220000,36835000,- -,195605000,106414000,114204000,- -,66801000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,300000,4400000,11614243,35920000,24635000,103253000,105305000,61614000,63504000,55769000,40201000,91636000,102175000,82213000,74166000,74062000,75785000,101567000,103511000,108481000,117358000,734866000,800826000,1054869000,681759000,689393000,352556000,361666000,249535000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,900000,- -,- -,- -,- -,- -,- -,- -,- -,1426000,258683000,296850000,260308000,307873000,348443000
63,Common Stock,- -,- -,34917,61000,64000,65000,65000,65000,66000,66000,66000,110000,110000,110000,111000,111000,111000,111000,111000,111000,111000,98000,98000,84000,44000,44000,15000,15000,24000
64,Retained Earnings,- -,- -,-178222,-481000,-509000,-730000,-2482000,-4484000,-2838000,-3342000,-5100000,5541000,3269000,4978000,5198000,4096000,3412000,1418000,-1702000,173917000,175984000,-460623000,-521620000,-599971000,-399250000,-436883000,-740617000,-778519000,-804227000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,3000000,2000000,620000,325000,276000,394000,278000,287000,- -,-2519000,-509000,1631000,1806000,- -,- -,- -
66,Other Total Stockholders Equity,42900000,47400000,48326337,86249000,91687000,94102000,94349000,94204000,95543000,97205000,97125000,155653000,148638000,149203000,149045000,148635000,147710000,147855000,148033000,-35980000,-41230000,1819480000,1820451000,1566073000,792631000,790354000,794825000,794127000,866746000
67,Total Stockholders Equity,42900000,47400000,48183032,85829000,91242000,93437000,91932000,89785000,92771000,93929000,92091000,161304000,157017000,158191000,157254000,153462000,151558000,149660000,146836000,138326000,135152000,1358955000,1296410000,967103000,653739000,652171000,314531000,323496000,410986000
68,Total Liabilities And Stockholders Equity,43200000,51800000,59797275,121749000,115877000,196690000,197237000,151399000,156275000,149698000,132292000,252940000,259192000,240404000,231420000,227524000,227343000,251227000,250347000,246807000,252510000,2093821000,2097236000,2021972000,1335498000,1341564000,667087000,685162000,660521000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,900000,900000,900000,900000,900000,861000,937000,912000,890000,837000,505000,455000,345000
70,Total Liabilities & Equity,43200000,51800000,59797275,121749000,115877000,196690000,197237000,151399000,156275000,149698000,132292000,253840000,259192000,240404000,231420000,227524000,228243000,252127000,251247000,247707000,253410000,2094682000,2098173000,2022884000,1336388000,1342401000,667592000,685617000,660866000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908311/000095013402002878/0000950134-02-002878-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013403005007/0000950134-03-005007-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013404003504/0000950134-04-003504-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013405005258/0000950134-05-005258-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013406005340/0000950134-06-005340-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013407005806/0000950134-07-005806-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095013408004886/0000950134-08-004886-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000136231009003885/0001362310-09-003885-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095012310025207/0000950123-10-025207-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000095012311025792/0000950123-11-025792-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000119312512115969/0001193125-12-115969-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000119312513112250/0001193125-13-112250-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000119312514091628/0001193125-14-091628-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000104746915002273/0001047469-15-002273-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000155837016004156/0001558370-16-004156-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828017002639/0001628280-17-002639-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828018003095/0001628280-18-003095-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828019003079/0001628280-19-003079-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000162828020003671/0001628280-20-003671-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000090831121000024/0000908311-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/908311/000090831122000036/0000908311-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3200000,4896024,7177000,10389000,11371000,10264000,9365000,11435000,9936000,8174000,24781000,11297000,15684000,13135000,9806000,6761000,4297000,3647000,-2179000,2067000,24378000,24392000,34547000,379737000,1121000,345673000,-15016000,-850000
74,Depreciation and Amortization,- -,- -,- -,100000,100000,976000,2213000,2250000,2101000,1903000,1879000,3788000,1003000,231000,80000,-308000,-377000,231000,-135000,-153000,-360000,69047000,72361000,71968000,58364000,53228000,27374000,21085000,20188000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000,-22000,146000,18000,47000,-256000,-645000,-369000,-218000,155000,-58000,132000,164000,271000,-3000,-81000,-995000,72000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000,151000,134000,178000,138000,49000,1079000,971000,164000,154000,162000,194000,222000,220000
77,Change in Working Capital,400000,- -,- -,-9300000,3100000,-1700000,400000,-900000,2543000,-1402000,1491000,2033000,-11798000,5572000,10246000,4514000,208792000,26461000,-4540000,-6591000,6749000,13500000,23528000,57147000,-29304000,-108120000,-83758000,28781000,12183000
78,Accounts Receivable,- -,-200000,-200000,-200000,- -,-400000,114000,153000,- -,- -,- -,-1649000,-198000,-1871000,-1444000,- -,- -,- -,- -,- -,- -,-2028000,-350000,-2569000,-977000,6692000,3197000,-419000,-1519000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,200000,3100000,-1000000,4000000,-3300000,1900000,60000,190000,- -,- -,- -,-748000,1139000,-255000,463000,- -,- -,- -,- -,- -,- -,1728000,3678000,630000,-14139000,-365000,-6326000,-1080000,2574000
81,Other Working Capital,- -,- -,- -,-9300000,-6200000,-7900000,-7500000,-8400000,-5857000,-7259000,-5768000,-3735000,-15533000,-9961000,285000,4799000,213591000,240052000,235512000,228921000,235670000,249170000,272698000,329845000,300541000,192421000,108663000,137444000,-1669000
82,Other Non-Cash Items,-200000,2900000,-1071454,14084000,-6595000,-91762000,-781000,601000,-6881000,776000,-2834000,-17613000,15549000,-7801000,-11746000,-8219000,-209211000,-50582000,-2843000,7228000,-7233000,-41140000,-44349000,-112117000,-410367000,113761000,-248417000,-21250000,14468000
83,Cash Provided by Operating Activities,200000,6100000,3824570,12061000,6994000,-81115000,12096000,11316000,9198000,11213000,8710000,12953000,16029000,13832000,11733000,5969000,5860000,-20104000,-4062000,-1775000,1427000,66806000,77035000,51873000,-1145000,60149000,40985000,12827000,46281000
84,CAPEX,- -,- -,- -,- -,- -,-62750000,-4196000,- -,-490000,-388000,-290000,-6421000,-366000,-103000,-50000,- -,-5000,- -,-31000,716000,1736000,-88195000,-29971000,59154000,971383000,-124103000,916432000,- -,-4047000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3185000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4900000,- -,- -,- -,-28807000,-7523000,- -,- -,- -,- -,-2536000,-2027000,-1843000,-134000,-253000,-2820000,-6610000,-11862000,-12002000,-28036000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,4900000,5000000,7200000,25800000,- -,22192000,- -,5935000,- -,- -,24960000,16213000,49809000,40644000,- -,15983000,20572000,1505000,28645000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3100000,-29600000,-31719334,-43208000,-17286000,-10842000,-13804000,-2655000,-38408000,7492000,20360000,-2375000,-26966000,-33195000,-24681000,15255000,308000,1549000,23629000,2233000,-3073000,24709000,102029000,64940000,1009388000,-131734000,917193000,-38320000,-12695000
89,Cash Used for Investing Activites,-8000000,-24700000,-26719334,-36008000,-20293000,-81115000,4192000,-2655000,-32963000,7104000,17534000,19953000,-12962000,16377000,15660000,12435000,9676000,10259000,13101000,2809000,-3083000,-60301000,64272000,29526000,968656000,-131734000,917193000,-38320000,-12695000
90,Debt Repayment,- -,- -,-1210000,-20312000,-7927000,-18293000,-19201000,-44522000,-4865000,-8579000,-7811000,-41625000,-1487000,- -,- -,-31155000,-5817000,-15031000,-18705000,-11905000,-6239000,-404322000,-568367000,-300300000,-407551000,-230129000,-196600000,-61279000,-159696000
91,Common Stock Issued,42900000,5200000,582107,38286000,5038000,2132000,31000,- -,295000,64000,83000,378000,123000,- -,- -,- -,- -,11000,- -,- -,- -,201000,- -,- -,- -,- -,- -,- -,78825000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1022000,-263000,- -,- -,- -,-1643000,-303000,- -,-594000,-3076000,-2000000,- -,- -,- -,-1853000,- -,-290134000,-886037000,-113000,-75384000,-2084000,-2755000
93,Dividends Paid,- -,-2500000,-4250263,-6294000,-9744000,-11089000,-11760000,-12025000,-9561000,-10310000,-10187000,-12872000,-14037000,-12903000,-13987000,-10234000,-9681000,-6776000,-6787000,-6752000,-5245000,-144334000,-85389000,-77316000,-43449000,-25643000,-648591000,-20967000,-22024000
94,Other Financing Activites,- -,-400000,9130000,38043000,-16000,94335000,14585000,49167000,38229000,- -,-7300000,29200000,8879000,-17231000,-5660000,22700000,270000,28445000,20313000,12351000,19891000,554559000,625469000,590228000,354387000,249350000,-79582000,117525000,62066000
95,Cash Used/Provided by Financing Activities,42900000,2300000,4251844,49723000,-12649000,67085000,-16345000,-8402000,23835000,-18825000,-25215000,-24919000,-8165000,-30437000,-19647000,-19283000,-18304000,4649000,-5179000,-6306000,8407000,4251000,-28287000,-77522000,-982650000,-6535000,-1000157000,33195000,-43584000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-18642920,25776000,-25948000,189000,-57000,259000,70000,-508000,1029000,7987000,-5098000,-228000,7746000,-879000,-2768000,-5196000,3860000,-5272000,6751000,819000,107021000,5348000,-15139000,-78875000,-41224000,7702000,-9998000
98,Cash at the End of Period,- -,- -,207183,25984000,36000,225000,168000,487000,557000,49000,1078000,9065000,3967000,3739000,11485000,10606000,7838000,2642000,6502000,1230000,7981000,17615000,124636000,144449000,129310000,77443000,35947000,43649000,33651000
99,Cash at the Beginning of Period,- -,35100000,18850103,208000,25984000,36000,225000,228000,487000,557000,49000,1078000,9065000,3967000,3739000,11485000,10606000,7838000,2642000,6502000,1230000,16796000,17615000,139101000,144449000,156318000,77171000,35947000,43649000
100,Free Cash Flow,200000,6100000,3824570,12061000,6994000,-143865000,7900000,11316000,8708000,10825000,8420000,6532000,15663000,13729000,11683000,5969000,5855000,-20104000,-4093000,-1808000,1417000,66806000,77035000,51873000,-1145000,60149000,40985000,12827000,42234000
