,https://roic.ai/company/TVTY,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704415/000095014498013339/0000950144-98-013339-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014499013668/0000950144-99-013668-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014400014499/0000950144-00-014499-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014401509626/0000950144-01-509626-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014402012121/0000950144-02-012121-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000095014403013235/0000950144-03-013235-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000095014404011042/0000950144-04-011042-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000116923205005375/0001169232-05-005375-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441506000108/0000704415-06-000108-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441507000078/0000704415-07-000078-index.htm,- -,https://www.sec.gov/Archives/edgar/data/704415/000070441510000044/0000704415-10-000044-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441511000009/0000704415-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441512000006/0000704415-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441513000006/0000704415-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441514000015/0000704415-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441515000012/0000704415-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441516000065/0000704415-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441517000012/0000704415-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441518000006/0000704415-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459019004399/0001564590-19-004399-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459020007464/0001564590-20-007464-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459021010307/0001564590-21-010307-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459022007093/0001564590-22-007093-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7200000,4500000,10300000,9400000,11800000,13700000,14000000,12226821,13243571,13501016,7025277,12375772,23924050,35956000,52187000,63467000,154792000,47655000,5157000,2356000,1064000,864000,1759000,2584000,1765000,1870000,1602000,28440000,1933000,2486000,100385000,60132000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49746000
33,Cash and Short-Term Investments,- -,7200000,4500000,10300000,9400000,11800000,13700000,14000000,12226821,13243571,13501016,7025277,12375772,23924050,35956000,52187000,63467000,154792000,47655000,5157000,2356000,1064000,864000,1759000,2584000,1765000,1870000,1602000,28440000,1933000,2486000,100385000,109878000
34,Net Receivables,- -,3700000,4300000,5200000,6400000,6500000,6200000,7900000,3469839,3623461,5333695,5036051,7005693,20688640,26497000,34101000,40697000,52978000,81942000,115108000,107285000,97803000,103524000,114257000,90886000,129476000,109271000,50850000,55152000,67859000,97596000,36977000,65825000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36407000,- -,- -
36,Other Current Assets,- -,2700000,1900000,1200000,1400000,2000000,2500000,2100000,2613075,1796714,2419071,2189804,5228643,4808123,5025000,9748000,12797000,13123000,21834000,47777000,39575000,26913000,23143000,25793000,25752000,31460000,23646000,5659000,139703000,8313000,25248000,16892000,20198000
37,Total Current Assets,- -,13600000,10700000,16700000,17200000,20300000,22400000,24000000,18309735,18663746,21253782,14251132,24610108,49420813,67478000,96036000,116961000,220893000,151431000,168042000,149216000,125780000,127531000,141809000,119222000,162701000,134787000,58111000,223295000,78105000,161737000,154254000,195901000
38,PP&E,- -,300000,200000,200000,1200000,4800000,9000000,12300000,1807440,3684406,6010553,13435502,13366214,21805184,27651000,39827000,39788000,46550000,58722000,111441000,124159000,130656000,142188000,156494000,158198000,165696000,156000000,8331000,10658000,16341000,96107000,39098000,35942000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,11847358,11465139,11082920,10700701,28194045,44438196,44438000,- -,- -,96135000,483584000,484596000,496446000,496265000,335392000,338695000,338800000,338800000,336974000,334680000,334680000,334600000,654635000,334680000,334680000
40,Intangible Assets,- -,14500000,14100000,13800000,20800000,26800000,32300000,39200000,- -,- -,- -,- -,- -,- -,- -,113428000,112140000,12199000,119499000,68207000,101047000,94255000,92997000,90228000,79162000,69161000,61317000,29049000,29049000,29049000,689686000,29049000,29049000
41,Intangible Assets,- -,14500000,14100000,13800000,20800000,26800000,32300000,39200000,11847358,11465139,11082920,10700701,28194045,44438196,44438000,113428000,112140000,108334000,603083000,552803000,597493000,590520000,428389000,428923000,417962000,407961000,398291000,363729000,363729000,363649000,1344321000,363729000,363729000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228000,942000,- -,- -,- -,2557000,- -,- -,- -,- -,- -,- -,- -,- -,- -,59562000,25166000,- -,- -,3601000,- -
44,Other Non-Current Assets,- -,2900000,2700000,1500000,1600000,2000000,1800000,2700000,17408269,3043513,2666408,2967245,1720123,1410793,446000,2456000,2065000,4052000,15609000,50804000,11498000,14733000,10797000,21042000,53629000,75550000,27919000,55049000,13315000,23904000,23740000,18301000,2969000
45,Total Non-Current Assets,- -,17700000,17000000,15500000,23600000,33600000,43100000,54200000,31063067,18193058,19759881,27103448,44508382,68596173,72535000,155711000,153993000,161493000,677414000,715048000,733150000,735909000,581374000,606459000,629789000,649207000,582210000,486671000,412868000,403894000,1464168000,424729000,402640000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,31300000,27700000,32200000,40800000,53900000,65500000,78200000,49372802,36856804,41013663,41354580,69118490,118016986,140013000,251747000,270954000,382386000,828845000,883090000,882366000,861689000,708905000,748268000,749011000,811908000,716997000,544782000,636163000,481999000,1625905000,578983000,598541000
48,Accounts Payable,- -,- -,700000,700000,1000000,1100000,900000,900000,785674,1015918,1095232,1924077,1597827,4268088,4067000,10343000,7424000,44234000,86459000,21633000,29171000,22555000,22578000,26343000,33125000,37204000,41035000,26029000,26804000,29103000,46480000,19741000,25325000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,2800000,125000,- -,- -,- -,286247,799208,- -,12243000,163000,180000,2213000,6644000,6046000,7244000,3725000,11801000,14340000,20613000,23308000,46046000,145959000,57000,13755000,15508000,8007000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4898000,- -,- -,7918000,6904000,4639000,5931000,9273000,20436000,21907000,23514000,19949000,- -,- -,- -,12037000,4460000,3371000
52,Other Current Liabilities,- -,5000000,4200000,4000000,2800000,4900000,8200000,5300000,5834925,6788764,6144851,6465694,9674797,20058852,16364000,13616000,38730000,52010000,44049000,138895000,153656000,89503000,83181000,69678000,55044000,88999000,77898000,60288000,185870000,51912000,74086000,42126000,50720000
53,Total Current Liabilities,- -,5000000,4900000,4700000,3800000,6000000,9100000,9000000,6745599,7804682,7240083,8389771,11558871,25126148,20431000,41100000,46317000,96424000,140639000,174076000,193512000,125233000,118757000,128258000,124416000,170330000,162190000,132363000,358633000,81072000,146358000,81835000,87423000
54,Long-Term Debt,- -,9000000,- -,- -,- -,2300000,5200000,10700000,- -,- -,- -,- -,- -,514187,109000,36562000,416000,236000,297059000,304372000,254345000,243425000,266117000,278534000,237582000,231112000,212362000,164297000,- -,30589000,1048127000,459250000,383991000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,700000,500000,600000,700000,- -,200000,500000,- -,- -,- -,- -,- -,- -,2380000,12658000,8236000,- -,14009000,8073000,14617000,23050000,26964000,36053000,33320000,32883000,23617000,- -,- -,319000,160846000,- -,3183000
57,Other Non-Current Liabilities,- -,9900000,1700000,1700000,2000000,2100000,2100000,2600000,2186481,2446089,2819776,3008901,3443545,3567725,4662000,5992000,9055000,10853000,14388000,39533000,42615000,39140000,31351000,26602000,51003000,72993000,38238000,58824000,5577000,1098000,43664000,34242000,5037000
58,Total Non-Current Liabilities,- -,19600000,2200000,2300000,2700000,4400000,7500000,13800000,2186481,2446089,2819776,3008901,3443545,4081912,7151000,55212000,17707000,11089000,325456000,351978000,311577000,305615000,324432000,341189000,321905000,336988000,274217000,223121000,5577000,32006000,1252637000,493492000,392211000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,549000,- -,45156000,19546000,11494000
61,Total Liabilities,- -,24600000,7100000,7000000,6500000,10400000,16600000,22800000,8932080,10250771,10059859,11398672,15002416,29208060,27582000,96312000,64024000,107513000,466095000,526054000,505089000,430848000,443189000,469447000,446321000,507318000,436407000,355484000,364210000,113078000,1398995000,575327000,479634000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,8052,8125,8462,8247,14171,15366,16000,33000,34000,35000,35000,34000,34000,34000,33000,34000,35000,35000,36000,39000,40000,41000,48000,49000,50000
64,Retained Earnings,- -,200000,1600000,5900000,11500000,16800000,20700000,24000000,22290392,2878075,6194755,6342838,9500324,19854934,38329000,64387000,97471000,134622000,174641000,148506000,158880000,206210000,48517000,56541000,48000000,42439000,9659000,-119327000,-49148000,49655000,-237284000,-464085000,-359171000
65,Other Comprehensive Income/Loss,- -,-300000,-500000,-600000,-900000,-1600000,-2900000,-4700000,-1851087,-2336242,-2996655,-5570307,-10216069,-16801871,-25166000,35000,-51114000,-63525000,-52000,-4965000,-4109000,-3433000,-1789000,-929000,-407000,-2048000,-4087000,-4502000,-28533000,-30711000,-12091000,-17389000,-8251000
66,Other Total Stockholders Equity,- -,6800000,19500000,19900000,20300000,21300000,20500000,22300000,19993365,26056075,27747242,29175130,54817648,85740497,99252000,90980000,160539000,203741000,188126000,- -,222472000,228030000,218955000,223175000,255062000,264164000,274306000,313088000,349594000,350016000,476237000,485081000,486279000
67,Total Stockholders Equity,- -,6700000,20600000,25200000,30900000,36500000,38300000,41600000,40440722,26606033,30953804,29955908,54116074,88808926,112431000,155435000,206930000,274873000,362750000,357036000,377277000,430841000,265716000,278821000,302690000,304590000,279914000,189298000,271953000,369001000,226910000,3656000,118907000
68,Total Liabilities And Stockholders Equity,- -,31300000,27700000,32200000,37400000,46900000,54900000,64400000,49372802,36856804,41013663,41354580,69118490,118016986,140013000,251747000,270954000,382386000,828845000,883090000,882366000,861689000,708905000,748268000,749011000,811908000,716321000,544782000,636163000,482079000,1625905000,578983000,598541000
69,Minority Interest,- -,- -,- -,- -,3400000,7000000,10600000,13800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,676000,- -,- -,-80000,- -,- -,- -
70,Total Liabilities & Equity,- -,31300000,27700000,32200000,40800000,53900000,65500000,78200000,49372802,36856804,41013663,41354580,69118490,118016986,140013000,251747000,270954000,382386000,828845000,883090000,882366000,861689000,708905000,748268000,749011000,811908000,716997000,544782000,636163000,481999000,1625905000,578983000,598541000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/704415/000095014498013339/0000950144-98-013339-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014499013668/0000950144-99-013668-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014400014499/0000950144-00-014499-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014401509626/0000950144-01-509626-index.html,https://www.sec.gov/Archives/edgar/data/704415/000095014402012121/0000950144-02-012121-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000095014403013235/0000950144-03-013235-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000095014404011042/0000950144-04-011042-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000116923205005375/0001169232-05-005375-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441506000108/0000704415-06-000108-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441507000078/0000704415-07-000078-index.htm,- -,https://www.sec.gov/Archives/edgar/data/704415/000070441510000044/0000704415-10-000044-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441511000009/0000704415-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441512000006/0000704415-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441513000006/0000704415-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441514000015/0000704415-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441515000012/0000704415-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441516000065/0000704415-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441517000012/0000704415-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000070441518000006/0000704415-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459019004399/0001564590-19-004399-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459020007464/0001564590-20-007464-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459021010307/0001564590-21-010307-index.htm,https://www.sec.gov/Archives/edgar/data/704415/000156459022007093/0001564590-22-007093-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,2100000,4400000,5500000,5300000,3900000,3300000,-1683033,-2264637,3316680,148083,3157486,10354610,18474000,26058000,33084000,37151000,45121000,54815000,10374000,47330000,-157693000,8024000,-8541000,-5561000,-30947000,-129111000,63715000,98803000,-286821000,-223631000,104914000
74,Depreciation and Amortization,- -,- -,1300000,1300000,1800000,2300000,3500000,3900000,1341825,1308320,1805410,3620305,5655815,7271257,10950000,19218000,22896000,24993000,38035000,48647000,49289000,52756000,49988000,51734000,52791000,53378000,49855000,31292000,3357000,4667000,50775000,45887000,11298000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1148000,2365000,478000,2510000,7195000,3877000,-491000,-5433000,-11217000,-10866000,-10835000,- -,16682000,-3572000,-1334000,-5077000,-6972000,-5916000,-75942000,40935000,25485000,-52076000,-38438000,3649000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10213000,11450000,9246000,6371000,7116000,8349000,10469000,17538000,6658000,6097000,18832000,14077000,10060000
77,Change in Working Capital,- -,- -,- -,900000,-1000000,1700000,-3435864,-705072,3154635,-8152338,7189876,11243428,22752335,7889000,15708000,53825000,-113677000,10484000,-27310000,-38262000,44843000,8227000,4777000,-18745000,-2435000,-19774000,-46849000,-61086000,132371000,18346000,57040000,64043000,-21541000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14352000,12207000,-7452000,-23439000,19099000,-38130000,16971000,8330000,-3939000,-12311000,-8283000,63239000,-36749000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2087000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6565000,-2256000,1466000,-995000,9224000,-9343000,5248000,-3376000,-407000,-95000,-10052000,-3182000,-951000
81,Other Working Capital,- -,- -,13400000,14300000,13300000,15000000,11564136,10859064,14013699,5861361,13051237,24294665,47047000,54936000,70644000,124469000,10792000,21276000,-6034000,-44296000,547000,8774000,13551000,-5194000,-7629000,-27403000,-74252000,-135338000,-2967000,15379000,72419000,136462000,9490000
82,Other Non-Cash Items,- -,- -,1500000,-300000,600000,1300000,8235864,4805072,-1248473,15098930,-11323416,-9929841,-23354480,-8613216,-22074000,-45138000,138335000,38397000,62347000,50941000,-1851000,-63558000,173546000,-5352000,27674000,22678000,84348000,255211000,-141760000,-44659000,294555000,307509000,-21257000
83,Cash Provided by Operating Activities,- -,- -,4900000,6300000,6900000,10600000,12200000,11300000,1564954,4842275,3353550,5559975,10721156,24096651,26935000,53472000,75205000,99808000,107327000,105306000,112868000,72887000,76292000,40698000,71528000,52098000,60960000,37902000,105276000,108739000,82305000,169447000,87123000
84,CAPEX,- -,- -,-100000,-100000,-600000,-3700000,-3900000,-3400000,-1304235,-2991724,-3699640,-10595887,-4719321,-13829460,-16169000,-25013000,-16161000,-27356000,-29507000,-82521000,-49110000,-44431000,-49290000,-48912000,-41346000,-42991000,-34730000,-14474000,-5910000,-9053000,-24713000,-15525000,-14750000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2154521,-441996,- -,-60223000,-1120000,-115000,-493071000,-452000,-19486000,- -,-23523000,-4693000,-830000,-7050000,-1512000,-23611000,- -,1416000,-1062818000,558067000,2747000
86,Purchases of Investments,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,-9045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1499000,-6697000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9040000,- -,- -,- -,11626000,1163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2728000
