,https://roic.ai/company/KR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18,Operating Income ratio,0.0205,0.0233,0.0233,0.0317,0.0332,0.0328,0.0293,0.0311,0.0326,0.0343,0.0345,0.0376,- -,0.4536,0.0477,0.0488,0.0471,0.0497,0.0255,0.0150,0.0336,0.0338,0.0328,0.0323,0.0142,0.0265,0.0141,0.0286,0.0277,0.0289,0.0326,0.0298,0.0170,0.0216,0.0184,- -,0.0252
19,Total Other Income Expenses (Gains),-255000000,-88300000,-392600000,-615200000,-531300000,-531100000,-474800000,-412700000,-327500000,-312200000,-300300000,-286300000,- -,-939800000,-1035000000,-881000000,-648000000,-600000000,-604000000,-561000000,-510000000,-488000000,-474000000,-485000000,-502000000,-448000000,-435000000,-462000000,-443000000,-488000000,-482000000,-522000000,-601000000,1364000000,-270000000,- -,-1426000000
20,Income Before Tax,95600000,323100000,51800000,-8800000,142200000,168600000,173500000,283900000,421400000,510000000,567000000,712000000,- -,40000000,1129000000,1508000000,1711000000,1973000000,770000000,286000000,1525000000,1748000000,1827000000,1966000000,589000000,1734000000,843000000,2302000000,2282000000,2649000000,3094000000,2914000000,1484000000,3978000000,1981000000,- -,2051000000
21,Income Before Tax Ratio,0.0056,0.0183,0.0027,-0.0005,0.0070,0.0079,0.0078,0.0127,0.0184,0.0213,0.0225,0.0268,- -,0.0185,0.0249,0.0308,0.0342,0.0381,0.0143,0.0051,0.0252,0.0264,0.0260,0.0259,0.0077,0.0211,0.0093,0.0238,0.0232,0.0244,0.0282,0.0253,0.0121,0.0328,0.0162,- -,0.0149
22,Income Tax expense (Gain),39800000,139800000,17300000,7500000,58900000,67900000,72300000,113100000,152500000,191000000,215000000,268000000,- -,15000000,491000000,628000000,668000000,740000000,455000000,390000000,567000000,633000000,646000000,717000000,532000000,601000000,247000000,794000000,751000000,902000000,1045000000,957000000,-405000000,900000000,469000000,- -,385000000
23,Net Income,51500000,183300000,34500000,-16300000,83300000,100700000,-5900000,-12200000,242200000,303000000,350000000,412000000,- -,25000000,628000000,877000000,1043000000,1205000000,315000000,-104000000,958000000,1115000000,1181000000,1249000000,70000000,1116000000,602000000,1497000000,1519000000,1728000000,2039000000,1975000000,1907000000,3110000000,1659000000,- -,1655000000
24,Net Income ratio,0.0030,0.0104,0.0018,-0.0009,0.0041,0.0047,-0.0003,-0.0005,0.0105,0.0127,0.0139,0.0155,- -,0.0116,0.0138,0.0179,0.0208,0.0233,0.0059,-0.0018,0.0158,0.0169,0.0168,0.0164,0.0009,0.0136,0.0067,0.0155,0.0154,0.0159,0.0186,0.0171,0.0155,0.0257,0.0136,- -,0.0120
25,EPS,0.07,0.28,0.03,-0.03,0.12,0.14,-0.01,-0.03,0.27,0.32,0.33,0.41,- -,0.40,0.38,0.54,0.63,0.77,0.21,-0.07,0.66,0.78,0.85,0.96,0.06,0.88,0.51,1.39,1.47,1.75,2.09,2.08,2.11,3.80,2.05,- -,2.07
26,EPS Diluted,0.07,0.28,0.03,-0.03,0.12,0.14,-0.01,-0.03,0.25,0.30,0.33,0.39,- -,0.39,0.36,0.52,0.63,0.76,0.21,-0.07,0.66,0.77,0.84,0.95,0.06,0.87,0.51,1.39,1.45,1.72,2.06,2.05,2.09,3.76,2.04,- -,2.07
27,Weighted Average Shares Outstanding,741538462,666545455,647208000,543333333,694166667,719285714,590000000,825217391,908296000,963304000,1051000000,1017136000,- -,1023256000,1658000000,1646000000,1650000000,1558000000,1494000000,1472000000,1448000000,1430000000,1380000000,1304000000,1293200000,1270400000,1179200000,1066800000,1028000000,980000000,966000000,942000000,895000000,810000000,799000000,- -,799000000
28,Weighted Average Shares Outstanding Diluted,741538462,666545455,647208000,543333333,694166667,719285714,590000000,998947368,1037712000,1033856000,1056264000,1051440000,- -,1061528000,1716000000,1692000000,1650000000,1582000000,1508000000,1472000000,1462000000,1446000000,1396000000,1318000000,1300200000,1276600000,1186400000,1073200000,1040000000,994000000,980000000,958000000,904000000,818000000,805000000,- -,799000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56873/000005687395000014/0000056873-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095013196001197/0000950131-96-001197-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095013197001919/0000950131-97-001919-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/56873/000095015200003212/0000950152-00-003212-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095015201501370/0000950152-01-501370-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095010902002476/0000950109-02-002476-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095016803001570/0000950168-03-001570-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000119312504062346/0001193125-04-062346-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000119312505077143/0001193125-05-077143-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000120677406000702/0001206774-06-000702-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000120677407000901/0001206774-07-000901-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465908021727/0001104659-08-021727-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465909021710/0001104659-09-021710-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465910017258/0001104659-10-017258-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465911017372/0001104659-11-017372-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465912021358/0001104659-12-021358-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465913026395/0001104659-13-026395-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465914024819/0001104659-14-024819-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465915024557/0001104659-15-024557-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465916108277/0001104659-16-108277-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837017002198/0001558370-17-002198-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837018002753/0001558370-18-002753-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837019002756/0001558370-19-002756-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837020003501/0001558370-20-003501-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/56873/000155837022004595/0001558370-22-004595-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,27200000,- -,- -,65000000,- -,85000000,281000000,161000000,161000000,171000000,159000000,144000000,147000000,157000000,160000000,263000000,424000000,825000000,188000000,238000000,401000000,268000000,277000000,322000000,347000000,429000000,399000000,- -,1821000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10518000000,63000000,32000000,82000000,- -,424000000,825000000,188000000,238000000,401000000,- -,277000000,322000000,347000000,429000000,399000000,- -,1821000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,27200000,- -,- -,65000000,- -,85000000,281000000,161000000,161000000,171000000,159000000,10662000000,210000000,189000000,242000000,263000000,848000000,1650000000,376000000,476000000,802000000,268000000,554000000,644000000,694000000,858000000,798000000,- -,3642000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,270800000,288000000,324000000,401000000,- -,410000000,622000000,687000000,679000000,677000000,740000000,828000000,686000000,778000000,786000000,944000000,909000000,845000000,949000000,1051000000,1116000000,1266000000,1734000000,1649000000,1637000000,1589000000,1706000000,- -,1828000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,1615000000,1586000000,1714000000,1806000000,- -,1800000000,3938000000,4066000000,4178000000,4175000000,4169000000,4356000000,4486000000,4609000000,4855000000,4859000000,4902000000,4966000000,5114000000,5146000000,5651000000,5688000000,6168000000,6561000000,6533000000,6846000000,7084000000,- -,8353000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,239100000,233000000,315000000,369000000,- -,434000000,690000000,502000000,494000000,543000000,551000000,-9440000000,1084000000,1179000000,1231000000,1140000000,791000000,160000000,886000000,1286000000,1261000000,1689000000,1436000000,1486000000,2253000000,1510000000,1302000000,- -,-1649000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2152100000,2107000000,2353000000,2641000000,- -,2729000000,5531000000,5416000000,5512000000,5566000000,5619000000,6406000000,6466000000,6755000000,7114000000,7206000000,7450000000,7621000000,7325000000,7959000000,8830000000,8911000000,9892000000,10340000000,11117000000,10803000000,10890000000,- -,12174000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,2252700000,2662000000,3064000000,3297000000,- -,3806000000,8275000000,8820000000,9657000000,10548000000,11178000000,11497000000,11365000000,11779000000,12498000000,13161000000,13929000000,14147000000,14464000000,14875000000,16893000000,17912000000,19619000000,21016000000,21071000000,21635000000,28685000000,- -,30484000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,40000000,39000000,- -,49000000,3761000000,3639000000,3594000000,3575000000,- -,2191000000,2192000000,2192000000,2144000000,2271000000,1158000000,1140000000,1138000000,1234000000,2135000000,2304000000,2724000000,3031000000,2925000000,3087000000,3076000000,- -,3076000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3134000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000000,757000000,1053000000,1153000000,1100000000,1258000000,1066000000,- -,942000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,40000000,39000000,- -,49000000,3761000000,3639000000,3594000000,3575000000,3134000000,2191000000,2192000000,2192000000,2144000000,2271000000,1158000000,1140000000,1138000000,1234000000,2837000000,3061000000,3777000000,4184000000,4025000000,4345000000,4142000000,- -,4018000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,279000000,265000000,- -,67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,151000000,166000000,- -,202000000,- -,- -,- -,- -,- -,841000000,843000000,722000000,367000000,- -,568000000,750000000,647000000,800000000,1381000000,- -,1752000000,1927000000,1568000000,1562000000,1466000000,- -,1562000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,302900000,-67000000,-62000000,-107000000,- -,-74000000,399000000,315000000,324000000,413000000,253000000,-444000000,-384000000,-233000000,176000000,573000000,-12000000,-153000000,-98000000,-216000000,-660000000,672000000,-1143000000,-962000000,-584000000,-227000000,73000000,- -,848000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2555600000,2938000000,3472000000,3660000000,- -,4050000000,12435000000,12774000000,13575000000,14536000000,14565000000,14085000000,14016000000,14460000000,15185000000,16005000000,15643000000,15884000000,16151000000,16693000000,20451000000,21645000000,24005000000,26165000000,26080000000,27315000000,34366000000,- -,36912000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,4707700000,5045000000,5825000000,6301000000,- -,6779000000,17966000000,18190000000,19087000000,20102000000,20184000000,20491000000,20482000000,21215000000,22299000000,23211000000,23093000000,23505000000,23476000000,24652000000,29281000000,30556000000,33897000000,36505000000,37197000000,38118000000,45256000000,- -,49086000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1425600000,1540000000,1650000000,1782000000,- -,1719000000,2867000000,3012000000,3005000000,3278000000,3058000000,3598000000,3550000000,3804000000,4050000000,3822000000,3890000000,4227000000,4329000000,4524000000,4881000000,5052000000,5728000000,5818000000,5858000000,6059000000,6349000000,- -,7117000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,16400000,- -,- -,- -,- -,- -,- -,- -,436000000,352000000,248000000,71000000,554000000,906000000,1592000000,558000000,579000000,588000000,1315000000,2734000000,1657000000,1885000000,2370000000,2252000000,3560000000,3157000000,2562000000,- -,1760000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000000,217000000,268000000,239000000,- -,341000000,220000000,190000000,284000000,248000000,- -,221000000,251000000,1568000000,1562000000,1466000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,953000000,1025000000,1063000000,1162000000,- -,1437000000,2861000000,2579000000,2044000000,1978000000,2280000000,2399000000,2394000000,2603000000,2808000000,3249000000,2904000000,3035000000,3271000000,3515000000,3919000000,4466000000,4652000000,4539000000,3211000000,3496000000,3866000000,- -,7446000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2395000000,2565000000,2713000000,2944000000,- -,3156000000,5728000000,5591000000,5485000000,5608000000,5586000000,6335000000,6715000000,7581000000,8689000000,7629000000,7714000000,8070000000,9105000000,11057000000,10705000000,11403000000,12971000000,12860000000,14197000000,14274000000,14243000000,- -,16323000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,3889200000,3490000000,3659000000,3493000000,- -,3302000000,8045000000,8210000000,8412000000,8222000000,8116000000,7900000000,6678000000,6154000000,6529000000,7505000000,7477000000,7304000000,6850000000,6141000000,9653000000,9771000000,9708000000,11825000000,12029000000,12072000000,12111000000,- -,19235000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1562000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,172700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,990000000,- -,- -,- -,- -,384000000,-568000000,750000000,647000000,800000000,1381000000,1209000000,1752000000,1927000000,1568000000,1562000000,1466000000,- -,1562000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,404500000,593000000,635000000,649000000,- -,670000000,1510000000,1300000000,1688000000,2422000000,1481000000,2637000000,2699000000,2557000000,2167000000,2422000000,3638000000,2085000000,2893000000,2447000000,2158000000,2731000000,2646000000,3195000000,2472000000,2324000000,8834000000,- -,975000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4466400000,4083000000,4294000000,4142000000,- -,3972000000,9555000000,9510000000,10100000000,10644000000,10587000000,10537000000,9377000000,8711000000,8696000000,10311000000,10547000000,10139000000,10390000000,9388000000,13192000000,13711000000,14106000000,16947000000,16069000000,15958000000,22411000000,- -,23334000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7922000000,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6861400000,6648000000,7007000000,7086000000,- -,7128000000,15283000000,15101000000,15585000000,16252000000,16173000000,16872000000,16092000000,16292000000,17385000000,17940000000,18261000000,18209000000,19495000000,20445000000,23897000000,25114000000,27077000000,29807000000,30266000000,30232000000,36654000000,- -,39657000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,587000000,658000000,729000000,- -,851000000,885000000,891000000,901000000,908000000,913000000,918000000,927000000,937000000,947000000,955000000,958000000,959000000,959000000,959000000,959000000,959000000,1918000000,1918000000,1918000000,1918000000,1918000000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-2248700000,-1946000000,-1596000000,-1184000000,- -,-749000000,232000000,1104000000,2147000000,3352000000,3667000000,3620000000,4573000000,5501000000,6480000000,7489000000,7344000000,8225000000,8571000000,9787000000,10981000000,12367000000,14011000000,15543000000,17007000000,19681000000,20978000000,- -,23222000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-2346100000,-2482000000,-2663000000,-2887000000,- -,-3106000000,-4767000000,-5421000000,-66000000,-206000000,-124000000,-202000000,-243000000,-259000000,-122000000,-495000000,-593000000,-550000000,-844000000,-753000000,-464000000,-812000000,-680000000,-715000000,-471000000,-346000000,-640000000,- -,-467000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,2441100000,2238000000,2419000000,2557000000,- -,2655000000,6333000000,6515000000,520000000,-204000000,-445000000,-796000000,-867000000,-1256000000,-2391000000,-2773000000,-2877000000,-3338000000,-4705000000,-5786000000,-6092000000,-7102000000,-8429000000,-10048000000,-11523000000,-13367000000,-13654000000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,-2153700000,-1603000000,-1182000000,-785000000,- -,-349000000,2683000000,3089000000,3502000000,3850000000,4011000000,3540000000,4390000000,4923000000,4914000000,5176000000,4832000000,5296000000,3981000000,4207000000,5384000000,5412000000,6820000000,6698000000,6931000000,7886000000,8602000000,- -,9452000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4707700000,5045000000,5825000000,6301000000,- -,6779000000,17966000000,18190000000,19087000000,20102000000,20184000000,20412000000,20482000000,21215000000,22299000000,23116000000,23093000000,23505000000,23476000000,24652000000,29281000000,30526000000,33897000000,36505000000,37197000000,38118000000,45256000000,- -,49109000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,- -,- -,- -,95000000,- -,- -,- -,- -,- -,30000000,- -,- -,- -,- -,- -,- -,-23000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,4707700000,5045000000,5825000000,6301000000,- -,6779000000,17966000000,18190000000,19087000000,20102000000,20184000000,20491000000,20482000000,21215000000,22299000000,23211000000,23093000000,23505000000,23476000000,24652000000,29281000000,30556000000,33897000000,36505000000,37197000000,38118000000,45256000000,- -,49086000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/56873/000005687395000014/0000056873-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095013196001197/0000950131-96-001197-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095013197001919/0000950131-97-001919-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/56873/000095015200003212/0000950152-00-003212-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095015201501370/0000950152-01-501370-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095010902002476/0000950109-02-002476-index.html,https://www.sec.gov/Archives/edgar/data/56873/000095016803001570/0000950168-03-001570-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000119312504062346/0001193125-04-062346-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000119312505077143/0001193125-05-077143-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000120677406000702/0001206774-06-000702-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000120677407000901/0001206774-07-000901-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465908021727/0001104659-08-021727-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465909021710/0001104659-09-021710-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465910017258/0001104659-10-017258-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465911017372/0001104659-11-017372-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465912021358/0001104659-12-021358-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465913026395/0001104659-13-026395-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465914024819/0001104659-14-024819-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465915024557/0001104659-15-024557-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000110465916108277/0001104659-16-108277-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837017002198/0001558370-17-002198-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837018002753/0001558370-18-002753-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837019002756/0001558370-19-002756-index.htm,https://www.sec.gov/Archives/edgar/data/56873/000155837020003501/0001558370-20-003501-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/56873/000155837022004595/0001558370-22-004595-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
