,https://roic.ai/company/EXTN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.59,3.61,1.85,1.35,-6.59,0.97,0.68,-2.99,-3.09,-3.41
26,EPS Diluted,1.52,3.61,1.77,1.35,-6.59,0.97,0.68,-2.99,-3.09,-3.41
27,Weighted Average Shares Outstanding,33117000,34286000,33117000,34288000,34568000,34959000,35433000,34283000,32750000,33068000
28,Weighted Average Shares Outstanding Diluted,34545000,34286000,34545000,34288000,34568000,34959000,35489000,34283000,32750000,33068000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1635881/000163588116000054/0001635881-16-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588117000063/0001635881-17-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588118000012/0001635881-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588119000006/0001635881-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588120000012/0001635881-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588121000012/0001635881-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000095017022002691/0000950170-22-002691-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,35194000,39361000,29032000,35678000,49145000,19300000,16683000,40318000,56255000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,35194000,39361000,29032000,35678000,49145000,19300000,16683000,40318000,56255000
34,Net Receivables,- -,470078000,519008000,491726000,262563000,306747000,340069000,248874000,230670000,179844000
35,Inventory,- -,283011000,291240000,210554000,157516000,107909000,150689000,143538000,109837000,102494000
36,Other Current Assets,- -,93848000,104825000,62577000,56201000,78765000,56017000,26828000,48545000,69805000
37,Total Current Assets,- -,882131000,954434000,793889000,511958000,542566000,566075000,435923000,429370000,408398000
38,PP&E,- -,965196000,954811000,899402000,797809000,822279000,901577000,871193000,758650000,626611000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,29844000,23788000,17809000,12945000,9861000,8174000,5643000,4138000,67006000
41,Intangible Assets,- -,29844000,23788000,17809000,12945000,9861000,8174000,5643000,4138000,67006000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,79143000,57899000,86807000,6015000,10550000,11370000,13994000,8866000,7671000
44,Other Non-Current Assets,- -,42897000,41891000,44452000,46051000,75551000,79858000,91251000,102467000,69511000
45,Total Non-Current Assets,- -,1117080000,1078389000,1048470000,862820000,918241000,1000979000,982081000,874121000,770799000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1999211000,2032823000,1842359000,1374778000,1460807000,1567054000,1418004000,1303491000,1179197000
48,Accounts Payable,- -,128435000,161826000,94353000,95959000,148744000,165744000,123444000,60078000,70782000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,6268000,6340000,14931000
50,Tax Payable,- -,63144000,47406000,37668000,43336000,26503000,31862000,23803000,21260000,- -
51,Deferred Revenue,- -,175004000,141097000,70341000,74270000,113467000,153483000,82854000,100123000,- -
52,Other Current Liabilities,- -,206506000,169915000,131129000,163905000,146307000,138102000,114079000,108111000,204376000
53,Total Current Liabilities,- -,509945000,472838000,295823000,334134000,408518000,457329000,326645000,274652000,290089000
54,Long-Term Debt,- -,1539000,1107000,525593000,348970000,368472000,403810000,443587000,592193000,625234000
55,Deferred Revenue,- -,31391000,41591000,59769000,98964000,92485000,101363000,156262000,80499000,921000
56,Deferred Tax Liabilities,- -,49538000,38180000,22531000,11700000,9746000,6005000,993000,1014000,921000
57,Other Non-Current Liabilities,- -,32894000,27285000,28784000,24239000,26800000,45726000,80979000,59301000,78440000
58,Total Non-Current Liabilities,- -,115362000,108163000,636677000,483873000,497503000,556904000,681821000,733007000,705516000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,37226000,36208000,- -
61,Total Liabilities,- -,625307000,581001000,932500000,818007000,906021000,1014233000,1008466000,1007659000,995605000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,352000,356000,362000,369000,375000,378000,381000
64,Retained Earnings,- -,- -,- -,-36483000,-257252000,-223510000,-208677000,-317238000,-418529000,-531237000
65,Other Comprehensive Income/Loss,- -,31424000,16776000,13986000,47508000,45707000,38231000,35346000,20908000,19144000
66,Other Total Stockholders Equity,- -,2369102000,2473623000,932004000,766159000,732227000,722898000,691055000,693075000,695304000
67,Total Stockholders Equity,- -,1373904000,1451822000,909859000,556771000,554786000,552821000,409538000,295832000,183592000
68,Total Liabilities And Stockholders Equity,- -,1999211000,2032823000,1842359000,1374778000,1460807000,1567054000,1418004000,1303491000,1179197000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1999211000,2032823000,1842359000,1374778000,1460807000,1567054000,1418004000,1303491000,1179197000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1635881/000163588116000054/0001635881-16-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588117000063/0001635881-17-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588118000012/0001635881-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588119000006/0001635881-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588120000012/0001635881-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588121000012/0001635881-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000095017022002691/0000950170-22-002691-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,52507000,123717000,79315000,46211000,-227937000,33880000,24854000,-102377000,-101291000,-112708000
74,Depreciation and Amortization,167499000,140417000,173803000,157817000,137974000,107824000,123922000,162557000,145043000,175063000
75,Deferred Income Tax,-14744000,20052000,10106000,-26297000,71591000,-3193000,1537000,-10007000,5092000,2926000
76,Stock Based Compensation,6057000,5330000,5288000,8184000,10966000,14764000,14567000,12750000,2887000,2543000
77,Change in Working Capital,-13129000,395238000,109410000,16470000,-320242000,-43776000,-25302000,532000,45440000,-36409000
78,Accounts Receivable,-12901000,-15239000,-50641000,15618000,135934000,-65311000,8669000,50730000,-24764000,16547000
79,Inventory,-33578000,-23894000,-11893000,78997000,49705000,20594000,-59676000,-8369000,8719000,7132000
80,Accounts Payable,-15063000,30174000,-6949000,-82935000,-9684000,62029000,13801000,-41092000,-19400000,26215000
81,Other Working Capital,-23052000,372186000,481596000,498066000,177824000,134048000,108746000,109278000,154718000,118309000
82,Other Non-Cash Items,-29757000,-514244000,-226980000,-72091000,591137000,39127000,17722000,115271000,-134782000,18496000
83,Cash Provided by Operating Activities,168433000,170510000,150942000,130294000,263489000,148626000,157300000,178726000,-37611000,49911000
84,CAPEX,-164790000,-100195000,-157854000,-158925000,-74325000,-131673000,-215108000,-193274000,-75611000,-39553000
85,Acquisitions Net,51483000,19000000,16069000,15152000,10403000,894000,5000000,- -,- -,- -
86,Purchases of Investments,-224000,- -,-197000,-33000,-709000,- -,- -,-794000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-9559000,-4087000,-79449000,-146910000,-70692000,-122682000,-212578000,-173612000,-54299000,-35144000
89,Cash Used for Investing Activites,41700000,14913000,-63577000,-131791000,-60998000,-121788000,-207578000,-174406000,-54299000,-36156000
90,Debt Repayment,- -,- -,- -,-143500000,-610261000,-476503000,-550497000,-603951000,-289812000,-221003000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-54000,-2091000,-4792000,-4623000,-45007000,-864000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-196934000,-182909000,-79273000,88761000,381605000,449141000,562017000,642920000,410178000,230589000
95,Cash Used/Provided by Financing Activities,-196934000,-182909000,-79273000,-54793000,-230747000,-32154000,6897000,-6038000,119502000,9586000
96,Effect of Forex Changes on Cash,-486000,-1487000,-3925000,-3716000,-1832000,-792000,-3841000,-1058000,-566000,-435000
97,Net Change In Cash,12713000,1027000,4167000,-10329000,6646000,13467000,-30213000,-2776000,27026000,18323000
98,Cash at the End of Period,34167000,35194000,39361000,29032000,35678000,49145000,19478000,16702000,43728000,62051000
99,Cash at the Beginning of Period,21454000,34167000,35194000,39361000,29032000,35678000,49691000,19478000,16702000,43728000
100,Free Cash Flow,3643000,70315000,-6912000,-28631000,189164000,16953000,-57808000,-14548000,-113222000,10358000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1635881/000163588116000054/0001635881-16-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588117000063/0001635881-17-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588118000012/0001635881-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588119000006/0001635881-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588120000012/0001635881-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000163588121000012/0001635881-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1635881/000095017022002691/0000950170-22-002691-index.htm
102,false,,,,,,,,,,
