,https://roic.ai/company/NVTA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501134/000104746915002895/0001047469-15-002895-index.htm,https://www.sec.gov/Archives/edgar/data/1501134/000104746916010990/0001047469-16-010990-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000156459017004633/0001564590-17-004633-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000156459018004430/0001564590-18-004430-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000150113419000022/0001501134-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000150113420000013/0001501134-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000150113421000012/0001501134-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1501134/000150113422000008/0001501134-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-8602000,-24838000,-47492000,-89782000,-100256000,-123380000,-129355000,-241965000,-602170000,-379006000
74,Depreciation and Amortization,277000,928000,2315000,5321000,6553000,9181000,13540000,16206000,39050000,80472000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1856000,-2862000,-18450000,-112100000,- -
76,Stock Based Compensation,65000,260000,971000,3477000,10699000,19221000,20850000,75948000,158747000,180075000
77,Change in Working Capital,-894000,60443000,18413000,-33386000,-33753000,75833000,231411000,-28351000,877204000,-174681000
78,Accounts Receivable,- -,- -,- -,- -,- -,-1963000,-5291000,-6131000,-2814000,-16696000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-7832000,-1486000
80,Accounts Payable,174000,220000,2072000,508000,-111000,-535000,-417000,1558000,10186000,-9258000
81,Other Working Capital,41577000,102020000,120433000,87047000,53294000,129127000,360538000,332187000,1209391000,1034710000
82,Other Non-Cash Items,- -,-59823000,-16647000,33715000,40440000,-76980000,-225804000,51559000,-659233000,-266675000
83,Cash Provided by Operating Activities,-9154000,-23030000,-42440000,-80655000,-76317000,-97981000,-92220000,-145053000,-298502000,-559815000
84,CAPEX,-766000,-4520000,-6686000,-6464000,-11625000,-6675000,-5970000,-20047000,-22865000,-54720000
85,Acquisitions Net,- -,- -,- -,- -,- -,3000000,- -,-34000000,-384000000,-247396000
86,Purchases of Investments,- -,- -,- -,-216994000,-90236000,-101867000,-9680000,-260917000,-280258000,-325957000
87,Sales/Maturities of Investments,- -,- -,- -,162567000,117922000,68768000,52423000,34500000,290319000,425293000
88,Other Investing Activites,-60000,-60000,-30000,-4681000,134000,-179000,-1000000,154000,-3779000,-1300000
89,Cash Used for Investing Activites,-826000,-4580000,-6716000,-65572000,16195000,-36953000,35773000,-280310000,-400583000,-204080000
90,Debt Repayment,-609000,-1007000,-1376000,-2423000,-4027000,-33409000,-62100000,-77075000,- -,-3759000
91,Common Stock Issued,- -,- -,- -,107120000,47102000,74619000,129952000,213494000,547891000,434263000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,29411000,49886000,114489000,7741000,10634000,39661000,89300000,328352000,125102000,1135436000
95,Cash Used/Provided by Financing Activities,28802000,48879000,113113000,112438000,53709000,80871000,157152000,464771000,672993000,1565940000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,18822000,21269000,63957000,-33789000,-6413000,-54063000,100705000,39408000,-26092000,802045000
98,Cash at the End of Period,21801000,43070000,107027000,73238000,66825000,17459000,118164000,157572000,131480000,933525000
99,Cash at the Beginning of Period,2979000,21801000,43070000,107027000,73238000,71522000,17459000,118164000,157572000,131480000
100,Free Cash Flow,-9920000,-27550000,-49126000,-87119000,-87942000,-104656000,-98190000,-165100000,-321367000,-614535000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501134/000104746915002895/0001047469-15-002895-index.htm,https://www.sec.gov/Archives/edgar/data/1501134/000104746916010990/0001047469-16-010990-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000156459017004633/0001564590-17-004633-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000156459018004430/0001564590-18-004430-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000150113419000022/0001501134-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000150113420000013/0001501134-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1501134/000150113421000012/0001501134-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1501134/000150113422000008/0001501134-22-000008-index.htm
102,false,,,,,,,,,,
