,https://roic.ai/company/MATX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1634,0.1879,0.2537,0.2548,0.1716,0.2261,0.1801,0.1497,0.1294,0.1197,0.0875,0.1124,0.1224,0.0611,0.1181,0.1375,0.1730,0.0734,0.0981,0.1104,0.1151,0.0921,0.0988,0.0838,0.0299,0.0662,0.0662,0.0620,0.0613,0.0817,0.1041,0.0789,0.0730,0.0737,0.0586,0.1176,0.3025
19,Total Other Income Expenses (Gains),10500000,16300000,3200000,9900000,199500000,3000000,3200000,-25200000,-11300000,-31427000,-37365000,-34565000,-28936000,-24799000,-17774000,-24252000,-18658000,-11680000,-12000000,-6000000,- -,5000000,8000000,-8000000,-22000000,-12000000,-27000000,-11700000,-14400000,-17300000,-18500000,-24100000,-24200000,-16100000,-21300000,-21300000,-16200000
20,Income Before Tax,88500000,111100000,163300000,179200000,305900000,166400000,133000000,84200000,113200000,113235000,51954000,104033000,127212000,55295000,95540000,122715000,187205000,68232000,109000000,159000000,185000000,153000000,174000000,151000000,20000000,97000000,87000000,85000000,85900000,122700000,177800000,129100000,125200000,147700000,107800000,259000000,1171300000
21,Income Before Tax Ratio,0.1854,0.2203,0.2588,0.2697,0.4935,0.2302,0.1845,0.1152,0.1177,0.0937,0.0509,0.0844,0.0997,0.0422,0.0996,0.1148,0.1573,0.0627,0.0884,0.1064,0.1151,0.0952,0.1035,0.0796,0.0142,0.0589,0.0505,0.0545,0.0525,0.0716,0.0943,0.0665,0.0612,0.0664,0.0489,0.1087,0.2984
22,Income Tax expense (Gain),4900000,18700000,42900000,44100000,103200000,51200000,40600000,23700000,46200000,38627000,19535000,38748000,45825000,24352000,32961000,44391000,67392000,21734000,40000000,60000000,69000000,57000000,66000000,55000000,8000000,38000000,32000000,33000000,32200000,51900000,74800000,48600000,-106800000,38700000,25100000,65900000,243900000
23,Net Income,83600000,92400000,120400000,135100000,202700000,115200000,92400000,18900000,67000000,74608000,55755000,65285000,81387000,25142000,62579000,90574000,110628000,58156000,81000000,101000000,126000000,122000000,142000000,132000000,44000000,92000000,34000000,45900000,53700000,70800000,103000000,80500000,232000000,109000000,82700000,193100000,927400000
24,Net Income ratio,0.1751,0.1832,0.1908,0.2033,0.3270,0.1594,0.1282,0.0259,0.0696,0.0618,0.0546,0.0530,0.0638,0.0192,0.0652,0.0848,0.0930,0.0534,0.0657,0.0676,0.0784,0.0759,0.0845,0.0695,0.0313,0.0559,0.0197,0.0294,0.0328,0.0413,0.0546,0.0415,0.1133,0.0490,0.0375,0.0810,0.2363
25,EPS,1.50,1.65,2.30,2.35,4.31,2.34,1.92,0.41,1.45,1.62,1.23,1.44,1.80,0.56,1.45,2.21,2.73,1.42,1.95,2.37,2.89,2.84,3.34,3.21,1.08,2.23,0.82,1.09,1.26,1.65,2.37,1.87,5.41,2.55,1.93,4.48,21.67
26,EPS Diluted,1.50,1.65,2.30,2.35,4.31,2.34,1.92,0.41,1.45,1.62,1.23,1.44,1.80,0.56,1.45,2.21,2.72,1.41,1.94,2.33,2.86,2.81,3.30,3.19,1.08,2.22,0.81,1.08,1.25,1.63,2.34,1.85,5.37,2.53,1.91,4.44,21.47
27,Weighted Average Shares Outstanding,55733333,56000000,52347826,57489362,47030162,49230769,48125000,46097561,46206897,46059000,45492000,45303000,45182000,44760000,43206000,40898000,40535000,41008000,41600000,42600000,43600000,43200000,42500000,41200000,41000000,41200000,41600000,42300000,42700000,43000000,43500000,43100000,42900000,42700000,42800000,43100000,42800000
28,Weighted Average Shares Outstanding Diluted,55733333,56000000,52347826,57489362,47030162,49230769,48125000,46097561,46206897,46131000,45562000,45303000,45182000,44760000,43206000,40898000,40672059,41245390,41752577,43347639,44055944,43600000,43030303,41500000,41100000,41500000,42000000,42700000,43100000,43400000,44000000,43500000,43200000,43000000,43300000,43500000,43200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345396000007/0000003453-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345397000007/0000003453-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345398000009/0000003453-98-000009-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345301500015/0000003453-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345302000017/0000003453-02-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345308000010/form10k_htm.htm,https://www.sec.gov/Archives/edgar/data/3453/000000345309000012/0000003453-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345310000006/0000003453-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345311000006/form10k.htm,https://www.sec.gov/Archives/edgar/data/3453/000000345312000026/0000003453-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/3453/000110465913016637/0001104659-13-016637-index.html,https://www.sec.gov/Archives/edgar/data/3453/000110465914014819/a13-26914_110k.htm,https://www.sec.gov/Archives/edgar/data/3453/000110465915014988/a14-26312_110k.htm,https://www.sec.gov/Archives/edgar/data/3453/000110465916100342/0001104659-16-100342-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837017000947/0001558370-17-000947-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837018001004/0001558370-18-001004-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837019001448/0001558370-19-001448-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837020001757/0001558370-20-001757-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837021001909/0001558370-21-001909-index.htm,https://www.sec.gov/Archives/edgar/data/3453/000155837022002040/0001558370-22-002040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,56100000,34500000,26700000,22800000,23600000,47500000,18900000,21100000,32700000,9557000,32150000,23824000,21623000,86818000,3333000,3451000,19291000,558000,6000000,42000000,57000000,45000000,17000000,19000000,16000000,14000000,22000000,19900000,114500000,293400000,25500000,13900000,19800000,19600000,21200000,14400000,282400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,56100000,34500000,26700000,22800000,23600000,47500000,18900000,21100000,32700000,9557000,32150000,23824000,21623000,86818000,3333000,3451000,19291000,558000,6000000,42000000,57000000,45000000,17000000,19000000,16000000,14000000,22000000,19900000,114500000,293400000,25500000,13900000,19800000,19600000,21200000,14400000,282400000
34,Net Receivables,43300000,75000000,64800000,81300000,77700000,105700000,91300000,91500000,119100000,142958000,146767000,172266000,176165000,129808000,136637000,141553000,130491000,155544000,160000000,181000000,177000000,183000000,186000000,163000000,172000000,165000000,173000000,174700000,182300000,197600000,234300000,230500000,212400000,250500000,218700000,253700000,- -
35,Inventory,25500000,27900000,29900000,20300000,17700000,19700000,19800000,20800000,107900000,90677000,86106000,102722000,69209000,19772000,15927000,17137000,16280000,14950000,16000000,15000000,18000000,19000000,21000000,28000000,43000000,35000000,40000000,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,30700000,6200000,9500000,6200000,8400000,-2500000,14400000,28800000,25300000,33355000,42169000,45549000,21944000,18396000,46553000,46726000,53952000,62619000,65000000,50000000,51000000,38000000,197000000,74000000,76000000,50000000,40000000,35200000,52100000,28500000,18100000,29800000,33800000,48300000,49700000,37800000,422100000
37,Total Current Assets,155600000,143600000,130900000,130600000,127400000,170400000,144400000,162200000,285000000,276547000,307192000,344361000,288941000,254794000,202450000,208867000,220014000,233671000,247000000,288000000,303000000,285000000,421000000,284000000,307000000,264000000,275000000,234100000,348900000,519500000,277900000,274200000,266000000,318400000,289600000,305900000,704500000
38,PP&E,480300000,489100000,520100000,548100000,711900000,905700000,1072800000,1173700000,1326900000,1347917000,1029618000,1133200000,1104571000,1007410000,989437000,1017320000,1024888000,984624000,1156000000,1215000000,1360000000,1646000000,99000000,1668000000,1536000000,1651000000,1634000000,762500000,735400000,691200000,860300000,949200000,1165700000,1366600000,1854200000,1941300000,1878300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,27400000,27400000,241600000,323700000,323700000,327800000,327800000,327800000,327800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,3800000,2500000,139100000,236600000,225200000,214000000,202900000,192000000,181100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38400000,31200000,29900000,380700000,560300000,548900000,541800000,530700000,519800000,508900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32923000,68000000,111000000,154000000,149000000,184000000,208000000,242000000,329000000,347000000,59600000,57600000,64400000,66400000,82400000,93200000,87000000,76200000,48700000,58700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,227900000,301300000,330700000,391800000,300100000,295100000,337800000,350000000,300500000,308324000,445949000,323061000,311286000,343436000,369573000,439825000,299517000,346351000,289000000,164000000,254000000,171000000,1775000000,190000000,295000000,251000000,288000000,79700000,75200000,96800000,84500000,149400000,173700000,116600000,94700000,84900000,542700000
45,Total Non-Current Assets,708200000,790400000,850800000,939900000,1012000000,1200800000,1410600000,1523700000,1627400000,1656241000,1475567000,1456261000,1415857000,1350846000,1359010000,1457145000,1324405000,1363898000,1513000000,1490000000,1768000000,1966000000,2058000000,2066000000,2073000000,2231000000,2269000000,940200000,899400000,882300000,1391900000,1741300000,1981500000,2112000000,2555800000,2594700000,2988600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,863800000,934000000,981700000,1070500000,1139400000,1371200000,1555000000,1685900000,1912400000,1932788000,1782759000,1800622000,1704798000,1605640000,1561460000,1666012000,1544419000,1597569000,1760000000,1778000000,2071000000,2251000000,2479000000,2350000000,2380000000,2495000000,2544000000,1174300000,1248300000,1401800000,1669800000,2015500000,2247500000,2430400000,2845400000,2900600000,3693100000
48,Accounts Payable,- -,- -,- -,- -,25800000,43800000,39600000,39100000,39200000,36545000,30916000,50496000,46835000,37781000,55655000,63075000,78911000,80933000,95000000,115000000,134000000,136000000,156000000,105000000,132000000,137000000,156000000,125800000,124000000,133200000,164900000,170500000,175100000,246800000,235700000,283100000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107794000,93966000,41453000,87533000,22500000,30500000,19900000,9643000,15000000,31000000,31000000,41000000,57000000,52000000,65000000,136000000,52000000,16400000,12500000,21600000,22000000,31800000,30800000,42100000,48400000,131600000,65000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,- -,5000000,5700000,6900000,4200000,- -
52,Other Current Liabilities,68100000,76100000,88700000,94600000,67100000,74900000,78800000,77200000,173100000,168286000,84083000,98468000,85847000,62367000,64490000,59431000,96758000,60511000,73000000,89000000,89000000,80000000,109000000,81000000,100000000,80000000,70000000,51200000,64100000,68700000,107100000,76900000,75400000,76200000,145700000,92600000,547400000
53,Total Current Liabilities,68100000,76100000,88700000,94600000,92900000,118700000,118400000,116300000,212300000,204831000,222793000,242930000,174135000,187681000,142645000,153006000,195569000,151087000,183000000,235000000,254000000,257000000,322000000,238000000,297000000,353000000,278000000,193400000,200600000,223500000,297600000,279200000,286300000,370800000,436700000,511500000,612400000
54,Long-Term Debt,195900000,187500000,281700000,278300000,296000000,406700000,527000000,673800000,627000000,526231000,380389000,345618000,290885000,255766000,277570000,330766000,207378000,247789000,330000000,214000000,296000000,401000000,452000000,452000000,406000000,386000000,507000000,302700000,273600000,352000000,407900000,707100000,826300000,814300000,910000000,872500000,549700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,63200000,74500000,77100000,61100000,103000000,121200000,133600000,281600000,298400000,349961000,330379000,350913000,359754000,353029000,358354000,387139000,338709000,337803000,356000000,339000000,415000000,442000000,468000000,414000000,428000000,431000000,418000000,251900000,326100000,308400000,310500000,348800000,285200000,312700000,337600000,389600000,425200000
57,Other Non-Current Liabilities,35400000,36200000,41500000,37200000,42400000,41700000,41100000,55100000,187700000,219151000,199520000,176833000,160436000,114522000,111928000,101450000,92096000,137242000,80000000,86000000,92000000,124000000,107000000,174000000,164000000,189000000,218000000,146400000,109800000,154100000,203200000,208900000,171500000,177300000,355400000,165800000,438400000
58,Total Non-Current Liabilities,294500000,298200000,400300000,376600000,441400000,569600000,701700000,1010500000,1113100000,1095343000,910288000,873364000,811075000,723317000,747852000,819355000,638183000,722834000,766000000,639000000,803000000,967000000,1027000000,1040000000,998000000,1006000000,1143000000,701000000,709500000,814500000,921600000,1264800000,1283000000,1304300000,1603000000,1427900000,1413300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264600000,259300000,- -
61,Total Liabilities,362600000,374300000,489000000,471200000,534300000,688300000,820100000,1126800000,1325400000,1300174000,1133081000,1116294000,985210000,910998000,890497000,972361000,833752000,873921000,949000000,874000000,1057000000,1224000000,1349000000,1278000000,1295000000,1359000000,1421000000,894400000,910100000,1038000000,1219200000,1544000000,1569300000,1675100000,2039700000,1939400000,2025700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,37493000,37133000,37150000,36769000,36098000,34933000,33248000,33328000,33846000,35000000,35000000,36000000,35000000,34000000,33000000,- -,- -,- -,31900000,32100000,32400000,32600000,32100000,31900000,32000000,32200000,32400000,- -
64,Retained Earnings,466500000,521900000,459200000,558400000,553500000,628700000,679900000,499200000,525200000,541910000,546394000,568969000,591135000,555820000,545849000,552637000,622615000,643645000,684000000,741000000,827000000,843000000,911000000,942000000,934000000,972000000,953000000,40800000,67700000,109800000,177000000,195700000,381500000,460000000,504200000,658100000,- -
65,Other Comprehensive Income/Loss,-340200000,-354300000,-383700000,-409500000,-436200000,-492300000,-559200000,-6932500000,-718900000,-812283000,-780392000,-864002000,-938508000,-837704000,-819959000,-853502000,-839631000,-821490000,-809000000,-863000000,-7000000,-19000000,-4000000,-96000000,-81000000,-82000000,-92000000,-46000000,-24000000,-53000000,-47000000,-24000000,-25000000,-35000000,-37000000,-50800000,-30000
66,Other Total Stockholders Equity,374900000,392100000,417200000,450400000,487800000,546500000,614200000,6992400000,780700000,865494000,846543000,942211000,1030192000,940428000,910140000,961268000,894355000,867647000,901000000,991000000,158000000,168000000,189000000,193000000,232000000,246000000,262000000,253200000,262400000,274600000,288000000,267700000,289800000,298300000,306300000,321500000,- -
67,Total Stockholders Equity,501200000,559700000,492700000,599300000,605100000,682900000,734900000,559100000,587000000,632614000,649678000,684328000,719588000,694642000,670963000,693651000,710667000,723648000,811000000,904000000,1014000000,1027000000,1130000000,1072000000,1085000000,1136000000,1123000000,279900000,338200000,363800000,450600000,471500000,678200000,755300000,805700000,961200000,1667400000
68,Total Liabilities And Stockholders Equity,863800000,934000000,981700000,1070500000,1139400000,1371200000,1555000000,1685900000,1912400000,1932788000,1782759000,1800622000,1704798000,1605640000,1561460000,1666012000,1544419000,1597569000,1760000000,1778000000,2071000000,2251000000,2479000000,2350000000,2380000000,2495000000,2544000000,1174300000,1248300000,1401800000,1669800000,2015500000,2247500000,2430400000,2845400000,2900600000,3693100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,863800000,934000000,981700000,1070500000,1139400000,1371200000,1555000000,1685900000,1912400000,1932788000,1782759000,1800622000,1704798000,1605640000,1561460000,1666012000,1544419000,1597569000,1760000000,1778000000,2071000000,2251000000,2479000000,2350000000,2380000000,2495000000,2544000000,1174300000,1248300000,1401800000,1669800000,2015500000,2247500000,2430400000,2845400000,2900600000,3693100000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345396000007/0000003453-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345397000007/0000003453-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345398000009/0000003453-98-000009-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345301500015/0000003453-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345302000017/0000003453-02-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3453/000000345308000010/form10k_htm.htm,https://www.sec.gov/Archives/edgar/data/3453/000000345309000012/0000003453-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345310000006/0000003453-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/3453/000000345311000006/form10k.htm,https://www.sec.gov/Archives/edgar/data/3453/000000345312000026/0000003453-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/3453/000110465913016637/0001104659-13-016637-index.html,https://www.sec.gov/Archives/edgar/data/3453/000110465914014819/a13-26914_110k.htm,https://www.sec.gov/Archives/edgar/data/3453/000110465915014988/a14-26312_110k.htm,https://www.sec.gov/Archives/edgar/data/3453/000110465916100342/0001104659-16-100342-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837017000947/0001558370-17-000947-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837018001004/0001558370-18-001004-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837019001448/0001558370-19-001448-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837020001757/0001558370-20-001757-index.html,https://www.sec.gov/Archives/edgar/data/3453/000155837021001909/0001558370-21-001909-index.htm,https://www.sec.gov/Archives/edgar/data/3453/000155837022002040/0001558370-22-002040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,202700000,115200000,92400000,18900000,67000000,74608000,55755000,65285000,81387000,25142000,62579000,90574000,110628000,58156000,81000000,101000000,126000000,122000000,142000000,132000000,44000000,92000000,34000000,45900000,53700000,70800000,103000000,80500000,232000000,109000000,82700000,193100000,927400000
74,Depreciation and Amortization,- -,- -,- -,- -,-54000000,-64000000,-76700000,-85400000,-97800000,105150000,85127000,88951000,88558000,88500000,73901000,72304000,75433000,70717000,73000000,80000000,84000000,85000000,93000000,101000000,105000000,107000000,109000000,72500000,69700000,69700000,83400000,97100000,101200000,94400000,161100000,189700000,239200000
75,Deferred Income Tax,- -,- -,- -,- -,28000000,18100000,9400000,13300000,30700000,23178000,42965000,10420000,13168000,-8248000,8465000,17358000,-7389000,9856000,3000000,-11000000,68000000,40000000,26000000,19000000,1000000,5000000,-5000000,-8800000,58700000,2400000,52400000,41600000,-128900000,29300000,23600000,52100000,33200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,9000000,8000000,8000000,4000000,5900000,8700000,12200000,11200000,11100000,12100000,11300000,18800000,19300000
77,Change in Working Capital,- -,- -,- -,- -,5100000,17200000,-25700000,19900000,26800000,-984000,12683000,17032000,13375000,-47693000,-7308000,-3944000,-31416000,58139000,-18584000,-11000000,-4000000,-21000000,71000000,-53000000,-36000000,-99000000,86000000,43700000,107600000,147700000,-315700000,14700000,-15300000,-32100000,-94700000,-58500000,-188500000
78,Accounts Receivable,- -,- -,- -,- -,-8500000,-19200000,13800000,-200000,-7300000,-5500000,-14400000,-5200000,-5500000,7900000,-6000000,-4161000,2250000,-23379000,3000000,-21000000,5000000,5000000,-9000000,- -,- -,- -,- -,-7000000,-7600000,-15300000,13500000,14400000,-5100000,-29100000,17800000,-48000000,-90300000
