,https://roic.ai/company/FIS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,522486000,635812000,- -,97964000,125579000,128302000,120252000,129443000,611108000,610444000,474200000,554100000,675800000,671800000,781500000,920700000,810500000,1102800000,1710000000,1450000000,1301000000,2667000000,3516000000,3938000000
11,COGS and Expenses,522486000,635812000,- -,699704000,856019000,861064000,859852000,921024000,3540675000,4012375000,3111100000,3354700000,4313500000,4669800000,4728400000,5006300000,5143200000,5496000000,7943000000,7631000000,6870000000,9277000000,11864000000,12620000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,6400000,6000000,8600000,10400000,15300000,15700000,20000000,22000000,17000000,52000000,5000000,2000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,179700000,264800000,231300000,198600000,172800000,199100000,403000000,359000000,314000000,389000000,339000000,216000000
14,Depreciation and Amortization,- -,35758000,42698000,46353000,39050000,47468000,53743000,64064000,433550000,527465000,482200000,434000000,619500000,637200000,632800000,614600000,626300000,669500000,1174000000,1391000000,1420000000,2444000000,3714000000,4015000000
15,EBITDA,101595000,164659000,188160000,189705000,184998000,194922000,227624000,263310000,842787000,1389217000,754600000,726000000,1419000000,1610600000,1596200000,1615500000,1813300000,1878900000,2462000000,2750000000,2788000000,3231000000,4307000000,5019000000
16,EBITDA ratio,0.1624,0.2157,0.2274,0.2229,0.1835,0.1920,0.2190,0.2357,0.2039,0.2920,0.2190,0.1926,0.2693,0.2803,0.2748,0.2661,0.2827,0.2849,0.2664,0.3014,0.3310,0.3127,0.3431,0.3617
17,Operating Income,103291000,127485000,145624000,151419000,151949000,154400000,179654000,184955000,591927000,745641000,334900000,277900000,801100000,1066800000,1079200000,1064400000,1270600000,1099200000,1298000000,1492000000,1458000000,969000000,552000000,1055000000
18,Operating Income ratio,0.1651,0.1670,0.1760,0.1779,0.1507,0.1520,0.1728,0.1656,0.1432,0.1567,0.0972,0.0737,0.1520,0.1857,0.1858,0.1753,0.1981,0.1667,0.1405,0.1635,0.1731,0.0938,0.0440,0.0760
19,Total Other Income Expenses (Gains),-916000,1410000,-1088000,-8067000,-6001000,-5611000,- -,-10397000,-188297000,66604000,-155700000,-121900000,-184800000,-322500000,-248000000,-239400000,-217200000,-62300000,-392000000,-456000000,-354000000,-556000000,-286000000,-266000000
20,Income Before Tax,102375000,128895000,144536000,143352000,145948000,148789000,179654000,174558000,403630000,812245000,179200000,156000000,616300000,744300000,831200000,825000000,1053400000,1036900000,906000000,1036000000,1104000000,413000000,266000000,789000000
21,Income Before Tax Ratio,0.1636,0.1689,0.1747,0.1684,0.1448,0.1465,0.1728,0.1563,0.0977,0.1707,0.0520,0.0414,0.1170,0.1295,0.1431,0.1359,0.1642,0.1572,0.0980,0.1136,0.1311,0.0400,0.0212,0.0569
22,Income Tax expense (Gain),40505000,54272000,57000000,56276000,55964000,55052000,62071000,68927000,150150000,300530000,57600000,52100000,215300000,239000000,270900000,309200000,335100000,378800000,317000000,-319000000,208000000,100000000,96000000,371000000
23,Net Income,61090000,74629000,88462000,87076000,89984000,92402000,111810000,130319000,259087000,561222000,214800000,105900000,404500000,469600000,461200000,493100000,679100000,631500000,568000000,1319000000,846000000,298000000,158000000,417000000
24,Net Income ratio,0.0976,0.0978,0.1069,0.1023,0.0893,0.0910,0.1076,0.1167,0.0627,0.1180,0.0623,0.0281,0.0768,0.0817,0.0794,0.0812,0.1059,0.0958,0.0615,0.1446,0.1004,0.0288,0.0126,0.0300
25,EPS,0.86,1.09,1.32,1.27,1.32,1.42,1.78,1.54,1.39,2.91,1.12,0.45,1.17,1.56,1.58,1.70,2.38,2.22,1.74,3.82,2.58,0.67,0.26,0.68
26,EPS Diluted,0.85,1.07,1.30,1.26,1.30,1.40,1.75,1.53,1.37,2.86,1.11,0.44,1.15,1.53,1.55,1.68,2.35,2.19,1.72,3.75,2.55,0.66,0.25,0.67
27,Weighted Average Shares Outstanding,71034884,68466972,67016667,68317000,68254000,65094000,62818000,127920000,185926000,193080000,191600000,236400000,345100000,300600000,291800000,289700000,284800000,285000000,326000000,330000000,328000000,445000000,619000000,616000000
28,Weighted Average Shares Outstanding Diluted,71870588,69746729,68047692,69063000,69033000,65870000,63966000,128354000,189196000,196546000,193500000,239400000,352000000,307000000,297500000,294200000,288700000,288700000,330000000,336000000,332000000,451000000,627000000,621000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136893/000104746903005642/0001047469-03-005642-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000119312504024670/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000119312505048033/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000095013406005253/a18325e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000089256907000185/a27617e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000089256908000207/a38312e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000095014409001697/0000950144-09-001697-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000095012310017631/0000950123-10-017631-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000095012311018522/fis12311010k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000017/0001136893-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689313000011/0001136893-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689314000009/fis-10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689315000006/a10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689316000061/0001136893-16-000061-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689317000008/0001136893-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689318000011/0001136893-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689319000008/0001136893-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689320000032/0001136893-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689321000025/0001136893-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000038/0001136893-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,27674000,14166000,22280000,41801000,137979000,211753000,355278000,220900000,430900000,338000000,415500000,517600000,547500000,492800000,687600000,683000000,665000000,703000000,1152000000,1959000000,2010000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,44855000,31327000,- -,- -,- -,50800000,35900000,43900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,27674000,14166000,22280000,86656000,169306000,211753000,355278000,220900000,481700000,373900000,459400000,517600000,547500000,492800000,687600000,683000000,665000000,703000000,1152000000,1959000000,2010000000
34,Net Receivables,- -,- -,- -,213256000,183233000,200237000,218681000,257749000,806299000,1164503000,721400000,890800000,1085600000,1033600000,1126200000,1264000000,1345200000,2090200000,1879000000,2011000000,2042000000,4350000000,4433000000,4127000000
35,Inventory,- -,- -,- -,- -,- -,1889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,41976000,114601000,97222000,103380000,17847000,282487000,309714000,237500000,293600000,213500000,189700000,200400000,540400000,635100000,733600000,1720000000,930000000,988000000,3190000000,3506000000,4571000000
37,Total Current Assets,- -,- -,- -,282906000,312000000,321628000,408717000,444902000,1300539000,1829495000,1179800000,1666100000,1673000000,1682700000,1844200000,2351900000,2473100000,3511400000,4282000000,3606000000,3733000000,8692000000,9898000000,10708000000
38,PP&E,- -,- -,- -,34340000,38637000,58897000,61490000,70346000,345799000,392508000,272600000,375900000,390000000,414500000,419500000,439000000,483300000,610700000,626000000,610000000,587000000,1464000000,1421000000,1411000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,3737540000,5326831000,4194000000,8232900000,8550000000,8542800000,8381500000,8500000000,8877600000,14744700000,14178000000,13730000000,13545000000,52242000000,53268000000,53330000000
40,Intangible Assets,- -,- -,- -,240630000,200298000,223782000,258447000,260342000,1650793000,1805733000,1541300000,3329500000,3111900000,2784800000,2423200000,2195800000,2161400000,6742800000,6272000000,5678000000,4927000000,19002000000,17298000000,14838000000
41,Intangible Assets,- -,- -,- -,240630000,200298000,223782000,258447000,260342000,5388333000,7132564000,5735300000,11562400000,11661900000,11327600000,10804700000,10695800000,11039000000,21487500000,20450000000,19408000000,18472000000,71244000000,70566000000,68168000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,136000000,196000000,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000000
43,Tax Assets,- -,- -,- -,3946000,- -,6691000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,135751000,151206000,174049000,193555000,60845000,399889000,409016000,326300000,393200000,436900000,423500000,481300000,473400000,525100000,659200000,673000000,893000000,978000000,2406000000,1957000000,2286000000
45,Total Non-Current Assets,- -,- -,- -,414667000,390141000,463419000,513492000,527533000,6330021000,7965088000,6334200000,12331500000,12488800000,12165600000,11705500000,11608200000,12047400000,22757400000,21749000000,20911000000,20037000000,75114000000,73944000000,72223000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,697573000,702141000,785047000,922209000,972435000,7630560000,9794583000,7514000000,13997600000,14161800000,13848300000,13549700000,13960100000,14520500000,26268800000,26031000000,24517000000,23770000000,83806000000,83842000000,82931000000
48,Accounts Payable,- -,- -,- -,22005000,22916000,22280000,56764000,63083000,25264000,119518000,61600000,- -,- -,782700000,93400000,147000000,186800000,535100000,512000000,776000000,687000000,1386000000,1576000000,1829000000
49,Short-Term Debt,- -,- -,- -,423000,- -,- -,- -,- -,61661000,272014000,105500000,236700000,256900000,259200000,153900000,128800000,13100000,15300000,332000000,1045000000,315000000,3092000000,4216000000,5674000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51400000,45400000,47500000,65000000,62000000,59000000,57000000,220000000,236000000,299000000
51,Deferred Revenue,- -,- -,- -,- -,- -,8833000,- -,- -,254908000,246222000,182900000,279500000,268600000,276500000,287300000,243600000,279400000,615300000,680000000,688000000,739000000,817000000,881000000,779000000
52,Other Current Liabilities,- -,- -,- -,199508000,228014000,212980000,233574000,170479000,538682000,616460000,502200000,718500000,760400000,36500000,722200000,1153300000,1119600000,1198200000,1627000000,1414000000,1384000000,5087000000,5688000000,6184000000
53,Total Current Liabilities,- -,- -,- -,221936000,250930000,244093000,290338000,233562000,880515000,1254214000,852200000,1234700000,1285900000,1354900000,1256800000,1672700000,1598900000,2363900000,3151000000,3923000000,3125000000,10382000000,12361000000,14466000000
54,Long-Term Debt,- -,- -,- -,230000000,214200000,222399000,273968000,227881000,2947840000,4003383000,2409000000,3016600000,4935200000,4550600000,4231600000,4339800000,5054600000,11497800000,10146000000,7718000000,8670000000,17229000000,15951000000,15203000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104800000,86300000,55900000,42200000,27200000,26100000,30400000,19000000,21000000,67000000,52000000,59000000,175000000
56,Deferred Tax Liabilities,- -,- -,- -,24629000,32801000,43939000,40295000,29112000,396263000,394972000,346300000,915900000,859300000,872500000,821800000,823600000,874400000,2658400000,2484000000,1508000000,1360000000,4281000000,4017000000,4193000000
57,Other Non-Current Liabilities,- -,- -,- -,9143000,5767000,13477000,17545000,22610000,250228000,346641000,209500000,207000000,433500000,363200000,403700000,359500000,275000000,311500000,386000000,403000000,326000000,2406000000,2141000000,1536000000
58,Total Non-Current Liabilities,- -,- -,- -,263772000,252768000,279815000,331808000,279603000,3594331000,4744996000,2964800000,4244300000,6314300000,5842200000,5499300000,5550100000,6230100000,14498100000,13035000000,9650000000,10423000000,23968000000,22168000000,21107000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,595000000,605000000,524000000
61,Total Liabilities,- -,- -,- -,485708000,503698000,523908000,622146000,513165000,4474846000,5999210000,3817000000,5479000000,7600200000,7197100000,6756100000,7222800000,7829000000,16862000000,16186000000,13573000000,13548000000,34350000000,34529000000,35573000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,688000,695000,695000,695000,693000,1974000,1990000,2000000,3800000,3800000,3800000,3800000,3900000,3900000,4300000,4000000,4000000,4000000,6000000,6000000,6000000
64,Retained Earnings,- -,- -,- -,50568000,140552000,226495000,325681000,413268000,376961000,899512000,1076100000,1134600000,1471200000,1880400000,2105800000,2341900000,2746800000,3072900000,3299000000,4233000000,4528000000,4161000000,3440000000,2889000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-67647000,-123915000,-86041000,-68842000,-64177000,45009000,53389000,-102300000,82200000,87900000,36300000,30000000,-9900000,-107200000,-279400000,-331000000,-332000000,-430000000,-33000000,57000000,252000000
66,Other Total Stockholders Equity,- -,- -,- -,228256000,181111000,119990000,42529000,109486000,2718800000,2826288000,2557000000,7088300000,4840300000,4582500000,4501300000,4244600000,3913200000,6523200000,6769000000,6930000000,6113000000,45306000000,45797000000,44200000000
67,Total Stockholders Equity,- -,- -,- -,211865000,198443000,261139000,300063000,459270000,3142744000,3781179000,3532800000,8308900000,6403200000,6503000000,6640900000,6580500000,6556700000,9321000000,9741000000,10835000000,10215000000,49440000000,49300000000,47347000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,697573000,702141000,785047000,922209000,972435000,7617590000,9780389000,7349800000,13787900000,14003400000,13700100000,13397000000,13803300000,14385700000,26183000000,25927000000,24408000000,23763000000,83790000000,83829000000,82920000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,12970000,14194000,164200000,209700000,158400000,148200000,152700000,156800000,134800000,85800000,104000000,109000000,7000000,16000000,13000000,11000000
70,Total Liabilities & Equity,- -,- -,- -,697573000,702141000,785047000,922209000,972435000,7630560000,9794583000,7514000000,13997600000,14161800000,13848300000,13549700000,13960100000,14520500000,26268800000,26031000000,24517000000,23770000000,83806000000,83842000000,82931000000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1136893/000104746903005642/0001047469-03-005642-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000119312504024670/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000119312505048033/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000095013406005253/a18325e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000089256907000185/a27617e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000089256908000207/a38312e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000095014409001697/0000950144-09-001697-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000095012310017631/0000950123-10-017631-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000095012311018522/fis12311010k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000017/0001136893-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689313000011/0001136893-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689314000009/fis-10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689315000006/a10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689316000061/0001136893-16-000061-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689317000008/0001136893-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689318000011/0001136893-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689319000008/0001136893-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689320000032/0001136893-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689321000025/0001136893-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000038/0001136893-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,74629000,88462000,87076000,89984000,92402000,111810000,130319000,259087000,561222000,214800000,105900000,404500000,469600000,461200000,493100000,679100000,631500000,568000000,1319000000,846000000,298000000,158000000,417000000
74,Depreciation and Amortization,- -,35758000,42698000,46353000,39050000,47468000,53743000,64064000,433550000,527465000,482200000,434000000,619500000,637200000,632800000,614600000,626300000,669500000,1174000000,1391000000,1420000000,2444000000,3714000000,4015000000
75,Deferred Income Tax,- -,- -,- -,6771000,6849000,13602000,-3706000,1981000,18842000,17935000,35600000,26400000,-55700000,-6300000,-40900000,1500000,-5500000,48000000,-164000000,-985000000,-116000000,-109000000,-206000000,-81000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,58700000,64700000,83800000,53400000,55700000,97900000,137000000,107000000,84000000,402000000,283000000,383000000
77,Change in Working Capital,- -,- -,- -,60970000,100000,16465000,40844000,92961000,208684000,155257000,-247681000,103800000,-44300000,-59300000,259600000,91800000,195000000,273300000,-16500000,-1448000000,925000000,-2298000000,-773000000,-464000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92700000,-21300000,-31000000,-68000000,-56100000,-115200000,-102800000,57000000,-167000000,78000000,-161000000,-75000000,-552000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79500000,161500000,-9800000,27800000,95000000,115000000,-162000000,-74000000,217000000,391000000
81,Other Working Capital,- -,- -,- -,60970000,61070000,77535000,118379000,211340000,420024000,575281000,327600000,431400000,387100000,327800000,587400000,679200000,874200000,1147500000,1131000000,-317000000,608000000,-1690000000,-2463000000,223000000
82,Other Non-Cash Items,- -,35833000,-131160000,-98294000,-9328000,-31841000,-57874000,-160510000,-425450000,-798327000,111481000,-27000000,88600000,65600000,-349800000,-194100000,-385700000,-583300000,226500000,1357000000,-1166000000,1673000000,1266000000,540000000
83,Cash Provided by Operating Activities,- -,146220000,- -,102876000,126655000,138096000,144817000,128815000,494713000,463552000,596400000,714100000,1071300000,1171500000,1046700000,1060300000,1164900000,1136900000,1925000000,1741000000,1993000000,2410000000,4442000000,4810000000
84,CAPEX,- -,-50111000,-38789000,-49349000,-48961000,-43955000,-40908000,-63566000,-300197000,-343299000,-255400000,-212500000,-314000000,-300300000,-296100000,-336200000,-371200000,-415300000,-616000000,-613000000,-622000000,-828000000,-1129000000,-1251000000
85,Acquisitions Net,- -,- -,- -,-79038000,-10433000,-4521000,-39721000,-1000000,110953000,-1729013000,-19900000,435900000,-403200000,-20200000,-63600000,-150500000,-595200000,-1720400000,- -,- -,-16000000,-6583000000,-469000000,-397000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,430157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,60000000,- -,96235000,27900000,-134600000,-108200000,-155100000,164100000,-182500000,-240900000,-44300000,-474000000,835000000,-525000000,-718000000,-182000000,-1054000000
89,Cash Used for Investing Activites,- -,- -,- -,-128387000,-59394000,-48476000,-80629000,-4566000,-189244000,-1545920000,-273100000,248800000,-644200000,-299200000,-23200000,-464700000,-984600000,-1898000000,-619000000,690000000,-668000000,-7501000000,-914000000,-1771000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5608100000,-9153400000,-9961200000,-11587400000,-10421800000,-7364200000,-11560600000,-8749000000,-11689000000,-26148000000,-24672000000,-49067000000,-53440000000
91,Common Stock Issued,- -,- -,- -,3992000,15935000,5502000,11291000,24911000,70403000,57698000,19200000,241700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-2353000,-79554000,-73550000,-96502000,- -,-160453000,-80339000,-236100000,- -,-2545500000,-364200000,-511300000,-475900000,-521900000,-320400000,-40000000,-153000000,-1255000000,-453000000,-112000000,-2114000000
93,Dividends Paid,- -,- -,- -,- -,- -,-3242000,-12633000,-12509000,-38253000,-38671000,-38200000,-49700000,-76000000,-60400000,-234800000,-256300000,-275100000,-304700000,-341000000,-385000000,-421000000,-656000000,-868000000,-961000000
94,Other Financing Activites,- -,- -,- -,23232000,-16159000,-18102000,47449000,-39384000,-100250000,1285708000,-183300000,4646100000,11255900000,9601100000,11412700000,10608000000,7963100000,13200400000,7821000000,9747000000,26588000000,33362000000,47296000000,53977000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,24871000,-79778000,-89392000,-50395000,-26982000,-228553000,1224396000,-438400000,-770000000,-519000000,-784700000,-920800000,-546000000,-198100000,1014700000,-1309000000,-2480000000,-1236000000,7581000000,-2751000000,-2538000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1480000,-991000,7886000,-390000,-1089000,1685000,1497000,-19300000,17100000,-1000000,-10100000,-600000,-19700000,-36900000,-58800000,4000000,31000000,-51000000,18000000,42000000,-248000000
97,Net Change In Cash,- -,- -,- -,-2120000,-13508000,8114000,13403000,96178000,78601000,143525000,-134400000,210000000,-92900000,77500000,102100000,29900000,-54700000,194800000,1000000,-18000000,38000000,2508000000,819000000,253000000
98,Cash at the End of Period,- -,- -,- -,27674000,14166000,22280000,41801000,137979000,211753000,355278000,220900000,430900000,338000000,415500000,517600000,547500000,492800000,687600000,683000000,665000000,703000000,3211000000,4030000000,4283000000
99,Cash at the Beginning of Period,- -,- -,- -,29794000,27674000,14166000,28398000,41801000,133152000,211753000,355300000,220900000,430900000,338000000,415500000,517600000,547500000,492800000,682000000,683000000,665000000,703000000,3211000000,4030000000
100,Free Cash Flow,- -,96109000,- -,53527000,77694000,94141000,103909000,65249000,194516000,120253000,341000000,501600000,757300000,871200000,750600000,724100000,793700000,721600000,1309000000,1128000000,1371000000,1582000000,3313000000,3559000000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136893/000104746903005642/0001047469-03-005642-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000119312504024670/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000119312505048033/d10k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000095013406005253/a18325e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000089256907000185/a27617e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000089256908000207/a38312e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136893/000095014409001697/0000950144-09-001697-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000095012310017631/0000950123-10-017631-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000095012311018522/fis12311010k.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689312000017/0001136893-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689313000011/0001136893-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689314000009/fis-10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689315000006/a10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689316000061/0001136893-16-000061-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689317000008/0001136893-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689318000011/0001136893-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689319000008/0001136893-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689320000032/0001136893-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1136893/000113689321000025/0001136893-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1136893/000113689322000038/0001136893-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
