,https://roic.ai/company/ATHX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-31223000,- -,-12697000,-1511,-17432000,-17680000,-14828000,-11093000,-13468000,-14415000,-30397000,-21975000,-16193000,-14992000,-31557000,-23428000,-43884000,-77875000,-87058
16,EBITDA ratio,-14.5088,- -,-3.5309,-Infinity,-5.3472,-5.6940,-6.8680,-1.2410,-1.3020,-1.6554,-12.4680,-13.5397,-1.3553,-0.8642,-8.5105,-0.9645,-7.7905,-54.0799,-15.7885
17,Operating Income,-34784000,- -,-13970000,-1511,-20815000,-19092000,-15615000,-11511000,-13780000,-16001000,-24457000,-29012000,-17171000,-15026000,-33283000,-25045000,-45488000,-78332000,-87058000
18,Operating Income ratio,-16.1636,- -,-3.8849,-Infinity,-6.3850,-6.1488,-7.2325,-1.2877,-1.3322,-1.8375,-10.0316,-17.8755,-1.4371,-0.8662,-8.9760,-1.0310,-8.0753,-54.3972,-15788.5383
19,Total Other Income Expenses (Gains),-1076000,- -,-233000,- -,1561000,48000,-126000,-69000,-51000,1266000,-6286000,6677000,711000,-348000,1042000,762000,906000,-433000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14735000,-30743000,-22335000,-16460000,-15374000,-32241000,-24283000,-44582000,-78765000,- -
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.6921,-12.6099,-13.7616,-1.3776,-0.8863,-8.6950,-0.9997,-7.9144,-54.6979,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-253000,-38000,-37000,- -,- -,- -,- -,- -
23,Net Income,-33161000,- -,-14599000,-1511,-18926000,-17992000,-15366000,-11377000,-13746000,-14735000,-30743000,-22082000,-16422000,-15337000,-32241000,-24283000,-44582000,-78765000,- -
24,Net Income ratio,-15.4094,- -,-4.0598,-Infinity,-5.8055,-5.7945,-7.1172,-1.2727,-1.3289,-1.6921,-12.6099,-13.6057,-1.3745,-0.8841,-8.6950,-0.9997,-7.9144,-54.6979,- -
25,EPS,-218.60,- -,-96.51,-0.07,-2.26,-0.95,-0.81,-0.60,-0.59,-0.45,-0.53,-0.29,-0.20,-0.18,-0.29,-0.18,-0.29,-0.42,- -
26,EPS Diluted,-218.60,- -,-96.51,-0.07,-2.26,-0.95,-0.81,-0.60,-0.59,-0.45,-0.53,-0.31,-0.20,-0.18,-0.29,-0.18,-0.29,-0.42,- -
27,Weighted Average Shares Outstanding,161593,179281,179281,299401,10811119,18927988,18928379,18929749,23239019,32556781,57674833,76954503,82144000,84715000,112053000,136641000,151696000,187472000,187472000
28,Weighted Average Shares Outstanding Diluted,161593,179281,179281,299401,10811119,18927988,18928379,18929749,23239019,32556781,57674833,78541447,82851000,84715000,112053000,136641000,151696000,187472000,187472000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368148/000095015208001952/0000950152-08-001952-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136231009003672/0001362310-09-003672-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000095012310023660/0000950123-10-023660-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000095012311028949/0000950123-11-028949-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312512134912/0001193125-12-134912-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312513103341/0001193125-13-103341-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312514097696/0001193125-14-097696-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312515089411/0001193125-15-089411-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312516500404/0001193125-16-500404-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312517078969/0001193125-17-078969-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312518084081/0001193125-18-084081-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000162828019002976/0001628280-19-002976-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814820000020/0001368148-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814821000037/0001368148-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814822000020/0001368148-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1530000,13248000,12552000,11167000,2105000,8785000,25533000,31948000,26127000,23027000,14753000,29316000,51059000,35041000,51546000,37407000
32,Short-Term Investments,18909000,- -,- -,- -,22477000,15460000,10135000,13076000,3999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18909000,- -,- -,1530000,35725000,28012000,21302000,15181000,12784000,25533000,31948000,26127000,23027000,14753000,29316000,51059000,35041000,51546000,37407000
34,Net Receivables,- -,- -,- -,- -,1161000,683000,674000,2505000,689000,490000,520000,694000,361000,598000,739000,4990000,962000,89000,1414000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1000,1000,- -,557000,408000,173000,258000,933000,286000,387000,427000,429000,929000,1135000,1791000,1168000,2926000,7206000
37,Total Current Assets,- -,1000,1000,- -,37443000,29103000,22149000,17944000,14406000,26309000,32855000,27248000,23817000,16280000,31190000,57840000,37171000,54561000,46027000
38,PP&E,- -,- -,- -,- -,387000,701000,849000,955000,1267000,1294000,1333000,1270000,1135000,2605000,2206000,3002000,2882000,3155000,12652000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,3917000,215000,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,177000,175000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1510000,14395000,156000,5118000,38000,28000,- -,- -,- -,- -,- -,197000,888000,1613000,1998000,1505000
45,Total Non-Current Assets,- -,- -,- -,1510000,14782000,4774000,6182000,1162000,1295000,1294000,1333000,1470000,1312000,2780000,2403000,3890000,4495000,5153000,14157000
46,Other Assets,30503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30503000,1000,1000,- -,52225000,33877000,28331000,19106000,15701000,27603000,34188000,28718000,25129000,19060000,33593000,61730000,41666000,59714000,60184000
48,Accounts Payable,- -,- -,- -,- -,1011000,1498000,1128000,1498000,2301000,1767000,2243000,2767000,2702000,4761000,4469000,9163000,10116000,13042000,15781000
49,Short-Term Debt,- -,- -,- -,- -,1784000,- -,- -,- -,- -,- -,- -,- -,190000,- -,- -,- -,- -,- -,1011000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,6639000,5541000,3140000,- -,86000,75000,245000,- -,771000,2674000,65000,65000,3340000
52,Other Current Liabilities,- -,- -,- -,511,1799000,816000,-1909000,1799000,1979000,2711000,2039000,1850000,1619000,2114000,4843000,3638000,2656000,9847000,9729000
53,Total Current Liabilities,- -,- -,- -,511,4594000,2314000,5858000,8838000,7420000,4478000,4368000,4692000,4756000,6875000,10083000,15475000,12837000,22954000,29861000
54,Long-Term Debt,578000,- -,- -,- -,- -,- -,- -,- -,- -,169000,176000,183000,839000,1004000,- -,- -,- -,- -,8755000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,3516000,1263000,- -,- -,- -,- -,- -,- -,134000,3139000,5338000,5201000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,18400000,1784000,- -,- -,- -,983000,2709000,9823000,2948000,-190000,- -,- -,- -,220000,197000,5199000
58,Total Non-Current Liabilities,578000,- -,- -,18400000,1784000,- -,3516000,1263000,983000,2878000,9999000,3131000,649000,1004000,134000,3139000,5558000,5398000,13954000
59,Other Liabilities,16130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,15552000,- -,- -,511,4594000,2314000,9374000,10101000,8403000,7356000,14367000,7823000,5405000,7879000,10217000,18614000,18395000,28352000,43815000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500,500,500,19000,19000,19000,19000,24000,53000,71000,78000,84000,87000,122000,144000,160000,202000,243000
64,Retained Earnings,- -,- -,- -,-1511,-160479000,-178471000,-193837000,-205214000,-218960000,-233695000,-264438000,-286520000,-302942000,-318279000,-350630000,-373042000,-417624000,-496389000,-583344000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,52000,120000,71000,26000,28000,- -,-8184000,-7741000,-7788000,-7596000,-7458000,-8307000,-8891000,- -,- -
66,Other Total Stockholders Equity,14951000,500,500,500,208039000,209895000,212704000,214174000,226206000,253889000,292372000,315078000,330370000,336969000,381342000,424321000,449626000,527549000,599470000
67,Total Stockholders Equity,14951000,1000,1000,-511,47631000,31563000,18957000,9005000,7298000,20247000,19821000,20895000,19724000,11181000,23376000,43116000,23271000,31362000,16369000
68,Total Liabilities And Stockholders Equity,30503000,- -,- -,- -,52225000,33877000,28331000,19106000,15701000,27603000,34188000,28718000,25129000,19060000,33593000,61730000,41666000,59714000,60184000
69,Minority Interest,- -,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30503000,1000,1000,- -,52225000,33877000,28331000,19106000,15701000,27603000,34188000,28718000,25129000,19060000,33593000,61730000,41666000,59714000,60184000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368148/000095015208001952/0000950152-08-001952-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136231009003672/0001362310-09-003672-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000095012310023660/0000950123-10-023660-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000095012311028949/0000950123-11-028949-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312512134912/0001193125-12-134912-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312513103341/0001193125-13-103341-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312514097696/0001193125-14-097696-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312515089411/0001193125-15-089411-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312516500404/0001193125-16-500404-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312517078969/0001193125-17-078969-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312518084081/0001193125-18-084081-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000162828019002976/0001628280-19-002976-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814820000020/0001368148-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814821000037/0001368148-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814822000020/0001368148-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-14599000,-1511,-18926000,-17992000,-15366000,-11377000,-13746000,-14735000,-30743000,-22082000,-16422000,-15337000,-32241000,-24283000,-44582000,-78765000,- -
74,Depreciation and Amortization,- -,- -,938000,- -,231000,218000,538000,284000,278000,320000,346000,360000,267000,382000,684000,855000,698000,890000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,2000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,1856000,2808000,1466000,552000,481000,1523000,2605000,2929000,2868000,3044000,3849000,4851000,7379000,- -
77,Change in Working Capital,- -,- -,- -,-1511,32849511,-6060000,-10498000,-7185000,-2120000,14845000,6656000,-5931000,-3495000,-9656000,11702000,21258000,-18031000,7273000,-15441000
78,Accounts Receivable,- -,- -,- -,- -,- -,618000,-92000,-1976000,1639000,199000,-30000,-174000,333000,-237000,-141000,-4221000,4028000,856000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-768000,10093000,- -
81,Other Working Capital,- -,1000,1000,-511,32849000,26789000,16291000,9106000,6986000,21831000,28487000,22556000,19061000,9405000,21107000,42365000,24334000,31607000,16166000
82,Other Non-Cash Items,- -,- -,1543000,1511,-26220511,6267000,17899000,6221000,547000,-18576000,-566000,-743000,2934000,10810000,-7207000,-15029000,21738000,1413000,15441000
83,Cash Provided by Operating Activities,- -,- -,-12118000,-1511,-12066000,-15711000,-4619000,-10591000,-14489000,-17665000,-22784000,-25791000,-13764000,-10931000,-24018000,-13350000,-35326000,-61810000,- -
84,CAPEX,- -,- -,-239000,- -,-161000,-532000,-381000,-390000,-590000,-347000,-385000,-297000,-132000,-1711000,-285000,-1532000,-579000,-1162000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-5006000,- -,-46316000,-26594000,-11692000,-8834000,-12508000,- -,- -,- -,- -,-16343000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,15563000,- -,10100000,43917000,15300000,10753000,21672000,4237000,- -,- -,- -,16305000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,23000,- -,- -,24000,7000,- -,- -,- -,- -,- -,- -,682000,- -,617000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,10341000,- -,-36377000,16815000,3234000,1529000,8574000,3890000,-385000,-297000,-132000,-1067000,-285000,-915000,-579000,-1162000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,3000,- -,58495000,- -,- -,- -,12595000,30357000,29454000,19621000,10310000,4028000,37287000,36410000,20311000,80356000,- -
92,Common Stock Repurchased,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -,-272000,-292000,-490000,-467000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-199000,1511,1668000,- -,- -,- -,- -,166000,402000,938000,976000,163000,1579000,-402000,-424000,-879000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-446000,1511,60163000,-1800000,- -,- -,12595000,30523000,29584000,20267000,10796000,3724000,38866000,36008000,19887000,79477000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-2223000,- -,11720000,-696000,-1385000,-9062000,6680000,16748000,6415000,-5821000,-3100000,-8274000,14563000,21743000,-16018000,16505000,- -
98,Cash at the End of Period,- -,- -,1080000,- -,13248000,12552000,11167000,2105000,8785000,25533000,31948000,26127000,23027000,14753000,29316000,51059000,35041000,51546000,- -
99,Cash at the Beginning of Period,- -,- -,3303000,- -,1528000,13248000,12552000,11167000,2105000,8785000,25533000,31948000,26127000,23027000,14753000,29316000,51059000,35041000,51546000
100,Free Cash Flow,- -,- -,-12357000,-1511,-12227000,-16243000,-5000000,-10981000,-15079000,-18012000,-23169000,-26088000,-13896000,-12642000,-24303000,-14882000,-35905000,-62972000,- -
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1368148/000095015208001952/0000950152-08-001952-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136231009003672/0001362310-09-003672-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000095012310023660/0000950123-10-023660-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000095012311028949/0000950123-11-028949-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312512134912/0001193125-12-134912-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312513103341/0001193125-13-103341-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312514097696/0001193125-14-097696-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312515089411/0001193125-15-089411-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312516500404/0001193125-16-500404-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312517078969/0001193125-17-078969-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000119312518084081/0001193125-18-084081-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000162828019002976/0001628280-19-002976-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814820000020/0001368148-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814821000037/0001368148-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1368148/000136814822000020/0001368148-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,,
