,https://roic.ai/company/OKE,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122740000,-210393000,-256448000,-94060000,-346064000,-395978000,-389548000,1174423000,69808000,-816162000,-750448000,-772067000,-927363000,-48334000,-325605000,-1085101000,-663056000,-1407017000,-902877000,-709804000,-549964000,525228000,-48629000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54400000,82000000,54300000,95800000,252354000,52047000,-179284000,214908000,317546000,31810000,-78693000,-749006000,-1112277000,1764337000,884547000,570677000,47037000,519327000,-850647000,723419000,1242007000,-168834000,1099750000,-447083000,20712000,-378049000,-554325000,94581000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80300000,109500000,105100000,152100000,346526000,-7032000,-95187000,405351000,812281000,4082000,204809000,-179659000,873390000,1029660000,475677000,1452694000,834042000,1359972000,990943000,1294767000,1285610000,1006980000,1351614000,1315412000,2186719000,1946779000,1899068000,2546272000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73900000,-81000000,-89600000,-90500000,-301515000,-92165000,-311403000,-341567000,-210652000,-215148000,-264110000,-250493000,-376306000,-883703000,-1473136000,-791245000,-582748000,-1336067000,-1866153000,-2256585000,-1779150000,-1188312000,-624634000,-512393000,-2141475000,-3848349000,-2195381000,-696854000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24421000,- -,-494904000,-16015000,-4036000,-690302000,-176709000,-1327907000,-149006000,-299560000,2450000,- -,-1331000,-64491000,-30768000,-430197000,-815997000,-27540000,-68275000,-87861000,-1748000,-4028000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23864000,-59772000,- -,- -,-12031000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,- -,- -,- -,- -,- -,7425000,57461000,- -,- -,- -,1334000,31125000,- -,4500000,17847000,23644000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,6800000,17600000,1700000,26222000,994000,60727000,9105000,82012000,282627000,18424000,1068851000,346399000,354000,16385000,-780263000,-150872000,-1330779000,-1783431000,-2211834000,-1750226000,-1163179000,-547170000,-479772000,-2113140000,-3764730000,-2270529000,-665292000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68400000,-63300000,-72000000,-88800000,-299714000,-91171000,-745580000,-341052000,-75215000,-622823000,-422395000,-533413000,-237351000,-1151784000,-1454301000,-787794000,-134356000,-1371626000,-1814199000,-2642031000,-2566223000,-1190719000,-615445000,-567633000,-2114888000,-3768758000,-2270529000,-665292000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1507105000,-262715000,-442435000,-386276000,-260576000,-557679000,-7753000,-1108040000,-994776000,-932650000,-1057348000,-1457222000,-604894000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,6257000,- -,- -,10661000,3673000,237028000,189777000,16372000,10829000,20730000,163464000,258959000,343613000,17906000,475556000,604531000,1132289000,396329000,21971000,471358000,1203981000,29040000,969759000,32791000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9500000,- -,-39610000,-453000,- -,- -,-350000000,-823000,-228149000,-281444000,-390213000,-29000,-254000,-7000,-300108000,-150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-30500000,-27900000,-28000000,-54803000,-28060000,-70475000,-73841000,-74301000,-70963000,-89229000,-110157000,-135451000,-150188000,-162785000,-172774000,-193542000,-227020000,-261969000,-304742000,-443817000,-509197000,-517601000,-829414000,-1335058000,-1457628000,-1605366000,-1667431000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,-7800000,-17100000,-19300000,-12557000,161543000,911872000,26861000,-621145000,741326000,115147000,1033463000,-212710000,592632000,1468927000,275615000,-585400000,1007089000,1654751000,873746000,1173706000,229210000,1018878000,393371000,966678000,4316898000,2967828000,-19551000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,-38300000,-45000000,-49400000,-61103000,93873000,840944000,-36319000,-691773000,557391000,214872000,711529000,-618776000,72961000,1469577000,-1145559000,-698051000,55432000,1332062000,912959000,1304499000,108589000,-584792000,-959461000,-97049000,1830962000,874999000,-2259085000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5200000,8000000,-11900000,13800000,-14291000,-4330000,177000,27980000,45293000,-61350000,-2714000,-1543000,60353000,-49163000,490953000,-480659000,1635000,35612000,517665000,-434305000,27247000,-75193000,151256000,-211682000,-25218000,8983000,503538000,-378105000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,12500000,600000,14400000,86000,72000,249000,28229000,73522000,12172000,9458000,7915000,68268000,19105000,510058000,29399000,31034000,65953000,583618000,149313000,172812000,97619000,248875000,37193000,11975000,20958000,524496000,146391000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,4500000,12500000,600000,14377000,4402000,72000,249000,28229000,73522000,12172000,9458000,7915000,68268000,19105000,510058000,29399000,30341000,65953000,583618000,145565000,172812000,97619000,248875000,37193000,11975000,20958000,524496000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,28500000,15500000,61600000,45011000,-99197000,-406590000,63784000,601629000,-211066000,-59301000,-430152000,497084000,145957000,-997459000,661449000,251294000,23905000,-875210000,-961818000,-493540000,-181332000,726980000,803019000,45244000,-1901570000,-296313000,1849418000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039684/000093066101000672/0000930661-01-000672-index.html,- -,https://www.sec.gov/Archives/edgar/data/1039684/000093066103000949/0000930661-03-000949-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312504033606/0001193125-04-033606-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312505044590/0001193125-05-044590-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000119312506051266/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000119312507042960/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000119312508040037/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968409000010/0001039684-09-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1039684/000103968413000024/0001039684-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968414000019/oke10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968415000017/oke10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968416000113/0001039684-16-000113-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968417000019/0001039684-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968418000021/0001039684-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968419000016/0001039684-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968420000012/0001039684-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1039684/000103968421000015/0001039684-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968422000015/0001039684-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
