,https://roic.ai/company/DIN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0319,0.0503,0.0805,0.0751,0.1007,0.0986,0.0978,0.0970,0.1019,0.1175,0.1165,0.1242,0.1116,0.0909,0.0931,0.1262,0.1275,-0.0010,-0.0957,0.0222,-0.0021,0.0699,0.1502,0.1125,0.0557,0.1540,0.1546,-0.5465,0.1029,0.1146,-0.1509,0.1092
25,EPS,0.14,0.18,0.22,0.30,0.41,0.43,0.97,1.09,1.33,1.61,1.77,1.98,1.95,1.72,1.62,2.26,2.46,-0.13,-10.09,0.55,-1.74,3.96,6.81,3.75,1.92,5.55,5.36,-18.28,4.43,5.95,-6.43,5.69
26,EPS Diluted,0.14,0.18,0.22,0.29,0.40,0.42,0.97,1.07,1.30,1.58,1.74,1.94,1.92,1.70,1.61,2.24,2.43,-0.13,-10.09,0.55,-1.74,3.89,6.63,3.70,1.90,5.52,5.33,-18.28,4.37,5.85,-6.43,5.66
27,Weighted Average Shares Outstanding,10760000,17746000,17944000,18208000,18366000,18752000,19046000,19192000,19658000,19983000,20017000,20398000,20946000,21424000,20606000,19405000,18085000,17232000,16764000,16917000,17240000,17846000,17992000,18871000,18753000,18637000,18030000,17725000,17533000,16934000,16230000,16799000
28,Weighted Average Shares Outstanding Diluted,10760000,17746000,17944000,18208000,18366000,18752000,19046000,19486000,20032000,20358000,20263000,20762000,21269000,21614000,20791000,19603000,18298000,17232000,16764000,16917000,17240000,18185000,18877000,19141000,18956000,18768000,18125000,17740000,17789000,17245000,16230000,16890000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49754/000091205702009419/0000912057-02-009419-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746903010657/0001047469-03-010657-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746904007675/0001047469-04-007675-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465905014802/0001104659-05-014802-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465906016928/0001104659-06-016928-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465907015373/0001104659-07-015373-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746908001872/0001047469-08-001872-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746909001874/0001047469-09-001874-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746910001766/0001047469-10-001766-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746911001735/0001047469-11-001735-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975412000005/0000049754-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975413000003/0000049754-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975414000004/0000049754-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975415000004/0000049754-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975416000018/0000049754-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975417000003/0000049754-17-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/49754/000004975419000004/0000049754-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975420000007/0000049754-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975421000007/0000049754-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975422000008/0000049754-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1600000,2700000,5700000,1200000,2000000,3900000,8700000,6000000,8600000,4200000,7208000,6252000,98739000,27996000,44031000,23111000,19516000,26838000,114443000,82314000,102309000,60691000,64537000,106011000,104004000,144785000,140535000,117010000,137164000,116043000,383369000,361412000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45537000,14504000,- -,- -,300000,276000,8765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1600000,2700000,5700000,1200000,2000000,3900000,8700000,6000000,8600000,4200000,7208000,6252000,98739000,73533000,58535000,23111000,19516000,27138000,114719000,91079000,102309000,60691000,64537000,106011000,104004000,144785000,140535000,117010000,137164000,116043000,383369000,361412000
34,Net Receivables,9300000,10400000,12500000,14900000,16800000,21500000,29300000,30500000,28500000,35300000,39600000,47451000,54714000,47116000,44403000,43690000,45571000,115335000,117930000,104690000,98776000,115667000,128610000,144137000,153498000,139206000,141389000,150174000,137504000,136869000,121897000,119968000
35,Inventory,500000,600000,800000,1000000,800000,800000,1200000,1400000,1200000,1200000,691000,837000,889000,556000,148000,537000,396000,13280000,10959000,12236000,10757000,12031000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1600000,2200000,2700000,2800000,1600000,1300000,2100000,2900000,2500000,7200000,3603000,4620000,4759000,5876000,3528000,3172000,12910000,277925000,155521000,129139000,139260000,88558000,101308000,81434000,155382000,88718000,84224000,128430000,107522000,94005000,81240000,92973000
37,Total Current Assets,13000000,15900000,21700000,19900000,21200000,27500000,41300000,40800000,40800000,47900000,51102000,59160000,159101000,127081000,106614000,70510000,78393000,433678000,399129000,337144000,351102000,276947000,294455000,331582000,412884000,372709000,366148000,395614000,382190000,346917000,586506000,574353000
38,PP&E,27600000,36200000,52100000,63100000,69600000,87800000,120900000,142800000,161700000,177700000,193624000,238026000,286226000,314221000,326848000,317959000,309737000,1139616000,824482000,771372000,612175000,474154000,294400000,274300000,241200000,219600000,205100000,199600000,240300000,583331000,534086000,514839000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10767000,10767000,10767000,10767000,10767000,10767000,730728000,697470000,697470000,697470000,697470000,697470000,697470000,697470000,697470000,697470000,339236000,345300000,343900000,251600000,251628000
40,Intangible Assets,15700000,15300000,14900000,14200000,13800000,13300000,12900000,12500000,12100000,11600000,11196000,- -,- -,- -,- -,- -,- -,1011457000,956036000,849552000,835879000,822361000,806093000,794100000,782000000,772900000,763400000,582800000,585900000,575100000,549100000,539390000
41,Intangible Assets,15700000,15300000,14900000,14200000,13800000,13300000,12900000,12500000,12100000,11600000,11196000,10767000,10767000,10767000,10767000,10767000,10767000,1742185000,1653506000,1547022000,1533349000,1519831000,1503563000,1491570000,1479470000,1470370000,1460870000,922036000,931200000,919000000,800700000,791018000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76228000
44,Other Non-Current Assets,37400000,45400000,61100000,82800000,98000000,123500000,153800000,186500000,231300000,283200000,306290000,333476000,363706000,390935000,377448000,371844000,369973000,515683000,484100000,445330000,360015000,343362000,322982000,307190000,314189000,269142000,246465000,233018000,220990000,200263000,153077000,- -
45,Total Non-Current Assets,80700000,96900000,128100000,160100000,181400000,224600000,287600000,341800000,405100000,472500000,511110000,582269000,660699000,715923000,715063000,700570000,690477000,3397484000,2962088000,2763724000,2505539000,2337347000,2120945000,2073060000,2034859000,1959112000,1912435000,1354654000,1392490000,1702594000,1487863000,1382085000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,93700000,112800000,149800000,180000000,202600000,252100000,328900000,382600000,445900000,520400000,562212000,641429000,819800000,843004000,821677000,771080000,768870000,3831162000,3361217000,3100868000,2856641000,2614294000,2415400000,2404642000,2447743000,2331821000,2278583000,1750240000,1774680000,2049511000,2074369000,1956438000
48,Accounts Payable,8400000,7800000,10400000,9200000,10700000,16000000,17500000,20600000,22600000,18000000,20588000,16666000,24079000,13840000,17133000,15083000,14689000,99019000,48983000,31729000,32724000,29013000,30751000,40050000,41771000,55019000,50503000,55028000,43468000,40925000,37424000,55956000
49,Short-Term Debt,6800000,2100000,800000,100000,100000,5400000,5600000,6000000,6800000,10700000,10817000,11875000,8554000,8887000,9869000,24055000,24740000,- -,15000000,25200000,9000000,20900000,18298000,16967000,14852000,14320000,13144000,27158000,39031000,86484000,93965000,72079000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10529000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76802000,95532000,105465000,- -,- -,161689000,171955000,179760000,167657000,170812000,164441000,170576000,169105000,7682000,7246000
52,Other Current Liabilities,4500000,5200000,6900000,7300000,6400000,7300000,12000000,12700000,13800000,17500000,18568000,15988000,20931000,22646000,23351000,22657000,24676000,205519000,123199000,95573000,223358000,207731000,57022000,55301000,76666000,61433000,51853000,49075000,63111000,61398000,209497000,275449000
53,Total Current Liabilities,19700000,15100000,18100000,16600000,17200000,28700000,35100000,39300000,43200000,46200000,49973000,44529000,53564000,45373000,50353000,61795000,64105000,381340000,282714000,257967000,265082000,257644000,267760000,284273000,313049000,298429000,286312000,295702000,316186000,357912000,348568000,410730000
54,Long-Term Debt,50700000,39400000,55300000,67900000,79300000,93600000,139400000,158200000,180100000,207900000,205659000,50209000,145768000,139615000,133768000,114210000,94468000,2263887000,1853367000,1637198000,1631469000,1411448000,1202063000,1203517000,1300000000,1279500000,1282700000,1370944000,1274087000,1288248000,1938972000,1279623000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64557000,56944000,52237000,76228000
56,Deferred Tax Liabilities,8300000,9600000,18400000,24400000,17700000,21500000,25100000,28900000,34700000,39800000,46585000,59084000,69606000,72225000,65185000,61414000,76017000,504865000,395448000,369127000,375697000,383810000,362171000,341578000,319111000,269469000,253898000,138177000,105816000,98499000,78293000,76228000
57,Other Non-Current Liabilities,100000,- -,- -,-100000,100000,- -,-100000,- -,- -,- -,- -,175177000,186473000,203431000,232607000,239815000,245067000,471697000,786921000,766672000,500814000,406172000,274601000,260095000,236875000,217229000,202901000,92115000,216307000,489682000,11526000,399364000
58,Total Non-Current Liabilities,59100000,49000000,73700000,92200000,97100000,115100000,164400000,187100000,214800000,247700000,252244000,284470000,401847000,415271000,431560000,415439000,415552000,3240449000,3035736000,2772997000,2507980000,2201430000,1838835000,1805190000,1855986000,1766198000,1739499000,1601236000,1660767000,1933373000,2081028000,1831443000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171170000,177664000,173925000,172681000,170412000,168242000,161310000,152758000,381842000,147887000,187302000,172797000,155495000,141496000,127308000,115288000,140275000,560584000,527937000,- -
61,Total Liabilities,78800000,64100000,91800000,108800000,114300000,143800000,199500000,226400000,258000000,293900000,302217000,328999000,455411000,460644000,481913000,477234000,479657000,3621789000,3318450000,3030964000,2773062000,2459074000,2106595000,2089463000,2169035000,2064627000,2025811000,1896938000,1976953000,2291285000,2429596000,2242173000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,37332000,39623000,42055000,44508000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,203000,209000,214000,220000,223000,225000,227000,230000,237000,238000,243000,247000,254000,253000,252000,252000,251000,250000,250000,249000,249000,250000
64,Retained Earnings,6400000,10700000,18600000,29400000,44500000,60600000,79200000,100200000,126300000,158300000,193632000,233920000,274768000,295448000,308173000,332560000,358975000,338790000,145810000,155397000,124250000,196869000,322045000,336578000,313644000,351923000,382082000,-1098000,10414000,61653000,-55553000,35415000
65,Other Comprehensive Income/Loss,-8300000,-9400000,-10600000,-12700000,-16900000,-21000000,-24900000,-31600000,-37700000,-45500000,-54029000,-56430000,884000,1474000,486000,-952000,-133000,-36738000,-29408000,-20811000,-282000,-294000,-152000,-164000,-73000,-107000,-107000,-105000,-60000,-58000,-55000,-59000
66,Other Total Stockholders Equity,16800000,47400000,50000000,54500000,60700000,68700000,75100000,87600000,99300000,113500000,120189000,134731000,88523000,85218000,30882000,-37987000,-69856000,-92944000,-111204000,-104543000,-82687000,-86110000,-13342000,-21488000,-34750000,-84845000,-129454000,- -,-212877000,-303618000,-299292000,- -
67,Total Stockholders Equity,14900000,48700000,58000000,71200000,88300000,108300000,129400000,156200000,187900000,226500000,259995000,312430000,364389000,382360000,339764000,293846000,289213000,209373000,42767000,69904000,83579000,155220000,308805000,315179000,279073000,267223000,252772000,-146698000,-202273000,-241774000,-354651000,-242807000
68,Total Liabilities And Stockholders Equity,93700000,112800000,149800000,180000000,202600000,252100000,328900000,382600000,445900000,520400000,562212000,641429000,819800000,843004000,821677000,771080000,768870000,3831162000,3361217000,3100868000,2856641000,2614294000,2415400000,2404642000,2448108000,2331850000,2278583000,1750240000,1774680000,2049511000,2074945000,1999366000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365000,-29000,- -,- -,- -,- -,-576000,-42928000
70,Total Liabilities & Equity,93700000,112800000,149800000,180000000,202600000,252100000,328900000,382600000,445900000,520400000,562212000,641429000,819800000,843004000,821677000,771080000,768870000,3831162000,3361217000,3100868000,2856641000,2614294000,2415400000,2404642000,2447743000,2331821000,2278583000,1750240000,1774680000,2049511000,2074369000,1956438000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49754/000091205702009419/0000912057-02-009419-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746903010657/0001047469-03-010657-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746904007675/0001047469-04-007675-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465905014802/0001104659-05-014802-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465906016928/0001104659-06-016928-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000110465907015373/0001104659-07-015373-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746908001872/0001047469-08-001872-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746909001874/0001047469-09-001874-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746910001766/0001047469-10-001766-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000104746911001735/0001047469-11-001735-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975412000005/0000049754-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975413000003/0000049754-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975414000004/0000049754-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975415000004/0000049754-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975416000018/0000049754-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975417000003/0000049754-17-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/49754/000004975419000004/0000049754-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975420000007/0000049754-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975421000007/0000049754-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49754/000004975422000008/0000049754-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3100000,5300000,8000000,10700000,15100000,16200000,18600000,20900000,26100000,32100000,35338000,40288000,40848000,36782000,33421000,43937000,44553000,-480000,-154459000,31409000,-2788000,75192000,127674000,72037000,36453000,104923000,97992000,-330539000,80354000,104346000,-103994000,97864000
74,Depreciation and Amortization,4900000,4900000,5000000,5700000,6400000,6900000,8300000,10000000,11300000,12300000,13562000,14818000,15967000,18625000,18736000,20153000,20050000,31829000,112017000,65379000,61427000,50220000,39538000,35355000,34745000,32840000,30606000,30648000,32175000,42493000,42829000,39885000
75,Deferred Income Tax,1600000,1100000,2000000,2800000,4100000,5800000,4400000,3000000,4900000,6300000,6941000,9671000,10763000,3009000,-6000000,-3689000,6304000,-31324000,-65226000,-19875000,-15484000,18329000,-16018000,-18984000,-25920000,-12546000,-13302000,-145402000,-11847000,-5494000,-20049000,-2065000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12089000,10710000,13085000,9492000,11442000,9364000,9319000,8892000,10926000,10783000,10546000,10808000,12508000,11577000
77,Change in Working Capital,- -,7500000,2800000,-300000,700000,-5200000,7400000,-4700000,-3900000,4100000,-571000,13502000,90906000,-23829000,-25447000,-47546000,5573000,38050000,64077000,-37238000,6843000,-66717000,7392000,20614000,52526000,-25555000,5556000,20076000,-33908000,-76999000,248933000,-74315000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5239000,3178000,-8908000,3149000,-396000,-9750000,7301000
79,Inventory,100000,- -,-300000,-100000,100000,- -,-400000,-200000,200000,- -,532000,-146000,-52000,333000,408000,-389000,141000,512000,182000,-1474000,-263000,-3723000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23749000,-14867000,27000,-3533000,1778000,8532000,1245000,4546000,89000,7208000,-9940000,583000,6455000,13131000
81,Other Working Capital,-6700000,800000,3600000,3300000,4000000,-1200000,6200000,1500000,-2400000,1700000,1129000,14631000,105537000,81708000,56261000,8715000,14288000,52338000,116415000,79177000,86020000,19303000,26695000,47309000,99835000,74280000,79836000,99912000,66004000,-10995000,237938000,163623000
82,Other Non-Cash Items,1100000,-7600000,200000,-4300000,-2500000,7600000,-7100000,12400000,15500000,-4600000,12249000,-22576000,-80372000,36723000,46271000,42498000,-11621000,68248000,142341000,107463000,116199000,35170000,-117149000,9429000,11401000,26955000,-13668000,480167000,63026000,80026000,-83724000,122889000
83,Cash Provided by Operating Activities,10700000,11200000,18000000,14600000,23800000,31300000,31600000,41600000,53900000,50200000,67519000,55703000,78112000,71310000,66981000,55353000,64859000,106323000,110839000,157848000,179282000,121686000,52879000,127815000,118524000,135509000,118110000,65733000,140346000,155180000,96503000,195835000
84,CAPEX,-11400000,-14100000,-23700000,-29600000,-31100000,-42000000,-57200000,-59700000,-71800000,-72300000,-99378000,-119797000,-141740000,-80545000,-16631000,-7365000,-9426000,-11871000,-31765000,-15372000,-18677000,-26332000,-16952000,-7037000,-5937000,-6642000,-5637000,-13370000,-14279000,-19424000,-10927000,-16849000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1943567000,-10261000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20155000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-485000,- -,- -,- -,-4743000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31033000,13843000,- -,345000,- -,2528000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1200000,-800000,-200000,6500000,9600000,9900000,2900000,14400000,21800000,-4800000,-3892000,-2645000,170000,-44882000,23347000,17870000,18722000,17701000,81964000,31679000,72181000,128011000,182369000,14040000,16505000,31843000,18186000,21045000,19633000,19271000,29652000,20710000
89,Cash Used for Investing Activites,-12600000,-14900000,-23900000,-23100000,-21500000,-32100000,-54300000,-45300000,-50000000,-77100000,-103270000,-122442000,-141570000,-125427000,37264000,24348000,9296000,-1937392000,35195000,18835000,53504000,101679000,165417000,7003000,10568000,25201000,12549000,7675000,-14801000,-153000,18725000,3861000
