,https://roic.ai/company/MAYS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,23000000,22400000,21800000,1900000,3200000,2900000,2900000,2800000,3900000,3200000,3400000,2600000,3200000,3300000,3464370,3424135,4224344,3967688,4088628,4229093,4555499,4837247,5059389,5095686,5391258,5131404,5189697,5220665,5977481,6038216,5992121,6298776,6373834,7429483,6746640,6743695
11,COGS and Expenses,80600000,78200000,78100000,5300000,8600000,8300000,8000000,8300000,9200000,8700000,8900000,8300000,8400000,8400000,8780081,9309248,10249808,10882629,11804121,11550365,12410817,13424328,13945872,14319987,12974772,12968631,13233915,14042132,15606112,15696498,16073034,16511537,17448230,18660440,20771263,21050662
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7955,2557,3097,8422,13176,25414,56918,20446,850
13,Interest Expense (Gain),- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547100,- -,- -,- -,- -,762766,723747,652830,522764,426325,423015,315167,222509,225938,233474,200588,202521,265585
14,Depreciation and Amortization,1200000,1000000,900000,400000,500000,600000,800000,700000,1100000,1000000,1000000,1100000,1200000,1200000,1223998,1308195,1401560,1647138,1836580,1775578,2019110,2031854,1984291,1625016,1660684,1556788,1574913,1636561,1721850,1695454,1635660,1682690,1775690,1960994,1661280,1785468
15,EBITDA,200000,2900000,-700000,17400000,-600000,500000,2700000,3800000,900000,500000,900000,2400000,4100000,3100000,2986936,3384789,3774750,3626169,4306146,2466946,4411492,5852793,2013650,3871868,3296639,3311974,4899030,3244557,3425188,4932303,4171929,4815167,3739305,4266383,602796,2290085
16,EBITDA ratio,0.0026,0.0393,-0.0096,0.6517,-0.0909,0.0610,0.2903,0.3551,0.0947,0.0602,0.0968,0.2376,0.3445,0.2897,0.2749,0.2894,0.2889,0.2749,0.3071,0.1915,0.3228,0.3223,0.1375,0.2326,0.2232,0.2231,0.2964,0.2042,0.2005,0.2608,0.2245,0.2463,0.1937,0.2083,0.0309,0.1133
17,Operating Income,-4000000,-4400000,-5500000,21400000,-2000000,-100000,1300000,2400000,300000,-400000,400000,1800000,3500000,2300000,2084484,2385705,2814616,2307360,2216450,1332600,1255360,4734374,700177,2324729,1792965,1879881,3291933,1533670,1475318,3213279,2509820,3037850,1852652,1817740,-1239417,-837783
18,Operating Income ratio,-0.0522,-0.0596,-0.0758,0.8015,-0.3030,-0.0122,0.1398,0.2243,0.0316,-0.0482,0.0430,0.1782,0.2941,0.2150,0.1919,0.2040,0.2154,0.1749,0.1581,0.1034,0.0919,0.2607,0.0478,0.1397,0.1214,0.1266,0.1992,0.0965,0.0864,0.1699,0.1351,0.1554,0.0960,0.0888,-0.0635,-0.0414
19,Total Other Income Expenses (Gains),3000000,6300000,3900000,200000,1300000,300000,200000,- -,-200000,-100000,200000,-500000,-600000,-400000,-321546,-309111,-441426,-328329,-293984,-641232,1137022,-913435,-670818,-840643,-652027,-549746,-490580,-351999,-194995,-291597,-196060,-131311,-122511,287061,-21588,1076815
20,Income Before Tax,-1000000,1900000,-1600000,21600000,-700000,200000,1500000,2400000,100000,-500000,- -,1300000,2900000,1900000,1762938,2076594,2373190,1979031,1922466,691368,2392382,3820939,29359,1484086,1140938,1330135,2801353,1181671,1280323,2921682,2313760,2906539,1730141,2104801,-1261005,239032
21,Income Before Tax Ratio,-0.0131,0.0257,-0.0220,0.8090,-0.1061,0.0244,0.1613,0.2243,0.0105,-0.0602,- -,0.1287,0.2437,0.1776,0.1623,0.1776,0.1817,0.1500,0.1371,0.0537,0.1751,0.2104,0.0020,0.0892,0.0773,0.0896,0.1695,0.0744,0.0750,0.1545,0.1245,0.1487,0.0896,0.1028,-0.0646,0.0118
22,Income Tax expense (Gain),100000,500000,200000,9200000,100000,100000,600000,900000,100000,-100000,- -,500000,1100000,700000,697000,786000,1119000,832000,787000,343000,959000,1765000,105000,728000,480000,572000,1531000,518000,541000,713000,796000,981000,-1244000,590000,-355000,-159000
23,Net Income,-1100000,1400000,-1800000,7500000,-1200000,-200000,1300000,2200000,-300000,-400000,-100000,800000,1800000,1200000,1065938,1290594,1254190,1147031,1135466,348368,1433382,2055939,-75641,756086,432208,530356,1270353,663671,739323,2208682,1517760,1925539,2974141,1514801,-906005,398032
24,Net Income ratio,-0.0144,0.0190,-0.0248,0.2809,-0.1818,-0.0244,0.1398,0.2056,-0.0316,-0.0482,-0.0108,0.0792,0.1513,0.1121,0.0981,0.1104,0.0960,0.0870,0.0810,0.0270,0.1049,0.1132,-0.0052,0.0454,0.0293,0.0357,0.0769,0.0418,0.0433,0.1168,0.0817,0.0985,0.1541,0.0740,-0.0464,0.0197
25,EPS,-0.50,0.64,-0.83,3.45,-0.57,-0.10,0.56,1.00,-0.15,-0.17,-0.07,0.38,0.86,0.54,0.50,0.62,0.62,0.57,0.56,0.17,0.71,1.02,-0.04,0.38,0.21,0.26,0.63,0.33,0.37,1.10,0.75,0.96,1.48,0.75,-0.45,0.20
26,EPS Diluted,-0.50,0.64,-0.83,3.45,-0.57,-0.10,0.56,1.00,-0.15,-0.17,-0.07,0.38,0.86,0.54,0.50,0.62,0.62,0.57,0.56,0.17,0.71,1.02,-0.04,0.38,0.21,0.26,0.63,0.33,0.37,1.10,0.75,0.96,1.48,0.75,-0.45,0.20
27,Weighted Average Shares Outstanding,2200000,2187500,2168675,2173913,2105263,2000000,2321429,2200000,2000000,2136397,2136397,2136175,2135780,2135780,2118908,2066390,2033280,2026855,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780
28,Weighted Average Shares Outstanding Diluted,2200000,2187500,2168675,2173913,2105263,2000000,2321429,2200000,2000000,2222222,2136397,2136175,2135780,2135780,2142857,2066390,2033280,2026855,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780,2015780
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54187/000095011095000729/0000950110-95-000729-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011096001268/0000950110-96-001268-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011097001436/0000950110-97-001436-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011098001201/0000950110-98-001201-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011099001317/0000950110-99-001317-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011000001119/0000950110-00-001119-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011001500501/0000950110-01-500501-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54187/000093041307007857/0000930413-07-007857-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041308005941/0000930413-08-005941-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041309005131/0000930413-09-005131-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041310005011/0000930413-10-005011-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041311006585/0000930413-11-006585-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677412004172/0001206774-12-004172-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677413003463/0001206774-13-003463-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677414002956/0001206774-14-002956-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677415003188/0001206774-15-003188-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677416007318/0001206774-16-007318-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677417002894/0001206774-17-002894-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677418002890/0001206774-18-002890-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677419003357/0001206774-19-003357-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677420002857/0001206774-20-002857-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677421002636/0001206774-21-002636-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,200000,1000000,1500000,1529082,1003130,2951013,1862444,603289,522897,2335328,5965350,1475390,653719,1551630,2656354,1340203,664718,1892760,4085704,5228826,5381195,5255073,4117647,3260135,1552389
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41685,43741,44653,45111,45395,45668,45942,47418,49097,49888,351267,747800,443419,2459599,1354213,1461504,2062205,2815727,3141828,3580227,3744905,3901093
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,400000,200000,1000000,1500000,1570767,1046871,2995666,1907555,648684,568565,2381270,6012768,1524487,703607,1902897,3404154,1783622,3124317,3246973,5547208,7291031,8196922,8396901,7697874,7005040,5453482
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,300000,600000,500000,400000,215872,619062,551678,433495,181407,141192,86199,126253,171031,268501,506166,580434,276585,634589,1757012,1333908,310321,171607,261096,411837,2219946,2416769
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4100000,3900000,1200000,1100000,1218404,1195256,1635754,1910216,1929192,1957728,1861519,1849442,2167243,2591586,1855141,1528574,1819333,2255245,2947994,5092008,1553217,1690924,2051921,2340894,3533248,3267057
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4800000,4700000,2700000,3000000,3005043,2861189,5183098,4251266,2759283,2667485,4328988,7988463,3862761,3563694,4264204,5513162,3879540,6014151,7951979,11973124,9154569,10059453,10709918,10450605,12758234,11137308
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,25300000,26100000,28100000,28200000,28800000,29554405,31763131,32367513,33482384,40153977,44636667,45794108,44970367,45424107,45037497,44540571,44690891,44259379,45634465,- -,- -,- -,- -,- -,- -,37077038,34566169
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1625552,1910407,2477894,3205082,2409273,1354213,1461504,2062205,2815727,3141828,3580227,3744905,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,6900000,7600000,10500000,9900000,9925096,10953347,10715275,10611896,8895750,9872893,7167209,7203389,7996460,5480627,4529870,3659304,4040744,2636048,51870373,53001475,52328480,51973759,52710727,54758243,46839680,51805645
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,31400000,33000000,35700000,38700000,38700000,39479501,42716478,43082788,44094280,49049727,54509560,52961317,52173756,53420567,52143676,50980848,50828089,51505205,50679786,53224586,54462979,54390685,54789486,55852555,58338470,87661623,86371814
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,37800000,40400000,41400000,41700000,42484544,45577667,48265886,48345546,51809010,57177045,57290305,60162219,57283328,55707370,55245052,56341251,55384745,56693937,61176565,66436103,63545254,64848939,66562473,68789075,100419857,97509122
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,43663,29324,55605,46829,87581,65539,61908,89621,39364,91403,95049,142593,85083,57668,144250,39759,80343,79103,74205,30964,68076,2632905
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,500000,900000,900000,1500000,1160160,1011728,727609,2517725,703752,1082171,2346789,865158,2067639,1206711,1712196,3346267,158662,170262,240000,150763,1133969,162569,168501,5287162,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1166667,1166667,1020833,- -,- -,- -,643628,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2100000,1900000,700000,400000,782439,884376,1559751,1111081,2374837,1139106,2069537,3629078,1903846,1825610,1162576,1656305,1784615,2876725,2927447,3379664,3058778,3559948,3456270,3317997,2225860,834470
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2600000,2800000,1600000,1900000,1986262,1925428,2342965,3675635,3166170,2286816,4478234,4583857,4010849,3123724,2969821,5145165,2028360,3104655,4478364,4736853,5293923,3801620,3698976,8636123,2937564,3467375
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,8000000,9300000,8400000,6900000,6362287,7331449,8178199,5829567,8471369,14400688,12727664,12553510,10513528,9368681,9653263,7672064,7335491,6421335,6181335,6786525,5572477,5409908,5264285,- -,38395657,35359707
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2187500,1020833,- -,- -,- -,- -,643628,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,1300000,1700000,2333000,2924000,3093000,3135000,3175000,3151000,2445000,2250000,1935000,1929000,1804000,2091000,3282000,3684000,4220000,7386000,4617000,5637000,4506000,5096000,4741000,4582000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,364190,- -,- -,- -,- -,- -,1078006,1370406,1000000,- -,- -,28457,59683,- -,121223,90917,- -,- -,448939,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,8100000,9600000,9700000,8700000,8695287,10619639,11271199,8964567,11646369,17551688,15172664,15881516,13818934,12297681,11457263,9763064,10645948,10165018,12588835,15314581,10280394,11046908,9770285,5544939,43780285,39941707
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29044966,27840930
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,10700000,12400000,11300000,10600000,10681549,12545067,13614164,12640202,14812539,19838504,19650898,20465373,17829783,15421405,14427084,14908229,12674308,13269673,17067199,20051434,15574317,14848528,13469261,14181062,46717849,43409082
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297,2178297
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,21900000,22700000,24500000,25700000,26761938,28052532,29306722,30453753,31589219,31937587,33370969,35426908,35351267,36107353,36539561,37069917,38340270,39003941,39743264,41951946,43469706,45395245,48369386,50371323,49465318,49863350
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18800000,-19700000,-20700000,-21600000,-22600000,-23557465,-24607468,-25704058,-26865819,-28174404,-29605517,-31149936,-32553041,-33693516,-35204996,-31156602,-32696221,-31906695,-33346801,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,24100000,24900000,26000000,27200000,25800000,26420225,27409239,28870761,29939113,31403359,32828174,33240077,34644682,35617497,37205311,33256712,34881029,34098565,35588827,2187805,2254426,2322934,2426869,2545529,2058393,2058393,2058393
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,27100000,28000000,30100000,31100000,31802995,33032600,34651722,35705344,36996471,37338541,37639407,39696846,39453545,40285965,40817968,41433022,42710437,43424264,44109366,46384669,47970937,50000411,53093212,54608013,53702008,54100040
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,37800000,40400000,41400000,41700000,42484544,45577667,48265886,48345546,51809010,57177045,57290305,60162219,57283328,55707370,55245052,56341251,55384745,56693937,61176565,66436103,63545254,64848939,66562473,68789075,100419857,97509122
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,36100000,37800000,40400000,41400000,41700000,42484544,45577667,48265886,48345546,51809010,57177045,57290305,60162219,57283328,55707370,55245052,56341251,55384745,56693937,61176565,66436103,63545254,64848939,66562473,68789075,100419857,97509122
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/54187/000095011095000729/0000950110-95-000729-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011096001268/0000950110-96-001268-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011097001436/0000950110-97-001436-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011098001201/0000950110-98-001201-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011099001317/0000950110-99-001317-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011000001119/0000950110-00-001119-index.html,https://www.sec.gov/Archives/edgar/data/54187/000095011001500501/0000950110-01-500501-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/54187/000093041307007857/0000930413-07-007857-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041308005941/0000930413-08-005941-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041309005131/0000930413-09-005131-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041310005011/0000930413-10-005011-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000093041311006585/0000930413-11-006585-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677412004172/0001206774-12-004172-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677413003463/0001206774-13-003463-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677414002956/0001206774-14-002956-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677415003188/0001206774-15-003188-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677416007318/0001206774-16-007318-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677417002894/0001206774-17-002894-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677418002890/0001206774-18-002890-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677419003357/0001206774-19-003357-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677420002857/0001206774-20-002857-index.htm,https://www.sec.gov/Archives/edgar/data/54187/000120677421002636/0001206774-21-002636-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,7500000,-1200000,-200000,1300000,2200000,-300000,-400000,-100000,800000,1800000,1200000,1065938,1290594,1254190,1147031,1135466,348368,1433382,2055939,-75641,756086,432208,530356,1270353,663671,739323,2208682,1517760,1925539,2974141,1514801,-906005,398032
74,Depreciation and Amortization,- -,- -,- -,400000,500000,600000,800000,700000,1100000,1000000,1000000,1100000,1200000,1200000,1223998,1308195,1401560,1647138,1836580,1775578,2019110,2031854,1984291,1625016,1660684,1556788,1574913,1636561,1721850,1695454,1635660,1682690,1775690,1960994,1661280,1785468
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,200000,-300000,-100000,400000,900000,500000,530000,426000,-15000,-61000,22000,-46000,-149000,-194000,-419000,-86000,-101000,198000,877000,285000,-309000,1205000,727000,966000,-1254000,590000,-355000,-159000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,-300000,-300000,-800000,- -,-81219,-83020,1904372,-2264502,-982518,787556,-529915,3553852,-3552694,588058,854413,-926386,1483183,1058316,564119,3762656,-3375625,2397187,753109,-5196460,8006188,-2150737
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32932,-1251489,922363,345326,128601,-87588,-149850,-394708,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52039,3646,47544,-57510,-27415,86582,-104491,40584,-1240,-4898,-43241,805160,-138635
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2200000,1900000,1100000,1100000,1018781,935761,2840133,575631,-406887,380669,-149246,3404606,-148088,439970,1294383,367997,1851180,2909496,3473615,7236271,3860646,6257833,7010942,1814482,9820670,7669933
82,Other Non-Cash Items,- -,- -,- -,-7900000,2800000,-1300000,-1600000,-300000,-600000,-3400000,-700000,-700000,1200000,-300000,398872,-983226,-796949,1353147,840020,-1705209,-515077,-6749887,2206163,-260343,-1192395,1381478,-1622343,-828012,1418542,-4757866,3457784,-2989142,-1022321,4554991,-6835924,1194667
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2100000,-900000,500000,2600000,400000,-600000,-200000,1300000,4300000,2600000,3137589,1958543,3748173,1821814,2851548,1160293,2258500,697758,143119,2622817,1653910,2740236,3583106,2815536,4134834,4113926,3962579,3982274,3226619,3424326,1570539,1068430
84,CAPEX,- -,- -,- -,- -,-3800000,-3200000,-1800000,-7400000,-1700000,-1000000,-1700000,-3000000,-1100000,-1300000,-1778229,-3288175,-1746271,-2315990,-7984762,-5951312,-2701860,-901294,-2075060,-1243590,-263758,-1714961,-1147616,-3327668,-3550674,-2455496,-2508505,-2103042,-3083585,-4297313,-6361240,-2253933
