,https://roic.ai/company/ITGR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,13364000,12500000,26700000,13872000,18968000,18109000,29903000,29600000,31000000,- -,36614000,32598000,45472000,38822000,- -,50975000,- -,72010000,109831000,67401000,67121000,56192000,53882000
53,Total Current Liabilities,15749000,14900000,33300000,28348000,23909000,28080000,44045000,42300000,64400000,- -,93400000,60587000,94000000,91800000,- -,108661000,- -,185220000,209003000,164570000,179078000,156191000,159629000
54,Long-Term Debt,126988000,31000000,61000000,76250000,170928000,170652000,170000000,170000000,241200000,- -,352900000,220629000,236000000,225400000,- -,176250000,- -,1698819000,1578696000,888007000,777272000,731619000,872643000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,7251000,25029000,30261000,- -,- -,- -,- -,64290000,75203000,82462000,- -,53195000,- -,208579000,145364000,203910000,187978000,182304000,171505000
57,Other Non-Current Liabilities,635000,-100000,400000,790000,815000,- -,- -,35800000,35600000,- -,51900000,4641000,8897000,9338000,- -,4541000,- -,14686000,21901000,9701000,56277000,30688000,23741000
58,Total Non-Current Liabilities,127623000,30900000,61400000,77040000,178994000,195681000,200261000,205800000,276800000,- -,404800000,289560000,320100000,317200000,- -,233986000,- -,1922084000,1745961000,1101618000,1021527000,944611000,1067889000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44621000,46292000,69629000
61,Total Liabilities,143372000,45800000,94700000,105388000,202903000,223761000,244306000,248100000,341200000,- -,498200000,350147000,414100000,409000000,- -,342647000,- -,2107304000,1954964000,1266188000,1200605000,1100802000,1227518000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12000,- -,- -,21000,21000,21000,22000,- -,- -,- -,- -,23000,- -,- -,- -,25000,- -,31000,32000,33000,33000,33000,33000
64,Retained Earnings,-16984000,-17500000,-8900000,5426000,28714000,44953000,53039000,69200000,84200000,- -,102800000,119400000,152500000,147700000,- -,239448000,- -,109087000,176068000,344498000,440258000,517516000,614324000
65,Other Comprehensive Income/Loss,- -,-13900000,-19600000,- -,-1185000,-833000,-1560000,3524000,-77400000,- -,-3076000,10470000,8929000,12947000,- -,9123000,- -,-16000000,52179000,33004000,19988000,52692000,27190000
66,Other Total Stockholders Equity,63379000,167200000,217300000,- -,- -,212036000,217104000,226500000,315900000,- -,246000000,296936000,305800000,320200000,- -,364766000,- -,632121000,665102000,682958000,692209000,700814000,713150000
67,Total Stockholders Equity,46407000,135800000,188800000,206863000,235340000,256177000,268605000,299693000,322671000,- -,350752000,426829000,467283000,480860000,- -,613362000,- -,725239000,893381000,1060493000,1152488000,1271055000,1354697000
68,Total Liabilities And Stockholders Equity,189779000,181600000,283500000,312251000,438243000,479938000,512911000,547793000,663871000,- -,848952000,776976000,881383000,889860000,- -,956009000,- -,2832543000,2848345000,2326681000,2353093000,2371857000,2582215000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,7000,29000,- -,-52000,- -,-83000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,189779000,181600000,283500000,312251000,438243000,479938000,512911000,547800000,663900000,- -,848900000,776976000,881300000,889900000,- -,956009000,- -,2832543000,2848345000,2326681000,2353093000,2371857000,2582215000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1114483/000089979701000060/0000899797-01-000060-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000089979702000057/0000899797-02-000057-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1114483/000115752305002570/0001157523-05-002570-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1114483/000115752309001803/0001157523-09-001803-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000095012311020516/c13388e10vk.htm,https://www.sec.gov/Archives/edgar/data/1114483/000119312512085410/0001193125-12-085410-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000119312513080167/0001193125-13-080167-index.html,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1114483/000111448317000006/0001114483-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448318000009/0001114483-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448319000001/0001114483-19-000001-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448320000003/0001114483-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448321000006/0001114483-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1114483/000111448322000002/0001114483-22-000002-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2272000,-500000,8600000,14361000,23288000,16257000,10107000,16100000,15100000,- -,18600000,33138000,33100000,-4800000,- -,55458000,- -,5961000,66679000,167964000,96336000,77258000,96808000
74,Depreciation and Amortization,11363000,13009000,14241000,12100000,13179000,14835000,19718000,19309000,25842000,- -,45382000,46447000,47695000,46368000,- -,37457000,- -,90524000,102796000,88988000,77895000,79324000,81369000
75,Deferred Income Tax,1309000,-369000,2358000,3765000,4578000,12203000,4330000,4888000,-4935000,- -,1671000,15419000,8776000,5733000,- -,531000,- -,-7350000,-59212000,61126000,-10285000,-6966000,-10270000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11211000,6884000,12082000,10904000,- -,13186000,- -,8408000,14680000,10470000,9294000,9163000,16185000
77,Change in Working Capital,-4324000,-2621000,46600000,-21396000,130251000,-36056000,17559000,47042000,-82200000,- -,25400000,30922000,20078000,5300000,- -,51322000,- -,-28677000,-9181000,-71226000,-15363000,20429000,-47745000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18640000,10922000,-13477000,-18834000,- -,-11731000,- -,-2169000,-34597000,9289000,-6976000,38153000,-17539000
79,Inventory,-292000,914000,-10030000,-2752000,5822000,-5429000,-11157000,-12483000,-1969000,- -,-21077000,7406000,-2139000,-7481000,- -,-6726000,- -,22170000,-986000,-16094000,3724000,18441000,4700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14285000,-7568000,4236000,5757000,- -,-970000,- -,-1127000,4887000,-94000,1887000,-9055000,19525000
81,Other Working Capital,17621000,15000000,61600000,40204000,170455000,134399000,151958000,199000000,116800000,- -,142200000,150922000,171000000,176300000,- -,242022000,- -,332087000,322906000,251680000,236317000,256746000,- -
82,Other Non-Cash Items,2916000,8641000,-50344000,18980000,-116495000,37927000,-8379000,-48134000,89158000,- -,-45163000,-55925000,-31810000,1326000,- -,-76678000,- -,36666000,33595000,-90023000,7481000,2133000,20319000
83,Cash Provided by Operating Activities,8992000,18160000,21455000,27810000,54801000,45166000,43335000,39205000,42965000,- -,57101000,76885000,89921000,64831000,- -,81276000,- -,105532000,149357000,167299000,165358000,181341000,156666000
84,CAPEX,-9022000,-4528000,-9715000,-20501000,-11925000,-38444000,-28183000,-15445000,-19993000,- -,-44172000,-16140000,-22489000,-41069000,- -,-24823000,- -,-58632000,-47301000,-44908000,-48198000,-51439000,-53463000
85,Acquisitions Net,- -,- -,-46913000,-47124000,- -,-45716000,- -,- -,-189898000,- -,-107577000,- -,-66493000,-17224000,- -,-13347000,- -,- -,- -,581429000,-15009000,-5219000,-217978000
86,Purchases of Investments,- -,- -,- -,- -,-11559000,- -,-82851000,-54800000,-70058000,- -,-6310000,- -,- -,- -,- -,- -,- -,-3015000,-1316000,-1230000,-417000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9059000,74743000,53808000,133578000,- -,9027000,- -,10315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-395000,1170000,-2804000,-1445000,2841000,90000,4897000,64000,567000,- -,306000,2216000,-1722000,-1494000,- -,2248000,- -,-1653000,681000,1379000,4762000,-4525000,443000
89,Cash Used for Investing Activites,-8847000,-3358000,-59432000,-69070000,-20643000,-75011000,-31394000,-16373000,-145804000,- -,-148726000,-13924000,-80389000,-59787000,- -,-35922000,- -,-63300000,-47936000,536670000,-58862000,-56576000,-270998000
90,Debt Repayment,-2950000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62058000,-78450000,-40000000,-32000000,- -,-10000000,- -,-46000000,-178558000,-705469000,-150500000,-272506000,-804955000
91,Common Stock Issued,1101000,88560000,43667000,476000,868000,1205000,1068000,2082000,2699000,- -,2210000,659000,2401000,1263000,- -,8278000,- -,2821000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-109000,-4718000,-1156000,- -,-179000,-95000,- -,- -,-205000,- -,-793000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1536000,-102491000,38722000,2120000,80031000,-1278000,-1401000,-170000,62671000,- -,142298000,-1030000,41287000,9283000,- -,-655000,- -,-28967000,66889000,-19611000,32574000,183928000,886941000
95,Cash Used/Provided by Financing Activities,-422000,-18649000,81233000,2596000,80720000,-168000,-333000,1912000,65165000,- -,81657000,-78821000,3688000,-21454000,- -,-2377000,- -,-72146000,-111669000,-725080000,-117926000,-88578000,81986000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1442000,879000,405000,186000,- -,-1618000,- -,-448000,2228000,2584000,-604000,-516000,1025000
97,Net Change In Cash,-277000,-3847000,43256000,-38664000,114878000,-30013000,11608000,24744000,-37674000,- -,-11410000,-14981000,13625000,-16224000,- -,41359000,- -,-30362000,-8020000,-18527000,-12034000,35671000,-31321000
98,Cash at the End of Period,3863000,16000,43272000,4608000,119486000,89473000,46403000,71147000,33473000,- -,22063000,22883000,36508000,20284000,- -,76824000,- -,52116000,44096000,25569000,13535000,49206000,17885000
99,Cash at the Beginning of Period,4140000,3863000,16000,43272000,4608000,119486000,34795000,46403000,71147000,- -,33473000,37864000,22883000,36508000,- -,35465000,- -,82478000,52116000,44096000,25569000,13535000,49206000
100,Free Cash Flow,-30000,13632000,11740000,7309000,42876000,6722000,15152000,23760000,22972000,- -,12929000,60745000,67432000,23762000,- -,56453000,- -,46900000,102056000,122391000,117160000,129902000,103203000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1114483/000089979701000060/0000899797-01-000060-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000089979702000057/0000899797-02-000057-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1114483/000115752305002570/0001157523-05-002570-index.html,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1114483/000115752309001803/0001157523-09-001803-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000095012311020516/c13388e10vk.htm,https://www.sec.gov/Archives/edgar/data/1114483/000119312512085410/0001193125-12-085410-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000119312513080167/0001193125-13-080167-index.html,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1114483/000111448317000006/0001114483-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448318000009/0001114483-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448319000001/0001114483-19-000001-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448320000003/0001114483-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1114483/000111448321000006/0001114483-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1114483/000111448322000002/0001114483-22-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
