,https://roic.ai/company/CUTR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,507000,453000,399000,469000,1446000,1227000,1025000,829000,637000,446000,3905000,3359000,1934000,1482000,1341000,1339000,1339000,1339000,1339000,1339000
42,Investments,- -,- -,- -,- -,- -,- -,- -,7000000,10000000,7275000,6784000,3027000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,406000,57000,- -,- -,- -,834000,6527000,97000,325000,446000,553000,329000,269000,350000,377000,19055000,457000,423000,643000,778000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,429000,-373000,- -,- -,486000,397000,323000,361000,384000,380000,374000,5971000,6411000,5080000,10869000
45,Total Non-Current Assets,- -,- -,1482000,1244000,1470000,1484000,2475000,10851000,18536000,9048000,8343000,5258000,5788000,5373000,4025000,3689000,4005000,22864000,10439000,18692000,26437000,30632000
46,Other Assets,7038000,12475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7038000,12475000,15426000,24198000,80549000,111958000,133875000,138653000,137476000,121352000,111805000,111353000,112794000,108669000,108913000,77518000,91854000,111238000,97637000,113738000,132733000,280293000
48,Accounts Payable,- -,- -,925000,1915000,1195000,1352000,2212000,2350000,1690000,1081000,1296000,2573000,2107000,1820000,3083000,1959000,2598000,7002000,11279000,12685000,6684000,7891000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,5890000,2419000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1428000,1307000,1789000,1935000,2373000,2920000,2935000,3922000,5343000,- -
51,Deferred Revenue,- -,- -,- -,1125000,1171000,1673000,3514000,4971000,6758000,6160000,5633000,5185000,6867000,7494000,8898000,8638000,8394000,9461000,9882000,10831000,9489000,9490000
52,Other Current Liabilities,- -,- -,4123000,5709000,8194000,9131000,13675000,13587000,8848000,9048000,6194000,9262000,9244000,9328000,11007000,13834000,17397000,26848000,26459000,32306000,32295000,54100000
53,Total Current Liabilities,- -,- -,5048000,8749000,10560000,12156000,19401000,20908000,17296000,16289000,13123000,17020000,18218000,18642000,22988000,24431000,28389000,43311000,47620000,58622000,54358000,73900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3555000,147726000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3461000,2788000,840000,2102000,4340000,4346000,2287000,1705000,2195000,2684000,3391000,1748000,1335000
56,Deferred Tax Liabilities,- -,- -,- -,- -,52000,60000,60000,1160000,1452000,749000,477000,478000,412000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,7272000,7574000,1481000,2565000,4682000,7232000,6620000,- -,- -,1448000,1288000,1422000,1071000,766000,750000,839000,947000,5783000,16192000,763000
58,Total Non-Current Liabilities,- -,- -,7272000,7574000,1533000,2625000,4742000,8392000,8072000,4210000,3265000,2766000,3802000,5762000,5417000,3053000,2455000,3034000,3631000,9174000,21495000,149824000
59,Other Liabilities,8956000,11249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1314000,926000,584000,582000,460000,553000,7912000,18210000,15902000
61,Total Liabilities,8956000,11249000,12320000,16323000,12093000,14781000,24143000,29300000,25368000,20499000,16388000,19786000,22020000,24404000,28405000,27484000,30844000,46345000,51251000,67796000,75853000,223724000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,11000,12000,13000,13000,13000,13000,14000,14000,14000,14000,14000,13000,13000,13000,14000,14000,18000,18000
64,Retained Earnings,-1923000,416000,1076000,4182000,7942000,21743000,23866000,34279000,31410000,17254000,6736000,-3325000,-9873000,-14620000,-25232000,-29672000,-27046000,2947000,-24010000,-36358000,-60235000,-58173000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3888000,-2235000,-2283000,-389000,190000,367000,-1662000,-1756000,-841000,81000,51000,5000,-89000,-72000,-92000,-69000,-60000,- -,- -
66,Other Total Stockholders Equity,5000,810000,2028000,7579000,62738000,77705000,86242000,74871000,80318000,85248000,90423000,95719000,100552000,98820000,105721000,79782000,88114000,62025000,70451000,82346000,117097000,- -
67,Total Stockholders Equity,-1918000,1226000,3106000,7875000,68456000,97177000,109732000,109353000,112108000,100853000,95417000,91567000,90774000,84265000,80508000,50034000,61009000,64893000,46386000,45942000,56880000,56569000
68,Total Liabilities And Stockholders Equity,7038000,12475000,15426000,24198000,80549000,111958000,133875000,138653000,137476000,121352000,111805000,111353000,112794000,108669000,108913000,77518000,91853000,111238000,97637000,113738000,132733000,280293000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7038000,12475000,15426000,24198000,80549000,111958000,133875000,138653000,137476000,121352000,111805000,111353000,112794000,108669000,108913000,77518000,91854000,111238000,97637000,113738000,132733000,280293000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1162461/000119312505061000/0001193125-05-061000-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312506056552/0001193125-06-056552-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312507056855/0001193125-07-056855-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312508055587/0001193125-08-055587-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312509055553/0001193125-09-055553-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000101968710000972/0001019687-10-000972-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000116246111000013/0001162461-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000114036112015996/0001140361-12-015996-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000114036113012682/0001140361-13-012682-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000114036114013190/0001140361-14-013190-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774915005187/0001437749-15-005187-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774916027719/0001437749-16-027719-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774917004609/0001437749-17-004609-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774918005473/0001437749-18-005473-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774919005203/0001437749-19-005203-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774920005342/0001437749-20-005342-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774921006866/0001437749-21-006866-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000162828022004539/0001628280-22-004539-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,660000,3106000,3760000,13801000,2123000,10504000,-2869000,-17679000,-10518000,-10061000,-6548000,-4747000,-10612000,-4440000,2577000,29993000,-30770000,-12348000,-23877000,2062000
74,Depreciation and Amortization,- -,- -,382000,443000,1959000,689000,869000,913000,904000,860000,717000,637000,1606000,1304000,1336000,1186000,982000,1016000,1209000,1548000,1394000,1344000
75,Deferred Income Tax,- -,- -,-310000,-587000,-476000,-735000,-2765000,-2662000,-1892000,- -,- -,29000,6000,- -,- -,- -,- -,-18678000,17438000,34000,-220000,-135000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4236000,4650000,3907000,3160000,3110000,3299000,4084000,3713000,5110000,7157000,9832000,10109000,13172000
77,Change in Working Capital,- -,- -,-390000,5309000,54314000,29799000,13681000,-5105000,-5250000,-5629000,-5676000,-1264000,-287000,-4134000,-2754000,-32502000,10062000,-14397000,-5485000,-3154000,15514000,-10860000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1940000,-759000,-1000000,-3690000,-857000,-1460000,-536000,-4899000,-4229000,-117000,-2509000,-2550000,-9574000
79,Inventory,- -,- -,-1132000,-1012000,-1065000,-2855000,-65000,-2592000,-2803000,2908000,-275000,-4281000,1167000,2108000,-1982000,-1090000,-2899000,-13805000,768000,-5907000,5413000,-10936000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-609000,215000,1277000,-466000,-287000,1263000,-1124000,639000,4404000,4277000,1406000,-6034000,1207000
81,Other Working Capital,- -,- -,8896000,14205000,68519000,98318000,111999000,106894000,101644000,96015000,90339000,89075000,88788000,84654000,81900000,49398000,59460000,45063000,39578000,36424000,51938000,-412000
82,Other Non-Cash Items,- -,- -,2335000,-5686000,-50313000,-23166000,-1442000,13240000,13447000,18253000,2768000,1584000,-237000,7980000,4445000,30313000,-15342000,11243000,10759000,1871000,-19854000,-4348000
83,Cash Provided by Operating Activities,- -,- -,2677000,2585000,9244000,20388000,12466000,16890000,4340000,41000,-8059000,-5168000,-2300000,3513000,-4286000,-1359000,1992000,14287000,308000,-2217000,-16934000,1235000
84,CAPEX,- -,- -,-818000,-589000,-854000,-539000,-1860000,-1020000,-703000,-154000,-275000,-751000,-516000,-672000,-734000,-746000,-537000,-855000,-1488000,-991000,-1279000,-1015000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5091000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-82652000,-95910000,-132456000,-100017000,-63822000,-53655000,-87837000,-63131000,-58813000,-56847000,-44146000,-23697000,-37693000,-60956000,-10874000,-12687000,-26060000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,23443000,68272000,122961000,100611000,85169000,39449000,85335000,69133000,74573000,51608000,39269000,57089000,34818000,79452000,23094000,14700000,33698000,- -
88,Other Investing Activites,- -,- -,-498000,-190000,250000,-165000,- -,- -,- -,- -,- -,36000,- -,-92000,- -,- -,20000,53000,41000,45000,30000,71000
89,Cash Used for Investing Activites,- -,- -,-778000,-779000,-59813000,-28342000,-11355000,-426000,20644000,-14360000,-2777000,5287000,10153000,-5848000,-5611000,32646000,-3392000,17694000,10773000,1067000,6389000,-944000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127000,-144000,-198000,-313000,-371000,-483000,-649000,-537000,-462000
91,Common Stock Issued,- -,- -,23000,208000,47349000,6144000,4397000,4138000,458000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28798000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,-10031000,- -,-40085000,-4873000,-35167000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,1032000,3652000,44000,608000,526000,1382000,1673000,5189000,3602000,10061000,9493000,3966000,1270000,2063000,3015000,117988000
95,Cash Used/Provided by Financing Activities,- -,- -,23000,208000,47349000,6144000,5429000,-17210000,502000,608000,526000,1382000,1673000,-4969000,3458000,-30222000,4307000,-31572000,787000,1414000,31276000,117526000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1922000,2014000,-3220000,-1810000,6540000,-746000,25486000,-13711000,-10310000,1501000,9526000,-7304000,-6439000,1065000,2907000,409000,11868000,264000,20731000,117817000
98,Cash at the End of Period,- -,- -,8276000,10290000,7070000,5260000,11800000,11054000,36540000,22829000,12519000,14020000,23546000,16242000,9803000,10868000,13775000,14184000,26052000,26316000,47047000,164864000
99,Cash at the Beginning of Period,- -,- -,6354000,8276000,10290000,7070000,5260000,11800000,11054000,36540000,22829000,12519000,14020000,23546000,16242000,9803000,10868000,13775000,14184000,26052000,26316000,47047000
100,Free Cash Flow,- -,- -,1859000,1996000,8390000,19849000,10606000,15870000,3637000,-113000,-8334000,-5919000,-2816000,2841000,-5020000,-2105000,1455000,13432000,-1180000,-3208000,-18213000,220000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1162461/000119312505061000/0001193125-05-061000-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312506056552/0001193125-06-056552-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312507056855/0001193125-07-056855-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312508055587/0001193125-08-055587-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000119312509055553/0001193125-09-055553-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000101968710000972/0001019687-10-000972-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000116246111000013/0001162461-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000114036112015996/0001140361-12-015996-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000114036113012682/0001140361-13-012682-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000114036114013190/0001140361-14-013190-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774915005187/0001437749-15-005187-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774916027719/0001437749-16-027719-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774917004609/0001437749-17-004609-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774918005473/0001437749-18-005473-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774919005203/0001437749-19-005203-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774920005342/0001437749-20-005342-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000143774921006866/0001437749-21-006866-index.htm,https://www.sec.gov/Archives/edgar/data/1162461/000162828022004539/0001628280-22-004539-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
