,https://roic.ai/company/NUS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,7800000,6900000,4800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2000000,5400000,24000000,41000000,33200000,37602000,32426000,21602000,23084000,28661000,31366000,29132000,32967000,30393000,28557000,29616000,32850000,33412000,34923000,54924000,71365000,72397000,71564000,83003000,76650000,73991000,76320000
15,EBITDA,61300000,136600000,173300000,207700000,161600000,134008000,112287000,124527000,130823000,150802000,150317000,81808000,101445000,138846000,177481000,244129000,264419000,378654000,591863000,353431000,283324000,285236000,337131000,302669000,331822000,330223000,308779000
16,EBITDA ratio,0.1709,0.2013,0.1946,0.2274,0.1807,0.1523,0.1268,0.1292,0.1326,0.1325,0.1273,0.0733,0.0876,0.1113,0.1333,0.1588,0.1516,0.1745,0.1863,0.1375,0.1261,0.1292,0.1479,0.1130,0.1371,0.1279,0.1145
17,Operating Income,58800000,128300000,138500000,169800000,129700000,90413000,71481000,105811000,107307000,125759000,123123000,54703000,70913000,125428000,147713000,217062000,233742000,340844000,554112000,352188000,244702000,231104000,274483000,240860000,267426000,257564000,233992000
18,Operating Income ratio,0.1640,0.1891,0.1555,0.1859,0.1450,0.1028,0.0807,0.1098,0.1088,0.1105,0.1043,0.0490,0.0613,0.1005,0.1110,0.1412,0.1340,0.1571,0.1744,0.1371,0.1089,0.1047,0.1204,0.0899,0.1105,0.0998,0.0868
19,Total Other Income Expenses (Gains),500000,2900000,10800000,-3100000,-1300000,5993000,8380000,-2886000,432000,-3618000,-4172000,-2027000,-2435000,-24775000,-6589000,-9449000,-6973000,4398000,2828000,-53681000,-32743000,-18265000,-8916000,-21194000,-12254000,-1332000,-1533000
20,Income Before Tax,59300000,131200000,149300000,166700000,128400000,96406000,79861000,102925000,107739000,122141000,118951000,52676000,68478000,100653000,141124000,207613000,226769000,345242000,556940000,298507000,211959000,212839000,265567000,219666000,255172000,256232000,232459000
21,Income Before Tax Ratio,0.1654,0.1933,0.1677,0.1825,0.1436,0.1096,0.0902,0.1068,0.1092,0.1073,0.1007,0.0472,0.0592,0.0807,0.1060,0.1351,0.1300,0.1591,0.1753,0.1162,0.0943,0.0964,0.1165,0.0820,0.1054,0.0992,0.0862
22,Income Tax expense (Gain),19100000,49500000,55700000,62800000,41700000,34706000,29548000,38082000,39863000,44467000,44918000,19859000,24606000,35306000,51279000,71562000,73439000,123597000,192052000,109331000,78913000,69753000,136130000,97779000,81619000,64877000,85193000
23,Net Income,40200000,81700000,93600000,103900000,86700000,61700000,50313000,64843000,67876000,77674000,74033000,32817000,43872000,65347000,89845000,136051000,153330000,221645000,364888000,189176000,133046000,143086000,129437000,121887000,173553000,191355000,147266000
24,Net Income ratio,0.1121,0.1204,0.1051,0.1137,0.0970,0.0701,0.0568,0.0673,0.0688,0.0683,0.0627,0.0294,0.0379,0.0524,0.0675,0.0885,0.0879,0.1022,0.1149,0.0736,0.0592,0.0648,0.0568,0.0455,0.0717,0.0741,0.0546
25,EPS,0.51,1.01,1.12,1.22,1.00,0.72,0.60,0.79,0.86,1.10,1.06,0.47,0.68,1.03,1.42,2.18,2.47,3.66,6.23,3.20,2.29,2.58,2.45,2.21,3.13,3.66,2.93
26,EPS Diluted,0.50,1.01,1.10,1.19,0.99,0.72,0.60,0.78,0.85,1.07,1.04,0.47,0.67,1.02,1.40,2.11,2.38,3.52,5.94,3.11,2.25,2.55,2.36,2.16,3.10,3.63,2.86
27,Weighted Average Shares Outstanding,78823529,81060000,83331000,84894000,87081000,85401000,83472000,81731000,78637000,70734000,70047000,69418000,64783000,63510000,63333000,62370000,62066000,60600000,58606000,59073000,57997000,55412000,52806000,55170000,55518000,52296000,50193000
28,Weighted Average Shares Outstanding Diluted,80400000,81486486,85371000,87018000,87893000,85642000,83915000,83128000,79541000,72627000,71356000,70506000,65584000,64132000,64296000,64547000,64546000,63025000,61448000,60887000,59057000,56097000,54852000,56476000,55927000,52765000,51427000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1021561/000102156198000022/0001021561-98-000022-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000126645407000141/0001266454-07-000141-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156100000004/0001021561-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156101000002/0001021561-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156102000006/0001021561-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156103000003/0001021561-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156104000005/0001021561-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000103393205000011/0001033932-05-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021561/000126645407000141/0001266454-07-000141-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021561/000102156109000025/0001021561-09-000025-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156110000024/0001021561-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156111000030/0001021561-11-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156112000026/0001021561-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156113000033/0001021561-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156114000031/0001021561-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156115000013/0001021561-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156116000100/0001021561-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156117000019/0001021561-17-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021561/000114036119003087/0001140361-19-003087-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000114036120002997/0001140361-20-002997-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000114036121004212/0001140361-21-004212-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000114036122005656/0001140361-22-005656-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,166300000,188800000,110200000,63996000,75923000,120341000,122568000,109865000,155409000,121353000,87327000,114586000,158045000,230337000,272974000,320025000,525153000,288415000,289354000,357246000,426399000,386911000,335630000,402683000,339593000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,10230000,- -,- -,5225000,- -,- -,- -,17727000,13378000,21974000,11793000,14371000,10880000,11847000,11346000,8413000,21216000,15221000
33,Cash and Short-Term Investments,- -,- -,166300000,188800000,110200000,63996000,75923000,120341000,122568000,120095000,155409000,121353000,92552000,114586000,158045000,230337000,290701000,333403000,547127000,300208000,303725000,368126000,438246000,398257000,344043000,423899000,354814000
34,Net Receivables,- -,- -,20300000,36100000,34600000,18191000,32279000,19476000,15054000,16057000,16683000,19421000,23424000,16496000,22513000,25701000,31615000,36850000,68652000,35834000,35464000,31199000,33196000,53282000,50378000,63370000,41299000
35,Inventory,- -,- -,52400000,79500000,85800000,82015000,84255000,88306000,83338000,87474000,99399000,92092000,100792000,114378000,105661000,114475000,112111000,135874000,339669000,338491000,265256000,249936000,253454000,295821000,275891000,314366000,399931000
36,Other Current Assets,- -,- -,37300000,50400000,52300000,57689000,45404000,48316000,55777000,44723000,36663000,44093000,49576000,44944000,51724000,52013000,95660000,93276000,162886000,160134000,101947000,- -,52893000,51877000,69854000,101563000,76906000
37,Total Current Assets,- -,- -,276300000,354800000,282900000,221891000,237861000,276439000,276737000,268349000,308154000,276959000,266344000,290404000,337943000,422526000,530087000,599403000,1118334000,834667000,706392000,649261000,777789000,799237000,740166000,903198000,872950000
38,PP&E,- -,- -,10900000,42200000,57900000,60562000,57355000,55342000,60528000,76511000,84053000,85883000,88529000,82336000,79356000,133722000,149505000,229787000,396042000,464783000,454537000,444732000,507962000,464535000,597930000,653453000,598245000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112446000,112446000,112446000,112446000,112446000,112446000,112446000,112446000,112446000,112446000,114954000,114954000,196573000,196573000,202979000,206432000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,182246000,186340000,191451000,203583000,91349000,86163000,87888000,81968000,78270000,83333000,92518000,83168000,75062000,67009000,63553000,67647000,89989000,80321000,89532000,76991000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,182246000,186340000,191451000,203583000,203795000,198609000,200334000,194414000,190716000,195779000,204964000,195614000,187508000,179455000,178507000,182601000,286562000,276894000,292511000,283423000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35868000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60057000,66427000,49030000,45027000,- -,26302000,5174000,15128000,40373000,- -,33785000,37332000,30780000,35414000,26483000
44,Other Non-Current Assets,- -,- -,65200000,209400000,302400000,308350000,287136000,97811000,100142000,73426000,83076000,98212000,69704000,70271000,87706000,100233000,115585000,92451000,105898000,112348000,125086000,- -,87735000,106780000,123236000,72500000,89511000
45,Total Non-Current Assets,- -,- -,76100000,251600000,360300000,368912000,344491000,335399000,347010000,341388000,370712000,387890000,416899000,419368000,410506000,469698000,460869000,553504000,702728000,779767000,799451000,623239000,812083000,895209000,1028840000,1053878000,1033530000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,352400000,606400000,643200000,590803000,582352000,611838000,623747000,609737000,678866000,664849000,683243000,709772000,748449000,892224000,990956000,1152907000,1821062000,1614434000,1505843000,1272500000,1589872000,1694446000,1769006000,1957076000,1906480000
48,Accounts Payable,- -,- -,9400000,17900000,22700000,15837000,14733000,17992000,18816000,25182000,20276000,20815000,24108000,20378000,25292000,25480000,32181000,47882000,82684000,34712000,28832000,41261000,50341000,47617000,38979000,66174000,49993000
49,Short-Term Debt,- -,- -,10000000,14500000,55900000,- -,- -,- -,- -,18540000,26757000,26652000,31441000,30196000,35400000,27865000,28608000,39019000,67824000,82770000,67849000,- -,77840000,69455000,27500000,74981000,140927000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57655000,- -,- -,58939000,31135000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22007000,4608000,13596000,6160000,6644000,- -,12669000,20104000,20162000,35054000,33139000
52,Other Current Liabilities,- -,- -,155500000,157800000,129700000,83219000,70615000,77808000,114353000,107226000,112023000,120074000,115620000,115794000,124520000,163103000,158375000,228594000,612688000,294687000,304272000,- -,306520000,302479000,270119000,366647000,305635000
53,Total Current Liabilities,- -,- -,174900000,190200000,208300000,99056000,85348000,95800000,133169000,150948000,159056000,167541000,171169000,166368000,185212000,216448000,241171000,320103000,776792000,418329000,407597000,41261000,447370000,439655000,356760000,542856000,529694000
54,Long-Term Debt,- -,- -,- -,138700000,89400000,84884000,73718000,81732000,147488000,132701000,123483000,136173000,169229000,158760000,121119000,133013000,107944000,154963000,113852000,164567000,181745000,275023000,310790000,361008000,334461000,425396000,362858000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18236000,10741000,23357000,24159000
57,Other Non-Current Liabilities,- -,- -,- -,22900000,36100000,40130000,43396000,47820000,52842000,29855000,41699000,42155000,67836000,68464000,66431000,71514000,67605000,87229000,71799000,89100000,90880000,- -,127116000,93680000,191755000,71196000,76997000
58,Total Non-Current Liabilities,- -,- -,- -,161600000,125500000,125014000,117114000,129552000,200330000,162556000,165182000,178328000,237065000,227224000,187550000,204527000,175549000,242192000,185651000,253667000,272625000,275023000,437906000,472924000,536957000,519949000,464014000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1043737000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145050000,164984000,127504000
61,Total Liabilities,- -,- -,174900000,351800000,333800000,224070000,202462000,225352000,333499000,313504000,324238000,345869000,408234000,393592000,372762000,420975000,416720000,562295000,962443000,671996000,680222000,809975000,885276000,912579000,893717000,1062805000,993708000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,85000,82000,81000,71000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000,91000
64,Retained Earnings,- -,- -,105100000,158100000,244800000,306458000,340340000,385589000,431615000,477912000,526537000,531563000,546832000,584239000,645078000,749940000,866632000,1039903000,1334277000,1442082000,1493941000,1558589000,1609168000,1635751000,1727772000,1840740000,1911734000
65,Other Comprehensive Income/Loss,- -,- -,-8500000,-48100000,-66700000,-71794000,-76738000,-93727000,-104451000,-121677000,-67000000,-65000000,-68000000,-70000000,-68000000,-59000000,-63000000,-52000000,-46000000,-52000000,-71000000,-84000000,-66318000,-80000000,-85000000,-64768000,-73896000
66,Other Total Stockholders Equity,- -,- -,80900000,144600000,131200000,131984000,116206000,94543000,-36987000,-60093000,-105000000,-147674000,-203914000,-198150000,-201482000,-219782000,-229487000,-397382000,-429749000,-447735000,-597411000,-810610000,- -,-773975000,-767574000,-881792000,- -
67,Total Stockholders Equity,- -,- -,177500000,254600000,309400000,366733000,379890000,386486000,290248000,296233000,354628000,318980000,275009000,316180000,375687000,471249000,574236000,590612000,858619000,942438000,825621000,664070000,704596000,781867000,875289000,894271000,912772000
68,Total Liabilities And Stockholders Equity,- -,- -,352400000,606400000,643200000,590803000,582352000,611838000,623747000,609737000,678866000,664849000,683243000,709772000,748449000,892224000,990956000,1152907000,1821062000,1614434000,1505843000,1474045000,1589872000,1694446000,1769006000,1957076000,1906480000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201545000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,352400000,606400000,643200000,590803000,582352000,611838000,623747000,609737000,678866000,664849000,683243000,709772000,748449000,892224000,990956000,1152907000,1821062000,1614434000,1505843000,1272500000,1589872000,1694446000,1769006000,1957076000,1906480000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1021561/000102156198000022/0001021561-98-000022-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000126645407000141/0001266454-07-000141-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156100000004/0001021561-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156101000002/0001021561-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156102000006/0001021561-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156103000003/0001021561-03-000003-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156104000005/0001021561-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000103393205000011/0001033932-05-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021561/000126645407000141/0001266454-07-000141-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021561/000102156109000025/0001021561-09-000025-index.html,https://www.sec.gov/Archives/edgar/data/1021561/000102156110000024/0001021561-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156111000030/0001021561-11-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156112000026/0001021561-12-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156113000033/0001021561-13-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156114000031/0001021561-14-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156115000013/0001021561-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156116000100/0001021561-16-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000102156117000019/0001021561-17-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021561/000114036119003087/0001140361-19-003087-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000114036120002997/0001140361-20-002997-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000114036121004212/0001140361-21-004212-index.htm,https://www.sec.gov/Archives/edgar/data/1021561/000114036122005656/0001140361-22-005656-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,40200000,81700000,93600000,103900000,86700000,61700000,50313000,64843000,67876000,77674000,74033000,32817000,43872000,65347000,89845000,136051000,153330000,221645000,364888000,189176000,133046000,143086000,129437000,121887000,173553000,191355000,147266000
74,Depreciation and Amortization,2000000,5400000,24000000,41000000,33200000,37602000,32426000,21602000,23084000,28661000,31366000,29132000,32967000,30393000,28557000,29616000,32850000,33412000,34923000,54924000,71365000,72397000,71564000,83003000,76650000,73991000,76320000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12350000,-13735000,108000,4692000,-41748000,10399000,17362000,-17652000,39213000,-14929000,1965000,-11914000,5821000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7273000,9989000,10835000,15450000,21358000,32620000,17504000,7400000,8890000,19314000,26609000,9909000,24060000,23194000
77,Change in Working Capital,22800000,- -,101400000,63200000,-90000000,48235000,29678000,28126000,-37071000,-26167000,31697000,-39680000,-14243000,28861000,28695000,53347000,82838000,-9616000,62242000,74796000,-117543000,309205000,-277581000,29163000,23824000,-23064000,-193620000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7069000,-7043000,-6649000,-5890000,-7884000,-34304000,30766000,-2246000,3357000,-103000,-10453000,2746000,-11207000,20219000
79,Inventory,-17100000,-12200000,-7600000,-3600000,-2100000,3736000,-2240000,-4051000,4968000,-4136000,-11925000,163000,-12312000,-14910000,9740000,-4293000,2415000,-22605000,-207436000,-16518000,59652000,9801000,7537000,-33371000,18446000,-31137000,-95320000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6139000,3602000,-568000,6077000,15831000,32643000,-45953000,-4297000,13443000,6834000,-9164000,-7184000,24836000,-13279000
81,Other Working Capital,- -,- -,101400000,164600000,74600000,122835000,152513000,180639000,143568000,117401000,149098000,109418000,95175000,124036000,152731000,206078000,288916000,279300000,341542000,416338000,298795000,608000000,330419000,359582000,383406000,360342000,- -
82,Other Non-Cash Items,- -,34100000,-126300000,-89500000,400000,-104149000,-38000000,-3455000,55137000,50182000,-22996000,53526000,-13943000,-28567000,-35492000,-28231000,-60261000,39485000,77251000,-403263000,210479000,-240663000,320608000,-42995000,-107970000,124713000,82601000
83,Cash Provided by Operating Activities,65000000,121200000,92700000,118600000,30300000,43388000,74417000,111116000,109026000,130350000,114100000,75795000,48653000,103307000,133944000,187883000,224315000,310976000,530176000,-56464000,322109000,275263000,302555000,202738000,177931000,379141000,141582000
84,CAPEX,-5400000,-5700000,-7400000,-47100000,-43300000,-23030000,-15126000,-19026000,-23518000,-34996000,-30884000,-37661000,-22736000,-16007000,-20215000,-53783000,-41809000,-96645000,-185103000,-101476000,-56622000,-50221000,-60156000,-70371000,-66067000,-63823000,-68615000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-13000000,- -,- -,- -,-9000000,-31745000,-39000000,-8000000,-14949000,-18963000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-198198000,-160380000,-173925000,-136750000,-13910000,- -,- -,-24361000,-15737000,-21671000,-17522000,-15750000,-247208000,-11332000,-11420000,-8432000,-14693000,-16242000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,185015000,170610000,173925000,131525000,19135000,- -,- -,6634000,20086000,13075000,27328000,11526000,- -,11269000,11536000,11160000,14037000,15094000
88,Other Investing Activites,-700000,-5400000,-13300000,1000000,-700000,60000,- -,-7505000,- -,- -,-5548000,- -,- -,- -,- -,- -,337000,438000,- -,- -,- -,233772000,- -,494000,-73000,- -,- -
89,Cash Used for Investing Activites,-6100000,-11100000,-20700000,-46100000,-44000000,-22970000,-15126000,-26531000,-23518000,-48179000,-26202000,-37661000,-27961000,-10782000,-20215000,-53783000,-71199000,-104858000,-193699000,-91670000,-60846000,-72657000,-91964000,-108761000,-71412000,-79428000,-88726000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32711000,-30188000,-37401000,-28001000,-28279000,-37903000,-333803000,-35508000,-56151000,-103226000,-552500000,-214455000,-143209000,-116871000
91,Common Stock Issued,- -,98800000,- -,2000000,2900000,294000,805000,1261000,8892000,16627000,6177000,5400000,5731000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-20300000,-10500000,-26900000,-12765000,-18139000,- -,-150009000,-72311000,-24638000,-67452000,-71100000,-6094000,-21144000,-58516000,-67149000,-201471000,-140865000,-45724000,-164094000,-247208000,-71731000,-69565000,-825000,-144334000,-80420000
93,Dividends Paid,-12200000,-47100000,- -,- -,- -,- -,-16431000,-19593000,-21851000,-22627000,-25408000,-27791000,-27145000,-27940000,-29006000,-31189000,-36638000,-48374000,-70514000,-81371000,-81187000,-78438000,-76058000,-80581000,-82189000,-78387000,-76272000
94,Other Financing Activites,3300000,-15000000,-71400000,-40200000,-49500000,-52821000,- -,-14158000,75000000,-16241000,12926000,15225000,34882000,4051000,7328000,58089000,24777000,114237000,128557000,419822000,44869000,247083000,91443000,585932000,142675000,120764000,168861000
95,Cash Used/Provided by Financing Activities,-8900000,36700000,-91700000,-48700000,-73500000,-65292000,-33765000,-32490000,-87968000,-94552000,-30943000,-74618000,-57632000,-62694000,-73010000,-69017000,-107011000,-163887000,-120725000,-41076000,-235920000,-134714000,-159572000,-116714000,-154794000,-245166000,-104702000
96,Effect of Forex Changes on Cash,-3100000,-2900000,-21100000,-9300000,8500000,-1292000,-13599000,-7677000,4687000,-322000,-11411000,2428000,2914000,-2572000,2740000,7209000,-3468000,4820000,-10624000,-47528000,-24404000,-14796000,18134000,-16751000,-3006000,12506000,-11244000
97,Net Change In Cash,-8900000,36700000,- -,- -,-78600000,-46166000,11927000,44418000,2227000,-12703000,45544000,-34056000,-34026000,27259000,43459000,72292000,42637000,47051000,205128000,-236738000,939000,425138000,69153000,-39488000,-51281000,67053000,-63090000
98,Cash at the End of Period,- -,- -,- -,- -,110200000,63996000,75923000,120341000,122568000,109865000,155409000,121353000,87327000,114586000,158045000,230337000,272974000,320025000,525153000,288415000,289354000,357246000,426399000,386911000,335630000,402683000,339593000
99,Cash at the Beginning of Period,16300000,63200000,207100000,174300000,188800000,110162000,63996000,75923000,120341000,122568000,109865000,155409000,121353000,87327000,114586000,158045000,230337000,272974000,320025000,525153000,288415000,-67892000,357246000,426399000,386911000,335630000,402683000
100,Free Cash Flow,59600000,115500000,85300000,71500000,-13000000,20358000,59291000,92090000,85508000,95354000,83216000,38134000,25917000,87300000,113729000,134100000,182506000,214331000,345073000,-157940000,265487000,225042000,242399000,132367000,111864000,315318000,72967000
