,https://roic.ai/company/MNRO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,11900000,12300000,14300000,17100000,15600000,20700000,20700000,14300000,22547000,22771000,22093000,24554000,30099000,34414000,39782000,39983000,38568000,43663000,59236000,78385000,91416000,73705000,95347000,109789000,120589000,116384000,127296000,126743000,101702000,72238000
18,Operating Income ratio,0.1690,0.1567,0.1528,0.1567,0.1332,0.1466,0.1342,0.0739,0.1008,0.1021,0.0982,0.0952,0.1077,0.1020,0.1079,0.0958,0.0878,0.0917,0.1049,0.1231,0.1332,0.1007,0.1147,0.1227,0.1278,0.1139,0.1129,0.1056,0.0809,0.0642
19,Total Other Income Expenses (Gains),-2100000,-2000000,-2100000,-2000000,-3000000,-3800000,-4100000,-6400000,-8922000,-6664000,-5093000,-3054000,-3399000,-3014000,-2982000,-5298000,-5168000,-5563000,-5836000,-4485000,-4730000,-6905000,-8847000,-10434000,-15168000,-19140000,-23842000,-26383000,-27428000,-28047000
20,Income Before Tax,9800000,10300000,12200000,15100000,12600000,16900000,16600000,7900000,13625000,16107000,17000000,21500000,26700000,31400000,36800000,34685000,33400000,38100000,53400000,73900000,86686000,66800000,86500000,99355000,105421000,97244000,103454000,100360000,74274000,44191000
21,Income Before Tax Ratio,0.1392,0.1312,0.1303,0.1384,0.1076,0.1197,0.1076,0.0408,0.0609,0.0722,0.0756,0.0833,0.0955,0.0931,0.0998,0.0831,0.0760,0.0800,0.0946,0.1161,0.1263,0.0913,0.1040,0.1111,0.1117,0.0952,0.0917,0.0836,0.0591,0.0393
22,Income Tax expense (Gain),4100000,4100000,4800000,6000000,5000000,6700000,6700000,3200000,5418000,6411000,6100000,8200000,10422000,11733000,14140000,12414000,11692000,14026000,20234000,28096000,32074000,24257000,32077000,37556000,38616000,35718000,39519000,20608000,16250000,9872000
23,Net Income,5700000,6200000,7400000,9100000,7600000,10200000,9900000,4700000,8207000,9696000,10900000,13300000,16500000,19700000,22700000,22271000,21900000,24100000,33200000,45800000,54612000,42600000,54500000,61799000,66805000,61526000,63935000,79752000,58024000,34319000
24,Net Income ratio,0.0810,0.0790,0.0791,0.0834,0.0649,0.0722,0.0642,0.0243,0.0367,0.0435,0.0485,0.0516,0.0590,0.0584,0.0616,0.0534,0.0498,0.0506,0.0588,0.0719,0.0795,0.0582,0.0656,0.0691,0.0708,0.0602,0.0567,0.0664,0.0462,0.0305
25,EPS,0.20,0.20,0.30,0.36,0.25,0.34,0.37,0.17,0.29,0.35,0.41,0.48,0.58,0.67,0.74,0.71,0.72,0.85,1.11,1.50,1.77,1.36,1.73,1.94,2.07,1.88,1.95,2.41,1.74,1.02
26,EPS Diluted,0.20,0.20,0.26,0.32,0.25,0.34,0.34,0.16,0.27,0.32,0.37,0.43,0.52,0.60,0.67,0.65,0.67,0.80,1.07,1.44,1.69,1.32,1.67,1.88,2.00,1.85,1.92,2.37,1.71,1.01
27,Weighted Average Shares Outstanding,29118576,30295824,24460815,25149006,30056430,30403780,26537625,28069875,28029375,27614250,27658125,28544199,29131933,29479500,30444750,31225500,30036000,28255500,29391000,30460680,30887267,31254131,31490951,31827048,32240026,32689772,32836384,33151061,33284357,33488222
28,Weighted Average Shares Outstanding Diluted,29118576,30295824,28678243,28674603,30344677,30403780,28977750,30364875,30253500,30007125,30560625,31703413,32383807,32764500,33799500,34317000,32806500,30148500,30978000,31807000,32237000,32308000,32642000,32944000,33353000,33301000,33341000,33675000,33953000,33876000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876427/000095015204004592/l07905ae10vk.htm,https://www.sec.gov/Archives/edgar/data/876427/000095015205005074/l14367ae10vk.htm,https://www.sec.gov/Archives/edgar/data/876427/000095015206005030/l20716ae10vk.htm,https://www.sec.gov/Archives/edgar/data/876427/000095015207005129/0000950152-07-005129-index.html,https://www.sec.gov/Archives/edgar/data/876427/000095015208004584/0000950152-08-004584-index.html,https://www.sec.gov/Archives/edgar/data/876427/000095012309013250/0000950123-09-013250-index.html,https://www.sec.gov/Archives/edgar/data/876427/000095012310057267/0000950123-10-057267-index.html,https://www.sec.gov/Archives/edgar/data/876427/000119312511150306/0001193125-11-150306-index.html,https://www.sec.gov/Archives/edgar/data/876427/000119312512253562/d295283d10k.htm,https://www.sec.gov/Archives/edgar/data/876427/000119312513239665/0001193125-13-239665-index.html,https://www.sec.gov/Archives/edgar/data/876427/000119312514215130/0001193125-14-215130-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276215000179/0001562762-15-000179-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276216000396/0001562762-16-000396-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276217000075/0001562762-17-000075-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276218000183/0001562762-18-000183-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276219000139/0001562762-19-000139-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276220000223/mnro-20200328x10k.htm,https://www.sec.gov/Archives/edgar/data/876427/000156276221000233/0001562762-21-000233-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2100000,4000000,5600000,4900000,5300000,6400000,5300000,5600000,507000,751000,400000,100000,1500000,900000,3800000,965000,2100000,3300000,11200000,2700000,3257000,1500000,1200000,7730000,7985000,8995000,1909000,6214000,345476000,29960000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2100000,4000000,5600000,4900000,5300000,6400000,5300000,5600000,507000,751000,400000,100000,1500000,900000,3800000,965000,2100000,3300000,11200000,2700000,3257000,1500000,1200000,7730000,7985000,8995000,1909000,6214000,345476000,29960000
34,Net Receivables,600000,1700000,1100000,1100000,1200000,1100000,800000,1300000,980000,1161000,1200000,1900000,2000000,2200000,1700000,11574000,5000000,16200000,13500000,13300000,14619000,15800000,12200000,13091000,16365000,29319000,31874000,34372000,38798000,41236000
35,Inventory,8800000,10300000,11700000,13600000,16500000,20000000,27500000,38700000,39698000,41071000,44800000,51300000,54100000,59800000,60400000,62398000,66200000,71400000,85800000,99000000,97356000,118200000,124900000,129727000,129035000,142604000,152367000,171038000,187441000,162282000
36,Other Current Assets,5300000,1600000,2700000,2500000,3500000,5100000,5900000,7700000,6440000,6784000,6800000,10600000,12100000,14600000,19200000,13899000,19600000,10900000,13600000,13800000,19068000,30900000,29800000,24736000,16690000,18312000,21106000,28283000,24305000,33047000
37,Total Current Assets,16800000,17600000,21100000,22100000,26500000,32600000,39500000,53300000,47625000,49767000,53200000,63900000,69700000,77500000,85100000,88836000,92900000,101800000,124100000,128800000,134300000,166400000,168100000,175284000,170075000,199230000,207256000,239907000,596020000,266525000
38,PP&E,33600000,44600000,54800000,69800000,90300000,109700000,116400000,135800000,133875000,131486000,126800000,132100000,154800000,164300000,163600000,184249000,184200000,185100000,202700000,200600000,212994000,275000000,281900000,326752000,351582000,394634000,416669000,440581000,724941000,805752000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,27400000,37200000,37800000,52897000,71500000,71800000,90400000,98500000,132656000,249800000,270000000,349088000,400132000,501736000,522892000,565503000,671843000,689524000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1700000,4500000,4900000,4000000,14041000,5200000,4400000,13900000,13500000,15172000,32400000,29400000,34555000,39520000,54288000,49143000,51107000,29781000,26068000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,31900000,42100000,41800000,66938000,76700000,76200000,104300000,112000000,147828000,282200000,299400000,383643000,439652000,556024000,572035000,616610000,701624000,715592000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1100000,- -,500000,100000,- -,- -,- -,600000,4400000,- -,- -,100000,- -,- -,- -,11475000,- -,10069000,5613000
44,Other Non-Current Assets,1100000,1300000,1100000,1100000,3300000,4000000,3200000,13800000,14013000,12586000,5300000,3600000,2900000,600000,12800000,- -,16700000,13800000,12400000,6000000,14970000,15800000,10500000,22115000,38129000,35376000,10997000,15190000,16803000,18332000
45,Total Non-Current Assets,34700000,45900000,55900000,70900000,93600000,113700000,119600000,149600000,147888000,144072000,132600000,143300000,189600000,207500000,218300000,251187000,277600000,275100000,320000000,323000000,375792000,573000000,591900000,732510000,829363000,986034000,1011176000,1072381000,1453437000,1545289000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51500000,63500000,77000000,93000000,120100000,146300000,159100000,202900000,195513000,193839000,185800000,207200000,259300000,285000000,303400000,340023000,370500000,376900000,444100000,451800000,510092000,739400000,760000000,907794000,999438000,1185264000,1218432000,1312288000,2049457000,1811814000
48,Accounts Payable,2700000,3700000,3800000,5200000,6900000,8700000,11600000,9700000,11608000,11148000,12700000,17000000,16700000,23800000,25800000,27211000,27300000,34800000,43200000,41300000,45349000,61000000,53300000,62920000,69887000,79492000,84568000,103602000,99504000,112378000
49,Short-Term Debt,- -,- -,- -,- -,- -,3100000,3600000,8400000,8455000,10646000,- -,- -,- -,- -,- -,1368000,- -,- -,- -,- -,3908000,- -,- -,- -,- -,- -,40000,- -,- -,68706000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045000,682000,1937000,- -,914000,3135000,4169000,1132000,- -,5704000,5900000,385000,6929000,6892000,- -,6424000,1412000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2671000,2811000,798000,1133000,- -,3840000,4076000,7800000,8667000,- -,13154000,13710000,13942000,25355000,24045000,- -,12059000,13100000,11956000
52,Other Current Liabilities,5700000,5800000,9400000,10100000,10800000,11200000,10800000,17100000,15899000,14775000,28100000,22329000,20589000,25802000,26767000,31929000,27160000,32524000,48400000,59433000,60537000,63946000,69690000,78931000,72329000,82356000,109397000,102786000,142332000,97576000
53,Total Current Liabilities,8400000,9500000,13200000,15300000,17700000,23000000,26000000,35200000,35962000,36569000,40800000,42000000,40100000,50400000,53700000,60508000,58300000,71400000,99400000,109400000,109794000,138100000,136700000,155793000,167571000,185893000,194005000,218447000,254936000,290616000
54,Long-Term Debt,17900000,22600000,24300000,28700000,45500000,54900000,54100000,78600000,63639000,50857000,34100000,36200000,68800000,55400000,46300000,52525000,122600000,97100000,96400000,42000000,51164000,214800000,187000000,255688000,269045000,395503000,148068000,375771000,864773000,734054000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,- -,- -
56,Deferred Tax Liabilities,- -,- -,700000,800000,1100000,1800000,1900000,2400000,3805000,6014000,- -,- -,- -,- -,- -,420000,3176000,1759000,- -,- -,6424000,2096000,140000,13942000,165730000,213166000,- -,238089000,10069000,19783000
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,500000,5700000,3332000,2589000,4400000,4600000,11500000,11700000,10400000,11451000,11524000,12341000,15700000,20200000,15211000,19404000,20160000,8760000,-139103000,-190552000,247883000,-224629000,185239000,17677000
58,Total Non-Current Liabilities,17900000,22600000,25000000,29600000,46600000,56700000,56500000,86700000,70776000,59460000,38500000,40800000,80300000,67100000,56700000,64396000,137300000,111200000,112100000,62200000,72799000,236300000,207300000,278390000,295672000,418117000,395951000,394331000,1060081000,771514000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58899000,81199000,133145000,176974000,228444000,246169000,238089000,499508000,612760000
61,Total Liabilities,26300000,32100000,38200000,44900000,64300000,79700000,82500000,121900000,106738000,96029000,79300000,82800000,120400000,117500000,110400000,124904000,195600000,182600000,211500000,171600000,182593000,374400000,344000000,434183000,463243000,604010000,589956000,612778000,1315017000,1062130000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000,97000,97000,97000,97000,97000,49000,49000,49000,49000,49000,49000,49000,49000,33000,33000,33000,33000,29000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,83000,84000,100000,100000,100000,100000,100000,143000,200000,200000,200000,400000,368000,400000,400000,380000,386000,390000,392000,395000,396000,398000
64,Retained Earnings,19700000,25900000,33200000,37000000,38600000,44200000,47100000,44900000,53379000,63075000,71100000,84800000,97000000,116600000,137100000,155634000,171100000,190500000,216800000,253900000,297440000,327300000,367600000,412524000,459642000,498651000,539286000,592174000,619855000,624361000
65,Other Comprehensive Income/Loss,-16100000,-19900000,-24400000,-29700000,-36000000,-42200000,-49400000,-59000000,-68904000,-77934000,-1400000,-1800000,-800000,-115300000,-128200000,-1000000,-1000000,-3000000,-2000000,-2000000,-4000000,-4000000,-3000000,-5000000,-5000000,-3000000,-4000000,-5000000,-7000000,-4619000
66,Other Total Stockholders Equity,21600000,25400000,30000000,40800000,53200000,64600000,78900000,95100000,104217000,112585000,36700000,41195000,47402000,165992000,183893000,60245000,4451000,6542000,17621000,27900000,33642000,41293000,50935000,65658000,81118000,85180000,92765000,111908000,121156000,129515000
67,Total Stockholders Equity,25200000,31400000,38800000,48100000,55800000,66600000,76600000,81000000,88775000,97810000,106500000,124392000,143799000,167489000,192990000,215119000,174848000,194291000,232670000,280249000,327499000,365042000,415984000,473611000,536195000,581254000,628476000,699510000,734440000,749684000
68,Total Liabilities And Stockholders Equity,51500000,63500000,77000000,93000000,120100000,146300000,159100000,202900000,195513000,193839000,185800000,207192000,264199000,284989000,303390000,340023000,370448000,376891000,444170000,451849000,510092000,739442000,759984000,907794000,999438000,1185264000,1218432000,1312288000,2049457000,1811814000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,-4899000,11000,10000,- -,52000,9000,-70000,-49000,- -,-42000,16000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,51500000,63500000,77000000,93000000,120100000,146300000,159100000,202900000,195513000,193839000,185800000,207200000,259300000,285000000,303400000,340023000,370500000,376900000,444100000,451800000,510092000,739400000,760000000,907794000,999438000,1185264000,1218432000,1312288000,2049457000,1811814000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876427/000095015204004592/l07905ae10vk.htm,https://www.sec.gov/Archives/edgar/data/876427/000095015205005074/l14367ae10vk.htm,https://www.sec.gov/Archives/edgar/data/876427/000095015206005030/l20716ae10vk.htm,https://www.sec.gov/Archives/edgar/data/876427/000095015207005129/0000950152-07-005129-index.html,https://www.sec.gov/Archives/edgar/data/876427/000095015208004584/0000950152-08-004584-index.html,https://www.sec.gov/Archives/edgar/data/876427/000095012309013250/0000950123-09-013250-index.html,https://www.sec.gov/Archives/edgar/data/876427/000095012310057267/0000950123-10-057267-index.html,https://www.sec.gov/Archives/edgar/data/876427/000119312511150306/0001193125-11-150306-index.html,https://www.sec.gov/Archives/edgar/data/876427/000119312512253562/d295283d10k.htm,https://www.sec.gov/Archives/edgar/data/876427/000119312513239665/0001193125-13-239665-index.html,https://www.sec.gov/Archives/edgar/data/876427/000119312514215130/0001193125-14-215130-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276215000179/0001562762-15-000179-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276216000396/0001562762-16-000396-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276217000075/0001562762-17-000075-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276218000183/0001562762-18-000183-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276219000139/0001562762-19-000139-index.html,https://www.sec.gov/Archives/edgar/data/876427/000156276220000223/mnro-20200328x10k.htm,https://www.sec.gov/Archives/edgar/data/876427/000156276221000233/0001562762-21-000233-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5700000,6200000,7400000,9100000,7600000,10200000,9900000,4700000,8207000,9696000,10900000,13300000,16500000,19700000,22700000,22271000,21900000,24100000,33200000,45800000,54612000,42600000,54500000,61799000,66805000,61526000,63935000,79752000,58024000,34319000
74,Depreciation and Amortization,3400000,4000000,4900000,5500000,6800000,8100000,9300000,11800000,13058000,12963000,12834000,12338000,13204000,15724000,17776000,20322000,20421000,20429000,22505000,22803000,23583000,27500000,31688000,35721000,39769000,44629000,49335000,55531000,64986000,77304000
75,Deferred Income Tax,-200000,- -,-300000,200000,-300000,200000,200000,700000,1736000,2725000,606000,84000,2243000,1939000,-806000,816000,-1268000,2468000,1004000,2551000,3162000,-375000,4520000,6338000,6589000,11256000,15485000,12517000,11473000,10854000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1730000,1977000,2299000,2695000,3084000,3551000,3264000,2750000,2483000,2858000,4022000,3813000,2391000
77,Change in Working Capital,-1200000,-300000,-200000,-1100000,2000000,800000,3900000,4600000,-6437000,1535000,-798000,9500000,7700000,-2500000,4300000,-3072000,6272000,-4200000,-5700000,-5300000,5106000,3794000,3100000,-11909000,-16987000,10833000,-86000,8209000,319624000,-365175000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,- -,- -,153000,-511000,107000,168000,-1477000,-74000,-88000,-1361000,107000,-814000
79,Inventory,-1400000,-1500000,-1400000,-1900000,-2700000,-3500000,-7500000,-4400000,-1042000,-1330000,-3750000,-4247000,840000,-4870000,-4592000,-974000,-2820000,-5260000,-655000,-12887000,4589000,-5968000,-5192000,805000,1555000,5044000,-8399000,-9126000,-11841000,26570000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7183000,8348000,- -,4048000,15657000,-7685000,9599000,7079000,9605000,5151000,19037000,-4090000,12874000
81,Other Working Capital,8400000,8100000,7900000,6800000,8800000,9600000,13500000,18100000,11663000,13198000,12400000,21900000,29600000,27100000,31400000,28328000,34600000,30400000,24700000,19400000,24506000,28300000,31400000,19491000,2504000,13337000,13251000,21460000,341084000,-24091000
82,Other Non-Cash Items,-200000,-400000,- -,1000000,-3600000,100000,-9100000,-13100000,6017000,-5526000,471000,-7833000,-6798000,2778000,-7738000,-2000000,-10373000,4057000,33541000,-6432000,-6532000,7833000,-3416000,31136000,27578000,-792000,-10292000,-7140000,-336591000,425212000
83,Cash Provided by Operating Activities,7500000,9500000,11800000,14700000,12500000,19400000,14200000,8700000,22581000,21393000,24013000,27389000,32849000,37641000,36232000,38337000,36952000,48584000,86527000,61721000,82626000,84436000,93943000,126349000,126504000,129935000,121235000,152891000,121329000,184905000
84,CAPEX,-9300000,-14700000,-14400000,-20300000,-25600000,-27600000,-25400000,-43900000,-14265000,-11045000,-8615000,-14822000,-14327000,-18586000,-16005000,-22319000,-20574000,-23637000,-21333000,-17507000,-28556000,-34185000,-32150000,-34750000,-36834000,-34640000,-39122000,-44468000,-55918000,-51725000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7228000,-25506000,-4539000,- -,-13109000,-20243000,- -,-46103000,-10193000,-39243000,-163326000,-27467000,-84367000,-49018000,-142567000,-23439000,-62427000,-104436000,-17154000
86,Purchases of Investments,-8200000,-3000000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,8400000,6000000,1600000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-300000,100000,- -,-2300000,100000,10600000,8100000,2235000,1113000,78000,422000,1265000,1986000,-3585000,9449000,1084000,-21668000,-20553000,-17364000,-26454000,-31148000,-28234000,-34341000,-34209000,-33057000,-35051000,-43456000,-54375000,-49106000
89,Cash Used for Investing Activites,-9100000,-12000000,-13500000,-20100000,-27900000,-27500000,-14800000,-35800000,-12030000,-9932000,-8537000,-21628000,-38568000,-21139000,-21590000,-25979000,-39733000,-21668000,-66656000,-27557000,-65697000,-194474000,-55701000,-118708000,-83227000,-175624000,-58490000,-105883000,-158811000,-66260000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153329000,-181894000,-218888000,-198236000,-253445000,-333174000,-336617000,-366707000,-404303000,-395521000,-463989000,-412725000,-409783000
91,Common Stock Issued,4300000,- -,- -,300000,100000,500000,100000,500000,- -,263000,782000,2045000,1211000,1355000,4152000,3609000,1544000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-600000,- -,- -,- -,- -,- -,- -,- -,-803000,-1028000,- -,- -,- -,- -,-225000,-87000,-60017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2137000,-3785000,-4800000,-4700000,-5430000,-8690000,-11036000,-12740000,-14156000,-16845000,-19687000,-22517000,-23969000,-26814000,-29715000,-29782000
94,Other Financing Activites,-3500000,4400000,3400000,4400000,15800000,8800000,-600000,27000000,-14840000,-10452000,-16567000,-8179000,5972000,-18502000,-13540000,-14910000,67197000,132341000,175297000,184904000,192930000,374429000,308830000,352346000,343372000,473519000,349659000,448100000,819184000,5404000
95,Cash Used/Provided by Financing Activities,200000,4400000,3400000,4700000,15900000,9300000,-500000,27500000,-15643000,-11217000,-15785000,-6134000,7183000,-17147000,-11750000,-15173000,3924000,-25688000,-12027000,-42674000,-16342000,108244000,-38500000,-1116000,-43022000,46699000,-69831000,-42703000,376744000,-434161000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,200000,4400000,3400000,4700000,15900000,9300000,-500000,300000,-5092000,244000,-309000,-373000,1464000,-645000,2892000,-2815000,1143000,1228000,7844000,-8510000,587000,-1794000,-258000,6525000,255000,1010000,-7086000,4305000,339262000,-315516000
