,https://roic.ai/company/ANGO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,1525000,939000,1747000,14500000,64000000,28313000,32040000,27909000,58763000,45984000,23508000,21802000,16105000,18391000,32333000,47544000,74096000,227641000,54435000,48161000
32,Short-Term Investments,- -,1318000,729000,737000,12600000,25700000,43191000,46182000,40278000,41311000,85558000,14070000,2153000,1809000,1689000,1653000,1215000,1317000,- -,- -,- -
33,Cash and Short-Term Investments,- -,2843000,1668000,2484000,27100000,89700000,71504000,78222000,68187000,100074000,131542000,37578000,23955000,17914000,20080000,33986000,48759000,75413000,227641000,54435000,48161000
34,Net Receivables,- -,4461000,6532000,27894000,10000000,13500000,20798000,26642000,27181000,29838000,27141000,51088000,49808000,62148000,58428000,54965000,49122000,41906000,45780000,34174000,37318000
35,Inventory,- -,7909000,8631000,8545000,10300000,16000000,28569000,22901000,36928000,29216000,28126000,55823000,55062000,61056000,67388000,55370000,54506000,48916000,40071000,59905000,48614000
36,Other Current Assets,- -,665000,1694000,1452000,2300000,3000000,6990000,14117000,16302000,12232000,7496000,14749000,12691000,11110000,9917000,1933000,1527000,1797000,1800000,4399000,6786000
37,Total Current Assets,- -,15878000,18525000,40375000,49700000,122200000,127861000,141882000,148598000,171360000,194305000,159238000,141516000,152228000,155813000,146254000,153914000,168032000,315292000,152913000,140879000
38,PP&E,- -,2730000,6261000,7343000,8500000,10800000,16832000,21163000,22183000,24193000,23804000,55915000,62650000,67208000,54560000,48284000,45234000,42461000,24258000,28312000,37073000
39,Goodwill,- -,- -,- -,- -,- -,- -,153787000,162707000,161974000,161974000,161951000,308912000,355458000,360294000,361252000,361252000,361252000,361252000,347666000,200515000,201316000
40,Intangible Assets,- -,1157000,1036000,964000,800000,3600000,49148000,71311000,67770000,58352000,48037000,147266000,214848000,205256000,181806000,166577000,145675000,130310000,145387000,197136000,168977000
41,Intangible Assets,- -,1157000,1036000,964000,800000,3600000,202935000,234018000,229744000,220326000,209988000,456178000,570306000,565550000,543058000,527829000,506927000,491562000,493053000,397651000,370293000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,882000,826000,642000,- -,- -,29289000,6860000,4263000,2527000,5835000,39198000,11007000,9767000,14904000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,408000,402000,700000,400000,6364000,4824000,3915000,5519000,3489000,11240000,6105000,5397000,5288000,4696000,1886000,3417000,3835000,15338000,13193000
45,Total Non-Current Assets,- -,4769000,8531000,9351000,10000000,14800000,255420000,266865000,260105000,252565000,243116000,562531000,650068000,647922000,617810000,580809000,554047000,537440000,521146000,441301000,420559000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20647000,27056000,49726000,59700000,137000000,383281000,408747000,408703000,423925000,437421000,721769000,791584000,800150000,773623000,727063000,707961000,705472000,836438000,594214000,561438000
48,Accounts Payable,- -,2294000,2707000,2143000,4000000,5800000,7567000,9081000,13152000,12044000,11391000,29200000,24522000,32895000,23668000,15616000,18087000,15775000,22829000,19096000,19630000
49,Short-Term Debt,- -,983000,140000,3155000,165000,180000,315000,10040000,265000,260000,275000,7500000,7500000,5000000,8750000,16250000,5000000,5000000,7500000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1047000,2016000,928000,611000,856000,683000,807000,634000,631000
51,Deferred Revenue,- -,- -,- -,- -,736000,822000,- -,- -,- -,- -,- -,3138000,1573000,200000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2500000,3318000,4096000,2699000,3998000,12536000,22213000,16282000,13722000,13841000,15584000,29842000,34191000,28739000,34861000,48429000,36526000,42973000,32349000,37954000
53,Total Current Liabilities,- -,5777000,6165000,9394000,7600000,10800000,20418000,41334000,29699000,26026000,25507000,55422000,63437000,72286000,61157000,66727000,71516000,57301000,73302000,51445000,57584000
54,Long-Term Debt,- -,15165000,19403000,3100000,2900000,2800000,17115000,7075000,6810000,6550000,6275000,142500000,135000000,137660000,128910000,105160000,91320000,86621000,124407000,40000000,20000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1146000,1119000,21684000,26112000,17173000,14542000,24057000,19955000
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,- -,9790000,4625000,- -,- -,- -,327000,66317000,51164000,37415000,26264000,3986000,1782000,9372000,23840000,24442000
58,Total Non-Current Liabilities,- -,15165000,19403000,3100000,3000000,2800000,26905000,11700000,6810000,6550000,6275000,142827000,201317000,189970000,167444000,153108000,121418000,105576000,148321000,87897000,64397000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,20942000,25568000,12494000,10600000,13600000,47323000,53034000,36509000,32576000,31782000,198249000,264754000,262256000,228601000,219835000,192934000,162877000,221623000,139342000,121981000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,92000,92000,112000,100000,200000,240000,243000,245000,247000,250000,348000,351000,353000,360000,363000,367000,370000,372000,374000,377000
64,Retained Earnings,- -,-12129000,-10943000,-8268000,-3700000,3100000,-5981000,4908000,14840000,27152000,35269000,30175000,29563000,32651000,28233000,-16015000,-11007000,5129000,66469000,-100318000,-131866000
65,Other Comprehensive Income/Loss,- -,-3550000,-300000,-118000,-169000,-82000,-61000,-36000,-905000,-1394000,-1273000,-1274000,-1534000,-1269000,-1568000,-791000,-1324000,-952000,-1352000,-1341000,3153000
66,Other Total Stockholders Equity,- -,15292000,12639000,45506000,52879000,120220000,- -,350598000,358014000,365344000,371393000,494271000,498450000,506159000,517997000,523671000,526991000,538048000,549326000,556157000,567793000
67,Total Stockholders Equity,- -,-295000,1488000,37232000,49110000,123438000,335958000,355713000,372194000,391349000,405639000,523520000,526830000,537894000,545022000,507228000,515027000,542595000,614815000,454872000,439457000
68,Total Liabilities And Stockholders Equity,- -,20647000,27056000,49726000,59710000,137038000,383281000,408747000,408703000,423925000,437421000,721769000,791584000,800150000,773623000,727063000,707961000,705472000,836438000,594214000,561438000
69,Minority Interest,- -,- -,- -,- -,-10000,-38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20647000,27056000,49726000,59700000,137000000,383281000,408747000,408703000,423925000,437421000,721769000,791584000,800150000,773623000,727063000,707961000,705472000,836438000,594214000,561438000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275187/000119312505175427/0001193125-05-175427-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312506170425/0001193125-06-170425-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1275187/000119312508177890/0001193125-08-177890-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312509175543/0001193125-09-175543-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312510181143/0001193125-10-181143-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312511221266/0001193125-11-221266-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312512355457/0001193125-12-355457-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312513334608/0001193125-13-334608-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000144530514003694/0001445305-14-003694-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518715000018/0001275187-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518716000034/0001275187-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518717000026/0001275187-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518718000011/0001275187-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518719000017/0001275187-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518720000024/0001275187-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518721000013/0001275187-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1009000,1186000,3143000,4500000,6900000,-9127000,10889000,9932000,12312000,8117000,-5094000,-612000,3088000,-3268000,-43590000,5008000,16335000,-11146000,-166787000,-31548000
74,Depreciation and Amortization,- -,569000,657000,681000,771000,1082000,3409000,8869000,12055000,12527000,12631000,13056000,29069000,25049000,30492000,28115000,24811000,23163000,25880000,23805000,25916000
75,Deferred Income Tax,- -,55000,45000,57000,119000,-18000,-2818000,5483000,4267000,5877000,-840000,-652000,1011000,3169000,-5111000,39983000,4428000,-8947000,-2655000,-1568000,-4805000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,5793000,4876000,4609000,4090000,4609000,5411000,5998000,3240000,6183000,7912000,9249000,7592000,8625000
77,Change in Working Capital,- -,-487000,18621000,11119000,69300000,-3957000,-6895000,18351000,26435000,23464000,-64982000,-25737000,1863000,14714000,-15129000,2871000,28333000,131259000,-140522000,-18173000,-4977000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,351000,-2613000,2770000,-2496000,1141000,-14856000,2095000,3131000,8479000,5044000,-3177000,11918000,-4162000
79,Inventory,- -,-2555000,-722000,86000,-1719000,-5887000,-6522000,4172000,-10532000,8302000,1495000,-1091000,-1909000,-5447000,-6154000,11976000,687000,5740000,-1428000,-18845000,11539000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10039000,7245000,-5877000,-2956000,19214000,-7093000,5212000,-15467000,4876000
81,Other Working Capital,- -,12360000,30981000,42100000,111400000,107443000,100548000,118899000,145334000,168798000,103816000,78079000,79942000,94656000,79527000,82398000,110731000,241990000,101468000,83295000,78318000
82,Other Non-Cash Items,- -,60000,-19829000,-12500000,-69902000,-788000,24215000,-17685000,-38540000,-19097000,74335000,25834000,-9057000,-26151000,13260000,14597000,-13018000,-128435000,156634000,140577000,30882000
83,Cash Provided by Operating Activities,- -,1206000,680000,2500000,4788000,3219000,8784000,25907000,19942000,39959000,33870000,11497000,26883000,25280000,26242000,45216000,55745000,41287000,37440000,-14554000,24093000
84,CAPEX,- -,-682000,-4062000,-1635000,-1825000,-6076000,-7339000,-6711000,-21439000,-10453000,-2957000,-2492000,-12920000,-13206000,-13293000,-5594000,-3001000,-3656000,-3118000,-7585000,-5187000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-23712000,-18694000,- -,- -,-1086000,-237867000,-24474000,-4169000,- -,- -,- -,- -,-84920000,-55760000,- -
86,Purchases of Investments,- -,-8519000,-5847000,-1193000,-16258000,-31337000,-72254000,-2507000,-33982000,-42436000,-168476000,-123614000,-5134000,-25000,- -,-2000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,8486000,6135000,1185000,4445000,18316000,55188000,- -,39722000,41112000,124081000,194113000,16989000,353000,- -,25000,450000,- -,1350000,- -,- -
88,Other Investing Activites,- -,- -,-798000,647000,101000,- -,-6925000,1718000,-17078000,-5411000,-182000,-6500000,2501000,-1435000,-1353000,-3268000,- -,-1265000,169242000,-350000,-8524000
89,Cash Used for Investing Activites,- -,-715000,-4572000,-996000,-13537000,-19097000,-55042000,-26194000,-15699000,-11777000,-48620000,-176360000,-22238000,-17047000,-13293000,-7569000,-2551000,-3656000,82554000,-63345000,-13711000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-10040000,-265000,-260000,-6550000,-7500000,-146250000,-20000000,-16250000,-140381000,-5000000,-15000000,-132500000,-20000000
91,Common Stock Issued,- -,- -,- -,- -,5655000,65805000,4579000,4238000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2104000,- -,- -,- -,- -,-13557000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,371000,3306000,-696000,15845000,-383000,5950000,-224000,1774000,2983000,2182000,150992000,1214000,132234000,9535000,-7413000,115955000,-6551000,48931000,37258000,3014000
95,Cash Used/Provided by Financing Activities,- -,371000,3306000,-696000,21500000,65422000,10529000,4014000,-8266000,2718000,1922000,142338000,-6286000,-14016000,-10465000,-23663000,-37983000,-11551000,33931000,-95242000,-16986000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-108000,-46000,49000,49000,-65000,86000,-198000,-42000,- -,472000,-380000,-65000,330000
97,Net Change In Cash,- -,862000,-586000,808000,12751000,49544000,-35729000,3727000,-4131000,30854000,-12779000,-22476000,-1706000,-5697000,2286000,13942000,15211000,26552000,153545000,-173206000,-6274000
98,Cash at the End of Period,- -,1525000,939000,1747000,14498000,64042000,28313000,32040000,27909000,58763000,45984000,23508000,21802000,16105000,18391000,32333000,47544000,74096000,227641000,54435000,48161000
99,Cash at the Beginning of Period,- -,663000,1525000,939000,1747000,14498000,64042000,28313000,32040000,27909000,58763000,45984000,23508000,21802000,16105000,18391000,32333000,47544000,74096000,227641000,54435000
100,Free Cash Flow,- -,524000,-3382000,865000,2963000,-2857000,1445000,19196000,-1497000,29506000,30913000,9005000,13963000,12074000,12949000,39622000,52744000,37631000,34322000,-22139000,18906000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275187/000119312505175427/0001193125-05-175427-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312506170425/0001193125-06-170425-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1275187/000119312508177890/0001193125-08-177890-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312509175543/0001193125-09-175543-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312510181143/0001193125-10-181143-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312511221266/0001193125-11-221266-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312512355457/0001193125-12-355457-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000119312513334608/0001193125-13-334608-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000144530514003694/0001445305-14-003694-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518715000018/0001275187-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518716000034/0001275187-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518717000026/0001275187-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518718000011/0001275187-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518719000017/0001275187-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518720000024/0001275187-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1275187/000127518721000013/0001275187-21-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
