,https://roic.ai/company/AGYS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,200600000,204300000,241700000,285800000,305800000,327700000,350000000,408900000,549400000,788473000,1053333000,1451322000,1612315000,2174162000,2449231000,2801171000,2305317000,1158277000,1364182000,1579947000,1681260000,487048000,790064000,738117000,646152000,690990000,224545000,233971000,105730000,112460000,123948000,137440000,137492000,152614000,170621000,155405000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13101000,524000,13000,130000,103000,14000,123000,110000,92000,162000,98000,339000,380000,107000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,945000,1183000,970000,1301000,978000,346000,184000,48000,29000,15000,10000,10000,9000,20000
14,Depreciation and Amortization,2400000,2500000,2800000,2800000,2800000,3500000,4100000,4600000,5300000,6230000,8998000,14573000,14981000,22990000,26343000,27044000,28972000,16823000,9946000,11595000,11041000,7880000,23921000,27683000,16314000,14138000,10512000,6881000,8800000,6980000,4464000,11813000,14526000,17673000,17676000,4791000
15,EBITDA,-1700000,4200000,11400000,14100000,12300000,16900000,12600000,24600000,37000000,48443000,52637000,54894000,67102000,77817000,97698000,87744000,20669000,-36994000,28293000,46805000,60313000,238800000,27603000,-256364000,15655000,-37848000,-19300000,5645000,23590000,-5523000,734000,343000,2935000,4740000,-16181000,-16398000
16,EBITDA ratio,-0.0084,0.0198,0.0448,0.0466,0.0384,0.0490,0.0348,0.0572,0.0637,0.0582,0.0476,0.0364,0.0398,0.0344,0.0383,0.0302,0.0089,-0.0316,0.0202,0.0288,0.0346,0.5032,0.0358,-0.3508,0.0244,-0.0560,-0.0924,0.0239,0.2330,-0.0534,0.0061,0.0027,0.0230,0.0337,-0.1007,-0.1195
17,Operating Income,1400000,7900000,12900000,16500000,14100000,17400000,12400000,21100000,31400000,43679000,51948000,57387000,72950000,84921000,101454000,100182000,18276000,-7343000,36518000,42463000,55863000,-9947000,-19029000,-280054000,-6837000,-54436000,-41190000,-1111000,-6188000,-12467000,-4313000,-11408000,-12080000,-13081000,-34061000,-20958000
18,Operating Income ratio,0.0069,0.0372,0.0507,0.0546,0.0441,0.0504,0.0342,0.0491,0.0541,0.0525,0.0470,0.0380,0.0433,0.0376,0.0398,0.0345,0.0079,-0.0063,0.0260,0.0262,0.0321,-0.0210,-0.0247,-0.3833,-0.0107,-0.0806,-0.1972,-0.0047,-0.0611,-0.1204,-0.0358,-0.0893,-0.0948,-0.0929,-0.2119,-0.1528
19,Total Other Income Expenses (Gains),-5500000,-4800000,-4300000,-5400000,-4600000,-4000000,-3900000,-1100000,300000,-1466000,-8309000,-17066000,-20717000,-24253000,-24229000,-39012000,-21325000,-24141000,-9810000,-1223000,-5170000,-3623000,18788000,-3229000,5237000,1149000,-1056000,-471000,802000,-84000,554000,-77000,479000,138000,195000,-251000
20,Income Before Tax,-4100000,3100000,8600000,11100000,9500000,13400000,8500000,20000000,31700000,42213000,43639000,40321000,52233000,60668000,77225000,61170000,-3049000,-31484000,26708000,41240000,50693000,-13570000,-241000,-283283000,-1600000,-53287000,-42246000,-1582000,-5386000,-12551000,-3759000,-11485000,-11601000,-12943000,-33866000,-21209000
21,Income Before Tax Ratio,-0.0203,0.0146,0.0338,0.0367,0.0297,0.0388,0.0235,0.0465,0.0546,0.0507,0.0395,0.0267,0.0310,0.0269,0.0303,0.0211,-0.0013,-0.0269,0.0190,0.0254,0.0291,-0.0286,-0.0003,-0.3877,-0.0025,-0.0789,-0.2022,-0.0067,-0.0532,-0.1212,-0.0312,-0.0900,-0.0911,-0.0919,-0.2107,-0.1546
22,Income Tax expense (Gain),-2000000,1300000,3400000,4600000,3800000,5100000,3200000,7100000,12000000,17204000,18387000,17067000,21624000,24018000,31210000,26124000,-1256000,-11739000,9684000,15725000,21158000,-1935000,-922000,-1096000,-5176000,2188000,-8007000,-284000,-2491000,-1054000,6000,236000,-3251000,221000,201000,-208000
23,Net Income,-2100000,400000,5200000,6700000,5700000,8300000,5300000,12900000,19700000,25009000,25252000,23254000,30497000,30809000,40145000,34576000,-7047000,-42078000,8663000,19485000,28114000,232855000,3659000,-284134000,3547000,-55475000,-22783000,-1298000,17097000,-11497000,-3765000,-11721000,-8350000,-13164000,-34067000,-21001000
24,Net Income ratio,-0.0104,0.0019,0.0204,0.0222,0.0178,0.0241,0.0146,0.0300,0.0339,0.0301,0.0228,0.0154,0.0181,0.0136,0.0157,0.0119,-0.0030,-0.0359,0.0062,0.0120,0.0161,0.4907,0.0047,-0.3888,0.0055,-0.0821,-0.1091,-0.0055,0.1688,-0.1111,-0.0313,-0.0918,-0.0656,-0.0935,-0.2119,-0.1531
25,EPS,-0.03,0.01,0.09,0.11,0.09,0.13,0.09,0.28,0.39,1.09,1.09,1.00,1.16,1.17,1.52,1.29,-0.26,-1.54,0.32,0.69,0.94,7.59,0.13,-12.58,0.16,-2.44,-1.02,-0.06,0.68,-0.51,-0.17,-0.52,-0.37,-0.57,-1.47,-1.01
26,EPS Diluted,-0.03,0.01,0.09,0.10,0.09,0.12,0.08,0.26,0.39,0.73,1.09,1.00,1.14,1.03,1.27,1.11,-0.26,-1.54,0.31,0.67,0.89,7.59,0.13,-12.58,0.15,-2.44,-1.02,-0.06,0.68,-0.51,-0.17,-0.52,-0.37,-0.57,-1.47,-1.01
27,Weighted Average Shares Outstanding,18204000,18204000,18204000,18204000,18204000,18393000,18436000,22012000,22282000,22874085,23166972,23254000,26204310,26332479,26411184,26793457,27040171,27291683,27743769,28100612,29935200,30683766,28252137,22586603,22626586,22785192,22432000,21880000,22135000,22338000,22483000,22615000,22801000,23037000,23233000,23458000
28,Weighted Average Shares Outstanding Diluted,18204000,18204000,18204000,18204000,18204000,18393000,18436000,22012000,22282000,34301748,23166972,23254000,26664035,29911650,31610236,36615950,27040171,27698764,27955865,36989981,32480576,30988004,28766112,22586603,23087742,22785192,22432000,21880000,22135000,22338000,22483000,22615000,22801000,23037000,23233000,23458000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78749/000095015294000662/0000950152-94-000662-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78749/000095015200005079/0000950152-00-005079-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015201502944/0000950152-01-502944-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015202004851/l93981ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015203006226/l00546ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015204004628/l07661ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015205005588/l14195ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015206005048/l20398ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015207005074/0000950152-07-005074-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015208010319/l34793ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095012309012356/0000950123-09-012356-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095012310057335/0000950123-10-057335-index.html,https://www.sec.gov/Archives/edgar/data/78749/000119312511164802/0001193125-11-164802-index.html,https://www.sec.gov/Archives/edgar/data/78749/000119312512268267/d355444d10k.htm,https://www.sec.gov/Archives/edgar/data/78749/000007874913000023/0000078749-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874914000013/0000078749-14-000013-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874915000020/0000078749-15-000020-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874916000080/0000078749-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874917000021/0000078749-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874918000022/0000078749-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874919000021/0000078749-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/78749/000156459020026737/agys-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/78749/000156459021029319/0001564590-21-029319-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,1900000,3400000,3200000,3500000,2500000,1900000,1900000,6000000,9598000,24440000,28116000,31999000,28898000,34253000,41812000,23452000,318543000,149903000,241880000,147850000,604667000,70596000,36244000,65535000,74354000,97587000,82931000,99566000,75067000,60608000,49255000,39943000,40771000,46653000,99180000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,1900000,3400000,3200000,3500000,2500000,1900000,1900000,6000000,9598000,24440000,28116000,31999000,28898000,34253000,41812000,23452000,318543000,149903000,241880000,147850000,604667000,70596000,36244000,65535000,74354000,97587000,82931000,99566000,75067000,60608000,49255000,39943000,40771000,46653000,99180000
34,Net Receivables,32000000,31500000,41500000,44200000,51300000,51400000,50000000,62300000,81200000,133987000,189296000,209086000,303599000,323461000,407309000,410261000,315292000,170708000,295272000,263986000,267916000,116735000,175317000,155815000,115202000,125249000,32531000,45626000,23615000,25481000,22017000,15598000,16389000,29921000,37994000,28096000
35,Inventory,53800000,59100000,58400000,61100000,56800000,57000000,61000000,67100000,85800000,123008000,238370000,243940000,349100000,314362000,348120000,403327000,267160000,48285000,52236000,47305000,53004000,9922000,25646000,27216000,14446000,20632000,15710000,12239000,481000,641000,2692000,2211000,1999000,2044000,3887000,1177000
36,Other Current Assets,1900000,2200000,2400000,2300000,2500000,3500000,3500000,4300000,5200000,7331000,14376000,16915000,15912000,10524000,12049000,10438000,18363000,50348000,16940000,12072000,14302000,6792000,7213000,12475000,5191000,9557000,8467000,4965000,6192000,3828000,10184000,6456000,5593000,6272000,4874000,4797000
37,Total Current Assets,88100000,94700000,105700000,110800000,114100000,114400000,116400000,135600000,178200000,273924000,466482000,498057000,700610000,677245000,801731000,865838000,624267000,587884000,514351000,565243000,483072000,738116000,278772000,231750000,200374000,229792000,154295000,145761000,129854000,105017000,95501000,73520000,63924000,79008000,93408000,133250000
38,PP&E,12900000,12500000,12300000,13300000,21300000,22500000,23600000,23200000,25600000,30929000,48679000,52594000,87727000,90957000,105897000,93845000,80605000,38237000,35121000,30319000,27928000,17279,27726000,27030000,27995000,26543000,16504000,15543000,12251000,11929000,14197000,16000000,17512000,15838000,12230000,20999000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191854000,93197000,298420000,50382000,50418000,20569000,15198000,14128000,17158000,19622000,19622000,19622000,19622000,19622000,19622000,19622000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42446000,39260000,154908000,154405000,150503000,155036000,155564000,117545000,179975000,179570000,11854000,8716000,55625000,35699000,32510000,22535000,14135000,17288000,27847000,40824000,52791000,55529000,53665000,43005000,8400000,8400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42446000,39260000,154908000,154405000,150503000,155036000,155564000,117545000,179975000,179570000,203708000,101913000,354045000,86081000,82928000,43104000,29333000,31416000,45005000,60446000,72413000,75151000,73287000,62627000,28022000,28022000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511000,899000,- -,- -,- -,- -,- -,- -,- -,- -,- -,764000,1802000
44,Other Non-Current Assets,8100000,8400000,8900000,9100000,9600000,9400000,10900000,13100000,16200000,22562000,1503000,2602000,14258000,21862000,54085000,68891000,56501000,30217000,30215000,40026000,47132000,59193721,25779000,29064000,18175000,12959000,4007000,4244000,3785000,4133000,3046000,2634000,2484000,6118000,20138000,5800000
45,Total Non-Current Assets,21000000,20900000,21200000,22400000,30900000,31900000,34500000,36300000,41800000,53491000,92628000,94456000,256893000,267224000,310485000,317772000,292670000,185999000,245311000,249915000,278768000,161124000,417099000,142686000,129997000,82606000,49844000,51203000,61041000,76508000,89656000,93785000,93283000,84583000,61154000,56623000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,109100000,115600000,126900000,133200000,145000000,146300000,150900000,171900000,220000000,327415000,559110000,592513000,957503000,944469000,1112216000,1183610000,916937000,773883000,759662000,815158000,761840000,899240000,695871000,374436000,330371000,312398000,204139000,196964000,190895000,181525000,185157000,167305000,157207000,163591000,154562000,189873000
48,Accounts Payable,- -,- -,- -,- -,- -,36100000,33100000,46000000,68600000,106905000,184946000,144277000,197167000,161379000,240229000,236090000,201116000,139185000,208115000,228775000,238493000,84286000,98928000,22367000,70171000,93486000,24938000,30177000,11073000,16586000,7761000,8702000,8400000,4718000,13403000,6346000
49,Short-Term Debt,3300000,1200000,300000,2300000,4500000,600000,5100000,2800000,5100000,9956000,23871000,23378000,3101000,3104000,29138000,326000,59000,- -,- -,- -,59587000,116000,14860000,74397000,311000,1267000,647000,306000,43000,142000,118000,121000,120000,22000,4743000,5028000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000,2298000,2994000,1122000,952000,818000,750000,769000,1041000,1649000,1796000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16232000,18709000,23810000,27914000,28441000,25676000,22795000,23881000,33241000,29183000,26820000,38669000,42244000,38394000
52,Other Current Liabilities,21800000,32000000,35700000,35600000,45200000,11100000,8900000,16000000,19300000,25625000,32825000,31867000,38893000,36415000,30831000,33009000,29298000,45028000,43053000,165262000,41773000,166958000,58892000,44658000,17705000,24120000,23983000,17481000,14232000,10001000,12980000,8331000,9241000,14892000,9033000,11233000
53,Total Current Liabilities,25100000,33200000,36000000,37900000,49700000,47800000,47100000,64800000,93000000,142486000,241642000,199522000,239161000,200898000,300198000,269425000,230473000,184213000,251168000,394037000,339853000,251360000,188912000,160131000,111997000,146787000,78009000,73640000,48143000,50610000,54100000,46337000,44581000,58301000,69423000,61001000
54,Long-Term Debt,54300000,53100000,56100000,54400000,49400000,44300000,44700000,21300000,22300000,56318000,164447000,173587000,336234000,313240000,320205000,390999000,179000000,130995000,59503000,59624000,99000,- -,- -,157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8603000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,100000,1000000,1100000,1200000,1400000,1600000,1600000,2000000,2196000,2328000,5425000,10380000,13971000,23998000,22489000,17812000,7000000,4426000,11657000,16059000,62000,169000,- -,- -,3894000,5135000,4002000,3422000,3053000,3075000,3181000,227000,861000,880000,923000
57,Other Non-Current Liabilities,100000,- -,- -,- -,-100000,-100000,- -,100000,- -,- -,- -,- -,125000000,143750000,143750000,2690000,5280000,153125000,135575000,17389000,20653000,20974000,27325000,21431000,19450000,13613000,6557000,5466000,6457000,3674000,4509000,4118000,3968000,3807000,12502000,4011000
58,Total Non-Current Liabilities,54600000,53200000,57100000,55500000,50500000,45600000,46300000,23000000,24300000,58514000,166775000,179012000,471614000,470961000,487953000,416178000,202092000,291120000,199504000,88670000,36811000,21036000,27494000,21588000,19450000,17507000,11692000,9468000,9879000,6727000,7584000,7299000,4195000,4668000,13382000,13537000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000,2728000,994000,687000,335000,189000,333000,237000,177000,57000,15385000,13631000
61,Total Liabilities,79700000,86400000,93100000,93400000,100200000,93400000,93400000,87800000,117300000,201000000,408417000,378534000,710775000,671859000,788151000,685603000,432565000,475333000,450672000,482707000,376664000,272396000,216406000,181719000,131447000,164294000,89701000,83108000,58022000,57337000,61684000,53636000,48776000,62969000,82805000,74538000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35459000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,6630000,6667000,9228000,9256000,9258000,9323000,9419000,9452000,9535000,9553000,8564000,9076000,9323000,- -,- -,- -,- -,9482000,9482000,9482000,9482000,9482000,9482000,9482000,9482000,9482000,9482000
64,Retained Earnings,22700000,22500000,27100000,33100000,38100000,45500000,50000000,61900000,80300000,103646000,126506000,147055000,174411000,202056000,238968000,270246000,259876000,214448000,219594000,235749000,260255000,489435000,486799000,199947000,202134000,146659000,123876000,122578000,139675000,128178000,124413000,112692000,103601000,93051000,58984000,35376000
65,Other Comprehensive Income/Loss,-7900000,-9900000,-12100000,-12500000,-12700000,-13200000,-15300000,-17600000,-20200000,-24467000,-35345000,-39087000,-48076000,-72645000,-86729000,-104317000,-126195000,-39088000,-46227000,-789000,1873000,-1664000,-2537000,-2890000,-1320000,-41000,31000,-1099000,-134000,-151000,-177000,-204000,-255000,-259000,201000,39000
66,Other Total Stockholders Equity,14600000,16600000,18800000,19200000,19400000,20600000,22800000,39800000,42600000,40606000,52865000,96783000,111137000,133941000,162503000,322659000,341239000,113655000,126070000,88927000,113972000,129750000,- -,- -,- -,81768000,-18951000,-17105000,-16150000,-13321000,-10245000,-8301000,-4397000,-1652000,3090000,34979000
67,Total Stockholders Equity,29400000,29200000,33800000,39800000,44800000,52900000,57500000,84100000,102700000,126415000,150693000,213979000,246728000,272610000,324065000,498007000,484372000,298550000,308990000,332451000,385176000,626844000,479465000,192717000,198924000,148104000,114438000,113856000,132873000,124188000,123473000,113669000,108431000,100622000,71757000,115335000
68,Total Liabilities And Stockholders Equity,109100000,115600000,126900000,133200000,145000000,146300000,150900000,171900000,220000000,327415000,559110000,592513000,957503000,944469000,1112216000,1183610000,916937000,773883000,759662000,815158000,761840000,899240000,695871000,374436000,330371000,312398000,204139000,196964000,190895000,181525000,185157000,167305000,157207000,163591000,154562000,189873000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,109100000,115600000,126900000,133200000,145000000,146300000,150900000,171900000,220000000,327415000,559110000,592513000,957503000,944469000,1112216000,1183610000,916937000,773883000,759662000,815158000,761840000,899240000,695871000,374436000,330371000,312398000,204139000,196964000,190895000,181525000,185157000,167305000,157207000,163591000,154562000,189873000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78749/000095015294000662/0000950152-94-000662-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78749/000095015200005079/0000950152-00-005079-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015201502944/0000950152-01-502944-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015202004851/l93981ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015203006226/l00546ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015204004628/l07661ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015205005588/l14195ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015206005048/l20398ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095015207005074/0000950152-07-005074-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095015208010319/l34793ae10vk.htm,https://www.sec.gov/Archives/edgar/data/78749/000095012309012356/0000950123-09-012356-index.html,https://www.sec.gov/Archives/edgar/data/78749/000095012310057335/0000950123-10-057335-index.html,https://www.sec.gov/Archives/edgar/data/78749/000119312511164802/0001193125-11-164802-index.html,https://www.sec.gov/Archives/edgar/data/78749/000119312512268267/d355444d10k.htm,https://www.sec.gov/Archives/edgar/data/78749/000007874913000023/0000078749-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874914000013/0000078749-14-000013-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874915000020/0000078749-15-000020-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874916000080/0000078749-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874917000021/0000078749-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874918000022/0000078749-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/78749/000007874919000021/0000078749-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/78749/000156459020026737/agys-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/78749/000156459021029319/0001564590-21-029319-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,8300000,5300000,12900000,19700000,25009000,25252000,23254000,30497000,30809000,40145000,34576000,-7047000,-42078000,8663000,19485000,28114000,232855000,3659000,-284134000,3547000,-55475000,-22783000,-1298000,17097000,-11497000,-3765000,-11721000,-8350000,-13164000,-34067000,-21001000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3500000,4100000,4600000,5300000,6230000,8998000,14573000,14981000,22990000,26343000,27044000,28972000,16823000,9946000,11595000,11041000,7880000,23921000,27683000,16314000,14138000,10512000,6881000,8800000,6980000,4464000,11813000,14526000,17673000,17676000,4791000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-600000,500000,-600000,-600000,-1115000,-2304000,4269000,5124000,5655000,1229000,2185000,-8713000,-5545000,284000,5157000,753000,1478000,-4571000,-7035000,6596000,4133000,62000,-170000,-178000,-371000,23000,142000,-3085000,309000,-356000,-959000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6039000,457000,2426000,3614000,2896000,2057000,2119000,3140000,3405000,2427000,4688000,4376000,5205000,40093000
77,Change in Working Capital,- -,- -,- -,- -,- -,4200000,2700000,1500000,14400000,46238000,93402000,73695000,162914000,14898000,25186000,94880000,-202619000,9877000,-140488000,-91977000,-27987000,343537000,-396896000,-18241000,16758000,-5372000,-6719000,-4165000,9590000,-27304000,-13006000,-14218000,-7840000,1364000,3278000,48264000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24794000,14909000,49481000,-17908000,-621000,-13252000,-7846000,-1935000,3237000,6372000,-719000,-7536000,-8974000,10363000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-6100000,- -,- -,-57702000,-5712000,-78450000,34738000,-33498000,-52978000,136065000,25860000,2762000,4931000,-5196000,122000,-5713000,-1763000,12839000,-6186000,-4789000,3462000,380000,-171000,-2051000,476000,229000,-50000,-1830000,2746000
