,https://roic.ai/company/FOSL,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,29700000,47100000,64900000,76800000,- -,83500000,95400000,162000000,- -,199800000,238100000,291600000,424315000,- -,485600000,555500000,645400000,633300000,967195000,1117700000,1300100000,- -,1434636000,1423262000,1784144000,1278144000,1130865000,- -,866703000
11,COGS and Expenses,88500000,135600000,160600000,181500000,- -,210800000,249600000,410500000,- -,473500000,567400000,671400000,931076000,- -,1090600000,1246500000,1377500000,1336500000,2095311000,2368700000,2698400000,- -,2943155000,2887447000,3213468000,2479495000,2249139000,- -,1709690000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1113000,5362000,4209000,- -,350000,889000,809000,- -,799000,2156000,4729000,2605000,2075000,- -,573000
13,Interest Expense (Gain),200000,600000,1100000,1200000,- -,- -,200000,128000,- -,319000,107000,62000,316000,- -,3554000,890000,555000,235000,2391000,5160000,9548000,- -,15898000,26894000,43214000,42503000,29932000,- -,31836000
14,Depreciation and Amortization,900000,1500000,2500000,3100000,- -,3000000,4400000,6436000,- -,9627000,14513000,19854000,29031000,- -,32049000,32796000,37642000,41300000,- -,65536000,81936000,- -,95931000,94592000,80973000,67584000,54792000,- -,43134000
15,EBITDA,17800000,27000000,23800000,27300000,- -,35100000,59400000,101264000,- -,82767000,110592000,129316000,132911000,- -,154416000,221251000,227629000,256339000,441250000,552059000,643103000,- -,660003000,229059000,-334180000,127717000,51040000,- -,-97168000
16,EBITDA ratio,0.1694,0.1668,0.1314,0.1326,- -,0.1434,0.1949,0.2008,- -,0.1517,0.1667,0.1655,0.1277,- -,0.1272,0.1544,0.1438,0.1656,0.1719,0.1932,0.1973,- -,0.1881,0.0753,-0.1199,0.0503,0.0230,- -,-0.0602
17,Operating Income,16600000,26300000,20500000,24400000,- -,34500000,55400000,93821000,- -,76854000,95930000,109750000,109392000,- -,123325000,186485000,205770000,211627000,471991000,488840000,561596000,- -,566536000,127146000,-424276000,62711000,-28383000,- -,-135319000
18,Operating Income ratio,0.1579,0.1624,0.1132,0.1185,- -,0.1409,0.1818,0.1860,- -,0.1409,0.1446,0.1405,0.1051,- -,0.1016,0.1301,0.1300,0.1367,0.1838,0.1711,0.1723,- -,0.1614,0.0418,-0.1522,0.0247,-0.0128,- -,-0.0839
19,Total Other Income Expenses (Gains),100000,-1400000,-300000,-1400000,- -,-2300000,-700000,879000,- -,-4054000,70000,-250000,-5828000,- -,-4525000,1015000,-16370000,8273000,-20432000,3360000,-96000,- -,-8458000,-12838000,-29478000,-42541000,-2948000,- -,-36664000
20,Income Before Tax,16700000,24900000,20200000,23000000,- -,32200000,54700000,94700000,- -,72800000,96000000,109500000,103564000,- -,118800000,187500000,189400000,219900000,451559000,492200000,561500000,- -,558078000,114308000,-453754000,20170000,-31331000,- -,-171983000
21,Income Before Tax Ratio,0.1589,0.1538,0.1115,0.1117,- -,0.1315,0.1795,0.1878,- -,0.1335,0.1447,0.1402,0.0995,- -,0.0979,0.1308,0.1196,0.1420,0.1759,0.1722,0.1722,- -,0.1590,0.0376,-0.1627,0.0079,-0.0141,- -,-0.1066
22,Income Tax expense (Gain),5200000,9600000,8100000,9400000,- -,13200000,22600000,38800000,- -,29121000,37072000,41100000,25505000,- -,41213000,64265000,51332000,75604000,144157000,137963000,173419000,- -,171467000,28705000,19805000,21108000,18681000,- -,-76043000
23,Net Income,11500000,15300000,12100000,13600000,- -,18900000,32200000,55900000,- -,43700000,58900000,68300000,78059000,- -,77600000,123300000,138100000,139200000,294702000,343400000,378200000,- -,376707000,78868000,-478172000,-3478000,-52365000,- -,-96095000
24,Net Income ratio,0.1094,0.0945,0.0668,0.0661,- -,0.0772,0.1057,0.1108,- -,0.0801,0.0888,0.0874,0.0750,- -,0.0639,0.0860,0.0872,0.0899,0.1148,0.1202,0.1160,- -,0.1073,0.0259,-0.1715,-0.0014,-0.0236,- -,-0.0596
25,EPS,0.18,0.23,0.12,0.20,- -,0.19,0.46,0.78,- -,0.64,0.85,0.98,1.10,- -,1.15,1.81,2.05,2.09,4.66,5.63,6.59,- -,7.12,1.64,-9.87,-0.07,-1.04,- -,-1.88
26,EPS Diluted,0.18,0.23,0.12,0.20,- -,0.18,0.44,0.76,- -,0.62,0.81,0.93,1.07,- -,1.13,1.75,2.02,2.07,4.61,5.59,6.56,- -,7.10,1.63,-9.87,-0.07,-1.04,- -,-1.88
27,Weighted Average Shares Outstanding,63046863,67432666,68265068,67728327,- -,101936171,69871592,71300331,- -,67875750,68989500,69817500,70834000,- -,67177000,68213000,67525000,66684000,63298000,61000000,57400000,- -,52900000,48100000,48500000,49200000,50200000,- -,51100000
28,Weighted Average Shares Outstanding Diluted,63046863,67432666,68265068,68207537,- -,105469244,73318716,73517859,- -,70290000,72357000,73182000,73209000,- -,68817000,70333000,68323000,67153000,63965000,61400000,57700000,- -,53100000,48300000,48500000,49200000,50200000,- -,51100000
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/883569/000091205702013898/0000912057-02-013898-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000110465903006038/0001104659-03-006038-index.htm,- -,https://www.sec.gov/Archives/edgar/data/883569/000104746906003081/0001047469-06-003081-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/883569/000114036107015655/0001140361-07-015655-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000110465908015541/0001104659-08-015541-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746909002227/0001047469-09-002227-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746910001754/0001047469-10-001754-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000119312512089155/0001193125-12-089155-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746913001813/0001047469-13-001813-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746914001392/0001047469-14-001392-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/883569/000104746915000992/0001047469-15-000992-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356917000009/0000883569-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356918000010/0000883569-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356919000008/0000883569-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356920000006/0000883569-20-000006-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/883569/000088356921000010/0000883569-21-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6800000,2300000,6000000,12000000,- -,21100000,57300000,79500000,- -,67500000,112300000,158100000,57457000,- -,133300000,255200000,172000000,405200000,287498000,177200000,320500000,- -,276261000,297330000,231244000,403373000,200218000,- -,315965000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,11300000,- -,5400000,5600000,6000000,6553000,- -,6900000,12600000,6400000,8000000,155000,100000,26000,- -,- -,- -,1679000,876000,1530000,- -,- -
33,Cash and Short-Term Investments,6800000,2300000,6000000,12000000,- -,21100000,57300000,90800000,- -,72900000,117900000,164100000,64010000,- -,140200000,267800000,178400000,413200000,287653000,177300000,320526000,- -,276261000,297330000,232923000,404249000,201748000,- -,315965000
34,Net Receivables,12600000,28300000,24900000,30300000,- -,34200000,42600000,62900000,- -,74000000,86400000,121900000,141958000,- -,155200000,227500000,206000000,216500000,302467000,370200000,462100000,- -,445338000,387916000,379672000,335114000,300325000,- -,275751000
35,Inventory,18000000,32400000,42500000,49800000,- -,51400000,57300000,81100000,- -,103700000,121800000,126800000,241009000,- -,228200000,248400000,292000000,245700000,488983000,506300000,570700000,- -,597281000,542487000,573788000,377622000,452278000,- -,311946000
36,Other Current Assets,2200000,3500000,4700000,5500000,- -,7000000,9100000,18000000,- -,18900000,29500000,26500000,58892000,- -,57400000,81100000,87100000,71100000,156299000,90300000,126174000,- -,135692000,119557000,104605000,141584000,105107000,- -,86813000
37,Total Current Assets,39600000,66500000,78100000,97600000,- -,113700000,166300000,252800000,- -,269500000,355600000,439300000,505869000,- -,581000000,824800000,763500000,946500000,1235402000,1144100000,1479500000,- -,1454572000,1347290000,1290988000,1258569000,1059458000,- -,990475000
38,PP&E,4100000,11400000,15500000,16700000,- -,21100000,23100000,42300000,- -,90000000,103100000,116100000,148150000,- -,171500000,186000000,207300000,212400000,282050000,335400000,355700000,- -,345606000,273851000,219742000,183203000,439666000,- -,340841000
39,Goodwill,- -,- -,- -,- -,- -,4800000,4600000,- -,- -,- -,13800000,17100000,- -,- -,43000000,45500000,43200000,44300000,44054000,184800000,207000000,- -,206954000,355263000,- -,- -,- -,- -,- -
40,Intangible Assets,2100000,2500000,3400000,4600000,- -,- -,- -,6600000,- -,20200000,5100000,6800000,81375000,- -,36500000,36200000,28100000,24400000,73896000,110700000,116800000,- -,110467000,147124000,86732000,68267000,26879000,- -,17754000
41,Intangible Assets,2100000,2500000,3400000,4600000,- -,4800000,4600000,6600000,- -,20200000,18900000,23900000,81375000,- -,79500000,81700000,71300000,68700000,117950000,295500000,323800000,- -,317421000,502387000,86732000,68267000,26879000,- -,17754000
42,Investments,- -,- -,- -,- -,- -,- -,- -,5900000,- -,1100000,1900000,4600000,9000000,- -,10900000,13900000,13000000,13730000,7520000,6965000,26000,- -,23000,2078000,500000,500000,500000,- -,327000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,23600000,32900000,- -,- -,15000000,16200000,22900000,27000000,- -,79800000,98200000,- -,62282000,23061000,1096000,2439000,2097000,- -,33893000
44,Other Non-Current Assets,700000,- -,- -,100000,- -,- -,100000,- -,- -,-7200000,-20600000,-29300000,352000,- -,-5300000,- -,9300000,8170000,- -,-19765000,-26826000,- -,-2444000,38230000,59314000,62220000,76132000,- -,95215000
45,Total Non-Current Assets,6900000,13900000,18900000,21400000,- -,25900000,27800000,54800000,- -,111400000,126900000,148200000,238877000,- -,271600000,297800000,323800000,330000000,407520000,697900000,750900000,- -,722888000,839607000,367384000,316629000,545274000,- -,488030000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46500000,80400000,97000000,119000000,- -,139600000,194100000,307600000,- -,380900000,482500000,587500000,744746000,- -,852600000,1122600000,1087300000,1276500000,1642922000,1842000000,2230400000,- -,2177460000,2186897000,1658372000,1575198000,1604732000,- -,1478505000
48,Accounts Payable,1300000,3900000,5200000,7500000,- -,9600000,14500000,18300000,- -,21300000,33000000,27200000,60628000,- -,76900000,111000000,91000000,103600000,157883000,149600000,165400000,- -,159267000,163644000,204981000,169561000,172191000,- -,178212000
49,Short-Term Debt,- -,- -,- -,10500000,- -,- -,- -,- -,- -,15955000,2505000,2805000,8552000,- -,11338000,9993000,5271000,3618000,9009000,2794000,13443000,- -,16646000,26368000,2144000,126427000,95066000,- -,106412000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,17905000,- -,- -,- -,- -,- -,- -,- -,33408000,39425000,59238000,61881000,- -,61927000,42842000,54207000,60900000,54911000,- -,54476000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,8718000,13597000,- -,- -,- -,20406000,24221000,27006000,28937000,- -,34238000,46986000,- -,34084000,- -,1096000,71252000,80803000,- -,- -
52,Other Current Liabilities,10600000,21200000,23700000,19800000,- -,33500000,42800000,64700000,- -,60227000,65398000,95795000,116620000,- -,114756000,133186000,83723000,109145000,224386000,220168000,266071000,- -,236311000,224573000,300867000,238563000,211120000,- -,273902000
53,Total Current Liabilities,11900000,25100000,28900000,37800000,- -,43100000,57300000,83000000,- -,106200000,114500000,125800000,185800000,- -,223400000,278400000,207000000,245300000,391278000,406800000,491900000,- -,446308000,414585000,509088000,605803000,559180000,- -,558526000
54,Long-Term Debt,1000000,4800000,4800000,4400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,4700000,4500000,6236000,75100000,494700000,- -,609666000,609961000,443942000,269788000,178796000,- -,185852000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29050000,- -,- -,- -,- -,- -,86328000,8662000,15720000,- -,16610000,55877000,1096000,2439000,2097000,- -,495000
57,Other Non-Current Liabilities,- -,-100000,- -,-100000,- -,1200000,1900000,3900000,- -,10600000,27500000,38300000,1220000,- -,27000000,69100000,73500000,63900000,42234000,117938000,159380000,- -,127016000,91036000,128113000,111625000,361605000,- -,293600000
58,Total Non-Current Liabilities,1000000,4700000,4800000,4300000,- -,1200000,1900000,3900000,- -,10600000,27500000,38300000,30270000,- -,27000000,72600000,78200000,68400000,134798000,201700000,669800000,- -,753292000,756874000,573151000,383852000,542498000,- -,479947000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357527000,- -,295486000
61,Total Liabilities,12900000,29800000,33700000,42100000,- -,44300000,59200000,86900000,- -,116800000,142000000,164100000,216070000,- -,250400000,351000000,285200000,313700000,526076000,608500000,1161700000,- -,1199600000,1171459000,1082239000,989655000,1101678000,- -,1038473000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,200000,300000,- -,300000,500000,500000,683000,- -,700000,700000,700000,700000,684000,600000,500000,- -,508000,483000,486000,495000,505000,- -,515000
64,Retained Earnings,11300000,26700000,38700000,52300000,- -,71300000,102900000,208400000,- -,252100000,311000000,379400000,487097000,- -,529400000,646500000,695400000,834600000,1384522000,1066100000,877100000,- -,822093000,887825000,409653000,381626000,299793000,- -,203698000
65,Other Comprehensive Income/Loss,-1300000,-2600000,-4800000,-7700000,- -,-4400000,-2000000,-4400000,- -,-7200000,1962000,17725000,3208000,- -,20025000,36473000,24147000,34460000,22180000,28760000,36691000,- -,-16410000,-95424000,-76269000,-64691000,-80615000,- -,-58900000
66,Other Total Stockholders Equity,23600000,26500000,29400000,32300000,- -,28200000,33800000,16400000,- -,18800000,27079000,25801000,35161000,- -,52076000,87989000,81897000,93021000,-301457000,138075000,154386000,- -,171669000,213352000,242263000,268113000,283371000,- -,293777000
67,Total Stockholders Equity,33600000,50600000,63300000,76900000,- -,95300000,134900000,220700000,- -,264000000,340541000,423426000,526149000,- -,602201000,771662000,802144000,962781000,1105929000,1233535000,1068677000,- -,977860000,1006236000,576133000,585543000,503054000,- -,439090000
68,Total Liabilities And Stockholders Equity,46500000,80400000,97000000,119000000,- -,139600000,194100000,307600000,- -,380800000,482541000,587526000,742219000,- -,852601000,1122662000,1087344000,1276481000,1632005000,1842035000,2230377000,- -,2177460000,2177695000,1658372000,1575198000,1604732000,- -,1477563000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-41000,-26000,2527000,- -,-1000,-62000,-44000,19000,10917000,-35000,23000,- -,- -,9202000,- -,- -,- -,- -,942000
70,Total Liabilities & Equity,46500000,80400000,97000000,119000000,- -,139600000,194100000,307600000,- -,380900000,482500000,587500000,744746000,- -,852600000,1122600000,1087300000,1276500000,1642922000,1842000000,2230400000,- -,2177460000,2186897000,1658372000,1575198000,1604732000,- -,1478505000
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/883569/000091205702013898/0000912057-02-013898-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000110465903006038/0001104659-03-006038-index.htm,- -,https://www.sec.gov/Archives/edgar/data/883569/000104746906003081/0001047469-06-003081-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/883569/000114036107015655/0001140361-07-015655-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000110465908015541/0001104659-08-015541-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746909002227/0001047469-09-002227-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746910001754/0001047469-10-001754-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000119312512089155/0001193125-12-089155-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746913001813/0001047469-13-001813-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000104746914001392/0001047469-14-001392-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/883569/000104746915000992/0001047469-15-000992-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356917000009/0000883569-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356918000010/0000883569-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356919000008/0000883569-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/883569/000088356920000006/0000883569-20-000006-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/883569/000088356921000010/0000883569-21-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11500000,15300000,12100000,13600000,- -,18900000,32200000,55900000,- -,43700000,58900000,68300000,78059000,- -,77600000,123300000,138100000,139200000,294702000,343400000,378200000,- -,376707000,78868000,-478172000,-3478000,-52365000,- -,-96095000
74,Depreciation and Amortization,900000,1500000,2500000,3100000,- -,3000000,4400000,6436000,- -,9627000,14513000,19854000,29031000,- -,32049000,32796000,37642000,41300000,- -,65536000,81936000,- -,95931000,94592000,80973000,67584000,54792000,- -,43134000
75,Deferred Income Tax,-1700000,- -,-500000,-400000,- -,-800000,-1200000,-1010000,- -,7538000,13674000,13283000,-16888000,- -,-15485000,-3952000,1106000,3235000,29697000,10591000,12400000,- -,2708000,-18561000,-43491000,6435000,-6416000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6787000,14615000,18568000,15338000,- -,18823000,31034000,30400000,23044000,15845000,- -,11143000
77,Change in Working Capital,-5200000,13700000,7800000,10600000,- -,10800000,38400000,14600000,- -,-6500000,77800000,72400000,-43131000,- -,37531000,188800000,10100000,144700000,42824000,-106824000,250300000,- -,20664000,-20436000,-150805000,-129134000,-152488000,- -,-68329000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4180000,-44061000,-42849000,-77452000,- -,-8495000,-12900000,14367000,68308000,30940000,- -,60747000
79,Inventory,-5100000,-12300000,-9600000,-6400000,- -,-700000,-4600000,-15993000,- -,-15776000,-14783000,-4188000,-58612000,- -,17776000,-20063000,-45558000,44569000,-122648000,10677000,-52923000,- -,-60746000,64827000,6829000,153445000,-78135000,- -,168603000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6101000,12657000,-7017000,15347000,- -,2477000,-43020000,34864000,-38365000,4862000,- -,3500000
81,Other Working Capital,27700000,41400000,49200000,59800000,- -,70600000,109000000,169800000,- -,163300000,241100000,313500000,320069000,- -,357600000,546400000,556500000,701200000,844124000,737300000,987600000,- -,1008264000,932705000,781900000,652766000,500278000,- -,431949000
82,Other Non-Cash Items,2200000,-36600000,-10100000,-16000000,- -,-8800000,-32800000,-35638000,- -,-5459000,-83838000,-100210000,-13283000,- -,16764000,-208980000,-77994000,-69234000,-130571000,120329000,-326492000,- -,-126950000,44630000,740637000,283688000,126423000,- -,211385000
83,Cash Provided by Operating Activities,7700000,-6100000,11800000,10900000,- -,23100000,41000000,40288000,- -,48906000,81049000,73627000,33788000,- -,148459000,131964000,108954000,265988000,251267000,451600000,411682000,- -,387883000,210127000,179542000,248139000,-14209000,- -,101238000
84,CAPEX,-3100000,-8200000,-6200000,-4200000,- -,-7800000,-6300000,-20341000,- -,-55610000,-26860000,-28926000,-53202000,- -,-54029000,-47080000,-87598000,-38072000,-131496000,-122804000,-110052000,- -,-104182000,-65674000,-27019000,-17961000,-24146000,- -,-10694000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15787000,-4373000,-104000,-4439000,- -,-7227000,-1582000,- -,- -,- -,-229151000,-15521000,- -,- -,3500000,1750000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-442000,- -,- -,-216000,-308000,-1293000,- -,-287000,-10372000,-7106000,-1237000,-222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5951000,- -,- -,- -,- -,- -,4508000,12386000,938000,8255000,- -,18000,- -,410000,752000,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000,100000,-1200000,-1000000,- -,300000,200000,-3014000,- -,-1930000,917000,-1359000,-1507000,- -,151000,1984000,791000,-309000,-8254000,-3617000,-12431000,- -,-8807000,49020000,-951000,2343000,39573000,- -,-1878000
89,Cash Used for Investing Activites,-3300000,-8100000,-7400000,-5200000,- -,-7500000,-6100000,-23797000,- -,-67376000,-30532000,-30697000,-60441000,- -,-61392000,-52542000,-81527000,-38295000,-110073000,-345153000,-123168000,- -,-103160000,-12402000,-24721000,-15618000,18679000,- -,-10616000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7055000,-8838000,-498391000,-791495000,- -,-838684000,-1207205000,-2318246000,-857474000,-870552000,- -,-295771000
91,Common Stock Issued,18700000,300000,200000,500000,- -,1600000,6500000,838000,- -,2625000,6438000,8203000,5650000,- -,5116000,29060000,4909000,- -,7833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-14500000,- -,- -,- -,- -,- -,-2000000,-28074000,- -,- -,-59000,-14347000,-75260000,- -,-25930000,-16209000,-105873000,- -,-270882000,-271293000,-582254000,- -,-437911000,-15894000,-1218000,-4803000,-5366000,- -,-727000
93,Dividends Paid,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,-1319000,-1650000,-8006000,- -,- -,- -,- -,-2693000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3800000,10500000,-900000,-200000,- -,-7500000,-3400000,-428000,- -,4245000,-13998000,300000,-18155000,- -,689000,16879000,-11840000,10033000,22030000,550092000,1225500000,- -,951414000,1024605000,2117754000,799620000,667432000,- -,307250000
95,Cash Used/Provided by Financing Activities,400000,9700000,-700000,300000,- -,-5900000,1100000,-27664000,- -,6870000,-8938000,-7494000,-95771000,- -,-20125000,29730000,-112804000,285000,-249857000,-219592000,-148249000,- -,-325181000,-198494000,-201710000,-62657000,-208486000,- -,10752000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-600000,100000,-234000,- -,-410000,3278000,10278000,-5549000,- -,8140000,12788000,2145000,5185000,3367000,2883000,2978000,- -,-3760000,8824000,-19197000,9364000,882000,- -,15123000
97,Net Change In Cash,400000,9700000,-700000,300000,- -,-5900000,1100000,-11407000,- -,-12010000,44857000,45714000,-127973000,- -,75082000,121940000,-83232000,233163000,-105296000,-110262000,143243000,- -,-44218000,8055000,-66086000,179228000,-203134000,- -,116497000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,79501000,- -,67491000,112348000,158062000,57457000,- -,133304000,255244000,172012000,405175000,287498000,177236000,320479000,- -,276261000,297330000,231244000,410883000,207749000,- -,324246000
99,Cash at the Beginning of Period,1900000,6800000,2300000,6000000,- -,12000000,21100000,90908000,- -,79501000,67491000,112348000,185430000,- -,58222000,133304000,255244000,172012000,392794000,287498000,177236000,- -,320479000,289275000,297330000,231655000,410883000,- -,207749000
100,Free Cash Flow,4600000,-14300000,5600000,6700000,- -,15300000,34700000,19947000,- -,-6704000,54189000,44701000,-19414000,- -,94430000,84884000,21356000,227916000,119771000,328796000,301630000,- -,283701000,144453000,152523000,230178000,-38355000,- -,90544000
