,https://roic.ai/company/ODC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,8600000,11300000,7800000,7000000,5200000,8500000,8300000,6300000,6400000,8800000,10100000,10000000,9400000,4400000,1388000,4444000,7154000,4753000,6348000,5945000,6607000,12133000,6848000,11839000,18762000,17885000,27093000,24035000,16230000,20138000,18629000,9095000,12757000,21862000,40890000,24591000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,1219000,1257000,9082000,11917000,16721000,13490000,19248000,17894000,20916000,7998000,5859000,15837000,9163000,18459000,2640000,2190000,10184000,23576000,7124000,- -,- -,- -
33,Cash and Short-Term Investments,8600000,11300000,7800000,7000000,5200000,8500000,8300000,6300000,6400000,8800000,10100000,10000000,9400000,5600000,2607000,5701000,16236000,16670000,23069000,19435000,25855000,30027000,27764000,19837000,24621000,33722000,36256000,42494000,18870000,22328000,28813000,32671000,19881000,21862000,40890000,24591000
34,Net Receivables,6600000,7700000,8700000,10400000,12800000,12900000,15700000,23900000,23000000,21300000,20500000,20100000,24200000,25400000,24438000,26764000,22440000,23768000,24169000,23611000,26115000,27933000,31383000,29000000,27178000,29217000,30225000,31148000,30997000,31466000,30386000,32750000,33602000,35459000,34911000,40923000
35,Inventory,4100000,3800000,4900000,4800000,5700000,6200000,7000000,8000000,11200000,10900000,11700000,10600000,13300000,15200000,16928000,15445000,11798000,12819000,12399000,12686000,15697000,15237000,17744000,17795000,16023000,19230000,19673000,20723000,24483000,21369000,23251000,22615000,22521000,24163000,23893000,23598000
36,Other Current Assets,1900000,1700000,1900000,1800000,4500000,7600000,6600000,2800000,3800000,7700000,5900000,6200000,6700000,6900000,9986000,7832000,7070000,7373000,8344000,7364000,8035000,5103000,5760000,7085000,8367000,9647000,9048000,9007000,9166000,7480000,8723000,8981000,7010000,7792000,8726000,12830000
37,Total Current Assets,21200000,24500000,23300000,24000000,28200000,35200000,37600000,41000000,44400000,48700000,48200000,46900000,53600000,53100000,53959000,55742000,57544000,60630000,67981000,63096000,75702000,78300000,82651000,73717000,76189000,91816000,95202000,103372000,83516000,82643000,91173000,97017000,83014000,89276000,108420000,101942000
38,PP&E,17900000,20300000,33400000,38400000,41700000,47500000,50300000,53700000,60200000,59500000,58200000,55800000,62900000,62800000,59612000,56036000,48622000,49026000,47802000,47898000,51293000,51445000,51440000,59485000,62502000,68028000,64453000,66055000,74896000,79655000,80711000,84033000,86706000,90798000,102764000,104559000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5162000,5162000,5162000,5162000,5162000,5162000,5162000,5162000,9034000,9034000,9034000,9034000,9262000,9262000,9262000,9262000
40,Intangible Assets,2900000,3000000,3100000,3200000,4900000,4800000,4700000,4600000,4400000,4300000,4200000,4000000,9000000,9800000,10324000,9691000,9388000,8984000,7551000,7127000,1661000,1499000,2485000,2027000,1744000,1467000,1203000,1268000,8078000,6655000,5359000,4407000,3465000,3087000,2464000,2207000
41,Intangible Assets,2900000,3000000,3100000,3200000,4900000,4800000,4700000,4600000,4400000,4300000,4200000,4000000,9000000,9800000,10324000,9691000,9388000,8984000,7551000,7127000,6823000,6661000,7647000,7189000,6906000,6629000,6365000,6430000,17112000,15689000,14393000,13441000,12727000,12349000,11726000,11469000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3155000,3972000,2617000,1556000,1287000,1151000,1618000,2048000,4144000,3981000,2107000,3224000,2164000,4448000,6031000,12754000,11609000,7349000,7755000,7302000,2096000
44,Other Non-Current Assets,700000,600000,800000,1600000,2000000,1900000,2400000,2800000,3300000,4500000,7100000,7900000,8700000,8100000,8949000,5900000,5509000,5566000,3985000,4163000,4578000,4063000,5202000,4726000,4404000,4813000,5023000,5538000,6232000,6013000,5902000,6475000,4886000,5049000,5670000,7500000
45,Total Non-Current Assets,21500000,23900000,37300000,43200000,48600000,54200000,57400000,61100000,67900000,68300000,69500000,67700000,80600000,80700000,78885000,74782000,67491000,66193000,60894000,60475000,63845000,63787000,66337000,75544000,77793000,81577000,79065000,80187000,102688000,107388000,113760000,115558000,111668000,115951000,127462000,125624000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42700000,48400000,60600000,67200000,76800000,89400000,95000000,102100000,112300000,117000000,117700000,114600000,134200000,133800000,132844000,130524000,125035000,126823000,128875000,123571000,139547000,142087000,148988000,149261000,153982000,173393000,174267000,183559000,186204000,190031000,204933000,212575000,194682000,205227000,235882000,227566000
48,Accounts Payable,- -,- -,- -,- -,5400000,4400000,4300000,5600000,4700000,4700000,5300000,4000000,4400000,4800000,4804000,5791000,5121000,6856000,5701000,5228000,7596000,6181000,7491000,5304000,6482000,6369000,6700000,6483000,7352000,7428000,6635000,9594000,6543000,8092000,12529000,9206000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1600000,1900000,2100000,2200000,1750000,2150000,2850000,4000000,4080000,3080000,4080000,4080000,5580000,3200000,3500000,3600000,3800000,3500000,3500000,3483000,3083000,3083000,3083000,3083000,3170000,3036000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1658000,1002000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6600000,7500000,8800000,8800000,6700000,6000000,9000000,9700000,10900000,9900000,10900000,9800000,10800000,8900000,8530000,11701000,11921000,14378000,17255000,14226000,15437000,17144000,17030000,15264000,17809000,16511000,18622000,21464000,18648000,17977000,21022000,20277000,21323000,21431000,30508000,26748000
53,Total Current Liabilities,6600000,7500000,8800000,8800000,12100000,10400000,13300000,15300000,15600000,15700000,17800000,15700000,17300000,15900000,15084000,19642000,19892000,25234000,27036000,22534000,27113000,27405000,30101000,23768000,27791000,26480000,29122000,31447000,29500000,28888000,30740000,32954000,30949000,32606000,46207000,38990000
54,Long-Term Debt,6000000,5300000,10000000,11800000,11900000,20200000,18800000,17800000,21500000,20400000,19000000,17100000,40000000,38200000,39434000,34256000,31400000,27400000,23320000,20240000,31160000,27080000,21500000,18300000,14800000,29700000,25900000,22400000,18900000,15417000,12333000,9161000,6107000,3052000,17983000,15900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1900000,2100000,2200000,2300000,2000000,2100000,1200000,1300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,800000,900000,1000000,800000,800000,1100000,1100000,1300000,1800000,2600000,3700000,4500000,5100000,5200000,5362000,4780000,4672000,5175000,6261000,6943000,8038000,7360000,9761000,17630000,20802000,21915000,33937000,26774000,33496000,35198000,46309000,44423000,25741000,34023000,23728000,13444000
58,Total Non-Current Liabilities,8700000,8300000,13200000,14900000,14700000,23400000,21100000,20400000,23600000,23000000,22700000,21600000,45100000,43400000,44796000,39036000,36072000,32575000,29581000,27183000,39198000,34440000,31261000,35930000,35602000,51615000,59837000,49174000,52396000,50615000,58642000,53584000,31848000,37075000,41711000,29344000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11305000,10058000
61,Total Liabilities,15300000,15800000,22000000,23700000,26800000,33800000,34400000,35700000,39200000,38700000,40500000,37300000,62400000,59300000,59880000,58678000,55964000,57809000,56617000,49717000,66311000,61845000,61362000,59698000,63393000,78095000,88959000,80621000,81896000,79503000,89382000,86538000,62797000,69681000,87918000,68334000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,724000,724000,724000,724000,738000,777000,939000,950000,963000,747000,988000,1012000,1016000,1026000,1031000,1033000,1050000,1053000,1056000,1086000,1089000,1096000
64,Retained Earnings,23100000,28000000,33600000,38300000,44100000,49700000,55200000,62000000,70100000,76000000,77400000,82200000,85200000,90400000,90757000,89778000,86790000,88002000,90985000,94891000,97390000,100503000,105966000,111593000,116917000,121388000,122901000,132750000,136039000,142095000,149945000,154735000,158935000,164756000,176579000,180443000
65,Other Comprehensive Income/Loss,-15300000,-18100000,-20900000,-24300000,-28700000,-32900000,-30900000,-34100000,-39900000,-47500000,-54700000,-58700000,-63500000,-69600000,-76033000,-83694000,-88684000,-92250000,-97696000,-101573000,-107496000,1000000,1000000,-4000000,-5000000,-4000000,-11000000,-5000000,-8000000,-9000000,-14000000,-10000000,-11000000,-15000000,-12254000,-4117000
66,Other Total Stockholders Equity,19600000,22700000,25900000,29500000,34600000,38800000,36300000,38500000,42900000,49800000,54500000,53800000,50100000,53000000,57516000,65038000,70241000,72538000,78231000,79759000,82403000,-22211000,-20303000,-18777000,-22316000,-23102000,-27609000,-25838000,-24762000,-23600000,-21444000,-19751000,-17088000,-15282000,-17276000,-17883000
67,Total Stockholders Equity,27400000,32600000,38600000,43500000,50000000,55600000,60600000,66400000,73100000,78300000,77200000,77300000,71800000,74500000,72964000,71846000,69071000,69014000,72258000,73854000,73236000,80242000,87626000,89563000,90589000,95298000,85308000,102938000,104308000,110528000,115551000,126037000,131903000,135560000,148138000,159539000
68,Total Liabilities And Stockholders Equity,42700000,48400000,60600000,67200000,76800000,89400000,95000000,102100000,112300000,117000000,117700000,114600000,134200000,133800000,132844000,130524000,125035000,126823000,128875000,123571000,139547000,142087000,148988000,149261000,153982000,173393000,174267000,183559000,186204000,190031000,204933000,212575000,194700000,205241000,236056000,227873000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,-14000,-174000,-307000
70,Total Liabilities & Equity,42700000,48400000,60600000,67200000,76800000,89400000,95000000,102100000,112300000,117000000,117700000,114600000,134200000,133800000,132844000,130524000,125035000,126823000,128875000,123571000,139547000,142087000,148988000,149261000,153982000,173393000,174267000,183559000,186204000,190031000,204933000,212575000,194682000,205227000,235882000,227566000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74046/000007404695000013/0000074046-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/74046/000007404696000010/0000074046-96-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/74046/000095012498005738/0000950124-98-005738-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/74046/000120677406002151/0001206774-06-002151-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677407002369/0001206774-07-002369-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677408001654/0001206774-08-001654-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677409001889/0001206774-09-001889-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000120677410002144/0001206774-10-002144-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404611000009/0000074046-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404612000012/0000074046-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404613000015/0000074046-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404614000013/0000074046-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404615000043/0000074046-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404616000094/0000074046-16-000094-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404617000041/0000074046-17-000041-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404618000046/0000074046-18-000046-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404619000049/0000074046-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404620000052/0000074046-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/74046/000007404621000082/0000074046-21-000082-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,5600000,7000000,7000000,7100000,9400000,9900000,8000000,3400000,6800000,4700000,7200000,2227000,913000,-1094000,3083000,5033000,6540000,5259000,7660000,9039000,9586000,9458000,9051000,6098000,14586000,8356000,11368000,13613000,10792000,8240000,12611000,18900000,11113000
74,Depreciation and Amortization,- -,- -,- -,4000000,4500000,4800000,5400000,5800000,6800000,7800000,7900000,7600000,7800000,8500000,9099000,9089000,8785000,8534000,8006000,7203000,6612000,6619000,6763000,7406000,7371000,8473000,9272000,8946000,10396000,11994000,12192000,12772000,12756000,13330000,13923000,14177000
75,Deferred Income Tax,- -,- -,- -,- -,-200000,100000,-900000,-800000,-900000,-800000,-1800000,-200000,-1300000,700000,439000,-549000,-817000,-118000,204000,952000,192000,761000,-347000,-2239000,-1763000,3515000,-2568000,-398000,284000,-2450000,-8114000,2408000,7270000,-406000,453000,5196000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460000,340000,641000,727000,864000,1189000,1142000,1247000,1507000,1600000,2407000,3368000,2531000
77,Change in Working Capital,- -,- -,- -,- -,900000,8700000,-500000,1400000,3100000,4200000,-2600000,800000,5100000,900000,1675000,-2775000,1552000,-2256000,5549000,-383000,8027000,2306000,1655000,-2601000,-1551000,16938000,744000,5845000,-17909000,-261000,6678000,3630000,-11998000,4605000,5543000,739000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2354000,1884000,-2075000,-1026000,-984000,82000,-646000,942000,-2331000,-522000,-1729000,-12000,-5955000
79,Inventory,- -,- -,- -,- -,-700000,-600000,-800000,-1200000,-3200000,300000,-800000,1100000,-2400000,-1900000,-1763000,1483000,3647000,486000,108000,-287000,-3011000,460000,-2507000,-51000,1772000,-3207000,-456000,-1050000,-2966000,3114000,-1954000,666000,225000,-1693000,213000,518000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1773000,1702000,275000,456000,135000,187000,571000,-931000,2423000,-2436000,590000,4238000,-2411000
81,Other Working Capital,- -,- -,- -,15200000,16100000,24800000,24300000,25700000,28800000,33000000,30400000,31200000,36300000,37200000,38875000,36100000,37652000,35396000,40945000,40562000,48589000,50895000,52550000,49949000,48398000,65336000,66080000,71925000,54016000,53755000,60433000,64063000,52065000,56670000,62213000,62952000
82,Other Non-Cash Items,- -,- -,- -,-9600000,-1600000,-11500000,-2400000,-1600000,-9100000,-6900000,5600000,-1800000,-9800000,-7700000,-7484000,8038000,9750000,8246000,-507000,-1502000,-9455000,-495000,-5769000,3202000,12361000,-25510000,9066000,-6477000,13980000,5183000,-445000,-4160000,-7256000,-5804000,275000,-20120000
