,https://roic.ai/company/UTMD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0921,0.1481,0.2291,0.2803,0.2785,0.2936,0.2865,0.2753,0.3071,0.3540,0.2798,0.2744,0.2902,0.3096,0.3517,0.4019,0.4118,0.4118,0.3688,0.4319,0.4224,0.3879,0.3697,0.3599,0.2927,0.3499,0.3575,0.3831,0.3871,0.4179,0.4608,0.4633,0.3813,0.3281,0.3886
22,Income Tax expense (Gain),300000,600000,1500000,2400000,2900000,3700000,3600000,3800000,4500000,4900000,2500000,2700000,3077000,3047000,3546000,3831000,3841000,3741000,2667000,4250000,4134000,3572000,3322000,3026000,3666000,4368000,3070000,4434000,3702000,4294000,10577000,904000,3157000,3042000,- -
23,Net Income,400000,1400000,2600000,4300000,5400000,6900000,7000000,7100000,8400000,8800000,4300000,4900000,5468000,5373000,5934000,7165000,20761000,10220000,7547000,8168000,7905000,7205000,6258000,6014000,7414000,10169000,11406000,11378000,11843000,12128000,8505000,18555000,14727000,10798000,15178000
24,Net Income ratio,0.0526,0.1037,0.1453,0.1799,0.1812,0.1911,0.1892,0.1793,0.2000,0.2274,0.1770,0.1769,0.1857,0.1976,0.2202,0.2619,0.7650,0.3859,0.2725,0.2841,0.2773,0.2593,0.2415,0.2394,0.1958,0.2447,0.2817,0.2756,0.2949,0.3086,0.2054,0.4418,0.3140,0.2560,0.3094
25,EPS,0.04,0.13,0.23,0.37,0.46,0.58,0.60,0.68,0.83,0.93,0.51,0.59,0.76,0.90,1.18,1.46,4.59,2.32,1.91,2.07,2.01,1.87,1.72,1.66,2.04,2.74,3.02,3.02,3.14,3.22,2.29,4.99,3.94,2.96,4.17
26,EPS Diluted,0.04,0.13,0.23,0.37,0.46,0.57,0.60,0.68,0.82,0.93,0.51,0.59,0.76,0.90,1.14,1.36,4.25,2.19,1.80,2.02,1.98,1.86,1.72,1.65,2.03,2.74,3.02,3.01,3.14,3.22,2.28,4.95,3.94,2.94,4.13
27,Weighted Average Shares Outstanding,10000000,10769231,11304348,11621622,11739130,11896552,11666667,10441176,10120482,9462366,8431373,8305085,7194737,5970000,5028814,4907534,4523094,4405172,3951309,3945894,3932836,3843000,3630000,3619000,3640000,3711314,3774322,3773798,3771656,3766460,3718000,3719715,3737817,3643000,3643000
28,Weighted Average Shares Outstanding Diluted,10000000,10769231,11304348,11621622,11739130,12105263,11666667,10441176,10243902,9462366,8431373,8305085,7194737,5970000,5205263,5268382,4884941,4666667,4192778,4043564,3992424,3878000,3630000,3643000,3645000,3711314,3775000,3774000,3772000,3766460,3737000,3749000,3739000,3672000,3672000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000091423396000019/0000914233-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/706698/000091423397000042/0000914233-97-000042-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000109690601000109/0001096906-01-000109-index.html,https://www.sec.gov/Archives/edgar/data/706698/000109690602000253/0001096906-02-000253-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000109690606000158/0001096906-06-000158-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690607000376/0001096906-07-000376-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690608000399/0001096906-08-000399-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690609000189/0001096906-09-000189-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690610000273/0001096906-10-000273-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690611000415/0001096906-11-000415-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690612000512/0001096906-12-000512-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690613000305/0001096906-13-000305-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690614000293/0001096906-14-000293-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690615000240/0001096906-15-000240-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690616001451/0001096906-16-001451-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690617000145/0001096906-17-000145-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690618000127/0001096906-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690619000100/0001096906-19-000100-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690620000111/0001096906-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000181188421000004/0001811884-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000181188422000004/0001811884-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,3800000,1300000,1200000,1600000,1600000,800000,1600000,5100000,3000000,1000000,1400000,647000,414000,370000,285000,762000,1818000,703000,610000,1251000,97000,410000,3818000,6534000,8871000,14395000,19274000,23278000,26296000,39875000,51112000,42787000,51590000,60974000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,722000,15110000,16750000,20439000,21121000,15927000,18845000,14718000,64000,42000,56000,58000,55000,64000,80000,- -,- -,- -,- -
33,Cash and Short-Term Investments,1700000,3800000,1300000,1200000,1600000,1600000,800000,1600000,5100000,3000000,1000000,1400000,647000,414000,370000,285000,1484000,16928000,17453000,21049000,22372000,16024000,19255000,18536000,6598000,8913000,14451000,19332000,23333000,26360000,39955000,51112000,42787000,51590000,60974000
34,Net Receivables,1500000,1500000,1700000,2300000,4000000,5400000,6100000,6400000,6700000,5000000,4700000,4500000,4077000,3979000,3585000,3093000,3326000,3730000,4418000,3746000,3905000,3517000,3157000,3164000,4734000,4340000,4334000,4703000,4563000,3211000,3623000,3956000,4742000,4104000,5132000
35,Inventory,1200000,1900000,2800000,3500000,4200000,4200000,4200000,200000,3300000,4800000,5800000,4000000,3190000,3005000,3248000,3478000,3268000,2859000,3305000,3037000,3153000,3275000,3407000,3097000,5005000,4353000,4704000,4872000,4196000,4542000,5244000,5412000,6913000,6222000,6596000
36,Other Current Assets,100000,100000,3400000,3700000,4900000,9100000,9300000,10100000,8700000,2100000,600000,600000,624000,666000,670000,901000,25824000,1013000,682000,579000,501000,464000,414000,345000,679000,929000,797000,768000,781000,754000,366000,423000,444000,346000,456000
37,Total Current Assets,4500000,7300000,9200000,10700000,14700000,20300000,20400000,18300000,23800000,14900000,12100000,10500000,8538000,8064000,7873000,7757000,33902000,24530000,25858000,28411000,29931000,23280000,26233000,25142000,17016000,18535000,24286000,29675000,32873000,34867000,49188000,60903000,54886000,62262000,73158000
38,PP&E,2500000,2500000,2400000,4500000,6200000,7000000,7500000,8100000,8900000,13400000,13300000,12500000,11013000,9789000,8877000,8890000,9005000,9058000,8160000,8331000,8606000,8127000,8133000,8750000,8805000,8428000,8329000,8236000,7369000,9966000,11621000,10359000,10728000,11326000,10992000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7191000,7191000,7191000,7191000,7191000,15120000,15488000,15649000,15145000,14725000,13487000,14092000,13703000,13961000,14164000,- -
40,Intangible Assets,200000,100000,100000,100000,300000,400000,500000,900000,600000,600000,6100000,8900000,8205000,7570000,6822000,6740000,6787000,- -,7191000,254000,258000,223000,197000,155000,35448000,34484000,32446000,28020000,24208000,18264000,17844000,14803000,30212000,23993000,- -
41,Intangible Assets,200000,100000,100000,100000,300000,400000,500000,900000,600000,600000,6100000,8900000,8205000,7570000,6822000,6740000,6787000,- -,7191000,7445000,7449000,7414000,7388000,7346000,50568000,49972000,48095000,43165000,38933000,31751000,31936000,28506000,44173000,38157000,31412000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,200000,300000,200000,300000,-100000,100000,- -,- -,- -,100000,- -,- -,- -,- -,- -,7674000,433000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,2800000,2600000,2700000,4900000,6700000,7700000,7900000,9100000,9500000,14000000,19400000,21500000,19218000,17359000,15699000,15630000,15792000,16732000,15784000,15776000,16055000,15541000,15521000,16096000,59373000,58400000,56424000,51401000,46302000,41717000,43557000,38865000,54901000,49483000,42404000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7300000,9900000,11900000,15600000,21400000,28000000,28300000,27400000,33300000,28900000,31500000,32000000,27756000,25423000,23572000,23387000,49694000,41262000,41642000,44187000,45986000,38821000,41754000,41238000,76389000,76935000,80710000,81076000,79175000,76584000,92745000,99768000,109787000,111745000,115561000
48,Accounts Payable,- -,- -,900000,1400000,1500000,1300000,1500000,1800000,1800000,1900000,800000,500000,544000,683000,457000,631000,368000,698000,757000,599000,393000,418000,345000,398000,925000,1000000,773000,929000,649000,906000,934000,975000,1098000,788000,761000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441000,423000,265000,264000,215000,5430000,4001000,4052000,3894000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,- -,- -,2257000,2340000,3385000,2685000,1916000,2458000,1944000,519000,949000,237000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1100000,2700000,3400000,1800000,2300000,1300000,1400000,1600000,1900000,2200000,2000000,1900000,2117000,1963000,2017000,1688000,12129000,3638000,2418000,2341000,2349000,1085000,1152000,1290000,3276000,2822000,2786000,4148000,3417000,2116000,4346000,4285000,2350000,3003000,2839000
53,Total Current Liabilities,1100000,2700000,4300000,3200000,3800000,2600000,2900000,3400000,3700000,4100000,2800000,2400000,2661000,2646000,2474000,2319000,12497000,4336000,3175000,3381000,3165000,1768000,1761000,1903000,9631000,7823000,7611000,8971000,4066000,3022000,5280000,5260000,3448000,3791000,3600000
54,Long-Term Debt,1600000,800000,100000,- -,- -,- -,- -,- -,- -,- -,5600000,3100000,5934000,10000000,2501000,4956000,- -,- -,5336000,4383000,3689000,1828000,1403000,909000,16242000,9003000,5065000,973000,- -,- -,- -,- -,376000,335000,331000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8549000,- -,- -,- -,- -,- -,- -,- -,- -,- -,577000
56,Deferred Tax Liabilities,- -,100000,- -,- -,- -,- -,300000,300000,200000,300000,500000,400000,372000,430000,390000,390000,665000,769000,274000,308000,343000,420000,608000,634000,688000,8773000,7454000,6576000,5461000,4318000,3558000,3075000,2760000,2802000,2105000
57,Other Non-Current Liabilities,- -,- -,500000,900000,- -,500000,300000,300000,200000,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,- -,522000,363000,- -,- -,- -,- -,5785000,2441000,2110000,1995000,1810000
58,Total Non-Current Liabilities,1600000,900000,600000,900000,- -,500000,600000,600000,400000,400000,6100000,3600000,6306000,10430000,2891000,5346000,665000,769000,5610000,4691000,4032000,2249000,2012000,1543000,26001000,18139000,12519000,7549000,5461000,4318000,9343000,5516000,5246000,5132000,4823000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376000,335000,331000
61,Total Liabilities,2700000,3600000,4900000,4100000,3800000,3100000,3500000,4000000,4100000,4500000,8900000,6000000,8967000,13076000,5365000,7665000,13162000,5105000,8785000,8072000,7197000,4017000,3773000,3446000,35632000,25962000,20130000,16520000,9527000,7340000,14623000,10776000,8694000,8923000,8423000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,50000,50000,44000,45000,41000,39000,39000,39000,36000,36000,36000,36000,37000,37000,37000,38000,37000,37000,37000,37000,36000,- -
64,Retained Earnings,-500000,1100000,3800000,8100000,13500000,20400000,24700000,23400000,29100000,24000000,23200000,26400000,19975000,13856000,19973000,16793000,36747000,35890000,33314000,36796000,39539000,35892000,38939000,38924000,42904000,49519000,57250000,64863000,72861000,81072000,85617000,100123000,110820000,110952000,- -
65,Other Comprehensive Income/Loss,-1200000,-1200000,-1600000,-1700000,-2100000,-2800000,-3700000,-4900000,-6000000,-7000000,-8200000,-9700000,-10964000,-12086000,-13134000,-1115000,-260000,226000,-495000,-720000,-789000,-1122000,-994000,-1275000,-2906000,-851000,16000,-3234000,-5961000,-12243000,-8341000,-11290000,-9782000,-8281000,-9054000
66,Other Total Stockholders Equity,6300000,6400000,4800000,5100000,6200000,7300000,3800000,4900000,6100000,7400000,7600000,9300000,9714000,10527000,11318000,- -,- -,- -,-1000,- -,- -,-2000,- -,107000,723000,2268000,3278000,2890000,2710000,378000,809000,122000,18000,115000,- -
67,Total Stockholders Equity,4600000,6300000,7000000,11500000,17600000,24900000,24800000,23400000,29200000,24400000,22600000,26000000,18789000,12347000,18207000,15722000,36532000,36157000,32857000,36115000,38789000,34804000,37981000,37792000,40757000,50973000,60581000,64556000,69648000,69244000,78122000,88992000,101093000,102822000,107138000
68,Total Liabilities And Stockholders Equity,7300000,9900000,11900000,15600000,21400000,28000000,28300000,27400000,33300000,28900000,31500000,32000000,27756000,25423000,23572000,23387000,49694000,41262000,41642000,44187000,45986000,38821000,41754000,41238000,76389000,76935000,80711000,81076000,79175000,76584000,92745000,99768000,109787000,111745000,115561000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7300000,9900000,11900000,15600000,21400000,28000000,28300000,27400000,33300000,28900000,31500000,32000000,27756000,25423000,23572000,23387000,49694000,41262000,41642000,44187000,45986000,38821000,41754000,41238000,76389000,76935000,80710000,81076000,79175000,76584000,92745000,99768000,109787000,111745000,115561000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000091423396000019/0000914233-96-000019-index.html,https://www.sec.gov/Archives/edgar/data/706698/000091423397000042/0000914233-97-000042-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000109690601000109/0001096906-01-000109-index.html,https://www.sec.gov/Archives/edgar/data/706698/000109690602000253/0001096906-02-000253-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/706698/000109690606000158/0001096906-06-000158-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690607000376/0001096906-07-000376-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690608000399/0001096906-08-000399-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690609000189/0001096906-09-000189-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690610000273/0001096906-10-000273-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690611000415/0001096906-11-000415-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690612000512/0001096906-12-000512-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690613000305/0001096906-13-000305-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690614000293/0001096906-14-000293-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690615000240/0001096906-15-000240-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690616001451/0001096906-16-001451-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690617000145/0001096906-17-000145-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690618000127/0001096906-18-000127-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690619000100/0001096906-19-000100-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000109690620000111/0001096906-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000181188421000004/0001811884-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/706698/000181188422000004/0001811884-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,2600000,4300000,5400000,6900000,7000000,7100000,8400000,8800000,4300000,4900000,5468000,5373000,5934000,7165000,20761000,10220000,7547000,8168000,7905000,7205000,6258000,6014000,7414000,10169000,11406000,11378000,11843000,12128000,8505000,18555000,14727000,10798000,15178000
74,Depreciation and Amortization,- -,- -,500000,500000,600000,900000,1000000,1300000,1700000,1400000,1500000,2100000,2192000,2191000,1933000,1172000,984000,809000,676000,634000,597000,591000,588000,607000,2773000,3266000,3195000,3356000,3147000,2833000,2773000,2956000,6882000,7209000,639000
75,Deferred Income Tax,- -,- -,-400000,-100000,100000,- -,300000,-100000,-100000,-100000,200000,100000,-81000,-13000,-26000,108000,-47000,75000,-129000,118000,93000,-46000,230000,- -,-549000,-600000,-1399000,-500000,-901000,-484000,-658000,-326000,-396000,-26000,-92000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,83000,95000,70000,28000,74000,87000,92000,129000,64000,113000,160000,166000
77,Change in Working Capital,- -,- -,1000000,2600000,3400000,6800000,-200000,-2600000,5200000,-9300000,-1500000,-1200000,-2223000,-459000,-19000,39000,15967000,-1211000,2489000,2347000,1736000,-5254000,2960000,-1233000,-15854000,3327000,5963000,4029000,8103000,3038000,12063000,11735000,-4323000,1993000,11087000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290000,110000,502000,675000,214000,-365000,137000,295000,-242000,-496000,-738000,617000,24000
79,Inventory,- -,- -,-900000,-700000,-700000,- -,- -,200000,700000,-1500000,-200000,2300000,903000,165000,-239000,-168000,174000,437000,-573000,35000,-80000,-70000,-83000,286000,-624000,841000,-249000,-141000,422000,-360000,-467000,-244000,-1686000,924000,-485000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000,52000,-1213000,50000,-216000,188000,-265000,286000,9000,52000,114000,-308000,-23000
81,Other Working Capital,- -,- -,4900000,7500000,10900000,17700000,17500000,14900000,20100000,10800000,9300000,8100000,5877000,5418000,5399000,5438000,21405000,20194000,22683000,25030000,26766000,21512000,24472000,23239000,7385000,10712000,16675000,20704000,28807000,31845000,43908000,55643000,-330000,- -,69558000
82,Other Non-Cash Items,- -,- -,600000,-4400000,-5600000,-8200000,-700000,3100000,-4100000,10400000,500000,3600000,3745000,733000,38000,172000,-29330000,17566000,-4132000,-414000,-2857000,5266000,-2908000,1686000,17486000,-2669000,-6884000,-2950000,-8478000,-3079000,-5904000,-16150000,53000,3000,-5775000
83,Cash Provided by Operating Activities,- -,- -,4300000,2900000,3900000,6400000,7400000,8800000,11100000,11200000,5000000,9500000,9101000,7825000,7860000,8656000,8335000,27459000,6451000,10853000,7474000,7762000,7226000,7157000,11365000,13563000,12309000,15387000,13801000,14528000,16908000,16834000,17056000,20137000,21203000
84,CAPEX,- -,- -,-500000,-2700000,-2400000,-1800000,-1600000,-2300000,-2200000,-5900000,-1200000,-4700000,-684000,-361000,-524000,-517000,-394000,-421000,-345000,-334000,-360000,-287000,-474000,-1534000,-256000,-255000,-344000,-1132000,-246000,-3302000,-1597000,-402000,-21540000,-860000,-552000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1012000,- -,- -,- -,- -,- -,- -,-41084000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-4300000,-4200000,-4400000,-8200000,-15000000,-3500000,-6900000,-3300000,-100000,- -,- -,- -,- -,- -,-737000,-22103000,-10600000,-6600000,-2000000,-2650000,-3800000,-1600000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
