,https://roic.ai/company/ESLT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1027664/000091068008000436/f20f123107.htm,https://www.sec.gov/Archives/edgar/data/1027664/000119312509053612/0001193125-09-053612-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000119312510052027/0001193125-10-052027-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000117891311000774/zk1109582.htm,https://www.sec.gov/Archives/edgar/data/1027664/000117891312000685/0001178913-12-000685-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000117891313000674/0001178913-13-000674-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000144530514001097/eslt1231201320-f.htm,https://www.sec.gov/Archives/edgar/data/1027664/000162828015001669/eslt1231201420-f.htm,https://www.sec.gov/Archives/edgar/data/1027664/000162828016012845/0001628280-16-012845-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828017002762/0001628280-17-002762-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828018003366/0001628280-18-003366-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828019003104/0001628280-19-003104-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828020004030/0001628280-20-004030-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,76280000,76156000,34109000,93887000,84564000,363887000,204670000,140709000,151059000,202577000,199241000,193737000,200407000,299322000,222810000,156074000,208479000,221060000,278794000,258993000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2282000,2106000,12898000,73373000,139563000,63486000,21693000,65555000,71625000,105519000,33102000,22252000,16497000,16447000,2213000,1524000,1185000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,76280000,76156000,34109000,96169000,86670000,376785000,278043000,280272000,214545000,224270000,264796000,265362000,305926000,332424000,245062000,172571000,224926000,223273000,280318000,260178000
34,Net Receivables,- -,- -,- -,- -,- -,- -,262100000,215426000,228634000,346689000,397498000,451554000,526787000,659524000,868488000,669524000,754460000,869190000,973857000,1015582000,1286823000,1483635000,1815651000,2147358000,2615298000,3049352000
35,Inventory,- -,- -,- -,- -,- -,- -,222844000,249225000,249041000,328428000,371962000,480603000,647561000,569848000,665270000,761269000,751247000,756032000,868799000,837111000,840266000,902954000,1141996000,1219920000,1316688000,1670474000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,1650000,36908000,39255000,67838000,72426000,115149000,154213000,115856000,- -,180024000,113772000,105422000,100462000,97690000,81083000,51874000,96412000,81216000,60594000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,562874000,577715000,551039000,839124000,928556000,1424091000,1606604000,1625500000,1748303000,1835087000,1884275000,1996006000,2249044000,2282807000,2453234000,2611034000,3278985000,3671767000,4272898000,4980004000
38,PP&E,- -,- -,- -,- -,- -,- -,202961000,229221000,244288000,284997000,294628000,350514000,384086000,404675000,503851000,517608000,501286000,481408000,441535000,449759000,474109000,495716000,686620000,1132295000,1210060000,1319067000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58401000,331810000,323772000,336910000,483071000,499326000,500598000,501793000,504611000,622654000,616997000,646715000,1022624000,1340617000,1316768000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,105769000,100012000,95987000,142728000,70594000,298925000,270511000,266426000,313593000,263746000,214963000,167957000,132921000,147622000,109401000,105688000,239297000,295323000,280238000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,105769000,100012000,95987000,142728000,128995000,630735000,594283000,603336000,796664000,763072000,715561000,669750000,637532000,770276000,726398000,752403000,1261921000,1635940000,1597006000,2019675000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,353000000,236000000,87000000,62000000,375836000,397646000,405851000,134196000,141086000,135546000,140207000,188353000,182612000,205182000,212063000,195649000,316058000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22155000,9201000,7992000,29892000,36130000,31465000,35695000,60224000,52619000,47303000,51358000,42804000,89452000,118513000,65274000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,64237000,116788000,147986000,-104000,181903000,266997000,277973000,36338000,134744000,162762000,543922000,609223000,497400000,430890000,462467000,621794000,975273000,593841000,663771000,617266000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,372967000,446021000,488261000,780621000,841526000,1357401000,1327543000,1428177000,1862797000,1885423000,1926430000,1937162000,1772237000,1843751000,1898630000,2103883000,3171800000,3663591000,3784999000,4337340000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,935841000,1023736000,1039300000,1619745000,1770082000,2781492000,2934147000,3053677000,3611100000,3720510000,3810705000,3933168000,4021281000,4126558000,4351864000,4714917000,6450785000,7335358000,8057897000,9317344000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,83463000,107545000,118391000,120260000,158361000,273010000,340315000,299238000,360736000,316264000,260975000,301480000,369659000,347366000,514106000,633689000,776100000,926338000,1007237000,1023679000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,30915000,15327000,10248000,37651000,28001000,29077000,15413000,2663000,58208000,130625000,90237000,63111000,82515000,113359000,233983000,201306000,271367000,470846000,396485000,183136000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48115000,78767000,45611000,32442000,21433000,45086000,16195000,26464000,15609000,24228000,16915000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407222000,453382000,349998000,413223000,437202000,347393000,418560000,780994000,723581000,1000159000,1502955000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,250944000,256145000,249811000,454257000,624229000,965858000,960870000,919943000,947837000,743866000,704450000,720544000,758760000,739867000,830516000,835394000,1081992000,1052080000,1218273000,1314321000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,365322000,379017000,378450000,612168000,810591000,1267945000,1316598000,1221844000,1366781000,1597977000,1509044000,1435133000,1624157000,1637794000,1925998000,2088949000,2910453000,3172845000,3622154000,4024091000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,73173000,62038000,86234000,224982000,125266000,431312000,269760000,386534000,565396000,537574000,582355000,602021000,514639000,392729000,171541000,244379000,523952000,440124000,408820000,1271592000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177191000,154696000,156497000,164854000,120299000,167601000,174529000,133649000,175890000,62830000,169073000,293984000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,16413000,24916000,24516000,31424000,17640000,92193000,70068000,59602000,55936000,48467000,48787000,73502000,68435000,44738000,58298000,68159000,78677000,114419000,132442000,141451000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,64897000,101571000,111060000,287487000,315836000,433695000,477413000,528503000,440345000,454076000,463396000,463489000,454856000,481309000,454257000,461809000,907405000,1385300000,1494041000,1039963000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,154483000,188525000,221810000,543893000,458742000,957200000,817241000,974639000,1238868000,1194813000,1251035000,1303866000,1158229000,1086377000,858625000,907996000,1685924000,2002673000,2204376000,2746990000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385852000,463456000,463422000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,519805000,567542000,600260000,1156061000,1269333000,2225145000,2133839000,2196483000,2605649000,2792790000,2760079000,2738999000,2782386000,2724171000,2784623000,2996945000,4596377000,5175518000,5826530000,6771081000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,11154000,11273000,11548000,11636000,11876000,11886000,11892000,12006000,12050000,12093000,12105000,12302000,12330000,12341000,12345000,12347000,12348000,12742000,12742000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,159023000,190086000,156387000,166123000,214043000,258202000,429608000,575469000,695830000,724485000,841748000,974516000,1091671000,1232610000,1398112000,1561921000,1691921000,1862059000,2000980000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-2882000,-3992000,-3346000,-1340000,-16746000,-24367000,-13573000,-22413000,-18460000,-56226000,-33544000,-25219000,-96583000,-71610000,-72181000,-87652000,-94944000,-144963000,-211222000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,244066000,254712000,270111000,274358000,284705000,290541000,295906000,267806000,277273000,217985000,196806000,215413000,219249000,220993000,221564000,221694000,223128000,411568000,415654000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,411361000,452079000,434700000,450777000,493878000,536262000,723833000,832868000,966693000,898337000,1017115000,1177012000,1226667000,1394334000,1559840000,1708310000,1832453000,2141406000,2218154000,2531635000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,931166000,1019621000,1034960000,1606838000,1763211000,2761407000,2857672000,3029351000,3572342000,3691127000,3777194000,3916011000,4009053000,4118505000,4344463000,4705255000,6428830000,7316924000,8044684000,9302716000
69,Minority Interest,- -,- -,- -,- -,- -,- -,4675000,4115000,4340000,12907000,6871000,20085000,76475000,24326000,38758000,29383000,33511000,17157000,12228000,8053000,7401000,9662000,21955000,18434000,13213000,14628000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,935841000,1023736000,1039300000,1619745000,1770082000,2781492000,2934147000,3053677000,3611100000,3720510000,3810705000,3933168000,4021281000,4126558000,4351864000,4714917000,6450785000,7335358000,8057897000,9317344000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1027664/000091068008000436/f20f123107.htm,https://www.sec.gov/Archives/edgar/data/1027664/000119312509053612/0001193125-09-053612-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000119312510052027/0001193125-10-052027-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000117891311000774/zk1109582.htm,https://www.sec.gov/Archives/edgar/data/1027664/000117891312000685/0001178913-12-000685-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000117891313000674/0001178913-13-000674-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000144530514001097/eslt1231201320-f.htm,https://www.sec.gov/Archives/edgar/data/1027664/000162828015001669/eslt1231201420-f.htm,https://www.sec.gov/Archives/edgar/data/1027664/000162828016012845/0001628280-16-012845-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828017002762/0001628280-17-002762-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828018003366/0001628280-18-003366-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828019003104/0001628280-19-003104-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828020004030/0001628280-20-004030-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,18000000,22200000,27800000,31035000,-20531000,40796000,45113000,45945000,52993000,32487000,72242000,76709000,204176000,214947000,183498000,90288000,167879000,183417000,170980000,202509000,236909000,239109000,206738000,227857000,237658000,274663000
74,Depreciation and Amortization,7600000,8500000,8700000,16633000,20818000,41377000,32011000,42631000,42261000,57718000,58500000,99414000,129437000,123473000,132141000,150618000,138796000,129348000,122408000,122354000,122888000,114017000,118205000,137146000,144420000,153091000
75,Deferred Income Tax,-100000,-1200000,1500000,-5598000,-6482000,-2694000,-5620000,35000,153000,6551000,-4659000,-33138000,-8488000,7606000,-28162000,-8777000,6579000,221000,-47456000,15928000,2683000,28774000,13724000,-15059000,-5345000,39095000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5134000,5211000,1996000,3326000,440000,322000,139000,70000,13000,1387000,3994000,4086000,5312000
77,Change in Working Capital,-25000000,-25600000,-23000000,3920000,-58355000,-37670000,36323000,9694000,-15666000,76121000,89946000,80791000,-125848000,-135967000,-89860000,-59375000,-120341000,-155809000,-75985000,67864000,-134632000,-279372000,-141741000,-378097000,-43848000,-33742000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136224000,-84708000,-65062000,-91988000,-108337000,-67177000,31860000,-297439000,-315236000,-89099000,-267924000,-508057000,- -
79,Inventory,-7300000,-20100000,24300000,14113000,-25228000,-72165000,-55106000,-38651000,2932000,-43679000,-69974000,-124381000,-169482000,75431000,-49724000,-95363000,10022000,-4785000,-112747000,39801000,-8040000,-59699000,-117221000,-55841000,-69762000,-336221000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75724000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95397000,4160000,83825000,37349000,-98622000,22252000,70483000,-82566000,32290000,154535000,-169953000,390124000,627574000
82,Other Non-Cash Items,-600000,1100000,3000000,1822000,50109000,1905000,8167000,-6949000,1742000,14739000,-15061000,37932000,10151000,-5471000,-17974000,16165000,2143000,9358000,7568000,26034000,-19916000,-1648000,-6654000,-29159000,-58137000,-21487000
83,Cash Provided by Operating Activities,-100000,5000000,18000000,47812000,-14441000,43714000,115994000,91356000,81483000,187616000,200968000,261708000,209428000,209722000,184854000,190915000,198382000,166975000,177837000,434828000,208002000,100893000,191659000,-53318000,278834000,416932000
84,CAPEX,-9200000,-14200000,-18300000,-28670000,-40374000,-45296000,-46003000,-61287000,-53008000,-58735000,-64809000,-104205000,-129241000,-107893000,-138644000,-121977000,-81637000,-63019000,-71211000,-99175000,-124221000,-107880000,-102301000,-137604000,-132210000,-188624000
85,Acquisitions Net,- -,- -,- -,-23986000,- -,-3344000,-5280000,-2458000,-2315000,-28331000,- -,-353175000,-20637000,-48234000,-229556000,-12173000,-4241000,-6222000,-3833000,-165288000,-20815000,-30404000,-514858000,-365711000,-7994000,-447399000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-15869000,-160861000,-31930000,-3377000,-62518000,-195876000,-208785000,-103006000,-341678000,-53051000,-90317000,-57571000,-26039000,-42289000,-10544000,-2603000,-683000,-435000
87,Sales/Maturities of Investments,- -,1600000,2500000,- -,- -,- -,- -,- -,- -,3100000,5000000,194694000,54138000,145645000,310731000,167031000,302583000,47244000,60274000,128908000,37513000,58734000,30445000,17545000,46087000,22992000
88,Other Investing Activites,8800000,18000000,3000000,3000,24558000,3936000,308000,9944000,294000,3120000,4743000,3448000,-13449000,9055000,11841000,15059000,7335000,3755000,24969000,11563000,15745000,6270000,4388000,381584000,71933000,25745000
89,Cash Used for Investing Activites,- -,5400000,-12800000,-52653000,-15816000,-44704000,-50975000,-53801000,-70898000,-241707000,-86996000,-262615000,-171707000,-197303000,-254413000,-55066000,-117638000,-71293000,-80118000,-181563000,-117817000,-115569000,-592870000,-106789000,-22867000,-587721000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156183000,-529629000,-117902000,-373131000,-286067000,-401371000,-282167000,-103782000,-222957000,-56307000,-298856000,-425899000,-536062000
91,Common Stock Issued,- -,38300000,400000,1362000,787000,3300000,4140000,5266000,11260000,3511000,8248000,427000,188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184840000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-708000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10101000,-26006000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1000000,-3400000,-4900000,-8989000,-9430000,-12132000,-12717000,-14882000,-86692000,-21631000,-24322000,-27410000,-32770000,-76172000,-63137000,-61633000,-50616000,-75549000,-68277000,-69792000,-68447000,-75300000,-75305000,-62578000,-78194000,-79175000
94,Other Financing Activites,10200000,-8700000,-1800000,-1104000,54119000,2878000,-20745000,-28063000,22800000,131989000,-107221000,307213000,-163271000,155975000,672675000,105305000,365672000,260430000,380599000,197609000,5532000,246197000,585228000,349282000,305860000,766225000
95,Cash Used/Provided by Financing Activities,9200000,26200000,-6300000,-8731000,45476000,-6662000,-29322000,-37679000,-52632000,113869000,-123295000,280230000,-195853000,-76380000,79909000,-84331000,-84081000,-101186000,-89049000,-154350000,-166697000,-52060000,453616000,172688000,-198233000,150988000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9200000,26200000,-1000000,-13572000,15219000,-7652000,35697000,-124000,-42047000,59778000,-9323000,279323000,-158132000,-63961000,10350000,51518000,-3336000,-5504000,8670000,98915000,-76512000,-66736000,52405000,12581000,57734000,-19801000
98,Cash at the End of Period,- -,- -,50100000,36497000,51716000,44064000,76280000,76156000,34109000,93887000,84564000,363887000,204670000,140709000,151059000,202577000,199241000,193737000,200407000,299322000,222810000,156074000,208479000,221060000,278794000,258993000
99,Cash at the Beginning of Period,5400000,14500000,51100000,50069000,36497000,51716000,40583000,76280000,76156000,34109000,93887000,84564000,362802000,204670000,140709000,151059000,202577000,199241000,191737000,200407000,299322000,222810000,156074000,208479000,221060000,278794000
100,Free Cash Flow,-9300000,-9200000,-300000,19142000,-54815000,-1582000,69991000,30069000,28475000,128881000,136159000,157503000,80187000,101829000,46210000,68938000,116745000,103956000,106626000,335653000,83781000,-6987000,89358000,-190922000,146624000,228308000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1027664/000091068008000436/f20f123107.htm,https://www.sec.gov/Archives/edgar/data/1027664/000119312509053612/0001193125-09-053612-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000119312510052027/0001193125-10-052027-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000117891311000774/zk1109582.htm,https://www.sec.gov/Archives/edgar/data/1027664/000117891312000685/0001178913-12-000685-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000117891313000674/0001178913-13-000674-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000144530514001097/eslt1231201320-f.htm,https://www.sec.gov/Archives/edgar/data/1027664/000162828015001669/eslt1231201420-f.htm,https://www.sec.gov/Archives/edgar/data/1027664/000162828016012845/0001628280-16-012845-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828017002762/0001628280-17-002762-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828018003366/0001628280-18-003366-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828019003104/0001628280-19-003104-index.html,https://www.sec.gov/Archives/edgar/data/1027664/000162828020004030/0001628280-20-004030-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
