,https://roic.ai/company/NREF,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,45179000,- -,- -,2792748823,134015397,8245224000
69,Minority Interest,647000,- -,- -,- -,-127839087,268693000
70,Total Liabilities & Equity,45826000,- -,- -,2792748823,6176310,8513917000
71,SEC Link,- -,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1786248/000156459021008920/0001564590-21-008920-index.htm,https://www.sec.gov/Archives/edgar/data/1786248/000143774922004658/0001437749-22-004658-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-1503000,- -,- -,- -,34170000,43085000
74,Depreciation and Amortization,1603000,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,21000,- -,- -,- -,548000,2023000
77,Change in Working Capital,559000,- -,- -,- -,29207,378000
78,Accounts Receivable,-114000,- -,- -,- -,-6746000,-2889000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,571000,- -,- -,- -,2978000,3267000
81,Other Working Capital,- -,- -,- -,- -,29207,- -
82,Other Non-Cash Items,87000,- -,- -,- -,-1845207,3812000
83,Cash Provided by Operating Activities,767000,- -,- -,- -,32902000,49298000
84,CAPEX,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-11250000,- -,- -,- -,- -,-243635000
87,Sales/Maturities of Investments,6000000,- -,- -,- -,- -,3921000
88,Other Investing Activites,-1165000,- -,- -,- -,-68261000,757592000
89,Cash Used for Investing Activites,-6415000,- -,- -,- -,-68261000,517878000
90,Debt Repayment,-18386000,- -,- -,- -,-191233000,-103212000
91,Common Stock Issued,4611000,- -,- -,- -,- -,32393000
92,Common Stock Repurchased,- -,- -,- -,- -,-13359000,- -
93,Dividends Paid,-12000,- -,- -,- -,-201158000,-17672000
94,Other Financing Activites,19149000,- -,- -,- -,474580000,-478924000
95,Cash Used/Provided by Financing Activities,5362000,- -,- -,- -,68830000,-567415000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-286000,- -,- -,- -,- -,-239000
98,Cash at the End of Period,683000,- -,- -,- -,33471000,33232000
99,Cash at the Beginning of Period,969000,- -,- -,- -,- -,33471000
100,Free Cash Flow,767000,- -,- -,- -,32902000,49298000
101,SEC Link,- -,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1786248/000156459021008920/0001564590-21-008920-index.htm,https://www.sec.gov/Archives/edgar/data/1786248/000143774922004658/0001437749-22-004658-index.htm
102,false,,,,,,
