,https://roic.ai/company/DRQ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,28888889,29790444,34550444,34554202,35009570,34703452,34675844,34586746,34740240,36206556,40342000,41007000,40292000,39538000,40060000,40322000,40523000,40865000,40190000,38531000,37797317,38132693,37075000,36152000,35260000,35387000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1042893/000089924398000397/0000899243-98-000397-index.html,- -,https://www.sec.gov/Archives/edgar/data/1042893/000089924300000562/0000899243-00-000562-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1042893/000089924303000648/0000899243-03-000648-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312504041964/0001193125-04-041964-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312505052935/0001193125-05-052935-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312506053973/0001193125-06-053973-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312507044002/d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312508042529/d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312509039868/0001193125-09-039868-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312510041122/0001193125-10-041122-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312511047940/d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312512078769/0001193125-12-078769-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312513081240/0001193125-13-081240-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312514073575/d642542d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312515066987/d839337d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312516476825/0001193125-16-476825-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000104289317000004/0001042893-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000104289318000003/0001042893-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000104289319000003/0001042893-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000156459020007447/0001564590-20-007447-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000156459021008917/0001564590-21-008917-index.htm,https://www.sec.gov/Archives/edgar/data/1042893/000095017022001780/0000950170-22-001780-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,32600000,11900000,10500000,5870000,11326000,3276000,8325000,5159000,32762000,135429000,201732000,95952000,197792000,245850000,298576000,257191000,384356000,298705000,381336000,423497000,493180000,418100000,398946000,345955000,355451000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400000,32600000,11900000,10500000,5870000,11326000,3276000,8325000,5159000,32762000,135429000,201732000,95952000,197792000,245850000,298576000,257191000,384356000,298705000,381336000,423497000,493180000,418100000,398946000,345955000,355451000
34,Net Receivables,25500000,27300000,44500000,36800000,63345000,59789000,58381000,48627000,63116000,108330000,144820000,142064000,172072000,130816000,158894000,180095000,263213000,279253000,373993000,319780000,213513000,191629000,202165000,248160000,256520000,203584000
35,Inventory,51600000,52400000,55500000,53600000,69481000,98283000,99588000,105028000,110763000,155157000,162503000,183031000,222203000,251357000,243432000,277802000,362181000,368354000,392559000,344458000,355413000,291087000,191194000,205062000,212536000,145724000
36,Other Current Assets,4500000,4400000,5300000,5800000,7610000,7962000,8131000,9407000,11029000,14967000,22303000,25771000,24047000,37391000,40073000,42829000,41803000,46850000,61883000,78724000,64288000,32653000,41522000,28321000,48182000,40790000
37,Total Current Assets,83000000,116700000,117200000,106700000,146306000,177360000,169376000,171387000,190067000,311216000,465055000,552598000,514274000,617356000,688249000,799302000,924388000,1078813000,1127140000,1124298000,1056711000,1008549000,852981000,880489000,863193000,745549000
38,PP&E,31400000,35800000,59800000,72300000,86723000,102310000,112129000,106535000,113206000,116583000,129340000,141646000,160810000,194703000,247158000,274599000,295982000,304806000,309525000,294251000,323149000,284247000,274123000,263641000,241785000,221458000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34371000,47624000,7714000,7947000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29594000,38408000,34974000,32245000,29434000,26446000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63965000,86032000,42688000,40192000,29434000,26446000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1699000,5364000,7995000,8936000,5768000,11381000
44,Other Non-Current Assets,400000,400000,200000,500000,312000,289000,258000,259000,292000,463000,540000,5578000,5525000,5187000,13144000,11957000,11077000,10993000,12586000,9701000,15880000,15613000,14723000,13307000,10992000,5592000
45,Total Non-Current Assets,31800000,36200000,60000000,72800000,87035000,102599000,112387000,106794000,113498000,117046000,129880000,147224000,166335000,199890000,260302000,286556000,307059000,315799000,322111000,303952000,404693000,391256000,339529000,326076000,287979000,264877000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,114800000,152900000,177200000,179500000,233341000,279959000,281763000,278181000,303565000,428262000,594935000,699822000,680609000,817246000,948551000,1085858000,1231447000,1394612000,1449251000,1428250000,1461404000,1399805000,1192510000,1206565000,1151172000,1010426000
48,Accounts Payable,15000000,15400000,16700000,12800000,24438000,28009000,14508000,16196000,26805000,48111000,38572000,27078000,31715000,24828000,31149000,35580000,28302000,38801000,53837000,30934000,36108000,33480000,26693000,46324000,37424000,35232000
49,Short-Term Debt,- -,200000,200000,100000,495000,1074000,1188000,1288000,990000,734000,844000,857000,636000,723000,268000,57000,- -,- -,- -,- -,- -,- -,- -,1314000,1110000,1046000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7153000,8514000,1985000,13561000,13703000,23585000,32959000,23750000,33952000,39645000,17263000,13963000,15117000,13634000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47214000,48889000,76610000,86313000,45025000,71177000,18388000,11884000,4767000,9648000,6901000,11339000,9746000
52,Other Current Liabilities,18500000,11800000,16700000,11900000,15738000,17179000,22550000,17979000,24556000,41479000,78389000,70471000,81388000,31860000,31023000,38753000,40474000,58964000,73628000,51493000,53488000,61664000,45917000,42401000,35639000,47639000
53,Total Current Liabilities,33500000,27400000,33600000,24800000,40671000,46262000,38246000,35463000,52351000,90324000,117805000,98406000,113739000,104625000,111329000,151000000,155089000,142790000,198642000,100815000,101480000,99911000,82258000,96940000,85512000,93663000
54,Long-Term Debt,29000000,300000,200000,100000,28440000,57814000,54196000,38320000,28082000,3113000,2876000,2054000,896000,316000,58000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5845000,4170000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1400000,1100000,1600000,2000000,2440000,3018000,4011000,4751000,6769000,5363000,6757000,6867000,6524000,7220000,9150000,9614000,9926000,9804000,5417000,2977000,3500000,3432000,2466000,4150000,6779000,3925000
57,Other Non-Current Liabilities,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2001000,11624000,14774000,11508000,11560000
58,Total Non-Current Liabilities,30400000,1300000,1700000,2100000,30880000,60832000,58207000,43071000,34851000,8476000,9633000,8921000,7420000,7536000,9208000,9614000,9926000,9804000,5417000,2977000,3500000,5433000,14090000,18924000,24132000,19655000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5115000,6955000,5216000
61,Total Liabilities,63900000,28700000,35300000,26900000,71551000,107094000,96453000,78534000,87202000,98800000,127438000,107327000,121159000,112161000,120537000,160614000,165015000,152594000,204059000,103792000,104980000,105344000,96348000,115864000,109644000,113318000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,200000,173000,173000,173000,173000,173000,193000,404000,408000,390000,396000,400000,402000,405000,407000,388000,378000,375000,372000,376000,371000,363000,352000
64,Retained Earnings,49700000,62600000,80000000,91800000,102813000,115015000,123738000,132689000,145162000,177729000,264620000,372561000,478146000,583287000,685513000,780780000,899989000,1069816000,1278528000,1425344000,1500988000,1400296000,1205946000,1181023000,1125263000,973087000
65,Other Comprehensive Income/Loss,-25200000,-33200000,-38600000,-44100000,-49338000,-56136000,-3338000,2048000,6139000,-1031000,10387000,13691000,-28870000,-8126000,-9317000,-18443000,-13830000,-20170000,-50204000,-101264000,-150407000,-126290000,-145113000,-143563000,-149711000,-156585000
66,Other Total Stockholders Equity,26400000,94800000,100500000,104700000,108142000,113813000,64737000,64737000,64889000,152571000,192086000,205835000,109784000,129528000,151418000,162505000,179868000,191965000,16480000,- -,5468000,20083000,34953000,52870000,65613000,80254000
67,Total Stockholders Equity,50900000,124200000,141900000,152600000,161790000,172865000,185310000,199647000,216363000,329462000,467497000,592495000,559450000,705085000,828014000,925244000,1066432000,1242018000,1245192000,1324458000,1356424000,1294461000,1096162000,1090701000,1041528000,897108000
68,Total Liabilities And Stockholders Equity,114800000,152900000,177200000,179500000,233341000,279959000,281763000,278181000,303565000,428262000,594935000,699822000,680609000,817246000,948551000,1085858000,1231447000,1394612000,1449251000,1428250000,1461404000,1399805000,1192510000,1206565000,1151172000,1010426000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,114800000,152900000,177200000,179500000,233341000,279959000,281763000,278181000,303565000,428262000,594935000,699822000,680609000,817246000,948551000,1085858000,1231447000,1394612000,1449251000,1428250000,1461404000,1399805000,1192510000,1206565000,1151172000,1010426000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1042893/000089924398000397/0000899243-98-000397-index.html,- -,https://www.sec.gov/Archives/edgar/data/1042893/000089924300000562/0000899243-00-000562-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1042893/000089924303000648/0000899243-03-000648-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312504041964/0001193125-04-041964-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312505052935/0001193125-05-052935-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312506053973/0001193125-06-053973-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312507044002/d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312508042529/d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312509039868/0001193125-09-039868-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312510041122/0001193125-10-041122-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312511047940/d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312512078769/0001193125-12-078769-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312513081240/0001193125-13-081240-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000119312514073575/d642542d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312515066987/d839337d10k.htm,https://www.sec.gov/Archives/edgar/data/1042893/000119312516476825/0001193125-16-476825-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000104289317000004/0001042893-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000104289318000003/0001042893-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000104289319000003/0001042893-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000156459020007447/0001564590-20-007447-index.html,https://www.sec.gov/Archives/edgar/data/1042893/000156459021008917/0001564590-21-008917-index.htm,https://www.sec.gov/Archives/edgar/data/1042893/000095017022001780/0000950170-22-001780-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,9100000,12900000,17400000,11800000,11031000,12202000,8723000,8951000,12473000,32567000,86891000,107941000,105585000,105141000,102226000,95267000,119209000,169827000,208712000,192008000,93221000,-100639000,-95695000,1720000,-30768000,-127996000
74,Depreciation and Amortization,4400000,5000000,5700000,6700000,7428000,8597000,9890000,10558000,11779000,13426000,15087000,15653000,16854000,17997000,20875000,23013000,26224000,29340000,31155000,30477000,31857000,40974000,35312000,34020000,32389000,30381000
75,Deferred Income Tax,-500000,-200000,300000,-600000,-78000,608000,653000,1690000,-403000,-3542000,-4614000,-666000,-383000,-7869000,-1933000,-1512000,338000,-1235000,-3145000,-3465000,-3400000,17231000,-4091000,598000,4950000,-8701000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3181000,3975000,4960000,4542000,5748000,8900000,11856000,13125000,12217000,14270000,13459000,15721000,12914000,14895000
77,Change in Working Capital,-7700000,39800000,-5700000,-1700000,23735000,25463000,32000,4794000,1792000,83176000,126358000,106942000,-53657000,112196000,64189000,71382000,120997000,166724000,-7525000,94985000,-68252000,-46593000,-137915000,12826000,-5868000,59117000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46853000,51461000,-28746000,-22699000,-81566000,-17250000,-102696000,36729000,106544000,26112000,-11855000,10783000,-9522000,13469000
79,Inventory,-10800000,-2800000,-2700000,1200000,-18304000,-29748000,1706000,-810000,-2628000,-48789000,1338000,-18172000,-62139000,-19280000,7257000,-37490000,-81884000,-10562000,-36814000,28539000,7873000,37642000,49926000,-14054000,-28290000,-5482000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,49500000,89300000,83600000,81900000,105635000,131098000,131130000,135924000,137716000,220892000,347250000,454192000,400535000,512731000,576920000,648302000,769299000,936023000,928498000,1023483000,955231000,908638000,770723000,783549000,777681000,-256000
82,Other Non-Cash Items,-100000,-47200000,-8600000,2200000,-54309000,-47595000,-5235000,972000,-303000,-142516000,-130721000,-147207000,-30903000,-95028000,-83157000,-90838000,-280675000,-211327000,-91740000,-136975000,180879000,182750000,234433000,-50207000,-34705000,70732000
83,Cash Provided by Operating Activities,5200000,10300000,9100000,18400000,-12193000,-725000,14063000,26965000,25338000,-16889000,93001000,82663000,40677000,136412000,107160000,101854000,-8159000,162229000,149313000,190155000,246522000,107993000,45503000,14678000,-21088000,38428000
84,CAPEX,-7200000,-10400000,-29600000,-19900000,-23180000,-25018000,-17607000,-8328000,-17061000,-20557000,-24133000,-25208000,-50134000,-44749000,-74815000,-56213000,-50773000,-42633000,-42549000,-27079000,-25763000,-27622000,-32061000,-11501000,-11943000,-9990000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-132443000,-20440000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,200000,100000,200000,69000,152000,210000,5858000,216000,1351000,843000,354000,607000,424000,1865000,2026000,1774000,760000,978000,424000,357000,3170000,16888000,3030000,6315000,6783000
89,Cash Used for Investing Activites,-7000000,-10200000,-29500000,-19700000,-23111000,-24866000,-17397000,-2470000,-16845000,-19206000,-23290000,-24854000,-49527000,-44325000,-72950000,-54187000,-48999000,-41873000,-41571000,-26655000,-157849000,-44892000,-15173000,-8471000,-5628000,-3207000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-812000,-695000,-679000,-269000,-39000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,63300000,- -,- -,1370000,77000,- -,- -,152000,84923000,19449000,4764000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100038000,- -,- -,- -,- -,-10002000,-190234000,-75805000,-24234000,- -,-100000000,-26570000,-25000000,-24191000
93,Dividends Paid,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1400000,-31900000,-200000,-200000,28909000,30137000,-4310000,-16396000,-10992000,-21962000,17883000,5396000,775000,14131000,15313000,5367000,12296000,13369000,3407000,2240000,2341000,560000,801000,1998000,-183000,-109000
95,Cash Used/Provided by Financing Activities,1300000,31400000,-200000,-200000,30279000,30214000,-4310000,-16396000,-10840000,62961000,37332000,10160000,-100075000,13436000,14634000,5098000,12257000,3367000,-186827000,-73565000,-21893000,560000,-99199000,-24572000,-25183000,-24300000
96,Effect of Forex Changes on Cash,-700000,-200000,-200000,100000,439000,833000,-406000,-3050000,-819000,737000,-4376000,-1666000,3145000,-3683000,-786000,-39000,3516000,3442000,-6566000,-7304000,-24619000,6022000,-6211000,-789000,-1092000,-1425000
97,Net Change In Cash,1300000,31400000,-200000,-1400000,-4586000,5456000,-8050000,5049000,-3166000,27603000,102667000,66303000,-105780000,101840000,48058000,52726000,-41385000,127165000,-85651000,82631000,42161000,69683000,-75080000,-19154000,-52991000,9496000
98,Cash at the End of Period,- -,- -,- -,10500000,5870000,11326000,3276000,8325000,5159000,32762000,135429000,201732000,95952000,197792000,245850000,298576000,257191000,384356000,298705000,381336000,423497000,493180000,418100000,398946000,345955000,355451000
99,Cash at the Beginning of Period,2600000,1400000,32600000,11900000,10456000,5870000,11326000,3276000,8325000,5159000,32762000,135429000,201732000,95952000,197792000,245850000,298576000,257191000,384356000,298705000,381336000,423497000,493180000,418100000,398946000,345955000
100,Free Cash Flow,-2000000,-100000,-20500000,-1500000,-35373000,-25743000,-3544000,18637000,8277000,-37446000,68868000,57455000,-9457000,91663000,32345000,45641000,-58932000,119596000,106764000,163076000,220759000,80371000,13442000,3177000,-33031000,28438000
