,https://roic.ai/company/NJR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128200000,142200000,148800000,142700000,146916000,150734000,165755000,160658000,184634000,193015000,229551000,243356000,272940000,292116000,299221000,283621000,315637000,127780000,153141000,182250000,190438000,152263000,171450000,176772000,136857000,154423000,149691000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379300000,470200000,614400000,626400000,816751000,1070637000,1948595000,1726375000,2423028000,2406389000,3009894000,3153145000,2894515000,3614760000,2544390000,2451179000,2866208000,2140233000,3038837000,3536955000,2485536000,1713370000,2101573000,2719033000,2438110000,1737285000,1868263000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21014000,21251000,19623000,20844000,23979000,25463000,27721000,31044000,44886000,46286000,47082000,67597000,78559000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,27600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31142000,33192000,- -,41643000,47310000,52742000,61399000,72748000,81841000,85701000,91730000,119894000,111387000
15,EBITDA,10400000,5900000,11200000,17000000,17400000,13900000,12400000,25900000,30500000,62200000,42400000,57400000,62300000,66700000,70367000,77938000,85207000,92768000,107874000,117519000,125253000,128541000,105593000,181995000,87886000,236592000,158587000,163095000,221673000,272015000,329804000,258994000,277135000,311638000,270566000,374466000,341122000
16,EBITDA ratio,0.0367,0.0233,0.0416,0.0575,0.0527,0.0428,0.0370,0.0628,0.0671,0.1247,0.0933,0.1046,0.0894,0.0939,0.0778,0.0669,0.0416,0.0507,0.0424,0.0464,0.0398,0.0390,0.0349,0.0477,0.0339,0.0896,0.0527,0.0725,0.0693,0.0728,0.1206,0.1377,0.1222,0.1069,0.1044,0.1917,0.1582
17,Operating Income,283300000,253100000,269200000,295400000,329900000,324800000,334900000,412300000,454700000,498700000,75300000,78300000,82100000,83900000,87517000,93912000,99813000,104379000,121351000,127218000,138368000,146463000,127250000,201450000,48070000,188125000,143001000,108690000,159231000,201190000,248451000,167535000,167044000,196076000,153935000,216383000,288350000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1656,0.1428,0.1179,0.1181,0.0968,0.0806,0.0487,0.0570,0.0477,0.0502,0.0440,0.0444,0.0421,0.0528,0.0185,0.0713,0.0475,0.0483,0.0498,0.0538,0.0909,0.0891,0.0736,0.0673,0.0594,0.1108,0.1337
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23800000,-20900000,-19800000,-17200000,-17150000,-16802000,-13259000,-11611000,-13477000,-9699000,-13115000,-17922000,-21657000,-19455000,-16605000,-15993000,-15876000,-18716000,-19196000,-17912000,-21176000,-21848000,-30449000,-29433000,-35809000,-43719000,-53962000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51500000,57400000,62300000,66700000,70367000,77110000,86554000,92768000,107874000,117519000,125253000,128541000,105593000,181995000,31465000,172132000,127125000,89974000,140035000,183278000,227275000,145687000,136595000,166643000,118126000,172664000,234388000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1133,0.1046,0.0894,0.0939,0.0778,0.0662,0.0423,0.0507,0.0424,0.0464,0.0398,0.0390,0.0349,0.0477,0.0121,0.0652,0.0422,0.0400,0.0438,0.0490,0.0831,0.0775,0.0602,0.0572,0.0456,0.0884,0.1087
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,18700000,20800000,23400000,25445000,29147000,32891000,35924000,42462000,45945000,48913000,50022000,40312000,68085000,8488000,64692000,37665000,7729000,35575000,51840000,59724000,23530000,18343000,-53785000,-37751000,-6944000,33286000
23,Net Income,10400000,5900000,11200000,17000000,17400000,13900000,12400000,25900000,30500000,34600000,26400000,38700000,41500000,43300000,44922000,48791000,52316000,56844000,65412000,71574000,76340000,78519000,65281000,113910000,27242000,117457000,101299000,92879000,114809000,141970000,180960000,131672000,132065000,233436000,169505000,193919000,117890000
24,Net Income ratio,0.0367,0.0233,0.0416,0.0575,0.0527,0.0428,0.0370,0.0628,0.0671,0.0694,0.0581,0.0706,0.0596,0.0610,0.0497,0.0419,0.0255,0.0310,0.0257,0.0282,0.0242,0.0238,0.0216,0.0298,0.0105,0.0445,0.0337,0.0413,0.0359,0.0380,0.0662,0.0700,0.0582,0.0801,0.0654,0.0993,0.0547
25,EPS,0.30,0.15,0.28,0.37,0.32,0.22,0.18,0.36,0.36,0.43,0.31,0.46,0.49,0.52,0.56,0.61,0.66,0.71,0.80,0.87,0.92,0.94,0.78,1.36,0.33,1.42,1.23,1.12,1.38,1.69,2.12,1.53,1.53,2.66,1.90,1.72,1.23
26,EPS Diluted,0.30,0.15,0.28,0.37,0.32,0.22,0.18,0.36,0.36,0.43,0.31,0.46,0.49,0.52,0.55,0.61,0.65,0.70,0.79,0.85,0.90,0.93,0.78,1.35,0.32,1.41,1.22,1.11,1.38,1.67,2.10,1.52,1.52,2.64,1.89,1.71,1.22
27,Weighted Average Shares Outstanding,31635032,32576155,36459596,43070670,50845697,60249060,61745446,64143154,78123073,76932000,79222500,81135000,81072000,80091000,80334000,79641000,79794000,80580000,81285000,82590000,82773000,83586000,83709000,83756000,84238000,82728000,82718000,83054000,83316000,84198000,85186000,85884000,86321000,87689000,89242000,94798000,96227000
28,Weighted Average Shares Outstanding Diluted,31635032,32576155,36459596,43070670,50845697,60249060,61745446,64143154,78602367,76932000,79222500,81135000,81736454,80523000,80928000,80199000,80401500,81504000,82596000,84159000,84363000,84243000,84225000,84352000,84930000,83260000,83136000,83264000,83628000,84922000,86265000,86731000,87144000,88315000,89616000,95103000,96560000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356309/000095011094000358/0000950110-94-000358-index.html,https://www.sec.gov/Archives/edgar/data/356309/000095011095000883/0000950110-95-000883-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356309/000095012302012107/0000950123-02-012107-index.html,https://www.sec.gov/Archives/edgar/data/356309/000095012303013828/0000950123-03-013828-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465904037977/0001104659-04-037977-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465905058182/0001104659-05-058182-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465906077505/0001104659-06-077505-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630907000114/0000356309-07-000114-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630908000064/0000356309-08-000064-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000114036109027697/0001140361-09-027697-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630910000025/0000356309-10-000025-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630911000033/0000356309-11-000033-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630912000060/0000356309-12-000060-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630913000103/0000356309-13-000103-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630914000113/0000356309-14-000113-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630915000097/0000356309-15-000097-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630916000283/0000356309-16-000283-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630917000185/0000356309-17-000185-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630918000139/0000356309-18-000139-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630919000133/0000356309-19-000133-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630920000098/0000356309-20-000098-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630921000095/0000356309-21-000095-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1100000,10800000,5500000,2500000,2123000,1904000,4044000,1282000,1839000,5043000,25008000,4991000,5140000,42626000,36186000,943000,7440000,4509000,2969000,2151000,4928000,37546000,2226000,1458000,2676000,117012000,4749000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,1100000,10800000,5500000,2500000,2123000,1904000,4044000,1282000,1839000,5043000,25008000,4991000,5140000,42626000,36186000,943000,7440000,4509000,2969000,2151000,4928000,37546000,2226000,1458000,2676000,117012000,4749000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,29600000,33900000,48400000,50700000,82240000,104252000,86091000,173331000,124924000,152351000,240248000,143479000,138173000,231969000,104497000,167379000,211987000,172763000,242380000,191844000,156456000,143537000,198488000,206985000,139625000,136157000,198537000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,40600000,35100000,46800000,39600000,56600000,39435000,67348000,73022000,89122000,191433000,278386000,258766000,516541000,444201000,483659000,303490000,342233000,301870000,273056000,328811000,285681000,171043000,217029000,214007000,198543000,184278000,187910000,213167000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42500000,120100000,48500000,46900000,51700000,25447000,29358000,98595000,102223000,131527000,250236000,428768000,300505000,212352000,351412000,240016000,274453000,211070000,197016000,171738000,203055000,212084000,209152000,164723000,363094000,185027000,181253000,217821000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,103200000,185900000,140000000,140400000,161500000,149245000,202862000,261752000,365958000,449723000,686016000,952790000,965516000,799866000,1109666000,684189000,785008000,732367000,647344000,745898000,682731000,544511000,607264000,579444000,770080000,511606000,622332000,634274000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,167500000,596100000,655200000,659400000,680000000,705444000,730584000,743949000,756397000,852604000,880389000,905130000,934939000,970871000,1017286000,1064439000,1135719000,1295927000,1484877000,1643116000,1884110000,2128261000,2407652000,2609741000,2651049000,3041166000,4114804000,4387441000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41084000,23375000,14611000,14767000,10611000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41084000,23375000,14611000,14767000,10611000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160508000,169234000,159063000,164595000,161591000,153010000,191477000,196937000,238337000,223783000,200268000,208375000,114529000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,86500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,440100000,44400000,60000000,79300000,101500000,105323000,153596000,186491000,196949000,268652000,289195000,351908000,498473000,460008000,498440000,411894000,473172000,462087000,473189000,454178000,438953000,474789000,515229000,459901000,475377000,605334000,609524000,575423000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,694100000,640500000,715200000,738700000,781500000,810767000,884180000,930440000,953346000,1121256000,1169584000,1257038000,1433412000,1430879000,1515726000,1636841000,1778125000,1917077000,2122661000,2258885000,2476073000,2794527000,3119818000,3349063000,3373584000,3861379000,4947470000,5088004000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,797300000,826400000,855200000,879100000,943000000,960012000,1087042000,1192192000,1319304000,1570979000,1855600000,2209828000,2398928000,2230745000,2625392000,2321030000,2563133000,2649444000,2770005000,3004783000,3158804000,3339038000,3727082000,3928507000,4143664000,4372985000,5569802000,5722278000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,51100000,33800000,32200000,28600000,29700000,28499000,40411000,38166000,39684000,41053000,42916000,54683000,46823000,64386000,61735000,44448000,47297000,65960000,249179000,315155000,311304000,252627000,247786000,258145000,347693000,267785000,238236000,394800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,18800000,36500000,48100000,62700000,82018000,43795000,86329000,86842000,188248000,287436000,177353000,284439000,260817000,238319000,149910000,178857000,166925000,287560000,434243000,335505000,77488000,183152000,431375000,275495000,46869000,152586000,454440000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3356000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48452000,24393000,22335000,20790000,32834000,26957000,27325000,27116000,25934000,32586000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21900000,53600000,70600000,84400000,75400000,107271000,197011000,158788000,240918000,294302000,357386000,744220000,565893000,378063000,593915000,361807000,479644000,470499000,67948000,78042000,121942000,85195000,107836000,86441000,100463000,104607000,116966000,169584000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,106200000,139300000,161100000,167800000,217788000,281217000,283283000,367444000,523603000,687738000,976256000,897155000,703266000,893969000,556165000,705798000,703384000,653139000,851833000,791086000,436100000,571608000,802918000,750976000,446377000,533722000,1051410000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,323600000,352200000,303400000,291400000,326700000,287723000,291528000,353799000,370628000,257899000,315887000,317204000,332332000,383184000,455117000,455492000,428925000,426797000,525169000,512886000,598209000,843595000,1063550000,997080000,1180619000,1537177000,2259466000,2303527000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8203000,7656000,7633000,5502000,4763000,4042000,29334000,28519000,27728000,9104000,1554000,1035000,847000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63500000,63300000,74400000,84400000,75852000,105654000,104679000,101583000,122409000,143550000,112966000,234935000,223771000,246895000,250463000,285100000,334009000,361211000,378357000,428475000,504556000,478466000,519005000,246412000,194316000,193942000,166540000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,86500000,24500000,54400000,53000000,52700000,75925000,80118000,98022000,117989000,248092000,240563000,365330000,312833000,275645000,302388000,360981000,410171000,401364000,411119000,369560000,370826000,418497000,418348000,345133000,537575000,641844000,736945000,569092000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,410100000,440200000,421100000,418800000,463800000,439500000,477300000,556500000,590200000,628400000,700000000,795500000,880100000,882600000,1004400000,1075139000,1131852000,1169803000,1303001000,1265566000,1401552000,1795982000,1988883000,1888946000,1973710000,2374891000,3191388000,3040006000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,880500000,- -,- -,- -,879035000,- -,1113042000,- -,1256835000,- -,1591020000,1760211000,1765282000,2008865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101754000,145663000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,525100000,546500000,560400000,579900000,631600000,657323000,758514000,839825000,957556000,1152038000,1387683000,1771776000,1777266000,1585948000,1898434000,1631304000,1837650000,1873187000,1956140000,2117399000,2192638000,2232082000,2560491000,2691864000,2724686000,2821268000,3725110000,4091416000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,250200000,44500000,45300000,45400000,45800000,46177000,46249000,46526000,69168000,69314000,69786000,70457000,72745000,73356000,108599000,109386000,109713000,110258000,110956000,112563000,112777000,220838000,221654000,222258000,226196000,226649000,240243000,240644000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,20100000,31200000,43700000,58558000,76923000,98008000,122570000,154367000,190098000,228924000,267307000,380882000,449636000,425771000,487015000,528762000,557665000,604884000,674829000,777745000,825556000,867984000,1007117000,1075960000,1148297000,934610000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189800000,-201300000,-218900000,-239800000,-262382000,-279033000,-299721000,-321833000,-275986000,-292915000,-60000000,3000000,-1000000,-3000000,-10000000,-12000000,-11000000,-11000000,-2000000,-6000000,-9000000,-15000000,-3000000,-13000000,-32000000,-44000000,-34528000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,414200000,430700000,441500000,461700000,460336000,484389000,507554000,491843000,471246000,500948000,198671000,278610000,191559000,171723000,164569000,140755000,148237000,156244000,171937000,184560000,117373000,134381000,149401000,198665000,281108000,500152000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,272200000,279900000,294800000,299200000,311400000,302689000,328528000,352367000,361748000,418941000,467917000,438052000,621662000,644797000,726958000,689726000,725483000,776257000,813865000,887384000,966166000,1106956000,1166591000,1236643000,1418978000,1551717000,1844692000,1630862000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,797300000,826400000,855200000,879100000,943000000,960012000,1087042000,1192192000,1319304000,1570979000,1855600000,2209828000,2398928000,2230745000,2625392000,2321030000,2563133000,2649444000,2770005000,3004783000,3158804000,3339038000,3727082000,3928507000,4143664000,4372985000,5569802000,5722278000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,797300000,826400000,855200000,879100000,943000000,960012000,1087042000,1192192000,1319304000,1570979000,1855600000,2209828000,2398928000,2230745000,2625392000,2321030000,2563133000,2649444000,2770005000,3004783000,3158804000,3339038000,3727082000,3928507000,4143664000,4372985000,5569802000,5722278000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/356309/000095011094000358/0000950110-94-000358-index.html,https://www.sec.gov/Archives/edgar/data/356309/000095011095000883/0000950110-95-000883-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356309/000095012302012107/0000950123-02-012107-index.html,https://www.sec.gov/Archives/edgar/data/356309/000095012303013828/0000950123-03-013828-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465904037977/0001104659-04-037977-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465905058182/0001104659-05-058182-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000110465906077505/0001104659-06-077505-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630907000114/0000356309-07-000114-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630908000064/0000356309-08-000064-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000114036109027697/0001140361-09-027697-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630910000025/0000356309-10-000025-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630911000033/0000356309-11-000033-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630912000060/0000356309-12-000060-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630913000103/0000356309-13-000103-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630914000113/0000356309-14-000113-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630915000097/0000356309-15-000097-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630916000283/0000356309-16-000283-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630917000185/0000356309-17-000185-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630918000139/0000356309-18-000139-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630919000133/0000356309-19-000133-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630920000098/0000356309-20-000098-index.htm,https://www.sec.gov/Archives/edgar/data/356309/000035630921000095/0000356309-21-000095-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000,26400000,38700000,41500000,43300000,44922000,48791000,52316000,56844000,65412000,71574000,76340000,78519000,65281000,113910000,27242000,117457000,101299000,92879000,114809000,141970000,180960000,131672000,132065000,233436000,169505000,193919000,117890000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,27600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31142000,33192000,- -,41643000,47310000,52742000,61399000,72748000,81841000,85701000,91730000,119894000,111387000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,14100000,6500000,-7200000,4700000,7000000,-2785000,18607000,-2397000,18759000,15221000,3788000,-234000,-11896000,17762000,17085000,-31435000,68458000,35034000,-5323000,41075000,18421000,45934000,29476000,42727000,-57196000,-57723000,-8445000,23637000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000,91500000,-79000000,-21400000,14400000,-62243000,-9812000,56824000,20045000,-72394000,72158000,-21744000,91827000,28239000,119097000,-87673000,-48814000,-50227000,-34778000,-100140000,-2420000,216766000,-72755000,-259130000,242578000,46125000,23381000,20488000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49473000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,5500000,-11600000,7200000,-17000000,17208000,-27913000,-5674000,-16100000,-41449000,-86953000,19620000,-250765000,68727000,-39458000,233354000,-111431000,40363000,28814000,-55755000,43130000,114638000,-45986000,3022000,15464000,14265000,-3254000,-25257000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5593000,291000,4469000,-3418000,726000,34716000,-14714000,-15656000,13086000,40422000,2256000,20390000,30063000
