,https://roic.ai/company/DOV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1117,0.0981,0.1161,0.1161,0.1111,0.1146,0.0744,0.0895,0.1022,0.1055,0.1171,0.1321,0.1347,0.1337,0.1429,0.1561,0.0671,0.0817,0.1006,0.1116,0.1152,0.1400,0.1357,0.1360,0.1018,0.1451,0.1523,0.1561,0.1551,0.1568,0.1324,0.1052,0.1168,0.1206,0.1366,0.1396,0.1621
19,Total Other Income Expenses (Gains),-700000,-6900000,-3100000,-2100000,-8500000,-9200000,40800000,-2900000,-8200000,-18500000,-21400000,50100000,4200000,-43400000,-20400000,-70895000,-60589000,-71929000,-71866000,-60056000,-56867000,-88936000,-93086000,-83311000,-96425000,-109853000,-115651000,-127806000,-116520000,-121277000,-120152000,-25114000,59398000,-117734000,-131885000,-91253000,119318000
20,Income Before Tax,160100000,134400000,180900000,224800000,227000000,244100000,204100000,200300000,245600000,306900000,417100000,588700000,616800000,488600000,615100000,772315000,238434000,269691000,371892000,552146000,643588000,822869000,887604000,946019000,491618000,925084000,1095164000,1137571000,1237412000,1094207000,800610000,689332000,973843000,725378000,843009000,841734000,1400826000
21,Income Before Tax Ratio,0.1112,0.0933,0.1141,0.1151,0.1071,0.1104,0.0930,0.0882,0.0989,0.0995,0.1113,0.1444,0.1356,0.1228,0.1383,0.1430,0.0535,0.0645,0.0843,0.1006,0.1059,0.1264,0.1228,0.1250,0.0851,0.1297,0.1378,0.1404,0.1417,0.1411,0.1151,0.1015,0.1244,0.1037,0.1181,0.1259,0.1772
22,Income Tax expense (Gain),60100000,50600000,69200000,79000000,83000000,88400000,75900000,71200000,87300000,104500000,138800000,198500000,211400000,162200000,210000000,239108000,71595000,58542000,86676000,143006000,169135000,219541000,234331000,251261000,119724000,217176000,248799000,304452000,271607000,316067000,204729000,180440000,162178000,134233000,165091000,158283000,277008000
23,Net Income,100000000,83800000,111700000,145800000,144000000,155700000,128200000,129700000,158300000,202400000,278300000,390200000,405400000,378800000,929000000,519612000,248537000,-121261000,292927000,412755000,510142000,561782000,661080000,590831000,356438000,700104000,895243000,811070000,1003129000,775235000,869829000,508892000,811665000,570267000,677918000,683451000,1123818000
24,Net Income ratio,0.0695,0.0582,0.0705,0.0746,0.0679,0.0704,0.0584,0.0571,0.0637,0.0656,0.0743,0.0957,0.0891,0.0952,0.2089,0.0962,0.0557,-0.0290,0.0664,0.0752,0.0839,0.0863,0.0915,0.0781,0.0617,0.0982,0.1126,0.1001,0.1149,0.1000,0.1250,0.0749,0.1037,0.0816,0.0950,0.1023,0.1421
25,EPS,0.36,0.31,0.42,0.55,0.57,0.64,0.54,0.56,0.69,0.89,1.23,1.73,1.82,1.70,4.44,2.56,1.22,-0.60,1.45,2.03,2.51,2.76,3.28,3.13,1.91,3.75,4.82,4.47,5.86,4.65,5.52,3.28,5.21,3.80,4.67,4.74,7.81
26,EPS Diluted,0.36,0.31,0.42,0.55,0.57,0.64,0.54,0.56,0.69,0.89,1.23,1.71,1.79,1.69,4.41,2.54,1.22,-0.60,1.44,2.02,2.50,2.73,3.26,3.12,1.91,3.70,4.74,4.41,5.78,4.59,5.46,3.25,5.15,3.75,4.61,4.70,7.73
27,Weighted Average Shares Outstanding,277777778,270322581,265952381,265090909,252631579,243281250,237407407,231607143,229420290,228700565,227183673,226202899,223181000,222793000,209063000,202971000,202925000,202571000,202576000,203275000,202979000,203773000,201330000,188481000,186136000,186897000,185882000,181551000,171271000,166692000,157619000,155231000,155685000,149874000,145198000,144050000,143976000
28,Weighted Average Shares Outstanding Diluted,277777778,270322581,265952381,265090909,252631579,243281250,237407407,231607143,229420290,228700565,227183673,228187135,226815000,224386000,210679000,204677000,204013000,203346000,203614000,204786000,204177000,205497000,202918000,189269000,186736000,189170000,188887000,183993000,173547000,168842000,159172000,156636000,157744000,152133000,146992000,145393000,145440000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012397002834/0000950123-97-002834-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012398003095/0000950123-98-003095-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012399002715/0000950123-99-002715-index.html,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012301002246/0000950123-01-002246-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012302002088/0000950123-02-002088-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012306002706/0000950123-06-002706-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012307002935/0000950123-07-002935-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012308002255/0000950123-08-002255-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012309003170/0000950123-09-003170-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012310014502/0000950123-10-014502-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012311012422/0000950123-11-012422-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990512000008/0000029905-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990513000014/0000029905-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990514000012/0000029905-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990515000007/0000029905-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990516000064/0000029905-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990517000011/0000029905-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990518000013/0000029905-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990519000019/0000029905-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990520000011/0000029905-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990521000010/0000029905-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990522000009/0000029905-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,90300000,121700000,200000000,124800000,96800000,138000000,181399000,175865000,294448000,370379000,357606000,191150000,373616000,602412000,547409000,714365000,1187361000,1206755000,800076000,803882000,681581000,362185000,349146000,753964000,396221000,397253000,513075000,385504000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5341000,997000,511000,- -,- -,- -,- -,- -,279460000,223809000,121734000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,90300000,121700000,200000000,124800000,96800000,138000000,186740000,176862000,294959000,370379000,357606000,191150000,373616000,602412000,826869000,938174000,1309095000,1206755000,800076000,803882000,681581000,362185000,349146000,753964000,396221000,397253000,513075000,385504000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,576600000,706900000,715500000,818300000,575600000,750900000,903177000,675233000,669885000,747567000,912688000,991512000,1056828000,1097697000,1013174000,878754000,1087704000,1190265000,1225898000,1359101000,1186746000,1120490000,1265201000,1385567000,1231859000,1217190000,1137223000,1347514000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,364600000,479300000,499900000,562800000,559300000,639400000,783200000,660601000,595071000,639339000,775741000,682393000,709647000,681600000,636121000,570858000,714110000,803346000,872841000,926998000,863737000,802895000,870487000,878635000,748796000,806141000,835804000,1191095000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,101600000,76500000,74400000,85400000,72800000,83300000,101732000,142232000,98086000,92355000,103912000,110870000,131415000,162529000,138021000,134921000,150962000,196764000,129029000,150181000,164758000,135209000,104357000,188954000,126878000,127846000,133085000,-385504000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1133100000,1384400000,1489800000,1591300000,1304500000,1611600000,1974849000,1654928000,1658001000,1849640000,2149947000,1975925000,2271506000,2544238000,2614185000,2522707000,3261871000,3397130000,3027844000,3240162000,2896822000,2420779000,2589191000,3207120000,2503754000,2548430000,2619187000,2538609000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,342700000,423900000,494900000,570600000,572000000,646500000,755548000,761361000,704922000,717875000,756680000,816679000,856799000,885145000,872134000,828922000,847189000,1000870000,1167052000,1182982000,837069000,854269000,945670000,999772000,806497000,842318000,897326000,957310000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1946423000,1654883000,- -,- -,- -,3201983000,3293986000,3255566000,3350217000,3368033000,3787117000,4114650000,4242909000,3491557000,3737389000,4562677000,4591912000,3677328000,3783347000,4072542000,4558822000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,574800000,821400000,973400000,1078700000,1446200000,1820700000,2078639000,173194000,202836000,2194029000,2679057000,3486613000,1065382000,1070574000,952409000,950748000,907523000,1207084000,1625420000,1612487000,1369520000,1413223000,1802923000,1609927000,1134256000,1055014000,1083772000,1359522000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,574800000,821400000,973400000,1078700000,1446200000,1820700000,2078639000,2119617000,1857719000,2194029000,2679057000,3486613000,4267365000,4364560000,4207975000,4300965000,4275556000,4994201000,5740070000,5855396000,4861077000,5150612000,6365600000,6201839000,4811584000,4838361000,5156314000,5918344000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,945044000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,37000000,35300000,36900000,304600000,53100000,83080000,66296000,216743000,372208000,206495000,293815000,230988000,275827000,173010000,229809000,178278000,109249000,508977000,559632000,495417000,194103000,215530000,248922000,243936000,440368000,479247000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,937500000,1282300000,1503600000,1686200000,2322800000,2520300000,2917267000,2947274000,2779384000,3284112000,3642232000,4597107000,5355152000,5525532000,5253119000,5359696000,5301023000,6104320000,7416099000,7598010000,6193563000,6198984000,7526800000,7450533000,5862017000,6121047000,6532887000,7820698000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15685716000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070600000,2666700000,2993400000,3277500000,3627300000,4131900000,4892116000,4602202000,4437385000,5133752000,5792179000,6573032000,7626658000,8069770000,7867304000,7882403000,8562894000,9501450000,10443943000,10838172000,9090385000,8619763000,10115991000,10657653000,8365771000,8669477000,9152074000,10403627000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,155200000,190900000,202800000,226900000,187700000,253700000,277910000,207295000,199624000,258890000,364406000,381776000,410001000,416388000,373436000,357004000,469038000,543924000,651358000,692565000,615332000,650880000,830318000,979446000,969531000,983293000,853942000,1073568000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,264100000,420000000,492400000,436800000,433600000,297900000,842537000,3997000,23761000,63669000,339264000,194229000,290549000,638649000,224944000,35624000,16925000,1022000,610766000,229278000,777956000,151122000,414550000,581102000,220318000,126535000,48834000,105702000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19071000,38994000,79492000,65188000,63019000,61023000,39523000,31708000,73651000,59650000,48639000,52167000,70499000,48385000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13289000,15283000,- -,- -,- -,37590000,39941000,30817000,20678000,28072000,42000000,52755000,36461000,44001000,184845000,227549000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,352900000,470100000,443900000,532900000,368400000,783300000,484193000,607879000,473553000,588242000,652306000,631449000,720141000,610872000,639200000,576548000,708423000,620445000,684563000,662920000,625388000,732203000,849718000,883513000,769041000,761212000,828800000,-1301117000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,772200000,1081000000,1139100000,1196600000,989700000,1334900000,1604640000,819171000,696938000,910801000,1355976000,1207454000,1433980000,1681192000,1237580000,969176000,1194386000,1202981000,1986628000,1615580000,2039354000,1562277000,2136586000,2496816000,1995351000,1915041000,1916421000,105702000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,253600000,255600000,253000000,262600000,610100000,608000000,631846000,1033243000,1030299000,1003915000,753063000,1344173000,1480491000,1452003000,1860729000,1825260000,1790886000,2186230000,2189350000,2599201000,2253041000,2617342000,3206637000,2986702000,2943660000,2985716000,3242818000,3018714000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15474000,10626000,8599000,12437000,12526000,9916000,9382000,9121000,13921000,364117000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,46300000,54100000,40500000,50200000,42100000,67381000,102853000,136469000,233906000,296464000,372152000,364034000,316069000,314405000,292344000,381297000,411163000,462244000,549283000,564207000,575709000,710173000,438841000,339325000,322036000,314206000,945044000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,46400000,56100000,57500000,74200000,66400000,108100000,146674000,127396000,179056000,242459000,267994000,319730000,537131000,674333000,661724000,712015000,669763000,770521000,871017000,686086000,524459000,207423000,250323000,342198000,309387000,404903000,278935000,-364117000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,302500000,358000000,364600000,377300000,726700000,758200000,845901000,1263492000,1345824000,1480280000,1317521000,2036055000,2381656000,2442405000,2836858000,2829619000,2841946000,3367914000,3538085000,3845196000,3350306000,3412911000,4179659000,3777657000,3601754000,3721776000,3849880000,3963758000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10072155000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163133000,182823000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1074700000,1439000000,1503700000,1573900000,1716400000,2093100000,2450541000,2082663000,2042762000,2391081000,2673497000,3243509000,3815636000,4123597000,4074438000,3798795000,4036332000,4570895000,5524713000,5460776000,5389660000,4975188000,6316245000,6274473000,5597105000,5636817000,5766301000,6214099000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236200000,236944000,237303000,237680000,238304000,239015000,239796000,242293000,244548000,246615000,247342000,249361000,250592000,254119000,255320000,255893000,256113000,256538000,256992000,257822000,258552000,258982000,259457000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1268100000,1152200000,1470000000,1703300000,1993000000,2830200000,3252319000,3395293000,3164596000,3342020000,3628715000,4004944000,4421927000,4870460000,5286458000,5453022000,5953027000,6629116000,7199227000,7954536000,7074782000,7686642000,7927795000,8455501000,7815486000,8211257000,8608284000,9445245000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-469500000,-551200000,-612000000,-691700000,-710500000,-834400000,-927943000,-994854000,-38820000,119673000,195220000,57778000,48852000,217648000,10816000,84842000,50161000,-47510000,-54906000,67723000,-158931000,-254573000,-359326000,-194759000,-243096000,-216026000,-153254000,-154052000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,197300000,626700000,631700000,692000000,628400000,- -,- -,- -,-968833000,-957326000,-944268000,-972995000,-902050000,-1386483000,-1751023000,-1701598000,-1725987000,-1901643000,-2479210000,-2900183000,-3471019000,-4043607000,-4025261000,-4134554000,-5061546000,-5221123000,-5328239000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,995900000,1227700000,1489700000,1703600000,1910900000,2038800000,2441575000,2519539000,2394623000,2742671000,3118682000,3329523000,3811022000,3946173000,3792866000,4083608000,4526562000,4930555000,4919230000,5377396000,3700725000,3644575000,3799746000,4383180000,2768666000,3032660000,3385773000,4189528000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070600000,2666700000,2993400000,3277500000,3627300000,4131900000,4892116000,4602202000,4437385000,5133752000,5792179000,6573032000,7626658000,8069770000,7867304000,7882403000,8562894000,9501450000,10443943000,10838172000,9090385000,8619763000,10115991000,10657653000,8365771000,8669477000,9152074000,10403627000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070600000,2666700000,2993400000,3277500000,3627300000,4131900000,4892116000,4602202000,4437385000,5133752000,5792179000,6573032000,7626658000,8069770000,7867304000,7882403000,8562894000,9501450000,10443943000,10838172000,9090385000,8619763000,10115991000,10657653000,8365771000,8669477000,9152074000,10403627000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012397002834/0000950123-97-002834-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012398003095/0000950123-98-003095-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012399002715/0000950123-99-002715-index.html,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012301002246/0000950123-01-002246-index.html,https://www.sec.gov/Archives/edgar/data/29905/000095012302002088/0000950123-02-002088-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29905/000095012306002706/0000950123-06-002706-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012307002935/0000950123-07-002935-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012308002255/0000950123-08-002255-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012309003170/0000950123-09-003170-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012310014502/0000950123-10-014502-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000095012311012422/0000950123-11-012422-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990512000008/0000029905-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990513000014/0000029905-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990514000012/0000029905-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990515000007/0000029905-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990516000064/0000029905-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990517000011/0000029905-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990518000013/0000029905-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990519000019/0000029905-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990520000011/0000029905-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990521000010/0000029905-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990522000009/0000029905-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,144000000,155700000,128200000,129700000,158300000,202400000,278300000,390200000,405400000,378800000,929000000,519612000,248537000,-121261000,292927000,412755000,510142000,561782000,661080000,590831000,356438000,700104000,895243000,811070000,1003129000,775235000,869829000,508892000,811665000,570267000,677918000,683451000,1123818000
74,Depreciation and Amortization,- -,- -,- -,- -,78800000,77500000,85400000,77500000,77000000,95800000,107800000,125100000,170700000,167700000,183200000,203384000,219963000,161003000,151309000,160845000,175719000,201501000,245028000,261154000,258223000,268406000,303143000,357585000,421616000,307188000,327089000,360739000,394240000,282580000,272287000,279051000,290123000
75,Deferred Income Tax,- -,- -,- -,- -,1800000,1400000,-1800000,-3500000,500000,-19000000,-13700000,1000000,-15200000,-300000,-25600000,17507000,-2703000,21519000,47701000,4885000,36274000,-9485000,-33269000,33459000,-23062000,84839000,6110000,-19023000,-43064000,-33866000,-5916000,-79414000,-170859000,-35448000,-11966000,-25643000,-48322000
