,https://roic.ai/company/ADC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5179415,4634754,4711944,4727112,5134000,6475000,8587000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2000000,2600000,3028710,3192444,3505293,3798900,4055772,4221436,4219340,4822577,4623163,207040,4989371,5199590,5557691,5997562,6220079,7160312,7504811,9479958,12053587,16485874,23407000,31752000,43698000,59204000,82643000,120013000
15,EBITDA,2300000,5800000,6762682,8412667,9592069,10605305,11153659,12287089,12991670,15294323,17746183,16254616,18963539,20681864,25754533,27676306,25998818,21438566,30688255,35629533,39128579,55503729,68525000,89864000,102386000,139823000,175110000,244687000
16,EBITDA ratio,0.2421,0.4203,0.4151,0.4614,0.4876,0.4836,0.4700,0.4979,0.5031,0.5567,0.5929,0.5147,0.5763,0.6000,0.7224,0.7428,0.7199,0.5903,0.8575,0.8187,0.7306,0.7933,0.7487,0.7710,0.6909,0.7458,0.7045,0.7211
17,Operating Income,- -,- -,10081336,11560458,12380976,13559025,14708645,15102928,15623136,16651258,18119295,18205573,19819052,20678839,21461452,22628790,13874088,15597144,20058429,25419649,27890412,40112683,51509000,62387000,73002000,101089000,125128000,190269000
18,Operating Income ratio,- -,- -,0.6188,0.6340,0.6293,0.6183,0.6198,0.6120,0.6050,0.6061,0.6054,0.5765,0.6023,0.5999,0.6019,0.6073,0.3842,0.4294,0.5605,0.5841,0.5207,0.5733,0.5628,0.5353,0.4926,0.5392,0.5034,0.5607
19,Total Other Income Expenses (Gains),- -,- -,653065,- -,- -,68612,522339,1131405,673580,-1484179,216837,12794,- -,1043675,- -,- -,-2962032,-1289769,-5134283,-6474727,-9114723,-350228,-5712000,-3597000,-13688000,-19788000,-32070000,-64992000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14924146,18944922,18775689,39762455,45797000,58790000,59314000,81301000,93058000,125277000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4170,0.4353,0.3506,0.5683,0.5004,0.5044,0.4002,0.4337,0.3744,0.3692
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000,538000,1086000,2401000
23,Net Income,300000,3200000,3733972,5220223,6086776,6806405,7097887,8065653,8772330,10471746,13123020,16047576,13974168,15482274,15017427,17043990,15066795,9551142,18049444,19674575,18487992,39017855,45118000,58112000,58172000,80081000,91381000,122273000
24,Net Income ratio,0.0316,0.2319,0.2292,0.2863,0.3094,0.3104,0.2991,0.3268,0.3397,0.3812,0.4385,0.5082,0.4246,0.4492,0.4212,0.4574,0.4172,0.2630,0.5043,0.4521,0.3452,0.5577,0.4929,0.4986,0.3925,0.4271,0.3676,0.3603
25,EPS,0.08,1.23,1.41,1.41,1.40,1.56,1.61,1.83,1.97,1.99,2.03,2.15,1.84,2.02,1.91,2.20,1.54,0.99,1.63,1.51,1.24,2.17,1.97,2.09,1.80,1.96,1.76,2.36
26,EPS Diluted,0.08,1.23,1.41,1.41,1.40,1.56,1.61,1.83,1.97,1.99,2.03,2.14,1.83,2.01,1.91,2.14,1.54,0.99,1.62,1.50,1.24,2.16,1.97,2.08,1.78,1.93,1.74,2.33
27,Weighted Average Shares Outstanding,3214286,2601626,2649475,3695162,4347697,4363080,4408625,4407461,4452959,5262184,6464542,7463989,7594657,7664492,7676787,7897899,9759014,9637000,11071000,13066000,14883000,18003000,22868736,27625102,32070255,40577346,51838219,51838219
28,Weighted Average Shares Outstanding Diluted,3214286,2601626,2649475,3695162,4347697,4364867,4408625,4407461,4452959,5262184,6473919,7498867,7636157,7702624,8376000,8417000,9759014,9681000,11137000,13158000,14967000,18065000,22959799,27700347,32401122,41223614,52396734,52396734
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917251/000095012405001513/0000950124-05-001513-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000095012406001281/0000950124-06-001281-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000095012407001485/0000950124-07-001485-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000095012408001198/0000950124-08-001198-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420409013783/0001144204-09-013783-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420410013162/0001144204-10-013162-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420411014831/0001144204-11-014831-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420412014138/0001144204-12-014138-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420413014094/0001144204-13-014094-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420414014127/0001144204-14-014127-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420415014605/0001144204-15-014605-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420416087541/0001144204-16-087541-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420417010652/0001144204-17-010652-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420418010250/0001144204-18-010250-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837019000849/0001558370-19-000849-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837020001080/0001558370-20-001080-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837021001212/0001558370-21-001212-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837022001606/0001558370-22-001606-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,294389,1785968,994159,1064241,1119072,1101861,1095610,1004090,587524,5714540,463730,544639,668677,688675,593281,2002663,1270027,14536881,5399458,2711588,33395000,50807000,53955000,15603000,6137000,43252000
32,Short-Term Investments,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,- -,294389,1785968,994159,1064241,1119072,1101861,1095610,1004090,587524,5714540,463730,544639,668677,688675,593281,2002663,1270027,14536881,5399458,2711588,33395000,50807000,53955000,15603000,6137000,43252000
34,Net Receivables,- -,- -,638735,473918,645052,565133,741565,666749,784637,622337,627298,730606,732141,770365,964802,1986836,1330129,801681,2160055,3262768,4507735,7418327,11535000,15477000,21547000,26808000,37808000,53442000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4537752,4845504,- -,- -,- -,2420000,- -,3750000,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1626426,-1214821,-6445145,-1195870,-1315003,- -,- -,- -,- -,- -,- -,- -,- -,- -,7975000,20000,26554000,3017000,7674000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,1,1,1,1,1633479,2675511,1923410,2804344,7967834,22645153,9907193,10129915,44930000,76679000,75522000,72715000,46962000,104368000
38,PP&E,84300000,103600000,115134890,122705214,143898711,153515810,161140220,162851367,173529365,182748862,211564549,214560684,219894954,235823132,252840498,256367699,272109419,271484133,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16150299,21342122,27705499,47479602,76552316,109824000,195158000,280153000,343514000,473592000,672020000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16150299,21342122,27705499,47479602,76552316,109824000,195158000,280153000,343514000,473592000,672020000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,315496,330316,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2422858,2745508,11009538,3505182,340782876,412390891,536194066,705867306,957171000,1222797000,1672514000,2248301000,3365629000,4450518000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255263356,259113207,283118957,291139614,362124998,440096390,583673668,782419622,1066995000,1417955000,1952667000,2591815000,3839221000,5122538000
46,Other Assets,89700000,108900000,121381870,130491504,149647872,158195537,166052090,167511346,178162172,191685713,215702359,223459606,223514598,239347505,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,89700000,108900000,121381870,130491504,149647872,158195537,166052090,167511346,178162172,191685714,215702360,223459607,223514599,239347506,256896835,261788718,285042367,293943958,370092832,462741543,593580861,792549537,1111925000,1494634000,2028189000,2664530000,3886183000,5226906000
48,Accounts Payable,- -,- -,1288775,2119241,2166002,2171483,2128166,1843312,1769033,1978635,1835588,1413103,1906995,2552861,2112035,1529085,1713796,424321,2137447,2995686,2884899,4049458,5543000,11165000,9897000,48987000,71390000,70005000
49,Short-Term Debt,- -,- -,- -,50954026,41299294,- -,- -,- -,- -,- -,- -,- -,- -,- -,32945000,29000000,- -,56443898,- -,- -,- -,- -,- -,- -,- -,- -,- -,160000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10035304,- -,2394163,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,7711225,-42773267,-32565296,8628517,8371834,8356688,8430967,9521365,23264412,23186897,22393005,22547139,-28210972,4967605,5366894,8184503,5045862,6714795,8769863,10720813,15334000,19715000,25810000,25014000,34545000,16881000
53,Total Current Liabilities,- -,- -,9000000,10300000,10900000,10800000,10500000,10200000,10200000,11500000,25100000,24600000,24300000,25100000,6846063,45531994,7080690,67446885,7183309,9710481,11654762,14770271,20877000,30880000,35707000,74001000,105935000,246886000
54,Long-Term Debt,54300000,73600000,77280381,8641016,35158232,80094803,87478002,105727771,115284408,84036378,93008689,68221920,68791247,36800000,100568697,75552802,99907034,62854057,160906147,158397759,221762238,319584368,400922000,519563000,720409000,872299000,1218299000,1527629000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13483054,12793504,12103954,11414404,10724854,- -,9345754,- -,1930783,1467403,1004023,540643,1823000,1837000,4627000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000,705000,705000,705000,705000,705000,705000,705000,705000,705000,475000,475000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10619619,56558984,50141768,15305197,16621998,-27771,15592,-36378,-13491743,-12815424,-12095201,33680596,70077,172038,873613,713735,1402459,245343,2419464,3329716,2088000,30689000,28485000,26668000,35700000,33075000
58,Total Non-Current Liabilities,54300000,73600000,87900000,65200000,85300000,95400000,104100000,105700000,115300000,84000000,93000000,68200000,68800000,82600000,112068628,76429840,110831401,64272792,164944389,160815505,225890725,324159727,405538000,552564000,753996000,898967000,1253999000,1560704000
59,Other Liabilities,110700000,151100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,56400000,77500000,91070819,69874148,90173958,100302975,108917396,110181292,119752441,89676539,112195518,86853912,87217406,101837516,118914691,121961834,117912091,131719677,172127698,170525986,237545487,338929998,426415000,583444000,789703000,972968000,1359934000,1807590000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000
63,Common Stock,- -,- -,265,433,435,436,440,442,445,643,649,772,775,775,786,820,976,985,1144,1488,1754,2064,3000,3000,4000,5000,6000,7000
64,Retained Earnings,-3100000,-4600000,-5619136,-7537911,-9448351,-10673302,-11663446,-11724832,-11135499,-11227636,-10726663,-9717471,-10858938,-10647624,-11257541,-10632798,-14702252,-20918494,-21166509,-23879151,-32584612,-28262441,-28558000,-28763000,-42945000,-57094000,-91343000,-147366000
65,Other Comprehensive Income/Loss,- -,- -,-17339353,-20043235,-23022291,-26342296,-29907682,-33634461,-37456301,-38475767,-41727987,-43771581,-48352753,-53250564,-58502384,-70806,-764735,-606568,-1294267,471717,-2059998,-3130376,-536000,1375000,1424000,-6492000,-36266000,-5503000
66,Other Total Stockholders Equity,36400000,36000000,53269275,88198069,91944121,94907724,98705382,102688905,101214079,145890196,150085988,184115340,189629516,195511223,202394542,147466101,179705353,181069633,217768918,312974162,388262847,482514380,712069000,936046000,1277592000,1752912000,2652090000,3395549000
67,Total Stockholders Equity,33300000,31400000,30311051,60617356,59473914,57892562,57134694,57330054,52622724,96187436,97631987,130627060,130418600,131613810,132635403,136763317,164239342,159545556,195309286,289568216,353619991,451123627,682978000,908661000,1236075000,1689331000,2524487000,3417687000
68,Total Liabilities And Stockholders Equity,89700000,108900000,121381870,130491504,149647872,158195537,166052090,167511346,172375165,185863975,209827505,217480972,217636006,233451326,251550094,258725151,282151433,291265233,367436984,460094202,591165478,790053625,1109393000,1492105000,2025778000,2662299000,3884421000,5225277000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,5787007,5821739,5874855,5978635,5878593,5896180,5346741,3063567,2890934,2678725,2655848,2647341,2415383,2495912,2532000,2529000,2411000,2231000,1762000,1629000
70,Total Liabilities & Equity,89700000,108900000,121381870,130491504,149647872,158195537,166052090,167511346,178162172,191685714,215702360,223459607,223514599,239347506,256896835,261788718,285042367,293943958,370092832,462741543,593580861,792549537,1111925000,1494634000,2028189000,2664530000,3886183000,5226906000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917251/000095012405001513/0000950124-05-001513-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000095012406001281/0000950124-06-001281-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000095012407001485/0000950124-07-001485-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000095012408001198/0000950124-08-001198-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420409013783/0001144204-09-013783-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420410013162/0001144204-10-013162-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420411014831/0001144204-11-014831-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420412014138/0001144204-12-014138-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420413014094/0001144204-13-014094-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420414014127/0001144204-14-014127-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420415014605/0001144204-15-014605-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420416087541/0001144204-16-087541-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420417010652/0001144204-17-010652-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000114420418010250/0001144204-18-010250-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837019000849/0001558370-19-000849-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837020001080/0001558370-20-001080-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837021001212/0001558370-21-001212-index.htm,https://www.sec.gov/Archives/edgar/data/917251/000155837022001606/0001558370-22-001606-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,3200000,3733972,5220223,6086776,6806405,7097887,8065653,8772330,10471746,13123020,16047576,13974168,15482274,15017427,17043990,15066795,9551142,18049444,19674575,18487992,39017855,45118000,58112000,58172000,80081000,91381000,122273000
74,Depreciation and Amortization,2000000,2600000,3028710,3192444,3505293,3798900,4055772,4221436,4219340,4822577,4623163,207040,4989371,5199590,5557691,5997562,6220079,7160312,7504811,9479958,12053587,16485874,23407000,31752000,43698000,59204000,82643000,120013000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1130474,1175757,1166656,1364280,1657209,1812532,1986835,1992241,2257000,2393000,2948000,3980000,4702000,4798000
77,Change in Working Capital,-2600000,- -,-9000000,-1300000,-600000,100000,300000,300000,- -,-1299999,-13600000,500000,300000,-800000,19887415,-37643899,37699203,-59485261,65427066,12150147,-14682241,-2892787,28693356,21746000,-5984000,-41101000,-57687000,-8708000
78,Accounts Receivable,-700000,-100000,200000,200000,200000,100000,-483212,45503,-309846,-174183,-436407,317273,159061,-71958,-194437,-1022034,656707,528448,-1358374,-1102713,-1244967,-2910592,-4117000,-4216000,-6855000,-6071000,-11983000,-16304000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-600000,200000,100000,-200000,100000,200000,130506,130228,8549,100353,-129425,-853971,-882088,-257187,-221317,267275,-101367,1951420,-1358147,838515,-167263,1043064,1984000,5265000,-1265000,- -,- -,- -
81,Other Working Capital,- -,- -,-9000000,-10300000,-10900000,-10800000,-10500000,-10200000,-10200000,-11499999,-25099999,-24599999,-24299999,-25099999,-5212584,-42856483,-5157280,-64642541,784525,12934672,-1747569,-4640356,24053000,45799000,39815000,-1286000,-58973000,- -
82,Other Non-Cash Items,1200000,800000,9948106,2123930,2165091,1354074,149002,458940,668601,1658967,14152855,2886219,1034543,1755551,-19662635,37006232,-34041550,66906476,-71432809,-13527473,17248881,-9922931,-37740356,-31800000,-5587000,24543000,21917000,7939000
83,Cash Provided by Operating Activities,900000,6600000,7710788,9236597,11157160,12059379,11602661,13046029,13660271,15653291,18299038,19640835,20298082,21637415,21930372,23579642,26111183,25496949,21205721,29589739,35095054,44680252,61735000,82203000,93247000,126707000,142956000,246315000
84,CAPEX,- -,-19900000,-13577181,-8677691,-13688468,-11621507,-10079123,-4839564,-13910078,-20116584,-21711356,-15121825,-9305661,-19756255,-21418961,-8748856,-38821775,-37113613,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,694320,694319,673580,438489,216837,- -,- -,-19756255,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-300000,- -,-1761901,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,144688,153061,655665,702226,- -,280000,- -,3887338,6356407,9576974,- -,21504930,- -,- -,6001775,-656049,-69256310,-85260499,-147697836,-202775080,-297554000,-327074000,-568117000,-667519000,-1299842000,-1386615000
89,Cash Used for Investing Activites,-300000,-19600000,-15194394,-8524630,-13032803,-10919281,-9384803,-3865245,-13236498,-15790757,-15138112,-5544851,-9305661,-18007580,-21418961,-8748856,-32820000,-29252352,-69256310,-85260499,-147697836,-202775080,-297554000,-327074000,-568117000,-667519000,-1299842000,-1386615000
90,Debt Repayment,-41000000,-300000,-306526,-43100000,-450000,-8752858,-1316801,-17310433,-2104010,-38320636,-2158689,-23947255,-2430673,-2531079,-6791471,-7373895,-4645768,-95409999,-117299492,-143698312,-155889680,-163177870,-287817000,-206151000,-386337000,-42947000,-3683000,-240799000
91,Common Stock Issued,45600000,- -,- -,31888196,- -,- -,- -,- -,- -,43224488,527992,31583289,95550,- -,- -,- -,31072752,- -,35042235,93393056,73302116,92259603,228011000,222695000,339744000,472746000,896118000,744847000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-56000,- -,- -,- -,-169680,-126760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-712000,-1111000,-1145000,-1406000,-1641000,-1813000
93,Dividends Paid,-2600000,-5900000,-5900000,-7500000,-9200000,-9300000,-9313647,-9356153,-9407759,-10776024,-13873516,-15778376,-16413226,-16497828,-16918952,-17129368,-19053813,-17398132,-17663808,-20859476,-25402637,-32992155,-42058000,-55146000,-67638000,-90257000,-116112000,-195825000
94,Other Financing Activites,-900000,18800000,12700849,19491416,10733834,16982842,8523421,17468591,11081745,5918118,12096401,-699866,2505118,15479981,23323050,9692475,-759748,117972916,147239018,140102346,211455560,259317380,369078000,301996000,585439000,190858000,348002000,871185000
95,Cash Used/Provided by Financing Activities,1100000,12600000,6494323,779612,1083834,-1070016,-2163027,-9197995,-430024,45946,-3577492,-8968968,-16243231,-3548926,-387373,-14810788,6613423,5164785,47317953,68937614,103465359,155406958,266502000,262283000,470063000,528994000,1122684000,1177595000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1100000,-400000,-989283,1491579,-791809,70082,54831,-17211,-6251,-91520,-416566,5127016,-5250810,80909,124038,19998,-95394,1409382,-732636,13266854,-9137423,-2687870,30683000,17412000,-4807000,-11818000,-34202000,37295000
98,Cash at the End of Period,1700000,1300000,294389,1785968,994159,1064241,1119072,1101861,1095610,1004090,587524,5714540,463730,544639,668677,688675,593281,2002663,1270027,14536881,5399458,2711588,33395000,50807000,53975000,42157000,7955000,45250000
99,Cash at the Beginning of Period,- -,1700000,1283672,294389,1785968,994159,1064241,1119072,1101861,1095610,1004090,587524,5714540,463730,544639,668677,688675,593281,2002663,1270027,14536881,5399458,2712000,33395000,58782000,53975000,42157000,7955000
100,Free Cash Flow,900000,-13300000,-5866393,558906,-2531308,437872,1523538,8206465,-249807,-4463293,-3412318,4519010,10992421,1881160,511411,14830786,-12710592,-11616664,21205721,29589739,35095054,44680252,61735000,82203000,93247000,126707000,142956000,246315000
