,https://roic.ai/company/AMGN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,3100000,4200000,6100000,600000,41400000,179500000,596700000,651800000,662800000,878600000,1062600000,978500000,1368200000,1743000000,1886100000,1952200000,-237200000,3859600000,4129000000,5709000000,4983000000,5163000000,6323000000,6831000000,6938000000,5820000000,7150000000,7573000000,8748000000,11181000000,12528000000,12856000000,12883000000,12633000000,12996000000,11296000000
16,EBITDA ratio,- -,0.1469,0.1409,0.1377,0.0085,0.2174,0.2640,0.5523,0.4811,0.4091,0.4615,0.4834,0.4171,0.5178,0.5440,0.5469,0.4861,-0.0429,0.4619,0.3914,0.4593,0.3492,0.3495,0.4214,0.4665,0.4609,0.3735,0.4141,0.4055,0.4360,0.5162,0.5449,0.5627,0.5425,0.5407,0.5112,0.4348
17,Operating Income,- -,-900000,-1400000,-5600000,-4800000,29100000,123400000,498100000,551200000,698500000,760800000,916000000,930300000,1118400000,1325000000,1368100000,1531200000,6307500000,3091200000,3348000000,4848000000,3840000000,3980000000,5214000000,5506000000,5545000000,4312000000,5577000000,5867000000,6191000000,8470000000,9794000000,9973000000,10263000000,9674000000,9139000000,7639000000
18,Operating Income ratio,- -,-0.0427,-0.0470,-0.1264,-0.0684,0.1528,0.1815,0.4611,0.4068,0.4312,0.3996,0.4167,0.3966,0.4233,0.4135,0.3967,0.3813,1.1420,0.3699,0.3173,0.3900,0.2691,0.2694,0.3475,0.3760,0.3684,0.2767,0.3230,0.3141,0.3086,0.3910,0.4260,0.4365,0.4322,0.4141,0.3595,0.2940
19,Total Other Income Expenses (Gains),- -,1500000,3000000,7600000,-2600000,300000,34600000,65000000,41200000,-110200000,33600000,46300000,-68900000,106000000,241200000,306200000,155100000,-6992000000,81900000,47000000,20000000,180000000,-19000000,36000000,-302000000,-228000000,-162000000,-568000000,-602000000,-606000000,-492000000,-631000000,-376000000,-718000000,-536000000,-1006000000,-938000000
20,Income Before Tax,- -,600000,1600000,2000000,-7400000,29400000,158000000,563100000,592400000,588300000,794400000,962300000,861400000,1224400000,1566200000,1674300000,1686300000,-684500000,3173100000,3395000000,4868000000,4020000000,3961000000,5250000000,5204000000,5317000000,4150000000,5009000000,5265000000,5585000000,7978000000,9163000000,9597000000,9545000000,9138000000,8133000000,6701000000
21,Income Before Tax Ratio,- -,0.0284,0.0537,0.0451,-0.1054,0.1544,0.2324,0.5212,0.4372,0.3631,0.4173,0.4378,0.3672,0.4634,0.4888,0.4855,0.4199,-0.1239,0.3797,0.3218,0.3916,0.2817,0.2682,0.3499,0.3554,0.3532,0.2663,0.2901,0.2819,0.2784,0.3683,0.3985,0.4200,0.4019,0.3911,0.3199,0.2579
22,Income Tax expense (Gain),- -,100000,800000,300000,800000,10300000,60100000,205500000,217800000,268600000,256700000,282500000,217100000,361200000,469800000,535800000,566600000,707400000,913600000,1032000000,1194000000,1070000000,795000000,1054000000,599000000,690000000,467000000,664000000,184000000,427000000,1039000000,1441000000,7618000000,1151000000,1296000000,869000000,808000000
23,Net Income,- -,500000,800000,1700000,-8200000,19100000,97900000,357600000,383300000,319700000,537700000,679800000,644300000,863200000,1096400000,1138500000,1119700000,-1391900000,2259500000,2363000000,3674000000,2950000000,3166000000,4196000000,4605000000,4627000000,3683000000,4345000000,5081000000,5158000000,6939000000,7722000000,1979000000,8394000000,7842000000,7264000000,5893000000
24,Net Income ratio,- -,0.0237,0.0268,0.0384,-0.1168,0.1003,0.1440,0.3310,0.2829,0.1973,0.2824,0.3093,0.2747,0.3267,0.3422,0.3302,0.2788,-0.2520,0.2704,0.2240,0.2956,0.2068,0.2143,0.2797,0.3145,0.3074,0.2364,0.2517,0.2721,0.2571,0.3203,0.3359,0.0866,0.3535,0.3357,0.2857,0.2268
25,EPS,- -,0.01,0.01,0.01,-0.01,0.03,0.09,0.31,0.35,0.29,0.48,0.60,0.61,0.84,1.07,1.11,1.07,-1.21,1.75,1.86,2.97,2.51,2.83,3.92,4.53,4.82,4.07,5.61,6.75,6.80,9.15,10.32,2.71,12.70,12.96,12.40,10.06
26,EPS Diluted,- -,0.01,0.01,0.01,-0.01,0.03,0.09,0.31,0.35,0.28,0.47,0.60,0.59,0.81,1.02,1.05,1.03,-1.21,1.69,1.81,2.93,2.48,2.82,3.90,4.51,4.79,4.04,5.52,6.64,6.70,9.06,10.24,2.69,12.62,12.88,12.31,9.99
27,Weighted Average Shares Outstanding,- -,940856000,940856000,940856000,820000000,636666667,1087777778,1153548387,1095142857,1118320000,1122800000,1122800000,1056400000,1020200000,1021700000,1029600000,1045500000,1153500000,1288400000,1271000000,1236000000,1176000000,1117000000,1070000000,1016000000,960000000,905000000,775000000,753000000,759000000,758000000,748000000,731000000,661000000,605000000,586000000,586000000
28,Weighted Average Shares Outstanding Diluted,- -,940856000,940856000,940856000,820000000,636666667,1087777778,1153548387,1095142857,1128792000,1141200000,1123600000,1098400000,1057400000,1078300000,1084700000,1084400000,1153500000,1346000000,1320000000,1258000000,1190000000,1123000000,1075000000,1021000000,965000000,912000000,787000000,765000000,770000000,766000000,754000000,735000000,665000000,609000000,590000000,590000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318154/000031815495000008/0000318154-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815496000002/0000318154-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815497000005/0000318154-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815498000003/0000318154-98-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/318154/000089843001000873/0000898430-01-000873-index.html,https://www.sec.gov/Archives/edgar/data/318154/000089843002000744/0000898430-02-000744-index.html,https://www.sec.gov/Archives/edgar/data/318154/000089843003001854/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000095014804000549/v96430e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000095012905002159/v06403e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000110465906015851/a06-5805_110k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312507042586/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312508040431/d10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312509041091/0001193125-09-041091-index.html,https://www.sec.gov/Archives/edgar/data/318154/000119312510044311/0001193125-10-044311-index.html,https://www.sec.gov/Archives/edgar/data/318154/000095012311018800/v57113e10vk.htm,https://www.sec.gov/Archives/edgar/data/318154/000119312512086670/0001193125-12-086670-index.html,https://www.sec.gov/Archives/edgar/data/318154/000144530513000364/0001445305-13-000364-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815414000004/amgn-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815415000005/amgn-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815416000031/0000318154-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815417000004/0000318154-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815418000004/0000318154-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815419000008/0000318154-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815420000017/0000318154-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/318154/000031815421000010/0000318154-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/318154/000031815422000010/0000318154-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,66600000,57600000,105600000,20700000,39200000,- -,92000000,128500000,211300000,66700000,169300000,239100000,201100000,130900000,226500000,689100000,1851700000,836600000,1526000000,1840000000,1283000000,2024000000,1774000000,2884000000,3287000000,6946000000,3257000000,3805000000,3731000000,4144000000,3241000000,3800000000,6945000000,6037000000,6266000000,7989000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1202100000,1801600000,1973100000,2812200000,4286300000,4282000000,3415000000,4994000000,5127000000,7778000000,10558000000,14135000000,13695000000,20804000000,15596000000,23295000000,27238000000,34844000000,37878000000,22359000000,2874000000,4381000000,48000000
33,Cash and Short-Term Investments,- -,66600000,57600000,105600000,20700000,39200000,- -,92000000,128500000,211300000,66700000,169300000,239100000,201100000,1333000000,2028100000,2662200000,4663900000,5122900000,5808000000,5255000000,6277000000,7151000000,9552000000,13442000000,17422000000,20641000000,24061000000,19401000000,27026000000,31382000000,38085000000,41678000000,29304000000,8911000000,10647000000,8037000000
34,Net Receivables,- -,2600000,6800000,11900000,15000000,61600000,- -,156000000,164300000,194700000,199300000,225400000,269000000,319900000,412200000,389200000,497200000,752400000,1007900000,1461000000,1769000000,2124000000,2101000000,2073000000,2109000000,2335000000,2896000000,2518000000,2697000000,2546000000,2995000000,3165000000,3237000000,3580000000,4057000000,4525000000,4895000000
35,Inventory,- -,- -,- -,1000000,15000000,31200000,- -,56800000,74700000,98000000,88800000,97400000,109200000,110800000,184300000,305200000,355600000,544900000,712600000,888000000,1258000000,1903000000,2091000000,2075000000,2220000000,2022000000,2484000000,2744000000,3019000000,2647000000,2435000000,2745000000,2834000000,2940000000,3584000000,3893000000,4086000000
36,Other Current Assets,- -,600000,700000,500000,47100000,50200000,- -,568300000,687000000,611600000,1099300000,1010500000,926200000,1231500000,135800000,214600000,343600000,442300000,558800000,1013000000,953000000,1408000000,1698000000,1521000000,1161000000,1350000000,1572000000,1886000000,2250000000,2494000000,1706000000,2015000000,1727000000,1794000000,1888000000,2079000000,2367000000
37,Total Current Assets,- -,69800000,65100000,119000000,97800000,182200000,- -,873100000,1054500000,1115600000,1454100000,1502600000,1543500000,1863300000,2065300000,2937100000,3858600000,6403500000,7402200000,9170000000,9235000000,11712000000,13041000000,15221000000,18932000000,23129000000,27593000000,31209000000,27367000000,34713000000,38518000000,46010000000,49476000000,37618000000,18440000000,21144000000,19385000000
38,PP&E,- -,14100000,23300000,54800000,90000000,118500000,- -,426000000,586900000,665300000,743800000,910500000,1186200000,1450200000,1553600000,1781500000,1946100000,2813000000,3799000000,4712000000,5038000000,5921000000,5941000000,5879000000,5738000000,5522000000,5420000000,5326000000,5349000000,5223000000,4907000000,4961000000,4989000000,4958000000,4928000000,4889000000,5184000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11302000000,11240000000,11339000000,11335000000,11334000000,11750000000,12662000000,14968000000,14788000000,14787000000,14751000000,14761000000,14699000000,14703000000,14689000000,14890000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14673000000,14171400000,14558000000,14237000000,3747000000,3332000000,2988000000,2567000000,7617000000,2584000000,3968000000,13262000000,12693000000,11641000000,10279000000,8609000000,7443000000,19413000000,16587000000,15182000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14673000000,14171400000,14558000000,14237000000,15049000000,14572000000,14327000000,13902000000,18951000000,14334000000,16630000000,28230000000,27481000000,26428000000,25030000000,23370000000,22142000000,34116000000,31276000000,30072000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3412000000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,9800000,8400000,19000000,19300000,7400000,- -,75200000,124100000,213200000,234900000,352500000,380500000,358700000,458700000,681000000,638400000,566800000,803900000,781000000,787000000,1106000000,1085000000,1016000000,1057000000,-4116000000,1524000000,1133000000,1767000000,1592000000,1723000000,1625000000,2119000000,1698000000,2223000000,5639000000,6524000000
45,Total Non-Current Assets,- -,23900000,31700000,73800000,109300000,125900000,- -,501200000,711000000,878500000,978700000,1263000000,1566700000,1808900000,2012300000,2462500000,2584500000,18052800000,18774300000,20051000000,20062000000,22076000000,21598000000,21222000000,20697000000,20357000000,21278000000,23089000000,38758000000,34296000000,33058000000,31616000000,30478000000,28798000000,41267000000,41804000000,41780000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,93700000,96800000,192800000,207100000,308100000,- -,1374300000,1765500000,1994100000,2432800000,2765600000,3110200000,3672200000,4077600000,5399600000,6443100000,24456300000,26176500000,29221000000,29297000000,33788000000,34639000000,36443000000,39629000000,43486000000,48871000000,54298000000,66125000000,69009000000,71576000000,77626000000,79954000000,66416000000,59707000000,62948000000,61165000000
48,Accounts Payable,- -,- -,- -,- -,8500000,12000000,- -,38000000,23100000,30500000,54400000,75000000,103900000,121600000,83400000,143200000,136700000,254600000,327200000,507000000,596000000,555000000,378000000,504000000,574000000,716000000,642000000,905000000,787000000,1212000000,965000000,917000000,1352000000,1207000000,1371000000,1421000000,1366000000
49,Short-Term Debt,- -,500000,500000,2000000,2100000,1900000,- -,2000000,109800000,99700000,69700000,118200000,30000000,105700000,99500000,99700000,99900000,122900000,- -,1173000000,- -,1878000000,2000000000,1000000000,- -,2488000000,84000000,2495000000,2505000000,500000000,2250000000,4403000000,1152000000,4419000000,2953000000,91000000,87000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828000000,701000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4200000,5300000,10800000,4500000,41300000,- -,270700000,279400000,406200000,459700000,449700000,608000000,659700000,648200000,619200000,766300000,1151700000,1919100000,2477000000,2999000000,4589000000,3801000000,3382000000,3299000000,3366000000,5028000000,4791000000,4655000000,5296000000,5452000000,5884000000,6516000000,7862000000,8511000000,10141000000,10731000000
53,Total Current Liabilities,- -,4700000,5800000,12800000,15100000,55200000,- -,310700000,412300000,536400000,583800000,642900000,741900000,887000000,831100000,862100000,1002900000,1529200000,2246300000,4157000000,3595000000,7022000000,6179000000,4886000000,3873000000,6570000000,5754000000,8191000000,7947000000,7008000000,8667000000,11204000000,9020000000,13488000000,12835000000,11653000000,12184000000
54,Long-Term Debt,- -,8400000,7100000,16500000,30100000,64700000,- -,129900000,181200000,183400000,177200000,59000000,229000000,223000000,223000000,223000000,223000000,3047700000,3079500000,3937000000,3957000000,7134000000,9177000000,9176000000,10601000000,10874000000,21344000000,24034000000,29623000000,30215000000,29306000000,30193000000,34190000000,29510000000,26950000000,32895000000,33222000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1593400000,1461600000,1294000000,1163000000,367000000,480000000,- -,- -,- -,- -,- -,- -,3461000000,2239000000,2436000000,1166000000,864000000,606000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,100000,- -,- -,- -,- -,- -,157400000,- -,- -,- -,- -,- -,- -,- -,128000000,131000000,301000000,934000000,1995000000,2488000000,2098000000,2744000000,3013000000,6459000000,2547000000,3281000000,3918000000,10337000000,10054000000,9643000000,8991000000,9059000000
58,Total Non-Current Liabilities,- -,8400000,7000000,16500000,30100000,64800000,- -,129900000,181200000,183400000,177200000,216400000,229000000,223000000,223000000,223000000,223000000,4641100000,4541100000,5359000000,5251000000,7802000000,10591000000,11171000000,13089000000,12972000000,24088000000,27047000000,36082000000,36223000000,34826000000,36547000000,45693000000,40428000000,37199000000,41886000000,42281000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,13100000,12800000,29300000,45200000,120000000,- -,440600000,593500000,719800000,761000000,859300000,970900000,1110000000,1054100000,1085100000,1225900000,6170300000,6787400000,9516000000,8846000000,14824000000,16770000000,16057000000,16962000000,19542000000,29842000000,35238000000,44029000000,43231000000,43493000000,47751000000,54713000000,53916000000,50034000000,53539000000,54465000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2072300000,2947300000,3474100000,19344300000,19995300000,22078000000,23561000000,24155000000,24976000000,25527000000,26944000000,27299000000,27777000000,29337000000,29891000000,30410000000,30649000000,30784000000,30992000000,31246000000,31531000000,31802000000,32096000000
64,Retained Earnings,- -,-20900000,-19800000,-18100000,-26200000,-7100000,- -,359900000,535800000,555000000,807000000,879400000,943200000,894300000,966000000,1304600000,1686800000,-1125500000,-667000000,-2376000000,-3132000000,-5203000000,-7160000000,-5258000000,-4322000000,-3508000000,-8919000000,-10423000000,-7634000000,-4624000000,-2086000000,-438000000,-5072000000,-17977000000,-21330000000,-21408000000,-24600000000
65,Other Comprehensive Income/Loss,- -,-5300000,-8000000,-11900000,-19900000,-35300000,- -,-96200000,-143700000,-208100000,-289600000,-390700000,-483000000,-601700000,-761600000,-937700000,-1163800000,67200000,60800000,3000000,22000000,12000000,53000000,117000000,45000000,153000000,171000000,146000000,-161000000,-8000000,-480000000,-471000000,-679000000,-769000000,-528000000,-985000000,-796000000
66,Other Total Stockholders Equity,- -,106800000,111800000,193500000,208000000,230500000,- -,670000000,779900000,927400000,1154400000,1417600000,1679100000,2269600000,746800000,1000300000,1220100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,80600000,84000000,163500000,161900000,188100000,- -,933700000,1172000000,1274300000,1671800000,1906300000,2139300000,2562200000,3023500000,4314500000,5217200000,18286000000,19389100000,19705000000,20451000000,18964000000,17869000000,20386000000,22667000000,23944000000,19029000000,19060000000,22096000000,25778000000,28083000000,29875000000,25241000000,12500000000,9673000000,9409000000,6700000000
68,Total Liabilities And Stockholders Equity,- -,93700000,96800000,192800000,207100000,308100000,- -,1374300000,1765500000,1994100000,2432800000,2765600000,3110200000,3672200000,4077600000,5399600000,6443100000,24456300000,26176500000,29221000000,29297000000,33788000000,34639000000,36443000000,39629000000,43486000000,48871000000,54298000000,66125000000,69009000000,71576000000,77626000000,79954000000,66416000000,59707000000,62948000000,61165000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,93700000,96800000,192800000,207100000,308100000,- -,1374300000,1765500000,1994100000,2432800000,2765600000,3110200000,3672200000,4077600000,5399600000,6443100000,24456300000,26176500000,29221000000,29297000000,33788000000,34639000000,36443000000,39629000000,43486000000,48871000000,54298000000,66125000000,69009000000,71576000000,77626000000,79954000000,66416000000,59707000000,62948000000,61165000000
