,https://roic.ai/company/AGCO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,300400000,547800000,1191800000,1855600000,2090500000,2887100000,2770900000,2355600000,2270300000,2431800000,2776000000,3284200000,4949700000,5175000000,5365100000,6435600000,7859400000,6397900000,6568000000,8163600000,9246600000,9886200000,9030800000,7083900000,7110200000,7892000000,8844600000,8501900000,8495800000,10121100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22400000,30700000,28800000,20100000,20800000,13500000,18700000,13300000,9400000,8100000,8900000,9900000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19100000,65700000,64000000,59000000,77700000,78800000,71900000,64100000,65400000,54500000,61900000,28800000,24900000,6700000
14,Depreciation and Amortization,1700000,2900000,19300000,35500000,53500000,72000000,79700000,76800000,69700000,70400000,52300000,65900000,113300000,105900000,121900000,138200000,146500000,147600000,154300000,173500000,229900000,259400000,280400000,260100000,274600000,279800000,289900000,272000000,272000000,281800000
15,EBITDA,7700000,37000000,124200000,230500000,239400000,328200000,167800000,55100000,65600000,94900000,67700000,181600000,358300000,288600000,130500000,495900000,730200000,405500000,543200000,840400000,967600000,1193900000,950400000,663100000,592300000,654300000,748200000,606800000,911700000,1293900000
16,EBITDA ratio,0.0245,0.0621,0.0914,0.1085,0.1033,0.1018,0.0570,0.0228,0.0281,0.0373,0.0232,0.0520,0.0679,0.0530,0.0240,0.0726,0.0867,0.0612,0.0788,0.0958,0.0971,0.1107,0.0977,0.0888,0.0799,0.0788,0.0800,0.0671,0.0996,0.1162
17,Operating Income,14100000,47900000,167200000,269400000,227000000,337300000,170500000,57700000,65800000,96700000,104000000,183500000,323500000,274700000,68900000,394800000,565000000,219300000,324200000,610300000,693200000,900700000,646500000,361100000,288400000,403300000,489000000,348100000,599700000,1001400000
18,Operating Income ratio,0.0448,0.0804,0.1230,0.1268,0.0980,0.1046,0.0580,0.0239,0.0282,0.0380,0.0356,0.0525,0.0613,0.0504,0.0127,0.0578,0.0671,0.0331,0.0470,0.0696,0.0696,0.0835,0.0665,0.0484,0.0389,0.0486,0.0523,0.0385,0.0655,0.0899
19,Total Other Income Expenses (Gains),4300000,4100000,-62300000,-74400000,-55400000,-91600000,-96200000,-89900000,-79700000,-82000000,-78200000,-85200000,-99100000,-114600000,-88100000,-67500000,-39200000,-65500000,-49300000,-49300000,-92400000,-98100000,-107500000,-81700000,-83500000,-119500000,-128700000,-87000000,-37700000,-57100000
20,Income Before Tax,- -,- -,104900000,195000000,171600000,245700000,74300000,-32200000,-13900000,14700000,25800000,98300000,224400000,160100000,-19200000,327300000,525800000,153800000,274900000,561000000,600800000,802600000,539000000,279400000,204900000,283800000,360300000,261100000,562000000,944300000
21,Income Before Tax Ratio,- -,- -,0.0772,0.0918,0.0740,0.0762,0.0253,-0.0133,-0.0060,0.0058,0.0088,0.0281,0.0426,0.0294,-0.0035,0.0479,0.0624,0.0232,0.0399,0.0639,0.0603,0.0744,0.0554,0.0374,0.0276,0.0342,0.0385,0.0289,0.0614,0.0848
22,Income Tax expense (Gain),- -,- -,-10600000,65900000,60000000,87500000,27500000,-10200000,-7600000,1900000,99800000,41300000,86200000,151100000,73500000,111400000,164600000,56500000,104400000,24600000,137900000,258500000,187700000,72500000,92200000,133600000,110900000,180800000,187700000,108400000
23,Net Income,6000000,34100000,115500000,129100000,125900000,168700000,60600000,-11500000,3500000,22600000,-84400000,74400000,158800000,31600000,-64900000,246300000,400000000,135700000,220500000,583300000,522100000,597200000,410400000,266400000,160100000,186400000,285500000,125200000,427100000,897000000
24,Net Income ratio,0.0191,0.0572,0.0850,0.0608,0.0543,0.0523,0.0206,-0.0048,0.0015,0.0089,-0.0289,0.0213,0.0301,0.0058,-0.0119,0.0361,0.0475,0.0205,0.0320,0.0665,0.0524,0.0554,0.0422,0.0357,0.0216,0.0224,0.0305,0.0138,0.0467,0.0805
25,EPS,0.27,1.11,3.07,2.76,2.28,2.79,1.01,-0.20,0.06,0.33,-1.14,0.99,1.84,0.35,-0.71,2.69,4.36,1.47,2.38,6.10,5.38,6.14,4.39,3.06,1.97,2.34,3.62,1.64,5.69,11.96
26,EPS Diluted,0.27,0.93,2.35,2.30,2.20,2.71,0.99,-0.20,0.06,0.33,-1.14,0.98,1.71,0.35,-0.71,2.55,4.09,1.44,2.29,5.95,5.30,6.01,4.36,3.06,1.96,2.32,3.58,1.63,5.65,11.87
27,Weighted Average Shares Outstanding,22222222,27387387,35863192,46050725,55186000,60400000,59700000,58700000,59200000,68300000,74200000,75200000,86200000,90400000,90800000,91500000,91700000,92200000,92800000,95600000,97100000,97300000,93400000,87000000,81400000,79500000,78800000,76200000,75000000,75000000
28,Weighted Average Shares Outstanding Diluted,22222222,32688172,46851064,55260870,57441000,62100000,61200000,58700000,59700000,68500000,74200000,75600000,95600000,90700000,90800000,96600000,97700000,94100000,96400000,98100000,98600000,99400000,94200000,87100000,81700000,80200000,79700000,77000000,75600000,75600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880266/000095014403003218/0000950144-03-003218-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014404002500/0000950144-04-002500-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014405002600/0000950144-05-002600-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014406002147/0000950144-06-002147-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014407001772/0000950144-07-001772-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014408001513/0000950144-08-001513-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014409001706/0000950144-09-001706-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095012310017928/0000950123-10-017928-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095012311018407/0000950123-11-018407-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026612000004/0000880266-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026613000003/0000880266-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026614000004/0000880266-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026615000009/0000880266-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026616000044/0000880266-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026617000005/0000880266-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026618000005/0000880266-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000009/0000880266-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000006/0000880266-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026621000009/0000880266-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026622000006/0000880266-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,200000,25800000,27900000,41700000,31200000,15900000,19600000,13300000,28900000,34300000,147000000,325600000,220600000,401100000,582400000,512200000,652700000,719900000,724400000,781300000,1047200000,363700000,426700000,429700000,367700000,326100000,429600000,1111700000,889100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,442000000,- -
33,Cash and Short-Term Investments,1100000,200000,25800000,27900000,41700000,31200000,15900000,19600000,13300000,28900000,34300000,147000000,325600000,220600000,401100000,582400000,512200000,652700000,719900000,724400000,781300000,1047200000,363700000,426700000,429700000,367700000,326100000,429600000,1553700000,889100000
34,Net Receivables,184000000,318700000,781600000,975200000,869500000,997200000,1016300000,758200000,602900000,471900000,497400000,553600000,823200000,655700000,677100000,766400000,815600000,731700000,908500000,994200000,924600000,940600000,963800000,836800000,890400000,1019400000,880300000,800500000,856000000,991500000
35,Inventory,96900000,173500000,314500000,361000000,473800000,622700000,671600000,561100000,531100000,558800000,708600000,803600000,1069400000,1062500000,1064900000,1134200000,1389900000,1187300000,1233500000,1559600000,1703100000,2016100000,1750700000,1423400000,1514800000,1872900000,1908700000,2078700000,1974400000,2593700000
36,Other Current Assets,10500000,10400000,79400000,60400000,81500000,63700000,86700000,77200000,93000000,122900000,171900000,180300000,186300000,147400000,165900000,238700000,287500000,217200000,259100000,384600000,545700000,513200000,449700000,211400000,330800000,367700000,422300000,420300000,-15700000,539800000
37,Total Current Assets,292500000,502800000,1201300000,1424500000,1466500000,1714800000,1790500000,1416100000,1240300000,1182500000,1412200000,1684500000,2404500000,2086200000,2309000000,2721700000,3005200000,2788900000,3121000000,3662800000,3954700000,4517100000,3527900000,2898300000,3165700000,3627700000,3537400000,3729100000,4368400000,5014100000
38,PP&E,11500000,19400000,119200000,146500000,292400000,403700000,417600000,310800000,316200000,316900000,343700000,434200000,593300000,561400000,643900000,753000000,811100000,943000000,924800000,1222600000,1406100000,1602300000,1530400000,1347100000,1361300000,1485300000,1373100000,1603600000,1673600000,1618900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592100000,665600000,587000000,634000000,632700000,1194500000,1192400000,1178700000,1192800000,1114500000,1376400000,1541400000,1495500000,1298300000,1306500000,1280800000
40,Intangible Assets,- -,7500000,120900000,104200000,205600000,339000000,370500000,312600000,286400000,413400000,394600000,417800000,968800000,908200000,207900000,205700000,176900000,166800000,171600000,666500000,607100000,565600000,553800000,507700000,607300000,649000000,573100000,501700000,455600000,392200000
41,Intangible Assets,- -,7500000,120900000,104200000,205600000,339000000,370500000,312600000,286400000,413400000,394600000,417800000,968800000,908200000,800000000,871300000,763900000,800800000,804300000,1861000000,1799500000,1744300000,1746600000,1622200000,1983700000,2190400000,2068600000,1800000000,1762100000,1673000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275100000,347500000,398000000,346300000,390300000,416100000,424100000,392900000,414900000,409000000,400000000,380200000,442700000,413500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147500000,146100000,84100000,105500000,89100000,29900000,70300000,58000000,37600000,40000000,24400000,25800000,100700000,99700000,112200000,104900000,93800000,77600000,169300000
44,Other Non-Current Assets,16700000,48600000,381900000,487700000,152000000,163400000,171800000,233700000,261300000,260500000,198500000,155400000,184600000,221300000,256100000,352500000,69600000,111700000,130800000,126900000,131200000,134600000,141100000,140100000,143100000,147100000,142400000,153000000,179800000,293300000
45,Total Non-Current Assets,28200000,75500000,622000000,738400000,650000000,906100000,959900000,857100000,863900000,990800000,936800000,1154900000,1892800000,1775000000,1805500000,2065900000,1949600000,2273300000,2315900000,3594400000,3767100000,3921700000,3868000000,3603000000,4002700000,4344000000,4089000000,4030600000,4135800000,4168000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,320700000,578300000,1823300000,2162900000,2116500000,2620900000,2750400000,2273200000,2104200000,2173300000,2349000000,2839400000,4297300000,3861200000,4114500000,4787600000,4954800000,5062200000,5436900000,7257200000,7721800000,8438800000,7395900000,6501300000,7168400000,7971700000,7626400000,7759700000,8504200000,9182100000
48,Accounts Payable,16900000,62600000,287100000,330500000,361500000,350100000,287000000,244200000,244400000,272200000,312000000,393200000,601900000,590900000,706900000,827100000,1027100000,644300000,682600000,937000000,888300000,960300000,670200000,625600000,722600000,917500000,865900000,914800000,855100000,1078300000
49,Short-Term Debt,- -,32300000,188300000,361400000,- -,- -,- -,- -,- -,- -,- -,- -,6900000,6300000,207600000,402700000,100000,193100000,275000000,60100000,251200000,311700000,94300000,306200000,85400000,95400000,184200000,153400000,359700000,92900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169300000,167300000,108400000,87300000,113500000,135400000,137800000,170300000,249600000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,50100000,65000000,228100000,247100000,354500000,480400000,473600000,438000000,392000000,370600000,473000000,535900000,750200000,663200000,709100000,853500000,951300000,880700000,955300000,1208400000,1325300000,1540000000,1452400000,1253600000,1336900000,1637700000,1716600000,1816300000,2148000000,2283400000
53,Total Current Liabilities,67000000,159900000,703500000,939000000,716000000,830500000,760600000,682200000,636400000,642800000,785000000,929100000,1359000000,1260400000,1623600000,2083300000,1978500000,1718100000,1912900000,2205500000,2464800000,2812000000,2216900000,2185400000,2144900000,2650600000,2766700000,2884500000,3362800000,3454600000
54,Long-Term Debt,121000000,173900000,593600000,568900000,567100000,727400000,924200000,691700000,570200000,617700000,636900000,711100000,1151700000,841800000,577400000,294100000,682000000,454000000,443000000,1409700000,1035600000,938500000,997600000,928800000,1610000000,1618100000,1275300000,1191800000,1256700000,1526700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163600000,108100000,118700000,103900000,192300000,242700000,251200000,238800000,86400000,112400000,130500000,116300000,107000000,112400000,116900000
57,Other Non-Current Liabilities,39000000,32300000,49500000,66100000,58700000,71400000,83500000,70200000,107700000,113400000,209500000,293100000,364200000,343000000,419900000,203600000,229200000,370600000,317900000,418500000,497200000,392300000,445700000,417400000,463900000,477200000,474600000,669400000,754300000,640100000
58,Total Non-Current Liabilities,160000000,206200000,643100000,635000000,625800000,798800000,1007700000,761900000,677900000,731100000,846400000,1004200000,1515900000,1184800000,997300000,661300000,1019300000,943300000,864800000,2020500000,1775500000,1582000000,1682100000,1432600000,2186300000,2225800000,1866200000,1968200000,2123400000,2283700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148600000,125900000,115500000
61,Total Liabilities,227000000,366100000,1346600000,1574000000,1341800000,1629300000,1768300000,1444100000,1314300000,1373900000,1631400000,1933300000,2874900000,2445200000,2620900000,2744600000,2997800000,2661400000,2777700000,4226000000,4240300000,4394000000,3899000000,3618000000,4331200000,4876400000,4632900000,4852700000,5486200000,5738300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,600000,600000,600000,600000,600000,700000,800000,800000,900000,900000,900000,900000,900000,900000,900000,1000000,1000000,1000000,900000,800000,800000,800000,800000,800000,800000,700000
64,Retained Earnings,21800000,51800000,161500000,287700000,411400000,577600000,635800000,621900000,622900000,645000000,560600000,635000000,793800000,825400000,774100000,1020400000,1419300000,1517800000,1738300000,2321600000,2843700000,3402000000,3771600000,3996000000,4113600000,4253800000,4477300000,4443500000,4759100000,5182200000
65,Other Comprehensive Income/Loss,-2200000,-5200000,-20800000,-43900000,-70600000,-95400000,-151300000,-141000000,-140800000,-164800000,-431400000,-320000000,-265500000,-305000000,-190300000,79000000,-436400000,-187400000,-132100000,-400600000,-479400000,-510700000,-906500000,-1460200000,-1441600000,-1361600000,-1555400000,-1595200000,-1810800000,-1770900000
66,Other Total Stockholders Equity,74100000,165600000,336000000,345100000,433300000,508800000,497000000,347600000,307200000,318500000,587600000,590300000,893200000,894700000,908900000,942700000,973200000,1061900000,1051300000,1073200000,1082900000,1117900000,582500000,301700000,103300000,136600000,10200000,4700000,30900000,- -
67,Total Stockholders Equity,93700000,212200000,476700000,588900000,774700000,991600000,982100000,829100000,789900000,799400000,717600000,906100000,1422400000,1416000000,1493600000,2043000000,1957000000,2393200000,2658400000,2995200000,3448200000,4010200000,3448500000,2838300000,2776100000,3029600000,2932900000,2853800000,2980000000,3415900000
68,Total Liabilities And Stockholders Equity,320700000,578300000,1823300000,2162900000,2116500000,2620900000,2750400000,2273200000,2104200000,2173300000,2349000000,2839400000,4297300000,3861200000,4114500000,4787600000,4954800000,5054600000,5436100000,7221200000,7688500000,8404200000,7347500000,6456300000,7107300000,7906000000,7565800000,7706500000,8466200000,9154200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,800000,36000000,33300000,34600000,48400000,45000000,61100000,65700000,60600000,53200000,38000000,27900000
70,Total Liabilities & Equity,320700000,578300000,1823300000,2162900000,2116500000,2620900000,2750400000,2273200000,2104200000,2173300000,2349000000,2839400000,4297300000,3861200000,4114500000,4787600000,4954800000,5062200000,5436900000,7257200000,7721800000,8438800000,7395900000,6501300000,7168400000,7971700000,7626400000,7759700000,8504200000,9182100000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880266/000095014403003218/0000950144-03-003218-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014404002500/0000950144-04-002500-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014405002600/0000950144-05-002600-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014406002147/0000950144-06-002147-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014407001772/0000950144-07-001772-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014408001513/0000950144-08-001513-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095014409001706/0000950144-09-001706-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095012310017928/0000950123-10-017928-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000095012311018407/0000950123-11-018407-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026612000004/0000880266-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026613000003/0000880266-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026614000004/0000880266-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026615000009/0000880266-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026616000044/0000880266-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026617000005/0000880266-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026618000005/0000880266-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026619000009/0000880266-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026620000006/0000880266-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026621000009/0000880266-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/880266/000088026622000006/0000880266-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6000000,34100000,115500000,129100000,125900000,168700000,60600000,-11500000,3500000,22600000,-84400000,74400000,158800000,31600000,-64900000,246300000,400000000,135700000,220500000,583300000,522100000,597200000,410400000,266400000,160100000,186400000,285500000,125200000,427100000,897000000
74,Depreciation and Amortization,1700000,2900000,19300000,35500000,53500000,72000000,79700000,76800000,69700000,70400000,52300000,65900000,113300000,105900000,121900000,138200000,146500000,147600000,154300000,173500000,229900000,259400000,280400000,260100000,274600000,279800000,289900000,272000000,272000000,281800000
75,Deferred Income Tax,- -,-8100000,-41000000,32900000,20100000,53400000,-22400000,-47200000,-37600000,-32800000,48400000,-12300000,14500000,107900000,10600000,2500000,7300000,-21900000,2900000,-127600000,-36400000,21700000,3600000,-26800000,2100000,-14100000,-14700000,15100000,3400000,-117900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33300000,8000000,13400000,24400000,36800000,34600000,-10800000,12200000,18100000,38200000,46300000,41300000,37600000,27400000
77,Change in Working Capital,-1100000,117400000,154900000,-12300000,265000000,133800000,145600000,-296000000,-130000000,-64200000,87500000,128200000,290100000,-219700000,-140400000,-47000000,388300000,44100000,137300000,249200000,32600000,215200000,-394100000,-598100000,307900000,-43700000,-206400000,73900000,161000000,-451200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,31400000,10600000,30700000,-32300000,-22600000,-100400000,-17300000,72100000,23700000,39600000,-119000000,13800000,-65100000,-42100000,66200000,10700000,-374200000,292800000,-60600000,-221000000,-160900000,-356900000,111400000,117600000,-33100000,-196000000,-214300000,-216300000,119700000,-762600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284400000,-411300000,70600000,162300000,-61700000,54700000,-219400000,37300000,62800000,123500000,-24300000,35700000,-59100000,292200000
81,Other Working Capital,225500000,342900000,497800000,485500000,750500000,884300000,1029900000,733900000,603900000,539700000,627200000,755400000,1045500000,825800000,685400000,638400000,1026700000,1070800000,1208100000,1457300000,1489900000,1705100000,1311000000,712900000,1020800000,977100000,770700000,844600000,1005600000,- -
82,Other Non-Cash Items,-1400000,-127800000,-151900000,-118100000,-257800000,-327900000,-252300000,511600000,268800000,229400000,-30600000,-168200000,-310800000,220600000,515000000,164300000,-684100000,38200000,-89700000,-176900000,-118600000,-331100000,148900000,610400000,-393300000,131000000,195300000,168400000,-4600000,45800000
83,Cash Provided by Operating Activities,5200000,18500000,96800000,67100000,206700000,100000000,11200000,233700000,174400000,225400000,73200000,88000000,265900000,246300000,442200000,504300000,291300000,351700000,438700000,725900000,666400000,797000000,438400000,524200000,369500000,577600000,595900000,695900000,896500000,682900000
84,CAPEX,-4400000,-6700000,-20700000,-45300000,-45200000,-361300000,-121600000,-44200000,-67700000,-39300000,-54900000,-78700000,-78400000,-111800000,-129100000,-141400000,-251300000,-215300000,-167100000,-300400000,-340500000,-391800000,-301500000,-211400000,-201000000,-203900000,-203300000,-273400000,-269900000,-269800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147500000,-60700000,- -,-765700000,- -,- -,-17800000,-600000,-17600000,-25400000,-1026300000,-38800000,-19500000,-134200000,-29200000,-400100000,-293900000,-5800000,-3100000,26300000,-32200000
86,Purchases of Investments,- -,-2000000,-427500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-68000000,- -,- -,- -,-38500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,400000,-165500000,-100000,-133400000,-301800000,- -,- -,23600000,-2000000,6000000,15000000,20900000,47000000,10900000,3900000,3300000,-27600000,3100000,-80600000,1500000,4600000,2600000,2800000,-200000,2800000,4100000,3600000,4900000,1900000,-9100000
89,Cash Used for Investing Activites,-4000000,-171200000,-448300000,-178700000,-347000000,-361300000,-121600000,-20600000,-69700000,-180800000,-100600000,-57800000,-797100000,-100900000,-128100000,-223900000,-279500000,-192700000,-273100000,-1363700000,-374700000,-408700000,-432900000,-240800000,-598300000,-493700000,-205500000,-271600000,-241700000,-311100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39500000,-343700000,-170000000,-987400000,-1148800000,-1194000000,-1790000000,-1769500000,-2622400000,-3639700000,-5433600000,-2191100000,-1045600000,-3800000
91,Common Stock Issued,61500000,88400000,133700000,1300000,1700000,142200000,400000,- -,300000,6400000,10300000,2500000,303000000,1400000,10800000,8200000,300000,- -,500000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
