,https://roic.ai/company/CBT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,254500000,210600000,254000000,296900000,281500000,285200000,237600000,265500000,258100000,272800000,292800000,363800000,288600000,284300000,321000000,280000000,267000000,304000000,333000000,384000000,430000000,534000000,563000000,646000000,452000000,576000000,659000000,687000000,848000000,688000000,477000000,456000000,527000000,637000000,530000000,418000000,645000000
35,Inventory,171600000,154800000,171100000,168800000,177900000,212200000,190400000,226200000,195400000,216900000,253100000,260400000,246900000,251100000,259000000,232000000,285000000,435000000,485000000,482000000,495000000,420000000,442000000,523000000,358000000,373000000,393000000,533000000,458000000,498000000,397000000,342000000,396000000,511000000,466000000,359000000,523000000
36,Other Current Assets,180400000,97400000,53400000,17000000,11200000,33800000,27100000,32400000,50400000,35800000,41200000,27500000,36500000,43900000,44000000,40000000,52000000,61000000,75000000,78000000,112000000,111000000,116000000,109000000,85000000,101000000,217000000,103000000,94000000,111000000,97000000,91000000,59000000,63000000,45000000,50000000,89000000
37,Total Current Assets,634300000,585500000,560600000,548200000,486800000,579500000,494100000,554800000,544200000,606400000,677900000,709800000,611200000,618900000,659000000,1190000000,968000000,959000000,1140000000,1173000000,1248000000,1255000000,1277000000,1408000000,1200000000,1438000000,1555000000,1443000000,1495000000,1364000000,1048000000,1089000000,1262000000,1386000000,1210000000,978000000,1425000000
38,PP&E,623200000,642100000,794500000,838900000,743200000,878700000,670400000,703200000,646500000,694500000,706500000,903000000,922300000,978000000,1024000000,806000000,807000000,885000000,913000000,918000000,832000000,964000000,1016000000,1081000000,1012000000,975000000,1036000000,1552000000,1605000000,1581000000,1383000000,1290000000,1305000000,1296000000,1348000000,1314000000,1376000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,34000000,34000000,37000000,39000000,40000000,480000000,504000000,536000000,154000000,152000000,154000000,93000000,90000000,134000000,140000000
40,Intangible Assets,21600000,19000000,16100000,13000000,16800000,104500000,97600000,87400000,78900000,74100000,13900000,42700000,39100000,24200000,20000000,21000000,21000000,113000000,119000000,118000000,31000000,5000000,4000000,3000000,2000000,4000000,3000000,330000000,310000000,347000000,153000000,140000000,137000000,98000000,96000000,103000000,100000000
41,Intangible Assets,21600000,19000000,16100000,13000000,16800000,104500000,97600000,87400000,78900000,74100000,13900000,42700000,39100000,24200000,20000000,21000000,21000000,113000000,119000000,118000000,31000000,36000000,38000000,37000000,39000000,43000000,40000000,810000000,814000000,883000000,307000000,292000000,291000000,191000000,186000000,237000000,240000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,62000000,68000000,54000000,61000000,61000000,60000000,115000000,119000000,68000000,57000000,53000000,56000000,52000000,39000000,39000000,40000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,4000000,17000000,35000000,108000000,100000000,120000000,173000000,235000000,245000000,261000000,94000000,68000000,80000000,152000000,180000000,250000000,134000000,163000000,53000000,53000000
44,Other Non-Current Assets,315600000,263100000,91900000,143100000,170600000,169200000,200300000,209100000,219900000,241800000,256000000,202100000,251000000,184100000,139000000,117000000,121000000,106000000,119000000,182000000,86000000,117000000,117000000,105000000,129000000,124000000,189000000,385000000,132000000,108000000,128000000,140000000,150000000,185000000,58000000,160000000,172000000
45,Total Non-Current Assets,960400000,924200000,902500000,995000000,930600000,1152400000,968300000,999700000,945300000,1010400000,976400000,1147800000,1212400000,1186300000,1183000000,944000000,951000000,1108000000,1168000000,1253000000,1126000000,1279000000,1359000000,1450000000,1476000000,1448000000,1586000000,2956000000,2738000000,2720000000,2027000000,1955000000,2052000000,1858000000,1794000000,1803000000,1881000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1594700000,1509700000,1463100000,1543200000,1417400000,1731900000,1462400000,1554500000,1489500000,1616800000,1654300000,1857600000,1823600000,1805200000,1842000000,2134000000,1919000000,2067000000,2308000000,2426000000,2374000000,2534000000,2636000000,2858000000,2676000000,2886000000,3141000000,4399000000,4233000000,4084000000,3075000000,3044000000,3314000000,3244000000,3004000000,2781000000,3306000000
48,Accounts Payable,- -,- -,- -,- -,273800000,321900000,290400000,276400000,297200000,281300000,260900000,250700000,224000000,268200000,252000000,425000000,243000000,238000000,278000000,174000000,321000000,252000000,305000000,314000000,407000000,447000000,330000000,425000000,398000000,351000000,274000000,259000000,339000000,446000000,390000000,316000000,480000000
49,Short-Term Debt,46800000,40800000,37900000,28800000,67900000,119000000,209700000,84200000,30700000,186200000,68100000,250000000,315800000,264700000,197000000,68000000,30000000,5000000,55000000,32000000,81000000,92000000,82000000,130000000,34000000,52000000,143000000,247000000,278000000,68000000,23000000,8000000,263000000,284000000,40000000,21000000,445000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,34000000,34000000,59000000,30000000,49000000,28000000,25000000,22000000,29000000,22000000,20000000,35000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,290900000,246200000,378800000,364900000,18800000,2800000,1000000,- -,26300000,7600000,73400000,27000000,1600000,3400000,1000000,1000000,18000000,43000000,19000000,166000000,31000000,161000000,162000000,157000000,36000000,40000000,183000000,247000000,168000000,211000000,144000000,131000000,140000000,222000000,169000000,192000000,222000000
53,Total Current Liabilities,337700000,287000000,416700000,393700000,360500000,443700000,501100000,360600000,354200000,475100000,402400000,527700000,541400000,536300000,450000000,494000000,291000000,286000000,352000000,372000000,433000000,505000000,549000000,601000000,477000000,539000000,656000000,919000000,844000000,630000000,441000000,398000000,742000000,952000000,599000000,529000000,1147000000
54,Long-Term Debt,382300000,426400000,220800000,319700000,386500000,480800000,369600000,479900000,459300000,307800000,306400000,321500000,285500000,316300000,419000000,329000000,419000000,495000000,516000000,506000000,463000000,459000000,503000000,586000000,623000000,600000000,556000000,1172000000,1020000000,1004000000,970000000,918000000,661000000,719000000,1024000000,1094000000,801000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,132900000,133200000,179200000,138900000,99200000,114000000,73900000,119900000,86200000,124300000,100400000,88300000,99200000,82400000,68000000,90000000,94000000,104000000,101000000,22000000,15000000,20000000,16000000,18000000,11000000,6000000,8000000,55000000,68000000,101000000,76000000,64000000,57000000,61000000,53000000,67000000,73000000
57,Other Non-Current Liabilities,116100000,72000000,55700000,83600000,82000000,104200000,91000000,91400000,147500000,147100000,160100000,148000000,146900000,139600000,167000000,143000000,138000000,170000000,220000000,290000000,307000000,286000000,298000000,294000000,328000000,324000000,305000000,314000000,218000000,285000000,250000000,292000000,253000000,233000000,194000000,277000000,195000000
58,Total Non-Current Liabilities,631300000,631600000,455700000,542200000,567700000,699000000,534500000,691200000,693000000,579200000,566900000,557800000,531600000,538300000,654000000,562000000,651000000,769000000,837000000,818000000,785000000,765000000,817000000,898000000,962000000,930000000,869000000,1541000000,1306000000,1390000000,1296000000,1274000000,971000000,1013000000,1271000000,1438000000,1069000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000000,84000000
61,Total Liabilities,969000000,918600000,872400000,935900000,928200000,1142700000,1035600000,1051800000,1047200000,1054300000,969300000,1085500000,1073000000,1074600000,1104000000,1056000000,942000000,1055000000,1189000000,1190000000,1218000000,1270000000,1366000000,1499000000,1439000000,1469000000,1525000000,2460000000,2150000000,2020000000,1737000000,1672000000,1713000000,1965000000,1870000000,1967000000,2216000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,26000000,23000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,68000000,63000000,62000000,62000000,63000000,63000000,64000000,65000000,65000000,65000000,65000000,64000000,64000000,64000000,64000000,63000000,62000000,62000000,61000000,57000000,57000000,57000000
64,Retained Earnings,629100000,674200000,677400000,713000000,701000000,742400000,833900000,873400000,861800000,916900000,1062500000,1176700000,1238200000,671700000,734000000,1040000000,1078000000,1120000000,1160000000,1218000000,1127000000,1160000000,1119000000,1143000000,1018000000,1125000000,1314000000,1653000000,1755000000,1900000000,1478000000,1544000000,1683000000,1417000000,1337000000,989000000,1159000000
65,Other Comprehensive Income/Loss,-483500000,-568800000,-706600000,-771200000,-581600000,-655200000,-466400000,-571400000,-603700000,-607100000,-741100000,-809100000,-837500000,-936300000,-1015000000,-988000000,-1049000000,-1134000000,-184000000,-163000000,-141000000,-48000000,15000000,24000000,60000000,88000000,106000000,92000000,103000000,-64000000,-299000000,-325000000,-259000000,-317000000,-391000000,-351000000,-289000000
66,Other Total Stockholders Equity,480100000,485700000,619900000,665500000,369800000,502000000,59300000,200700000,184200000,252700000,363600000,404500000,349900000,995200000,952000000,958000000,885000000,964000000,9000000,47000000,27000000,2000000,-5000000,17000000,-9000000,24000000,3000000,4000000,29000000,42000000,-8000000,-7000000,-6000000,-7000000,-5000000,-4000000,- -
67,Total Stockholders Equity,625700000,591100000,590700000,607300000,489200000,589200000,426800000,502700000,442300000,562500000,685000000,772100000,750600000,730600000,738000000,1078000000,977000000,1012000000,1079000000,1191000000,1099000000,1196000000,1194000000,1249000000,1134000000,1302000000,1487000000,1813000000,1951000000,1942000000,1234000000,1274000000,1480000000,1154000000,998000000,691000000,947000000
68,Total Liabilities And Stockholders Equity,1594700000,1509700000,1463100000,1543200000,1417400000,1731900000,1462400000,1554500000,1489500000,1616800000,1654300000,1857600000,1823600000,1805200000,1842000000,2134000000,1919000000,2067000000,2268000000,2381000000,2317000000,2466000000,2560000000,2748000000,2573000000,2771000000,3012000000,4273000000,4101000000,3962000000,2971000000,2946000000,3193000000,3119000000,2868000000,2658000000,3163000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,45000000,57000000,68000000,76000000,110000000,103000000,115000000,129000000,126000000,132000000,122000000,104000000,98000000,121000000,125000000,136000000,123000000,143000000
70,Total Liabilities & Equity,1594700000,1509700000,1463100000,1543200000,1417400000,1731900000,1462400000,1554500000,1489500000,1616800000,1654300000,1857600000,1823600000,1805200000,1842000000,2134000000,1919000000,2067000000,2308000000,2426000000,2374000000,2534000000,2636000000,2858000000,2676000000,2886000000,3141000000,4399000000,4233000000,4084000000,3075000000,3044000000,3314000000,3244000000,3004000000,2781000000,3306000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16040/000095013594000730/0000950135-94-000730-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013595002798/0000950135-95-002798-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013596005392/0000950135-96-005392-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013597005172/0000950135-97-005172-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013598006385/0000950135-98-006385-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013599005733/0000950135-99-005733-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013500005559/0000950135-00-005559-index.html,- -,https://www.sec.gov/Archives/edgar/data/16040/000095013502005703/0000950135-02-005703-index.html,https://www.sec.gov/Archives/edgar/data/16040/000095013503006141/0000950135-03-006141-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000095013504005649/0000950135-04-005649-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000095013505006968/0000950135-05-006968-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000110465906081572/0001104659-06-081572-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312507256224/0001193125-07-256224-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312508245933/0001193125-08-245933-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312509244216/0001193125-09-244216-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312510270199/0001193125-10-270199-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312511324512/0001193125-11-324512-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312512485653/0001193125-12-485653-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312513456387/0001193125-13-456387-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000119312514426922/0001193125-14-426922-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459015011128/0001564590-15-011128-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459016029604/0001564590-16-029604-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459017024203/0001564590-17-024203-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459018029997/0001564590-18-029997-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459019044207/0001564590-19-044207-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459020055198/0001564590-20-055198-index.htm,https://www.sec.gov/Archives/edgar/data/16040/000156459021058692/0001564590-21-058692-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
