,https://roic.ai/company/EGO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,-2800000,6600660,11893470,26792585,19704115,14723164,15204695,12287347,13575000,17107000,13682000,24735000,20793000,46837000,64294000,68513000,170572000,82595000,135192000,126284000,107147000,104246000,90720000,118054000,109740000,76802000,72415000,83644000
11,COGS and Expenses,- -,-8100000,13127979,41663627,96887024,68738291,55298265,49753968,35549064,33680000,41667000,50277000,67499000,79362000,131158000,168614000,215527000,477553000,582266000,676667000,757244000,806123000,765066000,360276000,383368000,484917000,564759000,764249000,734350000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2262000,11036000,- -,- -,- -,- -,- -,- -,- -,- -,3154000,1310000,2830000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,824000,8089000,5331000,4203000,34101000,23039000,10108000,5434000,- -,- -,43399000,50758000,67712000
14,Depreciation and Amortization,- -,-1100000,1686835,6566946,14620497,13631372,10714039,11368182,6199899,6787000,8036000,4760000,9798000,1763000,20040000,25995000,- -,- -,122414000,113529000,149068000,177227000,178978000,74887000,72130000,105732000,155331000,248790000,202857000
15,EBITDA,- -,-2600000,-586726,5034658,-95557887,-106596033,16174743,12765034,2670561,10044000,-34536000,-9831000,-38833000,5652000,77543000,202150000,145118000,302947000,611994000,551310000,-325798000,424142000,-1536177000,-207625000,81578000,-342650000,319087000,483223000,274519000
16,EBITDA ratio,- -,0.2430,-0.0523,0.1261,-1.4229,-1.6484,0.2674,0.2481,0.0775,0.2556,-0.9034,-0.2737,-1.1490,0.0667,0.4110,0.7013,0.4023,0.3829,0.5569,0.4804,-0.2899,0.3972,-1.7794,-0.4798,0.2084,-0.7465,0.5165,0.4707,0.2910
17,Operating Income,- -,-2600000,-2053539,-1751186,-107030430,-108081917,4976844,1935591,-1486996,5201000,-3437000,-14362000,-33702000,3141000,57532000,119617000,145202000,301278000,512846000,454249000,-447128000,256926000,-1814273000,67009000,-38541000,-476773000,146837000,228715000,212931000
18,Operating Income ratio,- -,0.2430,-0.1830,-0.0439,-1.5938,-1.6713,0.0823,0.0376,-0.0431,0.1324,-0.0899,-0.3999,-0.9972,0.0371,0.3049,0.4150,0.4025,0.3808,0.4667,0.3958,-0.3978,0.2406,-2.1016,0.1549,-0.0985,-1.0387,0.2377,0.2228,0.2257
19,Total Other Income Expenses (Gains),- -,800000,-220022,218898,-3147954,-12145488,483860,-538739,-2042342,-1944000,-39135000,-229000,-14929000,748000,-30000,56538000,1719000,7663000,-36000,-7915000,-58125000,-29113000,-15237000,-18311000,39333000,10644000,-33381000,-52220000,-61865000
20,Income Before Tax,- -,- -,-2273561,-1532288,-110178384,-120227405,5460704,1396852,-3529338,3257000,-42572000,-14591000,-48631000,3889000,57502000,176155000,146921000,308941000,512810000,446334000,-505253000,227813000,-1829510000,48698000,792000,-466129000,113456000,176495000,151066000
21,Income Before Tax Ratio,- -,- -,-0.2026,-0.0384,-1.6406,-1.8591,0.0903,0.0271,-0.1024,0.0829,-1.1136,-0.4063,-1.4389,0.0459,0.3047,0.6112,0.4073,0.3905,0.4666,0.3889,-0.4495,0.2133,-2.1192,0.1125,0.0020,-1.0155,0.1836,0.1719,0.1601
22,Income Tax expense (Gain),- -,- -,146681,72966,979363,1227469,69123,290705,358085,1121000,2463000,-649000,495000,589000,22083000,12499000,41890000,89158000,165587000,128276000,144362000,121269000,-184368000,56205000,19383000,-86498000,39771000,79134000,139970000
23,Net Income,- -,-1500000,-2420242,-1605254,-111157747,-121454874,5391581,1106147,-3887423,2136000,-45035000,-13942000,-49126000,3300000,35420000,163656000,102404000,205700000,318662000,305302000,-653329000,102607000,-1540895000,-344151000,-9935000,-361884000,80586000,104541000,-136020000
24,Net Income ratio,- -,0.1402,-0.2157,-0.0402,-1.6552,-1.8781,0.0891,0.0215,-0.1128,0.0544,-1.1780,-0.3882,-1.4536,0.0390,0.1877,0.5678,0.2839,0.2600,0.2900,0.2660,-0.5813,0.0961,-1.7849,-0.7953,-0.0254,-0.7884,0.1304,0.1018,-0.1442
25,EPS,- -,-0.55,-0.81,-0.26,-7.59,-8.30,0.35,0.05,-0.20,0.05,-1.00,-0.25,-0.85,0.05,0.50,2.30,1.30,1.90,2.90,2.20,-4.55,0.70,-10.75,-2.40,-0.05,-2.28,0.51,0.61,-0.80
26,EPS Diluted,- -,-0.55,-0.81,-0.26,-7.59,-8.30,0.35,0.05,-0.20,0.05,-1.00,-0.25,-0.85,0.05,0.50,2.30,1.30,1.90,2.90,2.20,-4.55,0.70,-10.75,-2.40,-0.05,-2.28,0.50,0.60,-0.80
27,Weighted Average Shares Outstanding,- -,2727273,2999990,6285255,14645193,14630385,15600639,15974842,19947281,29519496,44354069,51528642,56800862,67475200,68638800,71026400,77876800,108572200,109958200,137801400,143036200,143257600,143317200,143317400,150713000,158509000,158856000,171047000,171047000
28,Weighted Average Shares Outstanding Diluted,- -,2727273,2999990,6285255,14645193,14630385,15600639,15974842,19947281,29519496,44354069,51528642,56800862,67835400,68924200,71261600,78341400,109170000,110325000,138133800,143036200,143260000,143318000,143318600,150713000,158509000,161539000,175231000,171047000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/918608/000113717105000440/eld40f.htm,https://www.sec.gov/Archives/edgar/data/918608/000113717106000790/eldorado40f033106.htm,https://www.sec.gov/Archives/edgar/data/918608/000113717107000427/financials.htm,https://www.sec.gov/Archives/edgar/data/918608/000113717108000306/financials.htm,- -,https://www.sec.gov/Archives/edgar/data/918608/000091228210000446/0000912282-10-000446-index.html,- -,https://www.sec.gov/Archives/edgar/data/918608/000091228212000284/0000912282-12-000284-index.html,https://www.sec.gov/Archives/edgar/data/918608/000091228213000227/0000912282-13-000227-index.html,https://www.sec.gov/Archives/edgar/data/918608/000113717114000057/fins.htm,- -,https://www.sec.gov/Archives/edgar/data/918608/000091228216000667/0000912282-16-000667-index.html,https://www.sec.gov/Archives/edgar/data/918608/000113717117000034/0001137171-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/918608/000119312518102194/0001193125-18-102194-index.html,https://www.sec.gov/Archives/edgar/data/918608/000091860819000008/0000918608-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/918608/000091860820000006/0000918608-20-000006-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,2299640,4751853,37627000,105468000,135390000,33826000,59967000,46012000,61851000,265369000,314344000,393763000,816843000,589180000,498514000,288189000,883171000,479501000,286312000,177742000,451962000,481327000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43610000,13951000,8027000,2640000,1988000,39089000,7051000,22713000,33619000,10518000,9218000,7103000,59228000,163000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,2299640,4751853,37627000,105468000,135390000,33826000,59967000,46012000,105461000,279320000,322371000,396403000,818831000,628269000,505565000,310902000,916790000,490019000,295530000,184845000,511190000,481490000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,4943993,3747330,1380000,3213000,8705000,8264000,28306000,30334000,36109000,32041000,40534000,20244000,87044000,49198000,78721000,48235000,41417000,59597000,65241000,63501000,53663000,50748000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,4668622,5069104,5866000,5623000,5927000,7597000,35697000,57522000,86966000,129197000,147263000,164057000,220766000,244042000,223412000,175626000,120830000,168844000,137885000,163234000,176271000,178163000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,7052274,474935,- -,1000,- -,2024000,31432000,69621000,175000,50000000,53031000,77455000,25521000,40295000,39536000,37481000,13138000,19057000,16042000,24280000,25108000,17834000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,18964529,14043222,44873000,114305000,150022000,51711000,155402000,203489000,228711000,490558000,563199000,658159000,1152162000,961804000,847234000,572244000,1092175000,737517000,514698000,435860000,766232000,728235000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,70622083,97171127,95061000,56073000,75013000,209936000,311080000,377687000,668309000,2580816000,2793722000,2847910000,5868742000,5684382000,5963611000,4747759000,3645827000,4227397000,3988476000,4088202000,3998493000,4003211000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2238000,2238000,- -,- -,324935000,364093000,365928000,839710000,526296000,526296000,50276000,- -,92591000,92591000,92591000,92591000,92591000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2238000,2238000,- -,- -,324935000,364093000,365928000,839710000,526296000,526296000,50276000,- -,92591000,92591000,92591000,92591000,92591000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,6202000,18808000,27949000,10949000,- -,- -,- -,- -,- -,- -,- -,59849000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4259000,3149000,997000,104000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,31595546,2083176,198000,1257000,1224000,55850000,58300000,10538000,8349000,39799000,48955000,65341000,36417000,50814000,56395000,94044000,59917000,32821000,33161000,32267000,41659000,46848000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,102217629,99254303,95259000,57330000,76237000,269024000,371618000,388225000,676658000,2945550000,3212972000,3302246000,6775967000,6273438000,6546406000,4892079000,3705744000,4352809000,4114228000,4213060000,4132743000,4202499000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,121182158,113297525,140132000,171635000,226259000,320735000,527020000,591714000,905369000,3436108000,3776171000,3960405000,7928129000,7235242000,7393640000,5464323000,4797919000,5090326000,4628926000,4648920000,4898975000,4930734000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,6552874,11769066,8225000,7164000,6005000,19730000,29267000,39941000,42659000,- -,- -,67056000,101505000,106098000,83566000,97345000,43712000,60081000,38969000,67107000,65060000,71011000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1525000,15700000,65419000,139000,56499000,98523000,81031000,10341000,16402000,16343000,- -,- -,- -,- -,76580000,77964000,7228000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40256000,19607000,6442000,6230000,5857000,243000,213000,201000,13205000,10997000,19182000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7330310,6243247,- -,- -,- -,- -,8271000,508000,1097000,161514000,149402000,101311000,123062000,105308000,101146000,139474000,46993000,54059000,102733000,78036000,119013000,128411000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,13883184,18012313,8225000,7164000,6005000,21255000,53238000,105868000,43895000,218013000,247925000,249398000,234908000,227808000,201055000,236819000,90705000,114140000,141702000,221723000,262037000,206650000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,20431391,9103531,6796000,- -,- -,50832000,50499000,139000,- -,134533000,68140000,- -,582974000,585006000,587201000,589395000,591589000,593783000,595977000,413065000,434465000,504658000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,192692,177786,196000,3830000,4598000,10051000,18742000,26780000,60043000,390242000,430020000,336579000,816941000,842305000,869207000,607871000,443501000,549127000,429929000,412717000,402713000,439195000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7789039,10958663,5424000,7162000,8695000,13670000,8636000,9769000,4812000,26566000,24275000,63182000,79971000,85259000,158263000,108802000,100660000,109794000,114232000,127602000,143310000,140309000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,28413122,20239980,12416000,10992000,13293000,74553000,77877000,36688000,64855000,551341000,522435000,399761000,1479886000,1512570000,1614671000,1306068000,1135750000,1252704000,1140138000,953384000,980488000,1084162000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1615000,333000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6538000,25056000,25956000,22123000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,42296306,38252293,20641000,18156000,19298000,95808000,131115000,142556000,108750000,769354000,770360000,649159000,1714794000,1740378000,1815726000,1542887000,1226455000,1366844000,1281840000,1175107000,1242525000,1290812000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300957000,5314589000,5318950000,5319101000,2819101000,3007924000,3007924000,3054563000,3144644000,3225326000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-244182558,-248650584,-247649000,-293711000,-307644000,-356770000,-353470000,-317160000,-153520000,-51116000,128227000,382716000,594876000,-143401000,-53804000,-1583873000,-1928024000,-1948569000,-2310453000,-2229867000,-2125326000,-2239226000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-1514869,-39725468,1094000,2512000,6232000,5980000,-8030000,214000,-5971000,2227000,998000,-10069000,-24535000,-17056000,-18127000,-20572000,-7172000,-21350000,-24494000,-28966000,-30297000,-20905000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,324583278,363421284,415906000,508541000,580385000,657275000,757405000,799278000,1010719000,2880789000,3149308000,3320705000,57937000,67604000,25481000,37025000,2598773000,2605537000,2610695000,2618779000,2626556000,2605170000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,78885851,75045232,119491000,153479000,206961000,224927000,395905000,449158000,791820000,2640610000,2966871000,3254759000,5929235000,5221736000,5272500000,3751681000,3482678000,3643542000,3283672000,3414509000,3615577000,3570365000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,121182157,113297525,140132000,171635000,226259000,320735000,527020000,591714000,900570000,3409964000,3737231000,3903918000,7644029000,6962114000,7088226000,5294568000,4709133000,5010386000,4565512000,4589616000,4858102000,4861177000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,4799000,26144000,38940000,56487000,284100000,273128000,305414000,169755000,88786000,79940000,63414000,59304000,40873000,69557000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,121182158,113297525,140132000,171635000,226259000,320735000,527020000,591714000,905369000,3436108000,3776171000,3960405000,7928129000,7235242000,7393640000,5464323000,4797919000,5090326000,4628926000,4648920000,4898975000,4930734000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/918608/000113717105000440/eld40f.htm,https://www.sec.gov/Archives/edgar/data/918608/000113717106000790/eldorado40f033106.htm,https://www.sec.gov/Archives/edgar/data/918608/000113717107000427/financials.htm,https://www.sec.gov/Archives/edgar/data/918608/000113717108000306/financials.htm,- -,https://www.sec.gov/Archives/edgar/data/918608/000091228210000446/0000912282-10-000446-index.html,- -,https://www.sec.gov/Archives/edgar/data/918608/000091228212000284/0000912282-12-000284-index.html,https://www.sec.gov/Archives/edgar/data/918608/000091228213000227/0000912282-13-000227-index.html,https://www.sec.gov/Archives/edgar/data/918608/000113717114000057/fins.htm,- -,https://www.sec.gov/Archives/edgar/data/918608/000091228216000667/0000912282-16-000667-index.html,https://www.sec.gov/Archives/edgar/data/918608/000113717117000034/0001137171-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/918608/000119312518102194/0001193125-18-102194-index.html,https://www.sec.gov/Archives/edgar/data/918608/000091860819000008/0000918608-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/918608/000091860820000006/0000918608-20-000006-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1500000,-2420242,-1605254,-111157747,-121454874,5391581,1106147,-3887423,2136000,-45035000,-13942000,-49126000,3300000,35420000,163656000,102404000,205700000,318662000,305302000,-653329000,102607000,-1540895000,-344151000,-9935000,-361884000,80586000,104541000,-136020000
74,Depreciation and Amortization,- -,-1100000,1686835,6566946,14620497,13631372,10714039,11368182,6199899,6787000,8036000,4760000,9798000,1763000,20040000,25995000,- -,- -,122414000,113529000,149068000,177227000,178978000,74887000,72130000,105732000,155331000,248790000,202857000
75,Deferred Income Tax,- -,- -,- -,- -,- -,193811,-1520702,1310175,202915,- -,3570000,757000,343000,-1491000,17260000,-12904000,-2972000,-5864000,1804000,-14311000,27516000,27795000,-261232000,9039000,-19849000,-118839000,39771000,79134000,139970000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9091000,16557000,19722000,21794000,19492000,18775000,15877000,10559000,11218000,6989000,10396000,10692000,7945000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,3663510,-4275903,10136952,-1825000,-3501000,-6955000,2006000,-31668000,1265000,-18187000,45059000,-60082000,9948000,-152472000,-25669000,-56502000,29393000,32295000,-35755000,5062000,15256000,34769000,-8917000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25386000,-14307000,- -,-47729000,17705000,-34206000,-6562000,17168000,-2456000,-1471000,6029000,-5408000,14065000
79,Inventory,- -,- -,- -,- -,- -,- -,483860,384051,-400176,-425000,-607000,-304000,-2867000,-26222000,-16899000,-26057000,-19799000,-12452000,-13299000,-18346000,-24705000,13184000,45915000,-18264000,-31437000,20775000,-16410000,-3209000,-16087000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-1,- -,4090339,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-200000,- -,-2845676,75970618,107177465,-276492,-4919989,376932,2190000,40576000,4954000,23045000,5588000,-4184000,-53016000,38460000,135764000,39527000,21386000,839295000,13443000,1799637000,331034000,10170000,429256000,-135514000,-52319000,156535000
83,Cash Provided by Operating Activities,- -,-2800000,-733407,2116016,-20566632,-452226,17971936,4588612,13029275,9288000,3646000,-10426000,-13934000,-22508000,69801000,105544000,192042000,292075000,512077000,295228000,356373000,283345000,221758000,113663000,27979000,66316000,165826000,425607000,362370000
84,CAPEX,- -,- -,-11514485,-230864648,-46379853,-12274695,-10230179,-5939459,-4513130,-7619000,-12995000,-23345000,-89407000,-95170000,-94456000,-123950000,-106614000,-226296000,-272818000,-426174000,-481986000,-410690000,-396027000,-297667000,-323079000,-312081000,-219943000,-206376000,-282088000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,664000,- -,- -,7479000,- -,-6083000,- -,4021000,-6357000,-30318000,- -,-603000,-121664000,- -,-3107000,- -,324000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1556000,-20462000,-5823000,-18710000,-18653000,- -,-34702000,-3313000,-17894000,-3436000,-216000,-1138000,- -,-55759000,-28050000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,69732,37000,- -,70000,- -,- -,663000,25727000,54214000,15611000,8154000,1270000,2025000,33423000,- -,3665000,- -,- -,- -,5237000,61409000
88,Other Investing Activites,- -,900000,-8140814,-6056184,1049318,14665030,-2764913,-4573943,5639528,539000,-1197000,357000,227000,-35284000,3596000,72948000,44647000,14286000,-9855000,125199000,26951000,26777000,21054000,779360000,28635000,19072000,30328000,12669000,-17473000
89,Cash Used for Investing Activites,- -,19400000,-19655299,-236920832,-45330535,2390335,-12995092,-10513402,1196130,-7043000,-14192000,-22918000,-88516000,-130454000,-91753000,-38258000,-13576000,-221192000,-293172000,-295684000,-494069000,-384121000,-392867000,481319000,-416324000,-257397000,-188874000,-244229000,-265878000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4983000,-90010000,-98169000,-120430000,-10354000,-32622000,-24528000,-70000000,- -,- -,-606729000,-142521000,-527865000
91,Common Stock Issued,- -,-12100000,11734507,275446918,1329136,64604,483860,11501534,5026,47966000,78621000,63708000,7184000,171225000,9499000,14730000,25201000,35907000,31600000,22145000,7003000,1996000,121000,- -,586000,- -,40066000,95992000,14552000
92,Common Stock Repurchased,- -,- -,-220022,-656695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6438000,-6830000,-6462000,-6413000,-2394000,- -,-5301000,-2108000,- -,-3550000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-149000,-27644000,-61167000,-93142000,-84948000,-13010000,-11257000,- -,-10610000,- -,- -,- -,- -
94,Other Financing Activites,- -,-14000000,4547121,25100328,3077999,-6460366,-5253335,-6270837,-10955522,-15571000,-7150000,- -,-7274000,7878000,-1500000,-65879000,4983000,59839000,-5312000,621793000,4794000,60159000,-1158000,- -,- -,- -,481208000,142921000,446186000
95,Cash Used/Provided by Financing Activities,- -,-26100000,16061606,299890551,4407135,-6395762,-4769475,5230697,-10950496,32395000,71471000,63708000,-90000,179103000,7999000,-51449000,25052000,-21908000,-139486000,423536000,-89967000,10110000,-39216000,- -,-15325000,-2108000,-85455000,92842000,-67127000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-207368,-258701,-822968,-1765000,6915000,-439000,976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-9500000,-4327099,65085735,-61490031,-4457652,138246,-953460,2451941,32875000,67840000,29925000,-101564000,26141000,-13952000,15837000,203518000,48975000,79419000,423080000,-227663000,-90666000,-210325000,594982000,-403670000,-193189000,-108570000,274220000,29365000
98,Cash at the End of Period,- -,-11700000,4033737,69098869,7625044,3165579,3317896,2299640,4751853,37627000,105468000,135390000,33826000,59967000,46012000,61851000,265369000,314344000,393763000,816843000,589180000,498514000,288189000,883171000,479501000,286312000,177742000,451962000,481327000
99,Cash at the Beginning of Period,- -,-2200000,8360836,4013134,69115075,7623231,3179650,3253100,2299912,4752000,37628000,105465000,135390000,33826000,59964000,46014000,61851000,265369000,314344000,393763000,816843000,589180000,498514000,288189000,883171000,479501000,286312000,177742000,451962000
100,Free Cash Flow,- -,-2800000,-12247892,-228748632,-66946485,-12726921,7741757,-1350847,8516145,1669000,-9349000,-33771000,-103341000,-117678000,-24655000,-18406000,85428000,65779000,239259000,-130946000,-125613000,-127345000,-174269000,-184004000,-295100000,-245765000,-54117000,219231000,80282000
