,https://roic.ai/company/BIOL,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,7600000,7600000,4200000,2500000,2700000,3300000,5300000,7713074,8627695,10952000,15616000,24110000,45369000,47786000,41327000,43495000,39626000,23022000,20285000,25322000,29009000,32526000,36113000,36596000,35270000,32659000,35095000,29909000,24709000,32960000
11,COGS and Expenses,11000000,9900000,5000000,3100000,3200000,4700000,6600000,11752428,13290827,18251000,26718000,41640000,70011000,78960000,74538000,75859000,71589000,46307000,37685000,52862000,59887000,67426000,65597000,69121000,66772000,64459000,64355000,53420000,41316000,55619000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,68854,- -,- -,27000,- -,594000,448000,- -,118000,5000,3000,- -,- -,- -,- -,74000,74000,42000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,163393,- -,- -,55000,- -,348000,388000,- -,157000,58000,361000,305000,239000,600000,458000,- -,- -,- -,510000,2157000,2359000,-2224000
14,Depreciation and Amortization,200000,600000,400000,200000,100000,100000,100000,112392,165896,165000,246000,401000,696000,1233000,2301000,1895000,1909000,1444000,1070000,695000,513000,601000,696000,880000,1048000,1203000,945000,982000,499000,400000
15,EBITDA,-5300000,-6900000,-2700000,-1800000,-2400000,-2700000,-10200000,-4684745,-3398688,-243000,2876000,8123000,-8105000,-15660000,-1838000,-5222000,-6942000,-1335000,-10532000,-3397000,-2193000,-10445000,-17660000,-19220000,-14172000,-16230000,-19998000,-14760000,-13843000,-17917000
16,EBITDA ratio,-0.9636,-2.8750,-2.4545,-1.5000,-3.4286,-1.5000,-6.8000,-0.6688,-0.3519,-0.0136,0.0985,0.1655,-0.1336,-0.2527,-0.0264,-0.0781,-0.1074,-0.0308,-0.4016,-0.0695,-0.0382,-0.1851,-0.3706,-0.3965,-0.2735,-0.3459,-0.4333,-0.3905,-0.6077,-0.4572
17,Operating Income,-5500000,-7500000,-3900000,-1900000,-2500000,-2900000,-5100000,-4748156,-3633438,-364000,2481000,7441000,-9360000,-16980000,-4838000,-8970000,-8783000,-2960000,-11495000,-4004000,-2531000,-10996000,-17941000,-19915000,-14962000,-18038000,-20885000,-15621000,-18536000,-16431000
18,Operating Income ratio,-1.0000,-3.1250,-3.5455,-1.5833,-3.5714,-1.6111,-3.4000,-0.6779,-0.3762,-0.0203,0.0850,0.1516,-0.1543,-0.2740,-0.0694,-0.1341,-0.1359,-0.0683,-0.4383,-0.0820,-0.0441,-0.1949,-0.3765,-0.4108,-0.2888,-0.3844,-0.4525,-0.4133,-0.8137,-0.4193
19,Total Other Income Expenses (Gains),- -,- -,400000,- -,- -,200000,-5000000,44666,- -,79000,266000,226000,559000,-261000,311000,1853000,-225000,123000,-468000,-393000,-414000,-650000,-873000,-185000,-258000,605000,-568000,-2278000,1835000,338000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7667000,-8801000,-17241000,-4527000,-7117000,-9008000,-2837000,-11963000,-4397000,-2945000,-11646000,-18814000,-20100000,-15220000,-17433000,-21453000,-17899000,-16701000,-16093000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1562,-0.1451,-0.2782,-0.0649,-0.1064,-0.1394,-0.0654,-0.4562,-0.0900,-0.0513,-0.2064,-0.3948,-0.4146,-0.2938,-0.3715,-0.4648,-0.4735,-0.7331,-0.4107
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11391000,14413000,269000,162000,163000,121000,119000,58000,89000,111000,-164000,112000,178000,151000,-582000,63000,-44000,128000,65000
23,Net Income,-5500000,-7500000,-3100000,-2000000,-2500000,-2800000,-10300000,-4797137,-3727977,-408000,2630000,19058000,-23214000,-17510000,-4689000,-7280000,-9129000,-2956000,-12021000,-4486000,-3056000,-11482000,-18926000,-20278000,-15371000,-16851000,-21516000,-17855000,-16829000,-16158000
24,Net Income ratio,-1.0000,-3.1250,-2.8182,-1.6667,-3.5714,-1.5556,-6.8667,-0.6849,-0.3860,-0.0228,0.0901,0.3883,-0.3827,-0.2825,-0.0673,-0.1088,-0.1413,-0.0682,-0.4584,-0.0918,-0.0533,-0.2035,-0.3971,-0.4183,-0.2967,-0.3591,-0.4662,-0.4724,-0.7388,-0.4123
25,EPS,-26.35,-27.22,-1.73,-0.91,-0.91,-0.91,-2.99,-1.21,-0.82,-0.09,0.56,3.94,-4.33,-3.29,-0.87,-1.34,-1.65,-0.52,-2.12,-0.68,-0.46,-1.63,-2.11,-1.64,-1.36,-1.40,-1.05,-0.77,-0.56,-0.11
26,EPS Diluted,-26.35,-27.22,-1.73,-0.91,-0.91,-0.91,-2.99,-1.21,-0.82,-0.09,0.52,3.60,-4.33,-3.29,-0.87,-1.34,-1.65,-0.52,-2.12,-0.68,-0.46,-1.63,-2.11,-1.64,-1.36,-1.40,-1.05,-0.77,-0.56,-0.11
27,Weighted Average Shares Outstanding,936333,1703074,1788216,2197501,2660756,3088496,3475326,3981147,4423438,4501690,4598369,4843874,5348728,5318732,5415872,5503783,5578773,5602770,5641534,6490827,6838959,6976455,8998000,12397818,12925144,14751800,20588000,23202000,61136000,147746000
28,Weighted Average Shares Outstanding Diluted,936333,1703074,1788216,2197501,2660756,3088496,3475326,4037908,4423438,4501690,4989008,5301888,5348728,5318732,5415872,5503783,5578773,5602770,5641534,6490827,6838959,6976455,8998000,12397818,12925144,14751800,20588000,23202000,61136000,147746000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811240/000119312506056577/0001193125-06-056577-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811240/000095012310026447/0000950123-10-026447-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000095012311028240/0000950123-11-028240-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000119312512112386/0001193125-12-112386-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000119312513110112/0001193125-13-110112-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459014000856/0001564590-14-000856-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459015001392/0001564590-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459016014571/0001564590-16-014571-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459017003972/0001564590-17-003972-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459018005648/0001564590-18-005648-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459019006918/0001564590-19-006918-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459020013794/0001564590-20-013794-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459021017121/0001564590-21-017121-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000095017022004115/0000950170-22-004115-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,2000000,1200000,1600000,300000,200000,400000,1180982,2001884,2670000,3940000,11111000,6140000,8272000,14676000,14566000,11235000,2975000,1694000,3307000,2543000,1440000,31560000,11699000,8924000,11645000,8044000,5789000,17564000,29972000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25326000,9863000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1300000,2000000,1200000,1600000,300000,200000,400000,1180982,2001884,2670000,3940000,11111000,31466000,18135000,14676000,14566000,11235000,2975000,1694000,3307000,2543000,1440000,31560000,11699000,8924000,11645000,8044000,5789000,17564000,29972000
34,Net Receivables,1200000,200000,100000,100000,100000,1100000,600000,330840,758219,2095000,4790000,5771000,9635000,8404000,15193000,11266000,3758000,4229000,3331000,8899000,11680000,11127000,9004000,8948000,9784000,10124000,11112000,8760000,3059000,4238000
35,Inventory,1100000,600000,600000,400000,400000,1000000,1900000,658462,1221595,1887000,2792000,3752000,8180000,8623000,7774000,7627000,12410000,7861000,6987000,11312000,11142000,11378000,12508000,12566000,13523000,12298000,12248000,10995000,11157000,12929000
36,Other Current Assets,100000,100000,- -,100000,3600000,700000,400000,110062,179985,260000,1028000,2662000,1814000,1293000,1346000,2317000,1391000,1347000,1931000,1808000,1552000,1909000,1726000,1587000,1756000,1983000,1903000,1475000,3330000,2215000
37,Total Current Assets,3700000,2900000,1900000,2200000,4400000,3000000,3300000,2280346,4161683,6912000,12550000,23296000,51095000,36455000,38989000,35776000,28794000,16412000,13943000,25326000,26917000,25854000,54798000,34800000,33987000,36050000,33307000,27019000,35110000,49354000
38,PP&E,1100000,900000,400000,300000,200000,200000,400000,203529,2329305,392000,1733000,1973000,3025000,3827000,4851000,4040000,3040000,2180000,755000,1148000,1509000,1826000,1295000,3727000,4478000,3674000,1975000,1469000,2758000,2784000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000,2926000
40,Intangible Assets,600000,1100000,- -,- -,- -,100000,100000,126958,104158,91000,67000,5513000,4588000,4757000,1469000,1208000,613000,472000,342000,212000,300000,183000,114000,51000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,600000,1100000,- -,- -,- -,100000,100000,126958,104158,91000,67000,5513000,4588000,4757000,4395000,4134000,3539000,3398000,3268000,3138000,3226000,3109000,3040000,2977000,2926000,2926000,2926000,2926000,2926000,2926000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12678000,- -,- -,35000,50000,29000,17000,11000,8000,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,200000,100000,- -,100000,100000,100000,61480,3954,166000,45000,1041000,38000,90000,308000,308000,306000,170000,170000,187000,305000,249000,270000,747000,550000,334000,308000,433000,231000,220000
45,Total Non-Current Assets,1900000,2200000,500000,300000,300000,400000,600000,391967,2437417,649000,1845000,21205000,7651000,8674000,9589000,8532000,6914000,5765000,4204000,4481000,5056000,5184000,4605000,7451000,7954000,6934000,5209000,4828000,5915000,5930000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5600000,5100000,2400000,2500000,4700000,3400000,3900000,2672313,6599100,7561000,14395000,44501000,58746000,45129000,48578000,44308000,35708000,22177000,18147000,29807000,31973000,31038000,59403000,42251000,41941000,42984000,38516000,31847000,41025000,55284000
48,Accounts Payable,1200000,300000,100000,- -,100000,500000,800000,792073,945873,1656000,2082000,3590000,7147000,5000000,7699000,6151000,7509000,4887000,4029000,7804000,7663000,8560000,8357000,5960000,9125000,5109000,5953000,5332000,2651000,3309000
49,Short-Term Debt,300000,500000,- -,- -,- -,300000,1700000,1341925,1812411,1792000,3012000,2680000,- -,- -,- -,3552000,5404000,- -,2622000,- -,1637000,4633000,- -,167000,159000,- -,- -,13789000,305000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000,322000,139000,445000,638000,544000,714000,242000,165000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000,2468000,2246000,5431000,5649000,2603000,1123000,1650000,2301000,3808000,3749000,2606000,3240000,3111000,2652000,2497000,2237000,1905000,2259000
52,Other Current Liabilities,1100000,1000000,600000,700000,700000,500000,700000,1477587,1609367,2329000,3972000,6226000,11530000,16387000,8933000,9431000,8255000,5600000,11359000,6177000,6267000,4997000,5188000,5739000,5619000,5609000,7517000,4421000,6362000,8276000
53,Total Current Liabilities,2600000,1800000,700000,700000,800000,1300000,3200000,3611585,4367651,5777000,9066000,12640000,21145000,23633000,22063000,24783000,23771000,11610000,19660000,16282000,19375000,21939000,16151000,15106000,18014000,13370000,15967000,25779000,11223000,13844000
54,Long-Term Debt,200000,- -,- -,- -,- -,- -,- -,- -,1174578,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10836000,- -,16186000,1449000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1875000,1975000,433000,25000,3000,1000,- -,142000,23000,11000,- -,358000,374000,329000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000,202000,271000,342000,376000,473000,544000,594000,663000,617000,677000,738000,798000,104000,77000,78000,- -,- -
57,Other Non-Current Liabilities,- -,600000,- -,- -,- -,- -,- -,- -,- -,205000,142000,79000,3462000,- -,4278000,2692000,296000,190000,557000,337000,138000,- -,519000,1340000,1041000,239000,547000,5255000,3214000,14454000
58,Total Non-Current Liabilities,200000,600000,- -,- -,- -,- -,- -,- -,1174578,205000,142000,79000,3623000,202000,4549000,3034000,2547000,2638000,1534000,956000,804000,618000,1196000,2220000,1862000,354000,11460000,5691000,19774000,16232000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000,159000,- -,- -,323000,2079000,- -
61,Total Liabilities,2800000,2400000,700000,700000,800000,1300000,3200000,3611585,5542229,5982000,9208000,12719000,24768000,23835000,26612000,27817000,26318000,14248000,21194000,17238000,20179000,22557000,17347000,17326000,19876000,13724000,27427000,31470000,30997000,30076000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,17583,19367,20000,20000,22000,25000,26000,26000,26000,27000,27000,27000,33000,34000,38000,58000,58000,68000,102000,21000,31000,98000,154000
64,Retained Earnings,-9700000,-17300000,-20300000,-22300000,-24800000,-27600000,-38000000,-42766545,-46494522,-46903000,-44273000,-27281000,-50985000,-68495000,-73184000,-80620000,-89749000,-92705000,-104726000,-109212000,-112268000,-123750000,-142676000,-162954000,-178325000,-195176000,-216692000,-234547000,-251376000,-267534000
65,Other Comprehensive Income/Loss,-600000,-800000,-800000,-900000,-1000000,-1100000,-1200000,-1300917,-249087,-312000,-57000,-147000,-225000,-322000,108000,54000,-187000,-222000,-324000,-360000,-320000,-274000,-557000,-801000,-876000,-576000,-670000,-701000,-385000,-623000
66,Other Total Stockholders Equity,13100000,20800000,22800000,25000000,29700000,30800000,39900000,43110607,47781113,48774000,49497000,59188000,85163000,90085000,95016000,97031000,99299000,100829000,101976000,122108000,124348000,132467000,185231000,188622000,201198000,224910000,228430000,235594000,261573000,293211000
67,Total Stockholders Equity,2800000,2700000,1700000,1800000,3900000,2100000,700000,-939272,1056871,1579000,5187000,31782000,33978000,21294000,21966000,16491000,9390000,7929000,-3047000,12569000,11794000,8481000,42056000,24925000,22065000,29260000,11089000,377000,10028000,25208000
68,Total Liabilities And Stockholders Equity,5600000,5100000,2400000,2500000,4700000,3400000,3900000,2672313,6599100,7561000,14395000,44501000,58746000,45129000,48578000,44308000,35708000,22177000,18147000,29807000,31973000,31038000,59403000,42251000,41941000,42984000,38516000,31847000,41025000,55284000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5600000,5100000,2400000,2500000,4700000,3400000,3900000,2672313,6599100,7561000,14395000,44501000,58746000,45129000,48578000,44308000,35708000,22177000,18147000,29807000,31973000,31038000,59403000,42251000,41941000,42984000,38516000,31847000,41025000,55284000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811240/000119312506056577/0001193125-06-056577-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811240/000095012310026447/0000950123-10-026447-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000095012311028240/0000950123-11-028240-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000119312512112386/0001193125-12-112386-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000119312513110112/0001193125-13-110112-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459014000856/0001564590-14-000856-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459015001392/0001564590-15-001392-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459016014571/0001564590-16-014571-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459017003972/0001564590-17-003972-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459018005648/0001564590-18-005648-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459019006918/0001564590-19-006918-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459020013794/0001564590-20-013794-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459021017121/0001564590-21-017121-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000095017022004115/0000950170-22-004115-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5500000,-7500000,-3100000,-2000000,-2500000,-2800000,-10300000,-4797137,-3727977,-408000,2630000,19058000,-23214000,-17510000,-4689000,-7280000,-9129000,-2956000,-12021000,-4486000,-3056000,-11482000,-18926000,-20278000,-15371000,-16851000,-21516000,-17855000,-16829000,-16158000
74,Depreciation and Amortization,200000,600000,400000,200000,100000,100000,100000,112392,165896,165000,246000,401000,696000,1233000,2301000,1895000,1909000,1444000,1070000,695000,513000,601000,696000,880000,1048000,1203000,945000,982000,499000,400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14320000,41000,34000,61000,52000,109000,77000,3000,61000,-30000,60000,61000,60000,-694000,-27000,7000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1735000,1357000,727000,1528000,1623000,1715000,1233000,3350000,3065000,2207000,2768000,2742000,3370000,1662000
77,Change in Working Capital,-500000,- -,100000,300000,2100000,-1900000,-1600000,-1431239,1125271,1340968,2349000,7172000,19294000,-17128000,4104000,-5933000,-5970000,-221000,-10519000,14761000,-1502000,-3627000,34732000,-18953000,-3721000,6707000,-5340000,-16100000,22647000,11623000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7457000,-290000,978000,-5642000,-3222000,264000,826000,-52000,-644000,-337000,-1458000,655000,4286000,-978000
79,Inventory,-600000,-100000,-100000,200000,- -,-800000,-1000000,1189929,-889394,-773000,-912000,-857000,-4813000,-1155000,709000,59000,-4887000,3459000,874000,-4716000,-160000,-1436000,-1715000,-705000,-1989000,419000,-127000,840000,-871000,-275000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-347000,-999000,451000,-640000,3322000,-5003000,1762000,- -,-2107000,1765000
81,Other Working Capital,1100000,1100000,1200000,1500000,3600000,1700000,100000,-1331239,-205968,1135000,3484000,10656000,29950000,12822000,16926000,10993000,5023000,4802000,-5717000,9044000,7542000,3915000,38647000,19694000,15973000,22680000,17340000,1240000,23887000,35510000
82,Other Non-Cash Items,400000,1100000,- -,-200000,-1900000,600000,7000000,4218647,-1341620,-2134968,-4590000,-20303000,-12667000,16313000,-1325000,7988000,6883000,-2304000,16854000,-25821000,697000,3527000,-33996000,17168000,4272000,-10984000,9023000,17478000,-22482000,-14237000
83,Cash Provided by Operating Activities,-5400000,-5800000,-2600000,-1700000,-2200000,-4000000,-4800000,-1897337,-3778430,-1037000,635000,6328000,-1571000,-17051000,425000,-3269000,-4520000,-2571000,-3812000,-13320000,-1664000,-9296000,-16201000,-17772000,-10647000,-18412000,-14147000,-12746000,-12795000,-16710000
84,CAPEX,-800000,-300000,-100000,- -,-100000,-100000,-300000,-67918,-1068872,-154000,-478000,-455000,-1431000,-1864000,-2325000,-875000,-981000,-449000,-237000,-428000,-822000,-685000,-198000,-1803000,-1414000,-747000,-558000,-207000,-96000,-707000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-4000000,- -,-2500000,- -,- -,- -,- -,- -,-76970000,-19977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,400000,- -,- -,- -,- -,2900000,2900000,251485,- -,- -,- -,- -,51773000,35291000,9981000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-600000,- -,- -,-100000,500000,-100000,-100000,- -,- -,2251000,- -,- -,-70000,- -,53000,- -,- -,5000,- -,- -,110000,-10000,1000,25000,- -,- -,36000,- -,- -,- -
89,Cash Used for Investing Activites,-1000000,-300000,-100000,-100000,-3600000,2700000,- -,183567,-1068872,2097000,-478000,-2280000,-26698000,13450000,7709000,-875000,-981000,-444000,-237000,-428000,-698000,-685000,-197000,-1778000,-1414000,-747000,-522000,-207000,-96000,-707000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27488000,-9697000,- -,-2700000,-14963000,-32104000,-21508000,-107000,-171000,-146000,-3742000,- -,-3700000,-25000
91,Common Stock Issued,7100000,6400000,2100000,2100000,4500000,900000,3700000,2833313,5651140,803000,1035000,3577000,43120000,1244000,3086000,727000,- -,- -,- -,17223000,- -,5201000,51118000,- -,9520000,21761000,- -,9171000,6912000,14420000
92,Common Stock Repurchased,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16399000,- -,- -,- -,- -,- -,- -,-268000,-235000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-689000,-689000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17378000,546000
94,Other Financing Activites,-300000,200000,-200000,- -,- -,300000,1400000,-363100,17064,-1195000,- -,-457000,-2680000,5000000,-5000000,3552000,29872000,4466000,2814000,1132000,16757000,35750000,17142000,2000,1000,3000,14977000,1550000,3759000,15013000
95,Cash Used/Provided by Financing Activities,6500000,6600000,1900000,2100000,4500000,1200000,5100000,2470213,5668204,-392000,1035000,3120000,23352000,5555000,-1914000,4279000,2384000,-5231000,2814000,15387000,1559000,8847000,46752000,-105000,9350000,21618000,11235000,10721000,24349000,29954000
96,Effect of Forex Changes on Cash,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,78000,3000,-54000,178000,184000,-245000,-214000,-14000,-46000,-26000,39000,31000,-234000,-206000,-64000,262000,-106000,-23000,317000,-238000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,756443,820902,668000,1270000,7171000,-4971000,2132000,6404000,-110000,-3331000,-8260000,-1281000,1613000,-764000,-1103000,30120000,-19861000,-2775000,2721000,-3540000,-2255000,11775000,12299000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,1180982,2001884,2670000,3940000,11111000,6140000,8272000,14676000,14566000,11235000,2975000,1694000,3307000,2543000,1440000,31560000,11699000,8924000,11645000,8356000,6101000,17876000,30175000
99,Cash at the Beginning of Period,1200000,1300000,2000000,1200000,1600000,300000,200000,424539,1180982,2002000,2670000,3940000,11111000,6140000,8272000,14676000,14566000,11235000,2975000,1694000,3307000,2543000,1440000,31560000,11699000,8924000,11896000,8356000,6101000,17876000
100,Free Cash Flow,-6200000,-6100000,-2700000,-1700000,-2300000,-4100000,-5100000,-1965255,-4847302,-1191000,157000,5873000,-3002000,-18915000,-1900000,-4144000,-5501000,-3020000,-4049000,-13748000,-2486000,-9981000,-16399000,-19575000,-12061000,-19159000,-14705000,-12953000,-12891000,-17417000
