,https://roic.ai/company/PARR,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,1100000,500000,300000,400000,2000000,700000,400000,300000,1630284,3595000,7449000,8667000,14953000,61589000,63369000,133069000,222896000,192452000,146806000,23348000,59926000,558373000,460789000,531752000,403108000,603544000,586592000,1032174000,636469000,1130171000
38,PP&E,- -,11800000,10400000,10000000,8900000,9000000,9100000,8900000,9200000,17876176,24931000,65984000,77818000,256339000,621154000,841645000,930027000,1432140000,1146243000,868566000,360560000,5846000,108604000,112935000,195140000,451262000,450016000,538261000,1382016000,1289931000,1240329000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7747000,7747000,- -,- -,- -,- -,7756000,20603000,20786000,41327000,105732000,107187000,153397000,195919000,127997000,127262000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2341000,- -,- -,- -,- -,- -,- -,8809000,11170000,7506000,34368000,29912000,26604000,23947000,21549000,18892000,16234000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2341000,7747000,7747000,- -,- -,- -,- -,16565000,31773000,28292000,75695000,135644000,133791000,177344000,217468000,146889000,143496000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,17000000,219966000,107444000,3377000,3649000,104434000,101796000,104657000,76203000,108823000,127192000,136656000,46905000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,800000,800000,900000,400000,500000,600000,1000000,1900000,1550812,1306000,644000,362000,1412000,6987000,13583000,17352000,20412000,11346000,5363000,340000,2811000,26539000,34334000,13471000,46596000,32864000,21881000,21997000,60572000,56255000
45,Total Non-Current Assets,- -,12600000,11200000,10900000,9300000,9500000,9700000,9900000,11100000,19426988,26237000,66628000,78180000,257751000,631804000,865975000,972126000,1672518000,1265033000,877306000,364549000,129656000,268712000,280218000,360509000,742325000,743863000,874142000,1668386000,1497392000,1440080000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,13700000,11700000,11200000,9700000,11500000,10400000,10300000,11400000,21057272,29832000,74077000,86847000,272704000,693393000,929344000,1105195000,1895414000,1457485000,1024112000,387897000,189582000,827085000,741007000,892261000,1145433000,1347407000,1460734000,2700560000,2133861000,2570251000
48,Accounts Payable,- -,600000,400000,400000,600000,300000,800000,600000,400000,1636651,2071000,3488000,3604000,12326000,67772000,84439000,119783000,159024000,44225000,36185000,16179000,25329000,28870000,33064000,27428000,65190000,52543000,54787000,162402000,106945000,154543000
49,Short-Term Debt,- -,- -,- -,- -,- -,2700000,- -,- -,100000,1765653,3038000,3498000,10039000,109000,7073000,816000,13000,294475000,83268000,167464000,265000000,35000000,3250000,29100000,11000000,20286000,363756000,33000,12297000,59933000,64481000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28641000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9522000,6681000,7905000,4083000,- -
52,Other Current Liabilities,- -,700000,4000000,3400000,3500000,700000,500000,200000,100000,213121,46000,734000,2258000,1855000,31927000,14324000,23400000,111029000,144707000,15113000,52986000,9648000,426588000,248642000,326612000,297289000,45131000,445700000,851718000,707719000,1136769000
53,Total Current Liabilities,- -,1300000,4400000,3800000,4100000,3700000,1300000,800000,600000,3615425,5155000,7720000,15901000,14290000,106772000,99579000,143196000,564528000,272200000,218762000,334165000,69977000,458708000,310806000,365040000,382765000,470952000,507201000,1034322000,878680000,1355793000
54,Long-Term Debt,- -,1300000,1300000,1300000,- -,- -,- -,- -,900000,6479115,6396000,21441000,22175000,69375000,241659000,366448000,413059000,546716000,473036000,287407000,- -,7391000,94030000,107510000,154212000,350110000,384812000,392607000,599634000,648660000,896502000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3660000,9085000,1024000,- -,- -,- -,- -,216000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,400000,1000000,1000000,100000,- -,-100000,- -,100000,- -,- -,- -,868000,2797000,9011000,4034000,4154000,6585000,15129000,6348000,3507000,11457000,37315000,30532000,32398000,43649000,43924000,48597000,418362000,360247000,52256000
58,Total Non-Current Liabilities,- -,1700000,2300000,2300000,100000,- -,-100000,- -,1000000,6479115,6396000,21441000,23043000,72172000,250670000,374142000,426298000,554325000,488165000,293755000,3507000,18848000,131561000,138042000,186610000,393759000,428736000,441204000,1017996000,1008907000,948758000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1526000,1295000,1175000,1780000,1220000,6123000,427135000,369245000,396425000
61,Total Liabilities,- -,3000000,6700000,6100000,4200000,3700000,1200000,800000,1600000,10094540,11551000,29161000,38944000,86462000,357442000,473721000,569494000,1118853000,760365000,512517000,337672000,88825000,590269000,448848000,551650000,776524000,899688000,948405000,2052318000,1887587000,2304551000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,84221,112000,226000,233000,384000,478000,534000,664000,1034000,2825000,2851000,288000,150000,301000,371000,410000,455000,458000,470000,533000,540000,602000
64,Retained Earnings,- -,-4800000,-4900000,-6300000,-9800000,-13200000,-15600000,-16600000,-19600000,-22945409,-22600000,-28853000,-27596000,-22540000,-8080000,-7645000,-156992000,-603539000,-939010000,-1121342000,-1591453000,-8839000,-79460000,-135053000,-174964000,-220799000,-148178000,-108751000,-67942000,-477028000,-559117000
65,Other Comprehensive Income/Loss,- -,-8600000,-1600000,-1900000,-1400000,-1800000,-2100000,-2200000,-1700000,-2538030,-5024000,-7018000,-12669000,-21665000,-4997000,5000000,-245153000,-658279000,-800501000,-517414000,-475609000,-373000,-3968000,-11510000,-26845000,2000000,2000000,3000000,1000000,-3742000,2502000
66,Other Total Stockholders Equity,- -,23900000,11500000,13300000,16700000,22800000,26900000,28300000,31000000,36361950,45793000,80561000,87935000,229818000,- -,430344000,909886000,2008241000,2425268000,2150352000,2116999000,109819000,319943000,438351000,542010000,587253000,593439000,617610000,714651000,726504000,821713000
67,Total Stockholders Equity,- -,10500000,5000000,5100000,5500000,7800000,9200000,9500000,9800000,10962732,18281000,44916000,47903000,185997000,320455000,428233000,508405000,747457000,688582000,514447000,50225000,100757000,236816000,292159000,340611000,368909000,447719000,512329000,648242000,246274000,265700000
68,Total Liabilities And Stockholders Equity,- -,13500000,11700000,11200000,9700000,11500000,10400000,10300000,11400000,21057272,29832000,74077000,86847000,272459000,677897000,901954000,1077899000,1866310000,1448947000,1026964000,387897000,189582000,827085000,741007000,892261000,1145433000,1347407000,1460734000,2700560000,2133861000,2570251000
69,Minority Interest,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000,15496000,27390000,27296000,29104000,8538000,-2852000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,13700000,11700000,11200000,9700000,11500000,10400000,10300000,11400000,21057272,29832000,74077000,86847000,272704000,693393000,929344000,1105195000,1895414000,1457485000,1024112000,387897000,189582000,827085000,741007000,892261000,1145433000,1347407000,1460734000,2700560000,2133861000,2570251000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821483/000095013407005110/0000950134-07-005110-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000095013408003867/0000950134-08-003867-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000103570409000006/0001035704-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000095012310023993/0000950123-10-023993-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000095012311026001/0000950123-11-026001-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000119312512377175/0001193125-12-377175-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000119312513128763/0001193125-13-128763-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000114420414019548/0001144204-14-019548-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000162828015001714/0001628280-15-001714-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148316000040/0000821483-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148317000010/0000821483-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148318000017/0000821483-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148319000014/0000821483-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148320000009/0000821483-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148321000018/0000821483-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/821483/000082148322000017/0000821483-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-4500000,-1800000,- -,-3600000,-3300000,-2500000,-1000000,-3000000,-3367050,345000,-6253000,1257000,5056000,15050000,435000,-149347000,-451996000,-328783000,-182332000,-470111000,- -,-70621000,-47041000,-39911000,-45835000,72621000,39427000,40809000,-409086000,-81297000
74,Depreciation and Amortization,- -,200000,700000,- -,600000,900000,400000,300000,200000,1354370,3039000,3929000,6246000,10566000,24020000,84795000,102525000,113259000,131422000,92071000,- -,16400000,- -,- -,- -,- -,- -,- -,- -,90036000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3045000,-502000,4113000,-11723000,215000,610000,956000,-2800000,179000,-257000,-16489000,-7935000,-1321000,661000,-66886000,-20895000,-260000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15638000,9695000,11467000,8003000,34000,1161000,3970000,5165000,6625000,7204000,6196000,6437000,7342000,8165000
77,Change in Working Capital,- -,500000,-200000,- -,2000000,1100000,200000,100000,-1685141,425141,1289000,-6963000,7897000,-27779000,-18067000,8973000,26083000,-331505000,261884000,7792000,-238861000,300766000,109716000,50318000,16729000,-146369000,112249000,-53201000,-81539000,-240063000,21557000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337000,13913000,-6849000,1535000,-2234000,-45698000,5608000,54529000,-17162000,-19100000,-35790000,-36652000,117801000,-83955000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1350000,-5062000,434000,-1385000,-2922000,-1225000,-175000,-68000,- -,40141000,59085000,31913000,49015000,-146533000,31840000,-195440000,171880000,-350652000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17590000,-18924000,-19199000,861000,2718000,15829000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-3500000,-3700000,- -,-1700000,-600000,-400000,-300000,-1985141,-1560000,-271000,-7234000,663000,-27116000,-45183000,-36210000,-10127000,-341632000,-79748000,-71956000,-310817000,-10051000,99665000,149983000,166712000,20343000,132592000,79391000,-2148000,-242211000,209565000
82,Other Non-Cash Items,- -,4100000,1700000,- -,500000,-800000,600000,-900000,2985141,443448,-1749000,7417000,-7401000,21780000,26904000,-40315000,101018000,807003000,6711000,38854000,701003000,-339300000,-76112000,-61594000,166864000,169623000,-84270000,97537000,206809000,535452000,24213000
83,Cash Provided by Operating Activities,- -,300000,400000,- -,-500000,-2100000,-1300000,-1500000,-1500000,-1144091,2924000,-1870000,7999000,9623000,44862000,53386000,84392000,140676000,81144000,-31538000,990000,-24900000,-35677000,-54604000,132358000,-23891000,106483000,90620000,105630000,-37214000,-27622000
84,CAPEX,- -,-200000,-300000,- -,-400000,-600000,-1100000,-600000,-500000,-7759804,-11613000,-17959000,-15637000,-158504000,-217466000,-282609000,-354742000,-510917000,-167640000,-44188000,-57587000,-1600000,-8071000,-14300000,-22345000,-24833000,-31708000,-48439000,-83920000,-63522000,-29533000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8564000,-4500000,-221815000,- -,6654000,1517000,-17439000,-559279000,-10594000,-91860000,-264183000,- -,-128198000,-273399000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10148000,-6965000,- -,- -,- -,- -,- -,-12000,-27529000,-55000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,200000,1600000,135441,- -,460000,- -,- -,- -,- -,- -,- -,2325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,300000,-100000,- -,- -,- -,500000,1000000,-1000000,-606812,3531000,4387000,989000,10066000,33584000,88088000,44366000,-242919000,17948000,235372000,143719000,73939000,-5221000,-13693000,5184000,32940000,-31171000,-47623000,-79830000,-63464000,74628000
89,Cash Used for Investing Activites,- -,100000,-400000,- -,- -,-600000,-600000,600000,100000,-8231175,-8082000,-13112000,-14648000,-148438000,-183882000,-203085000,-325024000,-982616000,-147367000,197838000,87649000,54900000,-564500000,-24299000,-114205000,-286243000,-31171000,-175821000,-353229000,-63464000,74628000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-135753000,-281017000,-248216000,-104992000,- -,-121909000,-331530000,-486459000,-202165000,-610400000,-118751000,-241336000,-201134000,-329315000
91,Common Stock Issued,- -,- -,100000,- -,- -,4700000,700000,500000,500000,2401536,3902000,632000,975000,101465000,132000,37581000,202221000,662043000,246905000,- -,- -,- -,199170000,103949000,76056000,49044000,- -,19318000,- -,- -,87193000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1368000,- -,-747000,-996000,- -,- -,- -,-1034000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-400000,- -,- -,500000,-100000,- -,- -,1000000,7176599,1472000,14856000,6921000,37157000,139051000,114265000,40836000,372700000,96778000,36398000,16021000,-36700000,554792000,357633000,471862000,343239000,605649000,141376000,541544000,243693000,241028000
95,Cash Used/Provided by Financing Activities,- -,-400000,100000,- -,500000,4300000,700000,500000,1500000,9578135,5374000,15488000,7896000,138622000,139183000,151846000,243057000,897622000,62666000,-212565000,-89967000,-36700000,632053000,130052000,60425000,190118000,-4751000,41943000,300208000,42559000,-1094000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-400000,100000,- -,500000,4300000,700000,500000,1500000,202869,216000,506000,1247000,-193000,163000,2147000,2425000,55682000,-3557000,-46265000,-1328000,-6700000,31876000,51149000,78578000,-120016000,70561000,-43258000,52609000,-58119000,45912000
