,https://roic.ai/company/WELL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-800000,900000,1200000,1100000,9300000,5639445,11938269,6083160,8189000,7783000,4391000,-17573000,-2308000,-6570000,-11046000,-109633000,-4808000,132153000,-72198000,-415961000,92856000,-178264000,-27418000,-1790588000,1580351000,-945604000,-153544000,-496631000,817732000,318251000,-528650000,-4376067000,-87240000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,10300000,13200000,14800000,18300000,23200000,31977440,27152786,36219735,56008000,75746000,96133000,82699000,88682000,105367000,129521000,144025000,173755000,216446000,263883000,335654000,381259000,364741000,588224000,818133000,988497000,1138670000,1373468000,1628695000,1434177000,1583944000,1535968000,1364756000,1275325000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-5700000,- -,-15353050,-2976000,-66082923,-135835000,-270015000,-215491000,-46449000,-147081000,-409706000,-410413000,-1552507000,-599291000,-429183000,-631209000,-1072376000,-640129000,-2094968000,-4918286000,610271000,234463000,713184000,579403000,1946937000,1145299000,1381164000,2327162000,-17472000,-19352000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182571000,-141963000,- -,- -,- -,- -,-3572846000,-3697724000,-2564096000,-3525214000,-2247005000,-919629000,-3697214000,-4239314000,-1314910000,-4480194000
86,Purchases of Investments,- -,- -,- -,- -,-12800000,-29400000,- -,- -,-111500000,-118204990,-107296680,-168845040,-128340000,-126247000,-58113000,-36459000,-49197000,-88744000,-110292000,-61888000,-40715000,-281322000,-400855000,- -,- -,- -,-25770000,- -,- -,- -,- -,- -,- -,- -,- -,-13319000,-26595000
87,Sales/Maturities of Investments,- -,- -,- -,- -,10600000,17400000,100000,500000,12100000,48760717,69696762,60658661,49750000,38629000,42731000,70567000,94337000,92970000,57081000,55473000,98638000,82255000,52346000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7726000,7519000
88,Other Investing Activites,- -,- -,- -,- -,-100000,- -,-20000000,-15300000,43900000,38330065,-3150,9287790,2356000,11050000,17668000,106440000,22317000,52050000,74878000,41600000,92299000,250006000,236345000,61880000,328899000,-237863000,410763000,-20133000,166131000,437890000,41054000,1937502000,1074210000,1310743000,2190523000,3668431000,-16998000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2300000,-12000000,-19900000,-20500000,-55500000,-46467258,-40579068,-164981512,-212069000,-346583000,-213205000,94099000,-79624000,-353430000,-388746000,-507362000,-449069000,-560815000,-885336000,-1010496000,-270060000,-2312039000,-4520129000,-3592979000,-3531593000,-2126206000,-3484160000,-309503000,154581000,-2386471000,-2048791000,2347928000,-4516268000
90,Debt Repayment,- -,- -,- -,- -,-28000000,-47100000,-7400000,-3300000,-268800000,-234938325,-141513151,-14904062,-15325000,-23241000,-87000,-99091000,-168740000,-76633000,-114391000,-42514000,-305164000,-30000000,-37758000,-100924000,-738784000,-713253000,-85114000,-1386734000,-1191728000,-707027000,-1132220000,-1619622000,-1149346000,-1812841000,-3619723000,-2282592000,-197618000
91,Common Stock Issued,- -,- -,- -,- -,- -,1100000,38700000,4400000,67100000,3221667,3104492,135800000,139600000,90120000,4552000,4129000,82999000,166534000,231435000,66281000,165062000,182069000,491593000,782285000,704533000,995438000,2137594000,3581292000,1854637000,2343868000,1755722000,534194000,621987000,789575000,1056125000,595313000,2348201000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000000,- -,- -,- -,- -,- -,- -,- -,- -,-275000000,- -,- -,- -,- -,-287500000,- -,- -,-7656000,- -
93,Dividends Paid,- -,- -,- -,- -,-9800000,-10600000,-12000000,-15900000,-18300000,-23126638,-24214766,-28427221,-45804000,-60716000,-77189000,-80327000,-85270000,-97139000,-111081000,-135724000,-154142000,-199828000,-208099000,-276860000,-333839000,-370223000,-544248000,-722450000,-906275000,-1035069000,-1210133000,-1298925000,-1325617000,-1348863000,-1400712000,-1119232000,-1035906000
94,Other Financing Activites,- -,- -,- -,- -,31600000,53700000,-11600000,16600000,257000000,265372249,175974608,36014100,78390000,264562000,190656000,-794000,168935000,255025000,443208000,370561000,586032000,392107000,369770000,263442000,268997000,2131430000,2455585000,2448020000,1911036000,701400000,2593080000,1143905000,226949000,3190497000,4541460000,733309000,452987000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-6200000,-2900000,5200000,1800000,37000000,10528953,13351183,128482817,156861000,270725000,117932000,-176083000,-2076000,247787000,374171000,258604000,291788000,344348000,615506000,667943000,-99093000,2043392000,3963817000,3645128000,1667670000,1303172000,2006449000,-1240448000,-1913527000,818368000,577150000,-2080858000,1567664000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,442000,-690000,-8575000,-20274000,26852000,-9015000,5310000,3451000,-1009000
97,Net Change In Cash,- -,- -,- -,- -,-6200000,-2900000,5200000,1800000,37000000,-3960865,-75099,-278960,800000,-112000,860000,715000,6982000,-276000,114946000,-104733000,16474000,-21000,-5947000,-6899000,12106000,96094000,31912000,870282000,-874984000,314946000,-112818000,58470000,-297917000,6826000,69637000,1635277000,-1674288000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,935449,860350,581390,1381000,1269000,2129000,2844000,9826000,9550000,124496000,19763000,36237000,36216000,30269000,23370000,35476000,131570000,163482000,1033764000,158780000,473726000,360908000,419378000,309303000,316129000,385766000,2021043000,346755000
99,Cash at the Beginning of Period,- -,- -,- -,- -,500000,2300000,500000,600000,300000,4896314,935449,860350,581000,1381000,1269000,2129000,2844000,9826000,9550000,124496000,19763000,36237000,36216000,30269000,23370000,35476000,131570000,163482000,1033764000,158780000,473726000,360908000,607220000,309303000,316129000,385766000,2021043000
100,Free Cash Flow,- -,- -,- -,- -,10300000,13200000,14800000,12600000,23200000,16624390,24176786,-29863188,-79827000,-194269000,-119358000,36250000,-58399000,-304339000,-280892000,-1408482000,-425536000,-212737000,-367326000,-736722000,-258870000,-1730227000,-4330062000,818133000,852665000,1005890000,1185716000,1409549000,1183901000,1317761000,1207144000,1347284000,1255973000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766704/000095015295000288/0000950152-95-000288-index.html,https://www.sec.gov/Archives/edgar/data/766704/000076670496000006/0000766704-96-000006-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766704/000095015201001541/0000950152-01-001541-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/766704/000095015205002226/0000950152-05-002226-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095015206001977/0000950152-06-001977-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095015207001691/0000950152-07-001691-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095015208001476/0000950152-08-001476-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095015209002082/0000950152-09-002082-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095012310018352/0000950123-10-018352-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095012311018750/0000950123-11-018750-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000095012312002707/0000950123-12-002707-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670413000006/0000766704-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670414000006/0000766704-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670415000012/0000766704-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670416000055/0000766704-16-000055-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670417000012/0000766704-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670418000012/0000766704-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670419000014/0000766704-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670420000015/0000766704-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/766704/000076670421000018/0000766704-21-000018-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
