,https://roic.ai/company/LSCC,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,81100000,160600000,174700000,206800000,- -,- -,- -,107405000,242474000,251479000,224856000,192771000,47731000,- -,31400000,19900000,68711000,64900000,101500000,- -,139200000,10308000,4982000,9624000,- -,- -,- -
33,Cash and Short-Term Investments,- -,6100000,23800000,5200000,6900000,10800000,18400000,88800000,215200000,228600000,267100000,- -,- -,- -,276880000,277750000,296295000,264192000,233208000,85063000,- -,85100000,176000000,210134000,183400000,215800000,- -,254800000,116860000,111797000,128675000,118081000,- -,182332000
34,Net Receivables,- -,4000000,6800000,7300000,8700000,82800000,11700000,18100000,22900000,25900000,28200000,- -,- -,- -,26374000,26796000,19587000,23577000,22545000,29293000,- -,26400000,33600000,36993000,46900000,50100000,- -,62400000,99637000,55104000,60890000,64917000,- -,64581000
35,Inventory,- -,3600000,4100000,6900000,6100000,13500000,13800000,14100000,21800000,27800000,22600000,- -,- -,- -,56241000,46630000,38634000,28581000,38816000,40005000,- -,32700000,25900000,37278000,44200000,46200000,- -,64900000,79168000,79903000,67096000,54980000,- -,64599000
36,Other Current Assets,- -,300000,400000,47700000,58400000,3200000,82100000,20100000,28900000,28300000,20200000,- -,- -,- -,35033000,51537000,46527000,24614000,35474000,37185000,- -,67600000,8000000,16200000,12600000,13700000,- -,16300000,19035000,16567000,27762000,24452000,- -,22331000
37,Total Current Assets,- -,14000000,35100000,67100000,80100000,110300000,126000000,141100000,288800000,310600000,338100000,- -,- -,- -,394528000,402713000,401043000,340964000,330043000,191546000,- -,211800000,243500000,300605000,287100000,325800000,- -,398400000,314700000,263371000,284423000,262430000,- -,333843000
38,PP&E,- -,4300000,5600000,12000000,11500000,18400000,19800000,20100000,25500000,27400000,36700000,- -,- -,- -,62786000,53800000,47586000,45450000,46696000,43617000,- -,40300000,36500000,40430000,40400000,41700000,- -,27800000,49481000,40423000,34883000,62821000,- -,61844000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223556000,- -,- -,- -,- -,44808000,44800000,44800000,- -,44800000,269758000,267514000,267514000,267514000,- -,267514000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379442000,308232000,264400000,250011000,15647000,5815000,- -,200000,- -,18377000,15400000,12500000,- -,9500000,118863000,51308000,21325000,6977000,- -,6321000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379442000,308232000,264400000,250011000,239203000,5815000,- -,200000,- -,63185000,60200000,57300000,- -,54300000,388621000,318822000,288839000,274491000,- -,273835000
42,Investments,- -,- -,- -,- -,- -,- -,- -,300000,14100000,48400000,63100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12939000,6946000,4717000,5241000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45130000,- -,- -,- -,- -,372000,- -,- -,- -,- -,577000
44,Other Non-Current Assets,- -,100000,100000,- -,100000,200000,300000,31400000,14500000,17100000,51200000,- -,- -,- -,104507000,86883000,97877000,79432000,109964000,135307000,- -,39600000,3661000,11628000,22183000,17859000,- -,30000000,13709000,13345000,15542000,12274000,- -,9968000
45,Total Non-Current Assets,- -,4400000,5700000,12000000,11600000,18600000,20100000,51800000,54100000,92900000,151000000,- -,- -,- -,546735000,448915000,409863000,374893000,395863000,184739000,- -,80100000,53100000,167319000,127500000,122100000,- -,112100000,452183000,372590000,339264000,349586000,- -,346224000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18400000,40800000,79100000,91700000,128900000,146100000,192900000,342900000,403500000,489100000,- -,- -,- -,941263000,851628000,810906000,715857000,725906000,376285000,- -,291900000,296600000,467924000,414600000,447900000,- -,510500000,766883000,635961000,623687000,612016000,- -,680067000
48,Accounts Payable,- -,- -,6900000,8500000,- -,17100000,6300000,- -,- -,- -,- -,- -,- -,- -,18860000,15376000,46364000,39001000,70442000,24065000,- -,- -,- -,- -,- -,- -,- -,- -,37800000,35350000,31880000,44350000,- -,27530000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33767000,1508000,8290000,26160000,- -,16911000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11983000,10564000,11399000,10449000,6230000,8033000,- -,5741000,10160000,10761000,10553000,7495000,- -,14946000,32985000,68000,215000,478000,- -,8492000
52,Other Current Liabilities,- -,5800000,2700000,6800000,15800000,13300000,14700000,35100000,44200000,43000000,54400000,- -,- -,- -,14879000,13161000,14797000,14437000,35054000,48913000,- -,23659000,27840000,41215000,42547000,51105000,- -,45754000,52998000,46721000,29033000,28831000,- -,26798000
53,Total Current Liabilities,- -,5800000,9600000,15300000,15800000,30400000,21000000,35100000,44200000,43000000,54400000,- -,- -,- -,45722000,39101000,72560000,63887000,111726000,81011000,- -,29400000,38000000,51976000,53100000,58600000,- -,60700000,157550000,83647000,69418000,99819000,- -,79731000
54,Long-Term Debt,- -,2600000,1200000,600000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,208061000,184000000,169000000,133500000,89120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,300855000,299667000,251357000,125072000,- -,176840000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,26345000,22415000,26755000,20386000,15488000,9042000,- -,7600000,5200000,22387000,4000000,3600000,- -,8900000,38048000,34954000,44455000,59466000,- -,39069000
58,Total Non-Current Liabilities,- -,2700000,1300000,600000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,234406000,206415000,195755000,153886000,104608000,9042000,- -,7600000,5200000,22387000,4000000,3600000,- -,8900000,338903000,334621000,295812000,184538000,- -,215909000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26124000,- -,23055000
61,Total Liabilities,- -,8500000,10900000,15900000,16100000,30400000,21000000,35100000,44200000,43000000,54400000,- -,- -,- -,280128000,245516000,268315000,217773000,216334000,90053000,- -,37000000,43200000,74363000,57100000,62200000,- -,69600000,496453000,418268000,365230000,284357000,- -,295640000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,200000,200000,200000,200000,- -,- -,- -,1124000,1130000,1136000,1136000,1145000,1151000,- -,1200000,1200000,1177000,1200000,1200000,- -,1200000,1216000,1239000,1297000,1339000,- -,1362000
64,Retained Earnings,- -,-20000000,-13200000,-2900000,8000000,25400000,47800000,74800000,116600000,161600000,218200000,- -,- -,- -,95195000,3389000,-48590000,-97709000,-94616000,-325049000,- -,-363300000,-370200000,-234908000,-264500000,-242200000,- -,-193600000,-406945000,-477862000,-476783000,-433290000,- -,-385898000
65,Other Comprehensive Income/Loss,- -,-6900000,-6800000,-7700000,-9700000,-13900000,-13900000,-24900000,-31400000,-39400000,-47800000,- -,- -,- -,-16171000,14759000,-225000,-518000,-230000,-1378000,- -,-533000,400000,-345000,-261000,-145000,- -,-1884000,-4156000,-1452000,-2331000,-2603000,- -,-1748000
66,Other Total Stockholders Equity,- -,36800000,49900000,73800000,77300000,87000000,91200000,107700000,213400000,238100000,264100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617572000,621960000,627637000,621111000,626825000,- -,635259000,680315000,695768000,736274000,762213000,- -,770711000
67,Total Stockholders Equity,- -,9900000,29900000,63200000,75600000,98500000,125100000,157800000,298800000,360500000,434700000,- -,- -,- -,661135000,606112000,542591000,498084000,509572000,286232000,- -,254939000,253360000,393561000,357550000,385680000,- -,440975000,270430000,217693000,258457000,327659000,- -,384427000
68,Total Liabilities And Stockholders Equity,- -,18400000,40800000,79100000,91700000,128900000,146100000,192900000,343000000,403500000,489100000,- -,- -,- -,941263000,851628000,810906000,715857000,725906000,376285000,- -,291939000,296560000,467924000,414650000,447880000,- -,510575000,766883000,635961000,623687000,612016000,- -,680067000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39000,40000,- -,-50000,20000,- -,-75000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,18400000,40800000,79100000,91700000,128900000,146100000,192900000,342900000,403500000,489100000,- -,- -,- -,941263000,851628000,810906000,715857000,725906000,376285000,- -,291900000,296600000,467924000,414600000,447900000,- -,510500000,766883000,635961000,623687000,612016000,- -,680067000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/855658/000119312509054024/0001193125-09-054024-index.html,https://www.sec.gov/Archives/edgar/data/855658/000119312510052435/0001193125-10-052435-index.html,https://www.sec.gov/Archives/edgar/data/855658/000085565812000035/0000855658-12-000035-index.html,https://www.sec.gov/Archives/edgar/data/855658/000085565813000021/0000855658-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/855658/000085565814000036/a201310-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/855658/000085565815000035/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/855658/000085565817000012/0000855658-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/855658/000085565818000027/0000855658-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/855658/000085565819000022/0000855658-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/855658/000085565820000025/0000855658-20-000025-index.html,undefined,https://www.sec.gov/Archives/edgar/data/855658/000143774921004238/0001437749-21-004238-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,6800000,10300000,10900000,17400000,22500000,27000000,41800000,45000000,56600000,42000000,167887000,-109519000,-175235000,-91806000,-51979000,-49119000,3093000,-239816000,- -,-38200000,-7000000,78232000,-29600000,22300000,- -,48600000,-54099000,-70562000,-26322000,43493000,- -,47392000
74,Depreciation and Amortization,- -,- -,1900000,2800000,2800000,4700000,5800000,6000000,7100000,8600000,9600000,10100000,102213000,106539000,94375000,99902000,68776000,33494000,27747000,26957000,- -,21933000,14210000,16666000,22149000,20807000,- -,22248000,61806000,57861000,39261000,33056000,- -,31100000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,-1000000,-3300000,-1800000,-2400000,-2000000,-2800000,100000,11481000,-55369000,110792000,- -,- -,- -,- -,- -,- -,- -,- -,-49376000,19224000,2358000,- -,-7222000,90000,-154000,-96000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4576000,6356000,7510000,9522000,- -,12802000,16213000,12543000,13646000,18899000,- -,40372000
77,Change in Working Capital,- -,- -,1200000,12500000,-56100000,17300000,26300000,12500000,15600000,25100000,1000000,138600000,23000000,16100000,65106000,14806000,-35129000,-51406000,-58760000,-107782000,- -,71865000,23100000,-22471000,-14629000,33200000,- -,70500000,-17536000,22574000,35281000,-52394000,- -,91501000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16012000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7147000,4553000,-9954000,-3138000,- -,-12287000,-11419000,44613000,-3978000,-4027000,- -,336000
79,Inventory,- -,- -,-500000,-2800000,800000,-7500000,-300000,-300000,-7600000,-6000000,5200000,5000000,-33457000,-5433000,12157000,9609000,7996000,10053000,-10235000,-1189000,- -,7302000,6778000,2618000,-6916000,-2028000,- -,-18703000,-3272000,-902000,13177000,12116000,- -,-9619000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5306000,3591000,- -,-7819000,8338000,-23588000,13325000,9261000,- -,-16820000
81,Other Working Capital,- -,- -,51800000,64300000,8200000,25500000,51800000,64300000,79900000,105000000,106000000,244600000,267600000,283700000,348806000,363612000,328483000,277077000,218317000,110535000,- -,182400000,205500000,248629000,234000000,267200000,- -,337700000,157150000,179724000,215005000,162611000,- -,254112000
82,Other Non-Cash Items,- -,- -,100000,-10400000,56200000,-14200000,-35400000,-48000000,-22400000,-69400000,-24700000,-127100000,-210286000,49216000,-49040000,11876000,24291000,47049000,13425000,292145000,- -,-29371000,64056000,32769000,-159000,-31683000,- -,-106806000,35260000,16252000,-10312000,81083000,- -,-118678000
83,Cash Provided by Operating Activities,- -,- -,10000000,15200000,13500000,24200000,15900000,-4300000,39700000,7300000,39700000,63700000,94295000,6967000,45998000,34778000,5959000,-19982000,-14495000,-28496000,- -,26227000,98942000,62176000,4495000,56504000,- -,40122000,41734000,38514000,51458000,124137000,- -,91687000
84,CAPEX,- -,- -,-2700000,-9200000,-2400000,-11700000,-7200000,-6300000,-12600000,-10600000,-18800000,-18400000,-25883000,-13751000,-17451000,-9793000,-10725000,-11286000,-13673000,-11038000,- -,-10128000,-7030000,-38641000,-19715000,-12500000,- -,-10267000,-25752000,-22391000,-16507000,-25191000,- -,-20868000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-256762000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,967000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-46100000,-10300000,-13700000,-5100000,-5900000,-79500000,-14100000,-32100000,-33400000,-199192000,- -,-132965000,-556086000,-257843000,-231553000,-225345000,-223332000,- -,-37841000,-8511000,-83259000,-50076000,-103861000,- -,-139792000,-7490000,-7420000,-9603000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18145000,316853000,421288000,278450000,27464000,13303000,323472000,- -,79063000,19932000,81313000,56408000,67318000,- -,107349000,14897000,12689000,5000000,9655000,- -,- -
88,Other Investing Activites,- -,- -,500000,-100000,100000,100000,- -,- -,100000,- -,- -,- -,-25883000,-7422000,- -,- -,- -,258196000,257430000,2249000,- -,1658000,-7030000,-84286000,-19715000,-19853000,- -,-1701000,-23780000,-13492000,-16507000,-25191000,- -,-20868000
89,Cash Used for Investing Activites,- -,- -,-2200000,-55400000,-12600000,-25300000,-12300000,-12200000,-92000000,-24700000,-50900000,-51800000,-225075000,-3028000,-90325000,-144591000,9882000,42821000,31715000,91351000,- -,32752000,4391000,-86232000,-13383000,-56396000,- -,-34144000,-17373000,-8260000,-21110000,-15536000,- -,-20868000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-805000,- -,- -,- -,- -,- -,-5154000,-35429000,-43759000,-321408000,- -,-26250000
91,Common Stock Issued,- -,- -,13800000,22600000,1600000,5400000,4100000,5800000,99200000,16700000,17600000,16200000,262236000,20978000,5676000,4701000,3186000,92000,4270000,2734000,- -,597000,413000,6173000,4382000,3076000,- -,12168000,7607000,6085000,29288000,17166000,- -,10103000
92,Common Stock Repurchased,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,-9200000,-9380000,-10614000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14436000,-17549000,-6161000,- -,-13089000,- -,- -,- -,- -,- -,-14989000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-3100000,-1000000,-800000,-300000,-100000,- -,- -,- -,- -,- -,- -,- -,-42077000,-29087000,-9487000,-28411000,-20389000,-68694000,- -,-43240000,-540000,-642000,-832000,-744000,- -,-3427000,-3565000,-3267000,-2370000,194330000,- -,23035000
