,https://roic.ai/company/KRG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,2642000,- -,- -,11516766,11145182,12606641,9281773,- -,-8920154,5381355,-12232069,-464193,-16428000,25435000,-323000,-1372000,-46678000,-284000,-16819000,-82032000
21,Income Before Tax Ratio,- -,0.0931,- -,- -,0.1159,0.0845,0.0909,0.0650,- -,-0.0880,0.0528,-0.1210,-0.0036,-0.0633,0.0733,-0.0009,-0.0038,-0.1318,-0.0009,-0.0631,-0.2197
22,Income Tax expense (Gain),- -,- -,- -,- -,1041463,965532,761628,1927830,- -,265986,-1294,-105984,262404,24000,186000,814000,-100000,-227000,-282000,-696000,-310000
23,Net Income,1511000,2238000,1744724,-524702,13435840,10179650,13522683,6093126,-1781766,-8270830,4981274,-4333847,-2849735,-5701000,27117000,1183000,11874000,-46567000,-534000,-16223000,-80806000
24,Net Income ratio,0.1404,0.0789,0.0629,-0.0107,0.1352,0.0772,0.0975,0.0427,-0.0155,-0.0816,0.0489,-0.0429,-0.0220,-0.0220,0.0781,0.0033,0.0331,-0.1315,-0.0017,-0.0608,-0.2165
25,EPS,0.35,0.52,0.41,-0.11,2.52,1.40,1.88,0.80,-0.12,-0.56,-0.04,-0.72,-0.48,-0.24,0.19,0.01,0.14,-0.56,-0.01,-0.19,-0.97
26,EPS Diluted,0.35,0.52,0.41,-0.11,2.48,1.40,1.84,0.80,-0.12,-0.56,-0.04,-0.72,-0.48,-0.24,0.18,0.01,0.14,-0.56,-0.01,-0.19,-0.97
27,Weighted Average Shares Outstanding,4287066,4287066,4287066,4287066,5351745,7183307,7227068,7582102,13036613,15810118,15889330,16721314,23535434,58353448,83421904,83436511,83585333,83693385,83926296,84142261,84556689
28,Weighted Average Shares Outstanding Diluted,4287066,4287066,4287066,4287066,5380015,7225778,7295246,7585112,13036613,15810118,15889330,16721314,23535434,58353448,83534381,83465500,83690418,83693385,83926296,84142261,84556689
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1286043/000114544305000759/0001145443-05-000759-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000120677406000468/0001206774-06-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000116923207001456/0001169232-07-001456-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000116923208001357/0001169232-08-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000111650209000398/0001116502-09-000398-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604310000009/0001286043-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604311000006/0001286043-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604312000006/0001286043-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604313000015/0001286043-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604314000012/0001286043-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604315000013/0001286043-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604316000131/0001286043-16-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604317000025/0001286043-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604318000020/0001286043-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604319000021/0001286043-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604320000032/0001286043-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604321000034/0001286043-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604322000024/0001286043-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1200000,3493000,2189478,10103176,15208835,23952594,19002268,9917875,19958376,24188496,10042450,12482701,18134320,43826000,33880000,19874000,24082000,35376000,31336000,43648000,93241000
32,Short-Term Investments,- -,- -,- -,- -,- -,1174371,1079937,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000
33,Cash and Short-Term Investments,1200000,3493000,2189478,10103176,15208835,25126965,20082205,9917875,19958376,24188496,10042450,12482701,18134320,43826000,33880000,19874000,24082000,35376000,31336000,43648000,218241000
34,Net Receivables,- -,- -,10565210,13399107,6082511,33463293,24324943,28133961,27863506,23688492,23391896,26156973,29334235,48097000,51101000,53087000,58328000,58059000,55286000,57154000,68444000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-23492180,-21276137,23894409742,-44388146,15476366,15755453,25863792,- -,15129628,15592885,204660000,22328000,18764000,24459000,28625000,56025000,42913000,91948000
37,Total Current Assets,- -,- -,- -,10103,15209,23953000000,19002,53528202,63577335,73740780,33434346,53769302,63061440,296583000,107309000,91725000,106869000,122060000,142647000,143715000,378633000
38,PP&E,- -,- -,149346173,525242271,738734090,582715399,965583259,1035453943,1044799257,1047848852,1095721424,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3468678,106240000,83930000,65454000,44024000,25545000,11048000,5690000,485701000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3468678,106240000,83930000,65454000,44024000,25545000,11048000,5690000,485701000
42,Investments,- -,- -,2269704,155495,1303919,1174371,1079937,1902473,10799782,11193113,21646443,15522,- -,- -,- -,- -,- -,13496000,12644000,12792000,11885000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,21167288,21509070,- -,42463905,1234872081,1697396912,3471393000,3574799000,3499192000,3361605000,3010912000,2482548000,2446342000,6763356000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1058523704,1077108109,1059041965,1159831772,1234887603,1700865590,3577633000,3658729000,3564646000,3405629000,3049953000,2506240000,2464824000,7260942000
46,Other Assets,49091000,71388000,171469252,569744730,799214597,- -,1048215642,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49091000,71388000,171469252,569754833,799229806,983161313,1048234644,1112051906,1140685444,1132782745,1193266118,1288656905,1763927030,3874216000,3766038000,3656371000,3512498000,3172013000,2648887000,2608539000,7639575000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54187172,61437187,75150000,81356000,80664000,78482000,85934000,69817000,79412000,195778000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,105000000,- -,- -,- -,94624200,145000000,- -,20000000,79600000,58205000,45600000,- -,25000000,55000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85649000,30125000
52,Other Current Liabilities,- -,- -,- -,59600000,60900000,67400000,67300000,53144015,39944578,32362917,36048324,-88925703,-142074718,2852000,-14364000,-74163000,-54251000,-43111000,2254000,-110649000,- -
53,Total Current Liabilities,- -,- -,- -,59600000,60900000,67400000,67300000,158144015,39944578,32362917,36048324,59885669,64362469,78002000,86992000,86101000,82436000,88423000,72071000,79412000,280903000
54,Long-Term Debt,40540000,58711000,142967849,283479363,375245837,566975980,646833633,572661466,658294513,610926613,689122933,699908768,857144074,1554263000,1734059000,1731074000,1699239000,1543301000,1146580000,1170794000,3166045000
55,Deferred Revenue,- -,- -,9266250,34836430,25369152,30156299,26127043,24594794,12690211,15399002,12636228,3749341,5158390,10841000,12138000,11405000,9493000,11642000,10839000,11716000,287217000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55566,56863,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-34815793,-25414989,-30132279,-26160676,71693437,47307115,- -,- -,48435900,80100407,328962000,206100000,183525000,155221000,115244000,129661000,115265000,-21783000
58,Total Non-Current Liabilities,40540000,58711000,152234099,283500000,375200000,567000000,646800000,668949697,718291839,626325615,701759161,752149575,942459734,1894066000,1952297000,1926004000,1863953000,1670187000,1287080000,1297775000,3431479000
59,Other Liabilities,90166000,129665000,316874382,635396038,829802625,1208551518,1363380582,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10766097,36172867,125336000,112405000,95360000,83117000,69501000,27015000,26511000,70237000
61,Total Liabilities,49626000,70954000,164640283,411496038,515502625,708951518,783880582,827093712,758236417,658688532,737807485,812035244,1006822203,1972068000,2039289000,2012105000,1946389000,1758610000,1359151000,1377187000,3712382000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000,70000000,102500000,102500000,102500000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,191483,285552,288428,289816,341812,630621,633422,636170,777287,1308262,835000,833000,835000,836000,838000,840000,842000,2189000
64,Retained Earnings,- -,- -,- -,-8047051,-10001777,-21831543,-31442156,-51276059,-69613763,-93447581,-109504068,-138044264,-173130113,-247801000,-323257000,-419305000,-509833000,-662735000,-769955000,-824306000,-962913000
65,Other Comprehensive Income/Loss,- -,- -,-4465775,-24133716,427057,297540,-3122482,-7739154,-5802406,-2900100,-1524095,-5258543,1352850,-1175000,-2145000,-316000,2990000,-3497000,-16283000,-30885000,-15902000
66,Other Total Stockholders Equity,- -,434000,11294744,190188344,288168548,291159647,293897673,343631595,449863390,448779180,449763528,513111877,821526172,2044425000,2050545000,2062360000,2071418000,2078099000,2074436000,2085003000,- -
67,Total Stockholders Equity,-535000,434000,6828969,158199060,278879380,269914072,259622851,284958194,375077842,423064921,409371535,473086357,753557171,1898784000,1725976000,1643574000,1565411000,1412705000,1289038000,1230654000,3922047000
68,Total Liabilities And Stockholders Equity,49091000,71388000,171469252,569695098,794382005,978865590,1043503433,1112051906,1133314259,1081753453,1147179020,1285121601,1760379374,3870852000,3765265000,3655679000,3511800000,3171315000,2648189000,2607841000,7634429000
69,Minority Interest,- -,- -,- -,59735,4847801,4295723,4731211,- -,7371185,51029292,46087098,3535304,3547656,3364000,773000,692000,698000,698000,698000,698000,5146000
70,Total Liabilities & Equity,49091000,71388000,171469252,569754833,799229806,983161313,1048234644,1112051906,1140685444,1132782745,1193266118,1288656905,1763927030,3874216000,3766038000,3656371000,3512498000,3172013000,2648887000,2608539000,7639575000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1286043/000114544305000759/0001145443-05-000759-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000120677406000468/0001206774-06-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000116923207001456/0001169232-07-001456-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000116923208001357/0001169232-08-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000111650209000398/0001116502-09-000398-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604310000009/0001286043-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604311000006/0001286043-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604312000006/0001286043-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604313000015/0001286043-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604314000012/0001286043-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604315000013/0001286043-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604316000131/0001286043-16-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604317000025/0001286043-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604318000020/0001286043-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604319000021/0001286043-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604320000032/0001286043-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604321000034/0001286043-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604322000024/0001286043-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,1744724,-524702,13435840,10179650,13522683,6093126,-1781766,-8270830,4981274,-4333847,-2849735,-5701000,27117000,1183000,11874000,-46567000,-534000,-16223000,-80806000
74,Depreciation and Amortization,- -,- -,3017579,12333774,23648819,31541571,32886267,37256010,34003017,42564646,38655771,43768649,57757063,123862000,170521000,179084000,174625000,156107000,134860000,130783000,203142000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,488557,519929,602384,1670445,2536000,4580000,5214000,5987000,4869000,5375000,5998000,6697000
77,Change in Working Capital,- -,- -,329863,-59589897,-1294894,23946484791,-23952880998,-37334815,128248570,17745106,-43991841,-3502389,4815338,219882029,-198264000,-14693000,18809000,9204000,36939000,-6273000,14438000
78,Accounts Receivable,- -,- -,- -,1106977,-8562784,-15195047,-2133702,- -,- -,- -,- -,-507368,-1690492,-10044000,-1510000,-519000,-5832000,-3594000,3170000,-3062000,-3102000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,3102015,1793396,5925298,-2403868,- -,- -,- -,- -,-7098709,8687682,-41375000,-903000,-388000,-6228000,-990000,-2099000,-8595000,10683000
81,Other Working Capital,- -,- -,- -,-59589897,-60884791,23885600000,-67280998,-104615813,23632757,41377863,-2613978,-6116367,-1301029,218581000,20317000,5624000,24433000,33637000,70576000,64303000,6857000
82,Other Non-Cash Items,- -,- -,-642440,60324220,-12266585,-23957795891,23944123769,34553791,-139478534,-22261873,32061822,-13262444,-9296277,-298400029,165383000,-15855000,-57637000,30770000,-38678000,-18770000,-43120000
83,Cash Provided by Operating Activities,- -,- -,4449726,12543395,23523180,30410121,37651721,40568112,20991287,30265606,32226955,23272353,52096834,42179000,169337000,154933000,153658000,154383000,137962000,95515000,100351000
84,CAPEX,- -,- -,-48550943,-155058190,-178489599,-446951151,-208225107,-117851086,-36806704,-39032155,-79928042,-114153351,-112580651,-94553000,-92564000,-94319000,-70526000,-59304000,-53278000,-38266000,-57313000
85,Acquisitions Net,- -,- -,-45616460,- -,-178489599,- -,- -,- -,- -,-445295,-8518604,-150000,- -,- -,- -,- -,-1400000,-9973000,-798000,-541000,-134000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-13419350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127267000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-46885570,-72243233,151006497,-2122276,6120243,22162541,-4621080,3080280,-61652213,-71474613,-514898990,59659000,-84397000,-82657000,1274000,158306000,417392000,-80299000,34101000
89,Cash Used for Investing Activites,- -,- -,-92502030,-227301423,-205972701,-220063572,-96687422,-95688545,-54847134,-36397170,-86539007,-71624613,-514898990,186926000,-84397000,-82657000,-126000,148333000,416594000,-80840000,-91033000
90,Debt Repayment,- -,- -,-29921150,-186218625,-188560885,-218025537,-154507969,-218194446,-112472694,-106653937,-137272149,-322646717,-342033168,-285244000,-835019000,-589501000,-129156000,-551379000,-470515000,-302477000,-77591000
91,Common Stock Issued,- -,- -,- -,- -,133238662,526799,486355,48335133,87537730,- -,- -,63038208,314771835,- -,- -,4402000,- -,76000,350000,72000,31000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000,-103502000,-1125000,-808000,-350000,-533000,-1336000,-15031000
93,Dividends Paid,- -,- -,-9908843,-13484659,-23352244,-28185926,-29458280,- -,-23724124,-15546044,-20941617,-23136467,-29050067,-55112000,-97961000,-94669000,-101128000,-106316000,-133258000,-38128000,-57801000
94,Other Financing Activites,- -,- -,126578931,422375010,266229647,444081874,237565269,215895353,92555436,123767697,207173740,333537487,524765175,136957000,941596000,594611000,81768000,368583000,56707000,320967000,194851000
95,Cash Used/Provided by Financing Activities,- -,- -,86748938,222671726,187555180,198397210,54085375,46036040,43896348,1567716,48959974,50792511,468453775,-203413000,-94886000,-86282000,-149324000,-289386000,-547249000,-20902000,44459000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1303366,7913698,5105659,8743759,-4950326,-9084393,10040501,-4563848,-5352078,2440251,5651619,25692000,-9946000,-14006000,4208000,13330000,7307000,-6227000,53777000
98,Cash at the End of Period,- -,- -,2189478,13733846,15208835,23952594,19002268,9917875,19958376,15394528,10042450,12482701,18134320,43826000,33880000,19874000,24082000,45506000,52813000,46586000,100363000
99,Cash at the Beginning of Period,- -,- -,3492844,5820148,10103176,15208835,23952594,19002268,9917875,19958376,15394528,10042450,12482701,18134000,43826000,33880000,19874000,32176000,45506000,52813000,46586000
100,Free Cash Flow,- -,- -,-44101217,-142514795,-154966419,-416541030,-170573386,-77282974,-15815417,-8766549,-47701087,-90880998,-60483817,-52374000,76773000,60614000,83132000,95079000,84684000,57249000,43038000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1286043/000114544305000759/0001145443-05-000759-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000120677406000468/0001206774-06-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000116923207001456/0001169232-07-001456-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000116923208001357/0001169232-08-001357-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000111650209000398/0001116502-09-000398-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604310000009/0001286043-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604311000006/0001286043-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604312000006/0001286043-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604313000015/0001286043-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604314000012/0001286043-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604315000013/0001286043-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604316000131/0001286043-16-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604317000025/0001286043-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604318000020/0001286043-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604319000021/0001286043-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604320000032/0001286043-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604321000034/0001286043-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1286043/000128604322000024/0001286043-22-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
