,https://roic.ai/company/ABG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,- -,- -,- -,- -,- -,- -,- -,- -,8700000,- -
52,Other Current Liabilities,- -,- -,79260000,77325000,78727000,109604000,126890000,93183000,123867000,136700000,112100000,207800000,89900000,208800000,225900000,301500000,335000000,335500000,325000000,330500000,458200000,418400000,1598000000
53,Total Current Liabilities,- -,- -,609997000,692873000,757026000,847510000,838226000,881055000,871667000,854500000,598800000,635800000,636300000,779800000,834200000,1041100000,1007800000,1104900000,1058200000,1303300000,1247000000,1223400000,1598000000
54,Long-Term Debt,- -,- -,492548000,440143000,559128000,495272000,472427000,454010000,473851000,548300000,528800000,534900000,439100000,461400000,543300000,678700000,940400000,912700000,862600000,866500000,907000000,1468900000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,29972000,22179000,39333000,44287000,53991000,51741000,- -,- -,- -,- -,- -,- -,3900000,13700000,8900000,12500000,21700000,26000000,43700000,- -
57,Other Non-Current Liabilities,- -,- -,14561000,15705000,42239000,35821000,28094000,29948000,34816000,28800000,29700000,28500000,17400000,17400000,20500000,23400000,29500000,29900000,29200000,30700000,85000000,34800000,- -
58,Total Non-Current Liabilities,- -,- -,507109000,485820000,623546000,570426000,544808000,537949000,560408000,577100000,558500000,563400000,456500000,478800000,563800000,706000000,983600000,951500000,904300000,918900000,1018000000,1547400000,- -
59,Other Liabilities,836456000,1082340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69600000,328500000,- -
61,Total Liabilities,836456000,1082340000,1117106000,1178693000,1380572000,1417936000,1383034000,1419004000,1432075000,1431600000,1157300000,1199200000,1092800000,1258600000,1398000000,1747100000,1991400000,2056400000,1962500000,2222200000,2265000000,2770800000,5887
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,340000,340000,342000,344000,351000,363000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,- -
64,Retained Earnings,- -,- -,39860000,22645000,37832000,87905000,148986000,196393000,219356000,-140000000,-133800000,-95700000,-27800000,54400000,163500000,275100000,444300000,611500000,750300000,922700000,1094500000,1348900000,- -
65,Other Comprehensive Income/Loss,- -,- -,-47703000,-122000,-483000,-6286000,-3587000,-2077000,-2609000,-5600000,-5700000,-6000000,-4500000,-1600000,200000,-1500000,-3500000,-2100000,-900000,600000,-2900000,-5600000,- -
66,Other Total Stockholders Equity,201188000,325883000,351394000,404088000,396018000,398062000,402023000,417166000,367115000,367900000,382700000,388400000,358500000,349600000,326500000,170900000,-126700000,-330100000,-355600000,-450500000,-445700000,-438200000,- -
67,Total Stockholders Equity,201188000,325883000,343551000,426951000,433707000,480023000,547766000,611833000,584225000,222700000,243600000,287100000,326600000,402800000,490600000,444900000,314500000,279700000,394200000,473200000,646300000,905500000,2115500000
68,Total Liabilities And Stockholders Equity,1037644000,1408223000,1460657000,1605644000,1814279000,1897959000,1930800000,2030837000,2016300000,1654300000,1400900000,1486300000,1419400000,1661400000,1888600000,2192000000,2305900000,2336100000,2356700000,2695400000,2911300000,3676300000,2115505887
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2115497885
70,Total Liabilities & Equity,1037644000,1408223000,1460657000,1605644000,1814279000,1897959000,1930800000,2030837000,2016300000,1654300000,1400900000,1486300000,1419400000,1661400000,1888600000,2192000000,2305900000,2336100000,2356700000,2695400000,2911300000,3676300000,8002
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1144980/000104746903010047/0001047469-03-010047-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000104746904007493/a2130386z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000110465905011093/a05-4690_110k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000110465906017120/a06-2275_110k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000110465907017473/a07-5699_110k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000119312508043541/d10k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000119312509055555/0001193125-09-055555-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000119312510044910/0001193125-10-044910-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498011000043/abg12311010k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498012000031/0001144980-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498013000012/0001144980-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498014000010/abg201310-k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498015000058/abg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498016000161/0001144980-16-000161-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498017000063/0001144980-17-000063-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498018000053/0001144980-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498019000053/0001144980-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498020000059/0001144980-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498021000075/0001144980-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498022000079/0001144980-22-000079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,43829000,38085000,15187000,50073000,61081000,60749000,50955000,-338000000,13400000,38100000,67900000,82200000,109100000,111600000,169200000,167200000,139100000,168000000,184400000,254400000,532400000
74,Depreciation and Amortization,- -,- -,30768000,28476000,26870000,22430000,23366000,22568000,28483000,31900000,30900000,21100000,30900000,31900000,34400000,40400000,48500000,52200000,54500000,56200000,59800000,38500000,41000000
75,Deferred Income Tax,- -,- -,- -,15682000,-6927000,13530000,-916000,8721000,6864000,-155800000,18200000,24500000,17200000,12600000,15500000,17300000,9500000,6100000,2800000,5300000,5400000,9500000,31000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,5100000,8800000,7100000,9000000,8600000,10000000,12000000,13600000,10500000,12500000,12600000,16000000
77,Change in Working Capital,- -,- -,19055000,13649000,98073000,41013000,50958000,65055000,-91254000,-155555000,51600000,24700000,-85300000,50400000,67800000,-38800000,99600000,-107700000,16400000,5800000,105900000,-173300000,271200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,-23500000,23000000,-33300000,-14900000,-14000000,-11200000,-19500000,10200000,-1500000,-6000000,-19100000,35000000
79,Inventory,- -,- -,106414000,-79898000,-3553000,-81983000,56541000,-47010000,59770000,189700000,206800000,-24700000,56300000,-76400000,-46100000,10600000,50100000,105300000,251500000,-24400000,212100000,428000000,670000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29500000,6000000,-2600000,37700000,31400000,-2600000,-16200000,10700000,121000000,39000000
81,Other Working Capital,- -,- -,143261000,156910000,254983000,295996000,346954000,412009000,320755000,165200000,216800000,241500000,156200000,206600000,274400000,235600000,335200000,227500000,243900000,249700000,355600000,182300000,453500000
82,Other Non-Cash Items,- -,- -,2873000,-27886000,-36593000,-137464000,-174946000,-28512000,74288000,1146655000,-6000000,-103600000,-220600000,-204900000,-185100000,-54900000,-181400000,12500000,39900000,-235700000,-18200000,510800000,271400000
83,Cash Provided by Operating Activities,- -,- -,96525000,68006000,96610000,-10418000,-40457000,128581000,69336000,529200000,110900000,9900000,-181100000,-20700000,50700000,84200000,155400000,142300000,266300000,10100000,349800000,652500000,1163000000
84,CAPEX,- -,- -,-50032000,-57477000,-54633000,-69472000,-78063000,-45276000,-57134000,-277200000,-8300000,-30100000,-70700000,-12600000,-10700000,-15900000,-102000000,-111600000,-53500000,-62300000,-71700000,-48800000,-74000000
85,Acquisitions Net,- -,- -,-50150000,-20459000,-79866000,-75861000,-24613000,- -,-117123000,-41900000,- -,-60500000,- -,-34700000,-61800000,-152200000,36500000,114300000,-80100000,-91300000,-170900000,-776200000,-3660000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-1279000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000
87,Sales/Maturities of Investments,- -,- -,885000,1826000,1826000,1781000,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,1004000,-422000,-18000,13331000,71526000,54103000,19361000,26700000,16100000,-12400000,82600000,-61300000,-28000000,-73600000,-98400000,-89800000,-42300000,-53900000,-51800000,-44600000,-256000000
89,Cash Used for Investing Activites,- -,- -,-98293000,-76532000,-132691000,-131500000,-31150000,8827000,-154896000,-292400000,16100000,-68900000,34300000,-113500000,-125500000,-230800000,-61900000,4900000,-127800000,-149600000,-227600000,-820800000,-3917000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-465700000,-644500000,-1028800000,-2908900000,-3320000000,-3923300000,-4224100000,-3794700000,-3973000000,-4410300000,-4575800000,-6150200000,-41000000
91,Common Stock Issued,- -,- -,- -,65415000,295000,1862000,3581000,8078000,3256000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-3710000,-5364000,-9700000,- -,- -,- -,-57056000,-1200000,-100000,-400000,-49100000,-25300000,-34600000,-167700000,-312200000,-215600000,-39600000,-110200000,-20500000,-5100000,- -
93,Dividends Paid,- -,- -,-22606000,-11580000,-3010000,- -,- -,-13342000,-27663000,-21500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,41349000,-83011000,124749000,44679000,97127000,-60168000,91207000,-176100000,331900000,640500000,1214800000,3063200000,3428600000,4235100000,4442700000,3863700000,3875400000,4663600000,4469300000,6321500000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,15033000,-34540000,112334000,46541000,100708000,-65432000,9744000,-198600000,-133900000,-4400000,136900000,129000000,74000000,144100000,-93600000,-146600000,-137200000,143100000,-127000000,166200000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,13265000,-37893000,84098000,-78618000,29101000,71976000,-75816000,38200000,-6900000,-63400000,-9900000,-5200000,-800000,-2500000,-100000,600000,1300000,3600000,-4800000,-2100000,- -
98,Cash at the End of Period,- -,- -,60506000,22613000,106711000,28093000,57194000,129170000,53354000,91600000,84700000,21300000,11400000,6200000,5400000,2900000,2800000,3400000,4700000,8300000,3500000,1400000,- -
99,Cash at the Beginning of Period,- -,- -,47241000,60506000,22613000,106711000,28093000,57194000,129170000,53400000,91600000,84700000,21300000,11400000,6200000,5400000,2900000,2800000,3400000,4700000,8300000,3500000,- -
100,Free Cash Flow,- -,- -,46493000,10529000,41977000,-79890000,-118520000,83305000,12202000,252000000,102600000,-20200000,-251800000,-95500000,-36200000,20900000,53400000,30700000,212800000,-52200000,278100000,603700000,1089000000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1144980/000104746903010047/0001047469-03-010047-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000104746904007493/a2130386z10-k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000110465905011093/a05-4690_110k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000110465906017120/a06-2275_110k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000110465907017473/a07-5699_110k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000119312508043541/d10k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000119312509055555/0001193125-09-055555-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000119312510044910/0001193125-10-044910-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498011000043/abg12311010k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498012000031/0001144980-12-000031-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498013000012/0001144980-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498014000010/abg201310-k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498015000058/abg201410-k.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498016000161/0001144980-16-000161-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498017000063/0001144980-17-000063-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498018000053/0001144980-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498019000053/0001144980-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498020000059/0001144980-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/1144980/000114498021000075/0001144980-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1144980/000114498022000079/0001144980-22-000079-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
