,https://roic.ai/company/RELY,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,155529000,83235000,52576000,- -,- -,- -,- -,- -,- -,- -,5104000,6000000,2000000,9000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,8301000,3881000,-53000,45900000,44400000,123000000,- -,96750000,94561000,133926000
53,Total Current Liabilities,155529000,83235000,52576000,- -,- -,- -,39000000,11032000,14013000,10686000,15169000,155100000,164500000,232000000,- -,144570000,181776000,141616000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,51613000,43562000,13600000,9700000,312100000,354200000,4400000,- -,5397000,4008000,5814000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2880000,1019000,5104000,6700000,2500000,2700000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,60000,116000,336000,5400000,6900000,7400000,- -,15000,827000,-2094000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,51613000,46502000,14735000,15140000,324200000,363600000,14500000,- -,5412000,4835000,3720000
59,Other Liabilities,8936819000,10044072000,11723991000,- -,- -,386033000,22823000,119762000,99974000,44251000,36185000,728400000,811200000,455700000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8015000,6967000,- -
61,Total Liabilities,9092348000,10127307000,11776567000,- -,- -,386033000,61823000,79181000,67485000,40202000,36214000,559300000,612100000,673200000,- -,149982000,186611000,145336000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302873000,387707000,- -
63,Common Stock,77241000,77497000,75983000,- -,- -,78380000,- -,1151000,1171000,12000,17000,28891766,4000000,29721934,- -,2000,2000,16000
64,Retained Earnings,663580000,966112000,728766000,- -,- -,- -,- -,-384315000,-391783000,-401817000,-396314000,-403300000,-506200000,-627900000,- -,-188124000,-220688000,-259444000
65,Other Comprehensive Income/Loss,1415000,14754000,5838000,- -,- -,- -,- -,196000,224000,- -,- -,-1000000,-7100000,4500000,- -,34000,591000,253000
66,Other Total Stockholders Equity,271412000,298443000,303370000,- -,- -,12767000,73721000,446805000,448614000,451723000,482006000,517008234,542700000,512578066,- -,1292000,8766000,739503000
67,Total Stockholders Equity,1013648000,1356806000,1113957000,- -,- -,91147000,73721000,63837000,58226000,49918000,85709000,141600000,33400000,-81100000,- -,116077000,176378000,480328000
68,Total Liabilities And Stockholders Equity,10105996000,11484113000,12890524000,- -,- -,477180000,135544000,143018000,125711000,90120000,121923000,700900000,645500000,592100000,- -,266059000,362989000,625664000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10105996000,11484113000,12890524000,- -,- -,477180000,135544000,143018000,125711000,90120000,121923000,700900000,645500000,592100000,- -,266059000,362989000,625664000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/38984/000095012905002498/0000950129-05-002498-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000095012906002726/0000950129-06-002726-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000095012407005157/0000950124-07-005157-index.htm,undefined,undefined,https://www.sec.gov/Archives/edgar/data/38984/000114036111028101/0001140361-11-028101-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000114036111035273/0001140361-11-035273-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000119312512143990/0001193125-12-143990-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000119312513136654/0001193125-13-136654-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000156459014000748/0001564590-14-000748-index.html,https://www.sec.gov/Archives/edgar/data/38984/000156459015001692/0001564590-15-001692-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000156459016014762/0001564590-16-014762-index.html,https://www.sec.gov/Archives/edgar/data/38984/000156459017004152/0001564590-17-004152-index.html,https://www.sec.gov/Archives/edgar/data/38984/000155837018002801/0001558370-18-002801-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1782170/000178217022000048/0001782170-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,353756000,327948000,-9286000,- -,- -,-23963000,-13658000,-12774000,-7468000,-10034000,5503000,-6900000,-102900000,-121700000,- -,-51392000,-32564000,-38756000
74,Depreciation and Amortization,32186000,- -,33429000,- -,- -,192000,83000,2065000,3133000,1926000,1310000,46000000,54800000,52700000,- -,2658000,4060000,5256000
75,Deferred Income Tax,36935000,- -,29535000,- -,- -,- -,- -,2628000,- -,5000,5096000,2100000,3900000,8900000,- -,- -,- -,- -
76,Stock Based Compensation,17974000,- -,10871000,- -,- -,- -,- -,838000,1743000,2116000,1173000,1300000,3600000,2100000,- -,3648000,5264000,17016000
77,Change in Working Capital,107099000,-64038000,23658000,- -,- -,-353368000,-324274000,27767000,2909000,-6430000,15258000,45772000,5600000,-49200000,- -,30861000,59594000,302381000
78,Accounts Receivable,- -,- -,- -,- -,- -,-48060000,- -,1777000,466000,-137000,-757000,3700000,-14100000,-28200000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-251000,-2495000,-98000,-1004000,44600000,-9600000,15900000,- -,- -,- -,- -
80,Accounts Payable,27588000,- -,-39118000,- -,- -,- -,- -,473000,-2431000,983000,716000,-8200000,18300000,-6600000,- -,-1488000,4044000,-3035000
81,Other Working Capital,749446000,685408000,709066000,- -,- -,355698000,31424000,59191000,62100000,55670000,70928000,116700000,122300000,73100000,- -,103961000,163555000,465936000
82,Other Non-Cash Items,-45157000,-263910000,63695000,- -,- -,450256000,267225000,-36158000,1969000,35371000,-42272000,4228000,44300000,94300000,- -,22660000,-150563000,-304288000
83,Cash Provided by Operating Activities,502793000,- -,151902000,- -,- -,73117000,-70624000,-15634000,2286000,22954000,-13932000,92500000,9300000,-12900000,- -,8435000,-114209000,-18391000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-19000,-83000,-281000,-197000,-26000000,-30800000,-23800000,- -,-7209000,-4370000,-4534000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-24158000,- -,- -,- -,-524700000,-23000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-2154000,-4715000,-2560000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2289000,2580000,3227000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,404452000,- -,-1761857000,- -,- -,11663000,14079000,13022000,7277000,5581000,3062000,73100000,36700000,-600000,- -,-2160000,-2306000,-2578000
89,Cash Used for Investing Activites,404452000,- -,-1761857000,- -,- -,11663000,11925000,-13581000,7214000,8527000,2865000,-477600000,-17100000,-24400000,- -,-7209000,-4370000,-4534000
90,Debt Repayment,- -,- -,- -,- -,- -,201000,620000,-387000,-2807000,-41352000,-3600000,-14300000,-97000000,-219800000,- -,-2772000,- -,-1373000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,60000,26000,62000,28308000,63300000,- -,- -,- -,- -,- -,305191000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-52439000,-53699000,-47880000,-62868000,-35700000,-27200000,-24900000,- -,-20015000,- -,- -
93,Dividends Paid,-16613000,- -,-33351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -
94,Other Financing Activites,117489000,- -,1448918000,- -,- -,- -,9440000,63545000,48285000,54652000,64175000,344700000,159200000,282000000,- -,139804000,122216000,-65615000
95,Cash Used/Provided by Financing Activities,100876000,- -,1415567000,- -,- -,- -,10060000,10779000,-8195000,-34518000,26015000,358000000,35000000,36700000,- -,117017000,122216000,238203000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,700000,- -,329000,918000,-40000
97,Net Change In Cash,69324000,- -,-7001000,- -,- -,21539000,-285231000,-18436000,1305000,-3037000,14948000,-27100000,-15800000,100000,- -,118572000,4555000,215238000
98,Cash at the End of Period,904975000,- -,761642000,- -,- -,356223000,70992000,52439000,53699000,47880000,62868000,35700000,27200000,24900000,- -,183520000,188075000,403313000
99,Cash at the Beginning of Period,835651000,- -,768643000,- -,- -,334684000,356223000,70875000,52394000,50917000,47920000,62800000,43000000,24800000,- -,64948000,183520000,188075000
100,Free Cash Flow,502793000,- -,151902000,- -,- -,73117000,-70624000,-15653000,2203000,22673000,-14129000,66500000,-21500000,-36700000,- -,1226000,-118579000,-22925000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/38984/000095012905002498/0000950129-05-002498-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000095012906002726/0000950129-06-002726-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000095012407005157/0000950124-07-005157-index.htm,undefined,undefined,https://www.sec.gov/Archives/edgar/data/38984/000114036111028101/0001140361-11-028101-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000114036111035273/0001140361-11-035273-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000119312512143990/0001193125-12-143990-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000119312513136654/0001193125-13-136654-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000156459014000748/0001564590-14-000748-index.html,https://www.sec.gov/Archives/edgar/data/38984/000156459015001692/0001564590-15-001692-index.htm,https://www.sec.gov/Archives/edgar/data/38984/000156459016014762/0001564590-16-014762-index.html,https://www.sec.gov/Archives/edgar/data/38984/000156459017004152/0001564590-17-004152-index.html,https://www.sec.gov/Archives/edgar/data/38984/000155837018002801/0001558370-18-002801-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1782170/000178217022000048/0001782170-22-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,
