,https://roic.ai/company/ABR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,0.6304,- -,-2.3992,3.1726,-0.8003,0.2208,0.2497,0.9825,0.5564,0.3926,0.4321,0.4766,0.4874,0.5449,0.7177
22,Income Tax expense (Gain),- -,- -,- -,- -,16885000,- -,- -,2560000,- -,-801558,- -,- -,- -,825000,13359000,9731000,15036000,40393000,46285000
23,Net Income,3407919,25072682,50387023,50413807,84533878,-81229844,-230631156,112910211,-40311713,21500888,21174538,93048490,53428814,50349852,73389000,115866000,128628000,170949000,339300000
24,Net Income ratio,0.4010,0.6409,0.5976,0.5876,0.5254,-0.8229,-2.6772,3.1240,-0.8656,0.3046,0.2431,0.9825,0.5564,0.3123,0.2860,0.3500,0.3682,0.3938,0.5742
25,EPS,0.42,1.81,2.99,2.94,4.44,-3.54,-9.11,4.44,-1.61,0.80,0.39,1.71,0.90,0.83,1.14,1.54,1.30,1.44,2.98
26,EPS Diluted,0.42,1.78,2.98,2.93,4.44,-3.54,-9.11,4.39,-1.61,0.79,0.39,1.70,0.90,0.83,1.12,1.50,1.27,1.41,2.53
27,Weighted Average Shares Outstanding,8199567,13814199,16867466,17161346,19022616,22916648,25313574,25424481,24968894,26956938,42399872,50143648,50857750,51305095,57890574,70208165,92851327,113811471,113811471
28,Weighted Average Shares Outstanding Diluted,8199567,17366015,20672502,21001804,22870159,22916648,25313574,25741290,24968894,27211287,42835144,50368344,51007328,51730553,80311252,93642168,116192951,133969296,133969296
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1253986/000095012305003868/y07196e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012306003216/y17899e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012307002959/y30963e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012308002566/y50514e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012309004280/0000950123-09-004280-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000095012310022203/0000950123-10-022203-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746911001737/a2202433z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746912002036/0001047469-12-002036-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746913001165/0001047469-13-001165-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746914000903/a2218253z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746915000780/a2223024z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746916010477/0001047469-16-010477-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746917001214/0001047469-17-001214-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746918000985/0001047469-18-000985-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746919000508/0001047469-19-000508-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746920000885/0001047469-20-000885-index.htm,https://www.sec.gov/Archives/edgar/data/1253986/000110465921025551/0001104659-21-025551-index.htm,https://www.sec.gov/Archives/edgar/data/1253986/000110465922024981/0001104659-22-024981-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6115525,6401701,19427309,7756857,22219541,832041,64624275,101124564,55236479,29188889,60389552,50417745,188708687,138645430,104374000,160063000,299687000,339528000,404580000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3552736,37315652,2499709,2022030,5403463,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6115525,6401701,19427309,7756857,22219541,832041,64624275,101124564,55236479,32741625,97705204,52917454,190730717,144048893,104374000,160063000,299687000,339528000,404580000
34,Net Receivables,- -,- -,- -,- -,- -,- -,15240255,335048,656290,24094,98058,36515,8082265,1464732,688000,1287000,10651000,12449000,84318000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,65704490,-24094,11379618,14345218,586938,-1464732,-688000,-1287000,5818122000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,121597259,32741625,109182880,67299187,199399920,144048893,104374000,160063000,6128460000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,46478994,- -,- -,128397612,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97489884,121766000,116165000,110700000,105451000,56626000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227742986,252608000,273770000,286420000,379974000,466868000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325232870,374374000,389935000,397120000,485425000,523494000
42,Investments,5917542,51837325,29615420,71914080,265674892,88084405,125961941,69137303,94668540,106120958,41995958,7368775,32892265,39352316,51490000,97943000,130499000,169798000,230160000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1432050919,1563018697,1726293644,1805754628,1595099759,2462152167,3095707000,3964234000,-416919000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1655117071,1669139655,1768289602,1813123403,1627992024,2826737353,3521571000,4452112000,110700000,- -,- -
46,Other Assets,338164432,912295177,1396075357,2204345211,2901493534,2579236489,2060774772,1731207928,- -,- -,- -,- -,- -,- -,- -,- -,- -,7660986000,15073845000
47,Total Assets,338164432,912295177,1396075357,2204345211,2901493534,2579236489,2060774772,1731207928,1776714330,1701881280,1877472482,1880422590,1827391944,2970786246,3625945000,4612175000,6239160000,7660986000,15073845000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1997629,17436986,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,50175000,- -,- -,- -,- -,- -,416659206,- -,161562708,- -,- -,180386200,136252135,906636790,528573000,1135627000,1678288000,2234883000,722879000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,74600000,94200000,103300000,238000000,245100000,-233856835,166063014,5637292,231800000,140800000,-128400650,-81769485,-622128720,-229518000,-812221000,-1324824000,- -,- -
53,Total Current Liabilities,50175000,74600000,94200000,103300000,238000000,245100000,184800000,183500000,167200000,231800000,140800000,51985550,54482650,284508070,299055000,323406000,353464000,2234883000,722879000
54,Long-Term Debt,58630626,174358517,600667377,1425132535,2023224338,1992419437,1360002606,250703946,1223066861,1167013329,1122459499,1082276101,1040365118,1117519975,2002663000,2179242000,2956750000,3589781000,7575122000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,77123133,77123133,77123133,77123133,77123133,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,400541483,413632623,379767465,244975662,60680563,342174261,1015472921,138210006,-3336462,99517368,196776919,167453402,981617465,628402000,1214289000,1744336000,- -,- -
58,Total Non-Current Liabilities,58630626,574900000,1014300000,1804900000,2268200000,2053100000,1779300000,1343300000,1438400000,1240800000,1299100000,1279053020,1207818520,2099137440,2631065000,3393531000,4701086000,3589781000,7575122000
59,Other Liabilities,191872342,- -,- -,- -,- -,4106241821,- -,- -,- -,- -,- -,2572034589,- -,- -,- -,- -,- -,7533199000,19376104000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,20750000,53751004,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,183416716,589292273,1044775284,1842765882,2433376191,2298241821,1962140802,1524792685,1603653797,1470620158,1439876200,1344967119,1262301169,2223748318,2761389000,3546609000,4883133000,6178301000,12523861000
62,Preferred Stock,31467,37761,37761,37761,37761,- -,- -,- -,- -,- -,67654655,89295905,89295905,89508213,89508000,89502000,89501000,89472000,556163000
63,Common Stock,81996,164672,170514,173888,207987,254218,256668,257568,267787,339000,517870,531280,509625,514013,617000,840000,1097000,1232000,1514000
64,Retained Earnings,-691865,8813138,21452789,27732489,65665951,-62939722,-293585378,-180689667,-221015880,-207558257,-212231319,-152483322,-136118001,-125134403,-101926000,-74133000,-60920000,-63442000,62532000
65,Other Comprehensive Income/Loss,-521133,-690380,-438814,2152556,-29001389,-96606672,-53331105,-55169317,-47704045,-39561700,-25237253,-14668250,-4840950,320917,176000,- -,- -,- -,- -
66,Other Total Stockholders Equity,112215649,254427982,266386267,266014383,358352775,440297825,443353421,440016797,439578543,476110306,606892329,612779858,616244196,621931995,707450000,879029000,1154932000,1317109000,1797913000
67,Total Stockholders Equity,111116114,262753173,287608517,296111077,395263085,281005649,96693606,204415381,171126405,229329349,437596282,535455471,565090775,587140735,695825000,895238000,1184610000,1344371000,2418122000
68,Total Liabilities And Stockholders Equity,294532830,852045446,1332383801,2138876959,2828639276,2579247470,2058834408,1729208066,1774780202,1699949507,1877472482,1880422590,1827391944,2810889053,3457214000,4441847000,6067743000,7522672000,14941983000
69,Minority Interest,43631602,60249731,63691556,65468252,72854258,-10981,1940364,1999862,1934128,1931773,- -,- -,- -,159897193,168731000,170328000,171417000,138314000,131862000
70,Total Liabilities & Equity,338164432,912295177,1396075357,2204345211,2901493534,2579236489,2060774772,1731207928,1776714330,1701881280,1877472482,1880422590,1827391944,2970786246,3625945000,4612175000,6239160000,7660986000,15073845000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1253986/000095012305003868/y07196e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012306003216/y17899e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012307002959/y30963e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012308002566/y50514e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012309004280/0000950123-09-004280-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000095012310022203/0000950123-10-022203-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746911001737/a2202433z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746912002036/0001047469-12-002036-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746913001165/0001047469-13-001165-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746914000903/a2218253z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746915000780/a2223024z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746916010477/0001047469-16-010477-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746917001214/0001047469-17-001214-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746918000985/0001047469-18-000985-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746919000508/0001047469-19-000508-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746920000885/0001047469-20-000885-index.htm,https://www.sec.gov/Archives/edgar/data/1253986/000110465921025551/0001104659-21-025551-index.htm,https://www.sec.gov/Archives/edgar/data/1253986/000110465922024981/0001104659-22-024981-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,3407919,25072682,50387023,50413807,84533878,-81229844,-230631156,112910211,-40311713,21500888,21174538,93048490,53428814,50349852,73389000,115866000,128628000,170949000,339300000
74,Depreciation and Amortization,- -,-1431146,-165906,-219820,1587481,751859,755703,570154,5951525,5904089,7250601,7371737,5436330,26726460,54587000,55577000,56191000,56862000,65830000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,1710000,- -,- -,- -,- -,- -,- -,-7399000,-12033000,150000,4726000,10892000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2414796,310500,1407700,578190,1600142,1989439,3442683,3513540,4840000,6095000,9514000,9046000,9929000
77,Change in Working Capital,5973538,-74600000,-19600000,-9100000,-134700000,-7100000,60300000,1300000,137897259,-153455634,167441255,46930757,129603633,-285376447,-54221823,31338000,5938339000,-5774996000,-72921000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-74600000,-94200000,-103300000,-238000000,-245100000,-184800000,-183500000,-45602741,-199058375,-31617120,15313637,144917270,-140459177,-194681000,-163343000,5774996000,- -,- -
82,Other Non-Cash Items,1456172,79032126,42614853,24000384,208267022,137981064,216575942,-95897364,-105334393,145638518,-174944192,-118545067,-155563771,7169519,389638823,-234578000,-6359359000,5588578000,-136183000
83,Cash Provided by Operating Activities,10837629,28073662,73235970,65094371,159688381,50403079,49415285,20903501,-389622,20166051,22522344,30795356,36347689,-197617076,460834000,-37735000,-226537000,55165000,216847000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,22237306,-8004139,17197891,37853251,48441691,-672000,-367000,-475000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,2319380,-2284101,3743216,- -,- -,- -,- -,-68356323,- -,- -,- -,- -,- -
86,Purchases of Investments,-5917542,-733136181,- -,- -,-16715584,- -,-12412500,-6591699,-37853323,-69299075,-29024327,-526499,-20875313,-6090916,-27866000,-49992000,-33522000,-38818000,-101582000
87,Sales/Maturities of Investments,- -,221425780,15999968,7897845,22150778,- -,2710012,57777389,- -,55895146,43132650,34567856,2100000,1567207,460000,2269000,12488000,20153000,13317000
88,Other Investing Activites,-108900852,-53365937,-461635872,-796121463,-615428777,231166105,159104985,188910256,-6238866,-33129749,-214185309,110910548,43509385,-129037220,-880543000,-634152000,-973706000,-1137959000,-6661989000
89,Cash Used for Investing Activites,-114818394,-565076338,-445635904,-788223618,-609993583,231166105,151721877,237811845,-40348973,-46533678,-200076986,144951905,24734072,-201917252,-907949000,-681875000,-994740000,-1156624000,-6750254000
90,Debt Repayment,- -,- -,-6000000,-782167202,-469659223,-586651575,-242148627,-257550487,-70862889,-179706432,-167154040,-417749450,-520055412,-308405000,-231691000,-643897000,-761190000,-375461000,-889150000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,39200000,134176328,6800000,- -,- -,76225000,156417000,260383000,183585000,514593000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-5746567,-684764,- -,- -,- -,- -,- -,-10066000,-11574000,-53764000,-148798000
93,Dividends Paid,-4099784,-19488498,-46205766,-44134107,-46600416,-47375829,-236010,-170745,-295890,-8043265,-25377498,-33141118,-37063493,-39366254,-50181000,-75651000,-115415000,-149365000,-227062000
94,Other Financing Activites,114196074,556777350,437631308,1537760104,981027525,331070720,105039709,35506175,71755856,149554498,267110515,258371500,634328086,697242325,618491000,1389704000,2018966000,1522900000,7638096000
95,Cash Used/Provided by Financing Activities,110096290,537288852,385425542,711458795,464767886,-302956684,-137344928,-222215057,-5149490,320037,208755305,-185719068,77209181,349471071,412844000,816507000,1391170000,1127895000,6887679000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,286176,13025608,-11670452,14462684,-21387500,63792234,36500289,-45888085,-26047590,31200663,-9971807,138290942,-50063257,-34271000,96897000,169893000,26436000,354272000
98,Cash at the End of Period,6115525,6401701,19427309,7756857,22219541,832041,64624275,101124564,55236479,29188889,60389552,50417745,188708687,138645430,104374000,340669000,510562000,536998000,891270000
99,Cash at the Beginning of Period,- -,6115525,6401701,19427309,7756857,22219541,832041,64624275,101124564,55236479,29188889,60389552,50417745,188708687,138645000,243772000,340669000,510562000,536998000
100,Free Cash Flow,10837629,28073662,73235970,65094371,159688381,50403079,49415285,20903501,-389622,20166051,22522344,30795356,36347689,-197617076,459635000,-37735000,-226537000,55165000,216847000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1253986/000095012305003868/y07196e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012306003216/y17899e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012307002959/y30963e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012308002566/y50514e10vk.htm,https://www.sec.gov/Archives/edgar/data/1253986/000095012309004280/0000950123-09-004280-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000095012310022203/0000950123-10-022203-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746911001737/a2202433z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746912002036/0001047469-12-002036-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746913001165/0001047469-13-001165-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746914000903/a2218253z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746915000780/a2223024z10-k.htm,https://www.sec.gov/Archives/edgar/data/1253986/000104746916010477/0001047469-16-010477-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746917001214/0001047469-17-001214-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746918000985/0001047469-18-000985-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746919000508/0001047469-19-000508-index.html,https://www.sec.gov/Archives/edgar/data/1253986/000104746920000885/0001047469-20-000885-index.htm,https://www.sec.gov/Archives/edgar/data/1253986/000110465921025551/0001104659-21-025551-index.htm,https://www.sec.gov/Archives/edgar/data/1253986/000110465922024981/0001104659-22-024981-index.htm
102,false,,,,,,,,,,,,,,,,,,,
