,https://roic.ai/company/VSAT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0552,0.0671,0.0826,0.0881,0.1042,0.0625,0.0110,-0.0521,0.0474,0.0558,0.0542,0.0585,0.0583,0.0610,0.0452,0.0450,0.0087,-0.0368,-0.0070,0.0292,0.0153,0.0152,-0.0422,-0.0327,-0.0001,0.0016
25,EPS,0.25,0.23,0.34,0.40,0.49,0.48,0.09,-0.37,0.50,0.72,0.87,1.06,1.11,1.25,0.86,0.87,0.17,-0.92,-0.20,0.85,0.44,0.41,-1.14,-1.12,-0.00,0.05
26,EPS Diluted,0.14,0.23,0.33,0.39,0.46,0.46,0.09,-0.37,0.48,0.68,0.81,0.98,1.04,1.20,0.86,0.84,0.17,-0.94,-0.21,0.84,0.44,0.41,-1.15,-1.13,-0.00,0.05
27,Weighted Average Shares Outstanding,6400000,13404828,15602424,15953696,16193000,21379015,23071840,26015702,26257000,26749000,27133000,28589000,30232000,30772000,31863000,41664767,44226000,44974186,46229259,47697413,48926417,57600609,58905274,60550093,61632000,68529133
28,Weighted Average Shares Outstanding Diluted,11428571,13404828,16349988,16345320,17422444,22536982,23953664,26015702,27558000,28147000,28857000,30893000,32224000,31884000,34839000,43059000,44226000,44974186,46229259,48285000,49445000,57600609,58905274,60550093,61632000,68529133
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/797721/000093639297000848/0000936392-97-000848-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797721/000093639202000787/0000936392-02-000787-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639203000908/0000936392-03-000908-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639204000647/0000936392-04-000647-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639205000139/0000936392-05-000139-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639206000591/0000936392-06-000591-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639207000476/0000936392-07-000476-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639208000395/0000936392-08-000395-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000093639209000293/0000936392-09-000293-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095012310054366/0000950123-10-054366-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000095012311054646/0000950123-11-054646-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312512249227/0001193125-12-249227-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312513234043/0001193125-13-234043-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312514211759/0001193125-14-211759-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312515199042/0001193125-15-199042-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312516604149/0001193125-16-604149-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000119312517182146/0001193125-17-182146-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459018014641/0001564590-18-014641-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459019020649/0001564590-19-020649-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459020027420/0001564590-20-027420-index.htm,https://www.sec.gov/Archives/edgar/data/797721/000156459021030718/0001564590-21-030718-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,12700000,3300000,6000000,19520000,17721000,6464000,4111000,18500000,14600000,36723000,103300000,125200000,63500000,89600000,40500000,172600000,105700000,58300000,52263000,42088000,130098000,71446000,261701000,304309000,295949000
32,Short-Term Investments,- -,- -,- -,- -,121000,- -,156000,158000,200000,200000,164000,47000,43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2300000,12700000,3300000,6000000,19641000,17721000,6620000,4269000,18700000,14800000,36887000,103347000,125243000,63500000,89600000,40500000,172600000,105700000,58300000,52263000,42088000,130098000,71446000,261701000,304309000,295949000
34,Net Receivables,6200000,10300000,19100000,16200000,26268000,64105000,80170000,80962000,113900000,143900000,144715000,139800000,155500000,166600000,185400000,191900000,211700000,267000000,271900000,266339000,286724000,263721000,267665000,300307000,330698000,238652000
35,Inventory,1200000,4500000,4700000,2500000,3122000,22916000,30116000,29758000,30400000,36600000,49883000,46000000,60300000,65600000,83000000,98600000,127600000,106300000,119600000,128367000,145161000,163201000,196307000,234518000,294416000,336672000
36,Other Current Assets,600000,2700000,7900000,17600000,3980000,15208000,10317000,10256000,11500000,14500000,12968000,19053000,34557000,43100000,37100000,39900000,51300000,65900000,81800000,44702000,49361000,57836000,77135000,90646000,116281000,119960000
37,Total Current Assets,10300000,30200000,35000000,42300000,53011000,119950000,127223000,125245000,174500000,209800000,244453000,308200000,375600000,338800000,395100000,370900000,563200000,544900000,531600000,491671000,523334000,614856000,612553000,887172000,1045704000,991233000
38,PP&E,2800000,5100000,7000000,6600000,8164000,19888000,31117000,33609000,32100000,33300000,46211000,51500000,64700000,170200000,651500000,766100000,880700000,913800000,1052500000,1180243000,1385107000,1648878000,1962475000,2125290000,2895176000,3390939000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,19500000,19500000,28133000,66000000,66400000,65400000,75000000,83500000,83500000,83000000,83600000,117241000,117040000,119876000,121085000,121719000,121197000,122300000
40,Intangible Assets,- -,- -,- -,- -,- -,25744000,63448000,54966000,41400000,31300000,30946000,38000000,29800000,21500000,106000000,115000000,116200000,118900000,142100000,179176000,213565000,261863000,294754000,289728000,296315000,299557000
41,Intangible Assets,- -,- -,- -,- -,- -,25744000,63448000,54966000,60900000,50800000,59079000,104000000,96200000,86900000,181000000,198500000,199700000,201900000,225700000,296417000,330605000,381739000,415839000,411447000,417512000,421857000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141894000,163835000,160711000,160204000,176938000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,13518000,- -,- -,- -,- -,3400000,3100000,1500000,800000,816000,134721000,134764000,222274000,258834000,276331000,273288000
44,Other Non-Current Assets,200000,400000,800000,1100000,755000,3796000,16879000,23335000,4800000,7900000,1808000,20200000,14600000,27000000,66000000,66800000,80500000,132000000,149500000,189231000,32079000,32522000,37133000,71833000,88941000,95212000
45,Total Non-Current Assets,3000000,5500000,7800000,7700000,8919000,49428000,111444000,111910000,98200000,92000000,120616000,175700000,175500000,284100000,898500000,1034800000,1164000000,1249200000,1428500000,1666707000,1882512000,2339797000,2801556000,3028115000,3838164000,4358234000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13300000,35700000,42800000,50000000,61930000,169378000,238667000,237155000,272700000,301800000,365069000,483900000,551100000,622900000,1293600000,1405700000,1727200000,1794100000,1960100000,2158378000,2405846000,2954653000,3414109000,3915287000,4883868000,5349467000
48,Accounts Payable,2800000,4800000,4600000,3800000,8934000,20310000,16069000,21983000,32600000,38500000,50577000,43500000,52300000,63400000,78400000,71700000,75000000,83000000,98900000,76931000,95645000,100270000,157481000,157275000,183601000,145134000
