,https://roic.ai/company/HTLD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,10300000,10400000,9100000,9300000,12200000,19200000,21900000,55100000,73800000,47400000,224395561,286084675,320486938,317537272,306634798,303768310,307910147,342855099,370007162,400285619,449316417,472890984,502864000,288667000,250278000,246564000,219504000,32492000,37597000,55706000,56191000,42319000,49297000,44819000,44737000,53908000,46673000
11,COGS and Expenses,14900000,15700000,19400000,24900000,37100000,48400000,56000000,73700000,88500000,197200000,395758263,522809707,579102180,565963544,537530649,519670915,512592029,557693809,566017929,621160500,695194153,734872881,779762000,479039000,347317000,408067000,422066000,465953000,503225000,773031000,654805000,536574000,570466000,545979000,533881000,566673000,539315000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9132000,2338000,1424000,773000,674000,462000,195000,210000,481000,1129000,2130000,3955000,842000,640000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,446000,19000,- -,175000,- -,1052000,842000,640000
14,Depreciation and Amortization,1700000,1600000,1800000,2100000,-2700000,-4200000,-5200000,-7100000,-8700000,-20100000,15902128,13956088,17488602,19227213,17312033,17217526,17779043,20390389,26918784,30028588,38248363,47371253,48486000,46109000,58730000,61949000,57876000,57821000,69649000,109629000,111848000,105580000,103905000,101329000,100932000,110381000,104232000
15,EBITDA,5300000,7000000,7700000,10500000,6600000,7000000,8900000,10700000,14000000,1700000,48581003,53683847,64456467,70163913,67971181,69193211,74832898,85250862,114061586,126657730,149732218,182519424,169221000,153188000,140032000,154822000,165206000,153396000,182413000,241692000,228638000,191629000,168578000,193246000,199162000,205484000,210919000
16,EBITDA ratio,0.2789,0.3241,0.2962,0.3035,0.1366,0.1113,0.1204,0.1109,0.1207,0.0076,0.2537,0.2344,0.2455,0.2663,0.2604,0.2518,0.2540,0.2502,0.2816,0.2771,0.2859,0.3191,0.2859,0.2449,0.3047,0.3099,0.3125,0.2811,0.3133,0.2774,0.3105,0.3126,0.2776,0.3164,0.3337,0.3185,0.3473
17,Operating Income,4100000,5900000,6600000,9700000,11200000,14500000,17900000,22800000,27500000,27000000,-204251522,-293798599,-316598024,-302474388,-276526527,-244843364,-217974766,-216948783,-160901832,-164074189,-171401406,-162953708,-187869000,97947000,78964000,91449000,106557000,94901000,112302000,131868000,116580000,85568000,63544000,89787000,94275000,93419000,105407000
18,Operating Income ratio,0.2158,0.2731,0.2538,0.2803,0.2319,0.2305,0.2422,0.2363,0.2371,0.1204,-1.0666,-1.2829,-1.2061,-1.1480,-1.0595,-0.8909,-0.7399,-0.6367,-0.3972,-0.3590,-0.3272,-0.2849,-0.3174,0.1566,0.1718,0.1831,0.2016,0.1739,0.1929,0.1513,0.1583,0.1396,0.1046,0.1470,0.1580,0.1448,0.1736
19,Total Other Income Expenses (Gains),-500000,-500000,-700000,-1300000,-1900000,-3300000,-3800000,-5000000,-5500000,-5200000,236930397,333526358,363565889,353411088,327185675,296819049,275028621,281809256,248044634,260703331,282885261,298101879,308604000,9132000,2338000,1424000,773000,674000,254000,-251000,191000,481000,954000,2130000,2903000,842000,640000
20,Income Before Tax,3600000,5400000,5900000,8400000,9300000,11200000,14100000,17800000,22000000,21800000,32678875,39727759,46967865,50936700,50659148,51975685,57053855,64860473,87142802,96629142,111483855,135148171,120735000,107079000,81302000,92873000,107330000,95575000,112556000,131617000,116771000,86049000,64498000,91917000,97178000,94261000,106047000
21,Income Before Tax Ratio,0.1895,0.2500,0.2269,0.2428,0.1925,0.1781,0.1908,0.1845,0.1897,0.0972,0.1706,0.1735,0.1789,0.1933,0.1941,0.1891,0.1937,0.1903,0.2151,0.2114,0.2128,0.2363,0.2040,0.1712,0.1769,0.1859,0.2030,0.1751,0.1933,0.1510,0.1586,0.1404,0.1062,0.1505,0.1628,0.1461,0.1746
22,Income Tax expense (Gain),1600000,2400000,2400000,3400000,3400000,3900000,5100000,6200000,8000000,11700000,12093401,14697268,16894972,17827847,17535710,17671725,19398239,22052559,29921477,34182554,39578093,47977602,44565000,37111000,24353000,30657000,37398000,34034000,41974000,46783000,43715000,29663000,-10675000,19240000,24211000,23455000,26770000
23,Net Income,2000000,3000000,3500000,5000000,5900000,7300000,9000000,11600000,14700000,10100000,20585474,25030491,30072893,33108853,33123438,34303960,37655616,42807914,57221325,62446588,71905762,87170569,76170000,69968000,56949000,62216000,69932000,61541000,70582000,84834000,73056000,56386000,75173000,72677000,72967000,70806000,79277000
24,Net Income ratio,0.1053,0.1389,0.1346,0.1445,0.1222,0.1161,0.1218,0.1202,0.1267,0.0450,0.1075,0.1093,0.1146,0.1257,0.1269,0.1248,0.1278,0.1256,0.1412,0.1366,0.1373,0.1524,0.1287,0.1118,0.1239,0.1246,0.1323,0.1128,0.1212,0.0974,0.0992,0.0920,0.1238,0.1190,0.1223,0.1097,0.1305
25,EPS,0.02,0.03,0.03,0.05,0.05,0.07,0.08,0.10,0.10,0.09,0.11,0.21,0.25,0.28,0.29,0.34,0.38,0.43,0.57,0.62,0.73,0.89,0.78,0.73,0.62,0.69,0.78,0.72,0.83,0.97,0.84,0.68,0.90,0.88,0.89,0.87,0.97
26,EPS Diluted,0.02,0.03,0.03,0.05,0.05,0.07,0.08,0.10,0.10,0.09,0.11,0.21,0.25,0.28,0.29,0.34,0.38,0.43,0.57,0.62,0.73,0.89,0.78,0.73,0.62,0.69,0.78,0.71,0.83,0.96,0.84,0.68,0.90,0.88,0.89,0.87,0.97
27,Weighted Average Shares Outstanding,131164743,107319167,125205695,103553972,116084604,110483859,110672520,111332924,113132188,116894089,182345603,118264543,118264543,118264543,115741314,100682137,99997500,99997500,99997500,99997500,99122813,98359361,97735000,95900000,91131000,90689000,89656000,85892000,85209000,87748000,86974000,83297000,83298000,82378000,81980000,81388000,79336000
28,Weighted Average Shares Outstanding Diluted,131164743,107319167,125205695,103553972,116084604,110483859,110672520,111332924,113132188,116894089,182345603,118264543,118264543,118264543,118051211,100682137,99997500,99997500,99997500,99997500,99122813,98359361,97735000,95900000,91131000,90689000,89673000,86201000,85441000,87923000,87109000,83365000,83336000,82410000,82024000,81444000,79364000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923396000020/0000799233-96-000020-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923309000012/0000799233-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923310000009/0000799233-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923312000017/0000799233-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923313000013/0000799233-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923314000015/htld201310k.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923315000005/htld201410k.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923316000056/0000799233-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923317000012/0000799233-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923318000007/0000799233-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923319000006/0000799233-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923320000007/0000799233-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923321000016/0000799233-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923322000006/0000799233-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,3400000,3700000,7500000,3300000,4600000,5900000,6100000,8000000,10200000,46162143,59593468,76240422,143434594,126211056,128027076,120794142,109397246,127885474,1610543,5366929,8458882,7960000,56651000,52351000,121120000,139770000,119838000,17763000,17303000,33232000,128507000,75378000,161448000,76684000,113852000,157742000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4519461,31461259,19769765,- -,500000,- -,40281980,44464176,74545681,256727782,282255377,322829306,188643000,241000,7126000,8300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,600000,3400000,3700000,7500000,3300000,4600000,5900000,6100000,8000000,10200000,50681604,91054727,96010187,143434594,126711056,128027076,161076122,153861422,202431155,258338325,287622306,331288188,196603000,56892000,59477000,129420000,139770000,119838000,17763000,17303000,33232000,128507000,75378000,161448000,76684000,113852000,157742000
34,Net Receivables,1100000,1200000,1800000,2200000,3800000,4600000,14100000,7800000,9100000,17400000,18035002,15696591,24247307,21391206,23478708,24954681,25700435,33012394,36836728,37102813,42860411,43499482,44416000,36803000,42019000,43671000,44512000,48906000,90106000,96954000,68650000,51582000,70686000,49125000,57076000,55577000,56907000
35,Inventory,- -,- -,- -,- -,- -,2000000,1200000,2300000,1800000,2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500000,600000,900000,1100000,4300000,600000,1900000,14700000,24600000,14600000,14181587,14665804,17738707,17427547,17993490,20954917,21580166,26512194,24510681,27814357,33024097,35887643,36899000,44933000,23018000,20695000,29153000,22681000,36431000,35975000,34562000,22022000,24771000,21929000,18054000,23583000,18574000
37,Total Current Assets,2200000,5200000,6400000,10800000,11400000,11800000,23100000,30900000,43500000,44400000,82898193,121417122,137996201,182253347,168183254,173936674,208356723,213386010,263778564,323255495,363506814,410675313,277918000,138628000,124514000,193786000,213435000,191425000,144300000,150232000,136444000,202111000,170835000,232502000,151814000,193012000,233223000
38,PP&E,8700000,7300000,11500000,13800000,21400000,32000000,33800000,44900000,51400000,90800000,73693518,68394821,216276617,68569470,72905580,89077972,102118855,151401586,175699806,184675034,200506540,248030741,237813000,237680000,275170000,220452000,248441000,242371000,449259000,480559000,473998000,407648000,442862000,403120000,526287000,539280000,487915000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4814597,4814597,4814597,4815000,4815000,4815000,4815000,4815000,4815000,98686000,100212000,100212000,100212000,132410000,132410000,168295000,168295000,168295000
40,Intangible Assets,- -,- -,- -,- -,300000,200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18746000,16380000,14013000,12090000,17022000,14494000,27136000,24746000,22355000
41,Intangible Assets,- -,- -,- -,- -,300000,200000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4814597,4814597,4814597,4815000,4815000,4815000,4815000,4815000,4815000,117432000,116592000,114225000,112302000,149432000,146904000,195431000,193041000,190650000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171122000,140884000,80394000,50569000,20016000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3785000,1737000,4535000,6006000,8164000,- -
44,Other Non-Current Assets,- -,-100000,-100000,- -,-100000,100000,- -,- -,- -,1200000,1554660,1692279,-128806144,6005191,5404707,5040358,3762832,8320593,8928186,4266725,4679974,5549061,5748000,5469000,5780000,6588000,8406000,9110000,13850000,12611000,11363000,12382000,24261000,19152000,19393000,17679000,16754000
45,Total Non-Current Assets,8700000,7200000,11400000,13800000,21600000,32300000,33900000,45000000,51400000,92000000,75248178,70087100,87470473,74574661,78310287,94118330,105881687,159722179,184627992,193756356,210001111,258394399,248376000,419086000,426649000,312249000,312231000,276312000,580541000,609762000,599586000,536117000,618292000,573711000,747117000,758164000,695319000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10900000,12400000,17800000,24600000,33000000,44100000,57000000,75900000,94900000,136400000,158146371,191504222,225466674,256828008,246493541,268055004,314238410,373108189,448406556,517011851,573507925,669069712,526294000,557714000,551163000,506035000,525666000,467737000,724841000,759994000,736030000,738228000,789127000,806213000,898931000,951176000,928542000
48,Accounts Payable,- -,- -,- -,- -,2200000,3200000,1100000,1000000,1200000,5700000,7388330,11384188,8857820,7615143,10595662,6712053,7073957,8632810,15684826,9722099,10572525,15075647,13073000,26200000,6953000,- -,- -,7583000,26912000,8261000,7516000,12355000,14366000,10552000,11060000,12751000,20538000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705437,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6070318,7720875,7918914,8064947,21418610,- -,452000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1475000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2900000,1200000,2200000,3000000,2400000,3300000,8100000,14100000,16700000,35900000,34023928,40187867,46968794,46648952,45912328,48718340,53379226,58456640,61445815,71061822,81671748,101347256,82299000,78496000,40101000,48900000,45663000,37772000,61656000,60027000,58652000,53179000,60955000,54137000,52347000,58291000,51056000
53,Total Current Liabilities,2900000,1200000,2200000,3000000,4600000,6500000,9200000,15100000,17900000,41600000,42117695,51572055,55826614,54264095,56507990,55430393,60453183,67089450,77130641,80783921,92244273,116422903,95372000,104696000,47054000,48900000,45663000,45355000,88568000,68288000,66168000,65534000,75321000,64689000,63407000,71042000,71594000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,24600000,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,3300000,4300000,5900000,7100000,8400000,10000000,16000000,17393000,16266000,15901000,15716000,15146000,17491000,20996000,30089000,39760000,46885000,48012000,57623000,50570000,92979000,82541000,40917000,57661000,51306000,61948000,101605000,112118000,94657000,65488000,71041000,93698000,104004000,89971000
57,Other Non-Current Liabilities,2300000,1700000,2500000,200000,100000,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-1662994,-1204686,-824259,- -,- -,37593000,- -,53898000,82031000,81571000,80712000,101672000,88914000,87816000,72211000,73673000,54511000,57167000,51796000,39875000
58,Total Non-Current Liabilities,2300000,1700000,2500000,3500000,4400000,5900000,7100000,8400000,9900000,16700000,17393000,16266000,15901000,15716000,15146000,17491000,20996000,28426006,38555314,46060741,48012000,57623000,88163000,92979000,136439000,122948000,139232000,132018000,238620000,215119000,199934000,166868000,139161000,125552000,150865000,155800000,129846000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5200000,2900000,4700000,6500000,9000000,12400000,16300000,23500000,27800000,58300000,59510695,67838055,71727614,69980095,71653990,72921393,81449183,95515456,115685955,126844662,140256273,174045903,183535000,197675000,183493000,171848000,184895000,177373000,327188000,283407000,266102000,232402000,214482000,190241000,214272000,226842000,201440000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,3000000,300000,300000,264603,253666,500000,500000,500000,750000,738215,982519,970000,942000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000
64,Retained Earnings,4400000,6600000,10100000,15100000,21000000,28400000,37100000,48500000,63000000,71100000,91026552,116757997,146830890,179939743,167966778,188271775,225681057,268488971,323710296,380906884,432952138,493665261,341350000,367281000,371650000,335922000,398706000,368313000,432034000,509834000,575948000,625668000,694174000,760262000,826666000,890970000,924375000
65,Other Comprehensive Income/Loss,-3100000,-2900000,-4100000,-3400000,-4600000,-5000000,-8600000,-11000000,-14800000,-42800000,-36459541,-41697199,-54336481,-60618544,-66533949,-56329103,-47473283,-1662994,-1204686,-68973751,-81204416,-96293111,-132545000,-8623000,-5326000,-3081000,-3081000,-1284000,- -,-198007000,-197948000,-251405000,-223901000,-200550000,-212856000,-240080000,- -
66,Other Total Stockholders Equity,4400000,5800000,7100000,6400000,7600000,8300000,12200000,14900000,18900000,49800000,42068665,45605369,60944651,67226714,73142119,62937273,54081453,10266756,9714991,77484056,80765715,96669140,132984000,439000,439000,439000,-55761000,-77572000,-35288000,163853000,91021000,130656000,103465000,55353000,69942000,72537000,-198180000
67,Total Stockholders Equity,5700000,9500000,13100000,18100000,24000000,31700000,40700000,52400000,67100000,78100000,98635676,123666167,153739060,186847913,174839551,195133611,232789227,277592733,332720601,390167189,433251652,495023809,342759000,360039000,367670000,334187000,340771000,290364000,397653000,476587000,469928000,505826000,574645000,615972000,684659000,724334000,727102000
68,Total Liabilities And Stockholders Equity,10900000,12400000,17800000,24600000,33000000,44100000,57000000,75900000,94900000,136400000,158146371,191504222,225466674,256828008,246493541,268055004,314238410,373108189,448406556,517011851,573507925,669069712,526294000,557714000,551163000,506035000,525666000,467737000,724841000,759994000,736030000,738228000,789127000,806213000,898931000,951176000,928542000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10900000,12400000,17800000,24600000,33000000,44100000,57000000,75900000,94900000,136400000,158146371,191504222,225466674,256828008,246493541,268055004,314238410,373108189,448406556,517011851,573507925,669069712,526294000,557714000,551163000,506035000,525666000,467737000,724841000,759994000,736030000,738228000,789127000,806213000,898931000,951176000,928542000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923396000020/0000799233-96-000020-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923309000012/0000799233-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923310000009/0000799233-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/799233/000079923312000017/0000799233-12-000017-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923313000013/0000799233-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923314000015/htld201310k.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923315000005/htld201410k.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923316000056/0000799233-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923317000012/0000799233-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923318000007/0000799233-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923319000006/0000799233-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923320000007/0000799233-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/799233/000079923321000016/0000799233-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/799233/000079923322000006/0000799233-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,5900000,7300000,9000000,11600000,14700000,10100000,20585474,25030491,30072893,33108853,33123438,34303960,37655616,42807914,57221325,62446588,71905762,87170569,76170000,69968000,56949000,62216000,69932000,61541000,70582000,84834000,73056000,56386000,75173000,72677000,72967000,70806000,79277000
74,Depreciation and Amortization,- -,- -,- -,- -,-2700000,-4200000,-5200000,-7100000,-8700000,-20100000,15902128,13956088,17488602,19227213,17312033,17217526,17779043,20390389,26918784,30028588,38248363,47371253,48486000,46109000,58730000,61949000,57876000,57821000,69649000,109629000,111848000,105580000,103905000,101329000,100932000,110381000,104232000
75,Deferred Income Tax,- -,- -,- -,- -,100000,1400000,400000,-1000000,200000,-200000,905000,-2807000,-3149000,-426000,-467000,1478000,2993000,5317000,9497000,3469000,-2630000,5101000,494000,2192000,14637000,-8440000,14743000,-5751000,10262000,39067000,8618000,-4584000,-27121000,2755000,4699000,8148000,-5869000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,2379000,1184000,1134000,1251000,856000,511000,539000,2065000,2092000,1150000
77,Change in Working Capital,- -,- -,- -,- -,-300000,-1500000,8600000,1900000,9800000,-22800000,37980498,29064569,12324520,45819665,-16313988,6831017,29397259,-1606980,40351363,55823651,28790967,22989869,-111706410,-148614000,43528000,67426000,22886000,-21702000,-90338000,26212000,-11668000,66301000,-41063000,72299000,-2950000,2253000,-17934000
78,Accounts Receivable,- -,- -,- -,- -,-1600000,-800000,-400000,-2700000,-1400000,2200000,-591568,2338411,-4623019,2856101,-2087502,-1475973,-745754,-7311959,-3824334,-266085,-5757598,-639071,-860000,7556000,-558000,-4258000,-2579000,-2357000,7834000,7366000,16025000,14165000,15239000,15338000,6676000,1176000,2765000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,1700000,1200000,2900000,- -,3500000,6500000,-135813,5159151,5413840,-844817,-1851091,2349670,1594686,8399063,3491247,7631300,11308110,7609411,2731000,- -,- -,- -,- -,953000,-9722000,-19017000,202000,-11063000,-26893000,-26012000,-10758000,3062000,-18476000
81,Other Working Capital,- -,- -,- -,- -,6800000,5300000,13900000,15800000,25600000,2800000,40780498,69845067,82169587,127989252,111675264,118506281,147903540,146296560,186647923,242471574,271262541,294252410,182546000,33932000,77460000,144886000,167772000,146070000,55732000,81944000,70276000,136577000,95514000,167813000,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,6200000,9500000,5300000,14400000,9400000,75600000,-37265596,-16929919,-9976570,-44994375,11959383,-9918793,-26572618,976425,-36904163,-48249224,-31373829,-34558340,106153410,152157000,-72741000,-84544000,-66507000,7885000,49896000,-88423000,7367000,-68758000,-1867000,-103056000,-31341000,-14830000,-37438000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,9200000,12500000,18100000,19800000,25400000,42600000,38107504,48314229,46760445,52735356,45613866,49911710,61252300,67884748,97084309,103518603,104941263,128074351,119597000,121812000,101103000,98607000,99080000,102173000,111235000,172453000,190472000,155781000,109538000,146543000,146372000,178850000,123418000
84,CAPEX,- -,- -,- -,- -,-10700000,-14900000,-7600000,-18300000,-15900000,-3700000,-382181,-7491563,-22384516,-5511705,-18613595,-36335347,-29104777,-58469994,-47062344,-43899131,-49155034,-76056390,-43579000,-35949000,-79123000,-14551000,-126257000,-66811000,-135195000,-204973000,-217253000,-86088000,-184114000,-169276000,-163780000,-204337000,-132640000
