,https://roic.ai/company/ACN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,1880083000,1316976000,2332161000,2552958000,2483990000,3066988000,3314396000,3602760000,4541662000,4838000000,5701000000,6641000000,5632000000,4921000000,4314831000,4860131000,4081313000,5015702000,6126694000,8415330000,8168174000
32,Short-Term Investments,- -,- -,- -,285288000,463460000,352951000,231278000,20282000,7904000,3000000,5000000,2000000,3000000,3000000,2448000,2875000,3011000,3192000,3313000,94309000,4294000
33,Cash and Short-Term Investments,1880083000,1316976000,2332161000,2838246000,2947450000,3419939000,3545674000,3623042000,4549566000,4841000000,5706000000,6643000000,5635000000,4924000000,4317279000,4863006000,4084324000,5018894000,6130007000,8509639000,8172468000
34,Net Receivables,2300114000,2144344000,2245407000,2677081000,3106613000,3266661000,3699334000,4515395000,3361785000,3662000000,4622000000,4481000000,4847000000,5663000000,5725424000,6222399000,6885257000,7496368000,8095071000,7846892000,9728212000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,399440000,599768000,459643000,581062000,631204000,667221000,726170000,1020691000,1079163000,1061000000,1143000000,1464000000,1362000000,1317000000,657371000,890817000,1127708000,1070297000,1225523000,1393225000,1765831000
37,Total Current Assets,4579637000,4061088000,5037211000,6096389000,6685267000,7353821000,7971178000,9159128000,8990514000,9564000000,11471000000,12588000000,11844000000,11904000000,10700074000,11976222000,12097289000,13585559000,15450601000,17749756000,19666511000
38,PP&E,822318000,716504000,650455000,643946000,693710000,727692000,808069000,800164000,701144000,659569000,785231000,779494000,779675000,793444000,801884000,956542000,1140598000,1264020000,1391166000,4728914000,4821624000
39,Goodwill,- -,- -,- -,214482000,- -,527648000,643728000,839957000,825152000,841000000,1132000000,1215000000,1819000000,2396000000,2929833000,3609437000,5002352000,5383012000,6205550000,7709820000,11125861000
40,Intangible Assets,- -,167603000,188659000,- -,378488000,- -,- -,- -,- -,- -,- -,- -,- -,398000000,464907000,510151000,710382000,687110000,840779000,1029218000,1710938000
41,Intangible Assets,- -,167603000,188659000,214482000,378488000,527648000,643728000,839957000,825152000,841000000,1132000000,1215000000,1819000000,2794000000,3394740000,4119588000,5712734000,6070122000,7046329000,8739038000,12836799000
42,Investments,- -,- -,- -,340121000,- -,- -,- -,- -,29011000,41023000,40365000,28180000,43631000,66783000,45027000,198633000,211610000,215532000,240313000,324514000,329526000
43,Tax Assets,213617000,283969000,326286000,309045000,291033000,392211000,389858000,613943000,745228000,68000000,72000000,106000000,175000000,199000000,91372000,111020000,137098000,125729000,133232000,4153146000,4007130000
44,Other Non-Current Assets,445784000,249784000,256629000,383696000,908854000,416708000,934329000,985333000,964685000,1661408000,2231404000,1948326000,2205694000,2172773000,3169550000,3246999000,3390561000,3188121000,5528239000,1383225000,1514253000
45,Total Non-Current Assets,1481719000,1417860000,1422029000,1891290000,2272085000,2064259000,2775984000,3239397000,3265220000,3271000000,4261000000,4077000000,5023000000,6026000000,7502573000,8632782000,10592601000,10863524000,14339279000,19328837000,23509332000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6061356000,5478948000,6459240000,7987679000,8957352000,9418080000,10747162000,12398525000,12255734000,12835000000,15732000000,16665000000,16867000000,17930000000,18202647000,20609004000,22689890000,24449083000,29789880000,37078593000,43175843000
48,Accounts Payable,371794000,450208000,573201000,523931000,807317000,856087000,985071000,1017227000,717379000,885000000,949000000,904000000,962000000,1064000000,1151464000,1280821000,1525065000,1348802000,1646641000,1349874000,2274057000
49,Short-Term Debt,190669000,63099000,46162000,31715000,31072000,24792000,23795000,6570000,594000,143000,4419000,11000,- -,330000,1848000,2773000,2907000,5337000,6411000,763877000,756244000
50,Tax Payable,- -,- -,- -,795948000,- -,- -,- -,- -,492559000,511028000,586543000,571149000,575248000,715704000,836177000,721322000,1091876000,497885000,378017000,1115951000,1032953000
51,Deferred Revenue,810043000,543917000,676841000,980461000,1284303000,1511259000,1785286000,1810661000,1725179000,1772833000,2219270000,2275052000,2230615000,2348034000,2251617000,2364728000,2669520000,2837682000,3188835000,3636741000,4229177000
52,Other Current Liabilities,2806314000,2269838000,2054892000,2876877000,2739697000,3424344000,4168464000,4013420000,3708229000,3910024000,4734311000,4929937000,4968385000,4745636000,5086077000,5230602000,5626787000,5959930000,6220009000,6912098000,8449389000
53,Total Current Liabilities,4178820000,3327062000,3351096000,4412984000,4862389000,5816482000,6962616000,6847878000,6151381000,6568000000,7907000000,8109000000,8161000000,8158000000,8491006000,8878924000,9824279000,10151751000,11061896000,12662590000,15708867000
54,Long-Term Debt,1090000,3428000,589928000,2161000,44116000,27065000,2565000,1708000,361000,1000000,4419000,11000,26000000,26000000,25587000,24457000,22163000,19676000,16247000,2721636000,2750390000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,536065000,497102000,553440000,553764000,517397000,544831000,524455000,754812000,663248000,618124000,565224000,690931000,700080000
56,Deferred Tax Liabilities,50969000,16674000,3572000,18769000,5621000,16880000,31758000,32258000,1174530000,67976000,72257000,105544000,174818000,198734000,113590000,111020000,137098000,125729000,133232000,179703000,243636000
57,Other Non-Current Liabilities,1140363000,1173762000,836850000,1140996000,1367353000,795520000,946705000,2324006000,919613000,2865922000,3315884000,3751681000,3027785000,3270435000,2914284000,3284529000,3093625000,3169050000,3604273000,3324560000,3675756000
58,Total Non-Current Liabilities,1192422000,1193864000,1430350000,1161926000,1417090000,839465000,981028000,2357972000,2630569000,3432000000,3946000000,4411000000,3746000000,4040000000,3577916000,4174818000,3916134000,3932579000,4318976000,6916830000,7369862000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3423641000,3441081000
61,Total Liabilities,5371242000,4520926000,4781446000,5574910000,6279479000,6655947000,7943644000,9205850000,8781950000,10000000000,11853000000,12520000000,11907000000,12198000000,12068922000,13053742000,13740413000,14084330000,15380872000,19579420000,23078729000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,21000,23000,21000,475262000,20000,20000,18000,18000,17000,- -,- -,- -,- -,- -,76000,72000,71000,72000,72000,72000,72000
64,Retained Earnings,-1435310000,-1190415000,-641915000,46636000,962339000,1607391000,2362703000,3120515000,3998501000,4634000000,6282000000,7904000000,10070000000,11758000000,13470008000,7879960000,7081855000,7952413000,10421538000,12375533000,13988748000
65,Other Comprehensive Income/Loss,-695569000,-852698000,306791000,-113760000,133224000,455795000,733636000,825705000,-227178000,-386292000,-134380000,-678148000,-1052746000,-871948000,-1411972000,-1661720000,-1094784000,-1576171000,-1840577000,-1561837000,-1419497000
66,Other Total Stockholders Equity,2820972000,3001112000,1129311000,1063668000,601331000,-168951000,-1033025000,-1405732000,-884747000,- -,- -,- -,- -,- -,-5924387000,1336950000,2962335000,3988439000,5827975000,6186768000,6960131000
67,Total Stockholders Equity,690114000,958022000,794208000,1471806000,1696914000,1894255000,2063332000,2540506000,2886593000,2835746000,3878951000,4145833000,4960186000,5732035000,6133725000,7555262000,8949477000,10364753000,14409008000,17000536000,19529454000
68,Total Liabilities And Stockholders Equity,6061356000,5478948000,5575654000,7046716000,7976393000,8550202000,10006976000,11746356000,11668543000,12835746000,15731951000,16665833000,16867186000,17930035000,18202647000,20609004000,22689890000,24449083000,29789880000,36579956000,42608183000
69,Minority Interest,- -,- -,883586000,940963000,980959000,867878000,740186000,652169000,587191000,-746000,49000,-833000,-186000,-35000,- -,- -,- -,- -,- -,498637000,567660000
70,Total Liabilities & Equity,6061356000,5478948000,6459240000,7987679000,8957352000,9418080000,10747162000,12398525000,12255734000,12835000000,15732000000,16665000000,16867000000,17930000000,18202647000,20609004000,22689890000,24449083000,29789880000,37078593000,43175843000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467373/000119312510235847/0001193125-10-235847-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000119312511277309/0001193125-11-277309-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737312000170/0001467373-12-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737313000482/0001467373-13-000482-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737314000467/0001467373-14-000467-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737315000457/0001467373-15-000457-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001080/0001467373-16-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000430/0001467373-17-000430-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/0001467373-18-000318-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/0001467373-19-000339-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000376/0001467373-20-000376-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/0001467373-21-000229-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1057403000,244895000,498238000,690828000,940474000,973329000,1243148000,1691751000,1589963000,1781000000,2278000000,2554000000,3282000000,2941000000,3053581000,4111892000,3445149000,4059907000,4779112000,5185313000,5990545000
74,Depreciation and Amortization,414072000,285361000,237205000,257080000,282073000,320610000,444499000,491421000,498591000,474700000,513300000,593500000,593000000,620700000,645923000,729052000,801789000,926776000,892760000,1773124000,1891242000
75,Deferred Income Tax,-299647000,-138740000,63012000,92864000,63139000,-223637000,-107673000,-89952000,-62979000,58700000,-196400000,-176100000,-209700000,-74100000,-459109000,65940000,-364133000,94000000,-96360000,170951000,60930000
76,Stock Based Compensation,- -,- -,- -,60486000,- -,- -,- -,- -,452823000,425822000,450137000,538086000,615878000,671301000,680329000,758176000,795235000,976908000,1093253000,1197806000,1342951000
77,Change in Working Capital,953387000,333209000,952089000,-2710000,139473000,-285539000,-528777000,1302688000,527883000,156867000,568000000,915000000,-796000000,63000000,-1536932000,888230000,-824288000,1160798000,954897000,131825000,32329000
78,Accounts Receivable,- -,- -,- -,-182998000,- -,- -,- -,- -,982062000,-355193000,-486128000,15822000,-213634000,-464639000,-158990000,-177156000,-169714000,-476041000,-526297000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-65486000,- -,- -,- -,- -,-306166000,125126000,63005000,-68082000,-5073000,72526000,113548000,72626000,173712000,-167971000,177186000,-359682000,825472000
81,Other Working Capital,400817000,734026000,1686115000,1683405000,1822878000,1537339000,1008562000,2311250000,2839133000,2996000000,3564000000,4479000000,3683000000,3746000000,2209068000,3097298000,2273010000,3433808000,4388705000,236207000,554830000
82,Other Non-Cash Items,155399000,338657000,-237436000,657401000,461922000,1883226000,1579368000,-592660000,153921000,194511000,-171337000,-167586000,-182078000,-735801000,1708345000,-1885890000,1119287000,-1191698000,-996709000,-243867000,-342849000
83,Cash Provided by Operating Activities,2280614000,1063382000,1513108000,1755949000,1887081000,2667989000,2630565000,2803248000,3160202000,3091600000,3441700000,4256900000,3303100000,3486100000,4092137000,4667400000,4973039000,6026691000,6626953000,8215152000,8975148000
84,CAPEX,-377930000,-262831000,-211565000,-281986000,-317772000,-306174000,-364371000,-320368000,-243455000,-238215000,-403714000,-371974000,-369593000,-321870000,-395017000,-496566000,-515919000,-619187000,-599009000,-599132000,-580132000
85,Acquisitions Net,- -,-69743000,-19833000,-31662000,-188469000,-220985000,-192356000,-296312000,-27324000,-41075000,-306187000,-174383000,-803988000,-740067000,-791704000,-118004000,-1728223000,-637349000,-1165120000,-1301206000,-3757570000
86,Purchases of Investments,-326086000,- -,- -,-1014998000,-1019317000,-401181000,-693733000,-27694000,-1782000,-2070875000,-2171877000,-2098841000,-2544352000,-2559434000,-2452989000,-2604989000,-2649051000,-2639094000,-2691114000,- -,- -
87,Sales/Maturities of Investments,427561000,16233000,103790000,421003000,944484000,657629000,885463000,309541000,22722000,15261000,10932000,12549000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-134222000,68309000,18768000,11026000,6318000,18211000,14549000,10839000,4665000,2061139000,2167459000,2097264000,2561718000,2564960000,2469326000,2609209000,2659314000,2646026000,2699667000,5819000,27936000
89,Cash Used for Investing Activites,-410677000,-248032000,-108840000,-896617000,-574756000,-252500000,-350448000,-323994000,-245174000,-273765000,-703387000,-535385000,-1156215000,-1056411000,-1170384000,-610350000,-2233879000,-1249604000,-1755576000,-1894519000,-4309766000
90,Debt Repayment,- -,- -,- -,-119549000,- -,- -,- -,- -,-58939000,-687000,1608000,6268000,-54000,-543000,-701000,1059000,2120000,4195000,4772000,- -,- -
91,Common Stock Issued,1791444000,121864000,242607000,2741474000,298707000,436918000,488250000,440967000,404710000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955308000,1065775000
92,Common Stock Repurchased,- -,-560718000,-560414000,-3459934000,-1625097000,-2087027000,-2307947000,-2261234000,-1855384000,-1633900000,-1614500000,-1644500000,-2028500000,-2000900000,-1898840000,-2013632000,-1973006000,-1885948000,-1842669000,-2915847000,-3703124000
93,Dividends Paid,- -,- -,- -,- -,- -,-267973000,-293059000,-333685000,-378446000,-824100000,-643600000,-950900000,-1121700000,-1254900000,-1276787000,-1372179000,-1498734000,-1671072000,-1861725000,-2037733000,-2236094000
94,Other Financing Activites,-2958410000,-975901000,-173822000,150324000,-51068000,-16385000,-14950000,-7565000,37756000,29661000,134988000,30277000,84625000,90927000,-25968000,-12181000,-90615000,-156203000,-67549000,-50820000,-52894000
95,Cash Used/Provided by Financing Activities,-1166966000,-1414755000,-491629000,-687685000,-1377458000,-1934467000,-2127706000,-2161517000,-1850303000,-2429026000,-2121504000,-2558855000,-3065629000,-3165416000,-3202296000,-3396933000,-3560235000,-3709028000,-3767171000,-4049092000,-4926337000
96,Effect of Forex Changes on Cash,-93404000,36298000,102546000,49150000,-3835000,101976000,94997000,-29373000,-125823000,-92199000,245938000,-223164000,-89925000,25162000,-279996000,-22989000,42326000,-133559000,-38713000,16936000,13799000
97,Net Change In Cash,609567000,-563107000,1015185000,220797000,-68968000,582998000,247408000,288364000,938902000,296600000,862800000,939400000,-1008600000,-710600000,-560539000,544843000,-778749000,934500000,1065493000,2288477000,-247156000
98,Cash at the End of Period,1880083000,1316976000,2332161000,2552958000,2483990000,3066988000,3314396000,3602760000,4541662000,4838600000,5700800000,6640400000,5632400000,4921400000,4360461000,4859674000,4081382000,5015813000,6081195000,8415330000,8168174000
99,Cash at the Beginning of Period,1270516000,1880083000,1316976000,2332161000,2552958000,2483990000,3066988000,3314396000,3602760000,4542000000,4838000000,5701000000,6641000000,5632000000,4921000000,4314831000,4860131000,4081313000,5015702000,6126853000,8415330000
100,Free Cash Flow,1902684000,800551000,1301543000,1473963000,1569309000,2361815000,2266194000,2482880000,2916747000,2853400000,3038000000,3884900000,2933500000,3164200000,3697120000,4170834000,4457120000,5407504000,6027944000,7616020000,8395016000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467373/000119312510235847/0001193125-10-235847-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000119312511277309/0001193125-11-277309-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737312000170/0001467373-12-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737313000482/0001467373-13-000482-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737314000467/0001467373-14-000467-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737315000457/0001467373-15-000457-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737316001080/0001467373-16-001080-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737317000430/0001467373-17-000430-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737318000318/0001467373-18-000318-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/0001467373-19-000339-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000376/0001467373-20-000376-index.htm,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/0001467373-21-000229-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
