,https://roic.ai/company/VECO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,16600000,17700000,25100000,30900000,53300000,74100000,89700000,148316000,165732000,242490000,130936000,159753000,161869000,170508000,162846000,236590000,151013000,166429000,196203000,173171000,172437000,184077000,196365000,177877000,217712000,222166000,187349000,170357000,185564000
11,COGS and Expenses,41100000,45500000,63400000,84400000,140200000,181200000,209600000,364339000,425880000,425532000,283243000,398439000,397959000,417418000,407810000,502805000,379600000,655835000,701004000,474058000,401044000,442068000,496162000,377470000,518150000,570529000,448504000,430220000,526567000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,882000,1629000,3776000,2476000,1200000,1570000,1050000,1180000,2335000,3186000,4680000,1551000,2340000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7732000,8201000,4600000,1502000,598000,715000,464000,222000,19457000,21518000,22085000,24739000,28360000
14,Depreciation and Amortization,1300000,1400000,1200000,1600000,1600000,4700000,5800000,15551000,22654000,27929000,24858000,31264000,29811000,30080000,24991000,25089000,21616000,12854000,12892000,16192000,18425000,24573000,39850000,32650000,50095000,49998000,34399000,30697000,26058000
15,EBITDA,900000,2100000,10400000,14400000,21300000,22800000,38200000,1948000,38983000,-116314000,7722000,11236000,33309000,49956000,11283000,-44082000,15128000,393287000,227063000,60279000,-52187000,-53066000,17668000,-86572000,-11348000,-362318000,-21472000,46972000,80098000
16,EBITDA ratio,0.0209,0.0425,0.1436,0.1488,0.1288,0.1103,0.1549,0.0050,0.0868,-0.3892,0.0276,0.0288,0.0812,0.1133,0.0280,-0.0996,0.0398,0.4214,0.2319,0.1168,-0.1573,-0.1351,0.0370,-0.2604,-0.0234,-0.6684,-0.0512,0.1034,0.1373
17,Operating Income,2000000,3900000,9000000,12400000,25200000,25600000,37000000,22329000,20325000,-137895000,-9325000,-11558000,11066000,22456000,-12061000,-70558000,-7435000,277575000,276259000,37212000,-71812000,-79209000,-23232000,-120402000,-63778000,-415502000,-39578000,22565000,56710000
18,Operating Income ratio,0.0464,0.0789,0.1243,0.1281,0.1524,0.1238,0.1500,0.0577,0.0452,-0.4614,-0.0334,-0.0296,0.0270,0.0509,-0.0300,-0.1593,-0.0196,0.2974,0.2821,0.0721,-0.2165,-0.2016,-0.0487,-0.3622,-0.1316,-0.7665,-0.0944,0.0497,0.0972
19,Total Other Income Expenses (Gains),-200000,-2500000,200000,400000,-5500000,-7500000,-4600000,-17550000,577000,-6002000,-422000,-8470000,-7568000,-3938000,-2275000,1157000,-6850000,-6572000,-4173000,974000,602000,855000,586000,958000,-17122000,-18332000,-38378000,-31029000,-31030000
20,Income Before Tax,- -,1400000,9200000,12800000,19700000,18100000,32400000,4779000,20902000,-143897000,-9747000,-20028000,3498000,18518000,-14336000,-69401000,-14285000,271003000,272086000,38186000,-71210000,-78354000,-22646000,-119444000,-80900000,-433834000,-77956000,-8464000,25680000
21,Income Before Tax Ratio,- -,0.0283,0.1271,0.1322,0.1191,0.0875,0.1314,0.0124,0.0465,-0.4814,-0.0349,-0.0513,0.0085,0.0420,-0.0356,-0.1567,-0.0376,0.2904,0.2779,0.0740,-0.2147,-0.1994,-0.0475,-0.3593,-0.1669,-0.8003,-0.1859,-0.0186,0.0440
22,Income Tax expense (Gain),- -,-800000,2400000,4800000,7400000,5400000,12000000,4277000,6020000,-20513000,-7389000,42527000,4395000,4959000,3651000,1892000,1347000,10472000,81584000,11657000,-28947000,-11414000,9332000,2766000,-36107000,-26746000,777000,-73000,-358000
23,Net Income,-400000,1500000,6800000,8000000,12300000,12700000,20400000,-17880000,10309000,-123730000,-9747000,-62555000,-897000,14917000,-17359000,-71063000,-15567000,361760000,127987000,30928000,-42263000,-66940000,-31978000,-122210000,-44793000,-407088000,-78733000,-8391000,26038000
24,Net Income ratio,-0.0093,0.0304,0.0939,0.0826,0.0744,0.0614,0.0827,-0.0462,0.0229,-0.4140,-0.0349,-0.1602,-0.0022,0.0338,-0.0431,-0.1605,-0.0409,0.3876,0.1307,0.0599,-0.1274,-0.1704,-0.0670,-0.3676,-0.0924,-0.7510,-0.1878,-0.0185,0.0446
25,EPS,-0.39,-0.05,1.13,1.36,1.39,0.87,1.17,-0.75,0.40,-4.25,-0.33,-2.11,-0.03,0.49,-0.56,-2.27,-0.48,9.16,3.23,0.80,-1.09,-1.70,-0.80,-3.11,-1.01,-8.63,-1.66,-0.17,0.54
26,EPS Diluted,-0.39,-0.05,1.09,1.36,1.32,0.85,1.15,-0.75,0.39,-4.25,-0.33,-2.11,-0.03,0.48,-0.56,-2.27,-0.48,8.51,3.11,0.79,-1.09,-1.70,-0.80,-3.11,-1.01,-8.63,-1.66,-0.17,0.54
27,Weighted Average Shares Outstanding,1025641,1904762,6017699,5906000,8808000,14627000,17381000,23805000,25937000,29096000,29263000,29650000,29921000,30492000,31020000,31347000,32628000,39499000,39658000,38477000,38807000,39350000,39742000,39340000,44174000,47151000,47482000,48362000,48362000
28,Weighted Average Shares Outstanding Diluted,1025641,1904762,6238532,6629213,9324000,14887000,17768000,25128000,26355000,29096000,29263000,29650000,29921000,31059000,31020000,31347000,32628000,42514000,41155000,39051000,38807000,39350000,39742000,39340000,44174000,47151000,47482000,48362000,48362000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103145/000091205797007799/0000912057-97-007799-index.html,https://www.sec.gov/Archives/edgar/data/103145/000100547798001014/0001005477-98-001014-index.html,https://www.sec.gov/Archives/edgar/data/103145/000104746999012101/0001047469-99-012101-index.html,- -,https://www.sec.gov/Archives/edgar/data/103145/000091205701007608/0000912057-01-007608-index.html,https://www.sec.gov/Archives/edgar/data/103145/000091205702011835/0000912057-02-011835-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746903010605/0001047469-03-010605-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746904007698/0001047469-04-007698-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746905006689/0001047469-05-006689-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465906013231/0001104659-06-013231-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465907014739/0001104659-07-014739-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746908001893/0001047469-08-001893-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746909002094/0001047469-09-002094-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746910001258/0001047469-10-001258-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746911001284/0001047469-11-001284-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746912001286/0001047469-12-001286-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746913010200/0001047469-13-010200-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465914014824/0001104659-14-014824-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465915013387/0001104659-15-013387-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465916100036/0001104659-16-100036-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465917010878/0001104659-17-010878-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465918011084/0001104659-18-011084-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837019000983/0001558370-19-000983-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837020001167/0001558370-20-001167-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837021001358/0001558370-21-001358-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837022001461/0001558370-22-001461-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,2300000,17600000,21200000,18500000,23500000,29400000,63420000,203154000,214295000,106830000,100276000,124499000,147046000,117083000,103799000,148589000,245132000,217922000,384557000,210799000,270811000,269232000,277444000,279736000,212273000,129294000,129625000,119747000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,26895000,- -,- -,- -,- -,- -,- -,- -,- -,135000000,394180000,273591000,192234000,281538000,120572000,116050000,66787000,47780000,48189000,115252000,189771000,104181000
33,Cash and Short-Term Investments,400000,2300000,17600000,21200000,18500000,23500000,29400000,90315000,203154000,214295000,106830000,100276000,124499000,147046000,117083000,103799000,283589000,639312000,491513000,576791000,492337000,391383000,385282000,344231000,327516000,260462000,244546000,319396000,223928000
34,Net Receivables,9000000,12700000,19000000,19800000,33300000,43000000,58400000,98248000,88449000,68777000,69890000,85914000,89230000,86589000,75207000,59659000,84358000,150528000,95038000,63169000,23823000,60085000,49524000,58020000,98866000,77205000,71017000,101237000,127902000
35,Inventory,8400000,10700000,15800000,21300000,39100000,53300000,56700000,100062000,101419000,86250000,97622000,110643000,88904000,100355000,98594000,94930000,77564000,108487000,113434000,59807000,59726000,61471000,77469000,77063000,120266000,156311000,133067000,145906000,170858000
36,Other Current Assets,900000,2400000,2100000,2800000,6000000,7300000,66500000,53610000,69468000,49941000,40516000,12135000,12510000,11943000,11550000,8610000,10924000,124246000,54559000,44717000,37757000,42723000,29860000,22194000,50344000,26102000,27248000,20392000,26699000
37,Total Current Assets,18700000,28100000,54500000,65100000,96900000,127100000,211000000,342235000,462490000,419263000,314858000,308968000,315143000,345933000,302434000,266998000,456435000,1022573000,754544000,744484000,613643000,555662000,542135000,501508000,596992000,520080000,475878000,586931000,549387000
38,PP&E,8000000,7400000,7400000,9800000,21500000,37200000,41900000,60094000,78547000,55872000,72742000,73513000,69806000,73510000,66142000,64372000,59389000,42320000,86067000,98302000,89139000,78752000,79590000,60646000,85058000,80284000,90164000,75546000,128556000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,125585000,- -,- -,- -,- -,100898000,100898000,38818000,59422000,52003000,55828000,55828000,91348000,114959000,114908000,114908000,307131000,184302000,181943000,181943000,181943000
40,Intangible Assets,4800000,4700000,4600000,4400000,4300000,4200000,5500000,9481000,14594000,84414000,91831000,188239000,177811000,68905000,59647000,59160000,29697000,16893000,25882000,20974000,114716000,159308000,131674000,58378000,369843000,85149000,61518000,46185000,33905000
41,Intangible Assets,4800000,4700000,4600000,4400000,4300000,4200000,5500000,9481000,140179000,84414000,91831000,188239000,177811000,169803000,160545000,97978000,89119000,68896000,81710000,76802000,206064000,274267000,246582000,173286000,676974000,269451000,243461000,228128000,215848000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16884000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28888000,18136000,- -,- -,- -,- -,- -,- -,9403000,- -,935000,397000,1180000,1384000,2045000,2953000,1869000,1549000,1440000,1639000
44,Other Non-Current Assets,1100000,700000,900000,1000000,5000000,4300000,6900000,11473000,74303000,18381000,98897000,6193000,5100000,354000,213000,193000,429000,4842000,13742000,16781000,21842000,19594000,21098000,21047000,25310000,29132000,7036000,6019000,3546000
45,Total Non-Current Assets,13900000,12800000,12900000,15200000,30800000,45700000,54300000,81048000,293029000,187555000,281606000,267945000,252717000,243667000,226900000,162543000,148937000,125461000,181519000,192820000,334326000,373793000,348654000,257024000,790295000,380736000,342210000,311133000,349589000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32600000,40900000,67400000,80300000,127700000,172800000,265300000,423283000,755519000,606818000,596464000,576913000,567860000,589600000,529334000,429541000,605372000,1148034000,936063000,937304000,947969000,929455000,890789000,758532000,1387287000,900816000,818088000,898064000,898976000
48,Accounts Payable,3900000,7400000,8700000,11200000,20100000,15600000,16400000,33134000,19657000,13078000,19603000,25476000,31289000,40588000,36639000,29610000,29112000,32220000,40398000,26087000,35755000,18111000,30074000,22607000,50318000,39611000,21281000,33656000,44456000
49,Short-Term Debt,- -,- -,- -,- -,100000,200000,8200000,1431000,3544000,312000,333000,354000,375000,5597000,25550000,196000,212000,101367000,248000,268000,290000,314000,340000,368000,- -,- -,4196000,4148000,4437000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,829000,56369000,9847000,8772000,11551000,7217000,7340000,3593000,5990000,3926000,1641000,3572000,6749000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,14566000,5966000,2140000,1196000,- -,251000,3250000,1346000,2520000,4109000,10275000,42099000,34754000,96004000,76216000,85022000,108953000,72736000,54870000,67235000,63136000
52,Other Current Liabilities,8100000,4600000,8300000,10400000,22300000,25800000,36600000,87207000,66700000,48801000,35316000,65140000,53829000,51437000,62479000,67318000,107274000,244738000,116547000,43833000,57392000,53979000,55601000,35512000,64185000,47706000,37877000,41642000,77175000
53,Total Current Liabilities,12000000,12000000,17000000,21600000,42500000,41600000,61200000,121772000,104467000,68157000,57392000,92166000,85493000,97873000,127918000,98470000,139118000,382434000,167468000,112287000,128191000,168408000,162231000,143509000,223456000,160053000,118224000,146681000,189204000
54,Long-Term Debt,21900000,- -,- -,- -,2400000,16900000,8800000,14631000,215519000,230273000,229935000,229581000,229205000,203607000,121035000,108669000,100964000,2654000,2406000,2138000,1847000,1533000,1193000,826000,275630000,287392000,310368000,327420000,262272000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,200000,100000,300000,700000,900000,2700000,2681000,10157000,- -,- -,- -,1048000,2423000,3712000,4540000,5039000,- -,5029000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,400000,400000,500000,400000,300000,200000,200000,1291000,1405000,815000,2808000,2814000,3527000,2304000,1978000,2391000,1192000,434000,640000,11667000,37701000,20582000,12750000,19602000,47488000,15596000,14984000,15589000,9872000
58,Total Non-Current Liabilities,22300000,600000,600000,700000,3400000,18000000,11700000,18603000,227081000,231088000,232743000,232395000,233780000,208334000,126725000,115600000,107195000,3088000,8075000,13805000,39548000,22115000,13943000,20428000,323118000,302988000,325352000,343009000,272144000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14496000,10453000,37271000
61,Total Liabilities,34300000,12600000,17600000,22300000,45900000,59600000,72900000,140375000,331548000,299245000,290135000,324561000,319273000,306207000,254643000,214070000,246313000,385522000,175543000,126092000,167739000,190523000,176174000,163937000,546574000,463041000,443576000,489690000,461348000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,200000,247000,290000,292000,295000,298000,300000,309000,312000,316000,382000,409000,435000,393000,397000,404000,410000,407000,482000,485000,490000,497000,507000
64,Retained Earnings,-6700000,-5200000,1600000,9600000,30200000,49800000,72500000,58175000,68484000,-55246000,-64993000,-127548000,-128445000,-113528000,-131715000,-202778000,-224324000,137436000,265317000,96123000,53860000,-13080000,-45058000,-168583000,-213376000,-619983000,-698930000,-707321000,-681283000
65,Other Comprehensive Income/Loss,-2600000,-4300000,-5300000,-6500000,-10300000,-15900000,-21700000,-38801000,-54826000,586000,5270000,8130000,2991000,3594000,5285000,7167000,7141000,5796000,6590000,5973000,4621000,1469000,1348000,1777000,1812000,1820000,1894000,1846000,1483000
66,Other Total Stockholders Equity,7600000,37800000,53500000,54900000,61900000,79300000,141400000,263287000,410023000,361941000,365757000,371472000,373741000,391376000,399795000,409982000,575860000,618871000,488178000,708723000,721352000,750139000,757915000,760994000,1051795000,1055453000,1071058000,1113352000,1116921000
67,Total Stockholders Equity,-1700000,28300000,49800000,58000000,81800000,113200000,192400000,282908000,423971000,307573000,306329000,252352000,248587000,281751000,273677000,214687000,359059000,762512000,760520000,811212000,780230000,738932000,714615000,594595000,840713000,437775000,374512000,408374000,437628000
68,Total Liabilities And Stockholders Equity,32600000,40900000,67400000,80300000,127700000,172800000,265300000,423283000,755519000,606818000,596464000,576913000,567860000,587958000,528320000,428757000,605372000,1148034000,936063000,937304000,947969000,929455000,890789000,758532000,1387287000,900816000,818088000,898064000,898976000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1642000,1014000,784000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32600000,40900000,67400000,80300000,127700000,172800000,265300000,423283000,755519000,606818000,596464000,576913000,567860000,589600000,529334000,429541000,605372000,1148034000,936063000,937304000,947969000,929455000,890789000,758532000,1387287000,900816000,818088000,898064000,898976000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103145/000091205797007799/0000912057-97-007799-index.html,https://www.sec.gov/Archives/edgar/data/103145/000100547798001014/0001005477-98-001014-index.html,https://www.sec.gov/Archives/edgar/data/103145/000104746999012101/0001047469-99-012101-index.html,- -,https://www.sec.gov/Archives/edgar/data/103145/000091205701007608/0000912057-01-007608-index.html,https://www.sec.gov/Archives/edgar/data/103145/000091205702011835/0000912057-02-011835-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746903010605/0001047469-03-010605-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746904007698/0001047469-04-007698-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746905006689/0001047469-05-006689-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465906013231/0001104659-06-013231-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465907014739/0001104659-07-014739-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746908001893/0001047469-08-001893-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746909002094/0001047469-09-002094-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746910001258/0001047469-10-001258-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746911001284/0001047469-11-001284-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746912001286/0001047469-12-001286-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000104746913010200/0001047469-13-010200-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465914014824/0001104659-14-014824-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465915013387/0001104659-15-013387-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465916100036/0001104659-16-100036-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465917010878/0001104659-17-010878-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000110465918011084/0001104659-18-011084-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837019000983/0001558370-19-000983-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837020001167/0001558370-20-001167-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837021001358/0001558370-21-001358-index.htm,https://www.sec.gov/Archives/edgar/data/103145/000155837022001461/0001558370-22-001461-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-400000,1500000,6800000,8000000,12300000,12700000,20400000,-17880000,10309000,-123730000,-9747000,-62555000,-897000,14917000,-17359000,-71063000,-15567000,361760000,127987000,30928000,-42263000,-66940000,-31978000,-122210000,-44793000,-407088000,-78733000,-8391000,26038000
74,Depreciation and Amortization,1300000,1400000,1200000,1600000,1600000,4700000,5800000,15551000,22654000,27929000,24858000,31264000,29811000,30080000,24991000,25089000,21616000,12854000,12892000,16192000,18425000,24573000,39850000,32650000,50095000,49998000,34399000,30697000,26058000
75,Deferred Income Tax,- -,-1300000,100000,-600000,-1700000,-1100000,-3300000,-22036000,-13406000,-22643000,-1370000,39864000,929000,1370000,1332000,1569000,-414000,-25141000,11276000,-340000,-12264000,-11330000,2648000,940000,-33875000,-27620000,360000,-299000,-651000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8537000,9648000,12807000,14268000,13130000,18813000,17986000,15741000,24396000,16074000,15270000,12703000,15249000
77,Change in Working Capital,-300000,9400000,21400000,6000000,10900000,31100000,64300000,70663000,137560000,-6917000,-93640000,-40664000,12848000,18410000,-73544000,-5988000,148789000,322822000,-53063000,45121000,-146745000,-98198000,-7350000,-21905000,15537000,-13509000,-16773000,-13743000,-17780000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24527000,-83160000,56843000,31215000,38844000,-25390000,10715000,-8667000,4520000,- -,- -,- -,- -
79,Inventory,-300000,-2100000,-4900000,-5600000,-12200000,-8800000,-4700000,-20299000,-8399000,3553000,8112000,-10236000,20741000,-10518000,-1331000,6202000,16969000,-49535000,-19385000,53937000,2753000,6513000,-12312000,-5389000,6336000,-24678000,14969000,-11528000,-24803000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-542000,7299000,8098000,-12106000,7542000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,6700000,16100000,37500000,43500000,54400000,85500000,149800000,220463000,358023000,351106000,257466000,216802000,229650000,248060000,174516000,168528000,317317000,640139000,587076000,632197000,485452000,387254000,379904000,357999000,373536000,360027000,-18113000,14797000,5841000
82,Other Non-Cash Items,-500000,-10200000,-27500000,-7800000,-16300000,-36600000,-73200000,-35986000,-135374000,123204000,101669000,33090000,2219000,-18762000,103765000,94657000,-105112000,-487729000,3543000,5794000,170444000,175151000,-5367000,70940000,22786000,344407000,38061000,22054000,18828000
83,Cash Provided by Operating Activities,100000,800000,2000000,7200000,6800000,10800000,14000000,10312000,21743000,-2157000,21770000,999000,44910000,46015000,39185000,44264000,57849000,194214000,115442000,111963000,727000,42069000,15789000,-23844000,34146000,-37738000,-7416000,43021000,67742000
84,CAPEX,-400000,-400000,-1000000,-3800000,-9100000,-8100000,-10500000,-17810000,-19180000,-8644000,-8077000,-15476000,-11676000,-17401000,-9092000,-12806000,-8347000,-10724000,-60364000,-24994000,-9174000,-15588000,-13887000,-11479000,-24272000,-12654000,-10873000,-6802000,-40643000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-13835000,-59557000,- -,-131105000,-10500000,-15038000,-3068000,- -,-10981000,-12252000,225188000,-28273000,- -,-71488000,-144069000,-68000,- -,-401828000,-2662000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-395900000,-436013000,-308204000,-2585000,-3500000,- -,-103000,-163000,- -,- -,-135000000,-506103000,-588453000,-175421000,-591490000,-160125000,-85838000,-103394000,-282947000,-93046000,-192988000,-248023000,-247256000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,345000000,460031000,311580000,8621000,8607000,8835000,- -,- -,- -,- -,- -,32971000,707649000,244929000,499645000,318276000,88647000,152301000,348927000,90065000,127349000,173530000,330702000
88,Other Investing Activites,- -,-100000,- -,- -,-4400000,- -,-200000,2969000,- -,5540000,2833000,4395000,2260000,1896000,312000,103000,834000,137539000,75735000,3807000,4451000,9609000,4068000,9282000,2284000,- -,-10228000,2701000,-38918000
89,Cash Used for Investing Activites,-400000,-500000,-1000000,-3800000,-13500000,-8100000,-61600000,-4658000,-75361000,2932000,-131242000,-12746000,-24557000,-18736000,-8780000,-23684000,-154765000,-121129000,106294000,48321000,-168056000,8103000,-7078000,46710000,-357836000,-18297000,-75867000,-71792000,44528000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196000,-213000,-105803000,-248000,-269000,-290000,-314000,-340000,-1194000,- -,- -,-81240000,-115604000
91,Common Stock Issued,- -,- -,14600000,300000,2100000,3600000,55400000,31274000,5964000,1763000,2969000,5718000,2133000,15524000,3172000,681000,130086000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38098000,-162077000,- -,- -,- -,-8907000,-13349000,-2869000,-11457000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-100000,1900000,-200000,-200000,-200000,-2200000,-2200000,-5691000,185270000,10243000,-317000,-333000,-355000,-19875000,-62656000,-33678000,11979000,63816000,17945000,5803000,-5497000,9981000,-982000,-945000,330003000,-5000,126000,110338000,-6425000
