,https://roic.ai/company/CSCO,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2600000,9300000,25400000,57500000,105700000,188500000,372900000,692000000,1285000000,2572000000,3436000000,4930000000,8947000000,13076000000,9094000000,8351000000,8834000000,9255000000,11751000000,13715000000,16042000000,15772000000,16479000000,18925000000,18144000000,18244000000,18424000000,18911000000,18300000000,18251000000,18297000000,18447000000,18063000000,18175000000
11,COGS and Expenses,5000000,20800000,48300000,117000000,210200000,385400000,754900000,1336000000,2695000000,4813000000,6354000000,9170000000,15693000000,24297000000,15996000000,13996000000,15753000000,17385000000,21488000000,26301000000,30098000000,28795000000,30876000000,35544000000,35996000000,37411000000,37797000000,38391000000,36587000000,36032000000,37021000000,37685000000,35681000000,36099000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,895000000,660000000,512000000,552000000,755000000,1092000000,1143000000,845000000,635000000,641000000,650000000,654000000,691000000,769000000,1005000000,1338000000,1508000000,1308000000,920000000,618000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,64000000,262000000,198000000,- -,1108000000,190000000,895000000,140000000,- -,647000000,731000000,925000000,927000000,-499000000,623000000,628000000,596000000,583000000,564000000,566000000,676000000,861000000,943000000,859000000,585000000,434000000
14,Depreciation and Amortization,100000,100000,1000000,3000000,6700000,13600000,30800000,58510000,132594000,212200000,327333000,486000000,863000000,2236000000,1957000000,1591000000,1443000000,1009000000,1293000000,1413000000,1744000000,1768000000,2030000000,2486000000,2602000000,2351000000,2432000000,2442000000,2150000000,2286000000,2192000000,1897000000,1808000000,1862000000
15,EBITDA,800000,7100000,24500000,73800000,142800000,288800000,540300000,737510000,1661594000,2363200000,2827333000,3802000000,6314000000,1552000000,5562000000,6744000000,7868000000,9692000000,9657000000,11799000000,12926000000,8962000000,12068000000,10939000000,13357000000,14161000000,12711000000,14209000000,15746000000,15434000000,16174000000,16455000000,16363000000,15558000000
16,EBITDA ratio,0.1455,0.2563,0.3510,0.4028,0.4205,0.4450,0.4347,0.3727,0.4057,0.3670,0.3342,0.3128,0.3336,0.0696,0.2941,0.3572,0.3569,0.3908,0.3390,0.3379,0.3269,0.2481,0.3014,0.2531,0.2900,0.2913,0.2696,0.2890,0.3197,0.3215,0.3279,0.3170,0.3319,0.3123
17,Operating Income,500000,6900000,21500000,66200000,129400000,263600000,488100000,642939000,1400806000,1627294000,2104354000,2984000000,3235000000,-2004000000,2919000000,4882000000,6292000000,7416000000,6996000000,8621000000,9442000000,7322000000,9164000000,7674000000,10065000000,11196000000,9345000000,10770000000,12660000000,11973000000,12309000000,14219000000,13620000000,12833000000
18,Operating Income ratio,0.0909,0.2491,0.3080,0.3614,0.3810,0.4062,0.3927,0.3249,0.3420,0.2527,0.2488,0.2455,0.1709,-0.0899,0.1543,0.2586,0.2854,0.2990,0.2456,0.2469,0.2388,0.2027,0.2289,0.1776,0.2185,0.2303,0.1982,0.2191,0.2571,0.2494,0.2495,0.2739,0.2763,0.2576
19,Total Other Income Expenses (Gains),200000,100000,2000000,4600000,6700000,11600000,21400000,36061000,64194000,261706000,197646000,332000000,1108000000,1130000000,-209000000,131000000,700000000,620000000,637000000,840000000,813000000,371000000,251000000,151000000,94000000,31000000,370000000,431000000,260000000,314000000,730000000,352000000,350000000,429000000
20,Income Before Tax,700000,7000000,23500000,70800000,136100000,275200000,509500000,679000000,1465000000,1889000000,2302000000,3316000000,4343000000,-874000000,2710000000,5013000000,6992000000,8036000000,7633000000,9461000000,10255000000,7693000000,9415000000,7825000000,10159000000,11227000000,9715000000,11201000000,12920000000,12287000000,13039000000,14571000000,13970000000,13262000000
21,Income Before Tax Ratio,0.1273,0.2527,0.3367,0.3865,0.4008,0.4240,0.4099,0.3431,0.3577,0.2933,0.2721,0.2728,0.2294,-0.0392,0.1433,0.2655,0.3172,0.3240,0.2680,0.2709,0.2594,0.2130,0.2351,0.1811,0.2206,0.2310,0.2061,0.2278,0.2624,0.2560,0.2643,0.2807,0.2834,0.2662
22,Income Tax expense (Gain),300000,2800000,9600000,27600000,51700000,103200000,194600000,258000000,552000000,840000000,952000000,1220000000,1675000000,140000000,817000000,1435000000,2024000000,2295000000,2053000000,2128000000,2203000000,1559000000,1648000000,1335000000,2118000000,1244000000,1862000000,2220000000,2181000000,2678000000,12929000000,2078000000,2756000000,2671000000
23,Net Income,400000,4200000,13900000,43200000,84400000,172000000,314900000,421000000,913000000,1049000000,1350000000,2096000000,2668000000,-1014000000,1893000000,3578000000,4401000000,5741000000,5580000000,7333000000,8052000000,6134000000,7767000000,6490000000,8041000000,9983000000,7853000000,8981000000,10739000000,9609000000,110000000,11621000000,11214000000,10591000000
24,Net Income ratio,0.0727,0.1516,0.1991,0.2358,0.2485,0.2650,0.2533,0.2127,0.2229,0.1629,0.1596,0.1725,0.1410,-0.0455,0.1001,0.1895,0.1996,0.2315,0.1959,0.2100,0.2036,0.1698,0.1940,0.1502,0.1746,0.2054,0.1666,0.1827,0.2181,0.2002,0.0022,0.2239,0.2275,0.2126
25,EPS,0.01,0.01,0.01,0.01,0.02,0.04,0.07,0.08,0.15,0.17,0.22,0.33,0.39,-0.14,0.26,0.50,0.64,0.88,0.91,1.21,1.35,1.05,1.36,1.17,1.50,1.87,1.50,1.76,2.13,1.92,0.02,2.63,2.65,2.51
26,EPS Diluted,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.08,0.15,0.17,0.21,0.31,0.36,-0.14,0.25,0.50,0.62,0.87,0.89,1.17,1.31,1.05,1.33,1.17,1.49,1.86,1.49,1.75,2.11,1.90,0.02,2.61,2.64,2.50
27,Weighted Average Shares Outstanding,40000000,3851316000,3851316000,4320000000,4220000000,4300000000,4498571429,4991364000,5999274000,6203871000,6135475999,6426000000,6917000000,7196000000,7301000000,7124000000,6840000000,6487000000,6158000000,6055000000,5986000000,5828000000,5732000000,5529000000,5370000000,5329000000,5234000000,5104000000,5053000000,5010000000,4837000000,4419000000,4236000000,4222000000
28,Weighted Average Shares Outstanding Diluted,40000000,3851316000,3851316000,4320000000,4220000000,4300000000,5248333333,4991364000,5999274000,6203871000,6432691999,6796000000,7438000000,7196000000,7447000000,7223000000,7057000000,6612000000,6272000000,6265000000,6163000000,5857000000,5848000000,5563000000,5404000000,5380000000,5281000000,5146000000,5088000000,5049000000,4881000000,4453000000,4254000000,4236000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858877/000095014995000673/0000950149-95-000673-index.html,https://www.sec.gov/Archives/edgar/data/858877/000095014996001640/0000950149-96-001640-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858877/000109581100003692/0001095811-00-003692-index.html,https://www.sec.gov/Archives/edgar/data/858877/000109581101505065/0001095811-01-505065-index.html,https://www.sec.gov/Archives/edgar/data/858877/000089161802004345/f84358e10vk.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312503047374/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312504158427/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312505187168/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312506192133/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312507202552/0001193125-07-202552-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312508195608/0001193125-08-195608-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312509190326/0001193125-09-190326-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/0001193125-10-213400-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312511247394/0001193125-11-247394-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312512388590/0001193125-12-388590-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887713000049/0000858877-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887714000029/0000858877-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887715000070/0000858877-15-000070-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/csco-2016730x10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/0000858877-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/0000858877-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/0000858877-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/0000858877-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,4200000,35800000,40300000,40000000,27200000,53600000,205000000,280000000,270000000,535000000,827000000,4234000000,4873000000,9484000000,3925000000,3722000000,4742000000,3297000000,3728000000,5191000000,5718000000,4581000000,7662000000,9799000000,7925000000,6726000000,6877000000,7631000000,11708000000,8934000000,11771000000,11809000000,9175000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,235000000,758000000,1006000000,1157000000,1189000000,1291000000,2034000000,3172000000,4560000000,4947000000,2227000000,14517000000,18538000000,21044000000,29283000000,35280000000,36923000000,38917000000,42685000000,45348000000,53539000000,58125000000,58784000000,37614000000,21663000000,17610000000,15343000000
33,Cash and Short-Term Investments,2300000,4200000,35800000,40300000,40000000,27200000,53600000,440000000,1038000000,1276000000,1692000000,2016000000,5525000000,6907000000,12656000000,8485000000,8669000000,6969000000,17814000000,22266000000,26235000000,35001000000,39861000000,44585000000,48716000000,50610000000,52074000000,60416000000,65756000000,70492000000,46548000000,33434000000,29419000000,24518000000
34,Net Receivables,800000,7400000,15900000,34700000,64300000,129100000,237600000,384000000,623000000,1170000000,1298000000,1242000000,2887000000,1871000000,1344000000,1514000000,1825000000,2216000000,3303000000,3989000000,3821000000,3177000000,4929000000,7809000000,8030000000,9507000000,9310000000,9835000000,10119000000,10002000000,10503000000,11446000000,11723000000,10146000000
35,Inventory,1200000,2600000,3700000,6100000,9100000,23500000,27900000,71000000,301000000,255000000,362000000,652000000,1232000000,1684000000,880000000,873000000,1207000000,1297000000,1371000000,1322000000,1235000000,1074000000,1327000000,1486000000,1663000000,1476000000,1591000000,1627000000,1217000000,1616000000,1846000000,1383000000,1282000000,1559000000
36,Other Current Assets,200000,1300000,22800000,59900000,133700000,88500000,188600000,101000000,198000000,400000000,410000000,705000000,1466000000,2373000000,2553000000,2543000000,2642000000,2549000000,3188000000,3997000000,4408000000,4925000000,5304000000,3351000000,3524000000,3928000000,4139000000,1490000000,1627000000,1593000000,2940000000,1492000000,1149000000,2889000000
37,Total Current Assets,4500000,15500000,78200000,141000000,247100000,268300000,507700000,996000000,2160000000,3101000000,3762000000,4615000000,11110000000,12835000000,17433000000,13415000000,14343000000,13031000000,25676000000,31574000000,35699000000,44177000000,51421000000,57231000000,61933000000,65521000000,67114000000,73368000000,78719000000,83703000000,61837000000,47755000000,43573000000,39112000000
38,PP&E,300000,800000,4100000,12700000,28000000,48700000,77400000,137000000,331000000,466000000,595000000,801000000,1426000000,2591000000,4102000000,3721000000,3290000000,3320000000,3440000000,3893000000,4151000000,4043000000,3941000000,3916000000,3402000000,3322000000,3252000000,3332000000,3506000000,3322000000,3006000000,2789000000,3374000000,2338000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000000,4087000000,4659000000,3565000000,4043000000,4198000000,5295000000,9227000000,12121000000,12392000000,12925000000,16674000000,16818000000,16998000000,21919000000,24239000000,24469000000,26625000000,29766000000,31706000000,33529000000,33806000000,38168000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000000,- -,- -,797000000,556000000,325000000,549000000,2161000000,2540000000,2089000000,1702000000,3274000000,2541000000,1959000000,3403000000,3280000000,2376000000,2501000000,2539000000,2552000000,2201000000,1576000000,3619000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460000000,4087000000,4659000000,4362000000,4599000000,4523000000,5844000000,11388000000,14661000000,14481000000,14627000000,19948000000,19359000000,18957000000,25322000000,27519000000,26845000000,29126000000,32305000000,34258000000,35730000000,35382000000,41787000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,404000000,1061000000,1267000000,3463000000,- -,13688000000,11121000000,9277000000,12683000000,10952000000,9507000000,574000000,643000000,706000000,709000000,756000000,796000000,858000000,833000000,899000000,897000000,1003000000,983000000,1096000000,1200000000,1278000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1132000000,- -,- -,- -,1130000000,- -,- -,- -,- -,- -,2079000000,- -,- -,- -,- -,- -,278000000,271000000,141000000,95000000,81000000,4360000000
44,Other Non-Current Assets,- -,200000,400000,400000,48800000,278200000,468600000,220000000,78000000,618000000,1097000000,8849000000,1427000000,4032000000,2621000000,2689000000,1356000000,2181000000,2237000000,2569000000,3697000000,4572000000,2985000000,5793000000,6609000000,6193000000,6350000000,8931000000,9020000000,9234000000,8446000000,10224000000,11165000000,9900000000
45,Total Non-Current Assets,300000,1000000,4500000,13100000,76800000,326900000,546000000,761000000,1470000000,2351000000,5155000000,10110000000,21760000000,22403000000,20362000000,23692000000,21251000000,20852000000,17639000000,21766000000,23035000000,23951000000,29709000000,29864000000,29826000000,35670000000,38020000000,40005000000,42933000000,46115000000,46947000000,50038000000,51280000000,58385000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4800000,16500000,82700000,154100000,323900000,595200000,1053700000,1757000000,3630000000,5452000000,8917000000,14725000000,32870000000,35238000000,37795000000,37107000000,35594000000,33883000000,43315000000,53340000000,58734000000,68128000000,81130000000,87095000000,91759000000,101191000000,105134000000,113373000000,121652000000,129818000000,108784000000,97793000000,94853000000,97497000000
48,Accounts Payable,- -,1500000,5000000,7700000,16300000,24700000,31700000,45000000,154000000,207000000,249000000,361000000,739000000,644000000,470000000,594000000,657000000,735000000,880000000,786000000,869000000,675000000,895000000,876000000,859000000,1029000000,1032000000,1104000000,1056000000,1385000000,1904000000,2059000000,2218000000,2362000000
49,Short-Term Debt,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,- -,3096000000,588000000,31000000,3283000000,508000000,3897000000,4160000000,7992000000,5238000000,10191000000,3005000000,2508000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,739000000,963000000,1511000000,1744000000,1740000000,107000000,166000000,90000000,120000000,276000000,192000000,159000000,62000000,517000000,98000000,1004000000,1149000000,839000000,801000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,724000000,- -,- -,3143000000,3034000000,3527000000,3854000000,4408000000,5391000000,6197000000,6438000000,7664000000,8025000000,8852000000,9262000000,9478000000,9824000000,10155000000,10821000000,11490000000,10668000000,11406000000,12148000000
52,Other Current Liabilities,1700000,7200000,8200000,18600000,62000000,95300000,173800000,293000000,615000000,913000000,1518000000,1918000000,4457000000,7452000000,4762000000,4666000000,4519000000,4922000000,6025000000,7181000000,6292000000,6542000000,7578000000,8017000000,7989000000,8618000000,8791000000,8587000000,9540000000,7385000000,8403000000,8794000000,8702000000,9239000000
53,Total Current Liabilities,1700000,8800000,13200000,26300000,78300000,120000000,205500000,338000000,769000000,1120000000,1767000000,3003000000,5196000000,8096000000,8375000000,8294000000,8703000000,9511000000,11313000000,13358000000,13858000000,13655000000,19233000000,17506000000,17731000000,22192000000,19809000000,23412000000,24911000000,27583000000,27035000000,31712000000,25331000000,26257000000
54,Long-Term Debt,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6332000000,6408000000,6393000000,10295000000,12188000000,16234000000,16297000000,12928000000,20401000000,21457000000,24483000000,25725000000,20331000000,14475000000,11578000000,9018000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,975000000,- -,- -,- -,- -,- -,3419000000,4182000000,4028000000,4161000000,4664000000,5359000000,6317000000,7673000000,8195000000,7799000000,9040000000,10016000000
56,Deferred Tax Liabilities,- -,- -,100000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353000000,1191000000,1844000000,1748000000,1851000000,1876000000,925000000,1250000000,8585000000,8927000000,8837000000,- -
57,Other Non-Current Liabilities,2600000,100000,200000,-100000,- -,- -,- -,41000000,42000000,42000000,43000000,- -,1177000000,22000000,764000000,784000000,- -,1198000000,1758000000,2094000000,4130000000,5531000000,652000000,756000000,573000000,1042000000,1755000000,1571000000,1430000000,1450000000,1434000000,1309000000,2147000000,10931000000
58,Total Non-Current Liabilities,2600000,300000,300000,300000,- -,- -,- -,41000000,42000000,42000000,43000000,- -,1177000000,22000000,764000000,784000000,975000000,1198000000,8090000000,8502000000,10523000000,15826000000,17612000000,22363000000,22742000000,19879000000,28671000000,30263000000,33155000000,36098000000,38545000000,32510000000,31602000000,29965000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4300000,9100000,13500000,26600000,78300000,120000000,205500000,379000000,811000000,1162000000,1810000000,3003000000,6373000000,8118000000,9139000000,9078000000,9678000000,10709000000,19403000000,21860000000,24381000000,29481000000,36845000000,39869000000,40473000000,42071000000,48480000000,53675000000,58066000000,63681000000,65580000000,64222000000,56933000000,56222000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,362000000,888000000,1763000000,3220000000,5524000000,14609000000,20051000000,20950000000,21116000000,22450000000,22394000000,24257000000,30687000000,33505000000,34344000000,37793000000,38648000000,39271000000,42297000000,41884000000,43592000000,44516000000,45253000000,42820000000,40266000000,41202000000,42346000000
64,Retained Earnings,500000,5700000,18600000,61800000,146200000,318100000,620100000,960000000,1777000000,2487000000,3828000000,5856000000,8358000000,7344000000,7733000000,6559000000,3164000000,506000000,-617000000,231000000,120000000,3868000000,5851000000,7284000000,11354000000,16215000000,14093000000,16045000000,19396000000,20838000000,1233000000,-5903000000,-2763000000,-654000000
65,Other Comprehensive Income/Loss,-100000,-200000,-1100000,-3800000,-10300000,-23500000,-54400000,57000000,154000000,40000000,58000000,-1023000000,7060000000,-550000000,-54000000,354000000,212000000,274000000,272000000,562000000,728000000,435000000,623000000,1294000000,661000000,608000000,677000000,61000000,-326000000,46000000,-849000000,-792000000,-519000000,-417000000
66,Other Total Stockholders Equity,100000,1900000,51700000,69500000,109700000,180600000,282500000,- -,1000000,- -,1000000,1365000000,- -,275000000,27000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,500000,7400000,69200000,127500000,245600000,475200000,848200000,1379000000,2820000000,4290000000,7107000000,11722000000,26497000000,27120000000,28656000000,28029000000,25826000000,23174000000,23912000000,31480000000,34353000000,38647000000,44267000000,47226000000,51286000000,59120000000,56654000000,59698000000,63586000000,66137000000,43204000000,33571000000,37920000000,41275000000
68,Total Liabilities And Stockholders Equity,4800000,16500000,82700000,154100000,323900000,595200000,1053700000,1758000000,3631000000,5452000000,8917000000,14725000000,32870000000,35238000000,37795000000,37107000000,35504000000,33883000000,43315000000,53340000000,58734000000,68128000000,81112000000,87095000000,91759000000,101191000000,105134000000,113373000000,121652000000,129818000000,108784000000,97793000000,94853000000,97497000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,- -,- -,- -,- -,- -,- -,- -,90000000,- -,- -,- -,- -,- -,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4800000,16500000,82700000,154100000,323900000,595200000,1053700000,1757000000,3630000000,5452000000,8917000000,14725000000,32870000000,35238000000,37795000000,37107000000,35594000000,33883000000,43315000000,53340000000,58734000000,68128000000,81130000000,87095000000,91759000000,101191000000,105134000000,113373000000,121652000000,129818000000,108784000000,97793000000,94853000000,97497000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858877/000095014995000673/0000950149-95-000673-index.html,https://www.sec.gov/Archives/edgar/data/858877/000095014996001640/0000950149-96-001640-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858877/000109581100003692/0001095811-00-003692-index.html,https://www.sec.gov/Archives/edgar/data/858877/000109581101505065/0001095811-01-505065-index.html,https://www.sec.gov/Archives/edgar/data/858877/000089161802004345/f84358e10vk.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312503047374/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312504158427/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312505187168/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312506192133/d10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000119312507202552/0001193125-07-202552-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312508195608/0001193125-08-195608-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312509190326/0001193125-09-190326-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312510213400/0001193125-10-213400-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312511247394/0001193125-11-247394-index.html,https://www.sec.gov/Archives/edgar/data/858877/000119312512388590/0001193125-12-388590-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887713000049/0000858877-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887714000029/0000858877-14-000029-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887715000070/0000858877-15-000070-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/csco-2016730x10k.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/0000858877-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/0000858877-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/0000858877-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/0000858877-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,4200000,13900000,43200000,84400000,172000000,314900000,421000000,913000000,1049000000,1350000000,2096000000,2668000000,-1014000000,1893000000,3578000000,4401000000,5741000000,5580000000,7333000000,8052000000,6134000000,7767000000,6490000000,8041000000,9983000000,7853000000,8981000000,10739000000,9609000000,110000000,11621000000,11214000000,10591000000
74,Depreciation and Amortization,- -,100000,1000000,3000000,6700000,13600000,30800000,58510000,132594000,212200000,327333000,486000000,863000000,2236000000,1957000000,1591000000,1443000000,1009000000,1293000000,1413000000,1744000000,1768000000,2030000000,2486000000,2602000000,2351000000,2432000000,2442000000,2150000000,2286000000,2192000000,1897000000,1808000000,1862000000
75,Deferred Income Tax,- -,-1200000,-400000,-5800000,-7800000,-6600000,-30700000,-65665000,124176000,88397000,360459000,630000000,1713000000,473000000,-512000000,118000000,1089000000,90000000,-343000000,-622000000,-772000000,-574000000,-477000000,-157000000,-314000000,-37000000,-678000000,-23000000,-194000000,-124000000,900000000,-350000000,-38000000,-384000000
