,https://roic.ai/company/GFF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,4300000,-11100000,-10600000,-1800000,-8700000,-12400000,-6400000,8700000,- -,-14100000,9100000,-1045000,625000,-8673000,-9832000,-27313000,-5718000,-15624000,7748000,-23500000,28498000,-10611000,-12803000,9011000,26887000,-50461000,-48356000,20533000,-29299000,-52122000,-24938000,34080000,-154515000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6309000,- -,5631000,492000,6128000,2526000,-482000,4083000,- -,-2825000,676000,3809000,5121000,2533000,1055000,560000,4002000,4073000,11732000,2982000,1017000,1834000
82,Other Non-Cash Items,- -,- -,- -,- -,14600000,5700000,4000000,2900000,11200000,700000,1000000,9400000,1300000,1900000,5000000,9755000,12242000,41594000,12046000,14918000,1659000,3503000,5367000,46539000,-7147000,2822000,41328000,4490000,12784000,44583000,5806000,5849000,54720000,-132442000,11961000,14302000,42792000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-4600000,22400000,21600000,7500000,19600000,36000000,12000000,36700000,41300000,20800000,15900000,29183000,98779000,82652000,67486000,105781000,58322000,16284000,65661000,80639000,82795000,82487000,34423000,87329000,83593000,91773000,75219000,104383000,96344000,20822000,111835000,134008000,111769000
84,CAPEX,- -,- -,- -,- -,-35700000,-20100000,-15200000,-28000000,-8400000,-9200000,-8100000,-9400000,-25800000,-74400000,-47900000,-37366000,-26678000,-24300000,-44049000,-56124000,-40000000,-42107000,-30321000,-53116000,-33033000,-40477000,-87617000,-68851000,-64441000,-77094000,-73620000,-90759000,-34937000,-50138000,-45361000,-48998000,-36951000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19841000,- -,-4598000,-13773000,- -,-9577000,-1304000,-17418000,-1829000,- -,-542000000,-855000,-22432000,- -,-62306000,-2225000,-4470000,-34719000,43795000,-18719000,-10531000,-2242000
86,Purchases of Investments,- -,- -,- -,- -,- -,-2000000,- -,-6400000,-4800000,-18600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130000,-17211000
87,Sales/Maturities of Investments,- -,- -,- -,- -,8000000,- -,2200000,26200000,- -,11600000,17500000,7900000,2900000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,26000000,1400000,400000,1600000,2700000,-700000,-8500000,-20900000,-31000000,2100000,3400000,8188000,1154000,-967000,2565000,-3079000,-72141000,-1988000,-10613000,10089000,200000,-1666000,6139000,309000,1573000,-7850000,9225000,1624000,-46756000,-10099000,-10473000,796000,6988000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1700000,-20700000,-12600000,-6600000,-10500000,-16900000,900000,-22400000,-53900000,-70900000,-44500000,-49019000,-25524000,-29865000,-55257000,-59203000,-121718000,-45399000,-58352000,-43856000,-32833000,-584143000,-82333000,-90974000,-62868000,-147250000,-66620000,-93605000,-116412000,-16442000,-74553000,-58863000,-49416000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58139000,-194257000,-498572000,-18546000,-16867000,-603094000,-187735000,-214986000,-170454000,-300993000,-218248000,-1308915000,-27833000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,36300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6788000,1288000,5473000,20261000,2639000,2588000,241344000,7257000,2823000,- -,- -,- -,584000,371000,- -,- -,- -,- -,178165000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-200000,- -,- -,- -,- -,-15400000,-28200000,-21700000,-4200000,-5600000,-700000,-4585000,-97000,-11874000,-60655000,-28400000,-25909000,-19811000,-4355000,-579000,-4370000,- -,-38112000,-10382000,-32521000,-79614000,-82343000,-65307000,-15841000,-45605000,-1478000,-7479000,-3357000
93,Dividends Paid,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5974000,- -,- -,- -,- -,- -,- -,- -,-4743000,-5825000,-6273000,-7654000,-8798000,-10325000,-49797000,-13676000,-14529000,-17139000
94,Other Financing Activites,- -,- -,- -,- -,34600000,-9500000,-11200000,-42600000,-700000,-1500000,-3600000,15600000,14400000,59600000,31200000,29795000,-59678000,-42048000,69426000,-404000,42423000,7313000,16024000,-9359000,12050000,544727000,658794000,2978000,2964000,660467000,232510000,297979000,191652000,412919000,198426000,1220948000,20084000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,32800000,-9500000,-11200000,-6300000,-700000,-16900000,-31800000,-6100000,10200000,54000000,30500000,25210000,-59775000,-47134000,10059000,-29305000,36775000,-9859000,14257000,231406000,-43202000,353293000,122110000,-30693000,-52249000,-27930000,-44851000,8888000,-4968000,16524000,-34976000,68190000,-28245000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1779000,958000,-763000,700000,792000,-1015000,2152000,-2668000,-973000,963000,- -,-2318000,-4152000,886000,164000,1173000,313000,2377000,-3544000
97,Net Change In Cash,- -,- -,- -,- -,32800000,-9500000,-11200000,-6300000,-700000,-16900000,-31800000,-6100000,10200000,54000000,1900000,5374000,13480000,5653000,24067000,18231000,-27384000,-38274000,22358000,267174000,8912000,-151031000,73227000,-33375000,-31524000,-85725000,-40404000,20552000,-24872000,22077000,2619000,145712000,30564000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,26616000,40096000,45749000,69816000,88047000,60663000,22389000,44747000,311921000,320833000,169802000,243029000,209654000,178130000,92405000,52001000,72553000,47681000,69758000,72377000,218089000,248653000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6900000,33400000,25600000,23500000,18000000,26500000,28700000,9700000,17800000,15400000,19300000,21242000,26616000,40096000,45749000,69816000,88047000,60663000,22389000,44747000,311921000,320833000,169802000,243029000,209654000,178130000,92405000,52001000,72553000,47681000,69758000,72377000,218089000
100,Free Cash Flow,- -,- -,- -,- -,-40300000,2300000,6400000,-20500000,11200000,26800000,3900000,27300000,15500000,-53600000,-32000000,-8183000,72101000,58352000,23437000,49657000,18322000,-25823000,35340000,27523000,49762000,42010000,-53194000,18478000,19152000,14679000,1599000,13624000,61407000,-29316000,66474000,85010000,74818000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000005072596000009/0000050725-96-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/50725/000005072598000014/0000050725-98-000014-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000093221401500100/0000932214-01-500100-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/50725/000110465904039320/a04-14539_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000110465905060763/a05-21537_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000110465906081561/a06-25388_110k.htm,https://www.sec.gov/Archives/edgar/data/50725/000104746907009607/0001047469-07-009607-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746908013148/0001047469-08-013148-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746909010409/0001047469-09-010409-index.html,https://www.sec.gov/Archives/edgar/data/50725/000104746910009877/0001047469-10-009877-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041311007477/0000930413-11-007477-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041312006185/0000930413-12-006185-index.html,https://www.sec.gov/Archives/edgar/data/50725/000093041313005414/0000930413-13-005414-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072514000006/0000050725-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072515000080/0000050725-15-000080-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072516000166/0000050725-16-000166-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072517000060/0000050725-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072518000075/0000050725-18-000075-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072519000077/0000050725-19-000077-index.html,https://www.sec.gov/Archives/edgar/data/50725/000005072520000063/0000050725-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/50725/000005072521000068/0000050725-21-000068-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
