,https://roic.ai/company/SPH,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,33600000,-70300000,16900000,41800000,30200000,12900000,13600000,38200000,22400000,38532000,53500000,53500000,48700000,54300000,-8100000,90740000,127300000,154900000,165200000,115300000,115000000,1900000,78800000,94500000,86352000,14440000,37995000,76534000,68632000,60758000,122793000
24,Net Income ratio,0.0504,-0.1103,0.0351,0.0617,0.0477,0.0182,0.0176,0.0572,0.0361,0.0460,0.0579,0.0804,0.0631,0.0415,-0.0050,0.0546,0.0884,0.0984,0.1445,0.1014,0.0966,0.0018,0.0463,0.0488,0.0609,0.0138,0.0320,0.0569,0.0541,0.0548,0.0953
25,EPS,1.17,-2.45,0.59,1.46,1.05,0.92,0.46,1.30,0.83,1.70,2.14,2.12,1.87,1.79,-0.26,2.84,3.91,4.72,4.99,3.26,3.24,0.05,1.35,1.56,1.39,0.24,0.62,1.24,1.11,0.98,1.96
26,EPS Diluted,1.17,-2.45,0.59,1.46,1.05,0.92,0.46,1.30,0.83,1.70,2.14,2.12,1.86,1.78,-0.26,2.83,3.89,4.70,4.96,3.24,3.22,0.05,1.34,1.56,1.38,0.24,0.62,1.24,1.10,0.97,1.94
27,Weighted Average Shares Outstanding,28700000,28700000,28700000,28700000,28700000,21827957,28726000,28726000,26563000,22275000,24514000,24631000,25359000,29599000,30276000,30310000,32554000,32783000,33134000,35374000,35525000,38848000,58378000,60481000,60650000,60956000,61224000,61557000,61992000,62299000,62713000
28,Weighted Average Shares Outstanding Diluted,28700000,28700000,28700000,28700000,28700000,21827957,29278351,29344262,28507463,22275000,24514000,24665000,25495000,29705000,30276000,30453000,32730000,32950000,33315000,35613000,35723000,38990000,58600000,60751000,60907000,61176000,61542000,61847000,62366000,62727000,63313000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1005210/000100521096000016/0001005210-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521097000014/0001005210-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521098000011/0001005210-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521099000023/0001005210-99-000023-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521000000014/0001005210-00-000014-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521001500015/0001005210-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521002000023/0001005210-02-000023-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521003000038/0001005210-03-000038-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000095013604004354/0000950136-04-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013605007742/0000950136-05-007742-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013606010277/0000950136-06-010277-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013607008108/0000950136-07-008108-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000136231008007737/0001362310-08-007737-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012309066033/0000950123-09-066033-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012310108484/0000950123-10-108484-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012311100194/0000950123-11-100194-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312512483681/0001193125-12-483681-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312513456057/0001193125-13-456057-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312514426338/0001193125-14-426338-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459015011120/0001564590-15-011120-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459016029600/0001564590-16-029600-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459017024209/0001564590-17-024209-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459018029999/0001564590-18-029999-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459019044639/0001564590-19-044639-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459020055186/0001564590-20-055186-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459021058219/0001564590-21-058219-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,300000,100000,18900000,19300000,59800000,8400000,11645000,36500000,41000000,15800000,53500000,14400000,60571000,96600000,137700000,163200000,156900000,149600000,134300000,107200000,92600000,152338000,37341000,2789000,5164000,2441000,3140000,5808000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,300000,100000,18900000,19300000,59800000,8400000,11645000,36500000,41000000,15800000,53500000,14400000,60571000,96600000,137700000,163200000,156900000,149600000,134300000,107200000,92600000,152338000,37341000,2789000,5164000,2441000,3140000,5808000
34,Net Receivables,- -,- -,- -,47200000,41000000,55000000,45900000,39100000,37600000,61303000,42700000,33000000,36400000,91000000,109900000,78547000,71600000,94900000,52000000,60400000,66600000,88900000,94900000,96900000,59929000,53802000,65683000,71298000,59340000,55441000,71372000
35,Inventory,- -,- -,- -,39400000,36700000,40200000,31900000,30000000,29700000,41631000,41900000,36400000,41500000,65100000,80600000,79418000,81200000,79800000,70200000,61000000,65900000,88200000,77600000,91000000,47686000,45352000,53220000,59112000,45036000,46869000,61802000
36,Other Current Assets,- -,- -,- -,1700000,1000000,6600000,7300000,3900000,2900000,7581000,3200000,6400000,5200000,43300000,31900000,16815000,32800000,47200000,22200000,18100000,15700000,26900000,13600000,14400000,13460000,10804000,17801000,22194000,16623000,10508000,41126000
37,Total Current Assets,- -,- -,- -,88600000,78800000,120700000,104400000,132800000,78600000,122160000,124300000,116800000,98900000,252900000,236800000,235351000,282200000,359600000,307600000,296400000,297800000,338300000,293300000,294900000,273413000,147299000,139493000,157768000,123440000,115958000,180108000
38,PP&E,- -,- -,- -,369500000,363800000,374000000,364300000,343800000,325200000,350640000,344400000,331000000,312800000,406700000,400000000,390383000,374600000,367800000,357200000,350400000,338100000,969300000,888200000,826800000,781058000,742129000,692627000,649218000,627207000,717048000,699129000
39,Goodwill,- -,- -,- -,243800000,239900000,255900000,249800000,214800000,214000000,- -,252400000,243300000,243200000,282000000,281400000,281359000,277600000,276300000,274900000,277200000,277700000,1092300000,1087400000,1087400000,1087429000,1094635000,1094635000,1093470000,1098085000,1103781000,1107026000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,261617000,- -,1500000,1000000,25600000,20700000,18098000,18200000,16000000,13800000,18000000,16100000,436500000,416800000,359300000,307789000,276329000,219876000,175183000,128437000,84140000,39263000
41,Intangible Assets,- -,- -,- -,243800000,239900000,255900000,249800000,214800000,214000000,261617000,252400000,244800000,244200000,307600000,302100000,299457000,295800000,292300000,288700000,295200000,293800000,1528800000,1504200000,1446700000,1395218000,1370964000,1314511000,1268653000,1226522000,1187921000,1146289000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,53200000,54000000,56800000,57900000,38200000,41400000,36699000,1900000,7500000,9700000,24800000,26700000,28695000,22600000,16000000,24000000,28300000,26800000,48000000,42300000,41000000,36041000,21907000,24652000,25560000,21179000,26326000,26204000
45,Total Non-Current Assets,- -,- -,- -,666500000,657700000,686700000,672000000,596800000,580600000,648956000,598700000,583300000,566700000,739100000,728800000,718535000,693000000,676100000,669900000,673900000,658700000,2546100000,2434700000,2314500000,2212317000,2135000000,2031790000,1943431000,1874908000,1931295000,1871622000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,755100000,736500000,807400000,776400000,729600000,659200000,771116000,723000000,700100000,665600000,992000000,965600000,953886000,975200000,1035700000,977500000,970300000,956500000,2884400000,2728000000,2609400000,2485730000,2282299000,2171283000,2101199000,1998348000,2047253000,2051730000
48,Accounts Payable,- -,- -,- -,21400000,22300000,40700000,37800000,31300000,40100000,59794000,38700000,27400000,26200000,60700000,63600000,57372000,57000000,58100000,35700000,39900000,37500000,53100000,52800000,49300000,34922000,32286000,38652000,38264000,34085000,31985000,39169000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2800000,6500000,- -,- -,- -,- -,26800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30878000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97023000,- -,- -,104427000,111727000
52,Other Current Liabilities,- -,- -,- -,53200000,42000000,61100000,58900000,60300000,60100000,65167000,123400000,160100000,111500000,184300000,131800000,135244000,139400000,165500000,144400000,124600000,114000000,200600000,181100000,173000000,175424000,172768000,74691000,180774000,182045000,108104000,105372000
53,Total Current Liabilities,- -,- -,- -,74600000,64300000,101800000,96700000,91600000,103000000,131461000,162100000,187500000,137700000,245000000,222200000,192616000,196400000,223600000,180100000,164500000,151500000,253700000,233900000,222300000,210346000,205054000,210366000,219038000,216130000,244516000,287146000
54,Long-Term Debt,- -,- -,- -,- -,- -,428200000,428000000,427900000,427600000,517219000,430300000,383800000,340900000,473000000,548100000,548304000,548500000,531800000,349400000,348000000,348200000,1422100000,1245200000,1242700000,1241107000,1224502000,1272164000,1255138000,1227057000,1210176000,1216546000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,120900000,113900000,112700000,110500000,62300000,60200000,60607000,71700000,109600000,103000000,105900000,119200000,112265000,64000000,60200000,88300000,92900000,98500000,116900000,119800000,122900000,135957000,144512000,135771000,133199000,131331000,230180000,122617000
58,Total Non-Current Liabilities,- -,- -,- -,120900000,113900000,540900000,538500000,490200000,487800000,577826000,502000000,493400000,443900000,578900000,667300000,660569000,612500000,592000000,437700000,440900000,446700000,1539000000,1365000000,1365600000,1377064000,1369014000,1407935000,1388337000,1358388000,1440356000,1339163000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119104000,129410000
61,Total Liabilities,- -,- -,- -,195500000,178200000,642700000,635200000,581800000,590800000,709287000,664100000,680900000,581600000,823900000,889500000,853185000,808900000,815600000,617800000,605400000,598200000,1792700000,1598900000,1587900000,1587410000,1574068000,1618301000,1607375000,1574518000,1684872000,1626309000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,129300000,100500000,84800000,66300000,60340000,105500000,103700000,166000000,238900000,159200000,- -,208200000,264200000,421000000,422100000,418100000,1152900000,1176500000,1067400000,947203000,754063000,- -,518494000,450016000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,1119200000,1116400000,64200000,55800000,77000000,-21400000,-198549000,-120200000,-195800000,-178400000,-154800000,-77000000,-67000000,-42000000,-44000000,-61000000,-57000000,-60000000,-61000000,-47000000,-46000000,-49000000,-46000000,-29000000,-25000000,-26000000,-26000000,-17584000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,23500000,200038000,73600000,111400000,96478000,84018000,-6084000,167701000,77000,- -,- -,- -,100000,- -,- -,100000,117000,168000,- -,330000,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,559600000,558200000,164700000,141200000,147800000,68400000,61829000,58900000,19300000,84078000,168118000,76116000,100701000,166277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,755100000,736400000,807400000,776400000,729600000,659200000,771116000,723000000,700200000,665678000,992018000,965616000,953886000,975177000,1035700000,977500000,970200000,956400000,2884400000,2728000000,2609400000,2485730000,2282299000,1618301000,2101199000,1998348000,1684872000,1626309000
69,Minority Interest,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,-100000,-78000,-18000,-16000,- -,23000,- -,- -,100000,100000,- -,- -,- -,- -,- -,552982000,- -,- -,362381000,425421000
70,Total Liabilities & Equity,- -,- -,- -,755100000,736500000,807400000,776400000,729600000,659200000,771116000,723000000,700100000,665600000,992000000,965600000,953886000,975200000,1035700000,977500000,970300000,956500000,2884400000,2728000000,2609400000,2485730000,2282299000,2171283000,2101199000,1998348000,2047253000,2051730000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1005210/000100521096000016/0001005210-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521097000014/0001005210-97-000014-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521098000011/0001005210-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521099000023/0001005210-99-000023-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521000000014/0001005210-00-000014-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521001500015/0001005210-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521002000023/0001005210-02-000023-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000100521003000038/0001005210-03-000038-index.html,https://www.sec.gov/Archives/edgar/data/1005210/000095013604004354/0000950136-04-004354-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013605007742/0000950136-05-007742-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013606010277/0000950136-06-010277-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095013607008108/0000950136-07-008108-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000136231008007737/0001362310-08-007737-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012309066033/0000950123-09-066033-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012310108484/0000950123-10-108484-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000095012311100194/0000950123-11-100194-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312512483681/0001193125-12-483681-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312513456057/0001193125-13-456057-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000119312514426338/0001193125-14-426338-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459015011120/0001564590-15-011120-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459016029600/0001564590-16-029600-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459017024209/0001564590-17-024209-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459018029999/0001564590-18-029999-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459019044639/0001564590-19-044639-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459020055186/0001564590-20-055186-index.htm,https://www.sec.gov/Archives/edgar/data/1005210/000156459021058219/0001564590-21-058219-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,16900000,41800000,30200000,12900000,13600000,38200000,22400000,38532000,53500000,53500000,48700000,54300000,-8100000,90740000,127300000,154900000,165200000,115300000,115000000,1900000,78800000,94500000,86352000,14440000,37995000,76534000,68632000,60758000,122793000
74,Depreciation and Amortization,- -,- -,27400000,34400000,34000000,35900000,37300000,36600000,34900000,38772000,38502000,30678000,29674000,39335000,41199000,34709000,30117000,28394000,30343000,30834000,35628000,45790000,130384000,136399000,133294000,129616000,127938000,125222000,120872000,116791000,104555000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,1277000,1385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10521000,9242000,10073000
77,Change in Working Capital,- -,- -,7800000,14000000,500000,4400000,-11200000,33500000,-65600000,15099000,-28499000,-32900000,31900000,46700000,6700000,28135000,43065000,50200000,-8500000,4400000,14400000,-61700000,-25200000,13200000,-9533000,-120822000,-13118000,9603000,-31420000,-35868000,-24664000
78,Accounts Receivable,- -,- -,- -,- -,6200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9663000,42898000,-7709000,-6247000,13762000,-5910000,-2061000,36986000,6258000,-11881000,-5183000,11821000,4466000,-15914000
79,Inventory,- -,- -,- -,- -,2700000,-3500000,8300000,2000000,200000,-6016000,-260000,5402000,-5339000,-11655000,-16424000,1147000,-1915000,1424000,9664000,9555000,-4721000,8189000,10553000,-13342000,43279000,2415000,-7916000,-5729000,14353000,-1583000,-14797000
80,Accounts Payable,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080000,-22402000,3376000,-2134000,15669000,-375000,-3513000,-14761000,-1885000,7088000,809000,-6960000,1511000,6783000
81,Other Working Capital,- -,- -,- -,14000000,14500000,18900000,7700000,41200000,-24400000,-9301000,-37800000,-70700000,-38800000,7900000,14600000,42735000,85800000,136000000,127500000,131900000,146300000,84600000,59400000,72600000,63067000,-57755000,-70873000,-61270000,-92690000,-128558000,12900000
82,Other Non-Cash Items,- -,- -,300000,-13100000,-11000000,6000000,19100000,-38200000,90100000,-32936000,38335000,17497000,-52974000,-47270000,-794000,16737000,-58325000,-114254000,58123000,5263000,-32242000,124983000,30322000,-18548000,114096000,133874000,7547000,-2817000,58176000,58431000,13795000
83,Cash Provided by Operating Activities,- -,- -,52400000,77100000,53700000,59200000,58800000,70100000,81800000,59467000,101838000,68775000,57300000,93065000,39005000,170321000,145957000,120517000,246551000,155797000,132786000,110973000,214306000,225551000,324209000,157108000,160362000,208542000,226781000,209354000,226552000
84,CAPEX,- -,- -,-23100000,-17800000,-21400000,-25900000,-24900000,-16700000,-15800000,-21250000,-23218000,-17464000,-14050000,-26527000,-29301000,-23057000,-26756000,-21819000,-21837000,-19131000,-22284000,-17476000,-27823000,-30052000,-41213000,-38375000,-28168000,-32902000,-34978000,-32498000,-29855000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98012000,- -,- -,- -,-211181000,- -,- -,- -,53715000,- -,-14500000,-3195000,-223731000,5850000,- -,-6500000,-21480000,- -,-12073000,-19300000,-25636000,-8716000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,13100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,8700000,1700000,-900000,-26500000,4200000,6500000,3600000,20195000,5311000,10613000,9191000,41151000,4670000,3965000,7067000,-17085000,-16852000,-15611000,-16310000,-16027000,-20513000,-16532000,-29472000,-32425000,-22988000,-27017000,-29215000,-27607000,-25359000
89,Cash Used for Investing Activites,- -,- -,-14400000,-16100000,-22300000,-52400000,-20700000,2900000,-12200000,-99067000,-17907000,-6851000,-4859000,-196557000,-24631000,-19092000,-19689000,36630000,-16852000,-30111000,-19505000,-239758000,-14663000,-16532000,-35972000,-53905000,-22988000,-39090000,-48515000,-53243000,-34075000
