,https://roic.ai/company/OFC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6612000,4305000,4002000,3467000,3036000,1892000,2084000,2328000,1989000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1192889000,-1548687000,-1894029000,-2111310000,-2603472000,52006000,53421000,154545000,270750000,3266578000,3353528000,3433874000,3474138000,3194242000,3275027000,3399612000,3512566000,3677887000,3598794000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55692000,67560000,90984000,87325000,108661000,2920743000,3183992000,3713735000,3712845000,3357060000,3425905000,3490735000,3583583000,3308736000,3368745000,3499581000,3677085000,3825460000,3693849000
46,Other Assets,- -,- -,- -,- -,- -,24200000,193534000,563677000,721034000,794837000,984210000,1126471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,24200000,193534000,563677000,721034000,794837000,984210000,1126471000,1332076000,1732026000,2130376000,2419601000,2931853000,3112867000,3380022000,3844517000,3867524000,3653759000,3629952000,3670257000,3909312000,3780885000,3578484000,3656005000,3854453000,4077023000,4262452000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,115307000,310219000,406224000,484576000,584001000,716726000,761824000,1054282000,1373341000,1347563000,1701205000,93625000,116455000,99699000,96425000,97922000,98785000,123035000,91755000,108682000,108137000,92855000,148746000,142717000,186202000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104718000,- -,- -,- -,- -,- -,- -,2053841000,2323681000,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32177000,14802000,15554000,- -,- -,- -,- -,- -,- -,- -,- -,44257000,41603000
52,Other Current Liabilities,- -,- -,- -,- -,- -,300000,-47807000,-222119000,-276924000,-357776000,-437001000,-688544000,-618824000,-866882000,-1173841000,-1100763000,-1417805000,61028000,28440000,-2240484000,64586000,28698000,29080000,29862000,30178000,31335000,28921000,30856000,31263000,31231000,31299000
53,Total Current Liabilities,- -,- -,- -,- -,- -,300000,67500000,88100000,129300000,126800000,147000000,132900000,143000000,187400000,199500000,246800000,283400000,154653000,2230913000,197698000,176565000,126620000,127865000,152897000,121933000,140017000,137058000,123711000,180009000,361205000,259104000
54,Long-Term Debt,- -,- -,- -,- -,- -,14900000,114400000,306800000,399600000,474349000,573327000,600338000,738698000,1022688000,1348351000,1498537000,1825842000,1866623000,- -,2323681000,2426303000,2019168000,1927703000,1920057000,2077752000,1904001000,1828333000,1823909000,1831139000,1974664000,2301646000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9630000,7247000,12707000,11120000,11530000,10816000,14938000,14802000,- -,39627000,41861000,44042000,56906000,42464000,37330000,39204000,40981000,33425000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-200000,- -,- -,- -,-49000,-27000,104762000,-9628000,-7235000,-12658000,-11157000,-11572000,9596000,13539000,-14802000,46591000,31845000,35274000,32377000,36157000,99739000,124177000,42133000,83079000,14017000,17729000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,14700000,114400000,306800000,399600000,474300000,573300000,705100000,738700000,1022700000,1348400000,1498500000,1825800000,1887035000,28477000,2323681000,2472894000,2090640000,2004838000,1996476000,2170815000,2046204000,1989840000,1905246000,1955199000,2022106000,2319375000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15853000,660000,17317000,30746000,29342000
61,Total Liabilities,- -,- -,- -,- -,- -,15000000,117008000,317700000,416298000,495549000,615507000,737088000,801899000,1111224000,1442036000,1629111000,1979116000,2041688000,2259390000,2521379000,2649459000,2217260000,2132703000,2149373000,2292748000,2186221000,2126898000,2028957000,2135208000,2383311000,2578479000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,85000,67000,67000,76000,81000,81000,81000,81000,81000,333833000,249083000,199083000,199083000,172500000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,23000,168000,176000,206000,208000,238000,296000,368000,399000,429000,474000,518000,583000,669000,720000,809000,874000,933000,945000,985000,1013000,1102000,1121000,1122000,1123000
64,Retained Earnings,- -,- -,- -,- -,- -,-3200000,-4979000,-7199000,-7547000,-11064000,-14502000,-21067000,-38483000,-51358000,-67697000,-83541000,-126156000,-154426000,-209941000,-281794000,-532288000,-617455000,-641868000,-717264000,-657172000,-765276000,-818190000,-846808000,-778275000,-809836000,-856863000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-3224000,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-2000000,-5000000,-2000000,-4000000,-2000000,-5000000,3000000,-1000000,-3000000,-2000000,2000000,- -,-25000000,-9157000,-3059000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,12400000,19844000,175812000,199472000,204586000,278215000,309283000,488483000,572847000,649744000,758339000,950243000,1092141000,1238797000,1511681000,1668912000,1653237000,1814495000,1969671000,2004669000,2116850000,2201214000,2431117000,2481114000,2478906000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,9200000,11664000,168781000,192101000,193728000,263921000,288497000,450381000,521924000,582513000,674303000,822642000,933314000,1027520000,1226637000,1135425000,1365424000,1425584000,1451423000,1544525000,1523059000,1386037000,1585411000,1678960000,1661035000,1622740000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,24200000,128672000,486481000,608399000,689277000,879428000,1025585000,1252280000,1633148000,2024549000,2303414000,2801758000,2975002000,3286910000,3748016000,3784884000,3582684000,3558287000,3600796000,3837273000,3709280000,3512935000,3614368000,3814168000,4044346000,4201219000
69,Minority Interest,- -,- -,- -,- -,- -,- -,64862000,77196000,112635000,105560000,104782000,100886000,79796000,98878000,105827000,116187000,130095000,137865000,93112000,96501000,82640000,71075000,71665000,69461000,72039000,71605000,65549000,41637000,40285000,32677000,61233000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,24200000,193534000,563677000,721034000,794837000,984210000,1126471000,1332076000,1732026000,2130376000,2419601000,2931853000,3112867000,3380022000,3844517000,3867524000,3653759000,3629952000,3670257000,3909312000,3780885000,3578484000,3656005000,3854453000,4077023000,4262452000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860546/000110465903005147/j8182_10k.htm,https://www.sec.gov/Archives/edgar/data/860546/000110465904006946/a04-3257_110k.htm,https://www.sec.gov/Archives/edgar/data/860546/000110465905011396/a05-1829_110k.htm,https://www.sec.gov/Archives/edgar/data/860546/000110465906017411/a06-2022_110k.htm,https://www.sec.gov/Archives/edgar/data/860546/000110465907015618/a07-5561_110k.htm,https://www.sec.gov/Archives/edgar/data/860546/000104746908002084/a2182925z10-k.htm,https://www.sec.gov/Archives/edgar/data/860546/000110465909013162/0001104659-09-013162-index.html,https://www.sec.gov/Archives/edgar/data/860546/000104746910001037/0001047469-10-001037-index.html,https://www.sec.gov/Archives/edgar/data/860546/000104746911000781/0001047469-11-000781-index.html,https://www.sec.gov/Archives/edgar/data/860546/000104746912000848/0001047469-12-000848-index.html,https://www.sec.gov/Archives/edgar/data/860546/000086054613000009/0000860546-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/860546/000086054614000008/copt1231201310k.htm,https://www.sec.gov/Archives/edgar/data/860546/000086054615000009/copt10kdoc123114.htm,https://www.sec.gov/Archives/edgar/data/1577966/000086054616000064/0000860546-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/1577966/000086054617000006/0000860546-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/860546/000086054618000013/0000860546-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1577966/000086054619000007/0000860546-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1577966/000086054620000007/0000860546-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/860546/000086054621000010/0000860546-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/860546/000086054622000013/0000860546-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-200000,100000,200000,300000,300000,300000,-967000,4696000,15083000,15134000,19922000,23301000,30877000,37032000,39031000,49227000,34784000,58668000,56329000,42760000,-117675000,20977000,93707000,40255000,178300000,11439000,70091000,74703000,191692000,97374000,76541000
74,Depreciation and Amortization,- -,100000,300000,500000,500000,600000,1267000,6285000,12075000,16977000,20976000,28996000,37141000,51904000,63555000,80074000,107625000,102904000,111811000,125819000,136594000,124418000,119773000,138490000,142231000,134870000,136501000,139063000,138903000,140031000,-3860000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9036000,10602000,11845000,11920000,9982000,6530000,6164000,6574000,6843000,5615000,6376000,6714000,6503000,- -
77,Change in Working Capital,- -,- -,- -,-300000,-67200000,67200000,-67200000,-20600000,-41200000,2500000,-20200000,14100000,1266284000,343682000,362826000,245584000,454316000,-2502321000,-2072354000,1967967000,45030000,191965000,-93897000,-49557000,177171000,128336000,-259451000,-39968000,-35354000,-107001000,-2136784000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-500000,-6100000,-4500000,-8338000,-4883000,-4231000,-15814000,-19810000,-20017000,-27946000,-15484000,11128000,-3634000,-1680000,-7094000,6693000,-10334000,94000,1331000,-5262000,2783000,5673000,-7141000,-6377000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,300000,-100000,- -,-100000,100000,1200000,3100000,3000000,927000,2660000,4721000,9278000,5850000,7946000,17725000,6010000,- -,- -,- -,- -,4101000,3960000,26677000,-3620000,43489000,4309000,-49179000,20369000,6554000,- -
81,Other Working Capital,- -,- -,- -,-300000,-67500000,-300000,-67500000,-88100000,-129300000,-126800000,-147000000,-132900000,1133384000,1477066000,1839892000,2085476000,2539792000,37471000,-2034883000,-66916000,-21886000,170079000,76182000,26625000,203796000,332132000,72681000,32713000,-2641000,-109642000,-2246426000
82,Other Non-Cash Items,- -,300000,-100000,200000,67100000,-67300000,70116000,22760000,46338000,415000,30177000,-4155000,-1266519000,-348124000,-369468000,-261734000,-459024000,2513577000,2088429000,-1991955000,76274000,-155504000,32866000,58533000,-300268000,-48950000,277898000,308000,-73397000,101517000,2313251000
83,Cash Provided by Operating Activities,-200000,500000,400000,700000,700000,800000,3216000,13141000,32296000,35026000,50875000,62242000,67783000,84494000,95944000,113151000,137701000,181864000,194817000,156436000,152143000,191838000,158979000,193885000,204008000,232538000,230654000,180482000,228558000,238424000,249148000
84,CAPEX,-200000,-9800000,-5400000,-9500000,- -,- -,-506000,-180649000,-152749000,-65130000,-137555000,-139527000,-196888000,-251982000,-499926000,-290208000,-354090000,-291210000,-262638000,-496437000,-319624000,-20066000,-23940000,-28720000,-23147000,-26345000,-22882000,-24223000,-24659000,-32756000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1256000,- -,- -,- -,250000,499000,414000,-115000,- -,- -,5523000,- -,- -,- -,- -,- -,- -,- -,201499000,59841000,- -
86,Purchases of Investments,- -,- -,- -,- -,-700000,-1000000,-1375000,-10000,-1112000,-6389000,-22130000,-2089000,-9582000,-661000,-130000,-908000,- -,-25251000,- -,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,1100000,1854000,- -,- -,- -,- -,4866000,- -,- -,- -,454000,2526000,91000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,100000,-100000,- -,- -,- -,1000000,-3269000,28025000,-1737000,2688000,8179000,33521000,-11149000,80713000,36329000,23436000,26343000,-86438000,17270000,53714000,13994000,-119790000,-209689000,-307532000,71449000,-89710000,-232918000,-339514000,-385633000,-202969000
89,Cash Used for Investing Activites,-300000,-9700000,-5500000,-9500000,-600000,100000,973000,-183928000,-125836000,-73256000,-155741000,-128571000,-172949000,-263792000,-419093000,-253834000,-327714000,-290142000,-349076000,-479167000,-260387000,13744000,-119790000,-209689000,-307532000,71449000,-89710000,-232918000,-138015000,-325792000,-202969000
90,Debt Repayment,- -,- -,- -,-300000,-200000,-300000,-283000,-10192000,-161417000,-69493000,-364000000,-210628000,-271146000,-421621000,-580642000,-762590000,-579395000,-1029503000,-874732000,-813659000,-1524855000,-1127070000,-1125574000,-550170000,-723535000,-867502000,-430062000,-413619000,-449610000,-1022039000,-60000
91,Common Stock Issued,7100000,- -,6900000,- -,- -,- -,- -,72742000,63000,286000,998000,25541000,117317000,153995000,79539000,89202000,7446000,- -,- -,- -,147828000,205425000,157444000,150174000,28567000,109069000,69534000,202065000,46415000,- -,- -
92,Common Stock Repurchased,- -,-300000,-800000,- -,- -,- -,-59000,- -,- -,-1415000,- -,- -,-172689000,-62502000,- -,-64375000,- -,-1320000,-2049000,-3913000,-3990000,-55000000,-84750000,-50000000,- -,- -,-199083000,- -,- -,-8800000,- -
93,Dividends Paid,- -,-500000,-800000,-1200000,-800000,-700000,-710000,-8639000,-20088000,-27454000,-31506000,-39262000,-43929000,-55986000,-63264000,-73267000,-85465000,-95755000,-109674000,-117993000,-138636000,-108248000,-114809000,-113061000,-117848000,-118345000,-118479000,-114286000,-122657000,-123367000,-123527000
94,Other Financing Activites,-600000,4900000,2500000,7900000,- -,- -,- -,115830000,275009000,138911000,501033000,290029000,479103000,569752000,884479000,948852000,864142000,1216993000,1142201000,1260136000,1623354000,884346000,1172279000,530565000,970573000,722344000,339544000,375395000,441489000,1245477000,72691000
