,https://roic.ai/company/ALE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,350500000,389100000,512100000,579900000,635400000,705900000,842600000,1012100000,1008000000,1064700000,363700000,419200000,344700000,360400000,373600000,373600000,446100000,471600000,100200000,116600000,135700000,221400000,249600000,234400000,263500000,255300000,273900000,302200000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,508200000,566100000,703000000,774000000,841100000,906100000,1071600000,1245200000,1247100000,1317200000,651600000,692300000,626400000,708000000,679200000,653100000,771200000,778200000,806000000,864300000,948000000,1239400000,1126500000,1190200000,1299400000,1060700000,1018200000,1267900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,1600000,2300000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33800000,39200000,43600000,45500000,50300000,54800000,64900000,70300000,67800000,67900000,64900000,65600000,69100000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64700000,80500000,90400000,100200000,116600000,136400000,171500000,200900000,182100000,210500000,213600000,228100000,241500000
15,EBITDA,69400000,82600000,70000000,72900000,88900000,74600000,75500000,73300000,62600000,82800000,66000000,88800000,124200000,142500000,125700000,233100000,211900000,209800000,328300000,121200000,12800000,114600000,135300000,125900000,190300000,239300000,263400000,280800000,300300000,352700000,402800000,446300000,436800000,437000000,457500000,428400000,452900000
16,EBITDA ratio,0.1681,0.2088,0.1643,0.1583,0.1916,0.1562,0.1560,0.1498,0.1238,0.1298,0.0981,0.1049,0.1302,0.1371,0.1111,0.1750,0.1387,0.1392,0.2028,0.1613,0.0174,0.1494,0.1607,0.1572,0.2507,0.2638,0.2838,0.2921,0.2949,0.3103,0.2710,0.3331,0.3078,0.2916,0.3688,0.3664,0.3191
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,129600000,106900000,143900000,179600000,198600000,225700000,260300000,282500000,259800000,301600000,99800000,45100000,140700000,133700000,121800000,106000000,135800000,150000000,155200000,154100000,188800000,210700000,223500000,229800000,201200000,179800000,150900000,151300000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2032,0.1588,0.1699,0.1883,0.1910,0.1994,0.1954,0.1849,0.1724,0.1863,0.1328,0.0612,0.1834,0.1588,0.1521,0.1396,0.1497,0.1616,0.1615,0.1513,0.1661,0.1418,0.1668,0.1619,0.1343,0.1449,0.1291,0.1066
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-46800000,-43800000,-55100000,-55400000,-56100000,-100000000,-27200000,-80700000,-68200000,-66600000,-43900000,-28000000,-17100000,1600000,4100000,-14500000,-16700000,-20800000,-20100000,-20700000,-26600000,-43900000,-47900000,-42900000,-42600000,-900000,-28800000,-40400000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,82800000,63100000,88800000,124200000,142500000,125700000,233100000,201800000,191600000,235000000,55900000,17100000,123600000,135300000,125900000,91500000,119100000,129200000,135100000,133400000,162200000,166800000,175600000,186900000,158600000,178900000,122100000,110900000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1298,0.0938,0.1049,0.1302,0.1371,0.1111,0.1750,0.1321,0.1271,0.1452,0.0744,0.0232,0.1611,0.1607,0.1572,0.1205,0.1313,0.1392,0.1406,0.1310,0.1427,0.1122,0.1311,0.1317,0.1058,0.1442,0.1044,0.0781
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,21500000,1200000,19600000,46600000,54000000,57700000,84500000,73200000,72600000,91900000,16800000,-500000,46300000,47700000,43400000,30800000,44300000,35600000,38000000,28700000,36700000,25300000,19800000,14700000,-15500000,-6600000,-39500000,-26900000
23,Net Income,69400000,82600000,70000000,72900000,88900000,74600000,75500000,73300000,62600000,61300000,64800000,69200000,77600000,88500000,68000000,148600000,138700000,137200000,236400000,104400000,13300000,68300000,87600000,82500000,61000000,75300000,93800000,97100000,104700000,124800000,141100000,155300000,172200000,174100000,185600000,174200000,169200000
24,Net Income ratio,0.1681,0.2088,0.1643,0.1583,0.1916,0.1562,0.1560,0.1498,0.1238,0.0961,0.0963,0.0817,0.0814,0.0851,0.0601,0.1116,0.0908,0.0910,0.1460,0.1389,0.0180,0.0890,0.1041,0.1030,0.0804,0.0830,0.1011,0.1010,0.1028,0.1098,0.0949,0.1159,0.1213,0.1162,0.1496,0.1490,0.1192
25,EPS,3.51,4.17,3.51,3.54,4.35,3.57,3.69,3.72,3.30,3.09,3.24,3.42,3.71,4.05,2.91,6.36,5.49,5.07,8.55,3.69,0.49,2.75,3.09,2.82,1.89,2.20,2.66,2.59,2.64,2.91,2.92,3.15,3.39,3.39,3.59,3.36,3.26
26,EPS Diluted,3.51,4.17,3.51,3.54,4.35,3.57,3.69,3.72,3.30,3.09,3.24,3.42,3.71,4.04,2.91,6.33,5.43,5.04,8.52,3.67,0.48,2.74,3.08,2.82,1.89,2.19,2.65,2.58,2.63,2.90,0.73,3.14,3.38,3.38,3.59,3.35,3.26
27,Weighted Average Shares Outstanding,17891753,18225433,19943037,19180807,19356335,19607860,19295409,18682811,17969713,18824117,18986767,19537379,20397960,21331200,22797720,23264340,25264140,27030630,27597240,28300000,27300000,27800000,28300000,29200000,32200000,34200000,35300000,37600000,39700000,42900000,48300000,49300000,50800000,51300000,51600000,51900000,51900000
28,Weighted Average Shares Outstanding Diluted,17891753,18225433,19943037,19180807,19356335,19607860,19295409,18682811,17969713,18824117,18986767,20634945,20397960,21397860,22797720,23364330,25497450,27230610,27763890,28400000,27400000,27900000,28400000,29300000,32200000,34300000,35400000,37600000,39800000,43100000,48400000,49500000,51000000,51500000,51700000,51900000,51900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66756/000006675601000014/0000066756-01-000014-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66756/000006675608000017/allete2007-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675609000015/0000066756-09-000015-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675610000018/0000066756-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675611000029/allete2010_10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675612000026/0000066756-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675613000030/0000066756-13-000030-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675614000026/ale12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675615000022/ale12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675616000169/0000066756-16-000169-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675617000035/0000066756-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675618000029/0000066756-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675619000023/0000066756-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675620000016/0000066756-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675621000025/0000066756-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675622000014/0000066756-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,31600000,40100000,41800000,89400000,101500000,219300000,221100000,194000000,223000000,194100000,89600000,44800000,23300000,102000000,25700000,44900000,101100000,80800000,97300000,145800000,97000000,27500000,98900000,69100000,69300000,44300000,45100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,31600000,40100000,41800000,89400000,101500000,219300000,221100000,194000000,223000000,194100000,89600000,44800000,23300000,102000000,25700000,51600000,101100000,80800000,97300000,145800000,97000000,27500000,98900000,69100000,69300000,44300000,45100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,112800000,140300000,164800000,158500000,156100000,176400000,265700000,328400000,384400000,403800000,86100000,79100000,70900000,79500000,76300000,118500000,99500000,79700000,89000000,96300000,103000000,121200000,122500000,135100000,144400000,96400000,111900000,123700000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,26400000,26400000,23200000,25000000,24000000,24200000,26400000,32700000,36800000,37900000,34000000,33100000,43400000,49500000,49700000,57000000,60000000,69100000,69800000,59300000,80500000,117100000,104200000,95900000,86700000,72800000,74200000,97700000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,99900000,53700000,104000000,143400000,218000000,262400000,219600000,327700000,43200000,30700000,53900000,172100000,128600000,62200000,24300000,24300000,28600000,27100000,33600000,54100000,89500000,35700000,40300000,37600000,34100000,31000000,24500000,24800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,266100000,252000000,332100000,368700000,487500000,564500000,731000000,909900000,658400000,695400000,368100000,373900000,287700000,214500000,252300000,225500000,239700000,277000000,273200000,307000000,418800000,371000000,294500000,367500000,334300000,269500000,254900000,291300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1442400000,1448700000,1523700000,1525700000,1550600000,1258800000,1479700000,1324000000,1364900000,1499000000,883100000,860400000,921600000,1104000000,1387000000,1622000000,1805000000,1982000000,2347000000,2576000000,3286000000,3669000000,3741000000,3822000000,3904000000,4377000000,4863200000,5116600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130600000,131200000,148300000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84600000,82200000,77600000,- -,1000000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133300000,179700000,158900000,169800000,181000000,472800000,494400000,539600000,544300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215200000,213400000,225900000,223300000,1000000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218900000,219300000,231200000,250800000,260900000,235500000,199100000,191200000,171800000,210200000,197600000,301200000,318000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,99300000,113600000,110500000,119000000,109200000,308300000,230500000,554200000,584300000,362600000,180200000,164500000,324100000,325700000,495500000,326700000,345100000,385800000,382400000,332900000,420500000,452800000,466300000,492800000,493200000,637700000,665300000,709100000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1541700000,1695600000,1813900000,1803600000,1829600000,1748100000,2183000000,2372600000,2488800000,2405900000,1063300000,1024900000,1245700000,1429700000,1882500000,2167600000,2369400000,2599000000,2980200000,3169800000,3942000000,4536100000,4611900000,4712500000,4830700000,5213300000,5829700000,6143700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1807800000,1947600000,2146000000,2172300000,2317100000,2312600000,2914000000,3282500000,3147200000,3101300000,1431400000,1398800000,1533400000,1644200000,2134800000,2393100000,2609100000,2876000000,3253400000,3476800000,4360800000,4907100000,4906400000,5080000000,5165000000,5482800000,6084600000,6435000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000,68100000,72800000,78700000,123300000,124700000,269100000,239800000,202600000,243900000,40000000,44700000,53500000,72700000,75700000,62100000,75400000,71800000,90500000,99900000,134100000,88800000,74000000,136300000,149800000,165200000,110000000,111000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,66900000,105900000,162900000,133800000,90000000,105600000,290000000,274300000,358200000,90500000,1800000,2700000,29700000,11800000,16400000,7100000,14400000,6500000,84500000,27200000,104400000,37900000,187700000,64100000,57500000,219800000,209600000,219000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,26400000,30200000,34800000,38700000,44000000,46500000,50000000,51400000,50800000,59400000,65100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,26000000,74000000,15100000,5400000,- -,7600000,- -,- -,27200000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,79100000,82800000,101300000,112600000,132700000,168000000,147900000,190400000,177400000,191800000,66900000,72300000,60300000,52600000,58600000,63900000,69100000,84800000,79600000,77100000,103500000,133600000,132400000,150800000,190200000,122400000,140000000,186200000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,182800000,256800000,337000000,325100000,346000000,398300000,707000000,704500000,738200000,526200000,108700000,119700000,143500000,137100000,150700000,133100000,158900000,163100000,283400000,230200000,416000000,275400000,399500000,351200000,405100000,507400000,459600000,543400000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,601300000,639500000,694400000,685400000,672200000,712800000,952300000,933800000,661300000,747700000,390200000,387800000,359800000,410900000,588300000,695800000,771600000,857900000,933600000,1083000000,1272800000,1568700000,1370400000,1439200000,1428500000,1400900000,1609700000,1774800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,192400000,164700000,148900000,151300000,153400000,139900000,125100000,106900000,139800000,160700000,143900000,138400000,130800000,144200000,169600000,253100000,325200000,373600000,423800000,479100000,510700000,579800000,584100000,230500000,223600000,212800000,195700000,185700000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000000,323400000,328100000,328400000,224300000,228800000,393500000,375500000,206500000,158100000,150100000,233500000,209400000,399100000,372100000,368400000,402100000,411600000,341600000,550100000,660800000,659400000,990900000,952000000,1026100000,1019400000,984800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,793700000,1058200000,1166700000,1164800000,1154000000,1077000000,1306200000,1434200000,1176600000,1114900000,692200000,676300000,724100000,764500000,1157000000,1321000000,1465200000,1633600000,1769000000,1903700000,2333600000,2809300000,2613900000,2660600000,2604100000,2639800000,2824800000,2945300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1808500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28700000,22400000,16400000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1197600000,1315000000,1503700000,1489900000,1500000000,1475300000,2013200000,2138700000,1914800000,1641100000,800900000,790000000,860200000,892300000,1297900000,1454100000,1624100000,1796700000,2052400000,2133900000,2749600000,3084700000,3013400000,3011800000,3009200000,3147200000,3284400000,3488700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,371200000,377700000,394200000,416000000,529000000,552000000,576900000,770300000,814900000,859200000,400100000,421100000,438700000,- -,- -,- -,- -,- -,784700000,885200000,1107600000,1271400000,1295300000,1401400000,1428500000,1436700000,1460900000,1536700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,272600000,276200000,283000000,296100000,317600000,310600000,383800000,440700000,488700000,631900000,293200000,272100000,307800000,350400000,380900000,385400000,399900000,431600000,459600000,489100000,530100000,573300000,625900000,689400000,754600000,818800000,864800000,900200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-957700000,-829200000,-71200000,-30900000,-62800000,-90400000,-80700000,-69000000,-87900000,-24000000,-23200000,-28900000,-22000000,-17100000,-21100000,-24500000,-28200000,-22600000,-27300000,-23600000,-31100000,-23800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,897800000,762000000,- -,- -,- -,- -,- -,406500000,489000000,577600000,608100000,676700000,-21300000,-14300000,-7200000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,610200000,632600000,642300000,682400000,817100000,837300000,900800000,1143800000,1232400000,1460200000,630500000,602800000,665800000,742600000,827100000,929500000,976000000,1079300000,1201000000,1342900000,1609400000,1820200000,1893000000,2068200000,2155800000,2231900000,2294600000,2413100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1807800000,1947600000,2146000000,2172300000,2317100000,2312600000,2914000000,3282500000,3147200000,3101300000,1431400000,1392800000,1526000000,1634900000,2125000000,2383600000,2600100000,2876000000,3253400000,3476800000,4359000000,4904900000,4906400000,5080000000,5165000000,5379100000,5579000000,5901800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,7400000,9300000,9800000,9500000,9000000,- -,- -,- -,1800000,2200000,- -,- -,- -,103700000,505600000,533200000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1807800000,1947600000,2146000000,2172300000,2317100000,2312600000,2914000000,3282500000,3147200000,3101300000,1431400000,1398800000,1533400000,1644200000,2134800000,2393100000,2609100000,2876000000,3253400000,3476800000,4360800000,4907100000,4906400000,5080000000,5165000000,5482800000,6084600000,6435000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66756/000006675601000014/0000066756-01-000014-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66756/000006675608000017/allete2007-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675609000015/0000066756-09-000015-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675610000018/0000066756-10-000018-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675611000029/allete2010_10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675612000026/0000066756-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675613000030/0000066756-13-000030-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675614000026/ale12312013-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675615000022/ale12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675616000169/0000066756-16-000169-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675617000035/0000066756-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675618000029/0000066756-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675619000023/0000066756-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675620000016/0000066756-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/66756/000006675621000025/0000066756-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/66756/000006675622000014/0000066756-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,61300000,64800000,69200000,77600000,88500000,68000000,148600000,138700000,137200000,236400000,104400000,13300000,68300000,87600000,82500000,61000000,75300000,93800000,97100000,104700000,124800000,141100000,155300000,172200000,174100000,185600000,174200000,169200000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64700000,80500000,90400000,100200000,116600000,136400000,171500000,200900000,182100000,210500000,213600000,228100000,241500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,-26100000,-9800000,2000000,1100000,-12800000,-6600000,10300000,26900000,14300000,-1900000,-34200000,27800000,14000000,38800000,75200000,66000000,35800000,37500000,28600000,32700000,25100000,19400000,14400000,-5100000,-17100000,-39700000,-26900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,2200000,1600000,9800000,10800000,11400000,11600000,5100000,6600000,6800000,6300000,6100000,5900000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,-88100000,-100000,48500000,97900000,24700000,-142200000,181400000,-285200000,249000000,90200000,-5200000,-110000000,-66800000,24200000,-9200000,-11600000,33100000,-124100000,87000000,-74000000,92800000,-200600000,121300000,-87100000,-167100000,33200000,-77400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43500000,17900000,- -,-10100000,-8600000,-3500000,1100000,-4700000,-8000000,-10700000,22600000,-18200000,-13000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5600000,-3200000,3200000,-1800000,1000000,-200000,-2200000,-3000000,-3800000,-1000000,-2200000,-1300000,-10300000,-6100000,-200000,-7300000,-3000000,-9100000,-700000,10500000,-17500000,-22100000,13300000,11900000,55500000,-4100000,-1400000,-23500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,5800000,-9500000,-1500000,1100000,10900000,-19300000,6500000,-7500000,13600000,-8800000,11800000,15000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,83300000,-4800000,-4900000,43600000,141500000,166200000,24000000,205400000,-79800000,169200000,259400000,254200000,144200000,77400000,101600000,92400000,80800000,113900000,-10200000,76800000,2800000,95600000,-105000000,16300000,-70800000,-237900000,-204700000,-56400000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,38500000,173400000,17700000,-10800000,-41200000,93900000,275700000,-226800000,574100000,-253900000,-24200000,79600000,156400000,88300000,6600000,-56400000,16300000,-13000000,119100000,-108300000,38500000,-102000000,151900000,-93700000,133900000,28200000,-102100000,-48800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,116500000,124000000,77000000,117300000,146300000,173800000,275500000,103600000,453000000,245800000,168500000,53500000,142500000,123100000,152100000,137400000,228700000,241700000,239600000,239400000,269800000,340100000,332000000,402900000,433100000,249500000,299800000,263500000
