,https://roic.ai/company/DEO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,484000000,335000000,348000000,377000000,313765920,276133110,223646500,223854240,214307280,210126460,233634600,276000000,372000000,352000000,411000000,403000000,629000000,440000000,473000000,361000000,493000000,374000000,1839000000,447000000
15,EBITDA,- -,3402000000,2149000000,2191000000,2469000000,2838024480,1235635020,2425411500,2348211040,2533344440,2708121960,2775443600,2957000000,3322000000,3242000000,3901000000,3935000000,3871000000,3829000000,3683000000,4214000000,4520000000,4938000000,4408000000,4510000000
16,EBITDA ratio,- -,0.1922,0.1822,0.1846,0.1926,0.2518,0.1818,0.3634,0.3495,0.3488,0.3621,0.3425,0.3176,0.3397,0.3263,0.3625,0.3442,0.3774,0.3541,0.3513,0.3497,0.3716,0.3838,0.3751,0.3542
17,Operating Income,- -,2355000000,1517000000,1782000000,1384000000,2115473760,1975832100,1908963000,1941000480,2044578040,2158526550,2229828720,2443000000,2574000000,2595000000,3158000000,3431000000,2707000000,2797000000,2841000000,3559000000,3691000000,4042000000,2137000000,3731000000
18,Operating Income ratio,- -,0.1331,0.1286,0.1501,0.1079,0.1877,0.2908,0.2860,0.2889,0.2815,0.2886,0.2752,0.2624,0.2632,0.2612,0.2934,0.3001,0.2639,0.2587,0.2710,0.2954,0.3035,0.3141,0.1818,0.2930
19,Total Other Income Expenses (Gains),- -,13000000,-50000000,-331000000,338000000,-161775360,35649570,155508500,59173440,102283020,-64232970,-133146600,-428000000,-335000000,-235000000,-37000000,-308000000,4000000,136000000,17000000,- -,49000000,193000000,-94000000,-25000000
20,Income Before Tax,- -,2368000000,1467000000,1451000000,1722000000,1953698400,2011481670,2064471500,2000173920,2146861060,2094293580,2096682120,2015000000,2239000000,2360000000,3121000000,3123000000,2711000000,2933000000,2858000000,3559000000,3740000000,4235000000,2043000000,3706000000
21,Income Before Tax Ratio,- -,0.1338,0.1244,0.1222,0.1343,0.1734,0.2960,0.3093,0.2977,0.2956,0.2800,0.2587,0.2164,0.2289,0.2375,0.2900,0.2732,0.2643,0.2712,0.2726,0.2954,0.3075,0.3291,0.1738,0.2911
22,Income Tax expense (Gain),- -,909000000,440000000,401000000,435000000,510114240,538973160,516530000,480086400,181295300,677682730,523040040,292000000,477000000,343000000,1038000000,529000000,447000000,466000000,496000000,732000000,596000000,898000000,589000000,907000000
23,Net Income,- -,1338000000,942000000,976000000,1207000000,1615144320,75528750,1390235000,1373270400,1908741860,1488312770,1599768960,1621000000,1629000000,1900000000,1942000000,2485000000,2331000000,2381000000,2244000000,2662000000,3022000000,3160000000,1409000000,2660000000
24,Net Income ratio,- -,0.0756,0.0799,0.0822,0.0941,0.1433,0.0111,0.2083,0.2044,0.2628,0.1990,0.1974,0.1741,0.1666,0.1912,0.1804,0.2174,0.2272,0.2202,0.2140,0.2209,0.2485,0.2456,0.1199,0.2089
25,EPS,- -,1.38,1.07,1.15,1.43,1.95,0.10,1.84,1.81,2.69,2.22,2.41,2.58,2.62,3.05,3.11,3.97,3.59,3.80,3.58,4.24,4.87,5.23,2.40,4.55
26,EPS Diluted,- -,1.37,1.06,1.15,1.43,1.95,0.10,1.84,1.81,2.68,2.20,2.36,2.58,2.62,3.04,3.10,3.95,3.57,3.78,3.56,4.22,4.84,5.20,2.40,4.54
27,Weighted Average Shares Outstanding,- -,970500000,883250000,848250000,844250000,829000000,778250000,764368000,743000000,710250000,672000000,641500000,621250000,621500000,623250000,623750000,625500000,626500000,626250000,627000000,628000000,621000000,604500000,586500000,584250000
28,Weighted Average Shares Outstanding Diluted,- -,970522750,887500000,849500000,844250000,851129363,778250000,764368000,743000000,713004484,676818182,645585739,623059006,622706422,623250000,627260982,629432624,629339306,629250000,629500000,630750000,623750000,607000000,588500000,586250000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/835403/000115697304001044/0001156973-04-001044-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000095012305011307/0000950123-05-011307-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000110465906062725/0001104659-06-062725-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000110465907069356/0001104659-07-069356-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746908010060/0001047469-08-010060-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746909008287/0001047469-09-008287-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746910008049/0001047469-10-008049-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746911007990/0001047469-11-007990-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746912008673/0001047469-12-008673-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746913008348/0001047469-13-008348-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000110465914059607/0001104659-14-059607-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312515285837/0001193125-15-285837-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312516676099/0001193125-16-676099-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312517250792/0001193125-17-250792-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312518239093/0001193125-18-239093-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000083540319000005/0000835403-19-000005-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2503000000,1097000000,1063000000,1842000000,1594270080,1190937330,1165489500,815588640,699204560,884821610,714972120,914000000,1453000000,1584000000,1076000000,1772000000,622000000,472000000,1089000000,1191000000,874000000,932000000,3323000000,2749000000
32,Short-Term Investments,- -,484000000,- -,- -,- -,- -,- -,- -,- -,71000000,78000000,104000000,98000000,210000000,89000000,42000000,65000000,35000000,17000000,148000000,81000000,25000000,124000000,73000000,46000000
33,Cash and Short-Term Investments,- -,2987000000,1097000000,1063000000,1842000000,1594270080,1190937330,1165489500,815588640,770204560,962821610,818972120,1012000000,1663000000,1673000000,1118000000,1837000000,657000000,489000000,1237000000,1272000000,899000000,1056000000,3396000000,2795000000
34,Net Receivables,- -,- -,- -,- -,3017380500,2357484480,- -,1409467500,1507248000,1592692740,1667567570,1949969640,2031000000,2008000000,1977000000,2103000000,2484000000,2499000000,2435000000,2686000000,2592000000,- -,- -,- -,- -
35,Inventory,- -,2236000000,2202000000,2139000000,2232000000,2313126720,2193354900,2173272500,2331768480,2387144980,2464255570,2743322400,3162000000,3281000000,3473000000,3955000000,4222000000,4222000000,4574000000,4579000000,4788000000,5015000000,5472000000,5772000000,6045000000
36,Other Current Assets,- -,3054000000,3259000000,3071000000,231619500,1058063040,3070092630,312665500,222179520,88648100,90798270,105015040,- -,- -,38000000,77000000,51000000,91000000,172000000,350000000,- -,2777000000,2845000000,2303000000,2605000000
37,Total Current Assets,- -,8277000000,6558000000,6273000000,7323000000,7322944320,6454384860,5060895000,4876784640,4838690380,5185443020,5617279200,6205000000,6952000000,7161000000,7253000000,8594000000,7469000000,7670000000,8852000000,8652000000,8691000000,9373000000,11471000000,11445000000
38,PP&E,- -,3006000000,3178000000,3078000000,3176000000,2542091040,1974019410,1973804000,2093958240,1952577440,1943420790,2125321200,2268000000,2404000000,2552000000,2972000000,3468000000,3433000000,3690000000,3881000000,4014000000,4089000000,4455000000,4926000000,4849000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,140165620,164814830,350703120,363000000,400000000,437000000,1312000000,1377000000,1201000000,2521000000,2699000000,2723000000,2678000000,2682000000,1912000000,1957000000
40,Intangible Assets,- -,4727000000,5188000000,5289000000,5672000000,5427954720,4288220310,4007503500,4245973440,4395463960,4216471240,5188697880,5852000000,6326000000,6108000000,7509000000,7671000000,6690000000,8710000000,9671000000,9843000000,9894000000,9875000000,9388000000,8807000000
41,Intangible Assets,- -,4727000000,5188000000,5289000000,5672000000,5427954720,4288220310,4007503500,4245973440,4535629580,4381286070,5539401000,6215000000,6726000000,6545000000,8821000000,9048000000,7891000000,11231000000,12370000000,12566000000,12572000000,12557000000,11300000000,10764000000
42,Investments,- -,1092000000,1113000000,1230000000,1193000000,2899000000,- -,- -,- -,1381000000,1538000000,1984000000,2640000000,2649000000,2487000000,2800000000,3248000000,3514000000,2477000000,2979000000,3122000000,3010000000,3100000000,3536000000,3301000000
43,Tax Assets,- -,2503000000,1097000000,1063000000,1842000000,1596000000,1191000000,1167000000,778000000,1113207260,770795640,590869440,672000000,529000000,516000000,329000000,243000000,246000000,189000000,298000000,134000000,122000000,138000000,119000000,100000000
44,Other Non-Current Assets,- -,-2351000000,-856000000,-797000000,-1562000000,-1315592320,2290573260,1864042000,1271857280,111033260,132555150,196589600,96000000,194000000,516000000,175000000,476000000,411000000,547000000,111000000,360000000,1231000000,1673000000,1956000000,1494000000
45,Total Non-Current Assets,- -,8977000000,9720000000,9863000000,10321000000,11149453440,9743812980,9012349500,8389788960,9093447540,8766057650,10436181240,11891000000,12502000000,12616000000,15097000000,16483000000,15495000000,18134000000,19639000000,20196000000,21024000000,21923000000,21837000000,20508000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,17254000000,16278000000,16136000000,17644000000,18472397760,16198197840,14073244500,13266573600,13932137920,13951500670,16053460440,18096000000,19454000000,19777000000,22350000000,25077000000,22964000000,25804000000,28491000000,28848000000,29715000000,31296000000,33308000000,31953000000
48,Accounts Payable,- -,721000000,684000000,652000000,758000000,718204320,531118170,438501000,464455680,494097340,557681600,665230560,2173000000,2615000000,2838000000,1078000000,1099000000,903000000,883000000,916000000,1365000000,1514000000,1694000000,1333000000,2014000000
49,Short-Term Debt,- -,4734000000,3909000000,3070000000,3607000000,3719528640,3283990050,1998531500,867504960,759275540,1534620260,1665588600,890000000,587000000,1447000000,1253000000,1888000000,1608000000,1959000000,2087000000,2485000000,1859000000,2002000000,2101000000,1944000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,859000000,805000000,777000000,681000000,673000000,685000000,532000000,391000000,381000000,813000000,758000000,691000000,708000000,945000000,837000000,881000000,1018000000,944000000,802000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,23000000,34000000,34000000,29000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,2793000000,2844000000,2619000000,2732000000,2917175040,3031421910,2579902500,2714162880,2083001820,2105248040,2365989960,924000000,742000000,630000000,2453000000,2538000000,2317000000,2414000000,3150000000,2781000000,2987000000,3307000000,3062000000,3184000000
53,Total Current Liabilities,- -,8248000000,7437000000,6341000000,7097000000,7354908000,6846530130,5016935000,4046123520,3336374700,4197549900,4696809120,3987000000,3944000000,4915000000,4784000000,5544000000,4851000000,5290000000,6187000000,6660000000,6360000000,7003000000,6496000000,7142000000
54,Long-Term Debt,- -,2925000000,3429000000,3751000000,4029000000,3707134560,2981270820,3311836500,3671544480,4002567280,4130827280,5554474200,7685000000,8177000000,6936000000,7606000000,8492000000,7897000000,8141000000,8284000000,6740000000,8198000000,10681000000,15154000000,13146000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,14000000,10000000,15000000,21000000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,30000000,41000000,50000000,150000000,297457920,372205680,389595500,333269280,674310280,581582240,677289120,621000000,744000000,777000000,1424000000,1482000000,1365000000,1896000000,1982000000,2112000000,1987000000,2032000000,1972000000,1945000000
57,Other Non-Current Liabilities,- -,887000000,778000000,709000000,639000000,564256800,514803960,1177029000,1387226400,1236055120,872373360,942577440,1867000000,1803000000,1164000000,1712000000,1438000000,1251000000,1206000000,1837000000,1308000000,1457000000,1424000000,1246000000,1289000000
58,Total Non-Current Liabilities,- -,3842000000,4248000000,4510000000,4818000000,4568849280,3868280460,4878461000,5392040160,5912932680,5584782880,7174340760,10173000000,10724000000,8877000000,10755000000,11426000000,10523000000,11258000000,12124000000,10160000000,11642000000,14137000000,18372000000,16380000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230000000,289000000,291000000,262000000,242000000,183000000,155000000,128000000,470000000,363000000
61,Total Liabilities,- -,12090000000,11685000000,10851000000,11915000000,11923757280,10714810590,9895396000,9438163680,9249307380,9782332780,11871149880,14160000000,14668000000,13792000000,15539000000,16970000000,15374000000,16548000000,18311000000,16820000000,18002000000,21140000000,24868000000,23522000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1034000000,992000000,990000000,987000000,928903680,896677320,884145500,881460960,883205760,847974790,817469880,797000000,797000000,797000000,797000000,797000000,797000000,797000000,797000000,797000000,780000000,753000000,742000000,741000000
64,Retained Earnings,- -,-693000000,-1343000000,-651000000,-269000000,605352960,-436254060,-1693009500,-1747291200,-889158740,-1402668810,-1825866960,-2200000000,-1377000000,-195000000,234000000,1741000000,2438000000,3634000000,3761000000,5475000000,5686000000,3886000000,4343000000,5061000000
65,Other Comprehensive Income/Loss,- -,-1598000000,-1811000000,-1688000000,-1975000000,-1428580800,- -,3167318000,3166337280,3169150080,3185258210,3168386640,-1390000000,-1733000000,-1974000000,-1996000000,-2259000000,-2069000000,-2156000000,-2333000000,-2516000000,-2690000000,-2957000000,-3334000000,-3333000000
66,Other Total Stockholders Equity,- -,6316000000,6755000000,6634000000,6986000000,6442964640,- -,1329240500,1335310080,1340502860,1340427560,1344027000,6014000000,6320000000,6617000000,6553000000,6757000000,5657000000,5496000000,6305000000,6557000000,6172000000,6679000000,5021000000,4428000000
67,Total Stockholders Equity,- -,5059000000,4593000000,5285000000,5729000000,6548640480,4954081770,3687694500,3635817120,4503699960,3970991750,3504016560,3221000000,4007000000,5245000000,5588000000,7036000000,6823000000,7771000000,8530000000,10313000000,9948000000,8361000000,6772000000,6897000000
68,Total Liabilities And Stockholders Equity,- -,17149000000,16278000000,16136000000,17644000000,18472397760,15668892360,13583090500,13073980800,13753007340,13753324530,15375166440,17381000000,18675000000,19037000000,21127000000,24006000000,22197000000,24319000000,26841000000,27133000000,27950000000,29501000000,31640000000,30419000000
69,Minority Interest,- -,105000000,- -,- -,- -,- -,529305480,490154000,192592800,179130580,198176140,678294000,715000000,779000000,740000000,1223000000,1071000000,767000000,1485000000,1650000000,1715000000,1765000000,1795000000,1668000000,1534000000
70,Total Liabilities & Equity,- -,17254000000,16278000000,16136000000,17644000000,18472397760,16198197840,14073244500,13266573600,13932137920,13951500670,16053460440,18096000000,19454000000,19777000000,22350000000,25077000000,22964000000,25804000000,28491000000,28848000000,29715000000,31296000000,33308000000,31953000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/835403/000115697304001044/0001156973-04-001044-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000095012305011307/0000950123-05-011307-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000110465906062725/0001104659-06-062725-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000110465907069356/0001104659-07-069356-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746908010060/0001047469-08-010060-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746909008287/0001047469-09-008287-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746910008049/0001047469-10-008049-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746911007990/0001047469-11-007990-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746912008673/0001047469-12-008673-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000104746913008348/0001047469-13-008348-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000110465914059607/0001104659-14-059607-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312515285837/0001193125-15-285837-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312516676099/0001193125-16-676099-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312517250792/0001193125-17-250792-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000119312518239093/0001193125-18-239093-index.htm,https://www.sec.gov/Archives/edgar/data/835403/000083540319000005/0000835403-19-000005-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1338000000,942000000,976000000,1207000000,1615144320,75528750,1390235000,1373270400,1908741860,1488312770,1599768960,1621000000,1629000000,1900000000,1942000000,2485000000,2331000000,2381000000,2244000000,2662000000,3022000000,3160000000,1409000000,2660000000
74,Depreciation and Amortization,- -,484000000,335000000,348000000,377000000,313765920,276133110,223646500,223854240,214307280,210126460,233634600,276000000,372000000,352000000,411000000,403000000,629000000,440000000,473000000,361000000,493000000,374000000,1839000000,447000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,424000000,51000000,-45000000,-28000000,-263537280,-149849040,82425000,17863680,-192118900,-179752730,-282371280,-282000000,334000000,-112000000,-529000000,-553000000,-597000000,117000000,-53000000,151000000,-159000000,-222000000,-328000000,331000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000000,62000000,-218000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-54000000,-2000000,-21000000,-30000000,-144815040,6042300,-24178000,-78153600,- -,- -,-202000000,-236000000,-104000000,-204000000,-338000000,-266000000,-229000000,-204000000,-95000000,-159000000,-271000000,-434000000,-366000000,-443000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369000000,30000000,27000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-29644440,-138944160,- -,95613000,70896480,-192118900,-179752730,-282371280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-1413000000,-1004000000,-572000000,-611000000,-283106880,1368580950,49455000,107740320,-335531600,107054950,11556120,-24000000,-37000000,-49000000,269000000,-287000000,-573000000,-387000000,-116000000,-42000000,-272000000,-64000000,-600000000,216000000
83,Cash Provided by Operating Activities,- -,833000000,324000000,707000000,945000000,1382266080,1570393770,1745761500,1722728640,1595398640,1625741450,1562588400,1591000000,2298000000,2091000000,2093000000,2048000000,1790000000,2551000000,2548000000,3132000000,3084000000,3248000000,2320000000,3654000000
84,CAPEX,- -,-634000000,-534000000,-547000000,-439000000,-584478720,-381873360,-326403000,-295308960,-257060500,-273861500,-328595760,-327000000,-374000000,-419000000,-484000000,-643000000,-642000000,-638000000,-506000000,-518000000,-584000000,-671000000,-700000000,-626000000
85,Acquisitions Net,- -,1405000000,121000000,487000000,-105000000,-3587760000,-137160210,-34069000,-273537600,-88212340,-66224690,-571776720,-101000000,-205000000,-83000000,-1369000000,-644000000,-534000000,-306000000,1047000000,-31000000,-590000000,370000000,-119000000,-474000000
86,Purchases of Investments,- -,- -,-175000000,-38000000,-54000000,-72000000,-20000000,- -,-6140640,- -,-5975160,- -,-24000000,-43000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,9000000,1210000000,7000000,- -,4019520,- -,- -,- -,- -,- -,7000000,- -,- -,3000000,- -,- -,- -,- -
88,Other Investing Activites,- -,-581000000,2285000000,-160000000,-529000000,5159443680,946284590,20123500,15895040,667310280,18921340,16078080,-36000000,143000000,48000000,38000000,39000000,80000000,50000000,55000000,-6000000,-561000000,-640000000,-686000000,9000000
89,Cash Used for Investing Activites,- -,190000000,1697000000,-258000000,-1127000000,915204960,407251020,-331348500,650907840,329037440,-327140010,-880274880,-488000000,-479000000,-454000000,-1815000000,-1248000000,-1089000000,-894000000,596000000,-552000000,-1151000000,-270000000,-805000000,-1091000000
90,Debt Repayment,- -,- -,-716000000,-544000000,- -,-137000000,-496000000,-247000000,-379000000,- -,- -,- -,- -,-422000000,-414000000,- -,- -,-1471000000,-1492000000,-1236000000,-1234000000,-1597000000,-1168000000,-1105000000,-2000000000
91,Common Stock Issued,- -,155000000,50000000,12000000,31000000,11089440,4229610,3846500,6140640,3247080,995860,1004880,- -,85000000,1000000,1000000,- -,1000000,1000000,1000000,1000000,1000000,51000000,55000000,49000000
92,Common Stock Repurchased,- -,-2970000000,-1211000000,-54000000,-147000000,-1656240480,-851964300,-309368500,-1039442880,-1439538800,-1429557030,-1087782600,-392000000,- -,-9000000,- -,-11000000,-113000000,-8000000,-1000000,-41000000,-1499000000,-2775000000,-1282000000,-109000000
93,Dividends Paid,- -,- -,- -,- -,-723465500,-757343520,-766767870,-798973000,-847966560,-864264460,-857933390,-858669960,-870000000,-914000000,-973000000,-1036000000,-1125000000,-1228000000,-1341000000,-1443000000,-1515000000,-1581000000,-1623000000,-1646000000,-1646000000
94,Other Financing Activites,- -,2169000000,- -,- -,1121465500,91989920,255516460,-97536500,-8418560,309013780,1225903660,1095821640,256000000,- -,- -,250000000,923000000,1189000000,1106000000,-122000000,331000000,2558000000,2591000000,5015000000,912000000
95,Cash Used/Provided by Financing Activities,- -,-646000000,-1877000000,-586000000,282000000,-2447504640,-1854986100,-1449031500,-2268687360,-1991542400,-1060590900,-849626040,-1006000000,-1251000000,-1395000000,-785000000,-213000000,-1622000000,-1734000000,-2801000000,-2458000000,-2118000000,-2924000000,1037000000,-2794000000
96,Effect of Forex Changes on Cash,- -,-161000000,-165000000,-52000000,-115000000,267000000,227000000,371000000,-55000000,-10823600,-49793000,11053680,66000000,-16000000,-68000000,-27000000,36000000,-192000000,-73000000,84000000,-14000000,-39000000,-26000000,-120000000,-285000000
97,Net Change In Cash,- -,216000000,-21000000,-189000000,-15000000,-150033600,122054460,-35168000,104949120,-78471100,187719610,-156258840,163000000,552000000,174000000,-534000000,623000000,-1113000000,-150000000,427000000,108000000,-224000000,28000000,2432000000,-516000000
98,Cash at the End of Period,- -,-1747000000,-2812000000,-2007000000,-1765000000,1594270080,1190937330,1165489500,815588640,651039540,838514120,684323280,846000000,1398000000,1572000000,1038000000,1661000000,532000000,382000000,809000000,917000000,693000000,721000000,3153000000,2637000000
99,Cash at the Beginning of Period,- -,-1963000000,-2791000000,-1818000000,-1750000000,1744303680,1068882870,1200657500,710639520,729510640,650794510,840582120,683000000,846000000,1398000000,1572000000,1038000000,1645000000,532000000,382000000,809000000,917000000,693000000,721000000,3153000000
100,Free Cash Flow,- -,199000000,-210000000,160000000,506000000,797787360,1188520410,1419358500,1427419680,1338338140,1351879950,1233992640,1264000000,1924000000,1672000000,1609000000,1405000000,1148000000,1913000000,2042000000,2614000000,2500000000,2577000000,1620000000,3028000000
