,https://roic.ai/company/GBL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,57267000,18535000,57995000,61098000,53312000,49844000,62559000,63391000,69518000,79569000,24866000,55533000,68792000,69682000,75539000,116853000,109390000,83412000,117121000,77809000,117196000,81917000,58693000,73199000
24,Net Income ratio,0.4144,0.1052,0.2479,0.2723,0.2539,0.2403,0.2452,0.2512,0.2659,0.2722,0.1015,0.2546,0.2454,0.2130,0.2194,0.2939,0.2484,0.2189,0.3318,0.2158,0.3432,0.2622,0.2260,0.2431
25,EPS,1.04,0.64,1.96,2.06,1.77,1.66,2.11,2.13,2.44,2.83,0.89,2.03,2.55,2.62,2.87,4.56,4.32,3.28,4.01,2.68,4.08,2.99,2.21,2.79
26,EPS Diluted,1.04,0.64,1.94,2.03,1.76,1.65,2.06,2.09,2.40,2.79,0.89,2.02,2.52,2.61,2.86,4.54,4.28,3.24,3.92,2.60,4.07,2.98,2.20,2.73
27,Weighted Average Shares Outstanding,55000000,29117000,29575000,29666000,30092000,30018000,29673000,29805000,28542000,28142000,27805000,27345000,26959000,26636000,26283000,25653000,25335000,25425000,29182000,28980000,28744000,27407000,26571000,26267000
28,Weighted Average Shares Outstanding Diluted,55000000,29117000,29914000,30783000,30302000,32081000,31804000,31155000,29525000,29129000,27841000,28214000,28348000,26724000,26436000,25712000,25558000,25711000,30170000,30947000,28777000,27479000,26680000,26809000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1060349/000106034900000002/0001060349-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000106034901000002/0001060349-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000115752302000215/0001157523-02-000215-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261303000531/0001072613-03-000531-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261304000602/0001072613-04-000602-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261305000716/0001072613-05-000716-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1060349/000106034909000032/0001060349-09-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034910000007/0001060349-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034911000005/0001060349-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034912000007/0001060349-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034913000007/0001060349-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034914000011/0001060349-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034915000004/0001060349-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034916000039/0001060349-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034917000006/0001060349-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034918000004/0001060349-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034919000006/0001060349-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034920000004/0001060349-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034921000011/0001060349-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034922000009/0001060349-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50222000,103032000,69271000,305447000,311430000,386511000,257096000,170659000,138113000,168319000,333332000,400528000,169601000,276340000,190608000,210451000,298224000,13719000,39812000,17821000,41202000,86136000,33325000,142
32,Short-Term Investments,83802000,69791000,134520000,56293000,175466000,231400000,292350000,401216000,507595000,394977000,292199000,220058000,388357000,398440000,- -,- -,- -,- -,- -,- -,- -,- -,64988000,- -
33,Cash and Short-Term Investments,134024000,172823000,203791000,361740000,486896000,617911000,549446000,571875000,645708000,563296000,625531000,620586000,557958000,674780000,190608000,210451000,298224000,13719000,39812000,17821000,41202000,86136000,98313000,142
34,Net Receivables,23540000,14269000,19160000,14687000,20522000,22797000,32106000,30805000,84776000,80972000,31083000,68713000,95118000,58156000,98559000,107650000,126200000,43967000,59498000,61540000,48295000,41022000,39511000,35269000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,100031000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142026858
37,Total Current Assets,157564000,187092000,222951000,376427000,507418000,640708000,581552000,602680000,730484000,744299000,656614000,689299000,653076000,732936000,289167000,318101000,424424000,57686000,99310000,79361000,89497000,127158000,137824000,177296000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1459000,1213000,3916000,3655000,3394000,3133000,2872000,3142000,2933000,2723000,2514000,2304000,2095000,2678000,2452000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,3523000,3467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,35035000,1553000,1340000,4653000,4650000,4650000,4650000,3523000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,35035000,1553000,1340000,4653000,4650000,4650000,4650000,3523000,3523000,3467000,5358000,5358000,5358000,5358000,5358000,5358000,5358000,3765000,3765000,3765000,3765000,3765000,3176000,- -
42,Investments,- -,- -,- -,- -,47932000,64012000,89339000,91971000,81884000,100031000,61000000,63000000,83000000,160000000,378264000,371262000,406711000,32975000,37285000,36790000,33789000,34273000,25845000,32344000
43,Tax Assets,- -,16887000,19382000,18661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15001000,16389000,9462000,6707000
44,Other Non-Current Assets,62076000,37530000,74131000,86653000,22731000,27141000,23431000,22920000,19881000,-91430000,-29254000,-53503000,-72092000,-144678000,15072000,11622000,27004000,6878000,6355000,6066000,-9535000,5623000,6643000,15651000
45,Total Non-Current Assets,97111000,55970000,94853000,109967000,75313000,95803000,117420000,118414000,106747000,13281000,41020000,18510000,19660000,23813000,401566000,391384000,442006000,46341000,49919000,48925000,45115000,62728000,47578000,54702000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,254675000,243062000,317804000,486394000,582731000,736511000,698972000,721094000,837231000,757580000,697634000,707809000,672736000,756749000,690733000,709485000,866430000,104027000,149229000,128286000,134612000,189886000,185402000,231998000
48,Accounts Payable,5118000,15897000,18202000,25004000,17138000,5691000,302000,4000,36345000,7562000,17719000,13697000,1554000,10770000,14346000,10765000,43409000,12000,66000,14926000,112000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5329000,5265000,5182000,5072000,- -,- -,- -,35000000,- -,15000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,9196000,12323000,8526000,10132000,12075000,17539000,- -,8523000,23225000,15296000,25398000,39846000,27939000,4823000,3815000,3128000,2388000,757000,3910000,315000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9462000,- -
52,Other Current Liabilities,27927000,4594000,14936000,9466000,32677000,38539000,37259000,38021000,55417000,86465000,25282000,44871000,89384000,64306000,62298000,107020000,97579000,65818000,76789000,115546000,95928000,105547000,58807000,87128000
53,Total Current Liabilities,33045000,20491000,33138000,34470000,49815000,44230000,37561000,38025000,91762000,94027000,48330000,63833000,96120000,80148000,76644000,117785000,140988000,100830000,76855000,145472000,96040000,105547000,68269000,87128000
54,Long-Term Debt,5876000,50000000,50000000,50000000,- -,284030000,282308000,232308000,231812000,102525000,198766000,198851000,59580000,263119000,216366000,111911000,112163000,274225000,233955000,74144000,24168000,24191000,24215000,50990000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8727000,10177000,14618000,119016000,203561000,21545000,38054000,20481000,43997000,- -,- -,1464000,99000000,- -,26789000,19607000,85484000,5299000,5066000,4943000,4794000,5431000,6007000,- -
58,Total Non-Current Liabilities,14603000,60177000,64618000,169016000,203561000,305575000,320362000,252789000,275809000,102525000,198766000,200315000,158580000,263119000,243155000,131518000,197647000,279524000,239021000,79087000,28962000,29622000,30222000,50990000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,252133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3433000,3058000,3167000,2992000,2781000,2525000,5329000,5265000,5182000,5072000,4949000,5323000,5253000,5170000,5066000,4943000,4794000,5431000,5208000,- -
61,Total Liabilities,47648000,80668000,97756000,203486000,253376000,349805000,357923000,290814000,367571000,243635000,247096000,264148000,254700000,343267000,319799000,249303000,338635000,380354000,315876000,224559000,125002000,135169000,98491000,138118000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,30000,30000,30000,31000,31000,31000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,- -
64,Retained Earnings,184141000,35156000,93151000,154249000,207561000,257266000,268519000,329090000,395058000,445121000,413761000,410473000,370272000,409191000,408295000,506441000,602950000,-34224000,80515000,155939000,282928000,362515000,394386000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-638000,1480000,-53000,526000,10427000,20815000,14923000,19088000,25389000,22520000,26300000,30239000,25014000,9115000,11271000,11876000,-240000,-204000,-165000,- -
66,Other Total Stockholders Equity,22884000,127208000,126867000,128629000,114839000,119534000,66381000,94480000,43223000,- -,11436000,10024000,-9665000,-27772000,-67020000,-79382000,-102936000,-251251000,-258466000,-264121000,-273111000,-307627000,-307343000,- -
67,Total Stockholders Equity,207027000,162394000,220048000,282908000,321793000,378311000,334878000,424129000,448741000,501315000,440153000,439618000,386029000,403972000,367608000,457331000,525061000,-276327000,-166647000,-96273000,9610000,54717000,86911000,93880000
68,Total Liabilities And Stockholders Equity,254675000,243062000,317804000,486394000,575169000,728116000,692801000,714943000,816312000,744950000,687249000,703766000,640729000,747239000,687407000,706634000,863696000,104027000,149229000,128286000,134612000,189886000,185402000,231998000
69,Minority Interest,- -,- -,- -,- -,7562000,8395000,6171000,6151000,20919000,12630000,10385000,4043000,32007000,9510000,3326000,2851000,2734000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,254675000,243062000,317804000,486394000,582731000,736511000,698972000,721094000,837231000,757580000,697634000,707809000,672736000,756749000,690733000,709485000,866430000,104027000,149229000,128286000,134612000,189886000,185402000,231998000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1060349/000106034900000002/0001060349-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000106034901000002/0001060349-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000115752302000215/0001157523-02-000215-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261303000531/0001072613-03-000531-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261304000602/0001072613-04-000602-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261305000716/0001072613-05-000716-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1060349/000106034909000032/0001060349-09-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034910000007/0001060349-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034911000005/0001060349-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034912000007/0001060349-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034913000007/0001060349-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034914000011/0001060349-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034915000004/0001060349-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034916000039/0001060349-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034917000006/0001060349-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034918000004/0001060349-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034919000006/0001060349-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034920000004/0001060349-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034921000011/0001060349-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034922000009/0001060349-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,57267000,18535000,57995000,61098000,53312000,49844000,62559000,63391000,69518000,79569000,24866000,55533000,68792000,69682000,75539000,116853000,109390000,83412000,117121000,77809000,117196000,81917000,58693000,73199000
74,Depreciation and Amortization,865000,740000,706000,769000,897000,967000,980000,911000,882000,962000,1127000,656000,700000,825000,777000,766000,683000,618000,625000,595000,562000,1222000,973000,- -
75,Deferred Income Tax,-615000,-16887000,-2495000,721000,19882000,1079000,-1769000,1088000,-3590000,1907000,-1642000,1831000,7553000,-1521000,8504000,6557000,-8094000,1166000,-5537000,-5451000,-487000,-4777000,7904000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4892000,5085000,10585000,2588000,13583000,2072000,7199000,9868000,3959000,8669000,1620000,2841000,4186000,- -
77,Change in Working Capital,-19821000,42082000,23212000,152144000,115646000,138875000,-52487000,20664000,74067000,11550000,-41988000,17182000,-68510000,95832000,-440265000,-12207000,83120000,-326580000,65599000,-88566000,59568000,28154000,47944000,20613000
78,Accounts Receivable,-6800000,-69400000,-6457000,628000,-128582000,-5878000,-59105000,-85863000,-75242000,15567000,- -,- -,- -,- -,-10272000,-9078000,9634000,6679000,-12688000,5024000,13035000,-10416000,7297000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,14300000,6300000,14214000,5869000,12135000,-6564000,-4492000,-329000,54162000,-38748000,- -,- -,- -,- -,3576000,-3581000,32644000,1000,54000,-990000,-698000,-112000,- -,- -
81,Other Working Capital,124519000,166601000,189813000,341957000,457603000,596478000,543991000,564655000,638722000,650272000,608284000,625466000,556956000,652788000,212523000,200316000,283436000,-43144000,22455000,-66111000,-6543000,21611000,69555000,90168000
82,Other Non-Cash Items,-28153000,-57924000,-81336000,-75159000,-228084000,-152744000,-12678000,-119585000,-146585000,81275000,196188000,51506000,-99150000,-131043000,427607000,26955000,-128540000,402981000,-66030000,133635000,-60577000,-19366000,-78966000,-93812000
83,Cash Provided by Operating Activities,9543000,-13454000,-1918000,139573000,-38347000,38021000,-3395000,-33531000,-5708000,175263000,183443000,131793000,-80030000,36363000,85745000,140996000,63758000,171465000,115737000,126691000,117882000,89991000,40734000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5179000,-1481000,-32540000,-34978000,-9350000,-81381000,-52933000,-9290000,-5434000,-46374000,-1832000,-8194000,-157000,-4378000,-1268000,-9080000,-6452000,-6279000,-1843000,-3932000,-2388000,-5084000,-120724000,- -
87,Sales/Maturities of Investments,- -,- -,- -,8362000,735000,1949000,600000,2085000,2766000,5195000,20621000,8046000,5085000,8360000,5715000,39347000,9144000,81000,408000,4169000,- -,328000,57213000,- -
88,Other Investing Activites,83770000,5554000,4447000,26241000,27154000,15180000,20793000,- -,- -,20172000,- -,-55102000,62258000,- -,- -,- -,- -,-41463000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,78591000,4073000,-28093000,-375000,18539000,-64252000,-31540000,-7205000,-2668000,-21181000,18789000,-55250000,67186000,3982000,4447000,30267000,2692000,-47661000,-1435000,237000,-2388000,-4756000,-63511000,- -
90,Debt Repayment,- -,- -,- -,- -,-50000000,- -,- -,-50000000,- -,- -,-1000000,- -,-100400000,-32000,-56215000,-106705000,-716000,-89634000,-185000000,-168300000,-90115000,-180000,-218000,- -
91,Common Stock Issued,- -,95619000,- -,- -,10819000,3898000,3026000,1331000,687000,238000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-4656000,-3374000,-3053000,-17181000,-1945000,-70731000,-37201000,-54603000,-8661000,-39400000,-7030000,-30206000,-20408000,-54928000,-14768000,-32739000,-27249000,-10773000,-14324000,-10610000,-37357000,-3902000,- -
93,Dividends Paid,-19636000,-10023000,- -,- -,- -,-139000,-2718000,-20629000,-3413000,-31519000,-56226000,-59431000,-50631000,-30477000,-76809000,-18419000,-12618000,-7468000,-2333000,-2315000,-2328000,-2756000,-25906000,- -
94,Other Financing Activites,-30886000,-18749000,-376000,100031000,82153000,99498000,-24057000,60873000,28939000,-83948000,60314000,-3070000,25421000,118813000,12040000,-11521000,67377000,1557000,109859000,36037000,11024000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-50522000,62191000,-3750000,96978000,25791000,101312000,-94480000,-45626000,-28390000,-123890000,-36312000,-69531000,-155816000,67896000,-175912000,-151413000,21304000,-122794000,-88247000,-148902000,-92029000,-40293000,-30026000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-75000,-36000,14000,-298000,84000,-9000,- -,-12000,-7000,19000,15000,38000,-17000,-84000,-8000,-8000,- -
97,Net Change In Cash,37612000,52810000,-33761000,236176000,5983000,75081000,-129415000,-86437000,-35048000,30206000,165013000,7096000,-168669000,106739000,-85732000,19843000,87773000,1025000,26093000,-21991000,23381000,44934000,-52811000,- -
98,Cash at the End of Period,50222000,103032000,69271000,305447000,311430000,386511000,257096000,170659000,138113000,168319000,333332000,338270000,169601000,276340000,190608000,210451000,298224000,13719000,39812000,17821000,41202000,86136000,33325000,- -
99,Cash at the Beginning of Period,12610000,50222000,103032000,69271000,305447000,311430000,386511000,257096000,173161000,138113000,168319000,331174000,338270000,169601000,276340000,190608000,210451000,12694000,13719000,39812000,17821000,41202000,86136000,33325000
100,Free Cash Flow,9543000,-13454000,-1918000,139573000,-38347000,38021000,-3395000,-33531000,-5708000,175089000,183443000,131793000,-80030000,36363000,85745000,140996000,63758000,171465000,115737000,126691000,117882000,89991000,40734000,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1060349/000106034900000002/0001060349-00-000002-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000106034901000002/0001060349-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000115752302000215/0001157523-02-000215-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261303000531/0001072613-03-000531-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261304000602/0001072613-04-000602-index.html,https://www.sec.gov/Archives/edgar/data/1060349/000107261305000716/0001072613-05-000716-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1060349/000106034909000032/0001060349-09-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034910000007/0001060349-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034911000005/0001060349-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034912000007/0001060349-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034913000007/0001060349-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034914000011/0001060349-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034915000004/0001060349-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034916000039/0001060349-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034917000006/0001060349-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034918000004/0001060349-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034919000006/0001060349-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034920000004/0001060349-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034921000011/0001060349-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1060349/000106034922000009/0001060349-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
