,https://roic.ai/company/MRK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),17200000,32100000,36000000,4200000,46700000,47400000,57000000,72100000,-783000000,10100000,393600000,556100000,795800000,1757100000,1025300000,735000000,674300000,545800000,594800000,1352200000,1505100000,2534800000,-2246800000,3722300000,11270600000,-1702000000,-1642000000,-1138000000,-2120000000,10600000000,-2146000000,-1371000000,-788000000,-230000000,-777000000,308000000,680000000
20,Income Before Tax,857000000,1073300000,1405200000,1871000000,2283000000,2698800000,3166700000,3563600000,3102700000,4415200000,4797200000,5540800000,6462300000,8133100000,8619500000,9824100000,10402600000,10213600000,9051600000,7974500000,7363900000,6221400000,3370700000,9807800000,15291800000,1653000000,7334000000,8739000000,5545000000,17283000000,5401000000,4659000000,6521000000,8701000000,11464000000,8791000000,13879000000
21,Income Before Tax Ratio,0.2416,0.2599,0.2776,0.3150,0.3485,0.3518,0.3681,0.3688,0.2955,0.2949,0.2876,0.2794,0.2734,0.3024,0.2635,0.2434,0.2180,0.1972,0.4025,0.3476,0.3345,0.2748,0.1393,0.4112,0.5575,0.0359,0.1526,0.1849,0.1259,0.4092,0.1367,0.1170,0.1625,0.2057,0.2447,0.1832,0.2850
22,Income Tax expense (Gain),317100000,397600000,498800000,664200000,787600000,917600000,1045000000,1117000000,936500000,1418200000,1462000000,1659500000,1848200000,2884900000,2729000000,3002400000,3120800000,3064100000,2462000000,2161100000,2732600000,1787600000,95300000,1999400000,2267600000,671000000,942000000,2440000000,1028000000,5349000000,942000000,718000000,4103000000,2508000000,1687000000,1709000000,1521000000
23,Net Income,539900000,675700000,906400000,1206800000,1495400000,1781200000,2121700000,1984200000,2166200000,2997000000,3335200000,3881300000,4614100000,5248200000,5890500000,6821700000,7281800000,7149500000,6830900000,5813400000,4631300000,4433800000,3275400000,7808400000,12901300000,861000000,6272000000,6168000000,4404000000,11920000000,4442000000,3920000000,2394000000,6220000000,9843000000,7067000000,13049000000
24,Net Income ratio,0.1522,0.1637,0.1791,0.2032,0.2283,0.2322,0.2466,0.2054,0.2063,0.2002,0.1999,0.1957,0.1952,0.1951,0.1801,0.1690,0.1526,0.1380,0.3038,0.2534,0.2104,0.1959,0.1354,0.3274,0.4704,0.0187,0.1305,0.1305,0.1000,0.2822,0.1125,0.0985,0.0597,0.1471,0.2101,0.1472,0.2679
25,EPS,0.21,0.27,0.37,0.51,0.63,0.76,0.92,1.06,0.94,1.19,1.35,1.60,1.92,2.21,2.51,2.96,3.18,3.17,3.05,2.62,2.11,2.04,1.51,3.66,4.15,0.28,2.06,2.20,1.50,4.20,1.60,2.07,0.95,2.40,3.88,2.79,5.16
26,EPS Diluted,0.21,0.27,0.37,0.51,0.63,0.76,0.91,1.05,0.93,1.18,1.32,1.56,1.87,2.15,2.45,2.90,3.14,3.14,3.03,2.61,2.10,2.03,1.49,3.64,4.15,0.28,2.02,2.16,1.47,4.07,1.56,2.04,0.93,2.32,3.81,2.78,5.16
27,Weighted Average Shares Outstanding,2570952381,2502592593,2449729730,2366274510,2373650794,2343684211,2306195652,1871886792,2304468085,2514400000,2472200000,2427200000,2409000000,2378800000,2349000000,2306900000,2288300000,2257500000,2236700000,2219000000,2197000000,2177600000,2170500000,2135800000,2108500000,3095000000,3040838643,3026635301,2927526714,2838140196,2781128073,2748731322,2696611608,2592559543,2539016026,2530225827,2530000000
28,Weighted Average Shares Outstanding Diluted,2570952381,2502592593,2449729730,2366274510,2373650794,2343684211,2331538462,1889714286,2329247312,2552400000,2526666667,2490400000,2469400000,2441100000,2404600000,2353200000,2322300000,2277000000,2253100000,2226400000,2200400000,2187700000,2192900000,2145300000,2273200000,3120000000,3094000000,3076000000,2996000000,2928000000,2841000000,2787000000,2748000000,2679000000,2580000000,2541000000,2530000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310158/000031015895000005/0000310158-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015896000005/0000310158-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015897000003/0000310158-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015898000004/0000310158-98-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/310158/000031015801500003/0000310158-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015802000002/0000310158-02-000002-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015803000008/0000310158-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012304002379/y94582e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012305002785/y05567e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012306002367/y17883e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012307002869/y30437e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012308002339/y50144e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000095012309003694/0000950123-09-003694-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012310018679/0000950123-10-018679-index.html,https://www.sec.gov/Archives/edgar/data/310158/000095012311019286/y87773e10vk.htm,https://www.sec.gov/Archives/edgar/data/310158/000119312512084319/0001193125-12-084319-index.html,https://www.sec.gov/Archives/edgar/data/310158/000119312513084618/0001193125-13-084618-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015814000009/mrk1231201310k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/mrk1231201410k.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015816000063/0000310158-16-000063-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015817000010/0000310158-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015818000005/0000310158-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/0000310158-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015820000005/0000310158-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/310158/000031015821000004/0000310158-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015822000003/0000310158-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1604000000,1847400000,1352400000,1125100000,2606200000,2021900000,2536800000,2144000000,2243000000,1201000000,2878800000,9585300000,5914700000,5336100000,4368300000,9311400000,10900000000,13531000000,13451000000,15621000000,7441000000,8524000000,6515000000,6092000000,7965000000,9676000000,8062000000,8096000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1180500000,1717800000,1142600000,2728200000,2972000000,4211100000,6052300000,2798300000,2894700000,1118100000,293100000,1301000000,1441000000,2690000000,1865000000,8278000000,4903000000,7826000000,2406000000,899000000,774000000,785000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1604000000,1847400000,1352400000,1125100000,2606200000,3202400000,4254600000,3286600000,4971200000,4173000000,7089900000,15637600000,8713000000,8230800000,5486400000,9604500000,12201000000,14972000000,16141000000,17486000000,15719000000,13427000000,14341000000,8498000000,8864000000,10450000000,8847000000,8096000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,3017200000,2495700000,2655900000,2876700000,3374100000,4089000000,5017900000,5215400000,5423400000,4023600000,3627700000,2927300000,3314800000,3636200000,3778900000,6602900000,7344000000,8261000000,7672000000,7184000000,6626000000,6484000000,7018000000,6873000000,7071000000,6778000000,7851000000,9230000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1660900000,1872500000,2148800000,2145100000,2623900000,2846900000,3021500000,3579300000,3411800000,2554700000,1898700000,1658100000,1769400000,1881000000,2283300000,8055300000,5868000000,6254000000,6535000000,6226000000,5571000000,4700000000,4866000000,5096000000,5440000000,5978000000,6310000000,5953000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,639600000,2401900000,1569500000,2066100000,1624300000,1120900000,1059400000,880300000,1027500000,775900000,858900000,826300000,1433000000,1297400000,7756300000,4165900000,3651000000,3694000000,4509000000,4789000000,5257000000,5153000000,4389000000,4299000000,4500000000,4277000000,4756000000,6987000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6921700000,8617500000,7726600000,8213000000,10228500000,11259200000,13353400000,12961600000,14833900000,11527200000,13475200000,21049300000,15230200000,15045400000,19304900000,28428600000,29064000000,33181000000,34857000000,35685000000,33173000000,29764000000,30614000000,24766000000,25875000000,27483000000,27764000000,30266000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,5296300000,5269100000,5926700000,6609400000,7843800000,9676700000,11482100000,13103400000,14195600000,14169000000,14713700000,14398200000,13194100000,12346000000,11999600000,18273500000,17082000000,16297000000,16030000000,14973000000,13136000000,12507000000,12026000000,12439000000,13291000000,15053000000,17986000000,19279000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1431600000,1454800000,1438700000,11923100000,12378000000,12155000000,12134000000,12301000000,12992000000,17723000000,18162000000,18284000000,18253000000,19425000000,20238000000,21264000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7212300000,6826300000,6736600000,6780500000,8287200000,7584200000,7374200000,7476500000,7241000000,1949400000,1764900000,1604400000,943900000,713200000,525400000,47655800000,39456000000,34302000000,29083000000,23801000000,20386000000,22602000000,17305000000,14183000000,11431000000,14196000000,14604000000,22933000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7212300000,6826300000,6736600000,6780500000,8287200000,7584200000,7374200000,7476500000,7241000000,1949400000,1764900000,1604400000,2375500000,2168000000,1964100000,59578900000,51834000000,46457000000,41217000000,36102000000,33378000000,40325000000,35467000000,32467000000,29684000000,33621000000,34842000000,44197000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,432300000,2175000000,3458000000,7305000000,9770000000,13515000000,13039000000,11416000000,12125000000,6233000000,1469000000,785000000,370000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2426300000,3118900000,3903200000,4209000000,5493900000,7114800000,7700700000,10465200000,11290700000,12941900000,12619000000,7793900000,13770000000,18791300000,13927100000,5376400000,5626000000,5735000000,6723000000,9115000000,5133000000,6144000000,5854000000,6075000000,7554000000,6771000000,10211000000,11582000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14934900000,15214300000,16566500000,17598900000,21624900000,24375700000,26557000000,31045100000,32727300000,29060300000,29097600000,23796500000,29339600000,33305300000,27890800000,83661100000,76717000000,71947000000,71275000000,69960000000,65162000000,72015000000,64763000000,63106000000,56762000000,56914000000,63824000000,75428000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21856600000,23831800000,24293100000,25811900000,31853400000,35634900000,39910400000,44006700000,47561200000,40587500000,42572800000,44845800000,44569800000,48350700000,47195700000,112089700000,105781000000,105128000000,106132000000,105645000000,98335000000,101779000000,95377000000,87872000000,82637000000,84397000000,91588000000,105694000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2715400000,3105200000,2937800000,3268900000,3682100000,4158700000,4361300000,5108400000,2413300000,735200000,421400000,471100000,496600000,624500000,617600000,2236900000,2308000000,2462000000,1753000000,2274000000,2625000000,2533000000,2807000000,3102000000,3318000000,3738000000,4594000000,4609000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,146700000,423100000,606100000,902500000,624200000,2859000000,3319300000,4066700000,3669800000,1700000000,2181200000,2972000000,1285100000,1823600000,2297100000,1379200000,2400000000,1990000000,4315000000,4521000000,2704000000,2585000000,568000000,3057000000,5308000000,3610000000,6431000000,2412000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1575000000,1224000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2586500000,2161200000,1285300000,1397200000,1762500000,1741100000,2029000000,2369100000,6292100000,7134400000,9141500000,9860400000,10941000000,9810100000,11404000000,12134600000,10933000000,11793000000,12280000000,11073000000,13437000000,14085000000,13829000000,12455000000,13580000000,14872000000,15287000000,16851000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5448600000,5689500000,4829200000,5568600000,6068800000,8758800000,9709600000,11544200000,12375200000,9569600000,11744100000,13303500000,12722700000,12258200000,14318700000,15750700000,15641000000,16245000000,18348000000,17868000000,18766000000,19203000000,17204000000,18614000000,22206000000,22220000000,27327000000,23872000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145900000,1372800000,1155900000,1346500000,3220800000,3143900000,3600700000,4798600000,4879000000,5096000000,4691500000,5125600000,5551000000,3915800000,3943300000,16074900000,15482000000,15525000000,16254000000,20539000000,18699000000,23929000000,24274000000,21353000000,19806000000,22736000000,25360000000,30690000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2914300000,2747500000,4027300000,5098900000,6057000000,7030100000,6746700000,6776300000,7178200000,6430300000,6442100000,6092900000,6330300000,11585300000,7766600000,18771500000,17853000000,16415000000,16067000000,6776000000,4266000000,6535000000,5077000000,2219000000,1702000000,1470000000,1015000000,3441000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8136000000,7813000000,7345000000,8514000000,11117000000,12041000000,11970000000,12482000000,9434000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4060200000,4120300000,5183200000,6445400000,9277800000,10174000000,10347400000,11574900000,12057200000,11526300000,11133600000,11218500000,11881300000,15501100000,11709900000,34846400000,33335000000,31940000000,32321000000,35451000000,30778000000,37809000000,37865000000,34689000000,33549000000,36176000000,38857000000,43565000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9508800000,9809800000,10012400000,12014000000,15346600000,18932800000,20057000000,23119100000,24432400000,21095900000,22877700000,24522000000,24604000000,27759300000,26028600000,50597100000,48976000000,48185000000,50669000000,53319000000,49544000000,57012000000,55069000000,53303000000,55755000000,58396000000,66184000000,67437000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29700000,29700000,29800000,29800000,29800000,29800000,29800000,29800000,29800000,29800000,1781300000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000,1788000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,10942000000,12740600000,14817700000,17319400000,20186700000,23447900000,27363900000,31489600000,35434900000,34142000000,36626300000,37918900000,39095100000,39140800000,43698800000,41404900000,37536000000,38990000000,39985000000,39257000000,46021000000,45348000000,44133000000,41350000000,42579000000,46602000000,47362000000,53696000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2376600000,-2439900000,-2799700000,-3423200000,-4042800000,-4670300000,-5225100000,-5853100000,-6788000000,-7124700000,-8094900000,52000000,-1164000000,-826000000,-2554000000,-2767000000,-3216000000,-3132000000,-4682000000,-2197000000,-4323000000,-4148000000,-5226000000,-4910000000,-5545000000,-6193000000,-6634000000,-4429000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2573600000,1435000000,- -,- -,- -,- -,- -,- -,-10476200000,-11470700000,-11273000000,-20084100000,-20401200000,-20159900000,-22416300000,18638800000,18268000000,16871000000,15929000000,10917000000,5161000000,1688000000,-607000000,-3892000000,-12121000000,-16290000000,-17199000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,11139000000,11735700000,11970500000,12613500000,12801800000,13241600000,14832400000,16050100000,18200500000,15576400000,17288200000,17916600000,17559700000,18184700000,18758300000,59058000000,54376000000,54517000000,53020000000,49765000000,48647000000,44676000000,40088000000,34336000000,26701000000,25907000000,25317000000,38184000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,20647800000,21545500000,21982900000,24627500000,28148400000,32174400000,34889400000,39169200000,42632900000,36672300000,40165900000,42438600000,42163700000,45944000000,44786900000,109655100000,103352000000,102702000000,103689000000,103084000000,98191000000,101688000000,95157000000,87639000000,82456000000,84303000000,91501000000,105621000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1208800000,2286300000,2310200000,1184400000,3705000000,3460500000,5021000000,4837500000,4928300000,3915200000,2406900000,2407200000,2406100000,2406700000,2408800000,2434600000,2429000000,2426000000,2443000000,2561000000,144000000,91000000,220000000,233000000,181000000,94000000,87000000,73000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,21856600000,23831800000,24293100000,25811900000,31853400000,35634900000,39910400000,44006700000,47561200000,40587500000,42572800000,44845800000,44569800000,48350700000,47195700000,112089700000,105781000000,105128000000,106132000000,105645000000,98335000000,101779000000,95377000000,87872000000,82637000000,84397000000,91588000000,105694000000
